EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,B52,TAETIGKEITSSCHLUESSEL5
154005,2,47,1,aa,42,4,694.8815858892574,3
154366,2,50,2,aa,41,1,359.8188849854611,1
154398,2,53,2,aa,40,6,185.43372801172637,1
154478,1,53,2,aa,45,1,316.9223239586543,1
154576,2,54,2,aa,48,2,150.06647803582868,1
154655,1,51,2,aa,50,6,345.8320679894603,3
155044,1,54,2,aa,48,5,191.55125540779878,1
155200,2,51,2,aa,43,6,336.7371663991713,1
155466,2,22,2,aa,50,2,846.4300825459316,1
155547,1,47,1,aa,20,2,919.5200729866663,3
155582,1,45,1,aa,32,2,184.30398117997134,1
164679,1,50,2,aa,25,2,339.19671297370314,1
164834,2,60,1,aa,21,2,1450.1461830326868,1
167401,1,18,1,aa,40,2,353.26511786382537,1
170493,1,55,2,aa,49,4,226.87983867985633,1
171380,1,20,1,aa,45,4,843.8059100077866,1
172130,1,18,1,aa,42,2,371.29756283880823,1
172776,1,55,2,aa,48,1,234.63357032087828,1
173559,1,45,1,aa,22,5,845.7524765590074,3
175079,1,50,2,aa,26,2,383.91237970235596,3
176315,1,51,1,aa,10,2,1948.899584667642,3
176357,1,45,1,aa,21,2,832.1245047154267,3
181460,2,51,1,aa,51,2,840.9038504077049,3
187822,2,60,1,aa,31,4,1932.8693959311888,3
192510,2,50,1,aa,51,2,856.0821077231085,3
202564,2,45,2,aa,14,4,556.2089872331861,3
204989,2,45,2,aa,17,2,554.3036497571339,3
205194,2,45,2,aa,14,4,515.3124270495556,3
205299,2,47,1,aa,44,2,428.33596060700086,3
206464,1,40,1,aa,16,2,145.05432588315193,3
207265,1,41,1,aa,17,4,176.91723284040214,1
208639,2,46,1,aa,44,1,432.5537915039858,1
212483,1,41,2,aa,28,1,521.0687300923897,1
212942,2,45,2,aa,16,1,573.9976339587473,1
213619,2,54,2,aa,44,1,226.48126534695638,1
214276,1,40,1,aa,14,2,236.20866086246846,1
215992,1,51,1,aa,16,2,854.5400670010772,3
217156,2,52,1,aa,44,6,850.3722727792489,3
219204,2,18,1,aa,44,5,187.83928354639517,3
219592,2,52,1,aa,45,1,832.6974706221378,3
220911,2,20,1,aa,45,5,16.494928559911383,3
222222,2,20,1,aa,44,5,119.44982811770028,3
222410,1,20,1,aa,45,3,10.498273043174596,3
223232,1,54,1,aa,0,1,1348.4788984676206,3
223652,2,40,1,aa,15,6,243.70778936900732,3
225826,1,55,2,aa,44,2,253.84471139208827,3
228832,1,18,1,aa,44,5,130.96553767465733,3
230419,2,22,2,aa,55,3,998.8195333729598,3
236242,2,60,1,aa,9,2,1459.7073853000793,3
244325,2,34,1,aa,11,5,1912.821405804867,1
259025,2,12,2,aa,45,5,774.2800416175095,1
261546,2,56,1,aa,11,5,1145.7016599716148,1
283668,2,34,1,aa,21,5,1019.6921118415105,1
288412,2,34,1,aa,23,5,677.0670917667811,3
291510,2,34,1,aa,24,5,728.4989728258041,3
291655,2,63,1,aa,55,5,570.7147428273614,3
338607,2,34,1,aa,0,3,845.8485442987354,1
342562,1,49,1,aa,19,2,1021.2521508885042,1
347212,1,50,1,aa,13,5,999.4681948559446,1
376621,1,50,1,aa,63,6,918.9724626318306,1
386222,1,50,1,aa,21,6,571.9818997222771,1
399185,1,33,1,aa,55,1,971.8024102782991,1
402939,1,36,1,aa,42,2,63.317131599005506,1
420605,1,32,1,aa,11,6,137.54047059263178,1
440133,1,47,1,aa,24,3,587.7795321315209,3
457695,1,35,1,aa,17,2,172.49247696599627,3
475095,1,50,1,aa,3,6,516.9354660294579,3
500628,1,41,1,aa,27,2,874.4870417357924,3
511412,1,35,1,aa,22,6,390.22757416439515,3
