EF14U2,EF12U2,TAETIGKEITSSCHLUESSEL4,EF16U2,EF41,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
2018,1991,2,2,20,3,101
2018,1964,1,2,20,4,101
2018,1989,2,2,20,3,101
2018,1964,1,5,20,3,101
2018,1972,2,2,20,3,101
2018,1964,1,2,20,4,101
2018,1975,1,2,20,3,101
2018,1962,2,4,20,3,101
2018,1975,2,5,20,4,101
2018,1961,1,2,20,4,101
2018,1961,1,4,20,4,101
2018,1972,2,2,20,1,101
2018,1991,2,2,20,1,101
2018,2004,1,7,20,3,101
2018,1984,2,3,21,1,101
2018,1988,2,5,21,1,101
2018,2009,1,2,21,1,101
2018,1986,2,7,21,2,101
2018,1976,1,2,21,1,101
2018,1991,1,3,21,3,101
2018,1985,2,2,21,1,101
2018,1991,1,3,21,4,101
2018,1974,1,2,21,4,101
2018,1988,1,3,21,1,101
2018,1972,2,2,21,1,101
2018,1991,2,7,22,4,101
2018,1994,2,3,21,3,101
2018,1974,1,3,22,4,101
2018,1966,1,3,21,2,101
2018,1991,2,3,22,3,101
2018,1973,2,5,21,3,101
2018,1992,2,2,23,3,101
2018,2008,1,5,21,3,101
2018,2010,1,5,24,3,101
2018,2010,2,3,21,3,101
2018,1966,2,3,24,4,101
2018,1974,2,5,21,4,101
2018,1965,1,2,24,2,101
2018,1967,1,3,21,4,101
2018,1990,1,3,25,3,101
2018,1965,2,5,21,2,101
2018,1967,2,7,25,4,101
2018,1965,1,6,24,4,101
2018,1979,1,1,26,3,101
2018,1980,2,1,26,1,101
2018,1968,1,5,26,1,101
2018,2009,2,5,26,4,101
2018,2002,2,1,26,4,101
2018,1980,1,1,26,2,101
2018,2003,2,4,26,4,101
2018,1974,1,1,26,1,101
2018,1968,1,6,27,1,101
2018,2009,2,1,26,3,101
2018,1977,1,1,27,3,101
2018,2011,2,6,26,4,101
2018,1965,2,5,28,3,101
2018,1964,1,6,26,1,101
2018,1966,1,4,29,4,101
2018,1973,1,1,26,2,101
2018,1996,1,1,29,3,101
2018,1993,2,4,27,3,101
2018,2010,1,3,29,4,101
2018,1993,2,3,28,2,101
2018,1958,2,3,29,2,101
2018,1991,2,4,29,3,101
2018,1992,2,3,29,2,101
2018,1989,1,7,29,3,101
2018,1966,2,5,30,2,101
2018,1992,1,7,29,3,101
2018,2008,1,4,30,3,101
2018,2009,1,6,29,3,101
2018,1981,1,6,30,4,101
2018,1991,1,7,29,2,101
2018,2012,2,4,30,4,101
2018,2008,2,5,30,3,101
2018,1991,1,3,30,2,101
2018,1966,2,3,30,2,101
2018,1994,2,3,31,3,101
2018,1991,1,5,30,2,101
2018,2011,1,6,30,3,104
2018,2010,2,5,30,3,101
2018,2012,2,5,19,3,117
2018,1972,1,5,20,3,137
2018,1981,2,5,25,3,149
2018,1958,2,5,16,1,159
2018,2008,2,5,21,1,159
2018,1991,1,5,30,1,187
2018,1964,1,1,32,2,101
2018,1997,2,1,32,4,101
2018,1963,1,1,32,2,101
2018,1973,2,6,32,3,101
2018,2003,1,1,33,2,101
2018,2000,2,1,32,4,101
2018,1975,1,1,33,4,101
2018,2012,2,1,33,4,101
2018,2015,1,6,34,4,101
2018,1985,2,2,35,1,101
2018,1974,1,2,34,4,101
2018,2015,2,2,35,4,101
2018,1971,2,6,35,3,101
2018,2015,2,2,35,1,101
2018,1997,2,2,35,4,101
2018,1974,1,2,35,4,101
2018,1974,1,2,35,3,101
2018,1974,2,2,35,2,101
2018,1971,2,2,35,3,101
2018,1994,2,2,35,4,101
2018,1985,2,2,35,1,101
2018,2010,2,2,35,4,137
2018,1974,1,2,35,3,101
2018,2003,1,2,35,4,187
2018,1974,1,2,35,3,101
2018,1974,2,5,36,4,101
2018,2012,1,5,36,3,101
2018,1995,1,3,36,1,101
2018,2011,1,3,36,3,101
2018,2009,2,3,37,3,101
2018,1988,2,5,37,1,101
2018,2012,2,5,37,3,101
2018,1986,2,5,37,3,101
2018,2012,1,5,37,4,101
2018,2008,2,5,37,3,101
2018,2002,2,5,37,3,101
2018,2000,2,3,37,1,101
2018,1974,1,3,38,4,101
2018,1980,1,3,38,2,101
2018,2018,1,3,39,4,101
2018,1970,2,3,39,4,101
2018,2004,2,3,39,3,101
2018,1974,2,3,39,2,101
2018,1998,1,6,40,4,101
2018,2010,1,2,40,2,101
2018,1986,1,6,40,1,101
2018,2007,1,2,40,3,101
2018,1977,2,2,40,2,101
2018,1993,1,6,40,2,101
2018,2007,1,6,40,3,101
2018,2007,1,6,40,3,101
2018,2010,1,6,40,2,101
2018,1997,1,2,40,2,101
2018,2012,1,6,41,2,101
2018,2006,1,6,41,3,101
2018,1977,2,2,41,3,101
2018,1956,1,3,41,2,101
2018,1987,1,2,41,1,101
2018,2005,1,6,41,2,101
2018,1998,1,2,41,2,101
2018,1999,1,3,41,2,101
2018,1975,1,7,41,1,101
2018,2011,1,2,41,1,101
2018,1975,2,6,41,3,101
2018,1975,2,7,41,3,101
2018,1997,1,2,42,4,101
2018,1970,1,2,41,4,101
2018,1999,1,7,42,4,101
2018,1997,1,2,41,2,101
2018,1958,2,6,42,3,101
2018,1999,1,4,42,4,101
2018,1976,1,7,43,1,101
2018,2007,1,4,43,2,101
2018,1977,2,3,43,2,101
2018,2004,1,1,44,3,101
2018,1975,1,1,44,1,101
2018,1974,1,1,44,2,101
2018,2016,1,1,44,4,101
2018,1979,1,7,44,2,101
2018,1987,1,1,44,2,101
2018,1959,2,7,44,2,101
2018,1972,1,1,44,1,101
2018,1962,1,3,44,2,101
2018,1988,1,7,44,4,101
2018,1999,1,7,45,2,101
2018,2014,1,3,44,1,101
2018,1990,1,7,45,3,101
2018,1987,1,1,44,1,101
2018,1990,1,1,45,3,101
2018,2004,1,1,45,3,101
2018,1997,1,4,46,2,101
2018,1975,1,5,45,3,101
2018,1990,1,7,46,3,101
2018,1960,1,7,45,2,101
2018,1979,2,3,46,1,101
2018,1985,1,4,45,1,101
2018,2006,1,1,46,2,101
2018,1964,2,7,45,3,101
2018,1981,2,7,46,2,101
2018,1994,1,4,45,2,101
2018,1984,1,7,46,1,101
2018,1972,1,7,45,1,101
2018,1990,1,7,46,2,101
2018,1975,1,1,45,2,101
2018,1961,1,3,46,3,101
2018,1974,1,3,45,1,101
2018,1981,2,4,46,3,101
2018,1984,1,5,46,1,101
2018,1999,1,5,47,4,101
2018,1957,1,5,46,3,101
2018,1956,1,5,47,2,101
2018,2010,1,4,46,2,101
2018,1960,1,5,47,2,101
2018,1961,1,5,46,3,101
2018,1972,1,3,47,2,101
2018,1959,1,5,46,2,101
2018,1975,1,5,47,1,101
2018,1957,1,3,46,3,101
2018,1977,2,5,47,1,101
2018,1988,1,5,47,2,101
2018,1964,2,4,47,2,101
2018,1956,2,4,47,3,101
2018,1977,2,4,47,2,101
2018,1960,1,5,47,3,101
2018,1960,1,5,47,3,101
2018,1959,1,2,44,2,144
2018,2011,1,6,48,1,101
2018,1961,1,7,49,4,101
2018,1978,1,7,48,4,101
2018,1973,2,7,49,4,101
2018,2010,1,7,49,1,101
2018,1964,1,7,49,4,101
2018,1992,2,7,49,1,101
2018,1977,1,7,49,1,101
2018,2011,1,6,49,1,101
2018,1992,1,7,49,4,101
2018,1961,1,7,49,1,101
2018,2009,1,7,49,4,101
2018,2010,1,7,49,1,101
2018,1972,2,1,49,3,101
2018,2015,1,7,49,2,101
2018,1974,2,7,49,1,101
2018,1997,1,6,49,1,101
2018,1982,1,6,49,4,101
2018,1962,1,1,49,4,101
2018,2011,1,1,49,1,101
2018,1987,1,5,50,2,101
2018,2011,2,1,51,1,101
2018,1966,1,1,50,4,101
2018,1994,1,5,51,1,101
2018,1970,2,1,50,1,101
2018,1978,2,1,51,4,101
2018,1962,1,1,50,4,101
2018,1979,2,5,51,4,101
2018,1970,2,1,50,2,101
2018,1974,2,5,51,1,101
2018,1961,1,1,51,4,101
2018,1988,1,5,51,4,101
2018,2014,1,5,51,1,101
2018,1963,1,1,51,4,101
2018,2012,1,1,51,2,101
2018,2014,1,3,51,1,101
2018,1997,2,2,52,2,101
2018,1972,2,2,52,1,101
2018,1997,2,2,52,1,101
2018,2010,1,6,52,4,101
2018,1997,1,5,52,3,101
2018,1982,2,2,52,2,101
2018,1956,1,6,52,1,101
2018,2004,2,5,52,2,101
2018,1989,1,5,52,3,101
2018,1994,2,2,52,2,101
2018,2008,2,6,52,4,101
2018,1980,2,2,52,4,101
2018,1981,1,5,52,2,101
2018,1997,1,6,52,4,101
2018,1983,2,2,52,2,101
2018,2008,1,2,53,4,101
2018,1983,1,5,53,4,101
2018,1998,1,2,53,2,101
2018,2006,1,2,53,2,101
2018,1969,2,6,53,2,101
2018,1998,1,2,53,2,101
2018,1970,2,5,53,1,101
2018,2014,2,6,53,4,101
2018,2003,2,3,54,4,101
2018,2012,1,3,54,4,101
2018,1973,2,6,54,1,101
2018,2011,2,3,54,1,101
2018,2007,1,3,54,4,101
2018,2018,1,6,54,1,101
2018,1992,1,3,54,3,101
2018,1988,1,3,54,1,101
2018,1998,2,3,54,2,101
2018,1970,2,3,54,4,101
2018,2000,1,3,55,2,101
2018,1972,1,3,54,1,101
2018,1957,2,7,56,1,101
2018,1981,1,7,58,3,101
2018,1958,2,3,56,3,101
2018,1979,1,7,58,1,101
2018,1970,2,3,57,4,101
2018,2017,2,3,59,2,101
2018,1982,1,7,57,2,101
2018,1970,2,3,59,3,101
2018,1999,2,7,58,4,101
2018,2017,2,3,59,2,101
2018,1970,1,7,58,1,101
2018,1974,2,7,59,4,101
2018,1970,2,3,58,4,101
2018,2012,1,7,59,2,101
2018,1975,2,1,58,3,101
2018,1986,2,1,60,1,101
2018,1964,2,1,58,1,101
2018,1962,1,1,60,2,101
2018,1972,2,1,59,2,101
2018,1972,2,1,60,2,101
2018,1956,2,1,59,4,101
2018,1971,2,1,60,3,101
2018,1970,1,1,59,3,101
2018,1999,1,6,62,3,101
2018,1971,2,5,59,4,101
2018,1971,2,2,62,2,101
2018,1988,2,1,60,1,101
2018,2017,2,1,62,1,101
2018,1996,2,4,60,1,101
2018,2007,2,2,62,4,101
2018,1956,2,1,60,1,101
2018,1997,1,2,62,4,101
2018,1959,2,6,60,1,101
2018,1960,2,4,62,1,101
2018,2017,2,5,60,2,101
2018,2012,2,4,62,4,101
2018,1977,1,2,60,3,101
2018,1964,2,6,62,4,101
2018,2017,2,5,60,4,101
2018,1985,2,6,62,3,101
2018,1969,2,5,60,1,101
2018,1969,2,2,62,1,101
2018,1997,2,6,60,2,101
2018,1996,2,6,62,4,101
2018,1984,2,2,60,1,101
2018,1979,1,5,62,3,101
2018,2014,2,4,61,1,101
2018,1996,2,2,62,4,101
2018,1958,2,5,61,4,101
2018,1960,1,5,62,2,101
2018,1969,2,5,62,3,101
2018,2017,2,2,63,2,101
2018,1992,2,4,62,4,101
2018,1999,1,5,63,2,101
2018,1960,2,5,62,3,101
2018,1970,2,5,63,2,101
2018,1992,2,4,62,4,101
2018,1962,1,4,63,2,101
2018,1992,2,4,62,3,101
2018,2006,2,5,63,4,101
2018,2012,2,4,62,4,101
2018,1970,2,1,63,2,101
2018,2017,2,2,62,2,101
2018,1992,2,4,63,4,101
2018,1970,1,2,62,2,101
2018,1994,2,2,63,4,101
2018,1990,2,5,63,4,101
2018,1988,2,2,63,3,101
2018,1990,1,4,63,4,101
2018,1989,2,2,63,3,101
2018,1998,2,5,63,3,101
2018,1959,2,4,63,1,101
2018,2000,2,7,15,3,257
2018,2008,1,4,18,3,257
2018,2000,1,3,20,3,257
2018,2004,2,7,16,1,269
2018,2007,2,6,21,1,260
2018,2001,1,3,27,3,271
2018,1958,2,7,26,4,262
2018,2008,2,3,28,1,307
2018,1957,2,5,18,4,268
2018,1974,1,5,21,4,320
2018,1959,2,1,21,4,269
2018,1968,1,7,30,2,329
2018,1968,1,4,20,2,306
2018,1968,1,5,19,2,332
2018,2008,2,5,18,3,320
2018,2011,1,6,29,3,340
2018,2003,1,1,18,1,321
2018,2010,2,5,21,3,349
2018,2011,2,7,20,3,321
2018,2010,1,1,20,3,388
2018,2010,1,2,20,3,321
2018,2011,2,1,23,3,396
2018,1974,1,4,25,4,321
2018,1962,2,1,18,3,413
2018,1974,2,5,23,4,330
2018,1966,1,3,28,2,414
2018,1982,2,3,20,4,334
2018,2010,2,2,17,2,415
2018,1964,2,7,19,2,342
2018,2009,2,1,22,3,453
2018,1964,2,5,22,3,358
2018,2010,1,7,29,3,459
2018,2010,1,5,15,3,364
2018,2006,1,5,28,2,466
2018,2009,1,2,20,2,365
2018,1972,2,7,18,4,471
2018,1975,2,2,20,4,366
2018,2010,2,1,18,3,497
2018,2000,2,3,27,1,386
2018,2002,2,3,30,1,503
2018,2008,1,3,24,1,417
2018,2004,2,3,23,1,510
2018,1972,1,3,32,4,259
2018,1973,1,5,42,3,320
2018,1969,2,3,36,1,261
2018,1957,2,5,38,3,321
2018,1960,1,5,45,3,261
2018,1956,1,1,47,3,341
2018,1979,2,5,43,2,286
2018,1968,2,5,36,2,349
2018,1970,2,5,39,2,320
2018,1982,1,5,45,4,353
2018,1976,1,5,36,1,321
2018,1997,1,5,44,3,364
2018,1988,1,5,44,1,321
2018,2012,2,5,40,4,392
2018,1970,2,2,37,1,330
2018,2003,2,2,47,4,413
2018,1996,1,6,36,2,335
2018,2008,1,6,40,3,415
2018,1984,1,6,39,1,338
2018,1979,2,6,42,1,426
2018,1972,1,5,35,2,342
2018,1995,1,6,41,1,434
2018,1964,1,6,41,1,359
2018,2014,2,6,46,4,437
2018,2003,2,6,35,4,365
2018,2011,2,6,41,4,439
2018,2003,1,6,34,4,366
2018,1997,1,5,47,2,454
2018,1964,2,1,47,4,379
2018,1963,2,5,42,3,459
2018,1986,2,2,34,1,380
2018,1964,2,6,40,1,464
2018,1964,1,6,36,3,380
2018,1963,1,2,42,2,465
2018,1972,1,6,33,4,383
2018,1963,2,6,40,3,467
2018,1955,2,2,46,3,383
2018,2017,1,6,40,3,470
2018,1988,2,6,32,3,421
2018,1995,1,5,47,2,484
2018,1999,1,5,43,4,450
2018,1996,1,6,47,2,488
2018,2014,2,6,35,1,459
2018,1993,1,5,42,1,505
2018,2002,1,5,40,4,489
2018,2027,1,5,42,3,511
2018,1997,1,5,48,3,256
2018,1988,1,5,52,3,260
2018,2006,2,3,49,3,259
2018,1982,1,5,52,1,261
2018,1982,1,5,55,1,263
2018,1976,1,3,53,3,268
2018,2000,1,3,51,1,287
2018,2004,1,3,53,4,270
2018,2006,2,3,51,4,290
2018,2004,2,5,55,4,304
2018,1961,1,5,48,4,291
2018,2007,2,3,48,4,320
2018,1971,2,3,59,3,296
2018,2004,1,3,54,1,320
2018,2006,2,2,52,4,320
2018,1994,2,2,49,3,329
2018,1992,1,2,48,1,321
2018,2000,2,2,55,3,335
2018,1988,1,2,51,1,321
2018,2004,2,1,57,1,349
2018,1983,1,2,54,3,321
2018,1967,1,1,50,1,369
2018,2008,2,2,51,4,329
2018,2006,2,1,60,3,375
2018,1975,2,6,49,1,334
2018,1975,1,6,48,3,463
2018,1963,2,6,60,3,340
2018,1972,1,6,62,3,467
2018,1978,1,6,50,1,348
2018,1971,2,6,62,4,469
2018,1989,1,6,48,4,356
2018,1966,1,1,48,1,508
2018,2007,2,6,53,3,467
2018,2011,2,6,62,1,511
2018,2017,1,6,78,4,20
2018,1960,2,3,65,2,101
2018,2030,1,5,65,4,31
2018,1963,2,1,66,2,101
2018,2017,2,2,74,4,57
2018,1958,1,5,66,2,101
2018,1973,2,2,78,1,98
2018,2012,2,1,67,2,101
2018,2010,1,6,64,3,101
2018,2017,1,5,67,3,101
2018,1978,2,3,64,3,101
2018,2006,1,6,67,3,101
2018,1971,1,1,64,1,101
2018,2003,1,6,67,3,101
2018,2017,1,1,64,2,101
2018,2012,1,6,67,4,101
2018,2000,1,5,64,4,101
2018,2007,2,6,67,2,101
2018,2004,1,1,65,2,101
2018,2011,2,5,67,1,101
2018,1980,1,6,66,3,101
2018,2017,2,6,67,1,101
2018,1988,1,4,67,1,101
2018,2005,2,2,69,4,101
2018,2003,1,5,67,4,101
2018,2000,1,5,69,4,101
2018,2003,1,4,68,2,101
2018,1958,1,1,69,4,101
2018,1974,1,7,69,4,101
2018,2015,1,5,69,3,101
2018,1972,2,4,69,1,101
2018,1979,1,2,69,3,101
2018,1958,1,5,69,4,101
2018,1958,1,1,69,4,101
2018,1968,1,1,69,4,101
2018,1958,1,5,69,4,101
2018,1977,2,2,69,4,101
2018,2004,2,2,69,2,101
2018,1974,2,2,69,4,101
2018,1958,1,2,69,4,101
2018,1958,1,3,70,4,101
2018,1971,2,4,70,1,101
2018,2006,2,4,70,2,101
2018,2015,1,3,70,2,101
2018,1956,1,3,70,4,101
2018,1968,2,4,70,1,101
2018,1972,1,3,70,1,101
2018,1972,1,4,70,1,101
2018,2006,1,2,70,1,101
2018,1958,1,2,70,4,101
2018,1985,1,5,70,1,101
2018,1968,2,5,70,1,101
2018,1972,1,4,70,1,101
2018,2000,1,4,70,3,101
2018,1968,2,5,70,1,101
2018,2010,1,4,70,1,101
2018,1959,1,2,71,3,101
2018,2012,1,2,70,1,101
2018,1972,1,3,71,1,101
2018,1968,2,3,70,4,101
2018,1986,1,7,71,1,101
2018,1977,1,6,72,1,101
2018,1973,1,7,71,4,101
2018,2006,1,6,72,1,101
2018,2000,1,7,72,4,101
2018,1991,1,7,72,3,101
2018,1957,1,7,73,4,101
2018,1972,2,3,74,1,101
2018,1988,2,3,74,1,101
2018,1988,2,7,74,1,101
2018,2015,1,3,74,1,101
2018,1968,2,5,75,1,101
2018,1988,2,5,74,1,101
2018,1988,2,5,75,1,101
2018,1991,1,7,75,3,101
2018,1991,2,3,77,3,101
2018,2006,1,3,76,4,101
2018,1987,1,6,77,1,101
2018,1979,1,1,76,1,101
2018,2014,2,7,78,1,101
2018,1988,2,1,77,3,101
2018,1987,1,7,78,1,101
2018,1989,2,1,77,1,101
2018,2001,1,1,79,1,101
2018,2000,2,6,78,4,101
2018,2000,1,6,79,4,101
2018,2001,1,3,78,1,101
2018,1998,1,3,79,3,101
2018,2000,1,6,78,4,101
2018,1968,1,6,79,4,101
2018,2015,2,4,78,2,101
2018,2012,2,6,79,1,101
2018,1979,1,4,78,4,101
2018,2000,2,1,79,4,101
2018,1977,2,6,78,4,101
2018,1973,2,4,79,4,101
2018,2003,1,1,78,3,101
2018,2009,2,6,79,3,101
2018,2000,1,3,79,4,101
2018,1991,1,2,81,4,101
2018,1981,2,1,80,3,101
2018,1977,2,2,81,1,101
2018,1979,2,5,80,3,101
2018,1971,1,5,82,1,101
2018,1977,1,4,81,1,101
2018,1957,1,6,82,3,101
2018,1988,1,3,81,3,101
2018,1993,2,6,82,3,101
2018,1989,2,4,81,3,101
2018,1981,1,3,82,3,101
2018,1989,2,3,82,3,101
2018,1976,2,5,82,3,101
2018,1994,2,1,82,4,101
2018,1972,1,4,82,1,101
2018,1980,2,4,82,3,101
2018,2005,1,5,82,4,101
2018,1990,1,3,82,4,101
2018,1977,1,5,82,4,101
2018,2000,1,6,83,2,101
2018,1976,2,2,82,3,101
2018,1957,1,3,83,3,101
2018,1981,2,5,82,3,101
2018,1981,2,3,83,3,101
2018,2004,1,5,82,2,101
2018,2000,1,1,83,2,101
2018,1970,1,3,82,1,101
2018,2010,1,2,83,4,101
2018,1994,2,6,83,3,101
2018,1999,1,6,83,4,101
2018,1992,2,6,83,3,101
2018,1977,1,6,83,1,101
2018,1991,1,6,83,4,101
2018,2009,2,7,84,3,101
2018,1972,1,6,83,4,101
2018,1981,2,5,84,3,101
2018,1966,2,7,83,3,101
2018,2010,1,3,84,4,101
2018,1982,1,6,83,3,101
2018,1978,2,1,84,3,101
2018,1977,1,2,83,3,101
2018,1959,1,6,84,3,101
2018,1960,1,6,83,3,101
2018,2010,2,3,84,4,101
2018,2010,2,7,83,4,101
2018,1975,2,3,85,1,101
2018,1976,2,2,83,1,101
2018,1982,2,3,86,3,101
2018,2008,2,6,83,2,101
2018,2008,2,3,86,4,101
2018,1981,2,5,83,3,101
2018,1979,2,2,86,1,101
2018,1977,2,1,86,3,101
2018,2008,2,1,86,2,101
2018,1981,2,6,86,3,101
2018,1959,2,1,86,3,101
2018,1982,2,6,86,3,101
2018,1973,2,2,86,1,101
2018,1961,1,2,86,3,101
2018,1980,2,2,86,3,101
2018,2011,2,1,86,2,101
2018,1979,2,4,87,1,101
2018,1956,1,4,87,4,101
2018,2010,1,1,87,4,101
2018,2010,1,7,87,4,101
2018,2010,2,4,87,4,101
2018,1978,1,6,87,1,101
2018,1960,2,7,87,3,101
2018,1977,2,4,87,1,101
2018,1956,1,2,87,4,101
2018,1982,2,1,87,3,101
2018,2011,1,4,87,4,101
2018,1965,2,1,87,3,101
2018,1964,1,7,87,4,101
2018,1989,1,7,87,3,101
2018,1991,2,2,88,3,101
2018,1998,1,1,87,1,101
2018,2010,1,7,88,2,101
2018,1991,2,7,87,1,101
2018,2009,2,7,89,4,101
2018,1991,2,6,87,3,101
2018,1997,1,6,89,1,101
2018,1991,2,7,87,4,101
2018,1989,1,7,90,3,101
2018,1961,2,1,87,3,101
2018,1991,2,7,90,3,101
2018,1992,1,7,88,1,101
2018,1988,2,7,90,1,101
2018,1955,1,7,89,4,101
2018,1972,2,7,67,1,102
2018,1972,2,7,89,1,101
2018,1972,2,7,71,1,108
2018,1959,1,7,89,2,101
2018,2018,1,7,66,4,114
2018,1973,1,5,75,1,158
2018,1975,2,5,66,1,117
2018,1973,2,5,67,1,190
2018,1969,2,5,71,1,122
2018,2038,1,5,72,4,225
2018,2025,1,5,67,4,155
2018,2017,2,5,67,4,233
2018,2017,2,5,74,4,189
2018,2018,1,5,67,4,249
2018,1971,1,6,87,1,256
2018,2000,1,4,71,3,263
2018,1964,2,4,67,2,263
2018,1979,1,6,68,1,270
2018,2004,1,3,73,1,268
2018,1975,2,6,88,2,270
2018,2001,2,3,87,4,271
2018,1997,1,4,86,3,284
2018,1972,2,6,76,3,284
2018,2010,1,2,70,4,287
2018,1967,2,3,87,2,284
2018,2010,1,7,83,4,293
2018,2003,1,3,76,4,286
2018,1973,1,5,69,2,305
2018,1977,2,2,68,3,287
2018,1977,2,3,79,3,310
2018,2010,2,5,87,4,290
2018,1997,1,7,89,3,314
2018,1960,2,6,75,2,305
2018,1959,1,7,82,2,319
2018,1992,2,5,70,3,320
2018,1972,2,3,70,2,320
2018,1990,1,3,72,3,320
2018,1999,1,4,64,3,321
2018,1961,2,4,86,3,320
2018,1958,1,3,80,4,321
2018,1997,1,1,68,1,321
2018,1969,2,1,81,3,321
2018,1991,1,3,75,3,321
2018,1995,1,2,73,1,332
2018,1977,2,3,83,3,321
2018,1994,1,3,79,3,335
2018,1988,2,5,74,3,336
2018,1988,1,4,71,4,348
2018,1961,2,4,80,4,348
2018,2009,2,4,79,4,349
2018,1962,2,6,67,2,349
2018,1988,1,6,86,4,349
2018,1962,2,6,75,1,366
2018,2009,1,6,87,2,355
2018,2010,2,1,82,4,370
2018,2002,2,4,87,4,356
2018,1987,1,1,83,3,373
2018,1964,2,1,69,3,357
2018,2002,1,1,69,4,378
2018,1985,1,2,79,1,366
2018,2002,1,4,66,3,380
2018,1968,1,2,87,1,367
2018,1965,2,2,81,3,380
2018,1957,1,4,75,4,383
2018,2011,1,5,64,1,384
2018,2001,1,5,66,3,391
2018,2014,2,2,76,3,392
2018,1958,1,6,79,1,412
2018,1958,1,6,68,1,394
2018,2007,1,5,73,1,415
2018,1960,2,1,69,4,412
2018,1967,2,1,69,1,452
2018,1956,1,4,85,4,413
2018,1996,1,4,80,1,458
2018,1984,1,1,68,3,449
2018,2003,2,3,83,1,465
2018,1985,1,5,72,3,450
2018,1962,1,6,70,1,468
2018,1962,1,6,85,1,453
2018,1974,1,1,81,1,470
2018,1974,1,1,78,1,455
2018,1996,1,7,82,3,471
2018,1991,1,5,80,1,462
2018,1991,1,6,64,4,481
2018,1974,1,6,81,4,465
2018,2011,2,7,71,3,485
2018,2011,2,2,82,3,465
2018,1965,2,3,66,4,496
2018,1991,2,3,72,4,466
2018,1966,2,2,64,1,511
2018,1971,2,1,20,3,522
2018,1982,1,2,18,3,520
2018,2010,1,5,20,3,523
2018,1992,2,5,20,3,521
2018,1971,2,1,24,3,523
2018,1971,2,5,20,3,522
2018,1995,1,3,30,3,523
2018,1995,1,5,20,3,523
2018,1978,1,3,17,2,545
2018,1980,1,1,18,2,592
2018,1979,1,4,29,2,563
2018,1977,1,4,22,2,635
2018,1977,1,3,20,2,564
2018,1977,1,1,26,2,637
2018,1983,1,5,24,1,565
2018,1973,2,5,17,1,649
2018,1983,2,3,21,1,572
2018,1979,1,3,20,4,650
2018,1981,1,3,30,4,575
2018,1979,1,4,30,3,654
2018,1973,2,4,22,1,576
2018,1976,2,1,27,4,672
2018,1972,2,1,21,3,577
2018,1977,1,1,22,4,677
2018,1977,1,1,27,4,578
2018,2000,2,2,24,1,706
2018,1983,2,7,25,2,626
2018,2004,2,2,24,1,709
2018,1982,1,7,30,2,627
2018,1982,1,7,29,2,714
2018,2002,2,7,24,1,631
2018,2008,1,7,30,3,719
2018,2010,2,3,19,3,651
2018,1973,1,7,22,3,724
2018,2011,1,3,19,3,652
2018,1995,1,3,29,3,724
2018,1995,1,3,29,3,666
2018,1995,2,2,21,1,754
2018,1995,1,7,30,3,668
2018,1995,1,3,26,3,755
2018,1975,1,2,20,3,669
2018,1975,1,4,26,3,764
2018,1968,1,7,18,4,726
2018,1968,1,7,26,4,765
2018,1962,1,5,55,2,521
2018,1961,1,5,47,2,521
2018,1998,2,4,35,3,540
2018,1960,2,4,51,2,522
