EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,LEISTUNGSGRUPPE,B52
85835,2,56,2,aa,46,5,1,179.7821795782881
85917,1,17,2,aa,20,7,1,487.6813767755888
86019,2,88,1,aa,53,4,4,501.0303606273755
86053,2,56,1,aa,53,1,2,150.87284741513835
86201,1,90,1,aa,46,5,2,293.22877290775875
86453,2,70,1,aa,46,4,4,1216.4140533811944
86846,2,37,1,aa,46,3,3,613.3016747675053
87430,1,46,1,aa,53,6,5,1230.1666443724866
89250,2,20,2,aa,47,3,2,264.146497782664
89362,2,21,1,aa,36,3,2,946.9408546781148
89481,2,64,2,aa,52,1,2,1037.4941914469366
89503,1,88,2,aa,46,3,2,955.800949781969
89524,1,58,2,aa,46,3,2,333.6805375172537
92287,2,53,2,aa,31,6,4,998.483623193166
92462,1,66,1,aa,30,3,2,399.21477067294063
92719,1,66,2,aa,30,3,2,178.4886803115913
92772,1,40,2,aa,47,3,2,1225.5712667296839
92888,1,67,2,aa,47,6,2,285.8878344657011
93036,2,46,2,aa,46,7,4,1037.0078698201633
93072,2,79,2,aa,33,3,5,1122.9876306880692
94015,1,35,1,aa,61,3,5,929.4447815360517
94741,1,54,1,aa,63,3,5,912.1791812784235
95070,2,42,2,aa,30,3,5,735.7091795430609
95561,2,53,1,aa,53,5,4,562.789978027344
96032,1,37,2,aa,30,5,3,207.475472664101
98986,2,70,2,aa,12,1,1,908.9071422552701
99176,2,16,1,aa,36,5,1,1342.754516688468
99418,2,62,1,aa,48,1,5,575.0756894181291
99636,2,47,2,aa,3,1,1,796.2986883467063
100349,2,68,2,aa,27,3,4,1340.2050702428671
101450,2,63,2,aa,15,5,2,411.4805255271855
101521,2,36,2,aa,20,1,1,1130.9076945823992
101543,2,22,1,aa,48,1,1,820.3030958488956
101592,2,35,1,aa,13,4,1,518.479245779244
101631,2,54,1,aa,50,1,5,1131.9357686452631
101684,2,70,1,aa,27,2,2,818.0726570418564
101712,1,33,1,aa,50,5,4,447.9146210675482
101971,1,43,1,aa,20,1,5,823.881785423551
102080,1,86,2,aa,52,1,1,818.6758806345889
102094,1,55,2,aa,34,3,2,530.6173947637649
102109,1,14,2,aa,52,5,4,483.59745225166864
102284,1,16,2,aa,52,1,1,445.07012366407605
102387,1,35,2,aa,22,5,4,469.43310935025477
102732,1,75,2,aa,48,5,1,852.8942800488571
102917,1,20,2,aa,23,6,5,648.3223656890036
104464,1,53,2,aa,21,5,3,854.7147450320682
105209,1,62,2,aa,37,6,3,1299.0167571941488
106102,1,71,2,aa,38,5,5,224.30640383979087
106160,1,49,2,aa,63,5,5,829.2258930195442
106220,1,44,2,aa,10,4,3,216.3698908796871
106325,1,35,2,aa,33,5,5,990.1286610007314
107547,1,56,1,aa,5,3,1,1330.1158017075143
107570,1,34,2,aa,5,3,4,1130.9519760440132
107590,2,63,2,aa,19,3,3,133.07827717289425
107651,1,83,2,aa,50,3,5,671.2493332202033
107707,1,65,1,aa,5,3,3,1314.4605549264263
107979,1,78,2,aa,53,3,1,1091.285494403748
108005,2,19,2,aa,9,3,3,178.37877261030582
108016,1,86,2,aa,9,2,1,1039.5131248976616
108019,1,35,1,aa,36,3,1,608.0379259415864
112646,1,41,1,aa,48,4,4,176.31015816836955
113025,1,74,1,aa,36,4,5,605.8764638521485
113037,2,40,1,aa,15,6,1,907.7272959989449
113350,1,15,1,aa,9,3,5,422.38389894467633
113633,1,34,1,aa,8,6,4,626.1300509121373
113900,2,40,1,aa,8,6,4,690.7758868827684
114366,2,36,1,aa,23,4,4,844.3327699726462
114656,2,32,1,aa,23,4,3,528.2578141349222
114786,2,15,2,aa,27,7,3,1260.038558328355
115083,2,29,1,aa,37,6,5,797.1790539578062
115088,1,69,2,aa,35,7,5,820.7974932325966
115205,2,82,2,aa,12,6,5,728.0462944511911
115433,2,69,1,aa,27,6,5,754.3780749315696
115581,2,29,2,aa,53,7,3,1224.5046180946736
115611,2,64,2,aa,53,6,5,688.2890121642134
115661,1,87,1,aa,27,6,3,1256.9704028788315
116785,1,57,1,aa,12,7,3,367.6285663285834
116791,1,63,1,aa,19,2,2,691.8670043575945
117444,1,63,1,aa,54,2,3,364.0941001267572
117776,2,62,1,aa,54,3,3,1076.937585370984
118785,2,22,2,aa,9,6,3,347.65076457652924
118810,1,22,1,aa,9,6,3,1058.4753374804457
118877,1,22,1,aa,35,6,3,671.3324444975739
118921,2,22,2,aa,58,3,3,1293.8012233074764
118965,1,44,1,aa,9,2,3,1258.0694667621212
118994,1,83,1,aa,23,7,5,240.02872732868371
119030,1,29,2,aa,63,7,5,1257.8222342633437
119180,2,29,2,aa,20,6,5,351.21750884616716
119279,2,66,2,aa,20,6,5,232.4931999328918
119297,2,29,2,aa,48,7,5,375.36260564773113
119306,2,75,2,aa,14,6,4,914.1970257561675
119306,1,66,2,aa,48,7,2,609.6239000464793
119490,2,82,2,aa,14,6,5,376.8582372774703
119584,2,82,2,aa,54,2,2,1301.840893328954
119586,2,82,2,aa,23,2,2,244.32614069076894
119618,2,30,2,aa,23,7,5,916.7951928154513
119738,2,19,1,aa,23,7,2,671.4749048408361
125008,2,81,1,aa,27,4,2,1340.4803103264687
125032,2,81,1,aa,25,4,4,539.2071865852527
125403,2,29,1,aa,27,4,4,1008.0144453835856
125435,1,23,1,aa,55,3,2,1285.3869715320234
125435,1,69,1,aa,55,3,4,366.9683665266651
125533,1,59,1,aa,2,4,4,445.7019819738284
125618,1,31,1,aa,13,2,4,855.5310952386853
125805,1,75,1,aa,55,4,2,654.5934186519307
125853,1,19,1,aa,55,4,4,145.87217198576693
126055,2,19,2,aa,12,4,4,347.77235499092217
126165,1,29,2,aa,52,4,4,1141.9133218156203
126242,2,73,2,aa,50,4,4,1108.0891961467987
126285,2,30,2,aa,2,1,4,447.60478047363887
126351,1,53,2,aa,2,2,2,241.1793632139507
126673,1,53,2,aa,55,4,2,1141.0178155798394
126681,1,29,2,aa,8,4,3,351.8528931858143
126802,1,32,2,aa,8,4,3,1016.7050708886426
127483,2,31,2,aa,57,3,1,366.397718807759
127560,2,20,2,aa,57,7,1,1267.776965577223
127664,2,86,2,aa,60,7,3,446.4719535185137
127705,2,20,2,aa,33,1,3,1229.5689697500568
127789,1,51,2,aa,36,1,2,367.70088049253184
127850,1,16,2,aa,36,3,3,1270.498758358714
127880,2,22,2,aa,17,3,1,413.0820879996419
127889,2,71,2,aa,5,3,1,531.8812385014123
127892,2,23,2,aa,54,1,3,1037.8060141062633
129804,2,30,2,aa,23,1,1,1262.4858485605544
130057,1,30,2,aa,10,7,1,1126.3839059822158
130114,1,30,2,aa,10,1,1,710.5810962612543
130127,1,40,2,aa,3,7,3,779.5536559485827
130512,1,49,2,aa,2,7,3,1260.130264728505
130543,1,53,2,aa,24,7,4,372.1843956298013
130638,2,53,2,aa,32,1,4,1314.1566864372703
130873,2,75,2,aa,24,2,1,495.72811249052376
131061,2,70,2,aa,3,1,4,371.3102913371424
131188,2,49,2,aa,0,2,1,746.5317523139017
132488,2,54,2,aa,0,7,1,864.2155520625072
132544,2,40,1,aa,41,2,1,382.92904278469194
132761,1,42,1,aa,40,2,2,1293.3983312338971
137087,2,42,1,aa,43,2,1,364.4173937551104
139331,1,54,1,aa,9,7,2,116.77970809346515
139337,1,54,2,aa,46,2,2,1286.6985093200929
139523,2,50,1,aa,35,2,2,1129.3773255682188
139548,2,54,1,aa,29,2,2,1345.4958664150636
139573,2,59,2,aa,0,1,2,1142.0301010069552
139972,2,66,1,aa,33,1,1,1134.1198272495355
140480,2,40,1,aa,50,7,4,601.120785353778
145647,1,40,1,aa,33,1,4,360.47009234596544
145985,2,64,2,aa,30,4,4,30.883533781511957
146041,1,83,2,aa,5,1,4,1207.1145918809589
146276,1,58,2,aa,5,1,4,878.4318312379738
146412,2,18,2,aa,30,4,4,1283.3107550199275
146451,1,76,1,aa,20,1,4,1328.8196544786986
146474,2,58,2,aa,47,1,4,1284.5613798861102
147084,1,18,1,aa,34,4,4,732.9574119451256
148587,2,53,1,aa,12,1,5,332.6002421169184
148622,2,49,2,aa,0,7,3,1274.1633129061986
148642,2,53,1,aa,33,3,5,986.4265966483322
148690,2,17,2,aa,21,6,3,877.3554111233111
148703,2,37,1,aa,30,2,5,648.3602320147669
148709,1,61,1,aa,47,6,5,931.5787194315598
148736,1,17,2,aa,33,3,2,562.789978027344
148743,1,36,1,aa,34,1,1,1193.4234670611174
148851,2,81,2,aa,16,4,4,626.1218320056013
148986,2,83,1,aa,13,6,3,1228.183967906836
153687,1,36,2,aa,33,2,5,964.9170050591206
154146,1,31,1,aa,30,2,1,720.614817388962
154421,2,84,1,aa,43,1,5,347.01266508077225
154701,2,37,1,aa,45,3,5,203.43811913975185
154810,1,33,2,aa,0,3,1,650.1112812084068
155248,2,31,2,aa,49,6,5,648.1899624418082
155287,2,29,1,aa,56,3,5,574.1244606388966
155330,1,35,2,aa,47,3,5,995.4321643660862
155346,1,56,1,aa,59,6,5,26.57630787431358
155386,1,86,2,aa,29,3,5,124.34635975258124
155395,2,14,1,aa,14,1,4,798.1337621606233
156539,2,35,1,aa,9,3,5,574.3225063428365
156962,1,29,2,aa,26,3,2,117.90666678469009
157715,1,29,2,aa,35,1,3,69.37915487723929
157890,1,55,2,aa,57,1,1,1315.7579575193895
158441,1,14,2,aa,3,3,2,678.255864970715
158740,1,83,2,aa,35,3,4,983.656812387092
158758,1,55,2,aa,35,3,3,814.5160319852574
159028,1,53,2,aa,3,6,4,247.51344988605672
159153,1,15,2,aa,57,7,3,370.26487891531957
159388,2,15,2,aa,3,2,1,1314.1511082951376
159523,1,30,1,aa,35,1,4,1134.0205269307771
160628,1,79,2,aa,58,1,3,945.7936726725964
160664,1,30,2,aa,50,4,4,775.680253489184
160689,1,81,2,aa,25,6,2,31.73003666441135
161524,2,58,2,aa,58,5,2,641.3868782193098
161772,2,82,1,aa,48,7,2,905.0421155631487
162880,1,58,2,aa,23,6,4,1285.6529234517338
162888,2,67,1,aa,27,5,3,216.62727997774556
163152,2,70,2,aa,26,4,3,1284.3710583793109
163263,2,81,2,aa,44,7,1,813.5691872533059
163267,2,85,1,aa,6,5,1,913.9834317004726
163423,2,83,1,aa,3,5,2,1315.386066201503
163423,1,28,1,aa,58,6,1,966.3755408968381
163433,1,83,1,aa,35,6,1,774.8297852791898
163509,1,53,1,aa,58,5,3,1315.176965712913
163598,2,35,1,aa,58,7,1,216.47868802219824
163598,2,28,1,aa,49,7,1,204.74567694437513
163755,1,28,1,aa,35,5,4,244.10464682284305
163793,1,14,1,aa,50,5,1,228.37745823252567
164886,1,87,1,aa,30,5,3,1037.0166380955084
164916,1,45,1,aa,49,1,3,892.307697527286
164930,1,87,2,aa,23,1,3,1315.0512889838153
164956,1,87,2,aa,48,6,2,116.64340987228567
164963,1,87,1,aa,49,5,2,727.716335514775
164964,1,87,1,aa,48,6,2,1159.0346119689991
164975,2,32,1,aa,28,7,2,131.85010620133062
164983,1,32,1,aa,28,7,2,395.95491862279323
165005,1,47,1,aa,2,5,2,1124.5930681948123
165036,1,46,1,aa,44,5,3,58.65839258021957
165139,1,46,1,aa,4,5,3,347.51616646796765
165207,1,79,2,aa,59,3,4,125.11854692875667
165221,1,35,1,aa,35,5,3,1245.8769941773464
165248,2,43,1,aa,24,5,2,361.07809207259487
165276,1,43,2,aa,48,6,1,1038.1288168069866
165289,1,67,2,aa,24,6,5,350.73296958936345
165368,1,20,2,aa,16,3,5,764.4005042588806
165451,1,77,2,aa,35,7,5,388.9710168256108
165454,1,87,2,aa,58,7,1,929.8309981084773
165463,1,87,2,aa,50,7,1,346.39415933674906
165486,1,87,2,aa,30,7,4,178.46667120990355
165589,1,84,1,aa,25,3,4,1062.8601982361572
165601,2,15,1,aa,35,5,5,1117.668573855588
165631,2,84,1,aa,18,6,5,384.3939119639703
165643,1,84,2,aa,2,6,2,420.4410103513708
165761,2,30,1,aa,3,6,5,344.04383405508645
165781,1,18,1,aa,16,1,5,360.6965036763663
165831,1,87,1,aa,2,2,1,360.93636044910767
165873,1,27,1,aa,2,3,2,1174.9995577919424
168213,1,27,2,aa,2,3,1,967.4659537089542
169345,1,84,2,aa,43,3,4,447.5092015768427
169613,2,79,2,aa,24,3,4,363.30994163554095
169652,2,32,2,aa,54,6,2,446.62892014760376
170208,2,32,2,aa,28,6,4,444.8258702852867
170795,2,78,2,aa,52,6,2,379.9466739629133
171248,2,86,2,aa,54,6,4,416.67281128134147
171400,2,30,2,aa,44,5,4,265.50757024135294
171402,2,75,2,aa,60,3,3,108.99319273927878
172272,1,75,2,aa,25,6,3,651.7933073766327
172315,1,33,2,aa,40,6,2,1283.4380684997518
172496,1,86,1,aa,42,5,2,756.9189556383169
173415,2,32,1,aa,28,3,1,989.3791382625368
173451,2,32,1,aa,63,3,5,1331.212306047507
173522,2,60,2,aa,52,2,1,1335.8032776044763
173614,2,31,1,aa,63,2,5,753.6400552566596
173687,2,16,2,aa,12,1,2,840.0132870866562
173769,2,16,1,aa,55,1,1,225.21685461418764
174029,2,22,1,aa,54,5,1,247.1478847601108
174065,1,77,1,aa,9,6,4,116.36337793681098
176144,2,25,1,aa,55,6,4,395.61629068001645
176235,2,15,1,aa,60,5,1,908.2022450703855
176318,2,15,2,aa,54,5,3,1098.9117008793964
176416,2,28,1,aa,20,5,4,177.06589536769698
176418,2,45,1,aa,53,5,4,670.6514299049734
176518,1,21,1,aa,14,5,4,217.6051062937881
176959,2,63,2,aa,18,5,4,70.91282734119734
176966,2,63,1,aa,14,6,4,879.4683214248694
177360,2,63,1,aa,12,3,3,431.7314995416233
177438,2,86,1,aa,44,2,4,904.5517445458753
177441,2,86,1,aa,61,2,4,424.0591996851671
177507,2,86,2,aa,45,6,1,770.8552501242034
178569,2,69,1,aa,24,7,1,806.7658075144226
179262,2,69,2,aa,14,2,3,1063.811485257049
179337,1,69,1,aa,17,2,1,785.721360573714
180267,1,67,2,aa,62,3,1,919.1901127457156
180361,1,19,1,aa,30,1,5,893.5828380719114
181363,1,30,1,aa,60,3,5,362.99169127786996
181797,2,45,1,aa,46,2,1,1222.1309992993392
181955,2,18,1,aa,27,4,1,216.07483958711842
183234,2,46,2,aa,61,1,3,228.8127099738931
183386,1,78,2,aa,27,1,4,366.6616012468906
183837,2,29,2,aa,31,2,1,69.20045743092705
184079,2,88,2,aa,11,4,1,767.6597923318387
184407,2,64,1,aa,61,4,5,856.3267389678788
184477,2,44,1,aa,44,4,4,649.6384465022983
184728,1,78,1,aa,15,2,1,796.2183836889022
184906,2,14,1,aa,29,1,3,1156.0813217017242
184910,1,79,1,aa,55,3,5,695.271131295557
184927,2,88,1,aa,45,7,5,693.7950745822561
185237,1,74,1,aa,54,1,5,862.2490500804942
188947,1,56,1,aa,19,4,5,133.51231208784142
189121,1,88,1,aa,61,2,5,1233.6788523819423
189350,1,88,2,aa,54,2,3,132.46941923571205
189423,1,19,2,aa,45,7,5,737.8757439359448
189442,2,25,2,aa,43,7,1,310.48002757663573
189462,2,20,2,aa,41,1,1,307.8640394579105
192581,1,16,2,aa,52,2,3,111.65620710615809
192951,1,46,2,aa,63,1,3,783.7779828569782
193930,2,70,2,aa,16,4,3,1277.8746451163363
194152,2,36,2,aa,23,4,3,1143.2520501746365
196831,2,16,2,aa,41,3,4,515.2652012174676
196974,2,22,2,aa,57,1,4,1342.2072385498968
197235,2,35,1,aa,57,2,4,125.21238388279248
197759,2,40,2,aa,42,2,3,1341.1483076154655
197987,1,52,1,aa,41,1,3,916.7202722915389
198273,1,46,2,aa,0,1,5,427.37486879047844
198623,1,22,1,aa,2,1,5,1275.5899680579396
199065,1,77,2,aa,42,5,5,463.9846349825677
199066,1,20,2,aa,34,1,4,202.15010433564962
199084,1,49,2,aa,7,1,2,18.650204607805577
199134,1,49,1,aa,3,5,4,1150.5601628122447
199175,1,40,1,aa,30,1,2,16.594728529983698
199290,1,79,2,aa,17,1,4,458.6940385072289
199431,1,71,2,aa,41,2,5,951.2217193014412
201311,1,83,2,aa,17,2,3,246.79330566790023
201811,2,21,1,aa,54,7,4,130.3658559809227
201891,2,79,1,aa,24,7,3,988.7045590553391
202018,2,79,1,aa,46,7,4,1269.1796037648414
202026,2,49,1,aa,31,3,4,118.66568479451547
202045,1,41,1,aa,3,5,5,627.1289842499941
202605,2,41,1,aa,2,1,3,841.1031402666915
202768,2,59,2,aa,46,1,1,626.7388439165971
203142,2,75,2,aa,35,5,5,871.7379482758485
203370,2,71,2,aa,19,5,1,1333.8144167370033
204004,2,83,2,aa,18,5,2,964.3609380869788
205242,1,71,2,aa,25,7,1,481.7811173560502
205344,1,14,2,aa,33,3,1,591.6989586826628
205539,1,20,2,aa,53,5,2,1037.8913618619035
205564,1,20,2,aa,35,2,1,384.8343563633442
205596,2,53,1,aa,18,5,1,409.4673508340238
205933,2,53,1,aa,40,6,2,982.6125569946483
206100,2,21,1,aa,28,1,3,587.9352193664453
206188,2,26,2,aa,46,3,1,906.6121666388842
206500,2,50,1,aa,61,2,3,923.8071929659413
206692,2,51,1,aa,2,5,1,483.6300443593176
207541,1,20,1,aa,46,2,2,1075.9008054410583
