EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,EF16U2,LEISTUNGSGRUPPE,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
36314,1,38,2,15,6,5,3,564
36517,2,50,2,14,5,3,1,158
37049,2,47,2,14,2,3,3,786
37839,1,50,2,4,5,3,4,786
38324,2,64,1,58,6,2,4,101
38421,1,19,1,4,6,5,2,101
38514,2,44,1,51,6,3,4,140
38681,1,50,2,58,6,2,1,101
38708,1,59,2,58,3,5,4,667
41062,1,57,1,52,1,1,4,159
41109,1,48,2,29,6,1,4,101
41304,1,50,1,5,4,1,1,101
42350,2,21,1,5,2,5,3,148
45720,1,64,1,58,1,1,1,101
46288,1,64,1,5,6,1,2,101
46736,1,63,1,39,4,5,2,101
47238,1,42,1,58,1,5,2,101
47249,1,51,2,14,6,1,4,648
47376,1,51,2,6,1,1,4,270
47908,2,21,1,58,4,5,1,287
48111,2,66,1,5,7,5,1,523
48275,1,66,2,58,1,3,4,101
49268,2,83,2,43,6,2,1,101
49375,2,39,2,43,6,3,3,101
49635,1,75,2,14,3,2,4,101
50254,2,56,2,6,6,3,1,101
50386,1,66,2,14,5,1,3,377
50608,1,47,2,6,3,5,1,318
50989,1,70,2,14,4,4,4,101
51266,2,70,2,15,1,1,1,101
51848,2,42,1,38,7,1,1,101
52014,1,66,1,55,3,3,2,101
52084,1,46,1,34,1,3,1,145
52578,1,77,1,13,2,5,3,101
55525,2,35,1,5,4,2,4,101
56328,1,17,1,42,6,4,4,625
56330,1,35,1,49,6,4,4,101
56358,2,59,1,35,3,1,4,101
56429,2,41,1,49,3,4,4,133
56533,1,40,2,14,3,4,3,353
56712,1,60,2,35,5,4,2,288
57110,2,32,2,42,1,4,4,631
57308,1,71,1,14,4,4,4,668
59938,2,71,2,43,1,4,4,101
59985,1,32,1,50,4,4,2,101
60137,1,45,2,43,1,2,3,666
60286,1,40,1,43,3,1,2,187
60507,2,87,2,50,1,2,1,290
61068,1,37,1,43,7,1,1,415
61990,2,19,2,12,4,2,2,773
62861,1,74,1,27,2,5,3,414
63124,1,20,2,7,2,5,1,415
63280,1,66,2,35,1,1,3,380
64374,1,47,1,29,1,1,1,413
64416,2,74,2,15,4,1,2,520
65075,1,35,2,27,2,2,1,101
65786,2,21,2,32,2,5,4,101
68161,2,46,2,31,2,4,2,101
69225,1,31,1,31,4,4,4,101
69420,2,40,1,9,2,4,4,101
73974,2,20,1,3,2,5,4,373
74122,1,17,1,39,2,4,4,101
74335,2,67,2,59,2,5,2,101
75307,2,35,2,28,2,3,4,371
75354,2,52,1,23,2,4,4,101
75473,1,17,2,9,2,3,4,101
75584,2,52,1,59,4,3,3,101
76534,1,30,1,35,7,5,4,624
78408,2,73,2,2,2,4,4,101
78866,2,78,2,32,5,3,3,101
80137,1,35,2,30,2,4,4,101
80178,1,53,1,30,5,3,2,101
80819,2,66,1,61,5,3,3,101
84993,1,43,2,23,5,4,4,101
85001,1,33,2,31,7,5,2,101
85016,1,90,2,20,5,4,2,101
85190,1,36,2,53,4,5,2,101
85346,2,21,2,23,5,3,2,682
85373,1,42,2,53,7,3,3,380
85463,1,70,2,31,4,3,4,686
85499,2,70,1,23,7,5,3,685
85508,1,41,2,9,7,4,4,378
85900,2,31,2,60,4,5,4,682
86227,2,31,2,37,7,5,4,687
86460,2,64,1,52,5,5,4,638
86624,2,90,1,46,4,1,2,101
87040,2,65,1,46,5,4,3,522
87253,2,30,1,9,7,5,2,364
87502,2,67,1,46,5,3,3,101
89348,1,35,1,10,6,1,3,101
92269,2,20,1,7,6,1,3,701
92335,2,34,1,47,1,1,3,367
92377,1,35,1,53,4,1,2,101
92599,1,41,1,47,7,5,2,692
92965,1,51,1,53,6,1,2,101
92990,2,66,1,53,7,3,2,101
92998,1,78,1,47,6,5,4,331
93086,1,57,1,2,5,1,2,101
93412,1,35,2,63,5,5,3,334
93513,2,57,1,53,6,1,2,597
93539,1,52,2,47,7,3,2,149
93679,2,49,2,21,7,1,4,101
93725,2,90,1,37,4,5,2,665
93761,2,32,2,4,4,1,4,668
93884,1,90,2,53,1,1,4,101
94184,1,67,2,39,6,1,2,367
94197,2,68,2,21,6,1,4,679
94229,2,88,2,46,3,3,3,676
94260,1,56,2,11,7,3,4,101
94276,2,69,1,46,3,2,1,101
94312,2,90,1,46,3,2,1,101
94315,2,56,1,46,6,2,4,683
94346,1,54,1,46,3,3,1,166
94527,1,90,1,29,7,2,1,101
94527,1,37,1,53,3,5,1,101
94601,1,68,1,46,3,2,1,101
94853,1,37,2,63,3,2,1,166
94861,2,19,1,61,3,2,1,680
94963,1,57,2,29,3,2,3,101
95025,1,34,2,46,1,5,3,684
95099,1,40,2,46,5,2,3,101
95244,1,44,2,29,3,5,3,101
95369,2,76,1,46,3,2,3,101
95518,2,57,2,46,5,2,4,675
95591,2,57,2,46,4,2,1,101
95650,2,19,2,5,6,4,4,101
95806,2,57,2,29,6,4,3,146
95822,1,57,2,5,3,4,3,690
95855,1,57,1,5,7,5,3,666
95863,2,42,2,46,1,4,3,671
96043,2,40,1,46,3,3,3,579
96216,1,55,2,57,1,4,4,150
98359,2,63,2,54,1,4,4,101
98436,2,46,1,32,1,4,1,335
98594,2,71,1,9,5,5,1,101
98667,2,62,2,14,3,2,4,101
98815,2,15,1,9,1,2,1,101
98914,2,41,2,2,1,5,4,463
99237,2,73,2,4,5,5,4,101
99297,2,18,2,52,4,1,1,328
100090,2,79,2,14,5,1,1,101
101806,2,32,1,25,4,1,1,522
101814,2,32,1,56,1,1,1,101
101828,2,77,1,25,5,1,4,101
101851,2,78,1,59,5,5,4,101
101898,2,71,1,49,4,5,1,101
102073,1,62,1,33,5,5,1,101
102280,1,22,1,39,1,5,1,101
103313,1,70,1,23,1,1,2,101
103371,1,62,2,10,1,1,2,101
103715,1,55,2,38,6,1,2,462
103743,1,61,2,24,1,4,3,471
103902,1,80,2,4,1,4,2,212
104124,1,67,2,48,1,1,2,212
104628,1,78,2,48,5,1,4,470
104838,1,78,2,62,3,1,2,468
105229,1,87,2,15,6,2,2,468
105906,1,51,2,20,5,2,2,249
106219,1,70,2,52,5,5,2,544
106253,1,64,2,18,5,4,2,213
106444,1,64,2,24,5,4,2,249
106490,1,61,2,6,5,2,4,213
107570,1,61,2,9,6,3,1,101
107588,1,83,1,0,6,1,4,193
107629,2,32,2,13,4,1,3,101
107646,1,32,2,0,3,1,4,101
107713,1,52,1,20,3,3,3,101
107751,1,35,2,50,3,4,1,101
107829,1,35,2,38,4,4,3,101
107845,2,44,1,35,4,4,1,101
107873,1,32,2,23,3,1,1,101
112744,1,32,1,53,3,3,3,101
113025,1,82,1,50,3,1,1,101
113073,2,32,1,50,3,5,1,101
113147,1,51,1,23,6,4,4,504
113254,1,63,1,23,6,1,1,101
113900,1,63,1,52,4,3,4,101
114145,2,47,1,51,3,5,3,101
114214,2,47,1,9,3,3,4,579
114250,2,81,1,51,6,3,3,101
114728,2,50,2,3,6,5,3,101
114783,2,46,1,57,7,5,4,101
114881,2,37,2,19,7,4,3,101
114934,1,31,2,12,7,5,1,101
115023,2,31,1,35,7,3,1,349
117348,2,46,2,15,6,3,4,349
117672,2,37,2,50,3,5,1,348
117826,1,69,1,55,6,4,1,348
118227,1,19,1,55,7,5,4,101
118582,1,20,1,55,7,3,2,101
118957,2,58,1,37,3,3,2,579
118976,1,69,1,19,7,3,2,579
118980,1,39,2,36,7,3,2,499
119056,2,21,1,34,7,4,2,195
119318,1,38,2,27,6,3,2,452
119347,1,30,1,21,2,3,2,452
119356,1,22,1,3,3,3,3,550
119386,1,30,2,48,6,2,2,510
119501,2,85,2,56,6,2,1,510
119502,2,49,2,51,2,5,4,101
119597,2,17,2,20,2,5,4,101
119746,2,38,2,57,6,5,4,195
119776,1,75,2,10,6,4,1,101
119782,1,18,2,51,6,2,4,213
125000,2,29,1,38,4,2,2,330
125221,2,29,1,8,1,2,2,484
125282,2,66,1,20,4,4,3,469
125402,2,17,1,22,4,4,2,565
125758,1,15,1,63,4,2,2,332
125840,1,17,1,3,2,2,2,332
125954,1,53,1,23,4,2,1,459
125963,1,30,1,52,4,2,1,629
126242,1,19,1,8,4,2,2,470
126327,1,29,1,35,4,4,4,498
126755,2,20,2,52,4,2,4,101
126944,1,71,2,54,4,3,4,587
127003,2,18,2,15,2,2,4,101
127109,2,30,2,37,2,2,4,101
127166,2,29,2,27,2,2,4,101
127337,1,37,2,27,7,3,3,101
127348,1,21,2,15,1,1,4,101
127412,1,53,2,7,1,1,4,101
127500,2,31,2,24,1,3,4,509
127536,2,87,2,13,3,3,4,101
127678,2,71,2,7,3,1,4,101
127835,2,31,2,24,7,1,1,101
127892,1,20,2,9,1,4,3,101
127933,2,67,2,24,7,4,1,368
127956,2,67,2,27,7,3,1,368
129210,2,15,2,53,7,4,4,101
129605,2,31,2,34,3,4,4,101
129900,1,46,2,3,3,3,1,498
129901,2,80,2,54,3,1,1,101
130564,2,57,2,34,3,3,1,101
130801,2,80,2,49,1,1,1,101
130934,2,59,2,21,1,1,1,373
131492,2,75,2,0,2,1,4,791
131862,1,87,2,49,2,1,3,790
132104,2,60,1,51,2,2,1,271
132152,2,18,1,46,2,2,1,194
132175,1,62,1,49,4,2,4,101
132896,2,83,2,4,2,1,1,212
132964,1,55,1,46,2,2,1,427
132982,1,39,1,0,1,2,4,101
132992,1,55,2,20,1,2,4,101
137149,2,42,1,2,1,1,4,101
138050,1,42,1,56,1,4,4,101
138795,2,69,1,23,1,4,1,101
138829,2,17,1,50,4,4,3,101
139337,2,42,2,27,7,4,1,101
139523,2,40,2,30,7,4,1,101
139618,1,49,2,57,4,4,1,101
139972,2,17,2,29,1,4,3,101
140403,2,33,2,29,3,4,1,101
143316,2,35,2,29,3,4,1,101
145424,1,40,1,33,3,4,1,414
145430,1,67,2,50,3,4,3,101
145557,1,42,1,10,3,1,1,263
145560,2,39,1,56,2,4,2,574
145690,1,16,1,0,7,4,2,269
146041,2,34,2,28,7,1,2,802
146209,1,18,2,50,1,1,3,101
146227,2,53,1,46,3,4,2,101
146333,2,29,2,0,7,4,2,101
146582,2,80,2,34,3,4,2,212
146831,2,29,1,0,1,4,3,101
146887,2,29,1,21,1,4,2,285
146898,1,87,1,26,1,1,2,758
146966,1,34,1,33,6,1,2,767
147286,1,59,2,56,3,5,1,101
147348,1,80,1,48,2,5,1,101
148515,2,59,2,24,1,5,2,101
148521,2,87,1,48,2,5,2,653
148528,2,14,1,25,2,5,2,101
148539,2,29,1,32,7,1,2,101
148563,2,80,2,58,3,1,3,258
148573,1,29,2,12,3,5,1,529
148589,1,53,1,51,3,5,3,101
148648,1,30,1,24,6,5,3,286
148764,1,32,1,32,6,2,3,101
148788,1,60,1,51,2,1,3,653
148828,2,29,1,18,7,1,3,101
148834,2,74,1,27,1,3,3,101
148842,1,70,1,3,1,5,3,414
148845,1,60,2,2,1,5,3,101
148855,2,78,1,48,2,5,3,101
148872,2,30,2,58,2,5,4,101
148918,2,50,2,58,6,5,3,101
148978,1,83,2,44,6,5,4,101
148984,1,50,1,31,3,4,4,537
153606,1,58,1,0,2,5,4,773
153754,1,35,2,30,6,5,4,467
153813,1,31,1,33,1,3,4,101
154042,1,31,1,45,2,5,4,101
154275,2,86,1,12,1,5,4,101
154467,2,14,1,58,1,5,4,101
154468,1,71,2,3,1,5,4,259
154504,1,80,2,33,1,5,4,101
154525,1,54,2,14,1,3,3,101
154532,1,55,2,35,1,3,3,101
154546,1,31,2,35,6,2,3,101
154549,1,53,2,16,6,1,1,101
154628,1,53,2,58,3,1,2,101
154643,1,54,2,30,3,1,2,101
154832,1,55,2,33,6,1,1,807
154882,1,83,2,18,2,2,1,101
154913,1,31,2,33,3,2,2,101
155204,1,15,2,0,5,1,2,314
155323,1,71,2,42,5,1,2,101
155427,1,49,2,29,6,3,1,454
155437,1,83,2,5,6,4,1,101
155451,1,62,1,3,6,4,1,653
155456,2,43,2,43,5,4,1,101
155541,1,87,2,3,7,3,1,452
155641,1,34,2,17,5,3,4,318
155996,1,90,2,57,5,3,4,101
156765,1,32,2,2,5,4,4,759
156777,1,85,1,35,7,3,1,192
156916,1,79,2,47,5,2,1,771
157128,1,86,1,35,5,2,1,130
157148,2,85,1,2,5,4,1,101
157819,2,86,1,12,6,2,4,306
158084,1,15,2,56,6,4,1,101
158389,1,62,2,16,5,4,1,464
158420,2,88,2,33,5,4,4,101
158460,2,74,2,44,5,3,1,769
158492,2,78,1,43,5,1,1,101
158587,2,57,1,48,4,1,4,101
158748,2,66,1,29,6,1,1,649
159138,2,74,1,15,4,1,1,536
159246,1,28,1,33,7,1,1,505
159493,1,27,1,33,6,3,2,541
161409,1,67,1,43,7,1,2,563
162834,2,44,1,7,7,1,4,651
162880,2,87,1,24,4,4,2,212
163722,1,29,1,35,7,1,2,101
163752,1,75,1,7,7,1,1,101
164896,1,25,2,63,1,2,3,523
164964,1,47,1,27,5,3,3,213
164977,1,89,1,60,1,2,3,487
165044,1,87,1,62,7,3,3,101
165097,1,59,1,63,5,4,3,101
165216,1,15,2,26,5,5,3,304
165221,1,87,1,27,6,5,3,101
165233,1,89,1,17,6,1,4,468
165257,1,15,2,24,5,5,3,195
165264,1,59,2,9,3,2,3,101
165270,1,86,2,53,2,2,3,101
165342,1,16,1,19,3,1,3,101
165397,1,30,2,29,5,1,4,192
165428,2,38,1,41,3,5,3,140
165517,2,86,1,63,3,1,4,101
165557,1,77,1,28,5,2,1,193
165560,1,47,2,42,3,2,1,664
165573,2,67,2,26,2,3,4,194
165708,2,86,2,29,2,2,4,101
165710,2,86,2,28,6,5,1,101
165715,2,25,2,63,3,4,1,101
165781,1,34,2,53,6,3,1,352
165863,2,29,1,60,3,4,1,450
165883,2,85,1,55,1,4,2,101
169826,2,85,1,61,5,2,1,101
170406,1,66,2,41,6,5,1,287
171572,2,66,1,55,7,4,1,101
171888,2,38,1,14,6,1,1,652
172112,1,15,2,47,6,3,2,101
172926,2,15,1,55,5,3,4,101
173554,2,30,1,22,5,3,2,101
173654,2,38,2,53,5,4,2,101
173834,2,66,1,53,1,4,2,101
176266,2,45,2,22,7,4,1,787
176755,1,14,1,44,6,4,2,467
178076,1,77,1,55,5,3,1,101
178111,1,17,2,22,4,4,3,101
178598,1,77,1,17,3,4,3,101
178839,1,66,1,10,2,1,1,193
179180,1,66,1,28,3,1,3,101
179321,2,22,1,43,7,5,4,101
179352,2,20,1,47,1,5,4,636
179547,2,38,1,52,7,1,4,101
180172,1,77,1,52,3,1,3,213
180219,2,73,2,60,1,3,4,365
182653,2,77,2,28,2,1,3,542
182746,2,69,2,15,4,5,4,101
182920,2,14,1,61,4,4,4,101
183247,2,47,1,47,1,1,4,101
183519,1,25,1,42,2,1,3,101
184415,2,18,1,53,2,4,1,349
184468,1,45,1,14,1,1,1,101
184597,1,18,1,14,4,1,4,782
184650,1,14,1,44,4,3,2,651
188512,1,22,1,45,7,3,1,780
189171,2,41,2,13,2,5,2,320
193042,2,42,2,53,4,3,2,340
193173,1,29,2,46,1,5,2,331
193539,1,73,2,52,1,3,1,348
194406,2,16,2,62,1,3,2,101
196740,2,14,2,25,1,3,4,101
197298,2,83,2,62,3,2,2,101
197439,2,26,2,26,3,2,4,670
197465,1,23,1,41,3,3,4,101
197544,1,83,2,26,5,4,2,467
197646,1,50,1,41,3,4,2,101
198016,1,74,2,62,5,4,2,269
198083,1,48,1,18,5,4,2,484
198999,1,16,2,0,3,3,3,532
199255,1,73,2,33,1,4,4,249
199529,2,29,2,1,7,3,4,651
199549,1,40,1,1,5,2,4,540
199553,2,16,1,33,1,4,2,101
201112,2,46,2,18,3,5,3,101
201432,1,81,2,30,1,5,3,101
202187,1,22,2,26,7,4,3,101
202381,2,22,1,35,3,2,4,101
202876,2,73,1,19,1,2,4,294
203049,2,21,1,19,2,2,3,101
203866,2,87,1,33,1,4,4,637
204170,1,31,1,2,5,4,4,101
204314,1,45,1,43,2,4,3,101
204858,1,82,2,47,2,1,1,101
204887,1,54,2,35,6,1,4,256
205103,1,24,2,47,5,5,4,101
205751,1,24,2,42,5,3,4,101
205785,2,49,2,53,5,1,1,448
205951,2,82,2,24,5,5,1,507
207465,2,34,2,61,7,1,3,101
207793,2,60,2,2,2,2,1,101
208162,1,56,1,2,7,3,1,101
208526,2,56,1,52,5,1,1,101
208764,2,56,1,48,5,1,3,101
211134,1,14,1,19,2,1,1,101
211173,2,79,1,3,6,1,4,256
211478,2,80,1,40,6,5,1,101
211495,2,81,2,33,6,1,4,101
211503,1,78,1,2,2,3,1,101
211764,1,78,1,42,6,1,3,101
211769,1,81,1,17,1,3,3,101
211811,1,79,2,24,6,5,3,755
212276,1,81,2,63,1,3,3,320
212357,1,20,2,42,1,3,3,320
212373,2,20,2,33,7,5,3,370
212395,1,61,2,17,1,2,1,497
212631,1,48,2,0,7,3,3,599
213030,2,66,1,3,7,2,1,579
213189,1,66,1,48,7,5,1,548
213559,1,72,1,19,2,5,1,367
213736,2,79,1,42,2,4,1,565
214063,1,73,1,2,5,4,1,454
214099,1,55,1,40,5,4,1,545
214147,2,79,1,0,7,4,3,101
214244,2,40,1,18,7,2,1,101
214728,1,60,1,30,7,3,3,101
216024,1,48,1,42,7,5,1,101
216211,1,33,1,50,7,5,2,101
216445,1,39,1,60,7,3,1,101
216588,2,44,1,18,2,3,2,349
216761,1,20,1,42,5,3,4,650
216854,2,49,1,52,7,3,3,349
221228,2,62,2,18,4,4,2,101
221394,2,26,2,50,4,3,4,653
221467,1,50,2,27,4,3,4,101
222824,2,51,1,18,2,2,2,101
223297,2,65,1,44,6,2,2,101
223315,2,18,1,56,6,3,2,509
223364,2,67,2,56,4,5,2,101
223430,1,20,1,56,6,3,3,101
224248,1,64,1,1,4,1,3,101
226320,1,64,1,3,4,1,2,101
226541,1,84,1,57,4,2,3,307
226668,2,31,1,47,2,2,2,249
226771,2,36,2,5,4,2,4,319
226876,2,17,2,47,6,1,2,317
226888,2,84,2,47,4,1,3,382
226918,2,65,2,44,6,1,2,101
227241,1,22,2,56,6,2,3,101
227285,2,64,2,57,5,4,1,101
227294,2,31,2,43,2,1,2,101
227315,1,16,2,44,6,1,2,101
229445,2,83,1,3,6,3,1,101
229601,1,22,1,55,3,3,2,101
229605,2,22,1,53,3,3,4,101
229711,2,22,1,56,3,1,4,101
229945,2,87,1,39,1,4,4,101
230207,2,19,1,2,5,1,3,101
230226,2,65,1,39,1,3,3,101
230529,2,42,1,48,3,4,3,101
230566,1,81,1,56,7,4,4,101
230720,1,81,1,30,3,4,4,101
231256,2,81,1,56,3,3,2,727
231310,1,65,1,36,3,3,2,727
231689,1,82,1,0,7,4,4,455
232090,1,49,1,29,6,3,4,389
233605,1,66,1,24,5,3,1,389
234129,1,63,1,16,6,4,1,192
234219,1,53,1,29,2,2,3,186
234568,2,60,2,57,2,1,2,483
234977,2,20,2,54,2,2,2,685
235133,1,64,2,57,7,5,3,101
235204,1,59,2,37,3,3,4,101
235327,2,44,2,57,6,4,2,412
235487,2,44,2,16,6,1,4,101
235494,1,84,2,29,7,1,3,101
235864,2,32,2,7,1,1,4,101
236749,2,32,2,57,6,1,4,101
236985,1,20,2,57,7,5,3,667
237055,2,20,2,34,7,2,4,101
237385,2,37,2,57,4,2,4,417
240671,2,86,1,56,6,5,4,417
240704,2,86,2,17,5,5,1,101
240773,2,86,2,56,1,5,4,101
240779,1,64,2,48,5,5,1,414
241001,2,41,2,16,4,5,2,101
241090,2,54,1,17,4,5,1,101
241091,1,54,1,2,4,5,1,101
241126,2,64,2,29,2,5,2,101
241945,2,53,2,16,2,5,1,101
242520,2,46,1,35,4,1,1,101
243029,1,46,2,57,2,5,3,505
243307,2,35,1,32,1,1,3,413
243753,1,60,1,57,7,5,3,505
244578,1,16,1,32,5,5,1,101
244609,1,16,1,35,1,2,3,431
245000,1,15,2,57,5,5,1,509
246559,1,59,2,51,7,4,4,101
247242,1,62,1,51,2,4,2,668
247428,2,40,1,54,5,4,4,101
248623,2,36,2,29,1,1,3,101
249863,2,44,2,14,5,3,4,101
250000,2,44,1,14,6,4,4,101
250078,2,60,1,14,6,4,3,101
250099,2,36,2,50,3,1,2,101
250144,1,59,1,14,2,4,2,396
250222,2,59,2,30,3,4,2,101
250560,2,20,1,35,7,1,3,101
250625,1,36,1,36,2,1,3,674
250708,2,45,2,14,7,1,3,151
250714,1,49,1,35,3,1,3,464
250809,1,50,1,51,6,1,2,213
250815,2,49,1,32,1,4,4,101
251188,2,49,1,14,4,3,3,101
251361,1,18,1,14,6,4,2,398
251369,2,18,2,14,1,4,4,101
251593,2,49,2,14,2,1,1,387
251690,1,49,2,36,6,1,1,387
251853,1,81,2,14,1,3,1,488
251889,2,81,1,51,1,3,1,424
254342,2,81,2,14,6,4,3,101
254817,2,19,1,4,1,1,1,101
255197,2,35,2,14,1,1,1,249
255284,2,63,2,14,6,1,1,683
255605,1,37,2,31,7,2,3,683
255831,1,47,2,14,3,1,1,652
258096,2,47,1,24,5,1,2,101
258232,1,18,2,1,5,2,3,649
258287,1,37,1,32,3,3,3,649
258682,1,37,2,19,2,3,2,649
259074,1,37,2,32,2,2,2,101
259094,1,37,2,39,6,1,2,101
259149,2,42,2,14,6,4,3,101
259612,2,84,1,14,3,2,2,669
259613,1,84,2,14,3,2,4,101
259704,2,51,2,34,3,2,2,386
259806,1,40,2,17,4,4,2,101
260002,1,47,2,14,6,2,2,101
262426,1,29,1,29,1,4,3,291
262730,1,15,2,15,3,4,3,592
262761,1,87,1,1,3,5,3,290
262845,1,15,2,3,1,4,4,596
262889,1,73,1,3,7,1,1,812
262904,1,50,2,21,1,5,4,533
262922,2,87,2,15,3,5,1,502
262945,2,74,2,1,3,1,4,286
262971,2,74,2,15,6,4,1,284
263119,1,73,1,22,6,1,1,101
263156,2,74,2,22,3,2,4,101
265258,2,83,2,0,5,5,3,321
265336,2,75,2,19,1,2,1,101
265338,1,31,1,31,7,2,4,101
265352,1,65,2,14,3,1,3,101
265455,2,64,2,22,6,2,4,164
265488,2,36,2,58,1,1,1,166
265532,2,41,1,14,6,2,3,101
265748,1,64,1,14,3,1,1,101
265790,2,78,1,1,6,5,4,173
265999,1,65,1,17,1,5,1,101
266202,2,65,1,1,1,5,1,320
266340,1,78,1,14,5,5,1,381
266699,2,16,1,56,5,1,1,101
267374,2,14,1,57,5,5,4,700
267609,2,47,1,54,3,1,3,710
268131,2,15,2,6,7,1,1,416
268345,1,64,2,58,5,1,3,101
268474,1,15,2,10,7,5,1,704
268544,1,67,2,44,7,5,4,724
268571,1,67,2,59,7,2,4,791
268749,1,67,2,56,1,2,2,101
268830,1,67,2,44,1,2,2,101
268927,1,44,1,56,7,2,3,101
269256,1,76,2,30,3,2,2,787
269408,1,67,2,22,7,4,2,101
269668,1,81,2,6,7,4,4,101
269827,1,83,2,48,7,4,4,101
269864,1,46,1,10,7,4,3,101
269891,1,66,2,56,3,2,4,101
270035,1,83,2,48,3,4,2,101
270117,2,50,1,44,3,4,2,596
270160,2,90,2,30,3,2,2,594
270175,2,54,2,17,7,2,2,596
270298,2,83,1,55,3,4,2,101
270542,2,18,2,37,3,4,2,101
270578,2,14,2,54,3,4,2,629
270845,2,35,2,39,6,4,2,101
271210,2,86,2,39,5,4,2,321
275276,2,83,2,19,2,4,2,101
275390,2,50,2,28,4,3,3,321
278908,1,14,2,2,1,3,3,101
280581,2,16,2,37,4,3,2,321
280678,2,59,2,11,4,3,2,101
280680,2,44,2,57,5,3,4,101
280727,2,59,2,13,1,5,2,271
281411,2,19,1,45,2,5,4,704
281755,1,59,1,13,2,3,2,758
281971,2,59,1,18,4,3,3,270
282179,2,82,1,57,6,3,3,101
