B27,TAETIGKEITSSCHLUESSEL4,EF16U2,EF41,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
aa,1,3,54,1,101
aa,1,5,66,4,166
aa,1,5,44,3,101
aa,1,2,64,3,184
aa,1,2,15,1,101
aa,1,2,62,3,191
aa,1,1,49,3,101
aa,1,7,43,2,192
aa,1,3,68,4,101
aa,1,5,52,3,194
aa,1,7,64,4,101
aa,1,5,49,1,195
aa,1,6,82,3,101
aa,1,7,49,2,212
aa,1,4,18,1,101
aa,1,2,59,2,213
aa,1,6,60,4,101
aa,1,3,76,4,268
aa,1,6,53,2,101
aa,1,1,44,3,268
aa,1,6,41,4,101
aa,1,7,83,3,268
aa,1,3,67,4,101
aa,1,2,20,1,269
aa,1,6,41,2,101
aa,1,3,20,3,269
aa,1,5,62,3,101
aa,1,5,20,1,271
aa,1,5,55,1,101
aa,1,3,39,3,284
aa,1,5,72,1,101
aa,1,2,20,3,285
aa,1,5,55,1,101
aa,1,5,67,4,286
aa,1,3,36,1,101
aa,1,1,1,3,286
aa,1,7,44,1,101
aa,1,7,59,4,287
aa,1,1,49,4,104
aa,1,5,43,4,289
aa,1,1,61,4,120
aa,1,1,57,4,291
aa,1,7,36,4,137
aa,1,7,82,1,293
aa,1,1,72,3,145
aa,1,1,88,2,310
aa,1,1,92,3,163
aa,1,1,93,2,318
aa,1,6,67,1,192
aa,1,1,50,4,318
aa,1,1,72,3,199
aa,1,6,72,1,320
aa,1,7,76,1,201
aa,1,1,3,4,321
aa,1,1,87,2,217
aa,1,1,41,4,321
aa,1,6,67,1,222
aa,1,1,58,4,321
aa,1,1,80,3,234
aa,1,7,83,1,334
aa,1,1,27,4,241
aa,1,1,17,4,340
aa,1,7,86,1,247
aa,1,2,82,3,342
aa,1,3,82,3,258
aa,1,7,61,3,349
aa,1,2,82,3,262
aa,1,3,82,3,349
aa,1,6,74,4,269
aa,1,3,85,4,353
aa,1,7,71,4,270
aa,1,3,36,3,358
aa,1,2,82,3,271
aa,1,7,71,4,359
aa,1,4,6,3,278
aa,1,3,78,4,364
aa,1,5,41,4,289
aa,1,5,41,4,365
aa,1,5,80,3,305
aa,1,7,33,2,366
aa,1,3,80,3,320
aa,1,3,42,1,367
aa,1,3,36,1,320
aa,1,2,54,1,384
aa,1,3,80,3,320
aa,1,3,79,4,391
aa,1,3,46,3,321
aa,1,3,41,3,413
aa,1,2,50,1,321
aa,1,2,52,3,417
aa,1,6,35,3,330
aa,1,6,48,4,421
aa,1,2,48,3,337
aa,1,6,87,4,424
aa,1,2,71,3,338
aa,1,2,48,3,426
aa,1,2,41,3,348
aa,1,4,70,2,426
aa,1,4,70,2,354
aa,1,4,87,3,431
aa,1,6,79,4,357
aa,1,3,40,1,456
aa,1,3,36,3,358
aa,1,5,86,2,461
aa,1,3,50,1,365
aa,1,7,50,2,464
aa,1,2,48,1,370
aa,1,2,48,1,466
aa,1,2,50,1,372
aa,1,2,35,3,466
aa,1,4,8,3,381
aa,1,2,71,3,468
aa,1,6,47,4,412
aa,1,5,83,3,496
aa,1,5,81,2,421
aa,1,5,13,3,497
aa,1,4,17,3,452
aa,1,6,86,4,500
aa,1,6,86,4,461
aa,1,6,73,4,505
aa,1,3,79,3,465
aa,1,6,44,4,507
aa,1,3,79,3,469
aa,1,6,87,4,509
aa,1,6,48,4,470
aa,1,6,41,3,511
aa,1,7,59,1,531
aa,1,7,59,1,522
aa,1,6,82,3,538
aa,1,4,68,3,536
aa,1,7,39,3,539
aa,1,4,68,1,536
aa,1,5,51,4,540
aa,1,7,55,4,540
aa,1,4,37,4,542
aa,1,5,73,1,543
aa,1,7,59,3,545
aa,1,5,37,4,544
aa,1,5,83,3,547
aa,1,5,70,1,544
aa,1,5,17,1,562
aa,1,5,20,3,547
aa,1,3,17,1,565
aa,1,5,59,4,547
aa,1,3,20,3,566
aa,1,7,53,2,549
aa,1,5,43,1,571
aa,1,2,20,3,550
aa,1,2,20,3,576
aa,1,2,20,3,551
aa,1,7,21,1,579
aa,1,5,40,4,560
aa,1,2,76,1,593
aa,1,6,43,2,567
aa,1,7,58,2,595
aa,1,3,69,1,567
aa,1,6,83,3,624
aa,1,4,71,2,573
aa,1,3,83,2,626
aa,1,7,54,4,576
aa,1,7,54,1,629
aa,1,5,20,1,578
aa,1,3,72,2,638
aa,1,7,50,4,578
aa,1,1,50,1,649
aa,1,1,44,1,586
aa,1,1,26,2,650
aa,1,2,18,3,594
aa,1,3,76,1,654
aa,1,3,69,1,594
aa,1,5,62,2,664
aa,1,7,20,3,597
aa,1,6,20,3,669
aa,1,5,69,1,597
aa,1,3,29,1,670
aa,1,3,70,3,629
aa,1,4,35,3,671
aa,1,3,18,3,639
aa,1,3,18,3,682
aa,1,6,48,3,648
aa,1,6,43,4,686
aa,1,6,40,3,648
aa,1,7,82,3,688
aa,1,3,78,1,649
aa,1,1,27,3,696
aa,1,6,87,2,650
aa,1,6,83,3,724
aa,1,3,36,3,651
aa,1,5,40,4,725
aa,1,5,69,1,651
aa,1,6,69,1,725
aa,1,6,60,4,651
aa,1,6,49,4,727
aa,1,6,83,2,653
aa,1,3,35,2,796
aa,1,6,45,2,653
aa,1,4,78,1,796
aa,1,4,62,3,654
aa,1,6,83,2,797
aa,1,6,87,3,654
aa,1,4,82,3,798
aa,1,3,42,3,655
aa,1,6,62,4,798
aa,1,6,50,3,666
aa,1,5,35,2,799
aa,1,2,45,1,668
aa,1,6,40,2,801
aa,1,5,35,2,668
aa,1,5,43,4,804
aa,1,6,30,3,670
aa,1,4,47,1,813
aa,1,2,46,1,709
aa,2,3,51,2,101
aa,2,5,56,4,13
aa,2,5,48,4,101
aa,2,5,60,4,21
aa,2,5,51,4,101
aa,2,3,48,2,81
aa,2,3,58,2,101
aa,2,5,20,1,101
aa,2,5,58,1,101
aa,2,1,62,2,101
aa,2,5,62,2,101
aa,2,2,29,3,101
aa,2,3,21,3,101
aa,2,2,83,3,101
aa,2,5,47,3,101
aa,2,2,40,2,101
aa,2,6,74,2,101
aa,2,2,59,4,101
aa,2,2,53,4,101
aa,2,4,62,2,101
aa,2,5,62,4,101
aa,2,4,21,3,101
aa,2,3,20,4,101
aa,2,3,81,1,101
aa,2,7,70,4,101
aa,2,4,51,4,101
aa,2,5,74,1,101
aa,2,6,71,1,101
aa,2,4,62,4,101
aa,2,6,83,3,101
aa,2,7,87,3,101
aa,2,1,60,2,101
aa,2,5,62,1,101
aa,2,2,21,3,101
aa,2,6,70,3,101
aa,2,7,36,1,101
aa,2,4,83,1,101
aa,2,6,45,3,101
aa,2,5,20,3,101
aa,2,3,37,4,101
aa,2,3,77,4,101
aa,2,2,29,3,101
aa,2,6,30,3,101
aa,2,2,62,4,101
aa,2,5,62,1,101
aa,2,3,21,3,101
aa,2,4,86,1,101
aa,2,2,30,3,101
aa,2,2,35,2,101
aa,2,2,35,2,101
aa,2,6,77,3,101
aa,2,5,21,4,101
aa,2,7,72,1,101
aa,2,4,60,4,101
aa,2,6,43,1,101
aa,2,3,81,3,101
aa,2,4,17,1,101
aa,2,5,51,4,101
aa,2,3,70,3,101
aa,2,6,20,2,101
aa,2,5,20,4,101
aa,2,3,81,1,101
aa,2,5,79,1,101
aa,2,3,76,4,101
aa,2,3,73,4,101
aa,2,1,61,2,101
aa,2,6,74,3,101
aa,2,5,21,4,101
aa,2,5,80,1,101
aa,2,1,66,1,101
aa,2,6,69,4,101
aa,2,2,51,4,101
aa,2,5,20,3,101
aa,2,7,35,3,101
aa,2,5,47,2,101
aa,2,4,86,1,101
aa,2,5,20,4,101
aa,2,2,39,2,101
aa,2,7,86,2,101
aa,2,3,82,3,101
aa,2,5,20,3,101
aa,2,2,83,3,101
aa,2,1,62,2,101
aa,2,3,72,4,101
aa,2,7,57,3,101
aa,2,7,82,2,101
aa,2,6,62,4,101
aa,2,3,58,4,101
aa,2,6,71,1,101
aa,2,3,37,4,101
aa,2,5,20,4,101
aa,2,3,75,4,101
aa,2,5,20,3,101
aa,2,5,20,3,101
aa,2,3,16,1,101
aa,2,1,61,2,101
aa,2,3,62,4,101
aa,2,1,66,1,101
aa,2,7,57,2,101
aa,2,3,16,1,101
aa,2,2,40,2,101
aa,2,2,83,3,101
aa,2,5,76,1,101
aa,2,5,69,3,101
aa,2,3,16,1,101
aa,2,2,20,3,101
aa,2,6,83,3,101
aa,2,3,54,1,101
aa,2,6,70,1,101
aa,2,1,62,2,101
aa,2,1,61,2,101
aa,2,2,53,4,101
aa,2,4,87,2,101
aa,2,1,60,2,101
aa,2,7,63,1,101
aa,2,5,79,4,101
aa,2,3,20,4,101
aa,2,3,77,4,101
aa,2,6,70,1,101
aa,2,2,35,2,101
aa,2,3,35,1,101
aa,2,2,50,1,101
aa,2,5,20,3,101
aa,2,5,49,4,101
aa,2,3,37,4,101
aa,2,2,40,2,101
aa,2,3,74,3,101
aa,2,4,21,3,101
aa,2,3,51,1,101
aa,2,2,62,4,101
aa,2,6,87,2,101
aa,2,4,20,3,101
aa,2,5,20,3,101
aa,2,3,69,3,101
aa,2,5,50,3,101
aa,2,2,21,3,101
aa,2,5,17,1,101
aa,2,1,61,2,101
aa,2,6,24,3,101
aa,2,7,69,4,101
aa,2,7,21,2,101
aa,2,7,82,3,101
aa,2,7,21,2,101
aa,2,1,66,1,101
aa,2,3,53,4,101
aa,2,6,39,1,101
aa,2,1,62,2,101
aa,2,5,20,4,101
aa,2,7,57,2,101
aa,2,3,21,3,101
aa,2,6,74,2,101
aa,2,2,21,3,101
aa,2,2,49,4,101
aa,2,3,16,1,101
aa,2,3,16,1,101
aa,2,5,51,4,101
aa,2,2,40,2,101
aa,2,3,35,1,101
aa,2,2,62,4,101
aa,2,7,57,4,101
aa,2,2,35,2,101
aa,2,3,16,1,101
aa,2,5,62,1,101
aa,2,7,74,4,101
aa,2,6,70,4,101
aa,2,4,86,3,101
aa,2,6,70,4,101
aa,2,6,24,3,101
aa,2,6,64,4,101
aa,2,7,59,2,101
aa,2,6,40,2,101
aa,2,3,53,4,101
aa,2,6,59,3,101
aa,2,1,66,1,101
aa,2,7,23,2,101
aa,2,5,20,1,101
aa,2,3,16,1,101
aa,2,3,21,4,101
aa,2,3,69,3,101
aa,2,2,35,2,101
aa,2,2,80,3,101
aa,2,3,26,3,101
aa,2,4,17,1,101
aa,2,3,16,1,101
aa,2,1,61,2,101
aa,2,1,62,2,101
aa,2,1,67,1,101
aa,2,5,51,4,101
aa,2,3,69,3,101
aa,2,5,62,4,101
aa,2,4,62,2,101
aa,2,6,18,3,101
aa,2,3,73,4,101
aa,2,2,69,3,101
aa,2,1,62,2,101
aa,2,7,57,2,101
aa,2,3,76,4,101
aa,2,3,21,4,101
aa,2,3,21,3,101
aa,2,4,86,3,101
aa,2,1,62,2,101
aa,2,5,62,4,101
aa,2,6,53,2,101
aa,2,5,18,3,101
aa,2,1,67,1,101
aa,2,5,41,3,101
aa,2,7,59,2,101
aa,2,2,27,3,101
aa,2,4,87,2,101
aa,2,4,83,2,101
aa,2,7,50,2,101
aa,2,7,83,3,101
aa,2,1,62,2,101
aa,2,2,83,3,101
aa,2,5,74,4,101
aa,2,2,40,2,101
aa,2,3,72,4,101
aa,2,2,74,3,101
aa,2,5,62,2,101
aa,2,5,20,4,101
aa,2,2,40,2,101
aa,2,3,58,4,101
aa,2,1,62,2,101
aa,2,4,60,4,101
aa,2,7,57,2,101
aa,2,6,51,2,101
aa,2,7,83,3,101
aa,2,5,41,3,101
aa,2,6,74,2,101
aa,2,6,70,1,101
aa,2,7,34,2,101
aa,2,1,67,1,101
aa,2,2,20,3,101
aa,2,1,66,1,101
aa,2,5,20,4,101
aa,2,3,20,4,101
aa,2,4,51,2,101
aa,2,6,18,3,101
aa,2,7,87,3,101
aa,2,6,53,2,101
aa,2,2,51,4,101
aa,2,5,51,2,101
aa,2,5,75,1,101
aa,2,5,58,1,101
aa,2,3,81,1,101
aa,2,2,59,4,101
aa,2,2,40,2,101
aa,2,3,73,4,101
aa,2,7,80,1,101
aa,2,2,35,2,101
aa,2,5,69,3,101
aa,2,2,35,2,101
aa,2,5,51,2,101
aa,2,6,69,1,101
aa,2,7,23,2,101
aa,2,2,20,3,101
aa,2,5,50,3,101
aa,2,2,59,1,101
aa,2,6,74,4,120
aa,2,6,83,3,101
aa,2,2,62,4,120
aa,2,7,51,2,101
aa,2,1,67,1,123
aa,2,4,18,1,101
aa,2,6,77,3,124
aa,2,4,39,2,101
aa,2,7,49,2,126
aa,2,1,60,2,101
aa,2,3,39,1,146
aa,2,5,58,1,101
aa,2,2,50,1,158
aa,2,5,79,1,101
aa,2,2,61,1,159
aa,2,6,70,2,101
aa,2,4,83,1,159
aa,2,1,62,2,101
aa,2,7,49,3,184
aa,2,1,66,1,101
aa,2,3,20,4,185
aa,2,5,21,3,101
aa,2,5,62,3,186
aa,2,6,51,2,101
aa,2,3,21,3,188
aa,2,5,83,4,101
aa,2,6,18,2,190
aa,2,7,59,2,101
aa,2,6,44,1,191
aa,2,2,62,4,101
aa,2,1,67,1,194
aa,2,4,87,1,101
aa,2,7,59,2,194
aa,2,2,35,2,101
aa,2,4,20,1,212
aa,2,5,82,4,101
aa,2,1,66,1,212
aa,2,7,82,2,101
aa,2,6,51,2,213
aa,2,2,52,1,101
aa,2,7,80,1,213
aa,2,3,73,4,101
aa,2,3,16,1,213
aa,2,2,41,1,101
aa,2,5,62,4,228
aa,2,6,62,4,101
aa,2,2,49,4,229
aa,2,6,51,2,101
aa,2,1,60,2,229
aa,2,7,21,2,101
aa,2,2,26,3,235
aa,2,7,69,3,101
aa,2,2,20,3,249
aa,2,2,71,3,101
aa,2,7,51,4,249
aa,2,2,35,2,101
aa,2,3,51,1,249
aa,2,7,70,1,101
aa,2,3,81,3,249
aa,2,6,48,2,101
aa,2,2,70,3,268
aa,2,4,39,2,101
aa,2,4,62,2,268
aa,2,5,20,3,101
aa,2,3,74,4,268
aa,2,3,62,4,101
aa,2,3,81,1,268
aa,2,5,20,4,101
aa,2,3,78,1,269
aa,2,7,82,2,101
aa,2,6,20,2,269
aa,2,2,69,3,101
aa,2,5,60,3,284
aa,2,2,35,2,101
aa,2,5,21,4,285
aa,2,4,83,4,101
aa,2,6,62,4,290
aa,2,7,57,2,101
aa,2,3,37,4,294
aa,2,3,74,4,101
aa,2,7,78,1,304
aa,2,2,26,3,101
aa,2,7,70,1,309
aa,2,5,62,2,101
aa,2,4,70,3,320
aa,2,5,50,1,101
aa,2,3,62,4,320
aa,2,2,20,3,101
aa,2,6,52,2,321
aa,2,5,21,4,101
aa,2,6,83,3,321
aa,2,7,69,1,101
aa,2,3,51,1,335
aa,2,4,83,4,101
aa,2,7,49,2,369
aa,2,1,66,1,101
aa,2,2,20,3,370
aa,2,3,16,1,101
aa,2,5,82,4,373
aa,2,3,78,4,101
aa,2,5,87,1,376
aa,2,5,51,1,101
aa,2,3,62,4,379
aa,2,3,50,2,114
aa,2,3,54,2,380
aa,2,5,56,4,123
aa,2,1,81,2,382
aa,2,1,67,3,163
aa,2,1,78,2,382
aa,2,1,94,3,250
aa,2,6,47,4,385
aa,2,6,44,4,276
aa,2,6,50,4,393
aa,2,3,20,3,304
aa,2,6,38,4,398
aa,2,6,17,2,316
aa,2,7,26,2,412
aa,2,3,20,3,317
aa,2,5,36,3,412
aa,2,3,21,3,320
aa,2,3,21,3,413
aa,2,3,83,3,321
aa,2,5,43,3,414
aa,2,7,26,3,330
aa,2,7,26,3,415
aa,2,5,43,3,333
aa,2,7,35,4,415
aa,2,2,75,3,364
aa,2,2,20,3,451
aa,2,2,75,3,366
aa,2,2,20,3,452
aa,2,3,21,3,369
aa,2,2,20,3,455
aa,2,2,71,3,376
aa,2,5,49,3,456
aa,2,5,49,3,377
aa,2,2,80,3,459
aa,2,6,50,4,380
aa,2,6,54,4,496
aa,2,3,83,3,402
aa,2,2,80,3,500
aa,2,6,41,4,412
aa,2,5,47,3,501
aa,2,5,37,3,415
aa,2,5,46,3,505
aa,2,5,39,2,453
aa,2,5,51,2,507
aa,2,2,74,3,462
aa,2,6,41,4,511
aa,2,2,57,2,520
aa,2,7,86,1,529
aa,2,2,31,3,521
aa,2,2,80,3,538
aa,2,1,80,2,521
aa,2,1,80,3,541
aa,2,7,70,1,523
aa,2,5,74,3,560
aa,2,3,78,1,529
aa,2,3,13,3,564
aa,2,3,36,2,539
aa,2,3,29,1,565
aa,2,1,83,1,544
aa,2,2,71,1,576
aa,2,5,74,2,548
aa,2,3,18,1,579
aa,2,5,68,1,561
aa,2,3,40,2,586
aa,2,5,58,3,586
aa,2,2,39,2,587
aa,2,3,51,2,586
aa,2,5,70,1,592
aa,2,5,70,1,587
aa,2,3,32,3,594
aa,2,3,37,4,587
aa,2,4,32,2,595
aa,2,1,20,4,592
aa,2,5,21,1,597
aa,2,3,28,4,592
aa,2,7,83,4,599
aa,2,3,37,4,595
aa,2,3,28,4,599
aa,2,6,82,4,596
aa,2,7,18,1,624
aa,2,7,83,4,624
aa,2,7,71,4,629
aa,2,6,48,2,631
aa,2,6,83,4,631
aa,2,4,57,2,634
aa,2,3,74,1,635
aa,2,3,18,3,637
aa,2,3,58,1,636
aa,2,3,74,1,639
aa,2,4,64,3,649
aa,2,6,62,1,652
aa,2,1,20,3,649
aa,2,6,45,3,654
aa,2,6,58,3,651
aa,2,6,32,4,668
aa,2,5,59,1,667
aa,2,1,69,2,672
aa,2,6,70,2,669
aa,2,3,37,4,674
aa,2,1,37,4,676
aa,2,3,36,4,678
aa,2,1,52,1,688
aa,2,3,48,2,686
aa,2,6,84,4,696
aa,2,7,52,1,688
aa,2,7,52,1,696
aa,2,7,82,4,700
aa,2,7,52,1,699
aa,2,2,41,3,707
aa,2,1,32,4,708
aa,2,2,29,4,711
aa,2,3,51,1,708
aa,2,3,29,4,714
aa,2,7,32,3,710
aa,2,3,29,3,717
aa,2,3,35,4,712
aa,2,3,21,3,724
aa,2,2,50,2,715
aa,2,3,21,4,725
aa,2,5,39,2,715
aa,2,7,36,4,727
aa,2,3,29,1,715
aa,2,6,32,4,755
aa,2,7,21,3,719
aa,2,7,21,2,756
aa,2,5,50,1,725
aa,2,6,49,2,758
aa,2,7,21,2,726
aa,2,7,36,4,761
aa,2,3,17,1,727
aa,2,3,53,2,763
aa,2,3,29,3,728
aa,2,3,45,3,776
aa,2,3,29,4,754
aa,2,7,37,4,779
aa,2,6,35,1,754
aa,2,7,35,3,779
aa,2,7,37,4,757
aa,2,5,20,4,781
aa,2,7,33,4,759
aa,2,7,32,4,783
aa,2,1,32,4,763
aa,2,1,32,4,788
aa,2,3,37,4,764
aa,2,6,26,4,791
aa,2,5,21,4,766
