TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,EF16U2,LEISTUNGSGRUPPE,B27,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
1,39,2,25,6,1,aa,2,101
1,18,2,40,4,2,aa,3,101
1,46,1,35,1,5,aa,4,469
1,69,1,40,2,1,aa,3,101
1,20,1,52,6,3,aa,3,101
1,36,1,27,4,4,aa,3,101
1,50,2,48,3,5,aa,4,101
1,68,2,62,6,4,aa,1,101
1,16,1,29,5,2,aa,4,531
1,81,1,24,6,1,aa,1,499
1,46,2,13,2,3,aa,1,101
1,64,1,48,7,4,aa,4,101
1,82,1,28,5,4,aa,1,101
1,64,1,20,2,3,aa,1,101
1,68,1,10,4,5,aa,3,679
1,44,1,5,5,4,aa,2,101
1,67,2,27,6,3,aa,3,101
1,67,2,0,6,4,aa,1,101
1,22,2,54,1,2,aa,1,540
1,68,2,9,7,1,aa,3,693
1,56,1,63,7,5,aa,3,101
1,36,1,27,7,3,aa,4,101
1,86,2,53,3,2,aa,1,529
1,47,1,45,5,1,aa,3,101
1,20,1,40,3,1,aa,1,101
1,44,2,6,5,3,aa,3,101
1,70,2,42,6,3,aa,4,101
1,24,2,57,1,5,aa,3,101
1,82,1,10,4,2,aa,3,101
1,57,2,19,2,4,aa,1,101
1,50,2,52,6,3,aa,1,101
1,73,2,56,7,2,aa,4,321
1,86,2,19,3,4,aa,2,101
1,21,2,53,2,1,aa,2,534
1,59,1,29,6,2,aa,2,539
1,49,2,52,7,1,aa,1,101
1,41,2,35,7,1,aa,1,101
1,69,1,48,4,4,aa,4,533
1,26,1,28,7,5,aa,1,592
1,23,2,9,6,4,aa,1,333
1,50,1,3,3,1,aa,3,101
1,44,1,50,4,1,aa,1,101
1,18,1,42,3,5,aa,1,101
1,61,1,51,1,3,aa,1,599
1,18,1,41,7,5,aa,3,101
1,32,1,56,5,3,aa,1,682
1,69,1,5,7,2,aa,3,285
1,72,1,42,7,3,aa,2,464
1,42,1,15,2,1,aa,1,101
1,54,1,54,6,1,aa,4,309
1,20,1,1,3,5,aa,3,101
1,20,1,54,4,2,aa,4,101
1,88,2,19,3,5,aa,2,101
1,68,1,25,4,1,aa,1,101
1,80,2,37,1,4,aa,3,101
1,44,1,36,6,1,aa,2,330
1,44,1,45,7,3,aa,3,101
1,40,2,13,4,1,aa,4,101
1,82,1,27,6,4,aa,1,101
1,69,2,61,6,1,aa,4,101
1,64,1,48,2,4,aa,1,101
1,39,1,27,2,1,aa,2,101
1,53,2,61,6,3,aa,4,448
1,46,2,50,5,2,aa,4,101
1,70,1,42,3,5,aa,4,101
1,69,2,36,6,5,aa,3,101
1,18,2,9,6,5,aa,1,101
1,59,2,9,5,2,aa,3,101
1,49,1,27,2,4,aa,2,349
1,26,2,28,1,3,aa,1,593
1,59,1,6,5,3,aa,3,101
1,66,1,27,5,2,aa,2,595
1,20,2,54,5,1,aa,1,101
1,69,1,59,4,1,aa,4,677
1,49,2,42,5,4,aa,3,101
1,54,2,33,5,1,aa,1,364
1,59,2,62,7,5,aa,1,101
1,36,1,59,5,2,aa,2,101
1,68,2,10,3,3,aa,3,309
1,59,2,3,4,1,aa,2,101
1,20,1,28,4,2,aa,1,572
1,44,1,61,7,3,aa,3,334
1,43,1,49,1,5,aa,3,510
1,45,2,6,1,3,aa,3,101
1,55,1,30,1,2,aa,2,320
1,86,2,34,2,3,aa,4,586
1,52,1,28,7,2,aa,1,471
1,21,2,28,6,3,aa,1,567
1,70,2,61,4,1,aa,4,101
1,72,2,18,4,5,aa,1,292
1,18,2,9,4,5,aa,1,101
1,67,1,43,2,5,aa,4,101
1,22,2,54,1,1,aa,4,542
1,82,2,9,3,5,aa,1,101
1,44,2,37,7,5,aa,1,101
1,28,2,58,2,3,aa,1,576
1,59,1,21,7,3,aa,4,321
1,86,2,51,7,1,aa,4,415
1,44,1,61,7,5,aa,1,328
1,32,1,38,6,3,aa,1,306
1,78,2,61,6,4,aa,1,329
1,40,1,13,2,1,aa,3,101
1,43,1,58,6,1,aa,1,320
1,50,2,32,6,2,aa,4,101
1,20,2,31,3,1,aa,3,101
1,57,1,14,7,4,aa,4,101
1,84,1,13,6,4,aa,2,703
1,57,1,61,5,4,aa,2,101
1,53,1,22,4,4,aa,3,101
1,20,2,54,7,2,aa,3,101
1,18,1,9,7,5,aa,3,101
1,43,1,47,5,2,aa,2,101
1,67,1,43,3,3,aa,4,101
1,53,1,53,3,3,aa,4,575
1,29,2,54,3,5,aa,3,579
1,78,1,61,6,5,aa,4,465
1,69,1,53,5,4,aa,2,468
1,54,1,54,3,2,aa,2,101
1,20,2,40,5,5,aa,2,101
1,67,1,43,3,3,aa,2,101
1,58,1,60,2,5,aa,2,101
1,18,1,6,7,5,aa,3,101
1,68,2,10,4,4,aa,4,678
1,52,1,26,7,3,aa,4,538
1,62,1,25,2,5,aa,1,544
1,72,2,48,3,3,aa,1,101
1,52,1,5,2,1,aa,4,101
1,60,2,61,3,1,aa,3,101
1,44,1,28,2,5,aa,4,101
1,44,2,32,5,3,aa,3,101
1,67,2,43,4,4,aa,4,101
1,46,1,47,6,3,aa,4,101
1,24,2,57,5,4,aa,4,101
1,83,2,10,3,3,aa,4,101
1,20,1,53,1,1,aa,4,101
1,20,1,29,3,3,aa,4,537
1,68,2,31,4,5,aa,1,348
1,82,2,31,1,3,aa,1,492
1,44,2,28,7,2,aa,1,101
1,87,1,19,4,1,aa,3,101
1,49,1,52,2,5,aa,4,101
1,72,2,0,6,1,aa,2,101
1,36,2,0,6,2,aa,3,101
1,64,2,0,6,4,aa,1,101
1,20,2,55,3,2,aa,4,560
1,47,1,45,5,2,aa,2,101
1,33,1,28,5,3,aa,4,532
1,84,2,20,4,1,aa,3,466
1,44,1,30,1,5,aa,1,101
1,72,1,56,2,1,aa,1,314
1,21,2,28,1,2,aa,4,573
1,83,2,20,2,4,aa,3,312
1,67,1,62,6,3,aa,4,101
1,70,1,40,2,2,aa,2,101
1,58,1,6,6,3,aa,4,101
1,39,1,48,2,3,aa,1,724
1,45,1,33,5,4,aa,2,270
1,44,2,54,2,1,aa,2,333
1,69,2,61,2,1,aa,4,101
1,46,2,14,3,2,aa,2,101
1,55,2,35,6,1,aa,3,287
1,57,2,19,4,2,aa,4,101
1,18,2,9,5,1,aa,2,101
1,45,1,32,2,1,aa,1,101
1,49,1,40,2,5,aa,2,101
1,74,2,25,2,1,aa,3,336
1,28,2,49,3,5,aa,2,577
1,46,1,15,1,2,aa,3,101
1,44,1,10,2,1,aa,2,291
1,18,2,9,1,3,aa,4,101
1,53,2,61,5,5,aa,3,455
1,20,1,40,3,3,aa,1,101
1,72,2,0,7,3,aa,4,101
1,70,2,34,6,2,aa,4,417
1,82,1,33,4,2,aa,4,693
1,44,2,28,5,4,aa,3,101
1,50,1,48,1,5,aa,4,101
1,44,2,28,1,3,aa,3,542
1,60,2,9,6,1,aa,1,101
1,20,2,28,3,1,aa,4,566
1,75,1,25,1,5,aa,1,565
1,20,1,28,6,4,aa,3,101
1,69,1,0,4,3,aa,3,101
1,62,1,62,5,5,aa,1,101
1,55,1,3,5,2,aa,4,321
1,51,1,9,2,4,aa,1,101
1,53,2,37,5,1,aa,3,386
1,59,2,29,2,1,aa,1,542
1,18,2,41,7,2,aa,4,101
1,57,1,60,3,1,aa,4,101
1,67,1,40,4,5,aa,3,101
1,83,1,37,4,1,aa,1,101
1,20,2,1,7,5,aa,2,289
1,44,1,45,6,1,aa,3,101
1,65,2,54,1,4,aa,1,101
1,82,1,31,4,2,aa,1,492
1,69,1,40,7,1,aa,1,354
1,44,1,48,5,4,aa,4,101
1,68,2,35,3,4,aa,1,365
1,50,2,35,7,4,aa,4,101
1,46,2,14,3,3,aa,3,101
1,83,2,9,1,4,aa,3,101
1,30,2,4,4,4,aa,1,101
1,30,2,4,7,2,aa,1,101
1,86,2,53,2,5,aa,1,531
1,42,2,47,7,4,aa,3,101
1,65,2,54,3,2,aa,1,101
1,83,1,37,6,1,aa,4,101
1,55,1,32,5,3,aa,4,101
1,81,2,10,4,3,aa,2,101
1,86,2,9,7,4,aa,3,688
1,49,1,35,6,2,aa,4,333
1,45,2,6,4,2,aa,2,101
1,43,2,37,5,3,aa,2,101
1,67,2,62,5,3,aa,1,101
1,70,2,40,4,4,aa,1,101
1,64,1,33,2,4,aa,3,366
1,33,1,27,3,3,aa,2,101
1,80,1,58,3,4,aa,1,561
1,68,2,25,4,4,aa,1,101
1,82,1,9,7,2,aa,2,101
1,77,1,37,6,1,aa,3,458
1,34,1,49,3,4,aa,3,537
1,68,1,62,2,2,aa,4,101
1,64,1,27,5,4,aa,4,101
1,69,1,36,6,5,aa,1,101
1,18,2,28,5,4,aa,3,101
1,18,2,28,2,5,aa,4,364
1,18,1,28,1,4,aa,4,101
1,78,1,28,6,2,aa,3,535
1,44,2,15,6,1,aa,1,101
1,69,2,36,5,5,aa,1,101
1,23,1,30,6,3,aa,3,330
1,73,2,18,1,2,aa,2,101
1,78,1,58,1,2,aa,1,321
1,69,1,37,5,4,aa,2,101
1,44,2,61,1,5,aa,2,101
1,18,1,42,6,5,aa,1,101
1,33,2,35,5,5,aa,2,269
1,28,1,58,4,4,aa,2,577
1,53,1,14,6,5,aa,4,316
1,86,2,34,5,3,aa,2,587
1,52,1,26,5,5,aa,4,541
1,72,2,53,5,5,aa,3,291
1,64,2,6,4,2,aa,2,101
1,69,2,37,6,3,aa,3,101
1,46,2,14,6,1,aa,2,101
1,41,1,47,7,3,aa,4,101
1,17,2,8,6,1,aa,1,101
1,70,2,40,4,3,aa,1,101
1,20,2,40,3,4,aa,4,101
1,18,1,13,6,1,aa,2,287
1,26,2,56,2,3,aa,1,101
1,72,2,48,4,2,aa,1,101
1,69,2,62,2,5,aa,1,101
1,30,1,19,3,1,aa,2,101
1,69,1,36,6,5,aa,2,101
1,67,1,25,6,1,aa,2,101
1,45,2,3,5,4,aa,4,101
1,43,2,48,5,4,aa,3,101
1,76,2,2,1,1,aa,4,649
1,20,2,40,3,5,aa,4,101
1,22,1,54,6,3,aa,3,101
1,82,2,16,1,1,aa,3,101
1,26,2,28,5,5,aa,2,285
1,57,1,10,1,4,aa,2,101
1,78,2,18,3,3,aa,1,465
1,53,2,26,4,2,aa,4,567
1,18,1,41,7,1,aa,2,101
1,49,1,34,2,3,aa,4,101
1,83,2,8,7,5,aa,1,653
1,80,2,36,5,1,aa,4,268
1,58,2,40,2,1,aa,4,101
1,71,1,33,3,2,aa,3,290
1,72,2,31,1,2,aa,4,506
1,43,2,62,5,5,aa,1,101
1,18,2,9,4,3,aa,1,284
1,41,2,45,5,5,aa,4,101
1,73,2,12,3,5,aa,1,305
1,81,2,10,5,4,aa,4,101
1,18,1,1,7,1,aa,3,101
1,18,1,28,7,4,aa,3,598
1,26,1,54,1,3,aa,3,593
1,87,2,48,6,3,aa,3,354
1,55,1,32,6,2,aa,3,101
1,20,1,40,6,4,aa,1,260
1,82,1,33,3,2,aa,2,548
1,46,2,15,3,1,aa,1,101
1,33,1,28,6,4,aa,1,533
1,46,1,47,1,1,aa,3,101
1,34,2,27,3,4,aa,2,101
1,18,2,57,3,2,aa,2,536
1,84,1,61,7,1,aa,2,506
1,54,1,54,3,2,aa,4,101
1,18,1,9,6,2,aa,2,101
1,40,2,5,5,2,aa,1,101
1,39,2,61,7,4,aa,4,101
1,46,2,50,1,4,aa,4,101
1,62,1,25,2,3,aa,2,551
1,18,1,28,3,4,aa,2,593
1,61,1,51,5,3,aa,3,598
1,50,1,52,3,1,aa,4,101
1,39,1,0,6,1,aa,4,101
1,52,2,23,2,3,aa,3,101
1,71,1,55,3,2,aa,4,666
1,58,1,23,2,4,aa,4,101
1,45,2,47,4,4,aa,1,101
1,76,1,20,5,3,aa,2,101
1,59,1,9,7,3,aa,4,101
1,30,1,29,5,1,aa,3,101
1,49,2,48,4,5,aa,3,101
1,64,2,5,5,2,aa,1,101
1,83,1,28,2,5,aa,4,101
1,26,2,59,5,5,aa,3,101
1,67,2,13,5,3,aa,3,686
1,21,1,54,5,5,aa,2,101
1,76,1,54,5,3,aa,1,101
1,54,1,32,5,1,aa,3,101
1,50,1,13,4,1,aa,1,101
1,89,1,18,4,4,aa,3,101
1,24,1,31,2,2,aa,2,101
1,25,1,26,5,4,aa,1,536
1,54,1,57,5,4,aa,4,667
1,70,1,41,7,4,aa,1,331
1,26,2,56,2,3,aa,3,101
1,18,1,41,3,1,aa,3,101
1,68,1,62,1,5,aa,1,101
1,80,1,25,5,4,aa,1,574
1,76,2,54,3,1,aa,2,672
1,46,2,13,7,1,aa,3,101
1,52,2,22,6,1,aa,4,468
1,44,1,28,7,1,aa,3,101
1,41,1,28,4,2,aa,4,101
1,83,2,26,5,3,aa,1,101
1,55,2,35,1,1,aa,2,426
1,51,2,48,2,3,aa,3,101
1,81,2,52,3,5,aa,2,355
1,39,2,61,6,2,aa,4,101
1,44,2,50,3,4,aa,4,101
1,76,2,44,5,3,aa,1,652
1,72,2,2,4,1,aa,2,294
1,20,2,52,4,4,aa,3,101
1,64,1,6,2,3,aa,2,101
1,69,1,36,5,1,aa,2,101
1,20,2,28,6,3,aa,3,101
1,25,1,26,4,3,aa,1,538
1,43,2,32,1,4,aa,3,101
1,68,1,35,6,4,aa,2,365
1,18,2,9,6,4,aa,3,101
1,57,1,43,1,1,aa,4,101
1,24,2,57,7,2,aa,2,101
1,54,1,57,5,4,aa,3,665
1,25,2,29,5,3,aa,1,530
1,68,1,10,2,3,aa,1,349
1,80,2,25,5,3,aa,3,101
1,17,2,20,3,4,aa,4,101
1,22,2,54,1,2,aa,4,101
1,18,1,28,2,4,aa,4,101
1,69,1,62,1,3,aa,2,101
1,44,1,15,6,3,aa,4,101
1,69,1,48,3,4,aa,1,534
1,53,1,53,3,5,aa,2,505
1,18,1,9,4,3,aa,1,101
1,49,1,22,4,4,aa,4,321
1,20,2,15,3,3,aa,4,305
1,41,1,28,4,4,aa,2,101
1,70,2,61,6,1,aa,4,101
1,43,1,47,5,1,aa,1,101
1,18,2,40,4,1,aa,1,101
1,53,1,15,6,1,aa,3,290
1,69,2,25,4,2,aa,2,101
1,65,2,52,2,1,aa,2,101
1,39,1,5,1,5,aa,2,101
1,84,2,2,6,3,aa,4,286
1,43,2,37,4,2,aa,4,101
1,67,1,0,2,2,aa,1,101
1,42,2,15,1,2,aa,3,101
1,24,2,57,7,3,aa,1,101
1,41,2,5,2,3,aa,4,101
1,45,2,6,3,3,aa,1,101
1,44,1,28,3,3,aa,3,101
1,37,2,29,2,3,aa,1,289
1,58,2,8,4,1,aa,4,101
1,59,1,40,5,2,aa,3,101
1,53,1,22,3,4,aa,4,101
1,55,2,42,5,2,aa,3,101
1,69,2,37,6,1,aa,1,101
1,20,1,28,3,5,aa,2,101
1,46,1,15,5,4,aa,1,101
1,58,2,40,1,2,aa,1,101
1,44,1,61,2,4,aa,1,507
1,26,1,59,6,2,aa,2,101
1,51,1,41,3,1,aa,3,101
1,74,1,61,6,3,aa,3,395
1,57,1,2,3,3,aa,4,101
1,42,2,15,4,2,aa,4,101
1,75,1,56,4,3,aa,1,673
1,59,2,6,1,3,aa,1,367
1,69,1,40,5,5,aa,4,666
1,39,2,27,5,2,aa,2,101
1,26,2,3,1,5,aa,4,312
1,69,2,25,7,3,aa,1,101
1,26,1,56,2,1,aa,1,101
1,48,2,54,7,5,aa,4,331
1,67,1,10,6,1,aa,4,358
1,50,2,48,6,5,aa,1,101
1,44,1,28,2,1,aa,1,543
1,20,2,28,5,5,aa,4,101
1,36,1,33,2,5,aa,2,271
1,60,2,57,7,5,aa,4,510
1,43,1,5,7,5,aa,4,101
1,68,1,35,1,4,aa,4,364
1,52,1,48,4,4,aa,1,101
1,82,2,28,6,5,aa,2,597
1,49,2,3,5,1,aa,2,335
1,52,1,40,3,4,aa,3,101
1,20,2,42,1,3,aa,1,329
1,69,2,25,4,4,aa,2,101
1,29,2,29,5,4,aa,1,101
1,70,2,41,6,3,aa,2,101
1,66,2,41,3,3,aa,3,271
1,57,2,6,6,1,aa,4,101
1,54,1,54,5,3,aa,4,101
1,64,2,5,4,2,aa,1,101
1,82,1,28,6,4,aa,4,342
1,84,2,53,2,3,aa,3,386
1,26,2,54,3,3,aa,1,595
1,44,1,14,1,2,aa,4,314
1,68,1,9,5,5,aa,1,336
1,34,1,27,6,3,aa,3,101
1,29,1,3,2,2,aa,1,101
1,53,1,48,1,5,aa,3,101
1,18,2,6,3,3,aa,4,101
1,18,1,23,1,5,aa,2,101
1,68,2,62,2,4,aa,4,101
1,55,2,3,3,4,aa,2,320
1,57,1,48,4,2,aa,2,670
1,44,1,10,1,4,aa,3,290
1,86,2,19,4,1,aa,4,101
1,28,1,49,5,5,aa,3,578
1,29,2,3,6,3,aa,1,101
1,75,1,25,7,5,aa,2,567
2,44,2,61,6,2,aa,3,101
2,83,2,12,2,5,aa,2,576
2,24,1,46,5,4,aa,3,101
2,42,2,34,6,5,aa,2,378
2,70,2,35,3,3,aa,1,332
2,37,2,39,3,2,aa,3,724
2,45,1,46,3,3,aa,1,101
2,67,2,41,7,3,aa,1,535
2,24,1,57,6,2,aa,2,101
2,60,1,4,2,3,aa,4,101
2,56,2,21,5,3,aa,3,101
2,37,2,19,2,4,aa,2,310
2,52,2,60,6,4,aa,2,483
2,74,2,12,6,3,aa,3,101
2,26,1,43,2,3,aa,2,712
2,51,2,3,7,5,aa,1,101
2,18,2,9,2,1,aa,4,101
2,32,2,30,5,3,aa,3,101
2,52,1,50,1,1,aa,1,383
2,24,2,55,4,5,aa,3,451
2,35,1,19,1,4,aa,2,101
2,55,1,33,1,1,aa,3,106
2,40,2,29,5,4,aa,3,654
2,66,2,55,7,3,aa,4,413
2,74,2,9,6,1,aa,4,101
2,37,2,42,6,2,aa,1,651
2,53,2,2,1,4,aa,4,101
2,69,2,27,2,5,aa,1,101
2,43,1,60,4,4,aa,3,101
2,64,2,25,1,4,aa,2,286
2,30,2,2,6,2,aa,3,101
2,81,1,49,2,4,aa,1,101
2,14,1,61,6,4,aa,1,70
2,18,1,9,6,2,aa,2,101
2,69,2,36,6,1,aa,3,101
2,32,1,36,7,1,aa,1,101
2,74,1,9,3,1,aa,1,101
2,29,1,3,7,5,aa,1,101
2,60,2,28,6,2,aa,1,762
2,86,1,34,1,4,aa,4,101
2,59,1,57,3,1,aa,1,101
2,70,1,18,2,4,aa,4,101
2,58,2,19,6,1,aa,1,101
2,49,1,3,2,1,aa,2,652
2,53,1,28,5,4,aa,4,101
2,80,2,9,3,1,aa,1,507
2,84,1,17,6,1,aa,4,101
2,20,1,41,1,1,aa,4,101
2,49,2,33,5,1,aa,2,81
2,14,1,61,1,5,aa,4,110
2,74,1,42,3,3,aa,3,711
2,58,2,21,6,5,aa,3,763
2,32,1,43,2,3,aa,2,725
2,54,1,31,6,2,aa,4,101
2,66,2,18,3,4,aa,1,366
2,25,1,57,1,4,aa,3,101
2,80,2,25,1,3,aa,2,101
2,53,1,2,3,5,aa,4,101
2,67,1,17,1,3,aa,1,293
2,62,2,18,6,4,aa,3,101
2,83,1,50,6,5,aa,4,101
2,14,2,63,7,2,aa,1,82
2,69,2,37,3,2,aa,4,101
2,74,2,2,3,3,aa,2,650
2,82,1,28,6,5,aa,1,101
2,18,1,23,3,2,aa,1,101
2,86,1,39,6,4,aa,4,101
2,39,2,37,5,1,aa,2,101
2,51,2,33,4,4,aa,2,111
2,62,2,50,6,5,aa,2,669
2,26,1,56,3,4,aa,3,101
2,47,1,49,4,1,aa,4,716
2,47,1,49,6,1,aa,1,716
2,69,2,10,7,3,aa,3,101
2,70,2,19,1,4,aa,3,101
2,46,1,41,1,5,aa,3,101
2,60,1,9,3,2,aa,4,101
2,39,2,37,4,3,aa,3,286
2,25,1,57,1,3,aa,3,101
2,45,1,35,2,2,aa,4,368
2,53,1,30,1,3,aa,3,101
2,52,1,28,1,2,aa,2,101
2,69,2,20,4,2,aa,1,101
2,59,2,23,5,5,aa,3,101
2,24,1,54,3,5,aa,4,454
2,35,2,24,2,3,aa,4,753
2,52,2,28,7,1,aa,3,259
2,49,2,32,5,1,aa,3,71
2,21,1,61,6,3,aa,4,503
2,33,1,39,5,1,aa,1,101
2,57,2,2,4,4,aa,3,655
2,20,1,2,7,4,aa,2,101
2,54,2,50,1,5,aa,2,677
2,51,1,3,1,3,aa,3,101
2,21,2,3,2,3,aa,3,101
2,74,2,9,2,2,aa,4,586
2,83,2,11,2,2,aa,1,101
2,64,2,27,7,1,aa,3,101
2,35,2,24,3,5,aa,3,759
2,29,2,43,4,2,aa,1,725
2,75,2,17,4,1,aa,4,101
2,81,2,28,1,3,aa,3,101
2,39,2,60,2,3,aa,4,101
2,32,2,43,1,5,aa,3,727
2,62,2,23,4,4,aa,4,548
2,39,1,24,3,3,aa,1,101
2,47,2,0,6,4,aa,4,101
2,69,1,36,2,3,aa,3,101
2,29,2,56,5,5,aa,1,101
2,18,2,23,3,1,aa,2,101
2,43,2,59,4,1,aa,2,101
2,71,2,35,4,3,aa,1,101
2,57,1,10,3,4,aa,3,101
2,43,2,51,7,3,aa,3,577
2,29,2,56,4,5,aa,1,101
2,74,2,9,5,4,aa,4,480
2,86,1,51,5,2,aa,3,101
2,35,2,41,7,1,aa,3,551
2,61,1,9,2,1,aa,4,101
2,20,1,3,7,3,aa,1,101
2,19,1,41,7,3,aa,4,101
2,67,1,9,3,1,aa,4,101
2,51,1,45,2,3,aa,4,349
2,70,2,38,1,3,aa,3,101
2,47,1,51,7,2,aa,3,101
2,51,2,35,3,1,aa,4,113
2,79,1,42,4,2,aa,4,101
2,20,1,31,7,4,aa,2,352
2,67,1,34,1,5,aa,4,449
2,38,2,25,6,4,aa,2,101
2,81,2,49,4,1,aa,3,101
2,49,1,35,6,5,aa,2,97
2,29,2,46,1,3,aa,1,101
2,22,2,28,1,1,aa,3,294
2,18,1,8,1,1,aa,2,101
2,74,2,37,3,1,aa,1,365
2,52,2,50,3,3,aa,1,101
2,41,2,56,2,4,aa,1,374
2,26,2,56,7,3,aa,4,101
2,18,2,23,5,4,aa,1,101
2,51,2,34,2,3,aa,2,321
2,58,2,16,3,5,aa,2,101
2,29,2,3,6,5,aa,1,101
2,14,1,60,2,4,aa,2,55
2,34,1,19,5,4,aa,2,101
2,74,2,43,7,4,aa,1,101
2,55,2,33,1,4,aa,3,70
2,58,1,59,1,4,aa,1,101
2,58,1,19,7,1,aa,3,101
2,52,1,54,7,2,aa,3,101
2,74,2,9,6,1,aa,4,101
2,43,2,29,1,1,aa,3,633
2,83,2,49,5,2,aa,4,101
2,52,2,50,3,3,aa,4,375
2,67,2,19,6,4,aa,2,101
2,66,2,55,4,3,aa,1,412
2,48,1,35,6,2,aa,1,110
2,22,2,52,3,2,aa,2,376
2,18,2,9,5,2,aa,2,101
2,20,1,42,5,1,aa,4,697
2,69,2,27,7,1,aa,4,101
2,82,1,12,2,1,aa,2,101
2,54,2,55,7,4,aa,4,665
2,69,2,8,5,5,aa,4,521
2,14,1,59,2,2,aa,3,75
2,44,1,61,6,2,aa,2,101
2,19,2,54,3,2,aa,1,629
2,24,1,0,2,4,aa,1,101
2,58,2,59,3,4,aa,2,633
2,67,1,61,3,1,aa,3,101
2,18,2,28,5,1,aa,1,320
2,20,2,43,6,3,aa,2,101
2,18,1,43,3,1,aa,1,101
2,67,1,40,3,4,aa,2,724
2,66,1,10,6,3,aa,3,101
2,28,1,59,1,1,aa,3,654
2,39,2,37,2,4,aa,2,101
2,32,2,38,1,2,aa,2,101
2,35,1,45,1,1,aa,3,386
2,64,2,23,6,5,aa,4,268
2,66,1,41,1,5,aa,4,101
2,51,2,9,3,3,aa,4,321
2,80,2,15,4,4,aa,3,101
2,54,1,23,5,5,aa,2,101
2,51,2,3,2,4,aa,2,703
2,73,1,60,2,3,aa,3,724
2,77,1,9,2,3,aa,3,101
2,62,2,23,6,4,aa,2,545
2,21,2,2,7,5,aa,1,101
2,53,1,3,2,2,aa,3,101
2,25,1,46,5,5,aa,4,101
2,54,2,35,5,1,aa,2,78
2,71,2,23,1,5,aa,4,374
2,77,2,46,4,1,aa,3,398
2,35,1,45,3,2,aa,4,392
2,74,2,32,3,1,aa,2,625
2,69,2,26,7,4,aa,1,101
2,83,1,54,7,3,aa,3,101
2,77,1,9,4,3,aa,4,101
2,42,2,60,2,5,aa,2,101
2,47,1,36,7,5,aa,3,101
2,83,2,19,7,1,aa,4,101
2,40,1,45,1,5,aa,3,101
2,20,1,28,4,3,aa,2,294
2,49,2,15,4,2,aa,3,339
2,64,1,40,5,4,aa,1,101
2,83,1,26,7,5,aa,2,101
2,80,2,26,2,1,aa,3,101
2,45,1,2,1,5,aa,3,101
2,44,2,3,6,5,aa,1,680
2,69,2,14,1,2,aa,1,101
2,74,2,50,3,1,aa,3,376
2,50,2,15,5,5,aa,3,382
2,14,2,60,4,1,aa,4,52
2,21,2,19,4,4,aa,1,101
2,74,1,32,4,1,aa,4,496
2,83,1,11,5,4,aa,3,101
2,21,1,43,6,3,aa,3,726
2,20,2,44,5,3,aa,2,101
2,30,2,3,6,3,aa,4,101
2,37,2,2,7,3,aa,1,101
2,78,2,56,1,1,aa,4,320
2,51,1,45,5,4,aa,4,101
2,35,2,49,2,5,aa,1,576
2,66,2,41,6,1,aa,4,101
2,20,1,41,7,3,aa,3,101
2,53,2,12,4,1,aa,1,101
2,19,1,30,7,4,aa,4,320
2,38,2,25,1,1,aa,3,101
2,51,2,2,1,5,aa,2,387
2,69,2,8,2,4,aa,2,522
2,53,1,2,4,1,aa,4,101
2,27,2,45,3,2,aa,1,101
2,32,1,44,2,1,aa,2,101
