TAETIGKEITSSCHLUESSEL4,TAETIGKEITSSCHLUESSEL5,EF41,EF10,EF40,EF16U2,EF48,LEISTUNGSGRUPPE
1,4,81,2,16,5,463.1000356655884,1
1,4,20,2,16,6,464.72187617395764,3
1,4,21,2,56,5,466.20628053338305,2
1,4,20,1,56,3,467.5932865360864,3
1,2,40,1,45,7,467.782723723807,4
1,2,25,1,20,4,468.0234335028302,4
1,4,19,1,2,4,468.70455905533913,3
1,4,73,1,2,5,468.7475518087003,5
1,3,20,2,16,3,468.74767019022346,1
1,3,35,1,57,4,499.01675719414885,1
2,1,49,2,58,3,499.69462483000757,5
2,3,49,2,3,3,500.41272972916477,4
2,4,21,2,0,3,501.2243332777685,4
2,2,14,2,31,3,502.9697294122435,5
1,3,80,2,3,6,506.2373829264576,4
2,4,49,2,14,3,506.4847263269544,3
1,3,21,2,14,3,507.14939122134973,4
2,3,72,2,56,5,508.2243546610669,4
2,3,41,2,56,7,509.3916586422773,4
2,4,44,2,27,3,509.48102442399886,4
2,2,72,2,3,3,510.53311179609733,2
2,2,73,2,30,3,511.0339544722823,1
1,4,30,2,30,5,511.29111404247067,1
1,3,17,2,24,5,511.9978496038165,1
1,3,53,2,39,6,513.3137576149554,3
1,1,68,2,28,5,513.3575109561127,2
1,3,59,1,28,6,513.9408057576629,1
1,3,31,1,42,7,514.7781629023549,3
2,4,69,1,42,5,515.3695111074869,1
2,3,53,2,60,7,515.7958844409151,1
1,1,81,2,53,6,520.0347652348665,5
1,3,56,2,29,7,520.2605294570099,2
2,4,69,2,40,1,520.2727038480595,5
2,3,59,1,33,6,523.1379395001137,1
1,1,31,1,43,6,523.2173943477055,1
2,4,27,1,48,1,524.3643110121972,4
2,1,68,2,48,5,524.738440666759,1
1,3,56,1,1,7,524.9716971211087,5
1,4,72,2,62,3,526.4931403048702,1
2,3,56,1,0,4,529.8222342633438,1
2,3,81,1,0,5,530.052808203139,5
1,3,56,1,38,7,530.0694667621212,5
1,4,14,2,24,7,532.0879098548672,5
2,3,15,2,0,6,532.924214137923,5
2,4,24,1,30,5,534.7145806038235,5
2,1,47,2,35,6,544.3252868068967,4
2,3,15,2,61,3,544.9650825207116,4
1,2,75,2,61,7,545.2115920349156,4
2,2,47,2,48,3,545.6788523819423,4
1,2,42,2,3,7,554.9117008793964,2
1,2,16,2,61,7,554.9592183485738,4
1,2,54,2,50,1,560.3528929007853,2
1,2,83,2,46,2,562.2653961321508,4
1,2,78,2,54,4,566.2665143480228,4
1,2,26,2,28,4,567.631494150626,4
1,2,44,2,42,3,571.7492902326724,4
1,2,18,2,42,5,571.799238726689,2
1,2,36,2,37,3,573.7203964723143,4
2,3,53,2,26,1,593.8012278842291,3
2,3,80,2,56,7,594.3176231150761,1
2,1,52,2,46,7,594.3356624658816,1
2,1,52,2,50,1,597.4388104333802,2
2,3,28,2,54,2,597.4402694257465,3
2,3,90,2,42,2,599.4130912723512,5
2,1,42,2,54,1,604.2619985986784,3
2,1,83,2,22,2,607.3944190242203,2
2,1,72,2,0,1,607.8275923448666,3
2,3,54,1,58,5,616.5453453619851,5
1,3,39,1,55,5,616.8619445470234,2
1,1,45,1,60,1,617.3773255682188,5
2,1,24,2,56,2,617.4216571368099,5
2,1,22,2,9,2,618.7758868827684,2
1,4,55,2,9,2,620.4587089283388,1
1,4,36,2,9,7,620.8017352185875,1
2,1,78,1,9,7,621.3907827836337,1
2,3,45,1,32,2,621.9991155838848,1
1,4,40,1,32,5,622.0205269307771,1
1,4,47,1,18,1,622.9384970886732,2
1,4,28,2,53,5,623.8128026970306,1
1,4,51,1,55,5,629.7365270648273,1
1,4,32,1,56,4,630.9798442755373,1
1,4,70,1,53,3,633.0940474150044,3
1,3,70,1,30,2,635.6609644390984,3
2,4,40,1,37,7,636.1384478759965,3
1,4,24,1,9,7,637.1532748145655,3
1,1,40,1,21,5,639.6229705140983,3
1,2,60,1,3,5,640.8281067623889,1
1,4,22,1,40,2,641.2894627560142,4
1,4,14,1,52,4,641.9796798545842,4
1,4,66,2,47,4,642.197842796642,2
1,4,64,1,46,2,642.2627443979752,4
1,2,65,1,58,1,642.8021436771523,4
1,4,60,1,53,1,643.1425334593677,5
1,2,44,1,35,6,644.0665523820337,5
2,4,35,1,5,4,645.2038413673637,5
2,4,89,1,6,5,645.5348022997227,4
2,4,64,2,29,3,647.0700667676622,3
2,4,62,2,16,4,647.6532872624814,3
2,4,45,1,24,2,648.1204040278204,5
2,4,64,1,1,2,648.5806631058585,3
1,4,62,2,61,3,652.3332887449733,1
2,4,86,1,36,6,652.8447638925982,3
1,4,66,1,35,6,652.8805488469163,5
2,4,18,1,6,6,653.1621925225085,1
2,1,64,1,42,6,653.6668954878754,4
2,2,65,1,36,5,654.4215120190515,5
2,4,83,1,3,4,681.3462139591315,4
2,1,62,2,54,2,684.0507944039227,4
2,1,88,1,3,2,684.1464202677402,3
1,4,35,1,2,3,684.3357650986756,5
2,1,90,2,5,4,685.3308489363314,5
1,4,88,2,46,4,685.4163149116376,1
2,2,15,2,24,5,685.7310375939417,2
1,1,32,1,3,1,685.7949840289698,4
1,2,49,1,30,6,686.3548363661275,5
1,2,62,2,3,4,686.5277049150025,5
1,2,34,2,38,5,686.5898018824207,5
1,1,32,2,49,5,689.4239760408454,5
1,2,67,2,5,3,694.0769837373526,1
1,2,21,2,54,1,697.994665761626,4
1,2,67,2,49,4,698.6967246882166,3
1,3,52,1,22,2,704.5730191783026,4
1,3,15,1,36,1,705.1232764930337,1
1,2,87,1,20,6,705.5064555023924,4
1,2,80,1,41,1,709.8251543381831,2
1,2,66,1,54,3,710.3622372970187,4
1,2,55,2,20,3,712.3643383612604,1
2,1,90,2,46,1,713.0743769294118,4
2,1,36,1,39,5,713.5836402679611,3
2,1,29,1,4,5,714.9258868434596,3
1,1,64,2,39,5,716.8219507734083,3
2,4,40,2,31,2,717.0082006985457,1
2,3,87,1,30,5,717.8083911929007,1
2,1,66,2,5,5,718.0921846519283,3
2,1,64,2,5,2,718.445823697962,3
1,4,32,1,45,4,719.0790107727532,3
2,1,53,2,42,3,719.1844126605985,1
2,1,49,2,24,6,719.9590981450534,3
2,3,46,1,16,2,727.580017089844,3
2,4,14,2,24,1,727.580017089844,3
2,2,33,2,41,6,727.580017089844,3
2,4,60,2,32,1,727.580017089844,3
2,4,24,2,5,2,727.580017089844,2
2,2,47,2,19,3,727.580017089844,2
1,2,25,1,19,3,727.580017089844,2
2,1,60,1,46,4,727.580017089844,3
2,4,86,2,4,4,730.5321504578098,4
1,1,32,1,20,2,731.3371477111759,4
1,3,78,1,30,2,731.3510931278022,4
1,3,18,1,38,2,733.3297779902955,3
1,1,61,1,38,6,755.285494403748,1
1,3,61,2,47,4,756.0712623193575,1
1,3,61,1,37,5,756.9506749608913,2
1,3,16,1,45,2,767.9457182752707,2
1,2,58,2,43,3,768.1114647467525,5
1,4,70,2,22,5,771.3988935023729,5
1,1,46,2,36,7,774.4246120950139,1
1,3,85,2,39,7,775.3179096353921,1
2,4,62,2,39,5,775.5731720578053,2
2,4,87,2,48,5,775.7449626108029,2
2,1,55,2,61,6,776.6799085016403,2
2,4,59,2,60,5,776.9372171831606,5
2,4,58,2,22,5,778.0524631238743,5
2,4,44,1,22,6,780.0981256502736,2
2,1,73,1,33,5,780.3220665050867,3
2,1,14,1,32,6,780.9584915584879,2
2,1,14,1,6,6,782.7706282302017,3
2,1,41,1,29,6,783.2330617387155,1
2,4,87,1,7,4,783.3449906326192,5
2,3,63,1,8,7,783.6166905446241,1
1,4,14,1,6,7,807.7826874528056,2
1,3,78,1,37,7,807.9417972642409,2
1,3,89,1,28,4,809.2827660906391,2
1,4,50,1,37,4,815.1078623088921,1
1,2,47,1,34,7,816.820623741046,2
1,4,38,1,34,3,818.245519544441,2
1,1,21,1,48,2,820.9391581101189,2
1,1,79,2,40,5,823.3697822658874,5
1,4,66,2,13,5,824.6223450045969,3
1,2,46,1,13,3,826.7940372803715,5
2,3,70,2,23,4,834.2631589248219,4
1,3,53,1,36,4,837.5828403528675,3
2,2,33,1,63,1,840.3679358136719,3
2,3,44,2,13,4,840.7421167586218,4
1,3,44,2,8,6,843.3058469034675,3
2,3,67,2,29,7,845.759453631107,3
2,2,32,2,61,3,850.9917328301271,4
1,3,88,1,36,1,852.8943680353672,4
1,3,53,1,12,1,856.0771166567102,5
1,1,87,2,12,5,866.5408495707054,1
1,1,41,1,40,1,867.4380684997517,3
1,1,87,2,37,4,868.7058066756052,4
1,1,36,2,17,1,869.5442648060119,4
1,1,47,1,63,3,871.0318300775575,1
1,2,20,1,5,4,880.0758518831728,4
1,1,39,1,61,3,881.6393089573969,1
1,1,51,1,41,5,889.184055189555,3
1,1,21,2,18,2,897.6239000464793,5
1,1,39,2,31,2,898.7966624677942,5
1,1,32,2,18,3,899.3107550199273,5
1,2,26,2,18,2,904.2890121642134,5
1,2,39,2,13,5,904.6044331805505,5
1,2,74,2,13,7,905.1072153397914,3
2,2,26,2,42,6,906.3780749315696,4
2,2,61,2,48,1,906.6303573012705,3
2,2,25,2,15,1,907.8670043575945,3
2,2,39,2,15,6,908.7078628516522,2
2,1,25,2,41,3,909.1868373038614,5
2,1,89,2,41,5,909.7017813450362,5
2,2,53,2,16,6,910.498758358714,2
2,2,51,2,15,3,910.917665611125,4
2,2,26,2,48,1,920.0462944511911,4
2,3,74,1,56,4,920.5560857847289,4
2,3,82,1,22,4,920.7602762147108,1
2,1,70,1,12,7,921.775766004869,3
2,1,60,1,48,2,922.5960804050401,3
2,4,89,1,20,2,923.1018422798006,3
1,4,70,1,63,3,924.1648951868791,4
1,1,75,1,22,1,924.4699076986723,4
1,2,74,1,63,2,924.9116901493117,4
1,3,68,1,49,2,924.9727219382285,4
1,4,48,1,12,4,925.4318116164786,4
1,2,76,1,50,6,925.9810111794063,4
1,2,32,1,63,2,926.1198272495355,4
1,2,26,1,28,3,927.7624770028247,4
1,4,47,1,28,7,927.9048227107199,1
1,4,27,2,28,4,929.0312565396888,4
1,2,49,2,51,1,932.5333670997037,4
1,3,37,1,38,1,933.6938682444694,4
1,2,27,2,20,4,936.5202036485493,1
1,2,70,2,12,2,939.0983879293059,1
1,2,63,1,34,4,942.722977385793,1
1,2,70,2,43,5,943.0647470308718,5
1,2,14,2,37,1,943.4183590861218,3
1,2,62,2,48,1,945.21076226074,3
1,3,32,1,39,2,948.3266258123973,3
2,2,80,1,48,5,949.9445429338372,3
2,2,19,1,57,1,950.4143731705054,1
2,3,80,1,39,5,952.895125976301,3
2,3,78,2,42,2,953.6975570798833,3
2,3,81,2,42,1,954.0923541013094,5
2,3,14,2,49,3,955.7529277042971,2
2,3,81,2,62,1,958.0324227811403,1
2,3,20,1,41,2,958.1513788362581,5
2,2,65,2,57,3,959.3309263823865,3
2,4,40,2,57,1,959.6065552089525,5
2,4,59,1,20,3,961.1133084506508,2
2,3,64,2,56,5,964.0134971007939,1
2,3,71,1,34,1,968.1956127630291,1
2,1,60,1,41,4,975.9570648576329,3
2,4,70,2,41,1,977.1923697884039,1
2,4,63,1,34,4,977.4186732282122,2
2,4,62,2,33,5,980.9083284221398,3
2,1,75,1,41,1,983.1757637841608,5
2,4,63,2,62,2,991.9326892475236,5
1,4,78,1,48,4,995.919316816811,2
1,1,47,2,38,6,999.6594855822259,2
1,1,63,2,9,4,1003.9035993573818,5
2,2,90,1,18,6,1006.7051172937632,5
2,1,77,2,32,5,1007.6374914785673,5
2,4,54,1,36,6,1009.5760343897208,3
1,2,41,1,48,6,1014.0673950120997,3
1,2,33,2,56,7,1015.1145918809588,3
1,2,90,2,19,5,1018.083604330229,5
2,2,81,2,57,7,1018.556643321442,5
1,2,41,1,9,5,1018.8490422029489,5
1,2,81,2,42,6,1018.8915007992417,5
1,2,79,2,19,6,1019.6545843863895,3
1,4,68,2,31,7,1019.6733883199673,3
1,2,60,2,48,7,1020.4366744334633,2
1,2,76,2,9,2,1021.2243514213665,3
1,3,88,1,56,3,1025.5822842142422,3
1,3,77,1,51,2,1026.0350275857982,5
1,3,34,1,34,6,1029.5373119558087,5
1,3,59,1,0,3,1029.5667147264307,2
1,3,29,1,32,6,1032.7370038878257,5
1,3,89,1,23,4,1033.1454582290594,3
1,2,44,1,55,3,1033.8666848396142,3
1,3,71,1,25,3,1040.260851188134,5
1,1,59,2,11,2,1041.1719822613122,3
2,1,57,1,57,5,1041.5288690453622,3
2,4,17,2,47,5,1041.6020170355223,5
2,1,81,1,11,7,1041.724600647514,3
2,4,59,2,16,7,1042.0687943194014,5
1,2,32,2,16,7,1042.9347016680476,3
1,3,81,2,14,7,1043.006836454651,3
1,4,83,1,57,3,1043.7910952351024,3
1,2,74,1,55,7,1044.6021761629922,2
1,3,65,2,50,1,1046.5428791713161,1
1,4,32,2,5,1,1046.749737580957,1
2,1,64,2,54,2,1047.9357568151527,4
2,1,29,1,33,5,1049.1534152751867,4
2,2,44,2,52,7,1052.840850350305,4
2,4,59,2,22,7,1052.9013134717898,2
2,1,83,2,16,7,1054.243622161768,1
1,4,24,2,28,7,1056.1483890050283,2
2,4,34,2,16,7,1056.2030764351796,4
2,1,32,2,55,1,1056.8343563633443,5
1,1,17,2,16,6,1057.120785353778,4
2,4,32,2,30,7,1057.6223009287903,4
2,1,80,2,28,1,1058.2345727694437,4
2,3,90,2,16,7,1059.0827202759983,4
2,4,34,1,3,2,1059.2254656665827,1
2,2,17,2,51,3,1059.2768930045966,1
2,4,27,1,13,7,1059.4874833695803,3
2,4,78,2,22,5,1060.024242868293,1
1,1,53,1,10,7,1060.1581397329783,3
2,2,90,1,33,1,1060.3200045894594,4
2,2,21,1,30,7,1060.918955638317,2
1,4,51,1,17,1,1061.3374043189558,3
2,1,64,2,54,1,1061.9414498631124,4
1,1,66,1,21,5,1062.1231569294453,1
1,1,83,1,11,6,1062.7213108161682,4
1,1,29,1,11,7,1062.9556952125572,1
2,1,77,1,17,1,1063.2211602920092,2
2,1,83,2,7,5,1063.2912394149073,2
1,4,25,1,11,4,1096.659061864725,2
1,4,59,1,11,4,1096.9507942185282,1
1,4,49,2,12,5,1097.739012016321,2
1,1,65,1,12,5,1098.6616900884544,1
1,4,57,2,16,4,1098.6820809867409,2
1,1,57,2,17,5,1099.314926723938,2
1,1,48,2,16,4,1099.8670728322365,1
1,3,24,2,31,5,1099.9880475600028,2
1,4,59,1,31,6,1100.384105284522,3
2,1,59,1,16,6,1102.374633588051,2
2,3,59,2,46,1,1102.918405155381,3
2,3,82,1,45,6,1102.9951693478556,3
2,3,68,2,46,6,1103.534993862864,3
2,1,59,1,2,1,1144.4147969996784,4
1,3,59,1,56,3,1144.999251319081,1
2,4,41,2,2,6,1145.2168546141877,3
1,4,83,2,0,4,1147.5864034796186,1
2,4,35,1,48,6,1148.5289551483647,5
2,1,83,1,22,6,1149.7647640090768,3
2,2,35,1,48,3,1150.1449484374218,3
2,4,21,2,29,1,1150.3225063428365,4
2,4,35,2,31,2,1151.881380184362,3
1,4,59,1,27,6,1151.9817623773586,5
2,3,48,2,27,2,1163.9013083842651,4
2,2,26,2,29,1,1164.2746351851258,4
2,2,18,2,12,1,1168.4367673778045,5
2,4,89,2,8,1,1170.6554096797106,2
2,1,75,1,58,5,1173.0560768704468,5
2,3,88,2,11,1,1176.4878274148584,2
2,4,30,1,58,2,1177.8818622184838,5
2,2,23,1,45,1,1178.1218320056012,2
2,1,54,1,28,1,1178.9998067673937,5
1,3,69,1,21,4,1179.7023710614174,2
1,3,71,1,45,1,1187.4521476343396,5
1,2,17,1,11,3,1195.5901491645122,1
1,4,45,1,4,2,1198.2957695202217,2
2,1,45,1,27,1,1200.5987166969473,2
1,3,82,1,58,1,1209.5934278552857,2
1,3,41,2,58,3,1209.6254199477862,5
2,2,19,2,47,6,1213.5316150288452,3
2,3,51,2,3,2,1215.4689647825217,4
2,3,83,2,34,6,1218.3737330781105,3
2,2,50,2,49,3,1225.071919502191,4
2,2,67,2,44,5,1225.398887329667,4
2,3,75,2,44,6,1226.431712169347,5
2,3,21,2,47,3,1228.2489212777932,4
1,3,24,2,3,5,1229.3001814024249,3
1,1,18,2,24,5,1232.0531483466245,1
1,2,21,2,59,6,1233.875743935945,4
1,1,51,2,15,6,1235.8665525186486,1
1,3,21,2,9,6,1240.0587694650321,1
1,1,82,1,53,3,1245.1612469262025,1
1,3,21,1,28,3,1247.43267102955,4
2,3,50,1,59,5,1249.4827688373286,1
2,3,50,1,53,5,1252.437494001746,3
1,1,16,1,30,3,1254.5602210266384,4
1,3,73,1,59,6,1264.9097238686786,4
2,1,53,1,22,4,1266.4748047699811,3
2,1,70,1,15,5,1276.8851961390894,3
1,1,41,2,58,4,1282.809768100004,5
1,4,84,2,42,4,1286.086350230443,2
1,2,17,2,34,3,1286.5304024349352,2
1,4,49,2,3,3,1286.8549126886187,4
1,4,84,2,42,3,1287.872378602671,3
1,3,84,2,5,2,1289.8378407847786,4
1,1,41,2,34,2,1298.5091199109822,4
1,1,47,2,60,5,1299.0521652156172,4
1,2,41,2,5,3,1300.104646822843,3
1,1,53,2,5,5,1300.1765867289766,5
1,3,41,1,59,4,1300.7250380116827,2
2,3,19,1,23,5,1300.9574119451256,3
2,2,47,1,19,3,1301.9434522077486,3
2,2,16,1,21,5,1302.2579684999882,3
2,4,47,1,27,5,1302.3659531871622,3
2,4,41,1,6,5,1303.5134498860568,3
2,2,35,1,62,5,1303.9846349825677,3
2,4,74,1,7,4,1315.3357391810891,1
2,4,39,1,19,5,1317.382387362215,1
2,1,48,1,57,5,1318.6066174160578,1
2,4,23,1,62,4,1319.8704387328905,1
2,4,87,1,41,5,1320.924156540847,5
2,3,20,2,41,5,1327.3979173653256,1
2,4,41,2,41,5,1335.7002124026612,1
2,1,52,2,24,5,1336.2474642799557,3
2,1,57,2,33,3,1342.3898090066746,5
2,3,59,1,5,2,1344.061041375575,4
2,2,45,1,33,2,1346.0303146602264,4
2,4,16,1,33,1,1347.197302031607,4
2,3,19,1,2,6,1349.2658761569508,4
1,1,45,1,3,6,1350.3199609163446,5
1,4,16,1,35,1,1360.5658988765067,4
2,4,41,1,4,6,1361.914752088793,4
2,4,56,1,35,1,1363.4039639476568,4
2,1,38,1,6,1,1367.2600887186352,4
2,1,47,2,33,1,1377.410879381113,2
2,2,41,2,6,1,1379.4381191397517,1
1,2,41,2,2,6,1380.3774582325257,1
2,2,35,2,6,2,1382.7827095546397,1
1,3,59,2,40,1,1383.4562249810476,1
1,1,44,2,57,6,1383.4675358398315,2
2,2,18,2,5,6,1384.6378136906294,2
1,2,40,2,35,6,1385.065895367697,1
2,2,42,2,55,6,1386.3728384721876,1
2,2,78,2,43,3,1386.4659282731664,1
1,2,78,2,55,4,1386.5975989027886,5
1,2,19,2,0,4,1386.738843916597,5
2,2,45,1,29,2,1392.0590178366137,1
1,2,46,1,23,4,1392.627387034661,5
2,2,21,1,56,4,1395.9753382808008,1
1,2,45,1,58,3,1397.1341560256576,1
1,1,63,1,27,3,1398.3838989446763,5
1,1,74,1,27,3,1398.853508585044,5
1,2,83,1,25,7,1410.333520903695,3
1,3,57,1,28,7,1412.2804946563042,4
2,3,78,2,21,3,1413.4446688931355,4
1,2,37,2,35,3,1415.1244694242007,5
1,2,48,2,20,7,1421.9261532414428,5
2,3,24,2,27,3,1422.542262591114,4
2,3,77,2,58,3,1426.875105805425,5
2,2,59,2,28,7,1427.4805255271854,4
2,3,49,2,20,7,1428.5069628074214,3
2,3,49,2,20,6,1428.606543583421,3
1,3,64,2,35,3,1429.4603174582646,5
