EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,TAETIGKEITSSCHLUESSEL5
31088,2,62,1,aa,11,5,2
31141,2,62,1,aa,47,2,1
31206,2,46,1,aa,0,7,2
31225,2,42,1,aa,30,6,2
35942,1,73,2,aa,15,4,3
36196,1,82,2,aa,58,2,3
36204,2,36,2,aa,24,2,2
36291,2,73,2,aa,39,4,2
36314,1,38,2,aa,15,4,4
36517,2,50,2,aa,14,7,3
37049,2,47,2,aa,14,2,4
37839,1,50,2,aa,4,2,2
38324,2,64,1,aa,58,4,4
38421,1,19,1,aa,4,5,4
38514,2,44,1,aa,51,2,1
38681,1,50,2,aa,58,1,2
38708,1,59,2,aa,58,2,3
41062,1,57,1,aa,52,1,3
41109,1,48,2,aa,29,1,4
41304,1,50,1,aa,5,6,2
42350,2,21,1,aa,5,7,4
45720,1,64,1,aa,58,6,1
46288,1,64,1,aa,5,3,2
46736,1,63,1,aa,39,6,4
47238,1,42,1,aa,58,4,1
47249,1,51,2,aa,14,4,3
47376,1,51,2,aa,6,6,2
47908,2,21,1,aa,58,1,4
48111,2,66,1,aa,5,6,3
48275,1,66,2,aa,58,3,2
49268,2,83,2,aa,43,1,1
49375,2,39,2,aa,43,6,1
49635,1,75,2,aa,14,1,3
50254,2,56,2,aa,6,1,2
50386,1,66,2,aa,14,3,4
50608,1,47,2,aa,6,6,3
50989,1,70,2,aa,14,3,1
51266,2,70,2,aa,15,4,1
51848,2,42,1,aa,38,6,2
52014,1,66,1,aa,55,7,3
52084,1,46,1,aa,34,1,4
52578,1,77,1,aa,13,3,1
55525,2,35,1,aa,5,1,2
56328,1,17,1,aa,42,6,3
56330,1,35,1,aa,49,6,4
56358,2,59,1,aa,35,6,4
56429,2,41,1,aa,49,6,4
56533,1,40,2,aa,14,3,4
56712,1,60,2,aa,35,5,4
57110,2,32,2,aa,42,1,4
57308,1,71,1,aa,14,2,4
59938,2,71,2,aa,43,6,4
59985,1,32,1,aa,50,4,3
60137,1,45,2,aa,43,7,1
60286,1,40,1,aa,43,5,2
60507,2,87,2,aa,50,3,1
61068,1,37,1,aa,43,1,1
61990,2,19,2,aa,12,3,1
62861,1,74,1,aa,27,5,1
63124,1,20,2,aa,7,2,1
63280,1,66,2,aa,35,7,1
64374,1,47,1,aa,29,2,3
64416,2,74,2,aa,15,5,3
65075,1,35,2,aa,27,5,1
65786,2,21,2,aa,32,7,4
68161,2,46,2,aa,31,2,4
69225,1,31,1,aa,31,7,4
69420,2,40,1,aa,9,2,4
73974,2,20,1,aa,3,2,4
74122,1,17,1,aa,39,2,2
74335,2,67,2,aa,59,7,2
75307,2,35,2,aa,28,2,2
75354,2,52,1,aa,23,2,2
75473,1,17,2,aa,9,5,4
75584,2,52,1,aa,59,2,3
76534,1,30,1,aa,35,2,2
78408,2,73,2,aa,2,2,4
78866,2,78,2,aa,32,2,4
80137,1,35,2,aa,30,2,4
80178,1,53,1,aa,30,4,3
80819,2,66,1,aa,61,7,2
84993,1,43,2,aa,23,5,3
85001,1,33,2,aa,31,5,4
85016,1,90,2,aa,20,4,4
85190,1,36,2,aa,53,5,2
85346,2,21,2,aa,23,4,4
85373,1,42,2,aa,53,5,2
85463,1,70,2,aa,31,5,3
85499,2,70,1,aa,23,4,3
85508,1,41,2,aa,9,4,4
85900,2,31,2,aa,60,7,4
86227,2,31,2,aa,37,7,4
86460,2,64,1,aa,52,5,3
86624,2,90,1,aa,46,6,4
87040,2,65,1,aa,46,1,4
87253,2,30,1,aa,9,1,2
87502,2,67,1,aa,46,5,3
89348,1,35,1,aa,10,7,2
92269,2,20,1,aa,7,6,2
92335,2,34,1,aa,47,6,2
92377,1,35,1,aa,53,7,2
92599,1,41,1,aa,47,4,2
92965,1,51,1,aa,53,7,3
92990,2,66,1,aa,53,6,2
92998,1,78,1,aa,47,7,3
93086,1,57,1,aa,2,7,4
93412,1,35,2,aa,63,4,2
93513,2,57,1,aa,53,4,3
93539,1,52,2,aa,47,4,3
93679,2,49,2,aa,21,1,4
93725,2,90,1,aa,37,7,4
93761,2,32,2,aa,4,7,4
93884,1,90,2,aa,53,5,4
94184,1,67,2,aa,39,1,4
94197,2,68,2,aa,21,6,1
94229,2,88,2,aa,46,6,1
94260,1,56,2,aa,11,1,1
94276,2,69,1,aa,46,6,1
94312,2,90,1,aa,46,6,1
94315,2,56,1,aa,46,6,1
94346,1,54,1,aa,46,6,4
94527,1,37,1,aa,53,4,1
94527,1,90,1,aa,29,3,1
94601,1,68,1,aa,46,3,4
94853,1,37,2,aa,63,5,4
94861,2,19,1,aa,61,3,3
94963,1,57,2,aa,29,3,4
95025,1,34,2,aa,46,3,3
95099,1,40,2,aa,46,5,3
95244,1,44,2,aa,29,3,3
95369,2,76,1,aa,46,3,1
95518,2,57,2,aa,46,3,1
95591,2,57,2,aa,46,5,3
95650,2,19,2,aa,5,3,3
95806,2,57,2,aa,29,5,3
95822,1,57,2,aa,5,3,3
95855,1,57,1,aa,5,3,3
95863,2,42,2,aa,46,3,1
96043,2,40,1,aa,46,3,3
96216,1,55,2,aa,57,7,1
98359,2,63,2,aa,54,5,4
98436,2,46,1,aa,32,1,4
98594,2,71,1,aa,9,1,1
98667,2,62,2,aa,14,1,1
98815,2,15,1,aa,9,3,3
98914,2,41,2,aa,2,1,1
99237,2,73,2,aa,4,5,1
99297,2,18,2,aa,52,1,4
100090,2,79,2,aa,14,5,1
101806,2,32,1,aa,25,1,1
101814,2,32,1,aa,56,3,1
101828,2,77,1,aa,25,1,1
101851,2,78,1,aa,59,6,1
101898,2,71,1,aa,49,1,4
102073,1,62,1,aa,33,5,4
102280,1,22,1,aa,39,5,1
103313,1,70,1,aa,23,1,2
103371,1,62,2,aa,10,1,2
103715,1,55,2,aa,38,1,3
103743,1,61,2,aa,24,2,2
103902,1,80,2,aa,4,2,2
104124,1,67,2,aa,48,5,2
104628,1,78,2,aa,48,5,4
104838,1,78,2,aa,62,5,3
105229,1,87,2,aa,15,5,2
105906,1,51,2,aa,20,5,2
106219,1,70,2,aa,52,5,2
106253,1,64,2,aa,18,5,4
106444,1,64,2,aa,24,5,2
106490,1,61,2,aa,6,6,4
107570,1,61,2,aa,9,3,4
107588,1,83,1,aa,0,4,3
107629,2,32,2,aa,13,3,1
107646,1,32,2,aa,0,6,1
107713,1,52,1,aa,20,2,1
107751,1,35,2,aa,50,3,1
107829,1,35,2,aa,38,3,1
107845,2,44,1,aa,35,3,4
107873,1,32,2,aa,23,4,3
112744,1,32,1,aa,53,6,1
113025,1,82,1,aa,50,6,1
113073,2,32,1,aa,50,3,3
113147,1,51,1,aa,23,2,1
113254,1,63,1,aa,23,3,4
113900,1,63,1,aa,52,4,4
114145,2,47,1,aa,51,4,4
114214,2,47,1,aa,9,4,3
114250,2,81,1,aa,51,2,4
114728,2,50,2,aa,3,3,4
114783,2,46,1,aa,57,6,4
114881,2,37,2,aa,19,6,1
114934,1,31,2,aa,12,7,3
115023,2,31,1,aa,35,3,4
117348,2,46,2,aa,15,7,4
117672,2,37,2,aa,50,7,1
117826,1,69,1,aa,55,7,4
118227,1,19,1,aa,55,7,1
118582,1,20,1,aa,55,7,1
118957,2,58,1,aa,37,6,4
118976,1,69,1,aa,19,7,4
118980,1,39,2,aa,36,3,1
119056,2,21,1,aa,34,6,1
119318,1,38,2,aa,27,6,2
119347,1,30,1,aa,21,6,2
119356,1,22,1,aa,3,6,2
119386,1,30,2,aa,48,2,4
119501,2,85,2,aa,56,7,1
119502,2,49,2,aa,51,6,2
119597,2,17,2,aa,20,7,2
119746,2,38,2,aa,57,2,2
119776,1,75,2,aa,10,6,2
119782,1,18,2,aa,51,2,2
125000,2,29,1,aa,38,4,2
125221,2,29,1,aa,8,4,3
125282,2,66,1,aa,20,1,3
125402,2,17,1,aa,22,4,4
125758,1,15,1,aa,63,4,2
125840,1,17,1,aa,3,4,2
125954,1,53,1,aa,23,4,2
125963,1,30,1,aa,52,4,4
126242,1,19,1,aa,8,1,3
126327,1,29,1,aa,35,1,4
126755,2,20,2,aa,52,4,4
126944,1,71,2,aa,54,4,4
127003,2,18,2,aa,15,1,4
127109,2,30,2,aa,37,4,4
127166,2,29,2,aa,27,7,4
127337,1,37,2,aa,27,4,4
127348,1,21,2,aa,15,4,4
127412,1,53,2,aa,7,4,4
127500,2,31,2,aa,24,4,1
127536,2,87,2,aa,13,4,1
127678,2,71,2,aa,7,4,1
127835,2,31,2,aa,24,1,3
127892,1,20,2,aa,9,1,1
127933,2,67,2,aa,24,1,1
127956,2,67,2,aa,27,7,1
129210,2,15,2,aa,53,3,1
129605,2,31,2,aa,34,3,1
129900,1,46,2,aa,3,3,4
129901,2,80,2,aa,54,7,1
130564,2,57,2,aa,34,7,1
130801,2,80,2,aa,49,7,4
130934,2,59,2,aa,21,7,3
131492,2,75,2,aa,0,2,3
131862,1,87,2,aa,49,2,4
132104,2,60,1,aa,51,2,4
132152,2,18,1,aa,46,4,3
132175,1,62,1,aa,49,2,4
132896,2,83,2,aa,4,2,4
132964,1,55,1,aa,46,2,1
132982,1,39,1,aa,0,2,1
132992,1,55,2,aa,20,1,1
137149,2,42,1,aa,2,7,4
138050,1,42,1,aa,56,7,4
138795,2,69,1,aa,23,1,3
138829,2,17,1,aa,50,7,4
139337,2,42,2,aa,27,1,4
139523,2,40,2,aa,30,7,1
139618,1,49,2,aa,57,7,3
139972,2,17,2,aa,29,1,3
140403,2,33,2,aa,29,1,2
143316,2,35,2,aa,29,1,2
145424,1,40,1,aa,33,3,2
145430,1,67,2,aa,50,1,1
145557,1,42,1,aa,10,1,2
145560,2,39,1,aa,56,2,2
145690,1,16,1,aa,0,2,2
146041,2,34,2,aa,28,2,1
146209,1,18,2,aa,50,3,2
146227,2,53,1,aa,46,1,2
146333,2,29,2,aa,0,2,2
146582,2,80,2,aa,34,1,2
146831,2,29,1,aa,0,1,2
146887,2,29,1,aa,21,6,1
146898,1,87,1,aa,26,3,1
146966,1,34,1,aa,33,2,1
147286,1,59,2,aa,56,2,1
147348,1,80,1,aa,48,6,1
148515,2,59,2,aa,24,6,1
148521,2,87,1,aa,48,3,1
148528,2,14,1,aa,25,3,3
148539,2,29,1,aa,32,1,3
148563,2,80,2,aa,58,1,3
148573,1,29,2,aa,12,1,1
148589,1,53,1,aa,51,1,3
148648,1,30,1,aa,24,2,4
148764,1,32,1,aa,32,3,3
148788,1,60,1,aa,51,6,3
148828,2,29,1,aa,18,6,3
148834,2,74,1,aa,27,6,3
148842,1,70,1,aa,3,4,3
148845,1,60,2,aa,2,4,3
148855,2,78,1,aa,48,1,3
148872,2,30,2,aa,58,3,4
148918,2,50,2,aa,58,6,4
148978,1,83,2,aa,44,6,4
148984,1,50,1,aa,31,6,3
153606,1,58,1,aa,0,1,3
153754,1,35,2,aa,30,1,4
153813,1,31,1,aa,33,2,3
154042,1,31,1,aa,45,1,4
154275,2,86,1,aa,12,3,4
154467,2,14,1,aa,58,3,4
154468,1,71,2,aa,3,3,3
154504,1,80,2,aa,33,3,4
154525,1,54,2,aa,14,1,4
154532,1,55,2,aa,35,1,3
154546,1,31,2,aa,35,2,3
154549,1,53,2,aa,16,3,1
154628,1,53,2,aa,58,6,1
154643,1,54,2,aa,30,3,1
154832,1,55,2,aa,33,3,1
154882,1,83,2,aa,18,4,4
154913,1,31,2,aa,33,7,4
155204,1,15,2,aa,0,7,2
155323,1,71,2,aa,42,6,1
155427,1,49,2,aa,29,6,4
155437,1,83,2,aa,5,4,4
155451,1,62,1,aa,3,3,4
155456,2,43,2,aa,43,6,1
155541,1,87,2,aa,3,6,1
155641,1,34,2,aa,17,2,1
155996,1,90,2,aa,57,4,1
156765,1,32,2,aa,2,7,1
156777,1,85,1,aa,35,5,1
156916,1,79,2,aa,47,7,1
157128,1,86,1,aa,35,6,1
157148,2,85,1,aa,2,5,1
157819,2,86,1,aa,12,5,2
158084,1,15,2,aa,56,6,2
158389,1,62,2,aa,16,6,1
158420,2,88,2,aa,33,6,1
158460,2,74,2,aa,44,7,1
158492,2,78,1,aa,43,7,1
158587,2,57,1,aa,48,5,1
158748,2,66,1,aa,29,7,1
159138,2,74,1,aa,15,5,1
159246,1,28,1,aa,33,6,1
159493,1,27,1,aa,33,4,1
161409,1,67,1,aa,43,5,2
162834,2,44,1,aa,7,7,2
162880,2,87,1,aa,24,5,1
163722,1,29,1,aa,35,5,4
163752,1,75,1,aa,7,5,4
164896,1,25,2,aa,63,5,3
164964,1,47,1,aa,27,7,3
164977,1,89,1,aa,60,5,3
165044,1,87,1,aa,62,2,3
165097,1,59,1,aa,63,5,4
165216,1,15,2,aa,26,6,4
165221,1,87,1,aa,27,6,3
165233,1,89,1,aa,17,5,4
165257,1,15,2,aa,24,6,3
165264,1,59,2,aa,9,2,3
165270,1,86,2,aa,53,7,3
165342,1,16,1,aa,19,1,3
165397,1,30,2,aa,29,5,3
165428,2,38,1,aa,41,5,1
165517,2,86,1,aa,63,3,1
165557,1,77,1,aa,28,5,4
165560,1,47,2,aa,42,6,4
165573,2,67,2,aa,26,6,1
165708,2,86,2,aa,29,1,1
165710,2,86,2,aa,28,1,2
165715,2,25,2,aa,63,5,2
165781,1,34,2,aa,53,3,2
165863,2,29,1,aa,60,5,4
165883,2,85,1,aa,55,3,1
169826,2,85,1,aa,61,5,1
170406,1,66,2,aa,41,6,1
171572,2,66,1,aa,55,6,4
171888,2,38,1,aa,14,5,4
172112,1,15,2,aa,47,6,1
172926,2,15,1,aa,55,3,4
173554,2,30,1,aa,22,5,1
173654,2,38,2,aa,53,3,2
173834,2,66,1,aa,53,5,2
176266,2,45,2,aa,22,3,1
176755,1,14,1,aa,44,5,1
178076,1,77,1,aa,55,2,4
178111,1,17,2,aa,22,2,4
178598,1,77,1,aa,17,7,4
178839,1,66,1,aa,10,3,3
179180,1,66,1,aa,28,3,4
179321,2,22,1,aa,43,4,3
179352,2,20,1,aa,47,2,3
179547,2,38,1,aa,52,3,3
180172,1,77,1,aa,52,4,1
180219,2,73,2,aa,60,2,3
182653,2,77,2,aa,28,1,4
182746,2,69,2,aa,15,2,4
182920,2,14,1,aa,61,2,4
183247,2,47,1,aa,47,1,4
183519,1,25,1,aa,42,7,4
184415,2,18,1,aa,53,3,4
184468,1,45,1,aa,14,2,1
184597,1,18,1,aa,14,4,2
184650,1,14,1,aa,44,1,2
188512,1,22,1,aa,45,4,2
189171,2,41,2,aa,13,2,2
193042,2,42,2,aa,53,4,2
193173,1,29,2,aa,46,1,2
193539,1,73,2,aa,52,1,2
194406,2,16,2,aa,62,4,2
196740,2,14,2,aa,25,5,2
197298,2,83,2,aa,62,1,4
197439,2,26,2,aa,26,3,4
197465,1,23,1,aa,41,2,2
197544,1,83,2,aa,26,1,4
197646,1,50,1,aa,41,2,2
198016,1,74,2,aa,62,2,4
198083,1,48,1,aa,18,7,2
198999,1,16,2,aa,0,2,3
199255,1,73,2,aa,33,2,2
199529,2,29,2,aa,1,7,2
199549,1,40,1,aa,1,5,4
199553,2,16,1,aa,33,1,4
201112,2,46,2,aa,18,2,2
201432,1,81,2,aa,30,3,2
202187,1,22,2,aa,26,1,2
202381,2,22,1,aa,35,3,3
202876,2,73,1,aa,19,1,4
203049,2,21,1,aa,19,1,3
203866,2,87,1,aa,33,5,3
204170,1,31,1,aa,2,3,4
204314,1,45,1,aa,43,2,3
204858,1,82,2,aa,47,3,1
204887,1,54,2,aa,35,5,3
205103,1,24,2,aa,47,3,3
205751,1,24,2,aa,42,6,3
205785,2,49,2,aa,53,5,1
205951,2,82,2,aa,24,6,3
207465,2,34,2,aa,61,5,1
207793,2,60,2,aa,2,5,3
208162,1,56,1,aa,2,5,1
208526,2,56,1,aa,52,5,1
208764,2,56,1,aa,48,6,1
211134,1,14,1,aa,19,5,1
211173,2,79,1,aa,3,5,3
211478,2,80,1,aa,40,1,3
211495,2,81,2,aa,33,6,3
211503,1,78,1,aa,2,6,4
211764,1,78,1,aa,42,7,1
211769,1,81,1,aa,17,7,1
211811,1,79,2,aa,24,6,4
212276,1,81,2,aa,63,1,3
212357,1,20,2,aa,42,1,4
212373,2,20,2,aa,33,7,3
212395,1,61,2,aa,17,6,1
212631,1,48,2,aa,0,7,1
213030,2,66,1,aa,3,7,1
213189,1,66,1,aa,48,7,1
213559,1,72,1,aa,19,7,1
213736,2,79,1,aa,42,5,3
214063,1,73,1,aa,2,2,1
214099,1,55,1,aa,40,7,1
214147,2,79,1,aa,0,7,3
214244,2,40,1,aa,18,7,3
214728,1,60,1,aa,30,5,3
216024,1,48,1,aa,42,2,1
216211,1,33,1,aa,50,4,1
216445,1,39,1,aa,60,4,1
216588,2,44,1,aa,18,5,3
216761,1,20,1,aa,42,6,3
216854,2,49,1,aa,52,4,1
221228,2,62,2,aa,18,4,1
221394,2,26,2,aa,50,4,1
221467,1,50,2,aa,27,6,4
222824,2,51,1,aa,18,6,2
223297,2,65,1,aa,44,4,3
223315,2,18,1,aa,56,4,3
223364,2,67,2,aa,56,4,4
223430,1,20,1,aa,56,4,2
224248,1,64,1,aa,1,4,3
226320,1,64,1,aa,3,6,2
226541,1,84,1,aa,57,2,2
226668,2,31,1,aa,47,2,3
226771,2,36,2,aa,5,2,4
226876,2,17,2,aa,47,6,4
226888,2,84,2,aa,47,6,3
226918,2,65,2,aa,44,6,2
227241,1,22,2,aa,56,5,1
227285,2,64,2,aa,57,6,2
227294,2,31,2,aa,43,6,1
227315,1,16,2,aa,44,6,4
229445,2,83,1,aa,3,2,4
229601,1,22,1,aa,55,7,2
229605,2,22,1,aa,53,3,4
229711,2,22,1,aa,56,1,4
229945,2,87,1,aa,39,2,4
230207,2,19,1,aa,2,7,4
230226,2,65,1,aa,39,2,2
230529,2,42,1,aa,48,6,2
230566,1,81,1,aa,56,3,2
230720,1,81,1,aa,30,3,4
231256,2,81,1,aa,56,6,4
231310,1,65,1,aa,36,4,4
231689,1,82,1,aa,0,1,4
232090,1,49,1,aa,29,7,3
233605,1,66,1,aa,24,1,3
234129,1,63,1,aa,16,6,1
234219,1,53,1,aa,29,3,4
234568,2,60,2,aa,57,3,4
234977,2,20,2,aa,54,6,4
235133,1,64,2,aa,57,7,3
235204,1,59,2,aa,37,7,1
235327,2,44,2,aa,57,1,3
235487,2,44,2,aa,16,3,3
235494,1,84,2,aa,29,5,2
235864,2,32,2,aa,7,3,1
236749,2,32,2,aa,57,3,1
236985,1,20,2,aa,57,3,1
237055,2,20,2,aa,34,4,2
237385,2,37,2,aa,57,5,2
240671,2,86,1,aa,56,6,1
240704,2,86,2,aa,17,1,1
240773,2,86,2,aa,56,5,1
240779,1,64,2,aa,48,4,3
241001,2,41,2,aa,16,6,3
241090,2,54,1,aa,17,5,2
241091,1,54,1,aa,2,2,2
241126,2,64,2,aa,29,5,3
241945,2,53,2,aa,16,1,3
242520,2,46,1,aa,35,7,3
243029,1,46,2,aa,57,2,3
243307,2,35,1,aa,32,5,1
243753,1,60,1,aa,57,5,3
244578,1,16,1,aa,32,1,3
244609,1,16,1,aa,35,2,3
245000,1,15,2,aa,57,7,1
246559,1,59,2,aa,51,6,2
247242,1,62,1,aa,51,5,3
247428,2,40,1,aa,54,2,2
248623,2,36,2,aa,29,7,3
249863,2,44,2,aa,14,2,3
250000,2,44,1,aa,14,4,2
250078,2,60,1,aa,14,1,4
250099,2,36,2,aa,50,2,2
250144,1,59,1,aa,14,1,2
250222,2,59,2,aa,30,3,3
250560,2,20,1,aa,35,3,3
250625,1,36,1,aa,36,3,3
250708,2,45,2,aa,14,2,4
250714,1,49,1,aa,35,3,4
250809,1,50,1,aa,51,6,4
250815,2,49,1,aa,32,6,3
251188,2,49,1,aa,14,6,2
251361,1,18,1,aa,14,1,1
251369,2,18,2,aa,14,6,3
251593,2,49,2,aa,14,3,3
251690,1,49,2,aa,36,6,4
251853,1,81,2,aa,14,1,1
251889,2,81,1,aa,51,1,2
254342,2,81,2,aa,14,3,2
254817,2,19,1,aa,4,3,2
255197,2,35,2,aa,14,3,1
255284,2,63,2,aa,14,3,1
255605,1,37,2,aa,31,4,2
255831,1,47,2,aa,14,2,1
258096,2,47,1,aa,24,3,2
258232,1,18,2,aa,1,5,3
258287,1,37,1,aa,32,3,4
258682,1,37,2,aa,19,6,1
259074,1,37,2,aa,32,5,3
259094,1,37,2,aa,39,5,3
259149,2,42,2,aa,14,4,1
259612,2,84,1,aa,14,4,2
259613,1,84,2,aa,14,5,1
259704,2,51,2,aa,34,6,4
259806,1,40,2,aa,17,6,1
260002,1,47,2,aa,14,1,4
262426,1,29,1,aa,29,7,3
262730,1,15,2,aa,15,6,4
262761,1,87,1,aa,1,3,4
262845,1,15,2,aa,3,7,4
262889,1,73,1,aa,3,3,4
262904,1,50,2,aa,21,1,3
262922,2,87,2,aa,15,3,1
262945,2,74,2,aa,1,1,1
262971,2,74,2,aa,15,6,4
263119,1,73,1,aa,22,7,3
263156,2,74,2,aa,22,1,1
265258,2,83,2,aa,0,5,3
265336,2,75,2,aa,19,6,1
265338,1,31,1,aa,31,1,3
265352,1,65,2,aa,14,6,1
265455,2,64,2,aa,22,7,3
265488,2,36,2,aa,58,6,1
265532,2,41,1,aa,14,1,1
265748,1,64,1,aa,14,1,4
265790,2,78,1,aa,1,7,1
265999,1,65,1,aa,17,7,1
266202,2,65,1,aa,1,7,3
266340,1,78,1,aa,14,5,1
266699,2,16,1,aa,56,3,1
267374,2,14,1,aa,57,7,4
267609,2,47,1,aa,54,1,1
268131,2,15,2,aa,6,5,4
268345,1,64,2,aa,58,5,3
268474,1,15,2,aa,10,3,1
268544,1,67,2,aa,44,7,4
268571,1,67,2,aa,59,1,2
268749,1,67,2,aa,56,3,2
268830,1,67,2,aa,44,3,2
268927,1,44,1,aa,56,7,4
269256,1,76,2,aa,30,5,4
269408,1,67,2,aa,22,1,2
269668,1,81,2,aa,6,3,2
269827,1,83,2,aa,48,7,3
269864,1,46,1,aa,10,3,4
269891,1,66,2,aa,56,3,2
270035,1,83,2,aa,48,3,4
270117,2,50,1,aa,44,3,2
270160,2,90,2,aa,30,3,2
270175,2,54,2,aa,17,3,2
270298,2,83,1,aa,55,7,2
270542,2,18,2,aa,37,7,2
270578,2,14,2,aa,54,2,2
270845,2,35,2,aa,39,5,3
271210,2,86,2,aa,39,1,4
275276,2,83,2,aa,19,2,2
275390,2,50,2,aa,28,4,2
278908,1,14,2,aa,2,4,2
280581,2,16,2,aa,37,4,3
280678,2,59,2,aa,11,4,2
280680,2,44,2,aa,57,4,3
280727,2,59,2,aa,13,5,1
281411,2,19,1,aa,45,2,3
281755,1,59,1,aa,13,5,2
281971,2,59,1,aa,18,5,4
282179,2,82,1,aa,57,6,2
282745,2,86,1,aa,18,4,1
282941,2,57,1,aa,18,1,3
283321,1,75,1,aa,6,3,1
283416,1,39,1,aa,18,4,3
283480,1,86,1,aa,6,4,2
283512,1,32,1,aa,30,3,4
283650,1,39,1,aa,31,4,1
283754,1,57,1,aa,52,6,2
283770,1,59,1,aa,22,2,2
283971,1,75,1,aa,31,3,4
284004,1,56,1,aa,29,4,3
284177,2,59,1,aa,58,6,1
284199,2,30,1,aa,30,5,3
284217,2,56,1,aa,29,6,1
284628,2,28,2,aa,30,4,4
284646,2,30,2,aa,29,4,1
287357,2,89,2,aa,0,3,3
287443,2,73,2,aa,1,3,3
288261,1,24,2,aa,44,5,4
288329,2,54,1,aa,37,1,1
288533,2,48,2,aa,44,5,3
289196,2,80,2,aa,44,2,3
289474,1,50,2,aa,13,6,4
290617,2,78,2,aa,44,6,1
290855,2,37,2,aa,23,2,1
290910,2,87,2,aa,4,2,1
291018,2,59,2,aa,0,3,4
291320,1,26,2,aa,15,1,1
291436,1,80,2,aa,58,6,3
291741,2,42,2,aa,29,1,1
291930,2,48,1,aa,4,2,1
292001,2,28,1,aa,37,1,4
292086,2,59,1,aa,46,5,3
292153,2,53,1,aa,11,2,1
292490,2,87,1,aa,4,2,1
292569,1,83,2,aa,58,6,2
292848,1,59,2,aa,52,4,1
295496,1,71,2,aa,19,4,1
295719,1,90,1,aa,23,5,2
299261,2,57,2,aa,35,3,1
299313,1,56,2,aa,33,4,1
299656,2,59,1,aa,41,4,1
300342,2,71,1,aa,34,5,1
