MONTHS_OF_SERVICE,TAETIGKEITSSCHLUESSEL4,B52
58,2,836.7575452206116
58,2,798.7802028155976
58,2,796.9360859928835
59,2,823.3153426786031
51,2,814.8728474151384
48,2,781.1840347944866
49,2,813.4970268907622
48,2,877.0932126644265
53,2,822.8835337815119
52,2,966.5678266418964
53,2,815.7300366644114
52,2,990.821322469818
48,2,856.6927195051625
48,2,863.0566842146198
52,2,914.6583925802196
48,2,834.6823204029388
54,2,988.6434098722857
60,2,767.3852906536059
60,2,766.7561560439207
60,2,723.3823401639813
61,2,748.8408503503048
61,2,531.9023185770922
60,2,674.4337092283753
62,2,704.8695441962442
58,2,706.131790735394
62,2,627.6710422925153
58,2,766.3728384721876
55,2,572.3046280302683
52,2,569.914752088793
55,2,544.0311261788567
52,2,624.702442025001
52,2,626.6026780608403
54,2,606.3199609163446
53,2,602.1706072484236
52,2,547.0521652156172
52,2,529.474967191918
50,2,640.0295089183069
51,2,610.6383445117579
55,2,530.2644775741824
50,2,608.5857991020792
55,2,513.6223009287903
55,2,750.5065460651346
53,2,603.3748687904784
51,2,602.9863197941944
48,2,515.5622347121003
54,2,724.2193427963288
52,2,625.3470192536145
43,2,751.5681608572673
45,2,625.1205556296123
43,2,671.3596358228527
46,2,765.3539753812007
44,2,650.952467918322
45,2,530.9013622075689
45,2,690.4511845012031
41,2,558.6656847945155
46,2,692.5943832591136
44,2,717.1424820054735
47,2,757.9228767261505
42,2,710.2683336022877
43,2,742.7006873876275
36,2,913.1894570599674
36,2,915.2031552978348
36,2,915.839738638744
37,2,906.1638243521274
37,2,998.3940138940719
39,2,980.2549125008057
36,2,878.4136838900388
38,2,916.4697617412975
36,2,906.0999901835295
38,2,919.0849198394617
36,2,914.8473266200389
38,2,786.206130629137
36,2,768.5868100054834
37,2,816.8346278573464
45,2,796.6394825116286
45,2,879.028963789375
41,2,842.2205051756854
47,2,861.1327313794686
42,2,999.7314995416233
42,2,904.9343568380059
41,2,820.9710168256107
41,2,799.2347354401917
47,2,879.5092015768428
41,2,987.2103373554946
41,2,798.3001210584592
42,2,915.7485757460416
33,2,609.1324394576598
34,2,556.0111471571097
35,2,550.0302809654117
35,2,555.0076296737695
34,2,611.8640394579105
35,2,571.3222860912729
35,2,569.8727208982153
32,2,586.1534315742988
34,2,557.9733369814567
36,2,686.0212269008352
39,2,670.5985398341872
36,2,681.4851655783287
36,2,678.8643287321725
36,2,680.1615982668793
59,1,1193.78935971578
61,1,1259.4539642962366
61,1,1257.0421155631486
60,1,1208.301756105627
61,1,1140.1077760312535
61,1,1141.747873754935
59,1,1141.920063372296
58,1,1131.2829834976014
58,1,1129.8309981084772
62,1,1038.702378837934
56,1,1159.5950563728577
54,1,1038.560465690361
54,1,1039.4683214248694
48,1,1077.3888170537916
52,1,1104.3267389678788
48,1,1104.407842350707
49,1,1134.3313522876458
49,1,1134.4652998988688
54,1,1040.4367673778045
54,1,1141.7412303573649
43,1,1240.0587694650321
43,1,1236.752694044205
43,1,1278.1244606388966
43,1,1275.943293139988
43,1,1260.918955638317
43,1,1256.779366741713
43,1,1256.9378719679723
43,1,1276.6164268943812
43,1,1274.6057196198935
43,1,1264.9388800891918
43,1,1268.2225624168136
35,1,1159.4781233957858
35,1,1156.3602320147668
33,1,1258.9104304984498
33,1,1220.9574119451256
39,1,1104.8749931640832
32,1,1256.5658988765067
37,1,1042.6196772051092
36,1,1038.9753640814606
36,1,1037.063562589464
35,1,1227.9352193664452
37,1,1175.0091783744238
41,1,1341.9876691404004
44,1,1297.953287679727
45,1,1314.9970118900007
47,1,1280.281619910594
23,1,844.3295309323624
21,1,798.4200432387049
21,1,847.0686587962815
18,1,816.8260509590888
20,1,797.6627104564031
18,1,799.9542758683075
19,1,784.0984761947352
20,1,797.260192846603
21,1,842.0323591398924
17,1,816.7432561859791
19,1,671.3936739026688
19,1,670.5935246927896
17,1,743.6013290960204
23,1,562.789978027344
23,1,720.9014205570177
17,1,765.6217871651256
21,1,671.9296462766049
22,1,710.0579585585302
19,1,650.3601361457695
28,1,765.1598288482425
28,1,757.2251139892967
27,1,671.6607238274361
30,1,651.8227785106177
30,1,571.8397776900392
24,1,627.426421076353
27,1,671.0098327003475
28,1,752.4794452030874
27,1,739.4749060087887
30,1,725.3016747675053
24,1,648.4252430696463
25,1,670.3843041092249
24,1,675.1077997168301
27,1,587.4620751878833
27,1,803.6580526897185
28,1,904.9898399272921
26,1,798.9396041189842
30,1,964.9728359316007
30,1,796.8466088474966
24,1,966.9382319260743
24,1,932.352666952215
24,1,966.6173947637649
28,1,796.2031472391669
27,1,988.2601018242747
27,1,893.7843811543197
30,1,928.0462944511911
2,1,832.2154996317216
2,1,832.2890121642134
0,1,878.1302488925254
0,1,878.9498096816723
2,1,836.9256133476745
2,1,832.6447313780071
0,1,871.0914413379248
0,1,871.9728591376353
0,1,879.6292017758136
0,1,877.3600673564366
6,1,671.8700980200973
6,1,751.6256053940612
2,1,711.6977113383763
6,1,766.8027432978749
1,1,766.8515912826645
1,1,764.710828568405
0,1,719.1437699679741
7,1,753.7093118353654
0,1,707.389724689444
0,1,706.0266272591045
7,1,671.7127364264136
7,1,725.8791633653035
0,1,654.8145658133681
14,1,982.7778616647919
14,1,912.5969357641161
14,1,912.1379796630224
11,1,805.1033287290337
8,1,773.1707903863451
8,1,803.6926842854147
8,1,807.7758153870025
11,1,807.8084767715799
11,1,804.7354754125025
8,1,815.9834605191062
9,1,840.9186844853955
11,1,808.8224294940906
11,1,796.4048002251037
11,1,796.7807288843011
14,1,752.6425687074609
9,1,530.2532639408824
9,1,721.5694560938848
9,1,562.789978027344
13,1,651.8595654795204
13,1,758.5565660806396
14,1,670.1332192011441
15,1,754.1736574597202
4,1,335.43540253962766
4,1,485.0035091314568
7,1,335.82408216162383
0,1,495.8995369626367
7,1,265.0910730826581
1,1,495.5195525407907
4,1,339.2465636045852
6,1,484.7945927492369
1,1,256.81163948901667
3,1,292.87093167321154
15,1,63.092920816971265
12,1,126.93711093399085
15,1,111.26225153651957
15,1,108.31084001368512
15,1,58.35810791561242
14,1,28.031687652512023
14,1,28.797493232596544
14,1,106.41270362333022
8,1,45.33794031729447
8,1,47.37255907386236
9,1,18.151547924447794
8,1,31.345059144902134
8,1,28.94949736481848
9,1,28.802287575679223
9,1,2.8895630721033445
9,1,12.984000969121585
0,1,19.241811596582995
0,1,126.04038686672178
3,1,172.79519281545126
4,1,217.91679253184523
7,1,200.0072226917928
0,1,233.5535046385703
6,1,217.78009190788512
0,1,44.057805799896194
0,1,216.86869005158704
8,1,265.68684070899064
10,1,345.7206151263601
10,1,348.55946874231245
8,1,418.6327472058146
12,1,463.8046946336426
11,1,420.11599690344195
8,1,423.28225165806117
9,1,264.34510399250803
11,1,423.96670659674606
11,1,264.17170841509534
20,1,93.73695648259313
20,1,46.86611863045803
22,1,85.34236622143074
22,1,26.155011149981533
20,1,47.13797292527804
20,1,124.50800408325968
23,1,237.83228683550902
19,1,149.39601093352277
20,1,27.674232910583886
17,1,45.185436817398674
22,1,27.265159924404838
17,1,232.14261318640544
18,1,76.96147409162928
19,1,94.85350858504394
19,1,74.11744506015823
22,1,130.72233444656777
17,1,244.03494571602263
20,1,151.48392687523716
18,1,118.9690122262185
25,1,282.3903956111549
27,1,371.62294745523917
25,1,335.22129903477236
26,1,264.9163831867743
24,1,460.69944366483355
26,1,287.86034228708036
25,1,330.6616900884545
25,1,456.7963415349721
24,1,293.4853624657781
27,1,292.79050771582524
26,1,460.22743096716965
24,1,265.95891565840265
19,1,487.3039640211684
18,1,419.3905598263959
18,1,477.0949981023678
18,1,444.2019397924141
19,1,485.29856408813515
16,1,283.32315671962806
17,1,359.05315438652036
17,1,274.7016831535438
18,1,430.80623009848154
22,1,391.0444415614539
18,1,422.65035972358214
23,1,399.38123760656345
23,1,487.90875111365875
17,1,461.5669481834582
19,1,422.95488732831916
23,1,501.9427301093182
22,1,463.9865422080601
30,1,202.60638219948677
28,1,204.4923020987848
30,1,124.47654481870806
27,1,234.7276534477539
29,1,130.02877005796057
27,1,128.16439483880524
44,1,342.92413371666214
46,1,484.0631034772207
47,1,371.69670385638165
47,1,259.8952351284635
42,1,293.369922603969
42,1,256.15250847044484
46,1,292.1407104800284
42,1,444.4878274148584
38,1,471.54179537832096
39,1,444.39557105356056
38,1,257.6864849761666
34,1,333.7647640090767
34,1,361.2783179503903
39,1,408.8623003237571
39,1,383.0600215067574
36,1,417.18686653905525
37,1,107.41753149015807
39,1,119.29123941490724
35,1,128.28819741112594
34,1,172.79671392764283
38,1,175.17728317312134
32,1,113.1667604518475
38,1,201.57654661544328
32,1,75.93618930133547
38,1,69.10622077353175
39,1,109.84244556647184
39,1,127.96943096403085
47,1,92.46990769867223
45,1,112.47306215498226
45,1,22.424389269970803
43,1,44.64945657470887
41,1,44.97982920420277
41,1,60.73993542714562
46,1,167.81874573928368
41,1,18.19570791948298
43,1,165.54919396465297
47,1,72.39071340106564
41,1,71.76618675771795
45,1,90.34890083604579
45,1,119.66546319119321
43,1,150.63831764146397
58,1,467.39889350237286
58,1,487.8287122665333
58,1,413.8304822195492
56,1,414.2639606133662
56,1,408.67875547805636
56,1,485.7127882040315
56,1,495.20548769335204
56,1,292.4486549873227
59,1,497.098921398321
61,1,445.24884581762643
60,1,420.2903315529293
59,1,413.6180176388089
56,1,367.4167238719688
60,1,389.22657968098684
62,1,495.52304616298204
62,1,495.733729482342
60,1,408.6057960174578
58,1,411.0962213244014
56,1,459.1332571740114
59,1,486.30958182057685
62,1,293.22434600537036
56,1,47.31106889920723
60,1,77.11869146322879
59,1,117.94105026663553
59,1,167.5500178327942
56,1,228.37606341078722
56,1,29.276956639948075
57,1,239.91347728854242
56,1,71.0264175758504
58,1,126.95837817773112
58,1,127.81245730655911
62,1,115.61652984945107
52,1,70.32518657810957
50,1,134.22272219872528
54,1,44.45339256323377
54,1,47.07793135581338
52,1,62.86078003899496
50,1,61.26348576689469
52,1,77.51383450634901
54,1,135.3155541201232
53,1,490.83982368982015
55,1,438.13838991419624
52,1,428.7900001052889
53,1,409.44378173224027
52,1,442.543277083137
52,1,609.1609614747019
54,1,515.8724813054014
50,1,642.4469011754599
50,1,613.0461770506547
50,1,614.4506796338911
49,1,610.9722714669186
51,1,513.7781023653446
52,1,650.2685942323529
54,1,518.0212037766914
52,1,562.789978027344
50,1,572.1173554109504
49,1,821.0418021651145
48,1,893.2811033761893
48,1,818.4471840176836
48,1,816.7360273742422
54,1,986.052808203139
52,1,966.0765688418005
54,1,986.5321504578098
54,1,990.3063004810261
52,1,916.0173826174332
52,1,964.9004811510381
62,1,562.789978027344
60,1,568.0131883538189
59,1,562.789978027344
56,1,740.3486865687439
58,1,591.597294504724
62,1,615.5520260038006
58,1,518.1121773305334
57,1,624.724744542605
60,1,615.7913348001321
59,1,608.6944352672585
62,1,823.2665558980486
60,1,892.2660468626375
62,1,844.4964866715972
58,1,805.3935129937076
61,1,892.8239992840834
58,1,800.0510859682256
59,1,833.1937499912945
62,1,805.4714583372751
59,1,818.7414222097718
41,1,984.1507974946743
42,1,985.369790471512
43,1,964.9027983800227
41,1,987.9200295872041
42,1,931.3056307639679
41,1,930.3204939262275
43,1,944.669037458081
41,1,998.3500209857973
42,1,964.97735853538
41,1,869.283392194644
41,1,864.7924050601208
41,1,998.2852391871053
46,1,983.6935334015884
41,1,799.889893954688
46,1,766.6959350993466
46,1,736.918110770897
42,1,609.9984596225831
41,1,766.8364530787958
43,1,767.8075435476319
41,1,641.2329990970592
42,1,704.3999745996025
46,1,744.0187608262195
46,1,518.6813362687103
41,1,572.1388332546986
45,1,692.5785660744154
41,1,752.6802175173749
39,1,806.4668991415277
36,1,908.015756692955
38,1,904.5912270443451
38,1,904.5127505546213
39,1,906.4759138776022
37,1,833.7170990751288
38,1,798.8858786811165
39,1,796.286882004027
39,1,929.4631920981801
38,1,918.873596316524
36,1,912.9165126786155
39,1,913.3912956025525
37,1,917.8566952065552
36,1,919.271049945235
32,1,602.1040880218324
32,1,609.9532131556664
32,1,611.6806733954268
33,1,610.0503290415254
33,1,612.9593354549797
33,1,611.998239459641
33,1,615.1124974956297
33,1,613.5980482984096
33,1,610.243051560393
32,1,609.7821062230691
32,1,613.3969959239644
32,1,614.1353340055397
32,1,615.8712921496059
33,1,600.3028666185324
33,1,600.0096859606898
33,1,603.2834550870359
33,1,600.9616577887977
10,2,1098.9115066177942
9,2,1036.3521190388083
9,2,1098.2871772787782
8,2,1128.4398321342394
8,2,1135.1879450507677
9,2,1038.737573945265
9,2,1036.9542295174708
8,2,1072.9279231133091
11,2,1260.6470153906857
11,2,1262.1782221869857
8,2,1172.5880396713208
8,2,1276.723547519293
8,2,1279.4607664552314
10,2,1173.9150356414527
10,2,1175.1781195037593
8,2,1227.8925615947649
11,2,1276.4042829710468
6,2,1315.5702398360943
7,2,1314.8710625191247
7,2,1315.3585945531563
6,2,1292.561058834079
6,2,1292.7038892897456
3,2,1129.1196333589958
3,2,1140.0433903053104
3,2,1132.3961377012574
3,2,1133.5311558311976
3,2,1130.1559252751388
4,2,1024.908905742037
4,2,1070.8925857582847
4,2,1062.9595998588168
5,2,1046.3090801387746
5,2,1085.3503918540111
5,2,1066.080584250118
4,2,1025.2129287527864
5,2,1052.5061083647272
12,2,1303.4685493661095
12,2,1328.3249421644612
9,2,1340.5363641311742
18,2,1277.9340807485344
21,2,1240.9315329765298
21,2,1193.090265152459
19,2,1222.8181233356959
21,2,1036.8208112566354
21,2,1038.4704043877164
18,2,1039.9165531017152
22,2,1147.3164063304491
22,2,1128.931839329141
19,2,1192.0872000608886
22,2,1074.1669317840237
22,2,1078.8295380176473
18,2,1090.0251475006226
27,2,1296.4651542066706
27,2,1342.2534619402784
27,2,1341.5556679587396
27,2,1296.077876761408
31,2,1129.8470514992277
27,2,1158.0853783210982
28,2,1195.339134934902
30,2,1159.3047767646808
31,2,1130.4791411054578
27,2,1039.6574258105998
31,2,1194.5023776059033
30,2,1256.3436379684354
31,2,1040.6545144925485
31,2,150.20840616215983
31,2,224.99254103888538
30,2,206.17779986373105
30,2,206.99705048230445
29,2,247.10269485427762
28,2,203.06673112229777
28,2,206.2285703344631
29,2,205.6941970062225
31,2,157.19577243676375
30,2,82.6091165158233
30,2,80.44787306895348
29,2,108.79031657118873
31,2,82.97614396045593
31,2,82.0926403468473
31,2,90.50757697205273
29,2,106.94460043037512
29,2,104.52840511543761
16,2,31.87714760806919
16,2,25.600201102963304
16,2,63.49169739676435
16,2,86.0338273231986
16,2,25.738492823755777
18,2,242.3329382677831
18,2,247.63664026117482
16,2,228.39010176929875
19,2,245.54911293541923
19,2,205.38915158275603
17,2,216.87941312469448
16,2,447.95344250636975
21,2,485.37724128302756
21,2,487.99330541840584
22,2,447.469715192901
21,2,485.249161362831
16,2,486.95384511437453
18,2,498.42019733206104
24,2,342.4267895731304
24,2,472.90475371180264
27,2,390.14836524417467
27,2,496.9780474122401
26,2,340.0924661218093
24,2,430.8899466897328
24,2,264.51597751351557
26,2,293.6404514930602
31,2,653.8599595097241
27,2,651.1675766503936
31,2,626.7079870593283
27,2,765.6487435997524
29,2,719.1504335493516
27,2,558.7527173923204
24,2,574.156666355669
31,2,671.9404094723111
30,2,757.1184789004151
27,2,614.1772239650314
26,2,989.684356889782
27,2,984.5048371705308
26,2,1023.7023669734023
26,2,906.4434580232144
24,2,821.8480947089521
27,2,928.14735420847
24,2,857.0256582011793
29,2,842.8027424208076
26,2,1018.6509814455328
28,2,769.0363230404636
28,2,773.8795634166754
30,2,932.194659217823
28,2,906.6928581292283
18,2,681.919709545344
17,2,653.9656843114362
17,2,652.5216054383915
18,2,679.3605354398629
19,2,684.1837348226164
19,2,683.7935239460868
17,2,673.2984162563105
19,2,727.2930140826134
19,2,725.6203300900713
18,2,755.0148002780835
21,2,811.9147971213424
18,2,811.6205133107645
21,2,817.1191181662388
20,2,840.9218479510978
21,2,842.169912602385
16,2,842.0729775107768
18,2,785.8097975333773
18,2,787.7855558080752
18,2,784.9913818035129
4,2,706.3783446951388
6,2,739.713064704215
7,2,670.1480033805764
3,2,767.1027960364949
0,2,707.74153136895
0,2,748.2639821440442
4,2,654.595553749597
3,2,765.8752929055995
4,2,652.6695976613994
4,2,687.1059146638389
3,2,767.5033988718661
3,2,878.303019924151
0,2,878.7930611509853
0,2,879.3421927997697
1,2,834.8056977867428
1,2,832.3937147558113
1,2,892.8471775440538
1,2,893.9255122572185
1,2,892.5992342116705
1,2,868.4152038658883
1,2,868.8768731633365
1,2,808.306889916993
12,2,551.8658473504667
13,2,649.8151476728075
12,2,707.2538856837529
14,2,726.7505543486312
11,2,546.6730556351145
12,2,541.8804655077573
12,2,626.319311908684
8,2,552.7520538310217
12,2,892.1824222297776
15,2,906.6705180387132
12,2,768.5195569751097
9,2,841.5003118184397
8,2,815.2764964992904
15,2,812.2659151755363
15,2,813.7085051495396
8,2,334.06790283131505
10,2,351.2988979593198
8,2,292.20525108369696
8,2,340.7962153161967
8,2,343.4304485034799
10,2,380.1061861634688
10,2,371.17236898583326
11,2,456.72724652179
11,2,463.47743949025335
8,2,395.594947321939
11,2,397.15183685538676
11,2,393.0770043898768
8,2,429.86646275755015
8,2,429.28243579775426
7,2,429.13047018098655
6,2,494.96145373610534
4,2,487.09893556015675
4,2,386.6497882851715
4,2,496.1637905821012
7,2,484.9674354000661
4,2,496.20027727093037
6,2,487.33787841656033
6,2,486.7167521828494
0,2,496.5270860333691
4,2,426.2069797975238
3,2,492.5907854257841
1,2,492.7574264448501
6,2,444.00847382832814
6,2,487.9853941966765
7,2,426.9561624637607
2,2,393.1680405984616
4,2,502.6364173208156
9,2,201.21628631716112
14,2,73.85227128374945
14,2,79.67807191286134
12,2,18.91355547915385
12,2,149.62146359035822
12,2,179.71912623979367
8,2,23.059657143433604
8,2,163.47030000964662
14,2,44.840041419245686
9,2,240.77099568701604
8,2,156.66593760149337
9,2,30.216947824897346
12,2,247.88689830694878
12,2,245.56845654783726
12,2,240.9010544162839
21,1,1172.3421931983662
22,1,1275.4313291796586
21,1,1231.948498417269
20,1,1159.251241972351
20,1,1158.3979259402163
17,1,1233.2350874144076
20,1,1156.8524161875944
22,1,1157.3699195991483
17,1,1242.3508884282292
17,1,1241.092314241846
19,1,1042.1379421963095
21,1,1273.1223154249883
21,1,1258.6431070398924
21,1,1260.4780994580506
17,1,1141.3443686791475
18,1,1142.5208275552986
21,1,1133.861238323171
30,1,1257.3159231054333
30,1,1258.0974785607357
30,1,1258.7583027957712
30,1,1158.3171626473704
30,1,1159.4722500257615
28,1,1227.2912509266057
28,1,1228.989986894094
28,1,1230.140633054185
28,1,1193.8522055235067
28,1,1192.0489425905655
28,1,1192.975466193024
30,1,1264.4115983320619
30,1,1268.8869521179004
27,1,1343.1237853121038
27,1,1340.588569770156
27,1,1341.9490154528576
27,1,1343.6511151130562
27,1,1295.8171552734918
27,1,1294.5347049739996
27,1,1293.292723443734
15,1,1261.00224754557
12,1,1259.4816411399433
14,1,1258.7259016703804
15,1,1227.9408432908115
15,1,1273.5404619698465
14,1,1226.5079353872422
14,1,1106.4281948788675
12,1,1259.912878947721
15,1,1257.1653746919533
15,1,1117.0397451977503
9,1,1194.0885828833273
14,1,1156.930633797967
14,1,1158.9417193000295
8,1,1042.2564221494151
9,1,1175.7169096523824
9,1,1258.0104524654428
9,1,1225.6192129327183
14,1,1063.3419286715325
11,1,1256.4099525916986
14,1,1221.9152972829206
12,1,1263.1967821435053
3,1,1047.0538552756852
3,1,1130.0436131642687
6,1,1053.7961946923722
6,1,1051.3541198214953
4,1,1140.0878875161675
7,1,1054.5373199540456
6,1,1045.1367399602584
6,1,1045.799933754531
3,1,1102.775878724958
4,1,1315.1807039220198
7,1,1314.22758787365
7,1,1286.9585592069232
7,1,1284.4472102416914
6,1,1332.4000923044964
6,1,1328.3622947429644
