MONTHS_OF_SERVICE,TAETIGKEITSSCHLUESSEL4,B52,TAETIGKEITSSCHLUESSEL5
9,1,840.9210723417045,4
9,1,843.6411258290306,4
14,1,877.0472427737959,4
14,1,879.4131061060406,4
9,1,842.8684782412965,4
15,1,840.4347714394607,4
15,1,840.048309925634,4
9,1,843.1379729252781,4
9,1,841.5745646488595,4
25,1,264.3166666460126,4
28,1,411.6742329105839,4
30,1,346.792050650666,4
27,1,160.08203822308306,4
21,1,108.96147409162928,4
20,1,409.0029330317417,4
21,1,169.6718826797638,4
46,1,126.01747285801132,2
46,1,124.64363447747408,2
46,1,127.00070623746973,2
47,1,44.90573686380979,2
46,1,110.49581491818668,2
41,1,361.24367318348067,2
45,1,135.93017114354018,3
33,1,367.4131475997301,2
39,1,216.90884401172767,2
39,1,427.1620308633011,3
39,1,164.43463483651882,2
46,1,57.395425358040825,3
32,1,292.847639956599,2
36,1,160.020791876265,3
32,1,225.14484260877035,3
43,1,105.70769729497675,2
41,1,107.06216353951142,2
43,1,74.8284406728581,3
32,1,399.0444415614539,3
57,1,389.245688203653,3
57,1,258.91687509432757,3
56,1,413.5669481834582,3
57,1,387.4289631210826,2
59,1,444.2984192332296,2
56,1,410.6063821994868,2
56,1,420.8895176087433,2
58,1,330.3155606341638,2
56,1,445.01438502898026,3
56,1,110.45152932133351,2
56,1,47.497972316276325,2
59,1,444.9241759640954,2
59,1,447.3666465270991,2
59,1,417.27695834074115,3
55,1,24.5628419201136,3
57,1,468.41664627698674,3
58,1,134.18279337082515,2
57,1,486.8432424880833,3
56,1,31.873160300876602,2
56,1,445.84339107320335,3
59,1,231.5300107533787,2
53,1,107.24085923447463,3
54,1,915.4439235472142,3
53,1,892.0720493527815,3
52,1,835.8243618783072,3
52,1,654.8272608421386,3
53,1,545.5765466154432,2
52,1,778.279376435973,3
52,1,726.0138819684933,3
54,1,711.9388619280617,3
52,1,839.8525142182306,2
53,1,709.3511506458835,3
54,1,562.789978027344,2
57,1,842.5292201025743,3
54,1,530.7733612029647,3
53,1,852.3914158389659,3
53,1,720.1414774663866,3
57,1,626.7748557054832,2
57,1,514.3489008360458,3
59,1,799.436093820894,3
42,1,625.7359875557501,1
44,1,711.314849066133,1
46,1,648.2037037971595,1
41,1,609.1069363277921,1
43,1,719.425576408063,1
45,1,716.1123078281323,1
46,1,710.2638539595719,1
38,1,818.4976916352529,1
41,1,723.2322191387846,1
44,1,609.550796053105,1
42,1,989.2265796809869,1
41,1,984.940225804565,1
41,1,671.3628349307347,1
44,1,723.0962213244014,1
43,1,611.300064167619,1
50,1,584.4735999266538,1
50,1,614.6221377984144,1
51,1,615.4693722220552,1
54,1,912.1561493521784,1
60,1,671.0940158526968,1
53,1,815.6219373826204,1
48,1,612.566487713959,1
54,1,989.9167563554622,1
50,1,985.6279079450526,1
60,1,431.90171434311276,1
60,1,462.22272219872525,1
60,1,495.9152065661806,1
60,1,445.7344711625934,1
60,1,362.6317428834474,1
60,1,459.78374951603524,1
52,1,131.74237382220804,1
48,1,459.3836493696373,1
48,1,347.94478783398597,1
60,1,471.42684815289437,1
56,1,329.16096147470194,1
50,1,461.1154828333462,1
52,1,127.44880824149973,1
50,1,363.22533981694556,1
50,1,164.14105811919015,1
60,1,431.0185571223973,1
37,1,704.6785208541244,2
35,1,672.6216342240141,2
36,1,750.5733616867817,2
38,1,675.9812321522321,2
37,1,684.5333236255447,2
37,1,892.6238812652778,3
39,1,836.153137683601,3
37,1,835.5407134408523,3
36,1,892.4016209051135,3
36,1,892.450240575519,3
38,1,893.4862286626386,3
45,1,749.4032176712266,2
34,1,802.174343284372,3
36,1,613.4491441659856,2
39,1,554.4668290558353,3
38,1,801.4494890852101,2
37,1,819.5992025460409,2
34,1,562.789978027344,2
38,1,892.2660468626375,3
34,1,835.3999767068577,3
38,1,822.7394322163999,2
46,1,670.0127714920563,2
41,1,930.7730518297955,3
39,1,830.7536571878771,2
37,1,832.1507974946743,3
45,1,893.4287858719592,3
42,1,827.1270548795788,2
39,1,931.3056307639679,2
47,1,671.206117219614,3
34,1,391.7108747175798,1
33,1,292.48867926769,1
32,1,461.4833742527909,1
33,1,292.836644443274,1
33,1,447.69353340158847,1
34,1,364.18482989994715,1
38,1,236.35375081686112,1
44,1,124.9992298112916,1
32,1,226.68427670922435,1
36,1,425.86931234849243,1
34,1,384.39997459960256,1
44,1,364.3650764905765,1
37,1,367.584567850433,1
46,1,126.28928303720775,1
39,1,428.158065321271,1
7,2,1232.7818188986053,1
7,2,1048.591227044345,1
4,2,1258.7605041743282,1
8,2,1234.1359135526789,1
9,2,1277.771757362233,3
8,2,1235.6135568581726,3
8,2,1094.6699558068308,3
8,2,1089.833025357231,3
10,2,1076.9871738976447,3
8,2,1036.9204188054061,3
8,2,1037.0520440109162,3
11,2,1194.3762164242557,3
8,2,1277.4610557763438,3
8,2,1276.9593354549797,3
9,2,1195.3309279646883,3
9,2,1253.772603425775,3
9,2,1250.243051560393,3
9,2,1128.2718675109923,2
11,2,1063.0686049888445,2
11,2,1063.871292149606,2
8,2,1061.6228710781324,2
3,2,1131.2224431572051,2
3,2,1128.9616577887978,2
3,2,1109.0254412419308,2
5,2,1117.161820537724,2
5,2,1128.4398321342394,2
3,2,1134.6228148110886,2
3,2,1129.9516314716332,2
27,2,1314.2319807783272,3
23,2,1131.4008036204814,3
25,2,1225.8764215131164,3
26,2,1038.3617737596467,2
27,2,1273.2175707054444,2
30,2,1159.8649751892683,3
19,2,1275.8925615947649,3
23,2,1129.5326789920234,2
18,2,1267.8462285034366,3
29,2,1333.434378212625,3
29,2,1158.3365735266352,3
25,2,1257.4645719712196,3
18,2,1224.086780610621,2
29,2,1133.380490790561,3
29,2,1130.9639321914908,3
19,2,1056.1136132177546,2
30,2,1074.789770081487,1
22,2,1292.660704377758,1
21,2,1135.6687989817515,1
19,2,1216.7588628495398,1
19,2,1192.6560842162924,1
21,2,1037.8671373415273,1
16,2,1266.0503209466367,1
27,2,202.33664743040902,4
27,2,204.46576648826485,4
30,2,264.63414061810386,4
21,2,500.4824815835309,4
18,2,164.94080877543269,4
30,2,216.5115990677104,4
16,2,337.3057513789378,4
18,2,152.17440012177713,4
27,2,170.45460544878978,4
27,2,247.3385055332567,4
16,2,56.23257710333535,4
7,2,688.7603076456171,4
6,2,626.8496419499352,4
3,2,689.8470514992277,4
3,2,879.5466604211641,4
3,2,730.1890306892222,4
3,2,877.2395705527289,4
7,2,719.7732227757726,4
15,2,908.2190497903769,4
12,2,992.6545144925484,4
14,2,996.5196579181078,4
3,2,867.1510595081568,4
16,2,726.9970504823044,4
18,2,711.6352216429952,4
18,2,734.7175857895439,4
16,2,821.6941970062225,4
18,2,562.789978027344,4
30,2,986.194500803929,4
18,2,654.3951582855943,4
16,2,718.103647553628,4
16,2,876.7964366272741,4
27,2,677.8892008607503,4
18,2,878.8467210042435,4
18,2,877.6380093957706,4
11,2,431.4916973967643,4
3,2,167.462529847755,4
7,2,226.256491167968,4
12,2,487.9091600652937,4
4,2,275.07051319914194,4
3,2,481.95435227009415,4
6,2,177.75882624938896,4
5,2,162.04120733029063,4
11,2,462.283807069022,4
3,2,495.469715192901,4
11,2,335.14914334462605,4
10,2,493.6722202220621,4
15,2,166.4267895731304,4
20,1,1192.3550882952604,4
18,1,1044.595834825071,4
18,1,1132.0924661218094,4
18,1,1053.1830445571736,4
19,1,1157.62870835743,4
21,1,1275.7199190194483,4
20,1,1193.6577317661022,4
22,1,1273.8878314795752,4
17,1,1222.3008670987033,4
21,1,1074.1835642493588,4
20,1,1072.8353951932947,4
9,1,1210.2369578008302,4
15,1,1051.894215523531,4
15,1,1158.9134009020845,4
12,1,1195.9255917433507,4
7,1,1141.6707655315172,4
15,1,1054.3300290093475,4
3,1,1129.0256582011793,4
14,1,1231.9746545930047,4
4,1,1128.0475752946593,4
7,1,1193.4698908541689,4
7,1,1195.9040860405157,4
8,1,1130.3798502455927,4
8,1,1043.9313686228725,4
12,1,1274.4343594967795,4
26,2,528.2611954860417,3
30,2,549.8967619730435,3
27,2,554.8526248107644,3
27,2,812.0630581003177,3
26,2,653.5074001390417,3
24,2,652.2649453440421,3
27,2,513.0008964539516,2
27,2,675.6873918043912,2
29,2,877.8089254703688,2
21,2,811.512957454093,2
28,2,671.8927779040375,2
29,2,557.6211691306893,3
19,2,709.4552212636688,2
22,2,912.5920135223055,2
9,2,528.858364643076,1
7,2,615.7599011751282,1
11,2,562.789978027344,1
8,2,911.1080489870362,1
4,2,676.2623987280207,1
11,2,519.0067977437322,1
11,2,513.7891552253153,1
11,2,562.789978027344,1
7,2,754.8056977867428,1
7,2,767.4326827544144,1
7,2,444.6156302278954,2
7,2,418.396936846682,2
3,2,481.1358665698305,2
7,2,376.4436425813699,2
4,2,399.86584735046665,2
4,2,374.9937499878087,2
9,2,342.575497902266,3
6,2,445.3365278175572,2
14,2,81.2208370082871,2
10,2,265.8623047546609,2
11,2,456.72968891911006,3
3,2,293.1833687146042,3
6,2,445.44045335343026,2
15,2,127.63824824964519,2
15,2,164.94716150478092,2
14,2,498.8063023355469,3
14,2,503.2988979593198,3
6,2,431.74823279335703,2
4,2,119.13123682598443,3
15,2,47.0265465408672,2
3,2,497.9796427500617,3
12,2,500.6296100487965,3
10,2,292.8987368304847,2
11,2,429.965392099607,2
11,2,486.74606322028694,3
11,2,333.28243579775426,3
3,2,445.51723489622714,2
18,2,670.8981668457583,1
18,2,810.396612562744,1
30,2,694.230476669551,1
22,2,764.4656097186439,1
26,2,654.6757568331207,1
24,2,689.6483410355269,1
28,2,678.1954771333739,1
28,2,652.5907854257841,1
18,2,803.9698998865972,1
19,2,516.0747636712839,1
19,2,514.9561624637607,1
16,2,852.5456428730593,1
16,2,653.4826854487195,1
18,2,876.9261356418747,1
22,2,807.3904740263248,1
16,2,823.6438738267029,1
31,2,911.4382524795874,1
28,2,80.24740904542597,3
31,2,116.7799890523463,3
29,2,128.77099568701604,3
30,2,116.70811598329354,3
30,2,155.50506468140173,3
30,2,157.56845654783726,3
29,2,137.866808465649,3
28,2,129.0141463760953,3
29,2,191.58798733815192,3
31,2,162.9175384301702,3
27,2,265.95278787674994,3
30,2,25.704832375188584,3
29,2,61.16300941846992,3
23,2,259.711999979223,2
23,2,257.0689710981547,2
28,2,83.5353550867249,2
27,2,158.4932317167763,2
20,2,162.68873735829482,3
28,2,447.0591267526273,2
24,2,384.3976999020715,3
30,2,346.0974785607357,3
18,2,205.44161439950477,2
26,2,339.4367555192903,3
3,2,859.2912509266056,3
3,2,879.0341029097236,3
3,2,860.5429572163819,3
7,2,764.0489425905654,3
9,2,708.1630424321962,3
3,2,813.2654109834195,3
5,2,967.1237853121038,2
0,2,769.7361279452051,2
9,2,655.9090960320908,3
4,2,735.6343105469836,3
3,2,820.8092187103756,2
3,2,822.6509912933043,2
3,2,670.8704102849858,3
14,2,818.7595905107545,3
5,2,892.6069822771441,2
7,2,706.5079353872421,3
1,2,765.4213471042043,2
21,2,444.46486147151904,1
24,2,242.07949039550053,1
19,2,264.3321454916799,1
21,2,487.78348963484115,1
24,2,361.12821107470756,1
16,2,91.17328885010542,1
16,2,461.44178924360045,1
11,2,463.3419286715326,1
9,2,337.979852802381,1
6,2,445.02993709905684,1
8,2,248.43084220548118,1
6,2,274.86921785346004,1
4,2,167.43294071038437,1
8,2,56.175775032334954,1
27,1,531.4854538560762,2
21,1,816.6241593344598,3
28,1,671.8469848406197,2
19,1,562.789978027344,2
19,1,833.9610106538274,3
26,1,924.4472102416913,3
25,1,734.4796739470457,2
25,1,842.2175715831592,3
27,1,531.2080937558221,2
31,1,603.069779202579,2
25,1,967.9716409224064,2
22,1,528.4315556303401,3
23,1,807.0667326800052,3
27,1,687.0266816757892,2
27,1,556.110921435152,3
25,1,729.3625831197986,1
25,1,729.9369200430162,1
27,1,716.3243823302104,1
27,1,718.6372360770853,1
26,1,652.5824075072951,1
26,1,652.7354855494075,1
28,1,797.2026233636064,1
28,1,798.002677212811,1
30,1,860.832951178036,1
30,1,773.773630093615,1
30,1,833.2110054915231,1
30,1,807.2835364314869,1
30,1,801.0129400642459,1
30,1,806.8616966226012,1
30,1,800.8272669003899,1
21,1,80.88483668569906,3
20,1,88.83618491067102,3
18,1,201.7496591053951,3
20,1,131.06497214375696,3
23,1,386.1014319393239,3
20,1,408.315778696739,3
21,1,407.44319289397765,3
22,1,491.98445027566845,3
18,1,448.29177715251257,3
21,1,110.97885880048598,3
20,1,217.16277070067954,3
25,1,371.53150960704033,2
21,1,131.29217569348452,3
23,1,417.6315029413345,3
19,1,306.8594053403108,3
20,1,31.13880512591255,3
30,1,286.72414489416644,3
27,1,328.4626369470432,2
20,1,225.57490800790814,3
21,1,30.837217997637048,2
30,1,487.9541661672187,2
21,1,83.13477889910664,3
21,1,431.95419090323924,3
20,1,25.71243649788172,3
19,1,487.0913356648905,2
1,1,837.1411945963906,2
3,1,820.9055635265839,2
4,1,884.2000531054789,2
5,1,789.1052055064795,2
3,1,893.7381921402621,2
8,1,839.8320616530674,2
6,1,917.4387337696618,3
6,1,932.8801162897437,2
3,1,833.1821845024367,2
9,1,964.0393204918289,3
6,1,918.3454237684144,3
6,1,916.7789180005798,3
3,1,933.2172857129829,2
3,1,649.983922182246,3
11,1,858.0461770935498,3
4,1,728.3046130010722,3
8,1,916.5755316738156,3
9,1,841.9922282290675,3
9,1,935.7459169483567,2
4,1,893.1201587260442,3
6,1,806.819453272082,2
3,1,833.8540303887963,3
25,1,265.61992267453917,1
27,1,292.2723219164976,1
27,1,413.41767545162384,1
27,1,363.98992868017103,1
25,1,360.75603808053006,1
27,1,362.04958523493906,1
27,1,362.3069126526417,1
27,1,293.8334409729674,1
27,1,293.4114444909656,1
23,1,293.24744037360495,1
22,1,415.62195875038657,1
22,1,466.1304328977098,1
22,1,467.0707535752141,1
22,1,477.9554429399231,1
22,1,408.8959631912787,1
23,1,365.5157024085918,1
17,1,447.1942649465779,1
22,1,365.1896394195573,1
22,1,413.81534126181987,1
22,1,367.53881772817505,1
22,1,366.83529762534255,1
3,1,280.4408782327081,2
3,1,431.09941773453716,2
3,1,277.7080072935545,2
9,1,25.443144520380354,3
9,1,77.85495934482272,3
9,1,62.00378933212027,3
12,1,29.087309102231337,3
12,1,30.467455236984208,3
8,1,59.69998657182493,3
6,1,177.63737270188665,3
3,1,47.88998247459935,2
6,1,426.2746448322834,2
6,1,128.87538267284577,3
7,1,367.7804113169735,3
6,1,274.32495172376946,2
12,1,410.867780798076,3
12,1,119.26645436761731,3
8,1,62.10989711062568,3
7,1,173.65751049308042,3
11,1,329.555790235472,3
7,1,125.4518068735886,2
4,1,125.06021211070316,1
6,1,124.98301734776248,1
5,1,56.7794214706279,1
2,1,124.26492132383243,1
2,1,133.95469193677226,1
10,1,345.4224496037546,1
6,1,293.01125860889545,1
7,1,445.495532172532,1
1,1,361.3544223095049,1
6,1,285.577283533837,1
14,1,461.88029998246606,1
4,1,461.09403447453155,1
6,1,415.04934251568847,1
6,1,410.9223932099833,1
60,2,1100.3963955237843,4
58,2,1043.9511438354737,4
58,2,1041.664731284353,4
61,2,1061.0481821059243,4
61,2,1063.2001132343132,4
58,2,1204.1860947669848,4
58,2,1205.803860024698,4
58,2,1157.5789356282187,4
58,2,1158.7630919044036,4
45,2,1038.5908434071148,4
44,2,1134.7522665134325,4
46,2,1144.0826195227285,4
45,2,1130.226365379684,4
46,2,1037.0932332703173,4
3,2,1129.4616354322923,4
3,2,1132.4568311430676,4
3,2,1119.2129743251326,4
3,2,1118.6971710903529,4
3,2,1117.0201532576336,4
3,2,1132.3720277235357,4
3,2,1128.0566310893134,4
3,2,1131.1764452624225,4
27,1,1342.706823516586,2
22,1,1159.6577063618872,3
23,1,1342.6057036955267,3
31,1,1258.1459496763243,3
19,1,1229.7699747077352,3
18,1,1130.0030482286347,3
19,1,1342.0072440956662,3
30,1,1227.3734537461141,3
21,1,1259.011263745006,3
23,1,1257.2665309751562,2
18,1,1157.0034849494825,2
20,1,1194.6219196464617,3
29,1,1156.2380942107993,3
25,1,1224.4179543111877,3
27,1,1343.3794710337172,3
20,1,1192.2929258585864,3
31,1,1262.8013552936313,1
31,1,1157.446484742302,1
31,1,1227.9431561367633,1
31,1,1230.2955258350787,1
30,1,1272.7317094424966,1
31,1,1256.1815564917245,1
9,1,1116.8487646045962,2
8,1,1143.6533110941637,2
8,1,1258.0036737963935,2
12,1,1048.61782268491,2
6,1,1040.9956455688769,3
6,1,1043.0387110404195,3
8,1,1257.2319404902003,2
12,1,1260.263879911544,3
9,1,1209.361691341016,3
8,1,1119.2153813400125,2
8,1,1260.223088492168,2
11,1,1263.8935897262922,2
9,1,1118.996480563497,2
3,1,1230.3157343616247,2
11,1,1047.0940334190316,3
7,1,1118.2309523751003,3
7,1,1105.008717546205,2
7,1,1140.7364656768543,1
6,1,1144.6676669578023,1
8,1,1264.1190149436302,1
14,1,1329.7332845998803,1
7,1,1294.7768368782477,1
1,1,1333.204336486007,1
14,1,1131.8326837092054,1
1,1,1274.3602024355057,1
39,1,878.810970817908,4
46,1,785.9205899546444,4
39,1,624.0565147331819,4
33,1,589.434657008273,4
46,1,802.190056079418,4
41,1,711.420378926058,4
46,1,877.9720433862675,4
46,1,912.2791728183552,4
39,1,797.465978368553,4
38,1,612.6229867349065,4
42,1,624.4418164924807,4
33,1,588.3048272512842,4
41,1,908.6602432159729,4
42,1,650.4623885440697,4
46,1,626.697448320043,4
39,1,85.76585143171113,4
39,1,109.35508414399402,4
33,1,363.44912510456766,4
33,1,330.50096703288654,4
38,1,232.28015392694238,4
32,1,80.3867046263749,4
61,1,391.12702122565,4
59,1,62.539540364262315,4
50,1,246.68195854477537,4
57,1,387.6661208434743,4
52,1,243.0179569946993,4
61,1,216.47299332665963,4
58,1,217.7349718686416,4
60,1,611.3016126983365,4
60,1,553.2942482385721,4
60,1,554.3467240093693,4
61,1,652.9285199865612,4
61,1,652.301036259002,4
60,1,625.8567327754247,4
60,1,624.382989808429,4
60,1,612.656447508836,4
60,1,609.0628925735978,4
60,1,648.2169660325487,4
60,1,648.4133302979956,4
60,1,562.789978027344,4
60,1,562.789978027344,4
