EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
26403,1,63,2,aa,17,1,2,496
26541,1,87,2,aa,54,7,3,101
26590,1,87,2,aa,43,7,2,481
26775,1,70,2,aa,11,2,1,769
26928,1,54,2,aa,18,1,1,726
27004,2,28,2,aa,35,6,3,771
27036,2,30,2,aa,16,3,3,101
27045,2,30,2,aa,32,2,3,101
27677,2,48,1,aa,52,6,3,101
27872,1,30,2,aa,43,2,3,101
28405,1,82,2,aa,23,2,3,101
28517,1,29,2,aa,60,3,3,481
29401,2,22,2,aa,33,3,1,101
29407,1,22,2,aa,32,6,1,101
29528,2,82,2,aa,24,6,3,101
29528,1,49,2,aa,54,3,3,101
29620,1,83,1,aa,16,3,3,101
29742,2,83,1,aa,28,6,3,769
29819,1,62,2,aa,12,4,3,769
29845,1,17,2,aa,12,2,3,101
29907,1,83,1,aa,13,3,2,101
29949,1,17,1,aa,32,4,1,101
30766,2,81,1,aa,29,2,1,101
30869,2,68,1,aa,14,3,3,101
30886,1,30,1,aa,18,5,3,779
30924,1,68,1,aa,9,2,3,634
31027,2,68,1,aa,18,5,3,634
31084,2,68,1,aa,0,6,2,780
31088,2,62,1,aa,11,5,2,249
31141,2,62,1,aa,47,2,1,249
31206,2,46,1,aa,0,7,2,249
31225,2,42,1,aa,30,6,2,577
35942,1,73,2,aa,15,4,3,101
36196,1,82,2,aa,58,2,3,101
36204,2,36,2,aa,24,2,2,101
36291,2,73,2,aa,39,4,2,101
36314,1,38,2,aa,15,4,4,564
36517,2,50,2,aa,14,7,3,158
37049,2,47,2,aa,14,2,4,786
37839,1,50,2,aa,4,2,2,786
38324,2,64,1,aa,58,4,4,101
38421,1,19,1,aa,4,5,4,101
38514,2,44,1,aa,51,2,1,140
38681,1,50,2,aa,58,1,2,101
38708,1,59,2,aa,58,2,3,667
41062,1,57,1,aa,52,1,3,159
41109,1,48,2,aa,29,1,4,101
41304,1,50,1,aa,5,6,2,101
42350,2,21,1,aa,5,7,4,148
45720,1,64,1,aa,58,6,1,101
46288,1,64,1,aa,5,3,2,101
46736,1,63,1,aa,39,6,4,101
47238,1,42,1,aa,58,4,1,101
47249,1,51,2,aa,14,4,3,648
47376,1,51,2,aa,6,6,2,270
47908,2,21,1,aa,58,1,4,287
48111,2,66,1,aa,5,6,3,523
48275,1,66,2,aa,58,3,2,101
49268,2,83,2,aa,43,1,1,101
49375,2,39,2,aa,43,6,1,101
49635,1,75,2,aa,14,1,3,101
50254,2,56,2,aa,6,1,2,101
50386,1,66,2,aa,14,3,4,377
50608,1,47,2,aa,6,6,3,318
50989,1,70,2,aa,14,3,1,101
51266,2,70,2,aa,15,4,1,101
51848,2,42,1,aa,38,6,2,101
52014,1,66,1,aa,55,7,3,101
52084,1,46,1,aa,34,1,4,145
52578,1,77,1,aa,13,3,1,101
55525,2,35,1,aa,5,1,2,101
56328,1,17,1,aa,42,6,3,625
56330,1,35,1,aa,49,6,4,101
56358,2,59,1,aa,35,6,4,101
56429,2,41,1,aa,49,6,4,133
56533,1,40,2,aa,14,3,4,353
56712,1,60,2,aa,35,5,4,288
57110,2,32,2,aa,42,1,4,631
57308,1,71,1,aa,14,2,4,668
59938,2,71,2,aa,43,6,4,101
59985,1,32,1,aa,50,4,3,101
60137,1,45,2,aa,43,7,1,666
60286,1,40,1,aa,43,5,2,187
60507,2,87,2,aa,50,3,1,290
61068,1,37,1,aa,43,1,1,415
61990,2,19,2,aa,12,3,1,773
62861,1,74,1,aa,27,5,1,414
63124,1,20,2,aa,7,2,1,415
63280,1,66,2,aa,35,7,1,380
64374,1,47,1,aa,29,2,3,413
64416,2,74,2,aa,15,5,3,520
65075,1,35,2,aa,27,5,1,101
65786,2,21,2,aa,32,7,4,101
68161,2,46,2,aa,31,2,4,101
69225,1,31,1,aa,31,7,4,101
69420,2,40,1,aa,9,2,4,101
73974,2,20,1,aa,3,2,4,373
74122,1,17,1,aa,39,2,2,101
74335,2,67,2,aa,59,7,2,101
75307,2,35,2,aa,28,2,2,371
75354,2,52,1,aa,23,2,2,101
75473,1,17,2,aa,9,5,4,101
75584,2,52,1,aa,59,2,3,101
76534,1,30,1,aa,35,2,2,624
78408,2,73,2,aa,2,2,4,101
78866,2,78,2,aa,32,2,4,101
80137,1,35,2,aa,30,2,4,101
80178,1,53,1,aa,30,4,3,101
80819,2,66,1,aa,61,7,2,101
84993,1,43,2,aa,23,5,3,101
85001,1,33,2,aa,31,5,4,101
85016,1,90,2,aa,20,4,4,101
85190,1,36,2,aa,53,5,2,101
85346,2,21,2,aa,23,4,4,682
85373,1,42,2,aa,53,5,2,380
85463,1,70,2,aa,31,5,3,686
85499,2,70,1,aa,23,4,3,685
85508,1,41,2,aa,9,4,4,378
85900,2,31,2,aa,60,7,4,682
86227,2,31,2,aa,37,7,4,687
86460,2,64,1,aa,52,5,3,638
86624,2,90,1,aa,46,6,4,101
87040,2,65,1,aa,46,1,4,522
87253,2,30,1,aa,9,1,2,364
87502,2,67,1,aa,46,5,3,101
89348,1,35,1,aa,10,7,2,101
92269,2,20,1,aa,7,6,2,701
92335,2,34,1,aa,47,6,2,367
92377,1,35,1,aa,53,7,2,101
92599,1,41,1,aa,47,4,2,692
92965,1,51,1,aa,53,7,3,101
92990,2,66,1,aa,53,6,2,101
92998,1,78,1,aa,47,7,3,331
93086,1,57,1,aa,2,7,4,101
93412,1,35,2,aa,63,4,2,334
93513,2,57,1,aa,53,4,3,597
93539,1,52,2,aa,47,4,3,149
93679,2,49,2,aa,21,1,4,101
93725,2,90,1,aa,37,7,4,665
93761,2,32,2,aa,4,7,4,668
93884,1,90,2,aa,53,5,4,101
94184,1,67,2,aa,39,1,4,367
94197,2,68,2,aa,21,6,1,679
94229,2,88,2,aa,46,6,1,676
94260,1,56,2,aa,11,1,1,101
94276,2,69,1,aa,46,6,1,101
94312,2,90,1,aa,46,6,1,101
94315,2,56,1,aa,46,6,1,683
94346,1,54,1,aa,46,6,4,166
94527,1,90,1,aa,29,3,1,101
94527,1,37,1,aa,53,4,1,101
94601,1,68,1,aa,46,3,4,101
94853,1,37,2,aa,63,5,4,166
94861,2,19,1,aa,61,3,3,680
94963,1,57,2,aa,29,3,4,101
95025,1,34,2,aa,46,3,3,684
95099,1,40,2,aa,46,5,3,101
95244,1,44,2,aa,29,3,3,101
95369,2,76,1,aa,46,3,1,101
95518,2,57,2,aa,46,3,1,675
95591,2,57,2,aa,46,5,3,101
95650,2,19,2,aa,5,3,3,101
95806,2,57,2,aa,29,5,3,146
95822,1,57,2,aa,5,3,3,690
95855,1,57,1,aa,5,3,3,666
95863,2,42,2,aa,46,3,1,671
96043,2,40,1,aa,46,3,3,579
96216,1,55,2,aa,57,7,1,150
98359,2,63,2,aa,54,5,4,101
98436,2,46,1,aa,32,1,4,335
98594,2,71,1,aa,9,1,1,101
98667,2,62,2,aa,14,1,1,101
98815,2,15,1,aa,9,3,3,101
98914,2,41,2,aa,2,1,1,463
99237,2,73,2,aa,4,5,1,101
99297,2,18,2,aa,52,1,4,328
100090,2,79,2,aa,14,5,1,101
101806,2,32,1,aa,25,1,1,522
101814,2,32,1,aa,56,3,1,101
101828,2,77,1,aa,25,1,1,101
101851,2,78,1,aa,59,6,1,101
101898,2,71,1,aa,49,1,4,101
102073,1,62,1,aa,33,5,4,101
102280,1,22,1,aa,39,5,1,101
103313,1,70,1,aa,23,1,2,101
103371,1,62,2,aa,10,1,2,101
103715,1,55,2,aa,38,1,3,462
103743,1,61,2,aa,24,2,2,471
103902,1,80,2,aa,4,2,2,212
104124,1,67,2,aa,48,5,2,212
104628,1,78,2,aa,48,5,4,470
104838,1,78,2,aa,62,5,3,468
105229,1,87,2,aa,15,5,2,468
105906,1,51,2,aa,20,5,2,249
106219,1,70,2,aa,52,5,2,544
106253,1,64,2,aa,18,5,4,213
106444,1,64,2,aa,24,5,2,249
106490,1,61,2,aa,6,6,4,213
107570,1,61,2,aa,9,3,4,101
107588,1,83,1,aa,0,4,3,193
107629,2,32,2,aa,13,3,1,101
107646,1,32,2,aa,0,6,1,101
107713,1,52,1,aa,20,2,1,101
107751,1,35,2,aa,50,3,1,101
107829,1,35,2,aa,38,3,1,101
107845,2,44,1,aa,35,3,4,101
107873,1,32,2,aa,23,4,3,101
112744,1,32,1,aa,53,6,1,101
113025,1,82,1,aa,50,6,1,101
113073,2,32,1,aa,50,3,3,101
113147,1,51,1,aa,23,2,1,504
113254,1,63,1,aa,23,3,4,101
113900,1,63,1,aa,52,4,4,101
114145,2,47,1,aa,51,4,4,101
114214,2,47,1,aa,9,4,3,579
114250,2,81,1,aa,51,2,4,101
114728,2,50,2,aa,3,3,4,101
114783,2,46,1,aa,57,6,4,101
114881,2,37,2,aa,19,6,1,101
114934,1,31,2,aa,12,7,3,101
115023,2,31,1,aa,35,3,4,349
117348,2,46,2,aa,15,7,4,349
117672,2,37,2,aa,50,7,1,348
117826,1,69,1,aa,55,7,4,348
118227,1,19,1,aa,55,7,1,101
118582,1,20,1,aa,55,7,1,101
118957,2,58,1,aa,37,6,4,579
118976,1,69,1,aa,19,7,4,579
118980,1,39,2,aa,36,3,1,499
119056,2,21,1,aa,34,6,1,195
119318,1,38,2,aa,27,6,2,452
119347,1,30,1,aa,21,6,2,452
119356,1,22,1,aa,3,6,2,550
119386,1,30,2,aa,48,2,4,510
119501,2,85,2,aa,56,7,1,510
119502,2,49,2,aa,51,6,2,101
119597,2,17,2,aa,20,7,2,101
119746,2,38,2,aa,57,2,2,195
119776,1,75,2,aa,10,6,2,101
119782,1,18,2,aa,51,2,2,213
125000,2,29,1,aa,38,4,2,330
125221,2,29,1,aa,8,4,3,484
125282,2,66,1,aa,20,1,3,469
125402,2,17,1,aa,22,4,4,565
125758,1,15,1,aa,63,4,2,332
125840,1,17,1,aa,3,4,2,332
125954,1,53,1,aa,23,4,2,459
125963,1,30,1,aa,52,4,4,629
126242,1,19,1,aa,8,1,3,470
126327,1,29,1,aa,35,1,4,498
126755,2,20,2,aa,52,4,4,101
126944,1,71,2,aa,54,4,4,587
127003,2,18,2,aa,15,1,4,101
127109,2,30,2,aa,37,4,4,101
127166,2,29,2,aa,27,7,4,101
127337,1,37,2,aa,27,4,4,101
127348,1,21,2,aa,15,4,4,101
127412,1,53,2,aa,7,4,4,101
127500,2,31,2,aa,24,4,1,509
127536,2,87,2,aa,13,4,1,101
127678,2,71,2,aa,7,4,1,101
127835,2,31,2,aa,24,1,3,101
127892,1,20,2,aa,9,1,1,101
127933,2,67,2,aa,24,1,1,368
127956,2,67,2,aa,27,7,1,368
129210,2,15,2,aa,53,3,1,101
129605,2,31,2,aa,34,3,1,101
129900,1,46,2,aa,3,3,4,498
129901,2,80,2,aa,54,7,1,101
130564,2,57,2,aa,34,7,1,101
130801,2,80,2,aa,49,7,4,101
130934,2,59,2,aa,21,7,3,373
131492,2,75,2,aa,0,2,3,791
131862,1,87,2,aa,49,2,4,790
132104,2,60,1,aa,51,2,4,271
132152,2,18,1,aa,46,4,3,194
132175,1,62,1,aa,49,2,4,101
132896,2,83,2,aa,4,2,4,212
132964,1,55,1,aa,46,2,1,427
132982,1,39,1,aa,0,2,1,101
132992,1,55,2,aa,20,1,1,101
137149,2,42,1,aa,2,7,4,101
138050,1,42,1,aa,56,7,4,101
138795,2,69,1,aa,23,1,3,101
138829,2,17,1,aa,50,7,4,101
139337,2,42,2,aa,27,1,4,101
139523,2,40,2,aa,30,7,1,101
139618,1,49,2,aa,57,7,3,101
139972,2,17,2,aa,29,1,3,101
140403,2,33,2,aa,29,1,2,101
143316,2,35,2,aa,29,1,2,101
145424,1,40,1,aa,33,3,2,414
145430,1,67,2,aa,50,1,1,101
145557,1,42,1,aa,10,1,2,263
145560,2,39,1,aa,56,2,2,574
145690,1,16,1,aa,0,2,2,269
146041,2,34,2,aa,28,2,1,802
146209,1,18,2,aa,50,3,2,101
146227,2,53,1,aa,46,1,2,101
146333,2,29,2,aa,0,2,2,101
146582,2,80,2,aa,34,1,2,212
146831,2,29,1,aa,0,1,2,101
146887,2,29,1,aa,21,6,1,285
146898,1,87,1,aa,26,3,1,758
146966,1,34,1,aa,33,2,1,767
147286,1,59,2,aa,56,2,1,101
147348,1,80,1,aa,48,6,1,101
148515,2,59,2,aa,24,6,1,101
148521,2,87,1,aa,48,3,1,653
148528,2,14,1,aa,25,3,3,101
148539,2,29,1,aa,32,1,3,101
148563,2,80,2,aa,58,1,3,258
148573,1,29,2,aa,12,1,1,529
148589,1,53,1,aa,51,1,3,101
148648,1,30,1,aa,24,2,4,286
148764,1,32,1,aa,32,3,3,101
148788,1,60,1,aa,51,6,3,653
148828,2,29,1,aa,18,6,3,101
148834,2,74,1,aa,27,6,3,101
148842,1,70,1,aa,3,4,3,414
148845,1,60,2,aa,2,4,3,101
148855,2,78,1,aa,48,1,3,101
148872,2,30,2,aa,58,3,4,101
148918,2,50,2,aa,58,6,4,101
148978,1,83,2,aa,44,6,4,101
148984,1,50,1,aa,31,6,3,537
153606,1,58,1,aa,0,1,3,773
153754,1,35,2,aa,30,1,4,467
153813,1,31,1,aa,33,2,3,101
154042,1,31,1,aa,45,1,4,101
154275,2,86,1,aa,12,3,4,101
154467,2,14,1,aa,58,3,4,101
154468,1,71,2,aa,3,3,3,259
154504,1,80,2,aa,33,3,4,101
154525,1,54,2,aa,14,1,4,101
154532,1,55,2,aa,35,1,3,101
154546,1,31,2,aa,35,2,3,101
154549,1,53,2,aa,16,3,1,101
154628,1,53,2,aa,58,6,1,101
154643,1,54,2,aa,30,3,1,101
154832,1,55,2,aa,33,3,1,807
154882,1,83,2,aa,18,4,4,101
154913,1,31,2,aa,33,7,4,101
155204,1,15,2,aa,0,7,2,314
155323,1,71,2,aa,42,6,1,101
155427,1,49,2,aa,29,6,4,454
155437,1,83,2,aa,5,4,4,101
155451,1,62,1,aa,3,3,4,653
155456,2,43,2,aa,43,6,1,101
155541,1,87,2,aa,3,6,1,452
155641,1,34,2,aa,17,2,1,318
155996,1,90,2,aa,57,4,1,101
156765,1,32,2,aa,2,7,1,759
156777,1,85,1,aa,35,5,1,192
156916,1,79,2,aa,47,7,1,771
157128,1,86,1,aa,35,6,1,130
157148,2,85,1,aa,2,5,1,101
157819,2,86,1,aa,12,5,2,306
158084,1,15,2,aa,56,6,2,101
158389,1,62,2,aa,16,6,1,464
158420,2,88,2,aa,33,6,1,101
158460,2,74,2,aa,44,7,1,769
158492,2,78,1,aa,43,7,1,101
158587,2,57,1,aa,48,5,1,101
158748,2,66,1,aa,29,7,1,649
159138,2,74,1,aa,15,5,1,536
159246,1,28,1,aa,33,6,1,505
159493,1,27,1,aa,33,4,1,541
161409,1,67,1,aa,43,5,2,563
162834,2,44,1,aa,7,7,2,651
162880,2,87,1,aa,24,5,1,212
163722,1,29,1,aa,35,5,4,101
163752,1,75,1,aa,7,5,4,101
164896,1,25,2,aa,63,5,3,523
164964,1,47,1,aa,27,7,3,213
164977,1,89,1,aa,60,5,3,487
165044,1,87,1,aa,62,2,3,101
165097,1,59,1,aa,63,5,4,101
165216,1,15,2,aa,26,6,4,304
165221,1,87,1,aa,27,6,3,101
165233,1,89,1,aa,17,5,4,468
165257,1,15,2,aa,24,6,3,195
165264,1,59,2,aa,9,2,3,101
165270,1,86,2,aa,53,7,3,101
165342,1,16,1,aa,19,1,3,101
165397,1,30,2,aa,29,5,3,192
165428,2,38,1,aa,41,5,1,140
165517,2,86,1,aa,63,3,1,101
165557,1,77,1,aa,28,5,4,193
165560,1,47,2,aa,42,6,4,664
165573,2,67,2,aa,26,6,1,194
165708,2,86,2,aa,29,1,1,101
165710,2,86,2,aa,28,1,2,101
165715,2,25,2,aa,63,5,2,101
165781,1,34,2,aa,53,3,2,352
165863,2,29,1,aa,60,5,4,450
165883,2,85,1,aa,55,3,1,101
169826,2,85,1,aa,61,5,1,101
170406,1,66,2,aa,41,6,1,287
171572,2,66,1,aa,55,6,4,101
171888,2,38,1,aa,14,5,4,652
172112,1,15,2,aa,47,6,1,101
172926,2,15,1,aa,55,3,4,101
173554,2,30,1,aa,22,5,1,101
173654,2,38,2,aa,53,3,2,101
173834,2,66,1,aa,53,5,2,101
176266,2,45,2,aa,22,3,1,787
176755,1,14,1,aa,44,5,1,467
178076,1,77,1,aa,55,2,4,101
178111,1,17,2,aa,22,2,4,101
178598,1,77,1,aa,17,7,4,101
178839,1,66,1,aa,10,3,3,193
179180,1,66,1,aa,28,3,4,101
179321,2,22,1,aa,43,4,3,101
179352,2,20,1,aa,47,2,3,636
179547,2,38,1,aa,52,3,3,101
180172,1,77,1,aa,52,4,1,213
180219,2,73,2,aa,60,2,3,365
182653,2,77,2,aa,28,1,4,542
182746,2,69,2,aa,15,2,4,101
182920,2,14,1,aa,61,2,4,101
183247,2,47,1,aa,47,1,4,101
183519,1,25,1,aa,42,7,4,101
184415,2,18,1,aa,53,3,4,349
184468,1,45,1,aa,14,2,1,101
184597,1,18,1,aa,14,4,2,782
184650,1,14,1,aa,44,1,2,651
188512,1,22,1,aa,45,4,2,780
189171,2,41,2,aa,13,2,2,320
193042,2,42,2,aa,53,4,2,340
193173,1,29,2,aa,46,1,2,331
193539,1,73,2,aa,52,1,2,348
194406,2,16,2,aa,62,4,2,101
196740,2,14,2,aa,25,5,2,101
197298,2,83,2,aa,62,1,4,101
197439,2,26,2,aa,26,3,4,670
197465,1,23,1,aa,41,2,2,101
197544,1,83,2,aa,26,1,4,467
197646,1,50,1,aa,41,2,2,101
198016,1,74,2,aa,62,2,4,269
198083,1,48,1,aa,18,7,2,484
198999,1,16,2,aa,0,2,3,532
199255,1,73,2,aa,33,2,2,249
199529,2,29,2,aa,1,7,2,651
199549,1,40,1,aa,1,5,4,540
199553,2,16,1,aa,33,1,4,101
201112,2,46,2,aa,18,2,2,101
201432,1,81,2,aa,30,3,2,101
202187,1,22,2,aa,26,1,2,101
202381,2,22,1,aa,35,3,3,101
202876,2,73,1,aa,19,1,4,294
203049,2,21,1,aa,19,1,3,101
203866,2,87,1,aa,33,5,3,637
204170,1,31,1,aa,2,3,4,101
204314,1,45,1,aa,43,2,3,101
204858,1,82,2,aa,47,3,1,101
204887,1,54,2,aa,35,5,3,256
205103,1,24,2,aa,47,3,3,101
205751,1,24,2,aa,42,6,3,101
205785,2,49,2,aa,53,5,1,448
205951,2,82,2,aa,24,6,3,507
207465,2,34,2,aa,61,5,1,101
207793,2,60,2,aa,2,5,3,101
208162,1,56,1,aa,2,5,1,101
208526,2,56,1,aa,52,5,1,101
208764,2,56,1,aa,48,6,1,101
211134,1,14,1,aa,19,5,1,101
211173,2,79,1,aa,3,5,3,256
211478,2,80,1,aa,40,1,3,101
211495,2,81,2,aa,33,6,3,101
211503,1,78,1,aa,2,6,4,101
211764,1,78,1,aa,42,7,1,101
211769,1,81,1,aa,17,7,1,101
211811,1,79,2,aa,24,6,4,755
212276,1,81,2,aa,63,1,3,320
212357,1,20,2,aa,42,1,4,320
212373,2,20,2,aa,33,7,3,370
212395,1,61,2,aa,17,6,1,497
212631,1,48,2,aa,0,7,1,599
213030,2,66,1,aa,3,7,1,579
213189,1,66,1,aa,48,7,1,548
213559,1,72,1,aa,19,7,1,367
213736,2,79,1,aa,42,5,3,565
214063,1,73,1,aa,2,2,1,454
214099,1,55,1,aa,40,7,1,545
214147,2,79,1,aa,0,7,3,101
214244,2,40,1,aa,18,7,3,101
214728,1,60,1,aa,30,5,3,101
216024,1,48,1,aa,42,2,1,101
216211,1,33,1,aa,50,4,1,101
216445,1,39,1,aa,60,4,1,101
216588,2,44,1,aa,18,5,3,349
216761,1,20,1,aa,42,6,3,650
216854,2,49,1,aa,52,4,1,349
221228,2,62,2,aa,18,4,1,101
221394,2,26,2,aa,50,4,1,653
221467,1,50,2,aa,27,6,4,101
222824,2,51,1,aa,18,6,2,101
223297,2,65,1,aa,44,4,3,101
223315,2,18,1,aa,56,4,3,509
223364,2,67,2,aa,56,4,4,101
223430,1,20,1,aa,56,4,2,101
224248,1,64,1,aa,1,4,3,101
226320,1,64,1,aa,3,6,2,101
226541,1,84,1,aa,57,2,2,307
226668,2,31,1,aa,47,2,3,249
226771,2,36,2,aa,5,2,4,319
226876,2,17,2,aa,47,6,4,317
226888,2,84,2,aa,47,6,3,382
226918,2,65,2,aa,44,6,2,101
227241,1,22,2,aa,56,5,1,101
227285,2,64,2,aa,57,6,2,101
227294,2,31,2,aa,43,6,1,101
227315,1,16,2,aa,44,6,4,101
229445,2,83,1,aa,3,2,4,101
229601,1,22,1,aa,55,7,2,101
229605,2,22,1,aa,53,3,4,101
229711,2,22,1,aa,56,1,4,101
229945,2,87,1,aa,39,2,4,101
230207,2,19,1,aa,2,7,4,101
230226,2,65,1,aa,39,2,2,101
230529,2,42,1,aa,48,6,2,101
230566,1,81,1,aa,56,3,2,101
230720,1,81,1,aa,30,3,4,101
231256,2,81,1,aa,56,6,4,727
231310,1,65,1,aa,36,4,4,727
231689,1,82,1,aa,0,1,4,455
232090,1,49,1,aa,29,7,3,389
233605,1,66,1,aa,24,1,3,389
234129,1,63,1,aa,16,6,1,192
234219,1,53,1,aa,29,3,4,186
234568,2,60,2,aa,57,3,4,483
234977,2,20,2,aa,54,6,4,685
235133,1,64,2,aa,57,7,3,101
235204,1,59,2,aa,37,7,1,101
235327,2,44,2,aa,57,1,3,412
235487,2,44,2,aa,16,3,3,101
235494,1,84,2,aa,29,5,2,101
235864,2,32,2,aa,7,3,1,101
236749,2,32,2,aa,57,3,1,101
236985,1,20,2,aa,57,3,1,667
237055,2,20,2,aa,34,4,2,101
237385,2,37,2,aa,57,5,2,417
240671,2,86,1,aa,56,6,1,417
240704,2,86,2,aa,17,1,1,101
240773,2,86,2,aa,56,5,1,101
240779,1,64,2,aa,48,4,3,414
241001,2,41,2,aa,16,6,3,101
241090,2,54,1,aa,17,5,2,101
241091,1,54,1,aa,2,2,2,101
241126,2,64,2,aa,29,5,3,101
241945,2,53,2,aa,16,1,3,101
242520,2,46,1,aa,35,7,3,101
243029,1,46,2,aa,57,2,3,505
243307,2,35,1,aa,32,5,1,413
243753,1,60,1,aa,57,5,3,505
244578,1,16,1,aa,32,1,3,101
244609,1,16,1,aa,35,2,3,431
245000,1,15,2,aa,57,7,1,509
246559,1,59,2,aa,51,6,2,101
247242,1,62,1,aa,51,5,3,668
247428,2,40,1,aa,54,2,2,101
248623,2,36,2,aa,29,7,3,101
249863,2,44,2,aa,14,2,3,101
250000,2,44,1,aa,14,4,2,101
250078,2,60,1,aa,14,1,4,101
250099,2,36,2,aa,50,2,2,101
250144,1,59,1,aa,14,1,2,396
250222,2,59,2,aa,30,3,3,101
250560,2,20,1,aa,35,3,3,101
250625,1,36,1,aa,36,3,3,674
250708,2,45,2,aa,14,2,4,151
250714,1,49,1,aa,35,3,4,464
250809,1,50,1,aa,51,6,4,213
250815,2,49,1,aa,32,6,3,101
251188,2,49,1,aa,14,6,2,101
251361,1,18,1,aa,14,1,1,398
251369,2,18,2,aa,14,6,3,101
251593,2,49,2,aa,14,3,3,387
251690,1,49,2,aa,36,6,4,387
251853,1,81,2,aa,14,1,1,488
251889,2,81,1,aa,51,1,2,424
254342,2,81,2,aa,14,3,2,101
254817,2,19,1,aa,4,3,2,101
255197,2,35,2,aa,14,3,1,249
255284,2,63,2,aa,14,3,1,683
255605,1,37,2,aa,31,4,2,683
255831,1,47,2,aa,14,2,1,652
258096,2,47,1,aa,24,3,2,101
258232,1,18,2,aa,1,5,3,649
258287,1,37,1,aa,32,3,4,649
258682,1,37,2,aa,19,6,1,649
259074,1,37,2,aa,32,5,3,101
259094,1,37,2,aa,39,5,3,101
259149,2,42,2,aa,14,4,1,101
259612,2,84,1,aa,14,4,2,669
259613,1,84,2,aa,14,5,1,101
259704,2,51,2,aa,34,6,4,386
259806,1,40,2,aa,17,6,1,101
260002,1,47,2,aa,14,1,4,101
262426,1,29,1,aa,29,7,3,291
262730,1,15,2,aa,15,6,4,592
262761,1,87,1,aa,1,3,4,290
262845,1,15,2,aa,3,7,4,596
262889,1,73,1,aa,3,3,4,812
262904,1,50,2,aa,21,1,3,533
262922,2,87,2,aa,15,3,1,502
262945,2,74,2,aa,1,1,1,286
262971,2,74,2,aa,15,6,4,284
263119,1,73,1,aa,22,7,3,101
263156,2,74,2,aa,22,1,1,101
265258,2,83,2,aa,0,5,3,321
265336,2,75,2,aa,19,6,1,101
265338,1,31,1,aa,31,1,3,101
265352,1,65,2,aa,14,6,1,101
265455,2,64,2,aa,22,7,3,164
265488,2,36,2,aa,58,6,1,166
265532,2,41,1,aa,14,1,1,101
265748,1,64,1,aa,14,1,4,101
265790,2,78,1,aa,1,7,1,173
265999,1,65,1,aa,17,7,1,101
266202,2,65,1,aa,1,7,3,320
266340,1,78,1,aa,14,5,1,381
266699,2,16,1,aa,56,3,1,101
267374,2,14,1,aa,57,7,4,700
