B27,TAETIGKEITSSCHLUESSEL4,B52,EF16U2,EF41,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
aa,1,1141.2346051578102,7,17,3,101
aa,2,562.789978027344,7,18,3,101
aa,2,162.42681085767438,5,17,1,101
aa,2,104.74560642185291,3,18,2,101
aa,1,642.2915152404571,2,17,2,101
aa,1,334.24424252994385,3,18,3,287
aa,2,869.473980061036,7,17,3,258
aa,2,216.9546859780718,3,18,1,101
aa,1,870.7972950140213,4,17,1,101
aa,2,743.9626170117318,2,18,4,101
aa,2,1143.8261816610557,1,17,2,101
aa,1,871.1791762476025,3,18,3,529
aa,1,476.2525427440043,2,17,4,101
aa,1,1341.6317214531186,5,18,2,101
aa,1,1132.5383087529747,6,18,4,101
aa,2,293.69651461935274,2,18,3,260
aa,2,444.3014719636967,2,18,4,412
aa,1,642.2915152404571,2,18,2,101
aa,1,89.47289244306741,7,18,3,684
aa,1,1224.818269518557,6,19,3,101
aa,1,164.6753624268196,1,18,4,101
aa,2,478.8607957369216,2,19,4,101
aa,2,1134.9040500427395,4,18,3,101
aa,1,114.56119269448493,1,19,3,101
aa,2,1278.7157108627712,1,18,3,101
aa,2,94.38822443580386,7,20,4,598
aa,2,1258.480064064468,7,18,4,101
aa,1,893.5608840931741,4,20,3,521
aa,1,336.4948423889059,2,18,3,101
aa,1,261.61310209601135,1,20,2,257
aa,1,394.04406319225683,4,18,4,459
aa,1,108.35511639639252,3,20,2,101
aa,1,867.2147030613978,3,19,4,695
aa,2,796.2156183912685,3,20,1,249
aa,1,425.04415209489144,3,19,4,649
aa,2,486.0704780243029,4,20,1,443
aa,1,246.57319311581296,3,19,2,101
aa,2,107.5407175175459,3,20,3,101
aa,2,730.2430508020096,2,19,3,101
aa,1,414.18946749207254,5,20,3,291
aa,1,845.7301444047621,5,19,3,101
aa,2,860.1174074534792,3,20,4,101
aa,1,670.3410356562068,2,19,4,101
aa,1,335.2591203323693,4,20,1,357
aa,2,871.8878051494091,7,19,3,595
aa,2,126.70080829658068,3,20,3,101
aa,2,728.4364472842366,4,20,4,101
aa,2,765.4323207234071,5,20,3,101
aa,2,58.43863578599847,7,20,3,597
aa,1,492.7095146042925,2,20,3,520
aa,1,70.70020534511877,6,20,3,101
aa,1,687.5016718536384,4,20,1,101
aa,1,1158.6749218691175,3,20,3,101
aa,1,81.74727414792267,4,20,3,101
aa,2,930.7445168261952,4,20,3,101
aa,1,371.1630031456471,5,20,1,320
aa,2,1195.2457313447005,4,20,3,101
aa,1,95.75366429458045,6,20,4,101
aa,2,306.6029192658408,2,20,1,101
aa,1,106.18207009198437,7,20,1,101
aa,2,835.0667438625563,3,20,3,101
aa,1,1159.3253737219295,2,20,3,101
aa,2,1232.1040249131536,2,20,1,101
aa,1,915.1794762819203,4,20,1,101
aa,2,843.7400511419479,5,20,3,101
aa,1,104.16664251198726,3,21,4,592
aa,2,929.6630590674463,5,20,2,101
aa,2,1315.982653482209,5,21,4,101
aa,2,390.4776548322835,5,20,2,101
aa,2,465.91539083220346,2,21,4,371
aa,2,348.2016663101162,5,21,2,308
aa,1,373.64183023702697,7,21,1,566
aa,2,809.0561171721182,7,21,3,101
aa,2,132.4466491822064,5,21,4,101
aa,2,499.63491844913284,1,21,2,364
aa,1,866.4572544243126,4,21,3,523
aa,1,46.286164992493504,5,21,3,101
aa,2,1276.6991570403247,2,21,4,101
aa,1,1378.7782044281084,7,21,2,320
aa,2,1228.5073937055793,6,21,4,467
aa,2,88.1378533920803,7,21,4,599
aa,2,124.0307908705495,3,21,1,101
aa,2,227.39533513643332,3,21,1,752
aa,2,803.9874824048309,4,21,1,568
aa,1,106.86686708619351,1,21,2,101
aa,1,867.6579788935968,7,21,4,752
aa,1,1378.7782044281084,7,22,2,321
aa,2,815.0295828283805,3,21,3,648
aa,2,857.4428258262957,2,22,1,225
aa,2,988.5817262780727,5,21,3,101
aa,2,497.0185410710884,1,22,4,394
aa,2,1315.9973335215009,5,21,1,101
aa,1,846.4614394388074,4,22,4,101
aa,1,91.42334256119047,6,21,1,101
aa,2,117.34059284852513,3,22,1,101
aa,2,88.1378533920803,7,21,4,599
aa,2,671.1409686620416,7,23,2,101
aa,1,876.2121589613403,3,22,1,101
aa,1,1259.1386046162415,7,24,2,341
aa,2,92.01251378664035,6,22,1,101
aa,2,243.48238946490468,3,24,4,101
aa,2,823.6700307820599,3,24,3,755
aa,2,391.898559731208,7,24,1,653
aa,1,90.06731457735586,6,24,4,101
aa,2,588.5567268764845,6,24,4,101
aa,2,1133.9745548625833,7,24,4,101
aa,2,60.92629254715232,6,24,3,145
aa,2,1229.0141659694516,5,24,4,101
aa,2,242.0915045573342,2,24,1,756
aa,2,1315.31201579146,5,24,4,101
aa,1,1259.1386046162415,7,25,4,292
aa,2,1276.4976798415014,6,24,3,150
aa,2,800.6192562678369,7,25,1,754
aa,1,1276.5119946194195,2,24,2,101
aa,2,1275.0281527591878,1,25,2,101
aa,1,914.8333860572853,7,24,1,666
aa,1,764.9596451878522,4,25,2,101
aa,1,57.232833209366014,7,24,1,540
aa,1,70.50887864326631,6,25,4,101
aa,1,860.6332493758273,3,25,3,596
aa,1,62.7341483596874,7,26,3,586
aa,2,225.10498272056338,5,25,4,101
aa,2,919.8461467523866,4,26,3,159
aa,2,1129.0546330841016,4,26,4,101
aa,2,360.3013699227445,6,26,4,101
aa,1,110.94431277009338,3,26,3,538
aa,2,1498.0095580995967,7,26,1,492
aa,2,293.55879616724616,2,27,2,337
aa,1,1132.719910233762,4,26,4,101
aa,1,235.75223044571,3,27,4,101
aa,1,808.0740571206145,2,26,4,101
aa,2,810.7060017508505,3,27,4,725
aa,2,985.0355203941187,5,26,4,754
aa,1,1133.8729700087783,7,27,4,101
aa,1,1131.6955359836795,5,27,4,101
aa,2,264.01080490837074,4,28,3,101
aa,2,990.1390261914091,4,27,1,765
aa,1,179.16933797341724,7,28,2,101
aa,1,748.1499284238863,4,27,2,101
aa,2,310.07788690664376,5,28,3,101
aa,2,231.58195795609885,3,27,4,767
aa,2,990.1823375062978,4,28,1,757
aa,2,292.3115722640682,2,27,1,318
aa,1,338.09643693596917,5,29,3,165
aa,1,823.178016836275,5,28,4,669
aa,2,984.1334121139473,5,29,4,687
aa,2,641.4336635504261,3,28,3,146
aa,1,670.2562603569344,3,29,2,101
aa,2,1276.4976798415014,6,28,3,158
aa,2,822.6847740078592,7,29,3,284
aa,2,163.13487195282073,1,28,4,469
aa,2,817.0864807169838,3,29,3,724
aa,1,718.5231998181367,3,29,2,101
aa,1,394.04406319225683,4,29,4,458
aa,2,799.9745082536248,5,29,3,101
aa,1,499.63491844913284,1,29,1,392
aa,1,309.923187046266,6,29,3,140
aa,1,817.3602169270868,3,29,3,703
aa,1,415.09992002076797,3,29,3,536
aa,2,716.0256260745015,4,30,3,150
aa,1,869.5212551539353,3,29,4,679
aa,2,871.187949988078,7,30,4,726
aa,2,677.4199997406349,4,29,3,101
aa,2,893.6172601105422,2,30,3,101
aa,1,869.4696128754115,3,29,3,550
aa,1,1259.1386046162415,7,30,2,367
aa,2,1141.396900994054,7,30,1,194
aa,2,292.1928559135245,3,30,2,382
aa,1,94.10780433018462,7,30,1,715
aa,1,893.5300007821094,4,30,3,101
aa,2,717.5578110907336,3,30,3,101
aa,2,1141.1784901732917,7,30,2,101
aa,2,892.7503022274985,5,30,1,766
aa,1,1130.0398105045608,1,30,3,101
aa,1,732.5862487717009,3,30,3,146
aa,2,94.1699909939924,7,30,4,719
aa,2,1243.607036326073,1,30,2,101
aa,1,817.2512017505908,3,30,3,587
aa,1,242.5465286922516,5,30,2,101
aa,2,1128.4107598460928,7,30,3,101
aa,1,1135.8383489682537,1,30,3,101
aa,1,1378.7782044281084,7,30,1,363
aa,2,57.788151265527176,6,31,2,101
aa,1,914.9139707548327,7,30,3,101
aa,1,1272.260933512603,1,31,2,101
aa,1,293.21573709605775,2,30,4,467
aa,1,1278.3477025319846,1,31,3,101
aa,1,390.1683781144195,6,30,2,101
aa,2,293.1131888223984,7,31,2,546
aa,1,106.35408633646699,3,32,4,101
aa,2,1195.2550498417513,5,32,2,725
aa,1,414.4513482005386,3,32,2,101
aa,2,876.226549675693,1,32,3,726
aa,2,812.5788354287696,7,32,4,727
aa,1,329.54091230925957,6,32,1,101
aa,2,169.11871166671705,2,32,1,372
aa,2,1315.1442696751535,2,32,1,321
aa,1,1096.6345960084889,7,32,3,809
aa,1,890.4391893111043,6,32,3,713
aa,2,1036.8173246209374,1,32,4,101
aa,1,1001.2780126328431,3,32,4,724
aa,2,786.1765355456673,4,32,4,714
aa,2,1038.1906251994433,1,32,4,101
aa,1,893.6565920239312,6,32,4,757
aa,2,588.5205960988218,1,32,3,523
aa,1,1158.5471365208566,2,32,1,101
aa,2,410.2009378607105,6,33,4,101
aa,1,329.54091230925957,6,32,2,101
aa,2,1108.7244886513663,2,33,3,537
aa,1,905.0300790072719,1,32,1,101
aa,2,1058.692249954357,3,33,2,185
aa,2,961.7862150788159,2,32,2,101
aa,1,1038.16975168466,1,33,2,101
aa,2,1128.4036889142599,4,32,2,189
aa,2,447.9512435413766,6,34,2,383
aa,1,961.7862150788159,2,32,2,101
aa,2,418.74677423262426,6,34,4,101
aa,1,1192.2145071735463,5,33,4,158
aa,2,971.988951401629,2,34,4,101
aa,1,1158.119121930133,2,33,2,101
aa,1,905.0300790072719,1,34,3,101
aa,1,705.8519024083777,1,33,3,101
aa,1,1192.2145071735463,5,34,4,158
aa,2,411.49877379061786,6,34,2,151
aa,2,880.5004821768856,1,35,3,576
aa,2,1156.3086114727048,2,34,2,101
aa,2,710.1073278993388,1,35,3,101
aa,2,1158.1039976667712,3,34,1,651
aa,1,767.1398041964995,4,35,1,667
aa,2,672.2780931876785,2,35,3,101
aa,1,1193.4044576142376,5,35,4,159
aa,1,1157.5832579955218,3,35,4,101
aa,1,124.1278711009759,2,35,3,101
aa,1,905.0300790072719,1,35,4,101
aa,2,444.85972901514225,7,35,3,101
aa,1,1260.6745766388692,6,35,3,778
aa,1,702.4346955654876,2,35,4,754
aa,1,414.4513482005386,3,35,2,101
aa,2,709.5198310037489,1,35,4,101
aa,2,1000.9467448032435,2,35,4,725
aa,2,486.24012811682917,6,35,3,101
aa,2,1159.4716698980058,2,35,1,101
aa,2,892.7323882475052,4,35,3,587
aa,1,892.6686066644169,6,35,4,761
aa,2,1315.1442696751535,2,35,1,285
aa,1,217.43468567541112,3,36,3,101
aa,1,859.6668101494058,7,36,3,797
aa,2,584.1118247935451,1,36,3,536
aa,2,1261.9089830985515,4,36,2,649
aa,1,1172.3594990644472,6,36,3,707
aa,1,1157.5832579955218,3,36,1,101
aa,2,587.2508940702473,1,36,2,560
aa,2,56.64479989289372,5,36,1,631
aa,2,1192.455608790684,5,36,3,101
aa,2,1192.455608790684,5,36,1,101
aa,1,62.989586749910565,5,36,3,101
aa,2,1159.0620785632027,5,36,1,101
aa,1,1172.3594990644472,6,36,3,707
aa,2,161.92646727263823,5,37,4,101
aa,1,1193.4044576142376,5,37,1,101
aa,1,166.12730488974057,5,37,4,725
aa,2,162.1322533665604,5,37,3,624
aa,2,764.555061754195,5,37,4,187
aa,1,1117.9903570284632,5,37,4,101
aa,2,870.1142839899749,3,37,4,101
aa,1,1117.9903570284632,5,37,1,101
aa,2,1055.1942277883365,5,37,4,189
aa,2,1194.5224035494161,5,37,3,101
aa,1,585.3187582787066,3,37,4,101
aa,2,1315.1442696751535,2,37,1,320
aa,2,1055.1942277883365,5,37,4,189
aa,2,1156.7723732250965,5,38,3,593
aa,1,934.8318456188574,5,38,2,101
aa,2,932.7021920797445,2,38,2,101
aa,1,162.5274968867798,5,38,1,366
aa,2,1105.154874511353,6,39,3,727
aa,1,411.49877379061786,6,39,2,158
aa,1,415.4566092766326,4,39,2,101
aa,2,415.68154292979784,3,39,2,101
aa,2,343.24348332462927,5,39,2,101
aa,2,1159.0620785632027,5,39,4,101
aa,1,306.34078244842567,3,39,2,366
aa,2,925.7917338869032,5,39,3,101
aa,1,343.24348332462927,5,39,2,101
aa,2,1315.5691128888986,3,39,2,321
aa,2,1266.4685390128536,5,39,4,138
aa,1,1135.596613250101,5,39,3,101
aa,2,1266.4685390128536,5,39,4,138
aa,1,411.49877379061786,6,39,2,158
aa,1,445.07106651759074,6,40,3,101
aa,1,1157.4553899296322,1,40,3,101
aa,1,1158.5976103458536,1,40,1,101
aa,1,1037.6563123296128,3,40,2,101
aa,2,135.99645680033674,2,40,2,101
aa,2,132.92760452462377,1,40,2,101
aa,2,1244.5889105579,3,40,1,101
aa,2,1193.2743120322605,7,40,1,101
aa,2,1063.2889780064556,3,40,2,101
aa,2,390.9945253386308,5,40,1,412
aa,2,718.7635106851702,2,41,2,101
aa,1,590.0679478100463,3,40,3,101
aa,1,217.0612115570471,7,41,1,101
aa,1,682.2266519821633,7,41,2,101
aa,1,554.9703399684427,6,41,3,101
aa,1,20.66514183002089,5,41,2,101
aa,2,361.7657796241884,1,41,1,101
aa,1,216.3932854635326,7,41,2,101
aa,1,720.9549282776705,1,41,3,101
aa,1,68.81263584829037,7,41,3,101
aa,2,875.8946942477337,2,41,2,101
aa,1,391.5093805911955,6,41,2,101
aa,1,706.5220808649419,3,41,2,101
aa,2,933.0924514911451,7,41,2,101
aa,1,562.789978027344,7,41,1,101
aa,1,717.5894939687782,2,41,1,101
aa,1,944.3866016521969,2,41,2,101
aa,1,1122.4996622256765,6,41,3,387
aa,2,562.789978027344,6,41,4,392
aa,1,1128.3485214531174,2,41,1,726
aa,2,606.6865973331076,6,42,4,464
aa,2,929.8669602627759,2,42,3,469
aa,2,1235.4699615915467,6,42,4,462
aa,1,909.6652739154015,1,42,1,101
aa,1,869.0678906043275,5,42,4,101
aa,1,706.4837160106529,1,42,2,101
aa,2,764.7823466517283,7,42,4,101
aa,2,1036.9703401489778,4,42,4,101
aa,1,705.763057592865,1,42,4,101
aa,2,815.4988205764429,7,42,1,597
aa,1,710.7206919873357,4,42,4,101
aa,1,537.2016349711098,7,43,4,101
aa,1,225.0988925803755,3,43,4,498
aa,1,1238.7748297293151,3,43,2,320
aa,2,724.7219922665992,1,43,4,101
aa,1,493.3324125037027,3,43,4,343
aa,1,1159.9807136524585,5,43,4,143
aa,1,242.70905113782052,1,43,4,101
aa,1,230.93060114587882,2,43,4,496
aa,1,540.7479000975142,5,43,4,101
aa,2,1315.5691128888986,3,43,2,349
aa,1,764.5996167634759,7,43,4,101
aa,1,415.9556998038984,5,43,2,356
aa,2,1038.1111284748783,5,44,2,101
aa,1,493.5877620910068,3,44,3,467
aa,1,1076.5612664797786,1,44,1,101
aa,2,1132.0446308453993,5,44,3,101
aa,2,731.1904330864108,1,44,1,101
aa,2,719.6608911256677,2,44,1,101
aa,1,348.01252060814363,5,44,2,101
aa,1,721.7035625735792,1,44,3,101
aa,2,816.6954063657356,7,44,3,457
aa,1,716.904120202165,4,44,2,101
aa,2,726.4134708887402,1,44,2,101
aa,2,1232.9640768375505,3,44,1,649
aa,2,610.6678175953235,5,44,1,101
aa,1,47.822342602503305,3,44,1,101
aa,2,69.6576983410461,2,44,2,101
aa,2,107.61875110194853,1,44,3,101
aa,1,26.04207334226422,3,44,1,101
aa,1,627.9348267333905,6,44,4,374
aa,1,677.5002048421726,1,45,1,101
aa,1,163.47560964433495,6,44,2,101
aa,2,174.70747094228216,5,45,3,101
aa,1,1175.1773735316913,2,45,3,101
aa,1,1261.1441575331673,4,45,3,799
aa,1,747.3981721359879,3,45,2,320
aa,1,173.17520544755322,7,45,4,460
aa,1,446.254553816456,3,45,3,101
aa,2,175.87716615343047,5,45,4,371
aa,1,108.82688449092757,7,45,3,449
aa,1,397.13042327901377,5,46,1,101
aa,1,1272.4952201372896,2,46,2,158
aa,1,216.46142103278984,7,46,1,101
aa,1,216.5649280981258,3,46,3,101
aa,1,747.3981721359879,3,46,1,270
aa,1,892.992519392122,4,46,1,101
aa,1,1121.436305326468,6,46,3,462
aa,1,1228.7260753438127,3,46,3,101
aa,1,678.7010014587172,2,46,2,101
aa,1,63.88140210722484,6,46,1,415
aa,1,682.8162282709126,2,46,3,101
aa,1,588.9888802242057,3,46,3,101
aa,1,833.7005925630119,2,46,1,101
aa,1,562.789978027344,6,46,3,466
aa,2,1195.9867106638135,6,46,4,461
aa,1,1036.472976257325,6,46,1,485
aa,1,562.789978027344,5,46,1,510
aa,2,265.4556202700701,6,47,1,499
aa,1,798.4730621751252,5,47,2,288
aa,2,25.823554609989394,5,47,3,101
aa,2,1048.1420462756957,5,47,2,101
aa,2,892.8801779867448,4,47,2,545
aa,1,1036.8444561090644,3,47,2,101
aa,1,217.33867470923047,7,47,3,101
aa,1,1158.7253828394116,5,47,3,101
aa,1,216.86305744162547,3,47,1,101
aa,2,1193.2403958167713,5,47,1,101
aa,2,607.9203889200276,5,47,1,412
aa,2,721.7991983933729,5,47,1,578
aa,2,200.58877917617914,6,47,2,101
aa,2,342.75777585906206,2,47,2,101
aa,2,934.4336223163141,5,47,2,376
aa,2,265.4556202700701,6,47,1,499
aa,1,557.1364865835301,7,48,1,341
aa,1,217.36617064445855,5,48,2,192
aa,2,487.82160070709284,3,48,4,285
aa,1,720.7046062248829,6,48,1,101
aa,1,725.0096594641972,6,48,3,482
aa,1,293.81234849135194,4,48,4,232
aa,2,721.9103061936976,3,49,3,726
aa,2,571.7850419207608,1,48,1,564
aa,1,408.22186440250005,6,49,1,101
aa,1,626.3640221561224,6,48,4,101
aa,1,1045.6253000514598,2,49,2,586
aa,1,915.0174068101963,1,48,4,101
aa,1,588.431899046173,6,49,1,101
aa,1,412.3133730470825,6,49,4,101
aa,1,1077.9836387962189,3,49,4,550
aa,2,1272.2807223998268,2,49,4,321
aa,1,1231.987630625721,6,49,1,101
aa,1,909.8378173121004,1,49,4,101
aa,2,893.7793453663917,5,49,4,286
aa,2,374.85730242161185,6,49,4,290
aa,2,447.18138172042586,6,49,4,101
aa,2,369.25387684424624,6,49,4,413
aa,1,292.45451792721644,6,49,4,101
aa,2,169.65814184265912,5,49,4,531
aa,1,1157.1391335923042,2,50,3,261
aa,2,876.92280549815,2,49,4,370
aa,1,458.8594339851546,5,50,4,263
aa,2,375.3124494335766,6,49,1,424
aa,1,562.789978027344,5,50,2,101
aa,1,586.2640896074928,7,49,3,101
aa,2,217.36617064445855,5,50,3,101
aa,1,1098.2757853208388,7,49,2,727
aa,2,562.789978027344,5,50,3,101
aa,2,904.6191886824134,5,49,2,101
aa,1,725.0096594641972,6,50,2,500
aa,1,1258.419860693458,6,49,3,725
aa,1,305.4363314634487,2,50,1,294
aa,2,1195.3218663207772,2,50,1,309
aa,2,360.1766442164779,6,50,3,101
aa,1,709.8952687720765,1,50,1,560
aa,2,562.789978027344,5,50,3,101
aa,1,377.0599087663465,6,50,1,101
aa,1,562.789978027344,2,50,3,259
aa,1,848.1712501212932,2,50,3,259
aa,2,568.153131832407,4,50,4,532
aa,1,731.8339757734684,3,50,3,348
aa,1,1098.2757853208388,7,50,4,679
aa,2,217.93072786398812,3,50,2,101
aa,2,293.7204213097194,6,50,1,101
aa,2,360.1766442164779,6,50,1,101
aa,2,1109.2707644599614,3,50,3,101
aa,2,824.1585072830945,2,50,3,101
aa,1,363.5154203454021,1,51,3,101
aa,2,1141.197728923261,1,51,4,101
aa,2,731.777150109356,2,51,4,101
aa,2,1203.402829612245,3,51,4,101
aa,2,216.03351192803123,6,51,4,101
aa,2,176.7898382851891,3,51,4,249
aa,1,293.7204213097194,6,51,4,101
aa,2,381.3398911689491,6,51,4,101
aa,2,621.6324814386217,2,51,4,577
aa,1,568.3730547766673,4,51,4,542
aa,2,1077.3892873978714,3,51,2,784
aa,2,728.3674707157812,2,51,3,101
aa,2,374.85730242161185,6,51,1,334
aa,2,809.4820104042568,5,52,3,269
aa,1,756.520953337406,5,52,3,256
aa,2,818.3287410191272,6,52,1,651
aa,2,709.6440047082222,2,52,3,370
aa,2,151.43929499103498,5,52,2,101
aa,1,743.9776852287246,5,52,3,284
aa,2,376.269360618493,6,52,3,320
aa,2,71.01137815096558,3,52,4,101
aa,2,60.12818964354905,5,52,1,101
aa,2,25.868093191498012,3,52,1,101
aa,1,722.5791812897602,6,52,2,489
aa,1,911.0636730406355,6,52,4,101
aa,1,633.1627808436823,3,52,4,669
aa,1,892.4659867696859,2,52,1,257
aa,1,1247.5043471869938,2,52,1,101
aa,2,25.868093191498012,3,53,1,101
aa,1,164.23117325690407,2,52,4,101
aa,2,809.4820104042568,5,53,3,269
aa,2,802.4666403648469,2,53,2,101
aa,2,127.78596246943276,3,53,2,101
aa,2,351.52537837536795,1,53,1,101
aa,2,89.35613250360528,6,53,4,101
aa,2,284.14625143311986,5,53,1,285
aa,2,361.47169446253247,6,53,2,101
aa,1,1129.1462185584314,7,53,4,101
aa,2,71.08164658924106,3,53,2,101
aa,1,848.1712501212932,2,53,1,321
aa,2,71.17422482505158,5,54,1,101
aa,1,495.49354030425735,3,53,1,101
aa,2,361.8490893634729,2,54,2,101
aa,2,71.37543269217178,2,53,4,101
aa,2,462.4651908521242,6,54,2,101
aa,2,71.08164658924106,3,53,1,101
aa,2,1192.3981335106,2,54,1,379
aa,1,1073.6702779123193,2,54,1,101
aa,2,1263.8721016697755,5,54,3,783
aa,1,360.4105731051637,1,54,4,101
aa,1,562.789978027344,5,54,3,468
aa,1,1037.3627511857874,3,54,2,101
aa,1,557.1364865835301,7,55,1,320
aa,1,361.97155559349005,1,54,1,101
aa,1,360.8947101723949,1,55,4,101
aa,1,1267.440609264712,3,54,4,101
aa,1,362.3229911890079,1,55,2,101
aa,1,347.0921995294102,1,54,2,101
aa,1,487.21823946705786,3,55,1,101
aa,2,572.2833871983039,1,55,1,578
aa,1,238.24119749509384,3,55,1,101
aa,1,562.789978027344,5,55,2,505
aa,1,624.9722165053745,2,55,1,101
aa,2,244.41851747999908,5,56,2,597
aa,2,169.65814184265912,5,56,3,520
aa,1,892.294897070568,6,56,3,649
aa,1,906.2764526785348,1,56,2,101
aa,1,244.1645132121817,4,57,4,101
aa,2,244.30595316384023,4,57,2,101
aa,2,175.58490183868847,5,57,3,525
aa,2,253.21437912492632,7,57,2,101
aa,2,84.55948632825604,7,57,2,101
aa,2,253.21437912492632,7,57,2,101
aa,2,758.6671639725336,7,58,4,101
aa,2,1156.9058626556766,6,57,1,579
aa,1,416.42617996928044,7,58,2,101
aa,2,476.70145615935553,5,57,2,101
aa,1,348.87472404331623,5,58,2,101
aa,2,1249.7999159808019,7,57,2,511
aa,2,557.2911346279345,7,58,2,101
aa,1,671.8395380365226,6,58,2,509
aa,1,892.1894491102631,6,58,4,670
aa,2,557.2911346279345,7,58,2,101
aa,2,557.2911346279345,7,58,2,101
aa,1,416.42617996928044,7,58,2,101
aa,2,557.2911346279345,7,58,2,101
aa,2,557.2911346279345,7,58,2,101
aa,1,1275.2247819465354,2,59,4,101
aa,2,205.17294426228932,7,58,4,101
aa,2,1129.1001804030345,3,59,2,101
aa,2,246.55011634735197,1,59,4,101
aa,2,1200.0712153988486,6,59,4,101
aa,2,1039.2992451727316,3,59,4,649
aa,2,585.6889181062545,3,59,2,101
aa,1,4.443923514830203,7,59,4,101
aa,2,1174.3854566061518,4,59,4,666
aa,2,986.7446088712576,5,59,4,101
aa,1,74.93887844330608,7,59,4,101
aa,2,1224.0571278949772,3,59,4,101
aa,2,1258.3176892992678,4,59,4,101
aa,2,1156.188350311303,3,59,4,101
aa,2,1129.5945762852843,1,59,4,101
aa,2,72.04855848289758,4,59,4,101
aa,1,480.1072711675875,4,59,4,101
aa,2,13.447891051163026,7,59,4,101
aa,2,627.268875556696,6,60,1,101
aa,2,112.49126935149725,5,60,1,101
aa,2,1079.8096604530235,1,60,3,101
aa,2,892.2994475206094,6,60,1,101
aa,2,360.57806088925486,1,60,3,101
aa,2,1194.7427914375658,6,60,2,789
aa,1,934.1412995983121,6,60,1,101
aa,1,709.8952687720765,1,60,1,540
aa,2,1079.8096604530235,1,60,1,101
aa,1,1159.955363778954,6,60,2,504
aa,2,1037.96067882253,1,60,3,101
aa,2,360.5018334397266,1,60,1,101
aa,2,670.5064503277637,1,60,1,101
aa,2,914.8320742438727,1,60,1,101
aa,2,1141.932708908867,1,60,1,101
aa,1,1105.7579845490204,7,60,4,678
aa,2,878.5753513194117,1,60,1,101
aa,2,1141.932708908867,1,61,3,101
aa,2,1079.6498722791207,1,60,1,101
aa,2,932.2077527470661,7,61,1,101
aa,1,1077.9836387962189,3,60,3,564
aa,2,1141.932708908867,1,61,1,101
aa,2,704.712712150036,1,61,3,599
aa,2,1105.7579845490204,7,61,3,595
aa,2,1238.2774333066275,2,62,2,101
aa,2,1099.7677762289552,5,62,4,101
aa,1,1078.9094927473802,2,62,2,101
aa,1,241.5276294768462,5,62,2,101
aa,1,1043.040895135555,2,62,2,101
aa,2,1044.3669012140529,2,62,2,101
aa,2,741.867421989895,5,62,2,101
aa,2,1157.5354819692056,2,62,2,101
aa,2,1079.2829616879392,2,62,4,101
aa,2,253.7291227355322,7,62,3,101
aa,2,56.102032761883585,5,62,2,101
aa,1,346.54861457986954,4,62,2,101
aa,1,1036.3336983131169,1,62,2,101
aa,1,1075.5110122285234,2,62,3,101
aa,2,1050.1632509470685,2,62,2,101
aa,2,486.88018412383093,4,62,4,101
aa,1,935.1005193861862,6,62,2,101
aa,1,1037.9193983541163,4,62,4,194
aa,1,1276.9688969916333,6,62,2,101
aa,1,244.40201880372425,4,62,2,101
aa,1,337.63704995634856,4,62,3,101
aa,1,1039.5930897439732,1,62,4,101
aa,1,892.5743212372677,6,62,2,101
aa,2,56.102032761883585,5,62,2,101
aa,2,761.966948729565,2,63,4,664
