EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,LEISTUNGSGRUPPE,B52,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
30819,1,42,1,aa,8,4,5,836.452807630954,2,566
30908,2,87,1,aa,1,2,1,124.86950600816057,3,504
30943,2,42,1,aa,33,3,1,1220.709672732255,3,249
30955,2,83,1,aa,35,3,5,29.950654192132607,3,507
31201,2,71,1,aa,61,1,2,501.64150591974186,3,507
31228,2,41,1,aa,17,1,1,832.6425687074609,1,321
36073,1,67,2,aa,35,2,5,542.5653079097449,2,655
36246,1,48,2,aa,14,2,3,814.1697402439568,3,191
36314,2,21,2,aa,59,2,3,1109.951799678691,3,101
36388,2,37,2,aa,14,3,5,1039.6807443464484,3,162
36757,1,67,2,aa,59,2,2,785.7465372594191,1,101
36814,2,49,2,aa,14,4,5,911.8240821616238,2,523
37055,1,40,2,aa,7,2,5,913.8472641943061,4,271
37270,2,48,2,aa,37,5,3,161.03439715970066,2,101
37394,1,49,1,aa,14,5,3,809.6232789780333,4,685
37640,2,37,1,aa,59,3,3,128.76443452268109,4,636
37733,2,51,1,aa,36,2,3,240.4147969996785,4,150
38094,1,76,1,aa,59,2,5,200.99925131908094,3,539
38218,1,66,1,aa,59,6,5,1141.227082105535,4,389
41005,1,67,2,aa,59,4,5,204.3841052845221,4,101
41682,1,44,2,aa,59,4,1,129.93327625932434,4,159
41873,1,44,1,aa,12,7,1,206.45065673589488,4,101
42152,2,76,2,aa,12,3,1,1242.0524631238743,3,101
42874,1,57,1,aa,4,6,1,135.73448239126083,2,101
42876,1,51,2,aa,4,6,1,611.4349892098629,2,101
45466,1,76,1,aa,50,2,1,1104.7093366141062,2,306
45477,1,76,1,aa,58,5,1,607.4354239079374,2,101
45509,1,43,1,aa,48,7,1,569.8200417529365,1,101
46250,2,19,1,aa,35,4,1,1128.60538113037,1,101
46530,1,64,2,aa,35,2,1,134.9184051553808,4,592
47026,1,68,1,aa,35,5,5,1156.027866186688,2,101
47752,2,40,2,aa,35,5,1,585.4302645166744,2,151
48339,2,68,2,aa,35,3,1,7.734145664473262,1,774
48439,2,32,1,aa,58,3,1,1219.7865860289025,2,770
48660,1,35,1,aa,58,3,1,934.4968479505377,3,101
49053,1,17,2,aa,58,6,1,514.9190863727632,2,307
49381,2,69,2,aa,14,1,3,1201.1133084506507,3,648
49484,2,37,2,aa,14,6,4,732.1464789403757,4,101
49496,2,47,2,aa,24,1,2,1285.4318116164786,1,630
49729,2,47,2,aa,58,1,4,76.17658672897656,2,670
50046,1,32,2,aa,58,6,1,918.6072821773231,1,725
50097,2,19,2,aa,39,2,1,613.3692210008829,3,101
50179,1,19,2,aa,58,1,5,919.1401334260833,1,635
50243,1,40,2,aa,48,3,1,670.8712161765304,4,263
50254,1,19,2,aa,48,7,4,1212.4366744334634,1,101
50308,2,32,2,aa,7,6,2,76.12373213997785,4,101
50578,1,45,2,aa,52,6,2,729.7093118353654,4,101
50709,2,45,1,aa,31,1,3,1342.2960137973887,4,101
50723,2,18,1,aa,31,1,3,706.0266272591045,1,101
50741,1,44,1,aa,42,1,4,242.78335736321537,3,338
50761,1,60,1,aa,42,1,3,671.9741373743356,4,101
51046,1,60,1,aa,29,2,1,612.7354754125025,1,101
51092,1,18,1,aa,29,1,5,809.0869644067221,4,101
51871,1,18,1,aa,29,2,4,126.25348140371064,2,101
52571,1,38,1,aa,4,6,1,934.6969663947947,1,338
52809,2,38,1,aa,4,4,1,545.837368970791,1,331
53017,2,38,1,aa,4,6,4,640.710828568405,4,520
55615,2,20,1,aa,43,4,4,84.15813973297817,4,320
55631,1,86,1,aa,30,3,4,757.8791633653035,1,548
55657,1,60,1,aa,43,4,4,519.7758153870025,4,431
55684,2,69,1,aa,43,6,2,752.9971639261342,4,412
56001,2,63,1,aa,43,6,2,224.95079421852824,4,791
56324,2,83,1,aa,43,3,4,731.2588186673278,4,316
56686,1,83,2,aa,13,1,5,1240.9372171831606,3,101
56756,1,57,1,aa,13,6,4,648.6945407255887,4,412
56875,1,16,2,aa,38,6,3,126.30935059624765,2,419
56894,1,22,2,aa,36,6,1,85.99961353478722,4,189
56918,1,22,1,aa,12,1,2,1014.4931272091704,2,146
57114,2,68,1,aa,12,6,5,932.3642923306323,4,786
57140,1,58,2,aa,5,6,2,650.8043485869264,3,101
57292,1,68,2,aa,54,4,4,983.8671086398541,3,535
59457,2,22,1,aa,36,7,3,529.2926975965862,1,139
59828,1,67,1,aa,38,2,3,782.1858416339426,3,521
60252,2,67,2,aa,15,1,5,78.96307662072138,2,269
60283,1,82,2,aa,15,2,4,879.9492203653338,3,101
60297,1,32,1,aa,5,4,1,118.93122851471253,1,542
60428,2,22,2,aa,15,3,2,73.10937350043653,3,547
60569,1,75,2,aa,6,3,4,125.71372817215465,3,139
60626,2,75,1,aa,15,3,1,1111.9785324288164,1,144
61145,2,18,2,aa,13,5,1,744.5369226320937,1,804
61352,1,47,1,aa,5,3,1,127.92129589958972,1,546
61435,1,61,2,aa,42,5,2,547.3716796963515,2,573
61456,1,63,2,aa,39,1,2,246.37463358805098,1,545
63064,1,78,1,aa,39,1,5,231.98176237735856,3,146
63175,2,78,1,aa,42,3,1,732.7470628342871,1,803
63576,2,45,2,aa,5,5,5,59.30330870802895,1,101
65484,1,45,2,aa,14,3,1,28.606543583420873,2,101
66021,2,88,2,aa,0,7,5,1096.8676228215636,4,101
66071,2,88,2,aa,10,7,5,173.49702689076219,4,101
66404,1,55,1,aa,23,2,4,12.849491348365698,4,596
66461,2,89,1,aa,59,2,5,648.9728359316007,4,101
66653,2,76,1,aa,1,2,5,59.22900849868254,4,101
66680,1,16,2,aa,23,5,5,1130.4108373002011,4,101
66712,2,16,2,aa,29,2,4,256.0305206877876,2,101
66978,2,34,1,aa,29,2,4,1314.7279446797509,4,696
66999,2,47,2,aa,2,4,5,13.74859207526392,3,101
67036,2,29,2,aa,21,7,3,62.01644548097023,2,669
67965,1,66,2,aa,38,2,5,63.982025589206486,4,101
68520,2,20,1,aa,10,5,3,671.0219774637168,4,666
68814,1,42,1,aa,9,2,4,264.6705202466852,2,699
69194,2,35,2,aa,4,2,3,648.241270630178,4,101
72040,1,46,2,aa,8,5,3,704.9898399272921,4,101
74338,1,29,2,aa,39,2,3,1099.0662255791217,3,101
74393,1,43,2,aa,29,5,5,264.8287316809845,2,101
74533,1,53,2,aa,63,4,4,606.561147387484,4,695
74848,2,31,2,aa,5,5,3,1272.1015888078455,2,101
74957,1,35,2,aa,63,4,4,907.4611203701012,2,702
75072,1,30,2,aa,28,4,4,445.66463352747144,3,101
75565,1,30,2,aa,47,4,3,227.83669740034549,3,101
75593,2,51,1,aa,36,5,3,907.6785080325077,4,520
75600,1,39,1,aa,47,5,4,226.61236552784305,4,186
75643,1,36,1,aa,5,7,3,57.46033975999568,4,338
75993,2,41,1,aa,28,7,1,570.1150409190348,4,678
76499,2,68,1,aa,52,5,1,27.232707589651852,2,677
76539,2,20,1,aa,47,7,1,731.4620751878833,3,654
77227,2,35,1,aa,5,7,1,12.124616338031267,2,652
77281,2,78,1,aa,61,6,1,686.7706282302017,4,101
77500,2,65,1,aa,32,6,5,624.9951894989629,3,101
77935,2,71,1,aa,46,1,1,1208.3854438925102,4,598
78410,1,77,1,aa,56,6,1,1044.851680199362,4,148
78572,2,64,1,aa,8,1,3,431.60798191673797,2,101
78619,1,66,2,aa,53,4,5,562.789978027344,4,101
79922,1,19,1,aa,53,4,5,13.186729199446368,2,652
81262,1,59,2,aa,46,7,3,4.344475598212135,2,147
81378,2,33,1,aa,63,6,4,752.5616382465168,3,101
85106,1,56,2,aa,53,1,1,129.36348771150318,2,330
85364,1,56,2,aa,62,6,1,1221.055409830005,3,101
85724,2,38,2,aa,46,6,3,966.4747486824092,2,328
85815,1,56,2,aa,46,7,1,1281.2550739356323,3,101
85835,2,56,2,aa,46,5,1,179.7821795782881,4,653
85917,1,17,2,aa,20,7,1,487.6813767755888,2,101
86019,2,88,1,aa,53,4,4,501.0303606273755,4,321
86053,2,56,1,aa,53,1,2,150.87284741513835,2,320
86201,1,90,1,aa,46,5,2,293.22877290775875,1,101
86453,2,70,1,aa,46,4,4,1216.4140533811944,1,101
86846,2,37,1,aa,46,3,3,613.3016747675053,1,101
87430,1,46,1,aa,53,6,5,1230.1666443724866,1,101
89250,2,20,2,aa,47,3,2,264.146497782664,4,101
89362,2,21,1,aa,36,3,2,946.9408546781148,1,579
89481,2,64,2,aa,52,1,2,1037.4941914469366,1,101
89503,1,88,2,aa,46,3,2,955.800949781969,1,587
89524,1,58,2,aa,46,3,2,333.6805375172537,1,340
92287,2,53,2,aa,31,6,4,998.483623193166,4,592
92462,1,66,1,aa,30,3,2,399.21477067294063,3,101
92719,1,66,2,aa,30,3,2,178.4886803115913,3,664
92772,1,40,2,aa,47,3,2,1225.5712667296839,3,101
92888,1,67,2,aa,47,6,2,285.8878344657011,3,672
93036,2,46,2,aa,46,7,4,1037.0078698201633,3,701
93072,2,79,2,aa,33,3,5,1122.9876306880692,3,687
94015,1,35,1,aa,61,3,5,929.4447815360517,1,669
94741,1,54,1,aa,63,3,5,912.1791812784235,3,675
95070,2,42,2,aa,30,3,5,735.7091795430609,1,639
95561,2,53,1,aa,53,5,4,562.789978027344,3,521
96032,1,37,2,aa,30,5,3,207.475472664101,3,101
98986,2,70,2,aa,12,1,1,908.9071422552701,1,101
99176,2,16,1,aa,36,5,1,1342.754516688468,1,101
99418,2,62,1,aa,48,1,5,575.0756894181291,1,470
99636,2,47,2,aa,3,1,1,796.2986883467063,1,470
100349,2,68,2,aa,27,3,4,1340.2050702428671,1,101
101450,2,63,2,aa,15,5,2,411.4805255271855,1,101
101521,2,36,2,aa,20,1,1,1130.9076945823992,3,101
101543,2,22,1,aa,48,1,1,820.3030958488956,4,101
101592,2,35,1,aa,13,4,1,518.479245779244,4,101
101631,2,54,1,aa,50,1,5,1131.9357686452631,1,628
101684,2,70,1,aa,27,2,2,818.0726570418564,1,101
101712,1,33,1,aa,50,5,4,447.9146210675482,1,101
101971,1,43,1,aa,20,1,5,823.881785423551,3,194
102080,1,86,2,aa,52,1,1,818.6758806345889,4,500
102094,1,55,2,aa,34,3,2,530.6173947637649,2,101
102109,1,14,2,aa,52,5,4,483.59745225166864,2,101
102284,1,16,2,aa,52,1,1,445.07012366407605,4,101
102387,1,35,2,aa,22,5,4,469.43310935025477,2,101
102732,1,75,2,aa,48,5,1,852.8942800488571,4,506
102917,1,20,2,aa,23,6,5,648.3223656890036,2,101
104464,1,53,2,aa,21,5,3,854.7147450320682,3,101
105209,1,62,2,aa,37,6,3,1299.0167571941488,2,480
106102,1,71,2,aa,38,5,5,224.30640383979087,2,101
106160,1,49,2,aa,63,5,5,829.2258930195442,2,195
106220,1,44,2,aa,10,4,3,216.3698908796871,2,195
106325,1,35,2,aa,33,5,5,990.1286610007314,2,195
107547,1,56,1,aa,5,3,1,1330.1158017075143,3,364
107570,1,34,2,aa,5,3,4,1130.9519760440132,1,364
107590,2,63,2,aa,19,3,3,133.07827717289425,1,193
107651,1,83,2,aa,50,3,5,671.2493332202033,1,367
107707,1,65,1,aa,5,3,3,1314.4605549264263,1,354
107979,1,78,2,aa,53,3,1,1091.285494403748,4,352
108005,2,19,2,aa,9,3,3,178.37877261030582,3,463
108016,1,86,2,aa,9,2,1,1039.5131248976616,3,365
108019,1,35,1,aa,36,3,1,608.0379259415864,1,366
112646,1,41,1,aa,48,4,4,176.31015816836955,3,366
113025,1,74,1,aa,36,4,5,605.8764638521485,3,320
113037,2,40,1,aa,15,6,1,907.7272959989449,4,101
113350,1,15,1,aa,9,3,5,422.38389894467633,4,101
113633,1,34,1,aa,8,6,4,626.1300509121373,1,500
113900,2,40,1,aa,8,6,4,690.7758868827684,1,101
114366,2,36,1,aa,23,4,4,844.3327699726462,4,320
114656,2,32,1,aa,23,4,3,528.2578141349222,4,101
114786,2,15,2,aa,27,7,3,1260.038558328355,4,101
115083,2,29,1,aa,37,6,5,797.1790539578062,4,101
115088,1,69,2,aa,35,7,5,820.7974932325966,3,101
115205,2,82,2,aa,12,6,5,728.0462944511911,3,101
115433,2,69,1,aa,27,6,5,754.3780749315696,3,101
115581,2,29,2,aa,53,7,3,1224.5046180946736,4,487
115611,2,64,2,aa,53,6,5,688.2890121642134,1,101
115661,1,87,1,aa,27,6,3,1256.9704028788315,1,101
116785,1,57,1,aa,12,7,3,367.6285663285834,1,101
116791,1,63,1,aa,19,2,2,691.8670043575945,4,484
117444,1,63,1,aa,54,2,3,364.0941001267572,4,482
117776,2,62,1,aa,54,3,3,1076.937585370984,1,101
118785,2,22,2,aa,9,6,3,347.65076457652924,4,101
118810,1,22,1,aa,9,6,3,1058.4753374804457,4,101
118877,1,22,1,aa,35,6,3,671.3324444975739,2,101
118921,2,22,2,aa,58,3,3,1293.8012233074764,2,494
118965,1,44,1,aa,9,2,3,1258.0694667621212,2,510
118994,1,83,1,aa,23,7,5,240.02872732868371,2,101
119030,1,29,2,aa,63,7,5,1257.8222342633437,1,229
119180,2,29,2,aa,20,6,5,351.21750884616716,1,229
119279,2,66,2,aa,20,6,5,232.4931999328918,2,229
119297,2,29,2,aa,48,7,5,375.36260564773113,2,249
119306,1,66,2,aa,48,7,2,609.6239000464793,2,230
119306,2,75,2,aa,14,6,4,914.1970257561675,1,249
119490,2,82,2,aa,14,6,5,376.8582372774703,2,101
119584,2,82,2,aa,54,2,2,1301.840893328954,2,456
119586,2,82,2,aa,23,2,2,244.32614069076894,2,456
119618,2,30,2,aa,23,7,5,916.7951928154513,2,101
119738,2,19,1,aa,23,7,2,671.4749048408361,4,213
125008,2,81,1,aa,27,4,2,1340.4803103264687,2,212
125032,2,81,1,aa,25,4,4,539.2071865852527,2,101
125403,2,29,1,aa,27,4,4,1008.0144453835856,3,101
125435,1,69,1,aa,55,3,4,366.9683665266651,2,356
125435,1,23,1,aa,55,3,2,1285.3869715320234,3,356
125533,1,59,1,aa,2,4,4,445.7019819738284,2,101
125618,1,31,1,aa,13,2,4,855.5310952386853,1,101
125805,1,75,1,aa,55,4,2,654.5934186519307,4,460
125853,1,19,1,aa,55,4,4,145.87217198576693,2,460
126055,2,19,2,aa,12,4,4,347.77235499092217,4,471
126165,1,29,2,aa,52,4,4,1141.9133218156203,4,540
126242,2,73,2,aa,50,4,4,1108.0891961467987,4,598
126285,2,30,2,aa,2,1,4,447.60478047363887,4,562
126351,1,53,2,aa,2,2,2,241.1793632139507,4,467
126673,1,53,2,aa,55,4,2,1141.0178155798394,4,465
126681,1,29,2,aa,8,4,3,351.8528931858143,4,101
126802,1,32,2,aa,8,4,3,1016.7050708886426,4,101
127483,2,31,2,aa,57,3,1,366.397718807759,4,101
127560,2,20,2,aa,57,7,1,1267.776965577223,4,101
127664,2,86,2,aa,60,7,3,446.4719535185137,4,101
127705,2,20,2,aa,33,1,3,1229.5689697500568,4,101
127789,1,51,2,aa,36,1,2,367.70088049253184,3,101
127850,1,16,2,aa,36,3,3,1270.498758358714,1,101
127880,2,22,2,aa,17,3,1,413.0820879996419,1,101
127889,2,71,2,aa,5,3,1,531.8812385014123,1,101
127892,2,23,2,aa,54,1,3,1037.8060141062633,1,101
129804,2,30,2,aa,23,1,1,1262.4858485605544,1,101
130057,1,30,2,aa,10,7,1,1126.3839059822158,1,101
130114,1,30,2,aa,10,1,1,710.5810962612543,1,548
130127,1,40,2,aa,3,7,3,779.5536559485827,1,101
130512,1,49,2,aa,2,7,3,1260.130264728505,1,101
130543,1,53,2,aa,24,7,4,372.1843956298013,1,101
130638,2,53,2,aa,32,1,4,1314.1566864372703,1,101
130873,2,75,2,aa,24,2,1,495.72811249052376,4,101
131061,2,70,2,aa,3,1,4,371.3102913371424,3,101
131188,2,49,2,aa,0,2,1,746.5317523139017,3,319
132488,2,54,2,aa,0,7,1,864.2155520625072,3,595
132544,2,40,1,aa,41,2,1,382.92904278469194,3,101
132761,1,42,1,aa,40,2,2,1293.3983312338971,3,101
137087,2,42,1,aa,43,2,1,364.4173937551104,3,101
139331,1,54,1,aa,9,7,2,116.77970809346515,1,101
139337,1,54,2,aa,46,2,2,1286.6985093200929,1,101
139523,2,50,1,aa,35,2,2,1129.3773255682188,1,101
139548,2,54,1,aa,29,2,2,1345.4958664150636,4,101
139573,2,59,2,aa,0,1,2,1142.0301010069552,4,101
139972,2,66,1,aa,33,1,1,1134.1198272495355,4,101
140480,2,40,1,aa,50,7,4,601.120785353778,1,101
145647,1,40,1,aa,33,1,4,360.47009234596544,4,101
145985,2,64,2,aa,30,4,4,30.883533781511957,4,295
146041,1,83,2,aa,5,1,4,1207.1145918809589,1,101
146276,1,58,2,aa,5,1,4,878.4318312379738,3,649
146412,2,18,2,aa,30,4,4,1283.3107550199275,2,101
146451,1,76,1,aa,20,1,4,1328.8196544786986,2,101
146474,2,58,2,aa,47,1,4,1284.5613798861102,2,790
147084,1,18,1,aa,34,4,4,732.9574119451256,2,797
148587,2,53,1,aa,12,1,5,332.6002421169184,1,673
148622,2,49,2,aa,0,7,3,1274.1633129061986,2,654
148642,2,53,1,aa,33,3,5,986.4265966483322,2,101
148690,2,17,2,aa,21,6,3,877.3554111233111,1,130
148703,2,37,1,aa,30,2,5,648.3602320147669,2,158
148709,1,61,1,aa,47,6,5,931.5787194315598,2,101
148736,1,17,2,aa,33,3,2,562.789978027344,2,101
148743,1,36,1,aa,34,1,1,1193.4234670611174,1,412
148851,2,81,2,aa,16,4,4,626.1218320056013,3,101
148986,2,83,1,aa,13,6,3,1228.183967906836,1,101
153687,1,36,2,aa,33,2,5,964.9170050591206,3,256
154146,1,31,1,aa,30,2,1,720.614817388962,4,101
154421,2,84,1,aa,43,1,5,347.01266508077225,3,649
154701,2,37,1,aa,45,3,5,203.43811913975185,3,101
154810,1,33,2,aa,0,3,1,650.1112812084068,3,594
155248,2,31,2,aa,49,6,5,648.1899624418082,4,101
155287,2,29,1,aa,56,3,5,574.1244606388966,3,101
155330,1,35,2,aa,47,3,5,995.4321643660862,4,101
155346,1,56,1,aa,59,6,5,26.57630787431358,3,101
155386,1,86,2,aa,29,3,5,124.34635975258124,4,702
155395,2,14,1,aa,14,1,4,798.1337621606233,4,101
156539,2,35,1,aa,9,3,5,574.3225063428365,3,566
156962,1,29,2,aa,26,3,2,117.90666678469009,4,575
157715,1,29,2,aa,35,1,3,69.37915487723929,3,289
157890,1,55,2,aa,57,1,1,1315.7579575193895,4,101
158441,1,14,2,aa,3,3,2,678.255864970715,2,101
158740,1,83,2,aa,35,3,4,983.656812387092,1,809
158758,1,55,2,aa,35,3,3,814.5160319852574,1,576
159028,1,53,2,aa,3,6,4,247.51344988605672,1,101
159153,1,15,2,aa,57,7,3,370.26487891531957,4,101
159388,2,15,2,aa,3,2,1,1314.1511082951376,2,101
159523,1,30,1,aa,35,1,4,1134.0205269307771,2,101
160628,1,79,2,aa,58,1,3,945.7936726725964,1,101
160664,1,30,2,aa,50,4,4,775.680253489184,1,807
160689,1,81,2,aa,25,6,2,31.73003666441135,4,707
161524,2,58,2,aa,58,5,2,641.3868782193098,1,101
161772,2,82,1,aa,48,7,2,905.0421155631487,4,101
162880,1,58,2,aa,23,6,4,1285.6529234517338,1,101
162888,2,67,1,aa,27,5,3,216.62727997774556,2,101
163152,2,70,2,aa,26,4,3,1284.3710583793109,1,101
163263,2,81,2,aa,44,7,1,813.5691872533059,1,263
163267,2,85,1,aa,6,5,1,913.9834317004726,2,692
163423,2,83,1,aa,3,5,2,1315.386066201503,1,101
163423,1,28,1,aa,58,6,1,966.3755408968381,1,101
163433,1,83,1,aa,35,6,1,774.8297852791898,4,101
163509,1,53,1,aa,58,5,3,1315.176965712913,1,101
163598,2,35,1,aa,58,7,1,216.47868802219824,1,101
163598,2,28,1,aa,49,7,1,204.74567694437513,4,101
163755,1,28,1,aa,35,5,4,244.10464682284305,1,101
163793,1,14,1,aa,50,5,1,228.37745823252567,1,101
164886,1,87,1,aa,30,5,3,1037.0166380955084,3,190
164916,1,45,1,aa,49,1,3,892.307697527286,3,101
164930,1,87,2,aa,23,1,3,1315.0512889838153,3,101
164956,1,87,2,aa,48,6,2,116.64340987228567,3,148
164963,1,87,1,aa,49,5,2,727.716335514775,3,101
164964,1,87,1,aa,48,6,2,1159.0346119689991,3,101
164975,2,32,1,aa,28,7,2,131.85010620133062,4,803
164983,1,32,1,aa,28,7,2,395.95491862279323,4,598
165005,1,47,1,aa,2,5,2,1124.5930681948123,3,101
165036,1,46,1,aa,44,5,3,58.65839258021957,4,459
165139,1,46,1,aa,4,5,3,347.51616646796765,4,782
165207,1,79,2,aa,59,3,4,125.11854692875667,4,101
165221,1,35,1,aa,35,5,3,1245.8769941773464,3,776
165248,2,43,1,aa,24,5,2,361.07809207259487,4,238
165276,1,43,2,aa,48,6,1,1038.1288168069866,3,101
165289,1,67,2,aa,24,6,5,350.73296958936345,3,101
165368,1,20,2,aa,16,3,5,764.4005042588806,4,383
165451,1,77,2,aa,35,7,5,388.9710168256108,4,423
165454,1,87,2,aa,58,7,1,929.8309981084773,3,575
165463,1,87,2,aa,50,7,1,346.39415933674906,3,249
165486,1,87,2,aa,30,7,4,178.46667120990355,3,764
165589,1,84,1,aa,25,3,4,1062.8601982361572,3,259
165601,2,15,1,aa,35,5,5,1117.668573855588,4,313
165631,2,84,1,aa,18,6,5,384.3939119639703,3,398
165643,1,84,2,aa,2,6,2,420.4410103513708,3,195
165761,2,30,1,aa,3,6,5,344.04383405508645,3,232
165781,1,18,1,aa,16,1,5,360.6965036763663,3,224
165831,1,87,1,aa,2,2,1,360.93636044910767,3,509
165873,1,27,1,aa,2,3,2,1174.9995577919424,3,783
168213,1,27,2,aa,2,3,1,967.4659537089542,4,101
169345,1,84,2,aa,43,3,4,447.5092015768427,3,212
169613,2,79,2,aa,24,3,4,363.30994163554095,1,382
169652,2,32,2,aa,54,6,2,446.62892014760376,1,101
170208,2,32,2,aa,28,6,4,444.8258702852867,1,101
170795,2,78,2,aa,52,6,2,379.9466739629133,1,689
171248,2,86,2,aa,54,6,4,416.67281128134147,1,101
171400,2,30,2,aa,44,5,4,265.50757024135294,1,306
171402,2,75,2,aa,60,3,3,108.99319273927878,1,377
172272,1,75,2,aa,25,6,3,651.7933073766327,4,101
172315,1,33,2,aa,40,6,2,1283.4380684997518,2,101
172496,1,86,1,aa,42,5,2,756.9189556383169,1,159
173415,2,32,1,aa,28,3,1,989.3791382625368,1,101
173451,2,32,1,aa,63,3,5,1331.212306047507,1,101
173522,2,60,2,aa,52,2,1,1335.8032776044763,2,101
173614,2,31,1,aa,63,2,5,753.6400552566596,2,520
173687,2,16,2,aa,12,1,2,840.0132870866562,1,101
173769,2,16,1,aa,55,1,1,225.21685461418764,4,101
174029,2,22,1,aa,54,5,1,247.1478847601108,1,491
174065,1,77,1,aa,9,6,4,116.36337793681098,4,288
176144,2,25,1,aa,55,6,4,395.61629068001645,4,295
176235,2,15,1,aa,60,5,1,908.2022450703855,1,727
176318,2,15,2,aa,54,5,3,1098.9117008793964,1,101
176416,2,28,1,aa,20,5,4,177.06589536769698,2,675
176418,2,45,1,aa,53,5,4,670.6514299049734,2,101
