EF10,TAETIGKEITSSCHLUESSEL4,EF16U2,EF41,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
2,2,6,40,2,101
2,2,6,40,2,101
2,1,6,40,1,101
1,2,2,40,2,101
2,2,2,40,1,101
2,2,2,40,1,101
2,1,6,40,2,101
2,1,6,41,1,101
2,2,4,40,2,101
2,2,6,41,2,101
1,1,2,41,2,101
1,1,2,41,2,101
1,2,7,41,2,101
1,2,6,41,2,101
2,1,2,41,3,101
1,1,6,41,2,101
2,1,2,41,2,101
1,1,2,41,2,101
2,2,6,41,3,101
1,1,2,41,2,101
1,1,7,41,2,101
1,1,3,42,2,101
1,1,7,41,2,101
1,1,7,42,2,101
1,1,1,42,4,101
1,1,1,44,4,101
1,1,7,43,4,101
1,1,7,44,4,101
1,1,1,43,4,101
1,1,5,44,4,101
1,1,4,43,4,101
1,1,1,44,4,101
1,1,5,43,4,101
1,1,5,44,4,101
1,1,4,43,4,101
1,1,1,44,4,101
1,2,1,44,3,101
2,1,1,44,3,101
2,2,3,44,2,101
2,2,7,44,1,101
2,1,7,44,2,101
2,2,1,44,2,101
2,2,1,44,1,101
2,2,3,44,2,101
1,1,7,44,3,101
2,2,3,44,3,101
2,2,7,44,2,101
1,2,7,45,3,101
2,1,7,44,3,101
2,1,4,45,2,101
2,1,7,45,1,101
2,2,7,45,3,101
2,1,5,45,3,101
2,2,1,45,2,101
2,2,5,45,2,101
2,1,1,45,3,101
2,2,7,45,3,101
1,1,7,45,1,101
1,1,7,46,3,101
2,1,1,45,3,101
2,1,3,46,2,101
2,1,3,46,3,101
1,1,3,46,1,101
1,1,5,46,1,101
1,1,4,46,1,101
1,1,5,46,1,101
2,1,5,46,1,101
1,1,5,46,1,101
2,1,4,46,3,101
1,1,5,46,1,101
2,1,5,46,3,101
1,1,3,47,1,101
1,1,5,47,3,101
1,2,4,47,3,101
1,2,4,47,1,101
1,2,4,47,1,101
1,2,4,47,1,101
1,1,3,47,3,101
1,2,2,32,2,144
1,1,2,39,3,158
1,1,2,35,1,158
2,2,2,46,1,158
1,2,2,37,3,184
1,2,2,46,3,159
2,2,2,42,1,191
1,1,5,48,4,101
2,1,6,48,1,101
1,1,6,49,2,101
1,2,6,49,4,101
1,1,6,49,4,101
2,2,7,49,4,101
2,1,5,49,1,101
1,1,7,49,4,101
2,1,7,49,2,101
2,2,7,49,1,101
2,1,7,49,4,101
2,1,7,49,4,101
1,1,7,49,2,101
1,1,7,49,4,101
2,2,7,49,4,101
2,2,1,49,4,101
2,2,7,49,2,101
2,2,7,49,2,101
2,1,1,50,4,101
2,2,1,49,2,101
1,1,7,50,4,101
1,1,7,49,4,101
2,2,7,50,1,101
2,2,7,49,2,101
2,2,1,51,1,101
2,1,1,50,4,101
2,2,1,51,1,101
1,2,1,51,2,101
1,2,1,51,4,101
1,2,1,51,2,101
2,2,3,51,2,101
1,2,1,51,4,101
1,1,1,51,4,101
2,1,1,51,4,101
2,2,5,52,4,101
2,1,5,52,2,101
2,2,5,52,4,101
2,2,5,52,4,101
2,1,6,52,2,101
1,1,5,52,4,101
1,2,5,52,1,101
1,1,2,52,4,101
2,2,5,52,4,101
2,2,2,52,3,101
1,2,6,53,1,101
1,1,2,53,1,101
1,2,2,53,2,101
1,2,2,53,1,101
2,2,5,53,2,101
2,2,6,53,2,101
2,2,2,53,1,101
1,2,5,53,2,101
1,1,5,53,1,101
1,1,2,53,1,101
1,1,6,53,1,101
2,2,2,53,4,101
1,1,2,53,1,101
2,2,2,53,2,101
2,2,5,53,3,212
2,1,3,54,4,101
2,1,3,54,4,101
1,1,3,54,1,101
1,1,3,54,1,101
2,2,3,54,4,101
2,2,3,54,4,101
1,1,6,54,1,101
1,1,3,54,1,101
2,2,3,54,4,101
2,1,6,54,3,101
2,1,3,54,3,192
1,2,7,62,2,97
2,1,7,57,1,101
1,2,7,57,2,101
2,1,3,58,4,101
2,2,3,57,4,101
2,1,7,58,4,101
2,2,7,58,1,101
2,2,7,59,4,101
2,2,3,58,4,101
1,1,3,59,3,101
2,2,3,59,3,101
2,2,7,59,4,101
2,2,7,59,3,101
1,1,3,59,4,101
2,1,1,59,3,101
1,2,1,60,1,101
2,2,1,59,1,101
1,2,1,60,1,101
1,2,1,59,4,101
1,1,1,60,4,101
2,1,6,59,4,101
1,2,5,62,4,101
2,2,1,59,1,101
2,1,4,62,1,101
2,2,1,59,4,101
2,2,2,62,4,101
1,2,2,60,1,101
1,2,5,62,1,101
1,2,5,60,1,101
1,2,5,62,3,101
1,2,5,60,1,101
2,1,4,62,4,101
1,1,4,60,1,101
2,2,1,62,1,101
2,2,5,60,4,101
2,2,6,62,2,101
1,2,4,60,1,101
2,2,5,62,4,101
1,2,4,60,1,101
1,2,6,62,3,101
1,2,2,60,3,101
2,2,4,62,2,101
2,1,5,62,2,101
1,1,5,62,2,101
2,1,6,62,2,101
2,2,6,62,2,101
1,1,4,62,4,101
1,2,2,62,4,101
1,2,6,62,3,101
2,2,5,62,2,101
2,2,4,62,2,101
1,1,2,62,4,101
2,2,2,62,2,101
2,1,2,62,3,101
1,1,5,63,3,101
1,1,2,63,2,101
1,2,1,63,4,101
1,2,2,63,3,101
1,1,2,63,3,101
2,1,2,63,4,101
2,2,4,63,3,101
2,1,2,63,3,101
1,1,5,63,3,101
1,2,1,63,3,101
2,2,2,63,1,101
1,1,5,63,2,101
1,1,4,63,2,106
1,2,1,63,2,101
1,2,4,63,2,109
1,2,1,63,2,101
1,1,5,62,2,195
1,2,4,63,2,101
1,2,4,58,2,237
1,2,2,63,2,101
2,1,5,17,3,256
1,2,5,20,3,263
2,1,6,17,1,261
2,2,7,17,1,286
2,2,3,18,2,263
2,2,3,25,3,290
1,2,7,20,2,269
1,1,5,20,3,304
1,2,7,18,3,285
1,2,7,26,2,318
2,2,3,31,3,292
2,2,3,21,2,320
2,2,3,29,1,304
2,1,7,30,3,320
2,2,4,29,4,310
2,2,4,20,1,321
2,1,1,21,1,320
1,1,4,18,4,328
2,1,2,21,3,329
1,1,1,24,1,343
1,1,2,18,3,333
1,1,1,18,3,349
2,2,1,24,3,343
1,1,5,17,3,367
2,2,1,18,3,364
2,2,4,19,2,382
2,1,1,29,4,384
2,2,6,18,2,392
2,2,3,22,2,386
2,2,5,16,4,412
2,1,7,20,3,412
1,2,5,29,1,426
2,1,3,21,1,415
1,2,1,21,4,465
2,1,1,20,4,429
1,1,6,28,4,471
2,2,6,22,1,438
2,2,5,30,1,490
2,2,3,30,1,460
1,2,3,17,4,495
1,1,5,18,1,467
1,2,3,25,4,503
1,1,3,17,1,507
1,2,3,24,4,509
1,2,5,35,4,295
1,1,3,38,2,320
2,2,5,40,1,320
1,2,5,33,1,343
2,1,5,35,1,330
2,2,5,42,1,355
2,2,5,35,3,334
2,1,5,33,2,358
2,1,3,37,1,349
2,1,1,44,3,375
1,2,1,44,1,358
1,2,5,45,1,382
1,1,5,42,4,368
1,2,6,46,4,390
1,2,6,47,1,371
1,2,6,47,1,397
1,2,6,32,1,374
1,2,5,42,1,412
2,1,2,41,2,376
2,2,2,47,4,414
2,2,5,46,3,392
2,2,2,43,3,415
1,1,6,42,4,412
2,2,6,41,2,439
2,2,6,42,2,414
2,1,6,41,2,442
2,1,6,40,2,429
2,2,5,47,4,460
2,1,2,40,4,447
1,2,5,42,4,464
2,1,5,43,3,465
1,1,5,42,3,471
1,1,6,47,3,468
1,1,6,41,3,490
1,1,6,47,1,484
1,2,6,40,2,495
1,2,6,46,4,494
1,1,2,40,1,496
1,1,6,46,3,502
1,1,5,47,3,500
1,1,5,41,4,507
1,1,6,46,1,510
1,2,3,52,4,257
1,2,3,54,4,259
1,2,5,49,3,268
1,2,3,51,4,271
1,2,5,50,2,269
1,1,3,51,4,291
1,1,3,50,2,285
1,2,3,54,4,307
1,1,3,50,4,289
1,1,5,50,2,311
1,1,5,51,4,295
1,1,5,50,2,314
1,1,5,50,3,311
1,1,3,48,3,320
1,1,2,55,3,317
1,1,2,55,4,349
2,1,2,50,1,320
2,2,2,48,1,355
2,2,2,50,1,328
2,1,2,50,3,356
2,2,1,49,1,334
2,2,1,56,3,367
2,1,2,49,1,349
2,1,1,48,1,377
1,1,2,50,1,353
2,2,2,52,1,382
2,2,1,50,1,368
1,2,6,50,2,466
1,2,6,53,3,371
1,2,6,53,4,489
2,2,1,50,4,378
1,2,6,62,3,490
1,1,6,49,1,415
2,1,6,53,3,493
2,1,6,54,2,500
1,1,6,62,1,494
1,1,6,53,1,504
2,1,6,62,3,508
1,2,2,64,1,101
1,1,6,64,1,101
1,1,2,64,1,101
1,2,2,64,1,101
1,2,6,64,4,101
2,1,2,64,4,101
1,2,3,64,1,101
1,2,3,64,1,101
1,1,6,64,1,101
2,1,6,64,3,101
1,2,2,65,1,101
2,2,6,64,4,101
2,1,6,66,4,101
1,1,3,66,4,101
1,1,2,67,1,101
2,1,5,66,4,101
2,2,3,67,3,101
2,1,1,66,4,101
2,1,3,68,3,101
2,2,5,66,3,101
2,2,5,69,2,101
1,1,5,66,4,101
1,1,1,69,4,101
2,1,1,66,3,101
2,1,5,69,4,101
2,1,6,67,4,101
2,2,6,69,1,101
2,2,2,68,4,101
2,1,2,69,2,101
2,1,2,68,1,101
1,2,4,69,4,101
2,1,1,69,2,101
2,1,5,69,4,101
2,2,4,69,4,101
2,1,3,69,4,101
2,1,4,69,3,101
1,1,4,69,1,101
1,2,5,69,4,101
1,2,1,69,4,101
2,2,1,69,2,101
2,2,5,70,1,101
2,1,2,69,2,101
2,1,4,70,1,101
1,1,3,69,1,101
2,2,4,70,3,101
2,2,4,69,2,101
2,2,5,70,2,101
1,1,4,69,1,101
2,2,3,70,1,101
2,2,2,70,3,101
2,1,7,72,1,101
1,1,2,70,1,101
1,1,4,72,1,101
1,1,5,70,1,101
1,1,4,72,1,101
1,1,5,70,1,101
1,2,7,72,1,101
1,1,7,70,1,101
1,1,1,73,1,101
1,2,5,70,1,101
2,2,5,74,3,101
2,1,1,70,3,101
2,2,7,74,1,101
2,2,3,73,1,101
2,2,7,74,4,101
2,2,3,73,4,101
2,2,7,74,4,101
1,2,7,73,1,101
2,2,5,74,3,101
1,2,5,74,1,101
1,2,6,75,4,101
1,2,6,74,4,101
2,2,7,75,4,101
1,2,5,75,4,101
1,2,7,78,4,101
1,1,3,75,4,101
1,2,3,78,4,101
2,2,6,76,3,101
2,2,6,79,2,101
1,1,7,76,4,101
2,1,6,79,4,101
2,2,6,76,2,101
1,1,6,79,4,101
2,2,6,76,1,101
2,1,4,79,4,101
2,1,1,78,2,101
2,1,3,79,2,101
2,1,1,78,2,101
1,1,1,79,4,101
2,1,1,79,2,101
2,1,3,79,4,101
2,2,1,79,1,101
1,2,6,80,1,101
1,1,4,79,1,101
2,2,1,80,2,101
1,2,4,79,1,101
2,1,6,80,1,101
2,2,3,79,4,101
2,2,2,80,2,101
1,1,5,80,1,101
1,1,2,80,1,101
1,2,3,81,1,101
1,1,3,80,1,101
1,1,3,81,1,101
1,1,3,81,1,101
1,1,3,81,3,101
1,1,3,82,1,101
1,1,3,81,1,101
1,1,3,82,4,101
1,1,5,82,4,101
2,2,5,83,3,101
2,2,6,82,3,101
2,1,6,83,4,101
1,1,4,82,3,101
1,2,6,83,3,101
1,2,5,82,4,101
1,1,6,83,4,101
2,2,4,82,3,101
2,2,5,83,3,101
2,2,6,82,4,101
2,1,6,83,3,101
1,1,6,82,3,101
1,2,1,83,3,101
1,1,6,83,3,101
1,2,1,83,3,101
2,1,3,83,3,101
1,2,5,83,3,101
2,2,3,83,3,101
2,1,3,83,4,101
1,1,7,83,3,101
1,2,6,83,3,101
2,2,7,83,3,101
2,1,3,83,4,101
1,2,6,83,3,101
1,2,7,86,3,101
1,1,1,83,4,101
2,2,6,86,3,101
2,2,6,83,4,101
1,2,7,86,2,101
2,2,6,83,3,101
2,1,3,86,3,101
2,2,1,83,1,101
2,2,5,86,4,101
1,1,5,83,2,101
1,1,7,86,3,101
2,1,7,85,4,101
2,1,7,86,4,101
1,1,7,86,4,101
1,1,2,87,2,101
1,2,2,86,4,101
1,2,2,87,2,101
1,1,1,86,4,101
2,2,2,87,1,101
1,1,1,86,4,101
1,2,6,87,4,101
1,2,2,86,1,101
1,2,2,87,2,101
2,2,4,87,2,101
1,1,4,87,4,101
1,1,7,87,2,101
2,1,1,87,4,101
1,2,6,87,4,101
2,1,7,87,2,101
1,2,7,87,4,101
1,1,1,87,3,101
1,2,4,87,4,101
2,1,1,87,4,101
2,2,6,87,2,101
2,1,7,88,3,101
2,2,2,87,3,101
2,1,2,88,2,101
1,2,4,87,1,101
2,2,1,88,3,101
2,2,1,87,3,101
1,2,1,88,2,101
1,1,4,87,2,101
2,2,1,89,3,101
1,2,2,87,2,101
1,1,6,89,1,101
1,2,4,87,2,101
1,2,4,74,2,149
1,1,6,87,1,101
2,2,7,83,2,158
1,1,7,89,2,101
1,2,7,83,2,159
2,2,7,89,4,101
1,1,7,76,2,186
1,2,7,89,2,101
1,2,7,80,2,188
2,1,7,89,3,101
2,2,7,78,1,193
2,2,5,66,3,158
2,1,5,71,3,212
2,1,5,71,1,184
2,2,5,78,1,234
2,2,5,68,1,189
2,2,5,73,1,249
2,2,5,66,1,213
2,2,5,77,1,249
2,2,5,75,1,249
1,2,5,86,2,257
2,2,3,70,4,256
2,1,6,70,2,268
1,1,4,71,3,260
2,2,5,69,4,269
2,1,3,69,1,263
1,2,5,71,2,270
1,2,2,87,2,263
2,1,4,75,2,284
2,1,3,80,4,269
2,1,5,84,2,285
2,1,2,86,4,287
2,1,7,70,2,289
2,1,3,64,3,292
2,1,3,78,2,292
1,1,3,87,3,304
1,1,3,86,3,305
1,2,6,75,2,308
2,1,6,91,4,310
2,1,6,83,1,314
1,1,7,70,4,315
2,2,5,83,4,317
2,1,4,64,2,320
1,2,3,80,4,320
2,1,4,78,2,320
2,1,3,71,3,321
2,1,3,70,1,329
2,1,4,87,4,321
2,2,6,74,1,337
2,1,4,67,4,334
2,1,4,81,4,339
2,2,1,87,4,355
2,2,1,85,4,342
2,1,3,79,4,359
1,1,1,87,4,352
2,1,2,68,3,365
2,1,1,86,4,353
1,1,4,78,4,367
1,1,4,86,4,357
1,1,4,89,4,369
1,1,3,87,4,364
1,2,1,86,2,375
2,1,2,69,2,366
1,1,1,70,4,378
2,2,6,70,1,388
2,2,5,73,3,398
2,2,2,87,1,399
1,2,5,78,1,415
2,2,5,86,3,412
1,2,5,67,2,420
2,2,5,79,2,415
1,2,7,89,2,451
1,2,6,75,2,448
1,2,6,70,1,456
1,2,7,89,1,453
2,2,2,79,3,464
2,2,4,69,2,459
2,1,1,70,1,465
2,1,1,76,1,464
1,1,3,79,1,466
2,1,6,64,2,467
2,1,2,76,1,483
2,2,2,78,2,488
2,1,6,70,1,494
1,1,6,69,3,494
2,1,6,79,1,498
2,1,3,74,1,497
2,1,2,86,1,500
1,1,6,86,4,502
2,2,6,73,1,505
1,2,3,78,4,504
1,1,4,87,4,506
2,1,3,86,1,510
1,1,5,22,3,528
2,1,3,30,3,536
2,1,2,21,3,538
2,1,5,21,4,549
2,2,5,20,3,546
2,2,5,17,3,576
1,1,1,27,3,548
2,1,5,17,3,577
2,1,1,21,4,550
2,1,1,19,3,579
2,2,1,21,3,551
2,1,5,20,3,587
1,1,5,24,1,572
2,1,1,27,3,593
1,2,2,18,4,578
2,2,2,16,3,594
2,1,1,18,3,587
2,1,4,18,4,627
2,1,5,20,4,595
1,2,2,30,1,650
2,2,1,19,3,598
1,1,4,27,1,652
2,1,2,21,4,625
2,1,2,16,4,673
1,2,3,19,4,628
2,1,3,18,4,686
1,1,3,18,4,631
1,1,3,22,2,695
1,2,3,22,1,632
1,1,3,22,3,696
1,1,7,19,1,636
1,2,7,27,3,706
1,1,3,18,3,651
1,1,7,22,1,709
1,2,3,17,2,654
1,2,7,27,2,711
1,2,2,18,4,666
1,2,3,16,1,713
1,2,4,20,4,686
1,2,7,20,4,714
1,2,7,20,4,709
1,2,7,27,1,716
1,2,1,18,3,725
1,2,1,18,2,754
1,2,7,31,2,730
1,2,7,22,2,755
1,2,7,30,2,752
1,2,7,20,3,765
1,2,7,26,2,756
1,2,1,23,4,766
1,2,7,34,1,595
1,2,7,32,4,704
1,2,1,35,1,707
2,1,7,33,3,713
2,1,7,32,3,726
2,2,7,33,2,725
2,2,1,35,4,757
2,2,7,34,3,758
2,2,4,37,4,548
1,2,7,36,2,544
1,1,7,37,1,724
2,2,7,37,4,714
1,2,2,37,2,725
2,1,2,37,3,762
2,1,3,39,2,725
1,1,3,38,4,726
2,1,3,39,3,812
2,2,7,40,2,544
2,2,6,47,2,522
1,2,7,40,1,571
2,2,4,47,2,544
2,2,4,40,2,578
1,2,5,40,4,599
1,2,3,42,2,595
1,2,2,45,4,638
1,2,6,41,2,648
1,2,5,42,2,724
1,2,5,47,1,651
1,2,1,44,2,752
2,1,1,40,2,757
2,2,7,44,3,757
2,2,1,43,4,767
2,2,1,44,4,763
2,1,7,40,2,783
1,1,1,48,4,576
1,2,6,55,2,654
2,2,3,49,4,587
1,1,1,50,4,672
2,1,6,51,3,649
1,2,3,53,2,724
2,2,3,51,3,668
2,1,3,53,3,727
1,1,2,54,2,675
2,2,2,49,4,755
1,2,6,52,1,719
2,2,6,49,2,785
2,1,6,55,2,803
2,2,2,59,2,521
2,2,3,57,3,521
2,2,2,62,4,538
1,2,1,58,2,522
1,2,2,62,2,561
2,2,6,59,3,523
1,2,5,60,1,579
2,1,5,60,3,531
2,1,5,63,4,593
2,1,5,60,4,537
2,1,1,58,2,648
2,1,4,63,2,561
1,1,4,59,4,652
1,2,5,56,4,592
2,1,5,59,3,654
1,1,5,57,4,637
1,2,3,59,4,665
1,1,7,62,1,691
1,2,7,59,4,681
2,2,6,62,4,724
2,1,5,59,4,763
1,2,1,60,2,758
1,2,7,62,4,782
2,1,1,60,3,763
2,2,5,57,4,789
2,1,7,58,3,808
2,2,3,74,2,520
2,2,6,74,4,521
2,1,6,70,3,531
2,1,6,82,1,522
2,2,5,76,1,537
2,2,7,87,3,530
2,1,4,88,2,538
2,1,4,88,1,533
2,2,5,86,1,539
2,1,6,70,1,538
2,1,3,76,1,543
1,1,3,86,1,539
2,1,4,82,1,547
2,1,7,73,1,540
1,2,3,84,1,549
1,2,3,87,1,541
2,2,5,78,1,550
2,1,3,86,3,542
1,2,1,67,2,562
2,1,1,81,1,550
2,2,7,73,1,572
1,2,4,70,2,586
2,2,7,67,1,597
2,2,1,77,1,593
1,2,7,66,4,598
2,2,5,69,1,625
2,1,5,86,3,626
2,1,7,70,4,631
2,2,3,86,1,633
1,1,4,75,4,649
1,1,4,70,3,648
2,1,6,67,3,652
2,1,7,68,4,651
1,2,4,71,1,652
1,1,6,70,2,654
2,1,5,70,2,653
1,1,3,87,3,671
1,2,3,78,4,655
2,2,3,87,4,671
2,1,4,73,2,671
2,1,4,88,4,686
2,1,2,64,3,693
1,2,7,72,1,708
1,2,6,83,1,707
2,2,7,77,3,715
1,2,6,87,1,714
1,2,4,72,3,717
1,2,5,73,1,719
1,1,2,70,1,725
2,1,2,76,4,725
1,1,3,83,3,726
2,1,1,86,4,726
2,1,2,69,4,753
2,2,7,87,3,727
2,1,1,69,4,762
1,2,4,68,4,766
1,2,6,74,4,781
1,2,7,87,1,783
1,1,6,77,4,818
2,1,6,87,2,785
2,1,6,67,4,868
