EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,EF16U2,LEISTUNGSGRUPPE
29528,2,82,2,24,2,5
29620,1,83,1,16,3,5
29742,2,83,1,28,6,1
29819,1,62,2,12,5,1
29845,1,17,2,12,7,2
29907,1,83,1,13,2,2
29949,1,17,1,32,2,1
30766,2,81,1,29,5,5
30869,2,68,1,14,2,2
30886,1,30,1,18,2,5
30924,1,68,1,9,6,2
31027,2,68,1,18,2,5
31084,2,68,1,0,3,2
31088,2,62,1,11,2,2
31141,2,62,1,47,5,2
31206,2,46,1,0,3,1
31225,2,42,1,30,7,1
35942,1,73,2,15,6,3
36196,1,82,2,58,5,3
36204,2,36,2,24,2,5
36291,2,73,2,39,6,3
36314,1,38,2,15,6,5
36517,2,50,2,14,5,3
37049,2,47,2,14,2,3
37839,1,50,2,4,5,3
38324,2,64,1,58,6,2
38421,1,19,1,4,6,5
38514,2,44,1,51,6,3
38681,1,50,2,58,6,2
38708,1,59,2,58,3,5
41062,1,57,1,52,1,1
41109,1,48,2,29,6,1
41304,1,50,1,5,4,1
42350,2,21,1,5,2,5
45720,1,64,1,58,1,1
46288,1,64,1,5,6,1
46736,1,63,1,39,4,5
47238,1,42,1,58,1,5
47249,1,51,2,14,6,1
47376,1,51,2,6,1,1
47908,2,21,1,58,4,5
48111,2,66,1,5,7,5
48275,1,66,2,58,1,3
49268,2,83,2,43,6,2
49375,2,39,2,43,6,3
49635,1,75,2,14,3,2
50254,2,56,2,6,6,3
50386,1,66,2,14,5,1
50608,1,47,2,6,3,5
50989,1,70,2,14,4,4
51266,2,70,2,15,1,1
51848,2,42,1,38,7,1
52014,1,66,1,55,3,3
52084,1,46,1,34,1,3
52578,1,77,1,13,2,5
55525,2,35,1,5,4,2
56328,1,17,1,42,6,4
56330,1,35,1,49,6,4
56358,2,59,1,35,3,1
56429,2,41,1,49,3,4
56533,1,40,2,14,3,4
56712,1,60,2,35,5,4
57110,2,32,2,42,1,4
57308,1,71,1,14,4,4
59938,2,71,2,43,1,4
59985,1,32,1,50,4,4
60137,1,45,2,43,1,2
60286,1,40,1,43,3,1
60507,2,87,2,50,1,2
61068,1,37,1,43,7,1
61990,2,19,2,12,4,2
62861,1,74,1,27,2,5
63124,1,20,2,7,2,5
63280,1,66,2,35,1,1
64374,1,47,1,29,1,1
64416,2,74,2,15,4,1
65075,1,35,2,27,2,2
65786,2,21,2,32,2,5
68161,2,46,2,31,2,4
69225,1,31,1,31,4,4
69420,2,40,1,9,2,4
73974,2,20,1,3,2,5
74122,1,17,1,39,2,4
74335,2,67,2,59,2,5
75307,2,35,2,28,2,3
75354,2,52,1,23,2,4
75473,1,17,2,9,2,3
75584,2,52,1,59,4,3
76534,1,30,1,35,7,5
78408,2,73,2,2,2,4
78866,2,78,2,32,5,3
80137,1,35,2,30,2,4
80178,1,53,1,30,5,3
80819,2,66,1,61,5,3
84993,1,43,2,23,5,4
85001,1,33,2,31,7,5
85016,1,90,2,20,5,4
85190,1,36,2,53,4,5
85346,2,21,2,23,5,3
85373,1,42,2,53,7,3
85463,1,70,2,31,4,3
85499,2,70,1,23,7,5
85508,1,41,2,9,7,4
85900,2,31,2,60,4,5
86227,2,31,2,37,7,5
86460,2,64,1,52,5,5
86624,2,90,1,46,4,1
87040,2,65,1,46,5,4
87253,2,30,1,9,7,5
87502,2,67,1,46,5,3
89348,1,35,1,10,6,1
92269,2,20,1,7,6,1
92335,2,34,1,47,1,1
92377,1,35,1,53,4,1
92599,1,41,1,47,7,5
92965,1,51,1,53,6,1
92990,2,66,1,53,7,3
92998,1,78,1,47,6,5
93086,1,57,1,2,5,1
93412,1,35,2,63,5,5
93513,2,57,1,53,6,1
93539,1,52,2,47,7,3
93679,2,49,2,21,7,1
93725,2,90,1,37,4,5
93761,2,32,2,4,4,1
93884,1,90,2,53,1,1
94184,1,67,2,39,6,1
94197,2,68,2,21,6,1
94229,2,88,2,46,3,3
94260,1,56,2,11,7,3
94276,2,69,1,46,3,2
94312,2,90,1,46,3,2
94315,2,56,1,46,6,2
94346,1,54,1,46,3,3
94527,1,37,1,53,3,5
94527,1,90,1,29,7,2
94601,1,68,1,46,3,2
94853,1,37,2,63,3,2
94861,2,19,1,61,3,2
94963,1,57,2,29,3,2
95025,1,34,2,46,1,5
95099,1,40,2,46,5,2
95244,1,44,2,29,3,5
95369,2,76,1,46,3,2
95518,2,57,2,46,5,2
95591,2,57,2,46,4,2
95650,2,19,2,5,6,4
95806,2,57,2,29,6,4
95822,1,57,2,5,3,4
95855,1,57,1,5,7,5
95863,2,42,2,46,1,4
96043,2,40,1,46,3,3
96216,1,55,2,57,1,4
98359,2,63,2,54,1,4
98436,2,46,1,32,1,4
98594,2,71,1,9,5,5
98667,2,62,2,14,3,2
98815,2,15,1,9,1,2
98914,2,41,2,2,1,5
99237,2,73,2,4,5,5
99297,2,18,2,52,4,1
100090,2,79,2,14,5,1
101806,2,32,1,25,4,1
101814,2,32,1,56,1,1
101828,2,77,1,25,5,1
101851,2,78,1,59,5,5
101898,2,71,1,49,4,5
102073,1,62,1,33,5,5
102280,1,22,1,39,1,5
103313,1,70,1,23,1,1
103371,1,62,2,10,1,1
103715,1,55,2,38,6,1
103743,1,61,2,24,1,4
103902,1,80,2,4,1,4
104124,1,67,2,48,1,1
104628,1,78,2,48,5,1
104838,1,78,2,62,3,1
105229,1,87,2,15,6,2
105906,1,51,2,20,5,2
106219,1,70,2,52,5,5
106253,1,64,2,18,5,4
106444,1,64,2,24,5,4
106490,1,61,2,6,5,2
107570,1,61,2,9,6,3
107588,1,83,1,0,6,1
107629,2,32,2,13,4,1
107646,1,32,2,0,3,1
107713,1,52,1,20,3,3
107751,1,35,2,50,3,4
107829,1,35,2,38,4,4
107845,2,44,1,35,4,4
107873,1,32,2,23,3,1
112744,1,32,1,53,3,3
113025,1,82,1,50,3,1
113073,2,32,1,50,3,5
113147,1,51,1,23,6,4
113254,1,63,1,23,6,1
113900,1,63,1,52,4,3
114145,2,47,1,51,3,5
114214,2,47,1,9,3,3
114250,2,81,1,51,6,3
114728,2,50,2,3,6,5
114783,2,46,1,57,7,5
114881,2,37,2,19,7,4
114934,1,31,2,12,7,5
115023,2,31,1,35,7,3
117348,2,46,2,15,6,3
117672,2,37,2,50,3,5
117826,1,69,1,55,6,4
118227,1,19,1,55,7,5
118582,1,20,1,55,7,3
118957,2,58,1,37,3,3
118976,1,69,1,19,7,3
118980,1,39,2,36,7,3
119056,2,21,1,34,7,4
119318,1,38,2,27,6,3
119347,1,30,1,21,2,3
119356,1,22,1,3,3,3
119386,1,30,2,48,6,2
119501,2,85,2,56,6,2
119502,2,49,2,51,2,5
119597,2,17,2,20,2,5
119746,2,38,2,57,6,5
119776,1,75,2,10,6,4
119782,1,18,2,51,6,2
125000,2,29,1,38,4,2
125221,2,29,1,8,1,2
125282,2,66,1,20,4,4
125402,2,17,1,22,4,4
125758,1,15,1,63,4,2
125840,1,17,1,3,2,2
125954,1,53,1,23,4,2
125963,1,30,1,52,4,2
126242,1,19,1,8,4,2
126327,1,29,1,35,4,4
126755,2,20,2,52,4,2
126944,1,71,2,54,4,3
127003,2,18,2,15,2,2
127109,2,30,2,37,2,2
127166,2,29,2,27,2,2
127337,1,37,2,27,7,3
127348,1,21,2,15,1,1
127412,1,53,2,7,1,1
127500,2,31,2,24,1,3
127536,2,87,2,13,3,3
127678,2,71,2,7,3,1
127835,2,31,2,24,7,1
127892,1,20,2,9,1,4
127933,2,67,2,24,7,4
127956,2,67,2,27,7,3
129210,2,15,2,53,7,4
129605,2,31,2,34,3,4
129900,1,46,2,3,3,3
129901,2,80,2,54,3,1
130564,2,57,2,34,3,3
130801,2,80,2,49,1,1
130934,2,59,2,21,1,1
131492,2,75,2,0,2,1
131862,1,87,2,49,2,1
132104,2,60,1,51,2,2
132152,2,18,1,46,2,2
132175,1,62,1,49,4,2
132896,2,83,2,4,2,1
132964,1,55,1,46,2,2
132982,1,39,1,0,1,2
132992,1,55,2,20,1,2
137149,2,42,1,2,1,1
138050,1,42,1,56,1,4
138795,2,69,1,23,1,4
138829,2,17,1,50,4,4
139337,2,42,2,27,7,4
139523,2,40,2,30,7,4
139618,1,49,2,57,4,4
139972,2,17,2,29,1,4
140403,2,33,2,29,3,4
143316,2,35,2,29,3,4
145424,1,40,1,33,3,4
145430,1,67,2,50,3,4
145557,1,42,1,10,3,1
145560,2,39,1,56,2,4
145690,1,16,1,0,7,4
146041,2,34,2,28,7,1
146209,1,18,2,50,1,1
146227,2,53,1,46,3,4
146333,2,29,2,0,7,4
146582,2,80,2,34,3,4
146831,2,29,1,0,1,4
146887,2,29,1,21,1,4
146898,1,87,1,26,1,1
146966,1,34,1,33,6,1
147286,1,59,2,56,3,5
147348,1,80,1,48,2,5
148515,2,59,2,24,1,5
148521,2,87,1,48,2,5
148528,2,14,1,25,2,5
148539,2,29,1,32,7,1
148563,2,80,2,58,3,1
148573,1,29,2,12,3,5
148589,1,53,1,51,3,5
148648,1,30,1,24,6,5
148764,1,32,1,32,6,2
148788,1,60,1,51,2,1
148828,2,29,1,18,7,1
148834,2,74,1,27,1,3
148842,1,70,1,3,1,5
148845,1,60,2,2,1,5
148855,2,78,1,48,2,5
148872,2,30,2,58,2,5
148918,2,50,2,58,6,5
148978,1,83,2,44,6,5
148984,1,50,1,31,3,4
153606,1,58,1,0,2,5
153754,1,35,2,30,6,5
153813,1,31,1,33,1,3
154042,1,31,1,45,2,5
154275,2,86,1,12,1,5
154467,2,14,1,58,1,5
154468,1,71,2,3,1,5
154504,1,80,2,33,1,5
154525,1,54,2,14,1,3
154532,1,55,2,35,1,3
154546,1,31,2,35,6,2
154549,1,53,2,16,6,1
154628,1,53,2,58,3,1
154643,1,54,2,30,3,1
154832,1,55,2,33,6,1
154882,1,83,2,18,2,2
154913,1,31,2,33,3,2
155204,1,15,2,0,5,1
155323,1,71,2,42,5,1
155427,1,49,2,29,6,3
155437,1,83,2,5,6,4
155451,1,62,1,3,6,4
155456,2,43,2,43,5,4
155541,1,87,2,3,7,3
155641,1,34,2,17,5,3
155996,1,90,2,57,5,3
156765,1,32,2,2,5,4
156777,1,85,1,35,7,3
156916,1,79,2,47,5,2
157128,1,86,1,35,5,2
157148,2,85,1,2,5,4
157819,2,86,1,12,6,2
158084,1,15,2,56,6,4
158389,1,62,2,16,5,4
158420,2,88,2,33,5,4
158460,2,74,2,44,5,3
158492,2,78,1,43,5,1
158587,2,57,1,48,4,1
158748,2,66,1,29,6,1
159138,2,74,1,15,4,1
159246,1,28,1,33,7,1
159493,1,27,1,33,6,3
161409,1,67,1,43,7,1
162834,2,44,1,7,7,1
162880,2,87,1,24,4,4
163722,1,29,1,35,7,1
163752,1,75,1,7,7,1
164896,1,25,2,63,1,2
164964,1,47,1,27,5,3
164977,1,89,1,60,1,2
165044,1,87,1,62,7,3
165097,1,59,1,63,5,4
165216,1,15,2,26,5,5
165221,1,87,1,27,6,5
165233,1,89,1,17,6,1
165257,1,15,2,24,5,5
165264,1,59,2,9,3,2
165270,1,86,2,53,2,2
165342,1,16,1,19,3,1
165397,1,30,2,29,5,1
165428,2,38,1,41,3,5
165517,2,86,1,63,3,1
165557,1,77,1,28,5,2
165560,1,47,2,42,3,2
165573,2,67,2,26,2,3
165708,2,86,2,29,2,2
165710,2,86,2,28,6,5
165715,2,25,2,63,3,4
165781,1,34,2,53,6,3
165863,2,29,1,60,3,4
165883,2,85,1,55,1,4
169826,2,85,1,61,5,2
170406,1,66,2,41,6,5
171572,2,66,1,55,7,4
171888,2,38,1,14,6,1
172112,1,15,2,47,6,3
172926,2,15,1,55,5,3
173554,2,30,1,22,5,3
173654,2,38,2,53,5,4
173834,2,66,1,53,1,4
176266,2,45,2,22,7,4
176755,1,14,1,44,6,4
178076,1,77,1,55,5,3
178111,1,17,2,22,4,4
178598,1,77,1,17,3,4
178839,1,66,1,10,2,1
179180,1,66,1,28,3,1
179321,2,22,1,43,7,5
179352,2,20,1,47,1,5
179547,2,38,1,52,7,1
180172,1,77,1,52,3,1
180219,2,73,2,60,1,3
182653,2,77,2,28,2,1
182746,2,69,2,15,4,5
182920,2,14,1,61,4,4
183247,2,47,1,47,1,1
183519,1,25,1,42,2,1
184415,2,18,1,53,2,4
184468,1,45,1,14,1,1
184597,1,18,1,14,4,1
184650,1,14,1,44,4,3
188512,1,22,1,45,7,3
189171,2,41,2,13,2,5
193042,2,42,2,53,4,3
193173,1,29,2,46,1,5
193539,1,73,2,52,1,3
194406,2,16,2,62,1,3
196740,2,14,2,25,1,3
197298,2,83,2,62,3,2
197439,2,26,2,26,3,2
197465,1,23,1,41,3,3
197544,1,83,2,26,5,4
197646,1,50,1,41,3,4
198016,1,74,2,62,5,4
198083,1,48,1,18,5,4
198999,1,16,2,0,3,3
199255,1,73,2,33,1,4
199529,2,29,2,1,7,3
199549,1,40,1,1,5,2
199553,2,16,1,33,1,4
201112,2,46,2,18,3,5
201432,1,81,2,30,1,5
202187,1,22,2,26,7,4
202381,2,22,1,35,3,2
202876,2,73,1,19,1,2
203049,2,21,1,19,2,2
203866,2,87,1,33,1,4
204170,1,31,1,2,5,4
204314,1,45,1,43,2,4
204858,1,82,2,47,2,1
204887,1,54,2,35,6,1
205103,1,24,2,47,5,5
205751,1,24,2,42,5,3
205785,2,49,2,53,5,1
205951,2,82,2,24,5,5
207465,2,34,2,61,7,1
207793,2,60,2,2,2,2
208162,1,56,1,2,7,3
208526,2,56,1,52,5,1
208764,2,56,1,48,5,1
211134,1,14,1,19,2,1
211173,2,79,1,3,6,1
211478,2,80,1,40,6,5
211495,2,81,2,33,6,1
211503,1,78,1,2,2,3
211764,1,78,1,42,6,1
211769,1,81,1,17,1,3
211811,1,79,2,24,6,5
212276,1,81,2,63,1,3
212357,1,20,2,42,1,3
212373,2,20,2,33,7,5
212395,1,61,2,17,1,2
212631,1,48,2,0,7,3
213030,2,66,1,3,7,2
213189,1,66,1,48,7,5
213559,1,72,1,19,2,5
213736,2,79,1,42,2,4
214063,1,73,1,2,5,4
214099,1,55,1,40,5,4
214147,2,79,1,0,7,4
214244,2,40,1,18,7,2
214728,1,60,1,30,7,3
216024,1,48,1,42,7,5
216211,1,33,1,50,7,5
216445,1,39,1,60,7,3
216588,2,44,1,18,2,3
216761,1,20,1,42,5,3
216854,2,49,1,52,7,3
221228,2,62,2,18,4,4
221394,2,26,2,50,4,3
221467,1,50,2,27,4,3
222824,2,51,1,18,2,2
223297,2,65,1,44,6,2
223315,2,18,1,56,6,3
223364,2,67,2,56,4,5
223430,1,20,1,56,6,3
224248,1,64,1,1,4,1
226320,1,64,1,3,4,1
226541,1,84,1,57,4,2
226668,2,31,1,47,2,2
226771,2,36,2,5,4,2
226876,2,17,2,47,6,1
226888,2,84,2,47,4,1
226918,2,65,2,44,6,1
227241,1,22,2,56,6,2
227285,2,64,2,57,5,4
227294,2,31,2,43,2,1
227315,1,16,2,44,6,1
229445,2,83,1,3,6,3
229601,1,22,1,55,3,3
229605,2,22,1,53,3,3
229711,2,22,1,56,3,1
229945,2,87,1,39,1,4
230207,2,19,1,2,5,1
230226,2,65,1,39,1,3
230529,2,42,1,48,3,4
230566,1,81,1,56,7,4
230720,1,81,1,30,3,4
231256,2,81,1,56,3,3
231310,1,65,1,36,3,3
231689,1,82,1,0,7,4
232090,1,49,1,29,6,3
233605,1,66,1,24,5,3
234129,1,63,1,16,6,4
234219,1,53,1,29,2,2
234568,2,60,2,57,2,1
234977,2,20,2,54,2,2
235133,1,64,2,57,7,5
235204,1,59,2,37,3,3
235327,2,44,2,57,6,4
235487,2,44,2,16,6,1
235494,1,84,2,29,7,1
235864,2,32,2,7,1,1
236749,2,32,2,57,6,1
236985,1,20,2,57,7,5
237055,2,20,2,34,7,2
237385,2,37,2,57,4,2
240671,2,86,1,56,6,5
240704,2,86,2,17,5,5
240773,2,86,2,56,1,5
240779,1,64,2,48,5,5
241001,2,41,2,16,4,5
241090,2,54,1,17,4,5
241091,1,54,1,2,4,5
241126,2,64,2,29,2,5
241945,2,53,2,16,2,5
242520,2,46,1,35,4,1
243029,1,46,2,57,2,5
243307,2,35,1,32,1,1
243753,1,60,1,57,7,5
244578,1,16,1,32,5,5
244609,1,16,1,35,1,2
245000,1,15,2,57,5,5
246559,1,59,2,51,7,4
247242,1,62,1,51,2,4
247428,2,40,1,54,5,4
248623,2,36,2,29,1,1
249863,2,44,2,14,5,3
250000,2,44,1,14,6,4
250078,2,60,1,14,6,4
250099,2,36,2,50,3,1
250144,1,59,1,14,2,4
250222,2,59,2,30,3,4
250560,2,20,1,35,7,1
250625,1,36,1,36,2,1
250708,2,45,2,14,7,1
250714,1,49,1,35,3,1
250809,1,50,1,51,6,1
250815,2,49,1,32,1,4
251188,2,49,1,14,4,3
251361,1,18,1,14,6,4
251369,2,18,2,14,1,4
251593,2,49,2,14,2,1
251690,1,49,2,36,6,1
251853,1,81,2,14,1,3
251889,2,81,1,51,1,3
254342,2,81,2,14,6,4
254817,2,19,1,4,1,1
255197,2,35,2,14,1,1
255284,2,63,2,14,6,1
255605,1,37,2,31,7,2
255831,1,47,2,14,3,1
258096,2,47,1,24,5,1
258232,1,18,2,1,5,2
258287,1,37,1,32,3,3
258682,1,37,2,19,2,3
259074,1,37,2,32,2,2
259094,1,37,2,39,6,1
259149,2,42,2,14,6,4
259612,2,84,1,14,3,2
259613,1,84,2,14,3,2
259704,2,51,2,34,3,2
259806,1,40,2,17,4,4
260002,1,47,2,14,6,2
262426,1,29,1,29,1,4
262730,1,15,2,15,3,4
262761,1,87,1,1,3,5
262845,1,15,2,3,1,4
262889,1,73,1,3,7,1
262904,1,50,2,21,1,5
262922,2,87,2,15,3,5
262945,2,74,2,1,3,1
262971,2,74,2,15,6,4
263119,1,73,1,22,6,1
263156,2,74,2,22,3,2
265258,2,83,2,0,5,5
265336,2,75,2,19,1,2
265338,1,31,1,31,7,2
265352,1,65,2,14,3,1
265455,2,64,2,22,6,2
265488,2,36,2,58,1,1
265532,2,41,1,14,6,2
265748,1,64,1,14,3,1
265790,2,78,1,1,6,5
265999,1,65,1,17,1,5
266202,2,65,1,1,1,5
266340,1,78,1,14,5,5
266699,2,16,1,56,5,1
267374,2,14,1,57,5,5
267609,2,47,1,54,3,1
268131,2,15,2,6,7,1
268345,1,64,2,58,5,1
268474,1,15,2,10,7,5
268544,1,67,2,44,7,5
268571,1,67,2,59,7,2
268749,1,67,2,56,1,2
268830,1,67,2,44,1,2
268927,1,44,1,56,7,2
269256,1,76,2,30,3,2
269408,1,67,2,22,7,4
269668,1,81,2,6,7,4
269827,1,83,2,48,7,4
269864,1,46,1,10,7,4
269891,1,66,2,56,3,2
270035,1,83,2,48,3,4
270117,2,50,1,44,3,4
270160,2,90,2,30,3,2
270175,2,54,2,17,7,2
270298,2,83,1,55,3,4
270542,2,18,2,37,3,4
270578,2,14,2,54,3,4
270845,2,35,2,39,6,4
271210,2,86,2,39,5,4
275276,2,83,2,19,2,4
275390,2,50,2,28,4,3
278908,1,14,2,2,1,3
280581,2,16,2,37,4,3
280678,2,59,2,11,4,3
280680,2,44,2,57,5,3
280727,2,59,2,13,1,5
281411,2,19,1,45,2,5
281755,1,59,1,13,2,3
281971,2,59,1,18,4,3
282179,2,82,1,57,6,3
282745,2,86,1,18,4,5
282941,2,57,1,18,3,3
283321,1,75,1,6,3,4
283416,1,39,1,18,4,5
283480,1,86,1,6,4,5
283512,1,32,1,30,4,3
283650,1,39,1,31,2,3
283754,1,57,1,52,1,4
283770,1,59,1,22,4,3
283971,1,75,1,31,3,4
284004,1,56,1,29,2,4
284177,2,59,1,58,5,3
284199,2,30,1,30,3,2
284217,2,56,1,29,4,2
284628,2,28,2,30,4,3
284646,2,30,2,29,5,2
287357,2,89,2,0,4,5
287443,2,73,2,1,2,2
288261,1,24,2,44,2,3
288329,2,54,1,37,2,2
288533,2,48,2,44,1,3
289196,2,80,2,44,6,3
289474,1,50,2,13,5,4
290617,2,78,2,44,6,5
290855,2,37,2,23,5,5
290910,2,87,2,4,5,3
291018,2,59,2,0,6,2
291320,1,26,2,15,1,2
291436,1,80,2,58,1,4
291741,2,42,2,29,5,2
291930,2,48,1,4,2,4
292001,2,28,1,37,6,4
292086,2,59,1,46,6,4
292153,2,53,1,11,6,4
292490,2,87,1,4,2,4
292569,1,83,2,58,5,2
292848,1,59,2,52,4,2
295496,1,71,2,19,4,2
295719,1,90,1,23,3,2
299261,2,57,2,35,5,5
299313,1,56,2,33,4,2
299656,2,59,1,41,3,2
300342,2,71,1,34,3,2
301884,1,57,1,21,3,2
302831,2,42,1,23,4,3
302885,2,42,1,34,4,3
303271,2,70,1,61,2,3
303898,2,46,1,23,3,3
303937,2,62,1,27,5,3
304881,2,42,1,61,5,3
305613,1,45,1,61,4,3
305693,1,80,2,55,5,5
306905,1,24,1,27,4,3
307711,2,70,2,13,3,3
308410,2,21,2,50,4,2
308574,1,41,1,14,7,3
308895,2,49,1,17,3,1
309072,1,46,2,62,5,5
310421,2,19,2,36,6,1
310634,2,30,1,36,4,1
310878,1,69,1,53,6,5
310943,1,69,1,39,6,1
311018,1,41,2,36,6,1
311127,1,69,1,9,5,4
311216,2,69,2,39,6,1
311388,2,81,2,35,6,4
311515,1,21,2,35,3,1
311533,1,85,1,29,6,5
311566,1,78,1,53,6,5
311570,2,78,2,38,2,4
311651,2,27,1,63,4,4
314488,2,25,1,20,6,4
314534,1,49,1,49,2,4
315025,2,78,1,48,2,4
315037,2,87,1,22,2,1
315247,2,36,1,63,6,1
315521,2,36,1,51,5,2
315717,1,39,1,27,6,2
316106,2,39,1,41,6,4
316219,2,30,2,23,6,2
316258,2,14,2,29,2,2
316542,2,17,2,41,6,4
316561,2,39,2,25,5,2
316906,2,54,2,27,7,5
317038,2,39,2,12,6,4
317158,2,20,2,23,6,2
317227,2,39,2,9,6,2
317407,1,39,2,29,2,4
318127,2,20,2,14,6,2
318940,1,89,2,28,1,4
319389,1,38,2,14,7,1
322708,1,38,2,28,1,2
322784,1,20,2,62,5,4
322843,1,47,2,50,6,2
322847,1,38,2,10,5,3
322860,1,14,1,62,1,1
322951,1,18,2,36,5,1
322963,1,63,1,42,5,1
323122,1,83,1,61,6,1
323194,1,39,1,62,6,3
323257,1,87,1,42,1,1
323306,1,78,1,42,1,1
323340,1,39,1,28,3,1
323516,2,81,2,18,1,1
323602,1,14,1,63,2,1
323634,1,31,1,63,3,4
323787,2,49,1,28,2,5
323823,2,56,1,15,3,4
323836,1,24,1,43,3,4
323852,2,81,1,39,3,4
323966,2,50,2,62,7,4
324054,2,20,2,43,3,5
324088,1,76,2,28,2,4
324158,1,60,2,37,2,5
324209,1,77,2,32,3,4
324293,1,39,2,50,2,4
324296,1,77,2,37,3,4
324344,1,60,1,33,7,4
324387,1,59,1,43,2,4
324433,1,50,2,61,1,3
324485,2,62,1,39,6,3
328660,2,75,1,57,4,3
329325,2,76,1,23,6,3
333634,1,21,1,20,3,4
334137,1,84,2,23,6,4
334228,2,56,2,42,5,4
334286,1,47,2,57,5,4
334581,2,31,1,5,4,4
334589,1,64,2,42,6,4
334595,1,29,2,4,6,4
334867,2,71,2,26,2,1
336057,2,61,2,14,3,5
336309,1,62,2,5,4,1
336337,2,51,2,33,6,1
339997,2,31,2,40,5,4
340430,2,54,2,1,6,4
340795,2,86,2,35,5,4
341097,1,29,2,52,6,5
341509,1,75,1,26,1,5
342215,1,51,1,23,4,3
342477,2,47,2,23,4,1
343228,1,75,1,5,5,3
344551,2,49,1,58,4,4
345102,1,29,1,58,6,5
345249,2,31,1,58,4,4
345327,2,60,1,14,4,4
345804,2,24,1,9,2,4
346108,2,15,1,58,6,3
346398,2,21,1,40,2,1
347030,2,50,2,40,3,3
347389,1,21,1,32,5,1
348124,1,31,1,35,1,4
350281,1,16,2,52,5,5
350764,2,47,2,15,6,3
350786,1,62,1,9,7,3
350917,1,20,2,6,4,5
351146,2,53,1,35,5,4
351161,2,19,1,15,2,2
351267,1,47,2,42,2,4
351443,2,62,2,41,5,2
351524,2,24,2,15,5,4
351588,2,19,2,5,6,1
351602,1,64,1,15,3,4
351671,2,69,2,2,1,3
352140,1,65,1,14,5,4
352141,1,71,2,15,5,3
353211,1,56,1,33,3,2
353529,1,84,1,33,3,1
357888,2,84,2,23,6,3
357891,1,61,1,4,1,4
357938,2,78,2,34,1,1
357956,2,50,1,10,7,5
357969,2,62,2,42,3,1
358076,1,69,2,5,1,1
358209,2,14,1,24,6,4
358268,2,44,1,23,6,5
358316,2,69,1,23,7,5
358324,1,61,1,33,7,3
360486,2,72,1,40,1,4
360777,1,23,1,35,7,1
361248,1,15,1,2,6,5
361480,2,83,1,33,3,2
361916,2,17,1,40,6,1
362166,2,46,1,36,5,3
362233,1,62,2,14,6,2
362446,2,60,2,42,6,2
363032,1,17,2,42,2,3
363305,2,17,2,38,5,4
363306,2,55,2,48,3,2
363393,2,51,2,41,2,2
364920,1,87,2,16,1,2
365470,2,87,1,48,7,4
365487,2,29,1,42,5,3
365821,2,87,2,16,5,4
366203,2,29,2,54,2,3
367167,2,83,2,19,2,2
367233,2,35,2,19,2,2
367349,2,54,2,56,7,3
