EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,EF16U2,LEISTUNGSGRUPPE,TAETIGKEITSSCHLUESSEL5
85016,1,90,2,20,5,4,2
85190,1,36,2,53,4,5,2
85346,2,21,2,23,5,3,2
85373,1,42,2,53,7,3,3
85463,1,70,2,31,4,3,4
85499,2,70,1,23,7,5,3
85508,1,41,2,9,7,4,4
85900,2,31,2,60,4,5,4
86227,2,31,2,37,7,5,4
86460,2,64,1,52,5,5,4
86624,2,90,1,46,4,1,2
87040,2,65,1,46,5,4,3
87253,2,30,1,9,7,5,2
87502,2,67,1,46,5,3,3
89348,1,35,1,10,6,1,3
92269,2,20,1,7,6,1,3
92335,2,34,1,47,1,1,3
92377,1,35,1,53,4,1,2
92599,1,41,1,47,7,5,2
92965,1,51,1,53,6,1,2
92990,2,66,1,53,7,3,2
92998,1,78,1,47,6,5,4
93086,1,57,1,2,5,1,2
93412,1,35,2,63,5,5,3
93513,2,57,1,53,6,1,2
93539,1,52,2,47,7,3,2
93679,2,49,2,21,7,1,4
93725,2,90,1,37,4,5,2
93761,2,32,2,4,4,1,4
93884,1,90,2,53,1,1,4
94184,1,67,2,39,6,1,2
94197,2,68,2,21,6,1,4
94229,2,88,2,46,3,3,3
94260,1,56,2,11,7,3,4
94276,2,69,1,46,3,2,1
94312,2,90,1,46,3,2,1
94315,2,56,1,46,6,2,4
94346,1,54,1,46,3,3,1
94527,1,37,1,53,3,5,1
94527,1,90,1,29,7,2,1
94601,1,68,1,46,3,2,1
94853,1,37,2,63,3,2,1
94861,2,19,1,61,3,2,1
94963,1,57,2,29,3,2,3
95025,1,34,2,46,1,5,3
95099,1,40,2,46,5,2,3
95244,1,44,2,29,3,5,3
95369,2,76,1,46,3,2,3
95518,2,57,2,46,5,2,4
95591,2,57,2,46,4,2,1
95650,2,19,2,5,6,4,4
95806,2,57,2,29,6,4,3
95822,1,57,2,5,3,4,3
95855,1,57,1,5,7,5,3
95863,2,42,2,46,1,4,3
96043,2,40,1,46,3,3,3
96216,1,55,2,57,1,4,4
98359,2,63,2,54,1,4,4
98436,2,46,1,32,1,4,1
98594,2,71,1,9,5,5,1
98667,2,62,2,14,3,2,4
98815,2,15,1,9,1,2,1
98914,2,41,2,2,1,5,4
99237,2,73,2,4,5,5,4
99297,2,18,2,52,4,1,1
100090,2,79,2,14,5,1,1
101806,2,32,1,25,4,1,1
101814,2,32,1,56,1,1,1
101828,2,77,1,25,5,1,4
101851,2,78,1,59,5,5,4
101898,2,71,1,49,4,5,1
102073,1,62,1,33,5,5,1
102280,1,22,1,39,1,5,1
103313,1,70,1,23,1,1,2
103371,1,62,2,10,1,1,2
103715,1,55,2,38,6,1,2
103743,1,61,2,24,1,4,3
103902,1,80,2,4,1,4,2
104124,1,67,2,48,1,1,2
104628,1,78,2,48,5,1,4
104838,1,78,2,62,3,1,2
105229,1,87,2,15,6,2,2
105906,1,51,2,20,5,2,2
106219,1,70,2,52,5,5,2
106253,1,64,2,18,5,4,2
106444,1,64,2,24,5,4,2
106490,1,61,2,6,5,2,4
107570,1,61,2,9,6,3,1
107588,1,83,1,0,6,1,4
107629,2,32,2,13,4,1,3
107646,1,32,2,0,3,1,4
107713,1,52,1,20,3,3,3
107751,1,35,2,50,3,4,1
107829,1,35,2,38,4,4,3
107845,2,44,1,35,4,4,1
107873,1,32,2,23,3,1,1
112744,1,32,1,53,3,3,3
113025,1,82,1,50,3,1,1
113073,2,32,1,50,3,5,1
113147,1,51,1,23,6,4,4
113254,1,63,1,23,6,1,1
113900,1,63,1,52,4,3,4
114145,2,47,1,51,3,5,3
114214,2,47,1,9,3,3,4
114250,2,81,1,51,6,3,3
114728,2,50,2,3,6,5,3
114783,2,46,1,57,7,5,4
114881,2,37,2,19,7,4,3
114934,1,31,2,12,7,5,1
115023,2,31,1,35,7,3,1
117348,2,46,2,15,6,3,4
117672,2,37,2,50,3,5,1
117826,1,69,1,55,6,4,1
118227,1,19,1,55,7,5,4
118582,1,20,1,55,7,3,2
118957,2,58,1,37,3,3,2
118976,1,69,1,19,7,3,2
118980,1,39,2,36,7,3,2
119056,2,21,1,34,7,4,2
119318,1,38,2,27,6,3,2
119347,1,30,1,21,2,3,2
119356,1,22,1,3,3,3,3
119386,1,30,2,48,6,2,2
119501,2,85,2,56,6,2,1
119502,2,49,2,51,2,5,4
119597,2,17,2,20,2,5,4
119746,2,38,2,57,6,5,4
119776,1,75,2,10,6,4,1
119782,1,18,2,51,6,2,4
125000,2,29,1,38,4,2,2
125221,2,29,1,8,1,2,2
125282,2,66,1,20,4,4,3
125402,2,17,1,22,4,4,2
125758,1,15,1,63,4,2,2
125840,1,17,1,3,2,2,2
125954,1,53,1,23,4,2,1
125963,1,30,1,52,4,2,1
126242,1,19,1,8,4,2,2
126327,1,29,1,35,4,4,4
126755,2,20,2,52,4,2,4
126944,1,71,2,54,4,3,4
127003,2,18,2,15,2,2,4
127109,2,30,2,37,2,2,4
127166,2,29,2,27,2,2,4
127337,1,37,2,27,7,3,3
127348,1,21,2,15,1,1,4
127412,1,53,2,7,1,1,4
127500,2,31,2,24,1,3,4
127536,2,87,2,13,3,3,4
127678,2,71,2,7,3,1,4
127835,2,31,2,24,7,1,1
127892,1,20,2,9,1,4,3
127933,2,67,2,24,7,4,1
127956,2,67,2,27,7,3,1
129210,2,15,2,53,7,4,4
129605,2,31,2,34,3,4,4
129900,1,46,2,3,3,3,1
129901,2,80,2,54,3,1,1
130564,2,57,2,34,3,3,1
130801,2,80,2,49,1,1,1
130934,2,59,2,21,1,1,1
131492,2,75,2,0,2,1,4
131862,1,87,2,49,2,1,3
132104,2,60,1,51,2,2,1
132152,2,18,1,46,2,2,1
132175,1,62,1,49,4,2,4
132896,2,83,2,4,2,1,1
132964,1,55,1,46,2,2,1
132982,1,39,1,0,1,2,4
132992,1,55,2,20,1,2,4
137149,2,42,1,2,1,1,4
138050,1,42,1,56,1,4,4
138795,2,69,1,23,1,4,1
138829,2,17,1,50,4,4,3
139337,2,42,2,27,7,4,1
139523,2,40,2,30,7,4,1
139618,1,49,2,57,4,4,1
139972,2,17,2,29,1,4,3
140403,2,33,2,29,3,4,1
143316,2,35,2,29,3,4,1
145424,1,40,1,33,3,4,1
145430,1,67,2,50,3,4,3
145557,1,42,1,10,3,1,1
145560,2,39,1,56,2,4,2
145690,1,16,1,0,7,4,2
146041,2,34,2,28,7,1,2
146209,1,18,2,50,1,1,3
146227,2,53,1,46,3,4,2
146333,2,29,2,0,7,4,2
146582,2,80,2,34,3,4,2
146831,2,29,1,0,1,4,3
146887,2,29,1,21,1,4,2
146898,1,87,1,26,1,1,2
146966,1,34,1,33,6,1,2
147286,1,59,2,56,3,5,1
147348,1,80,1,48,2,5,1
148515,2,59,2,24,1,5,2
148521,2,87,1,48,2,5,2
148528,2,14,1,25,2,5,2
148539,2,29,1,32,7,1,2
148563,2,80,2,58,3,1,3
148573,1,29,2,12,3,5,1
148589,1,53,1,51,3,5,3
148648,1,30,1,24,6,5,3
148764,1,32,1,32,6,2,3
148788,1,60,1,51,2,1,3
148828,2,29,1,18,7,1,3
148834,2,74,1,27,1,3,3
148842,1,70,1,3,1,5,3
148845,1,60,2,2,1,5,3
148855,2,78,1,48,2,5,3
148872,2,30,2,58,2,5,4
148918,2,50,2,58,6,5,3
148978,1,83,2,44,6,5,4
148984,1,50,1,31,3,4,4
153606,1,58,1,0,2,5,4
153754,1,35,2,30,6,5,4
153813,1,31,1,33,1,3,4
154042,1,31,1,45,2,5,4
154275,2,86,1,12,1,5,4
154467,2,14,1,58,1,5,4
154468,1,71,2,3,1,5,4
154504,1,80,2,33,1,5,4
154525,1,54,2,14,1,3,3
154532,1,55,2,35,1,3,3
154546,1,31,2,35,6,2,3
154549,1,53,2,16,6,1,1
154628,1,53,2,58,3,1,2
154643,1,54,2,30,3,1,2
154832,1,55,2,33,6,1,1
154882,1,83,2,18,2,2,1
154913,1,31,2,33,3,2,2
155204,1,15,2,0,5,1,2
155323,1,71,2,42,5,1,2
155427,1,49,2,29,6,3,1
155437,1,83,2,5,6,4,1
155451,1,62,1,3,6,4,1
155456,2,43,2,43,5,4,1
155541,1,87,2,3,7,3,1
155641,1,34,2,17,5,3,4
155996,1,90,2,57,5,3,4
156765,1,32,2,2,5,4,4
156777,1,85,1,35,7,3,1
156916,1,79,2,47,5,2,1
157128,1,86,1,35,5,2,1
157148,2,85,1,2,5,4,1
157819,2,86,1,12,6,2,4
158084,1,15,2,56,6,4,1
158389,1,62,2,16,5,4,1
158420,2,88,2,33,5,4,4
158460,2,74,2,44,5,3,1
158492,2,78,1,43,5,1,1
158587,2,57,1,48,4,1,4
158748,2,66,1,29,6,1,1
159138,2,74,1,15,4,1,1
159246,1,28,1,33,7,1,1
159493,1,27,1,33,6,3,2
161409,1,67,1,43,7,1,2
162834,2,44,1,7,7,1,4
162880,2,87,1,24,4,4,2
163722,1,29,1,35,7,1,2
163752,1,75,1,7,7,1,1
164896,1,25,2,63,1,2,3
164964,1,47,1,27,5,3,3
164977,1,89,1,60,1,2,3
165044,1,87,1,62,7,3,3
165097,1,59,1,63,5,4,3
165216,1,15,2,26,5,5,3
165221,1,87,1,27,6,5,3
165233,1,89,1,17,6,1,4
165257,1,15,2,24,5,5,3
165264,1,59,2,9,3,2,3
165270,1,86,2,53,2,2,3
165342,1,16,1,19,3,1,3
165397,1,30,2,29,5,1,4
165428,2,38,1,41,3,5,3
165517,2,86,1,63,3,1,4
165557,1,77,1,28,5,2,1
165560,1,47,2,42,3,2,1
165573,2,67,2,26,2,3,4
165708,2,86,2,29,2,2,4
165710,2,86,2,28,6,5,1
165715,2,25,2,63,3,4,1
165781,1,34,2,53,6,3,1
165863,2,29,1,60,3,4,1
165883,2,85,1,55,1,4,2
169826,2,85,1,61,5,2,1
170406,1,66,2,41,6,5,1
171572,2,66,1,55,7,4,1
171888,2,38,1,14,6,1,1
172112,1,15,2,47,6,3,2
172926,2,15,1,55,5,3,4
173554,2,30,1,22,5,3,2
173654,2,38,2,53,5,4,2
173834,2,66,1,53,1,4,2
176266,2,45,2,22,7,4,1
176755,1,14,1,44,6,4,2
178076,1,77,1,55,5,3,1
178111,1,17,2,22,4,4,3
178598,1,77,1,17,3,4,3
178839,1,66,1,10,2,1,1
179180,1,66,1,28,3,1,3
179321,2,22,1,43,7,5,4
179352,2,20,1,47,1,5,4
179547,2,38,1,52,7,1,4
180172,1,77,1,52,3,1,3
180219,2,73,2,60,1,3,4
182653,2,77,2,28,2,1,3
182746,2,69,2,15,4,5,4
182920,2,14,1,61,4,4,4
183247,2,47,1,47,1,1,4
183519,1,25,1,42,2,1,3
184415,2,18,1,53,2,4,1
184468,1,45,1,14,1,1,1
184597,1,18,1,14,4,1,4
184650,1,14,1,44,4,3,2
188512,1,22,1,45,7,3,1
189171,2,41,2,13,2,5,2
193042,2,42,2,53,4,3,2
193173,1,29,2,46,1,5,2
193539,1,73,2,52,1,3,1
194406,2,16,2,62,1,3,2
196740,2,14,2,25,1,3,4
197298,2,83,2,62,3,2,2
197439,2,26,2,26,3,2,4
197465,1,23,1,41,3,3,4
197544,1,83,2,26,5,4,2
197646,1,50,1,41,3,4,2
198016,1,74,2,62,5,4,2
198083,1,48,1,18,5,4,2
198999,1,16,2,0,3,3,3
199255,1,73,2,33,1,4,4
199529,2,29,2,1,7,3,4
199549,1,40,1,1,5,2,4
199553,2,16,1,33,1,4,2
201112,2,46,2,18,3,5,3
201432,1,81,2,30,1,5,3
202187,1,22,2,26,7,4,3
202381,2,22,1,35,3,2,4
202876,2,73,1,19,1,2,4
203049,2,21,1,19,2,2,3
203866,2,87,1,33,1,4,4
204170,1,31,1,2,5,4,4
204314,1,45,1,43,2,4,3
204858,1,82,2,47,2,1,1
204887,1,54,2,35,6,1,4
205103,1,24,2,47,5,5,4
205751,1,24,2,42,5,3,4
205785,2,49,2,53,5,1,1
205951,2,82,2,24,5,5,1
207465,2,34,2,61,7,1,3
207793,2,60,2,2,2,2,1
208162,1,56,1,2,7,3,1
208526,2,56,1,52,5,1,1
208764,2,56,1,48,5,1,3
211134,1,14,1,19,2,1,1
211173,2,79,1,3,6,1,4
211478,2,80,1,40,6,5,1
211495,2,81,2,33,6,1,4
211503,1,78,1,2,2,3,1
211764,1,78,1,42,6,1,3
211769,1,81,1,17,1,3,3
211811,1,79,2,24,6,5,3
212276,1,81,2,63,1,3,3
212357,1,20,2,42,1,3,3
212373,2,20,2,33,7,5,3
212395,1,61,2,17,1,2,1
212631,1,48,2,0,7,3,3
213030,2,66,1,3,7,2,1
213189,1,66,1,48,7,5,1
213559,1,72,1,19,2,5,1
213736,2,79,1,42,2,4,1
214063,1,73,1,2,5,4,1
214099,1,55,1,40,5,4,1
214147,2,79,1,0,7,4,3
214244,2,40,1,18,7,2,1
214728,1,60,1,30,7,3,3
216024,1,48,1,42,7,5,1
216211,1,33,1,50,7,5,2
216445,1,39,1,60,7,3,1
216588,2,44,1,18,2,3,2
216761,1,20,1,42,5,3,4
216854,2,49,1,52,7,3,3
221228,2,62,2,18,4,4,2
221394,2,26,2,50,4,3,4
221467,1,50,2,27,4,3,4
222824,2,51,1,18,2,2,2
223297,2,65,1,44,6,2,2
223315,2,18,1,56,6,3,2
223364,2,67,2,56,4,5,2
223430,1,20,1,56,6,3,3
224248,1,64,1,1,4,1,3
226320,1,64,1,3,4,1,2
226541,1,84,1,57,4,2,3
226668,2,31,1,47,2,2,2
226771,2,36,2,5,4,2,4
226876,2,17,2,47,6,1,2
226888,2,84,2,47,4,1,3
226918,2,65,2,44,6,1,2
227241,1,22,2,56,6,2,3
227285,2,64,2,57,5,4,1
227294,2,31,2,43,2,1,2
227315,1,16,2,44,6,1,2
229445,2,83,1,3,6,3,1
229601,1,22,1,55,3,3,2
229605,2,22,1,53,3,3,4
229711,2,22,1,56,3,1,4
229945,2,87,1,39,1,4,4
230207,2,19,1,2,5,1,3
230226,2,65,1,39,1,3,3
230529,2,42,1,48,3,4,3
230566,1,81,1,56,7,4,4
230720,1,81,1,30,3,4,4
231256,2,81,1,56,3,3,2
231310,1,65,1,36,3,3,2
231689,1,82,1,0,7,4,4
232090,1,49,1,29,6,3,4
233605,1,66,1,24,5,3,1
234129,1,63,1,16,6,4,1
234219,1,53,1,29,2,2,3
234568,2,60,2,57,2,1,2
234977,2,20,2,54,2,2,2
235133,1,64,2,57,7,5,3
235204,1,59,2,37,3,3,4
235327,2,44,2,57,6,4,2
235487,2,44,2,16,6,1,4
235494,1,84,2,29,7,1,3
235864,2,32,2,7,1,1,4
236749,2,32,2,57,6,1,4
236985,1,20,2,57,7,5,3
237055,2,20,2,34,7,2,4
237385,2,37,2,57,4,2,4
240671,2,86,1,56,6,5,4
240704,2,86,2,17,5,5,1
240773,2,86,2,56,1,5,4
240779,1,64,2,48,5,5,1
241001,2,41,2,16,4,5,2
241090,2,54,1,17,4,5,1
241091,1,54,1,2,4,5,1
241126,2,64,2,29,2,5,2
241945,2,53,2,16,2,5,1
242520,2,46,1,35,4,1,1
243029,1,46,2,57,2,5,3
243307,2,35,1,32,1,1,3
243753,1,60,1,57,7,5,3
244578,1,16,1,32,5,5,1
244609,1,16,1,35,1,2,3
245000,1,15,2,57,5,5,1
246559,1,59,2,51,7,4,4
247242,1,62,1,51,2,4,2
247428,2,40,1,54,5,4,4
248623,2,36,2,29,1,1,3
249863,2,44,2,14,5,3,4
250000,2,44,1,14,6,4,4
250078,2,60,1,14,6,4,3
250099,2,36,2,50,3,1,2
250144,1,59,1,14,2,4,2
250222,2,59,2,30,3,4,2
250560,2,20,1,35,7,1,3
250625,1,36,1,36,2,1,3
250708,2,45,2,14,7,1,3
250714,1,49,1,35,3,1,3
250809,1,50,1,51,6,1,2
250815,2,49,1,32,1,4,4
251188,2,49,1,14,4,3,3
251361,1,18,1,14,6,4,2
251369,2,18,2,14,1,4,4
251593,2,49,2,14,2,1,1
251690,1,49,2,36,6,1,1
251853,1,81,2,14,1,3,1
251889,2,81,1,51,1,3,1
254342,2,81,2,14,6,4,3
254817,2,19,1,4,1,1,1
255197,2,35,2,14,1,1,1
255284,2,63,2,14,6,1,1
255605,1,37,2,31,7,2,3
255831,1,47,2,14,3,1,1
258096,2,47,1,24,5,1,2
258232,1,18,2,1,5,2,3
258287,1,37,1,32,3,3,3
258682,1,37,2,19,2,3,2
259074,1,37,2,32,2,2,2
259094,1,37,2,39,6,1,2
259149,2,42,2,14,6,4,3
259612,2,84,1,14,3,2,2
259613,1,84,2,14,3,2,4
259704,2,51,2,34,3,2,2
259806,1,40,2,17,4,4,2
260002,1,47,2,14,6,2,2
262426,1,29,1,29,1,4,3
262730,1,15,2,15,3,4,3
262761,1,87,1,1,3,5,3
262845,1,15,2,3,1,4,4
262889,1,73,1,3,7,1,1
262904,1,50,2,21,1,5,4
262922,2,87,2,15,3,5,1
262945,2,74,2,1,3,1,4
262971,2,74,2,15,6,4,1
263119,1,73,1,22,6,1,1
263156,2,74,2,22,3,2,4
265258,2,83,2,0,5,5,3
265336,2,75,2,19,1,2,1
265338,1,31,1,31,7,2,4
265352,1,65,2,14,3,1,3
265455,2,64,2,22,6,2,4
265488,2,36,2,58,1,1,1
265532,2,41,1,14,6,2,3
265748,1,64,1,14,3,1,1
265790,2,78,1,1,6,5,4
265999,1,65,1,17,1,5,1
266202,2,65,1,1,1,5,1
266340,1,78,1,14,5,5,1
266699,2,16,1,56,5,1,1
267374,2,14,1,57,5,5,4
267609,2,47,1,54,3,1,3
268131,2,15,2,6,7,1,1
268345,1,64,2,58,5,1,3
268474,1,15,2,10,7,5,1
268544,1,67,2,44,7,5,4
268571,1,67,2,59,7,2,4
268749,1,67,2,56,1,2,2
268830,1,67,2,44,1,2,2
268927,1,44,1,56,7,2,3
269256,1,76,2,30,3,2,2
269408,1,67,2,22,7,4,2
269668,1,81,2,6,7,4,4
269827,1,83,2,48,7,4,4
269864,1,46,1,10,7,4,3
269891,1,66,2,56,3,2,4
270035,1,83,2,48,3,4,2
270117,2,50,1,44,3,4,2
270160,2,90,2,30,3,2,2
270175,2,54,2,17,7,2,2
270298,2,83,1,55,3,4,2
270542,2,18,2,37,3,4,2
270578,2,14,2,54,3,4,2
270845,2,35,2,39,6,4,2
271210,2,86,2,39,5,4,2
275276,2,83,2,19,2,4,2
275390,2,50,2,28,4,3,3
278908,1,14,2,2,1,3,3
280581,2,16,2,37,4,3,2
280678,2,59,2,11,4,3,2
280680,2,44,2,57,5,3,4
280727,2,59,2,13,1,5,2
281411,2,19,1,45,2,5,4
281755,1,59,1,13,2,3,2
281971,2,59,1,18,4,3,3
282179,2,82,1,57,6,3,3
282745,2,86,1,18,4,5,1
282941,2,57,1,18,3,3,3
283321,1,75,1,6,3,4,1
283416,1,39,1,18,4,5,2
283480,1,86,1,6,4,5,1
283512,1,32,1,30,4,3,2
283650,1,39,1,31,2,3,3
283754,1,57,1,52,1,4,2
283770,1,59,1,22,4,3,1
283971,1,75,1,31,3,4,1
284004,1,56,1,29,2,4,4
284177,2,59,1,58,5,3,1
284199,2,30,1,30,3,2,1
284217,2,56,1,29,4,2,1
284628,2,28,2,30,4,3,1
284646,2,30,2,29,5,2,4
287357,2,89,2,0,4,5,1
287443,2,73,2,1,2,2,1
288261,1,24,2,44,2,3,4
288329,2,54,1,37,2,2,3
288533,2,48,2,44,1,3,1
289196,2,80,2,44,6,3,3
289474,1,50,2,13,5,4,3
290617,2,78,2,44,6,5,1
290855,2,37,2,23,5,5,4
290910,2,87,2,4,5,3,4
291018,2,59,2,0,6,2,4
291320,1,26,2,15,1,2,3
291436,1,80,2,58,1,4,1
291741,2,42,2,29,5,2,3
291930,2,48,1,4,2,4,3
292001,2,28,1,37,6,4,4
292086,2,59,1,46,6,4,3
292153,2,53,1,11,6,4,1
292490,2,87,1,4,2,4,1
292569,1,83,2,58,5,2,1
292848,1,59,2,52,4,2,1
295496,1,71,2,19,4,2,1
295719,1,90,1,23,3,2,1
299261,2,57,2,35,5,5,1
299313,1,56,2,33,4,2,2
299656,2,59,1,41,3,2,1
300342,2,71,1,34,3,2,1
301884,1,57,1,21,3,2,2
302831,2,42,1,23,4,3,2
302885,2,42,1,34,4,3,1
303271,2,70,1,61,2,3,1
303898,2,46,1,23,3,3,4
303937,2,62,1,27,5,3,4
304881,2,42,1,61,5,3,4
305613,1,45,1,61,4,3,4
305693,1,80,2,55,5,5,4
306905,1,24,1,27,4,3,4
307711,2,70,2,13,3,3,4
308410,2,21,2,50,4,2,2
308574,1,41,1,14,7,3,2
308895,2,49,1,17,3,1,2
309072,1,46,2,62,5,5,2
310421,2,19,2,36,6,1,3
310634,2,30,1,36,4,1,3
310878,1,69,1,53,6,5,4
310943,1,69,1,39,6,1,3
311018,1,41,2,36,6,1,3
311127,1,69,1,9,5,4,3
311216,2,69,2,39,6,1,3
311388,2,81,2,35,6,4,3
311515,1,21,2,35,3,1,4
311533,1,85,1,29,6,5,3
311566,1,78,1,53,6,5,4
311570,2,78,2,38,2,4,4
311651,2,27,1,63,4,4,4
314488,2,25,1,20,6,4,2
314534,1,49,1,49,2,4,2
315025,2,78,1,48,2,4,2
315037,2,87,1,22,2,1,3
315247,2,36,1,63,6,1,4
315521,2,36,1,51,5,2,3
315717,1,39,1,27,6,2,2
316106,2,39,1,41,6,4,2
316219,2,30,2,23,6,2,2
316258,2,14,2,29,2,2,4
316542,2,17,2,41,6,4,2
316561,2,39,2,25,5,2,2
316906,2,54,2,27,7,5,2
317038,2,39,2,12,6,4,2
317158,2,20,2,23,6,2,4
317227,2,39,2,9,6,2,2
