TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,EF16U2,LEISTUNGSGRUPPE,B27,EF48,B52
1,49,2,36,2,1,aa,195.38643538998633,476.958491558488
1,62,2,25,2,1,aa,200.70533390442998,431.07568941812906
1,87,2,0,7,1,aa,201.01305576352974,624.1026888425089
1,63,2,24,7,5,aa,203.06322850300134,216.0538880156268
1,87,2,50,1,2,aa,206.69011828980427,846.6129465097721
1,86,2,37,6,1,aa,207.6006744621779,408.0379259415864
1,87,1,37,1,1,aa,210.1412132844052,1239.2048932299058
1,86,1,50,3,1,aa,213.7911500693386,614.1544203866185
1,15,1,59,3,1,aa,214.56596699520304,202.71082224662226
1,86,1,5,3,1,aa,214.81347241164048,1038.754516688468
1,46,1,60,3,1,aa,214.85584901038234,309.18683730386135
1,44,1,12,4,1,aa,214.98962144633228,734.6072821773231
2,77,2,52,3,5,aa,215.18986065854025,203.84012674459203
2,20,2,18,3,5,aa,215.4971514920832,68.41739375511044
2,51,1,41,7,5,aa,216.0875488949626,304.0462944511911
2,55,1,41,7,2,aa,217.11893748462492,930.1724798161603
2,34,2,28,7,1,aa,218.7126769494229,749.3939327895894
2,59,2,42,6,1,aa,222.02477772140747,204.2675243212466
2,18,2,19,7,1,aa,222.57535724958345,827.6785080325077
2,51,2,34,3,1,aa,224.77165945681884,704.5328768045764
2,60,2,0,7,1,aa,230.7590018785746,930.5455245853835
2,16,2,36,6,3,aa,238.20354319223947,671.0910730826581
2,29,2,19,1,5,aa,239.60938926728522,905.374493748319
2,17,2,43,4,2,aa,241.14156793289007,1039.5670296906621
2,77,2,56,4,5,aa,242.69716194474358,879.7655476193427
2,60,2,14,3,2,aa,242.93543687683987,1145.8422197057048
2,79,2,55,6,3,aa,246.46947088038343,80.67281128134145
2,18,2,58,6,3,aa,247.03910508158137,684.9936959010753
1,18,1,13,2,3,aa,260.7833061479177,1299.1425334593678
1,19,1,13,2,4,aa,261.9616755336123,307.46207518788333
1,86,1,56,5,3,aa,262.2584319155322,516.7974932325966
1,39,1,18,5,3,aa,263.1701209008376,171.57871943155973
1,19,1,11,5,3,aa,268.3523074394605,10.646404987562313
1,83,1,27,5,3,aa,268.89087897573114,408.72187617395764
1,83,1,27,7,5,aa,269.47242991748556,371.9807579958513
1,46,1,11,5,5,aa,270.02122690083525,104.04383405508648
1,44,1,26,4,4,aa,270.33253924236124,57.39300735273264
1,30,1,56,5,4,aa,270.3397337591373,670.8732686297095
1,18,1,63,5,4,aa,284.3020941535172,1218.9883828938732
1,14,1,57,2,2,aa,304.0861468328977,603.1574460666917
1,64,1,56,2,2,aa,304.2046004102194,1130.4753374804457
1,64,1,62,2,4,aa,304.49890675210787,806.483623193166
1,83,2,46,6,4,aa,304.64852698889865,548.8942800488571
2,64,2,46,5,5,aa,305.0378507304372,935.1203676315405
2,38,2,23,5,4,aa,305.2717617801202,907.4747602063482
2,61,2,23,4,4,aa,305.70591734195216,750.1858416339426
2,60,2,57,4,2,aa,307.0871019068545,546.3581079156124
2,64,2,57,5,4,aa,307.17837099694765,710.1697402439568
2,42,2,11,4,3,aa,307.8397776900393,474.0641853115003
2,66,2,61,4,4,aa,308.0111471571097,62.48002757663574
2,62,2,61,4,4,aa,308.08077373344355,858.1970257561675
2,86,2,57,6,1,aa,308.13824108203994,964.8603075631801
2,64,2,10,5,1,aa,308.68484917169184,106.39415933674906
2,64,2,11,4,3,aa,308.70492701802993,336.9898399272921
2,66,2,16,4,1,aa,308.82524789861105,905.5953874161821
2,27,2,16,4,4,aa,310.76652630018907,62.03028096541177
2,42,2,10,4,3,aa,310.82017809658447,1130.0356311596788
2,15,2,6,5,4,aa,329.1335912615487,1237.8153891647983
2,86,2,56,7,4,aa,330.1534315742988,7.032332935935296
2,36,2,56,1,4,aa,330.3841914898154,1194.7665563947803
2,89,2,30,1,4,aa,332.03933080139007,498.7833736419214
2,41,2,30,7,3,aa,332.4277902146714,501.22511398929674
2,41,1,18,3,5,aa,333.4230883371943,498.6121666388842
2,66,1,34,3,4,aa,334.5170638863849,786.3975964077256
2,18,1,58,5,4,aa,334.7473628359625,922.8048227614538
1,89,2,56,1,3,aa,335.17332577259805,1129.642747201874
2,65,2,13,1,5,aa,344.3137385078289,1272.9606206529372
1,66,2,13,6,5,aa,344.4009163803254,456.4794452030874
2,87,2,27,7,1,aa,345.5675943166289,487.00585837570753
2,66,2,2,2,1,aa,345.73745300439435,292.00278035509336
2,21,2,56,1,1,aa,345.8977728283026,1228.4338114107818
2,21,2,10,3,4,aa,345.9974052494863,1227.9357686452631
2,87,1,24,3,5,aa,346.2256703562624,29.983382555739908
2,87,1,24,5,1,aa,346.41270362333023,610.0726570418564
1,42,2,24,3,1,aa,349.1358567392742,1228.0891961467987
1,42,1,10,7,5,aa,349.5852486575756,29.973336981456647
1,15,1,32,3,1,aa,349.8742218679817,706.2264769678027
1,37,1,32,3,1,aa,351.3234134143885,878.1762677221607
2,62,1,24,2,1,aa,377.24804897601183,391.98338294151506
1,39,1,30,3,5,aa,377.5535046385703,841.8636479994725
2,39,2,4,5,5,aa,377.55389985841504,258.4621070689615
1,60,2,17,5,2,aa,377.70729154019153,1296.8281067623889
1,89,2,27,1,2,aa,378.9084923812939,1306.11081966001
1,44,1,0,1,5,aa,379.243389807482,293.32541869187634
2,62,1,31,2,1,aa,380.3559474747175,457.8637465527716
2,40,2,62,5,5,aa,380.83221193560445,1341.9133218156203
2,62,1,57,1,2,aa,381.5261234041483,1343.0833221862433
1,46,1,28,1,1,aa,381.7946258323702,932.9484385525843
1,28,2,56,2,1,aa,382.4920004845608,779.800949781969
1,60,1,56,6,2,aa,383.6671701273809,830.1286610007314
1,20,1,35,6,2,aa,400.68611258074384,169.83401011824122
2,20,2,17,3,2,aa,401.70097227858514,365.0575204595174
1,40,2,20,7,3,aa,402.2923135872229,1220.851680199362
2,40,2,7,7,3,aa,403.7125827030853,892.0018056729482
1,20,2,19,7,2,aa,403.854793291506,1345.8222342633437
2,20,2,19,7,2,aa,404.1689943105138,876.0895906392117
1,86,2,30,3,2,aa,405.06683214135995,216.60664916208304
2,50,2,2,3,2,aa,407.12624161432,1258.9876306880692
2,89,1,14,7,2,aa,407.3161053794369,348.0879098548673
1,29,2,56,7,2,aa,408.1266235012755,1132.937585370984
2,18,2,26,2,2,aa,408.301756105627,246.51603198525748
2,46,2,21,3,2,aa,408.94523682633167,1266.4108373002011
2,33,1,22,1,2,aa,409.48516557832875,172.7510817936761
2,33,1,58,3,2,aa,411.00409424240223,554.6758806345889
1,72,2,47,3,4,aa,413.5156455293432,131.4321643660862
2,51,1,45,7,4,aa,433.8730644489465,56.940184691930895
2,72,1,47,2,2,aa,437.3346511793415,786.4535711276351
1,72,1,45,2,2,aa,438.015259347539,114.15618414518978
1,81,1,2,7,4,aa,440.0745711158024,1054.3839059822158
1,81,1,2,2,1,aa,442.41117560346936,600.5973766934127
2,81,1,2,2,1,aa,442.5752339366798,364.76860821844986
2,74,1,34,2,5,aa,443.3859369935212,25.132439457659782
2,51,1,3,2,4,aa,446.70638289687605,390.85284215270593
2,49,1,3,2,1,aa,448.23122319958475,919.1672938726575
2,21,1,13,7,1,aa,449.5709524446386,1122.9519760440132
2,21,1,3,6,1,aa,450.8430812659,1346.0694667621212
2,49,1,3,6,2,aa,454.64457218254574,94.73296958936345
2,72,1,3,4,3,aa,454.8461486698629,1157.0078698201633
2,72,1,23,4,2,aa,454.9079285924733,176.4484181681491
2,29,1,23,4,5,aa,456.17719146862277,69.93201972895525
1,73,1,23,7,4,aa,462.32182351228346,1095.224056425053
1,47,2,25,7,4,aa,463.8512676474913,176.52105778157437
1,86,2,24,4,4,aa,464.2174800356101,1348.192721946255
1,21,2,19,7,3,aa,466.07208328765796,705.6232789780333
1,21,1,23,5,2,aa,466.31965769648485,473.4091181106783
1,87,2,23,5,4,aa,467.2762722717923,110.61988327108186
1,20,2,46,3,4,aa,467.52968325191404,176.99171585023632
1,15,1,15,3,4,aa,468.031687652512,590.7147450320682
1,30,2,25,3,1,aa,468.08079913343965,207.313624774184
1,30,1,23,3,4,aa,468.3757542789372,1344.1015888078455
1,73,2,12,3,1,aa,470.97788279979017,1344.5046180946736
1,85,2,22,5,5,aa,471.5556504773502,105.87272089821529
1,51,1,61,3,3,aa,471.57961621070723,716.5434822033611
1,49,2,28,6,4,aa,497.299688225563,911.8402691033174
2,49,2,28,3,4,aa,502.29390287514514,342.5611473874839
2,82,2,3,3,4,aa,502.36461308444063,463.64555702123533
2,82,1,3,3,5,aa,502.7820715710949,244.86366247594762
1,51,2,34,3,3,aa,502.9674533856921,759.8984407306674
2,51,2,18,5,3,aa,504.62168002737025,562.789978027344
2,51,2,2,5,4,aa,505.65311862086776,670.8452512052864
2,18,2,2,3,1,aa,509.28579061948847,427.8071929659413
2,85,2,35,3,1,aa,509.8849815982278,273.12327649303376
2,16,2,24,5,3,aa,510.3009832222269,727.2622515365196
1,19,2,2,5,5,aa,511.50339278364874,1151.026249795323
1,69,1,33,1,3,aa,512.563239821188,107.48748336958035
1,55,2,36,1,5,aa,512.9131312880726,485.3164690392377
1,36,1,55,1,4,aa,513.6565867123963,562.789978027344
2,88,2,55,3,5,aa,513.7499863281665,419.26520121746756
2,15,2,33,7,1,aa,514.0847233626243,46.28835381879666
1,70,2,33,1,1,aa,515.0709085794183,56.65906186472484
1,50,2,33,6,1,aa,515.6229474552391,513.2139159734364
2,15,2,42,6,5,aa,515.7340304175704,710.1231569294451
2,52,2,27,6,4,aa,518.3240617266022,653.1505440407481
1,69,2,9,7,1,aa,519.3853685708293,786.6846105004414
2,86,1,9,7,5,aa,521.3808645905381,168.49931365524932
2,54,2,7,5,5,aa,521.5240951407434,135.73794827584848
1,46,1,43,7,4,aa,521.6717267500586,1128.1764464503926
1,90,2,43,6,1,aa,522.2418627614447,273.1034890917507
2,70,1,55,4,1,aa,522.5313091055967,784.7151322583371
2,18,1,55,3,1,aa,522.7776341075831,345.4276250621017
1,33,2,39,3,5,aa,522.7787432125434,172.72027229153892
1,57,1,36,7,5,aa,524.1159171170603,171.61085965072058
2,82,1,16,5,3,aa,524.5750861774791,964.9186844853955
2,57,2,54,7,2,aa,525.1013587804185,485.2393529862814
2,57,2,54,6,5,aa,526.5052525064721,131.80066454801022
2,57,2,3,5,4,aa,528.2677548299328,367.16567614382285
2,25,1,18,6,2,aa,529.412219414303,831.7758153870025
1,32,1,18,5,4,aa,532.5377352782891,347.442721147428
1,42,2,18,6,1,aa,533.6027924676015,128.90142055701764
2,53,1,54,6,1,aa,534.711567670926,652.8630369085848
1,31,1,33,2,1,aa,535.1697530494744,380.4981001609883
1,80,2,50,7,4,aa,549.9250893446382,20.074194502514178
1,52,2,33,2,2,aa,557.9124935831436,493.3868782193098
1,30,2,54,5,4,aa,561.5415791384667,1174.0192791641775
1,42,2,44,3,2,aa,562.722634029949,808.1379796630224
1,54,2,6,7,2,aa,564.2668470016863,480.307408694481
1,49,2,6,7,4,aa,572.8759794666496,444.1899624418082
1,31,2,55,7,2,aa,574.7109088390505,1262.9176656111251
1,14,2,47,1,2,aa,575.2141220830854,1264.9704028788315
2,46,2,36,2,3,aa,592.5093293179596,818.5853951931725
2,55,2,2,4,5,aa,593.1938715282322,801.9769006650408
2,42,2,42,7,2,aa,593.4518089287467,1105.8979422204575
2,42,2,33,7,1,aa,593.6448589881811,911.4354239079374
2,17,2,25,2,2,aa,594.1490698530099,1128.6568788074778
2,70,2,48,3,3,aa,594.5745379098963,528.8339347952723
2,70,2,56,2,2,aa,594.704403233944,62.13731759256293
2,26,2,63,2,2,aa,602.7657148524813,1111.9663446237619
1,22,2,28,2,5,aa,604.0028249498789,530.5975989027887
1,46,2,6,7,2,aa,604.9305997977378,272.0531483466246
2,46,1,5,1,2,aa,605.1263708519418,217.9296462766049
1,46,1,50,1,3,aa,605.9380244524369,528.4714050320255
2,26,1,36,2,1,aa,606.6743616865627,805.1670636674975
1,70,2,59,5,3,aa,606.9729151649859,907.4349892098629
1,20,1,38,2,1,aa,607.7188848339417,1130.8682635324137
1,39,1,27,2,3,aa,607.8603422870804,765.9839392037882
1,19,1,20,5,2,aa,616.4078423507069,264.307697527286
2,58,2,58,5,2,aa,616.9766438398635,19.325045350606235
2,82,1,3,2,2,aa,619.2311986843844,641.3308450442272
1,52,1,37,1,1,aa,619.6655327470972,736.260851188134
1,52,1,37,1,1,aa,619.6746720562862,531.7419634376186
1,47,1,32,5,1,aa,619.7135950928832,130.20628053338302
1,58,1,51,5,5,aa,621.1033287290337,804.391850374919
1,37,1,56,1,1,aa,621.8141709045933,1143.7961031651496
1,82,1,56,4,5,aa,622.6531411598488,805.5469866617242
1,82,1,56,5,3,aa,623.3989087083454,932.7354754125025
2,76,1,54,5,3,aa,630.388480134022,344.4367673778045
1,53,1,54,3,3,aa,632.0643205173426,501.47768783319424
2,81,2,54,3,5,aa,636.9916298363734,575.4047421228347
1,41,1,2,5,1,aa,639.5923230090049,575.2212990347724
1,44,1,46,1,1,aa,640.9893301812344,1116.4503069710572
1,47,1,41,4,4,aa,641.7710851464955,985.8200417529365
1,46,1,36,5,4,aa,643.082303525835,83.32542091280622
1,62,1,20,4,1,aa,643.7735177271645,1151.9795490725267
1,34,2,10,1,4,aa,645.4215227446361,1341.9504027205292
1,34,1,2,5,4,aa,645.8208609968997,445.56396624267876
1,90,1,7,4,4,aa,646.9871398731391,1132.709672732255
1,62,1,57,2,4,aa,648.0343857782616,797.629409333664
1,74,1,0,4,2,aa,651.8955197490712,1343.3479146605694
1,62,2,2,4,4,aa,652.2750225296969,797.0133136295523
1,35,1,27,4,1,aa,653.7018914113089,798.1342306580234
1,35,1,48,3,1,aa,654.555946275384,1258.266683549852
2,55,2,53,3,4,aa,681.5243264615797,1278.4858485605544
2,24,1,30,6,4,aa,682.907603729532,1276.130264728505
2,19,2,46,2,5,aa,683.9917302595532,995.3716796963515
2,87,1,28,2,5,aa,684.2698011257797,1314.4222057419963
2,47,1,61,2,5,aa,684.398170767486,751.0699877257281
2,21,1,5,6,5,aa,684.6547603812811,779.758326730607
1,67,1,5,1,5,aa,684.9136572231193,910.5653079097449
2,42,1,38,1,5,aa,685.2436731834807,671.1748609162083
1,67,1,42,3,5,aa,685.3098386025546,502.25796849998824
2,33,2,2,3,5,aa,685.4444607469944,1293.8913618619035
2,55,1,38,5,5,aa,685.6382846247079,367.4683214248694
2,90,1,43,1,2,aa,685.8552488757425,1295.5659640084677
2,26,1,1,1,5,aa,686.0174728580113,529.4375529027125
1,47,1,1,4,3,aa,687.5328605701458,110.95569521255719
2,28,1,1,5,5,aa,687.5437384834892,408.5658988765067
2,18,2,24,5,2,aa,687.7501776095222,1292.284984405322
1,66,1,2,5,4,aa,687.8748521224217,1292.7863814431676
2,66,1,39,4,5,aa,687.9042383857899,981.4595431863816
1,65,2,5,2,4,aa,689.3861334275493,813.5557233295839
1,65,2,5,2,3,aa,689.6521019181774,56.79221374054319
1,33,2,42,4,5,aa,690.5950427352451,812.1464789403757
1,64,2,42,4,3,aa,691.3437653595277,554.7223344465677
1,35,2,27,4,4,aa,692.0703397964301,69.99402378000134
1,65,2,2,4,3,aa,697.1259183578316,1193.8884827886116
1,65,2,60,1,3,aa,702.4503834924423,557.0386000741846
1,64,2,28,1,1,aa,703.6883464069352,247.99892480190826
1,65,1,31,1,3,aa,704.5167275263437,1088.5730191783027
1,63,1,23,6,3,aa,707.3012261147452,1343.5403500748344
1,86,1,35,2,4,aa,710.4871486605027,171.91204807916117
1,42,1,41,2,4,aa,710.7794493788881,804.7470628342871
1,63,1,7,2,1,aa,711.2707520938212,733.9414498631126
1,60,2,17,5,2,aa,711.4713338190263,1343.2800814061225
1,65,1,61,5,3,aa,712.121979093633,732.2274309671697
2,38,2,46,5,3,aa,712.8692696730376,729.0175137928991
2,32,1,21,1,2,aa,714.8784712382657,1294.2147773968354
2,14,2,45,6,2,aa,715.5301579351392,1142.2293544641693
2,83,1,28,3,4,aa,717.6638600271217,1278.498758358714
2,64,2,47,6,3,aa,718.3589447286223,1096.3643383612605
2,64,2,60,2,4,aa,719.9527066368685,1140.2726726809926
2,15,2,31,3,3,aa,727.580017089844,1145.1678312329407
2,60,1,43,2,1,aa,727.580017089844,670.8178598964145
1,60,1,29,2,1,aa,727.580017089844,1343.3702561059997
2,60,2,63,5,2,aa,727.580017089844,1158.2960137973887
1,36,2,55,1,3,aa,727.580017089844,334.7658075144226
2,89,2,41,6,3,aa,727.580017089844,8.737003887825756
2,15,1,48,5,3,aa,727.580017089844,59.76372443696774
2,78,2,1,5,3,aa,729.0029330317417,569.2610979490693
2,51,1,22,3,4,aa,729.5168219684201,796.4985819630671
2,51,1,31,4,4,aa,731.1919972283112,1093.4388104333802
1,63,2,30,3,3,aa,731.4824607147297,259.16125317141825
1,81,1,50,4,3,aa,733.6291316267361,799.4652756086101
1,63,1,60,6,4,aa,733.7015694482103,1194.7844848750285
1,26,1,47,2,3,aa,735.1449733049183,531.426754292522
1,73,1,41,3,1,aa,753.3732362625486,264.0816847419697
1,89,1,47,3,1,aa,755.4343452785643,343.8889914284891
1,28,2,19,2,2,aa,756.2348901203164,539.4445652986481
1,79,2,38,2,1,aa,756.7481975423171,172.7476701902235
1,14,2,44,5,2,aa,758.9877045342779,484.18011600738345
1,62,2,13,5,2,aa,769.4865123719584,118.63771842411208
1,14,2,61,4,5,aa,769.558733483426,351.71633551477504
1,34,2,37,5,5,aa,773.5742949185836,786.8027432978749
1,69,2,13,5,5,aa,774.578919936221,1151.8083452723122
2,51,2,36,2,2,aa,775.6238679034255,1058.7914201764338
2,77,2,51,6,2,aa,775.8680347567065,360.4689359839862
2,71,2,39,4,1,aa,777.3191890607088,1277.0262315619373
2,41,2,18,7,5,aa,778.9568298349636,834.7201347128732
2,44,2,40,7,1,aa,779.3827964504031,1141.29804020252
2,40,2,22,2,5,aa,779.9354946226,1140.3940085974302
2,78,1,33,6,3,aa,782.9607841607782,870.5766374072828
2,40,1,16,6,5,aa,785.7923992258911,1104.5566542253255
2,14,1,14,3,2,aa,790.8578813556478,2.3290647398265705
2,32,1,6,4,5,aa,798.201467221237,870.1821555060986
1,57,1,8,5,1,aa,798.4094380687171,786.8043485869264
1,14,1,21,5,3,aa,804.5378539989397,373.211439239787
1,20,1,61,7,5,aa,814.4998044270391,911.9313578047141
1,73,1,18,6,1,aa,817.0522262971648,867.4848647061217
1,73,1,15,6,2,aa,818.9093038046047,348.2225624168136
1,76,1,8,5,1,aa,824.7285986786758,329.6400552566596
1,32,1,21,5,1,aa,840.0061209919768,494.01469236625803
1,66,1,33,5,3,aa,841.4952407776298,283.59014916451224
1,44,1,23,4,1,aa,864.5166911667374,203.97533828080074
1,44,2,48,4,2,aa,864.8016511969488,1156.354668307053
1,86,1,22,1,2,aa,866.333480435535,1248.60538113037
2,86,1,22,1,2,aa,866.5203856932059,71.54558938928626
1,44,2,20,1,1,aa,867.8489312506729,1248.0557323733763
1,86,1,42,1,3,aa,868.3063570955904,1134.2183372167317
2,74,2,37,6,2,aa,869.4515554218154,134.9607545241736
2,79,2,17,5,2,aa,870.6081917523338,1275.7865860289025
1,39,1,60,4,4,aa,871.2584035516273,835.815747075313
1,32,1,62,1,4,aa,871.6977113383763,879.3572903019117
2,84,1,38,3,4,aa,888.568415573483,1279.3614886928965
2,34,2,50,1,3,aa,890.5140985850853,871.8128026970306
1,19,1,13,1,3,aa,896.096619851268,562.789978027344
1,63,1,63,1,4,aa,896.2154996317216,965.9335021787973
1,81,1,57,3,4,aa,896.5506063475407,1283.4899221377686
1,81,2,57,1,3,aa,897.0115699522933,1284.8017352185875
1,81,1,16,5,3,aa,898.7735757282009,562.789978027344
1,70,1,42,3,5,aa,901.2895866544279,1157.227082105535
1,72,2,41,7,4,aa,901.85136398814,109.80303233027139
1,76,1,8,1,4,aa,903.0379976474965,1287.5395053863767
1,80,1,61,7,5,aa,905.3475974762969,1077.4318116164786
1,71,2,28,1,1,aa,908.3131416480951,604.9428026402923
1,60,2,36,3,1,aa,911.09612890932,104.19695238947034
1,80,2,28,2,4,aa,911.8711129880243,1293.7949840289698
1,63,1,48,5,4,aa,920.082038223083,764.0713065932027
1,24,2,48,2,5,aa,920.1521774564811,589.7322372609161
1,46,1,42,6,3,aa,920.8695428789216,536.9872268869582
1,69,2,43,1,4,aa,922.3763470221025,457.120785353778
1,69,2,41,5,3,aa,922.5543159720477,115.59328653608641
1,89,2,13,1,4,aa,923.1491292977189,671.3650793645662
2,89,2,13,5,3,aa,923.2651599244049,764.9955450116128
2,83,2,28,1,3,aa,923.3202270864779,919.9728591376353
2,83,2,28,2,5,aa,925.3423662214308,537.7797854578952
2,20,2,28,2,3,aa,925.7369564825931,587.0854991543829
2,17,2,13,2,2,aa,926.0183567488476,235.19730203160697
2,62,2,13,2,3,aa,926.5933722128243,265.53111515972415
2,78,2,38,4,4,aa,926.867389502135,1340.3357650986757
2,33,1,48,1,4,aa,927.2121090157902,992.2890121642134
2,24,1,57,4,1,aa,927.9085517366149,80.76589327654338
2,25,1,4,5,4,aa,931.631714690015,348.91895563831696
2,25,1,49,4,5,aa,935.0096688780229,615.8709573566456
2,90,1,49,6,2,aa,936.6720367244465,756.294877791688
2,90,1,49,2,5,aa,938.9351266331098,216.31890684531476
2,25,1,48,2,3,aa,939.282247660314,1328.8619445470235
1,52,1,33,4,4,aa,939.6144559853084,446.1218320056012
1,78,1,49,4,5,aa,939.6553468310516,994.3780749315696
1,78,1,34,3,4,aa,941.6524244241622,608.6868336603815
1,68,2,34,1,4,aa,942.1828826758497,917.4796091742869
1,37,1,60,4,4,aa,942.1994175804557,809.4216571368099
1,36,2,4,2,4,aa,944.93842687624,624.6902079850161
1,25,1,30,4,1,aa,946.1100434454784,893.3657358554325
1,25,2,12,1,4,aa,946.5333331681007,682.7920218670456
1,82,2,57,7,2,aa,947.9468813898859,686.5901398040638
1,68,2,57,5,3,aa,951.3484658211678,723.1069777822878
1,49,2,62,5,5,aa,951.8865862799762,360.4005042588806
1,79,2,34,5,1,aa,954.1604092477136,131.93521936644524
1,82,2,37,1,5,aa,955.664573671018,676.4184808560258
1,79,2,12,1,4,aa,958.5645033161223,625.2269113282011
1,79,1,39,3,5,aa,958.9180519439981,955.799238726689
1,25,2,57,3,4,aa,959.0394972468848,29.574695610674866
1,55,2,36,5,4,aa,962.0212384408142,912.6447313780071
2,67,2,57,6,3,aa,964.2542503578562,151.69895868266278
2,40,1,57,1,1,aa,969.065056786558,1130.6303573012704
2,42,1,39,6,5,aa,969.7844733411109,18.032359139892424
2,37,1,48,4,3,aa,970.8972468947742,670.2540020416299
2,21,1,60,3,1,aa,975.0608573093064,259.65979233183873
2,46,2,42,3,2,aa,977.4606646826237,989.3297779902955
2,63,2,28,6,3,aa,977.8777601783838,265.89665368831635
2,63,1,31,4,3,aa,980.1157377106318,908.997332880813
2,58,2,48,3,1,aa,980.1889710951837,587.4550499374766
2,26,1,42,4,1,aa,980.9571995454393,1281.233844493523
2,62,2,48,4,3,aa,983.4073151813359,1221.951799678691
2,70,1,42,6,3,aa,984.5209955701017,990.5810962612543
2,75,2,49,7,3,aa,985.2328537887623,265.8177828238893
2,54,2,50,7,2,aa,985.8512266953488,965.3879434413842
2,63,1,61,5,5,aa,985.9229481832585,716.7970480265635
1,44,1,61,6,5,aa,987.406365130658,825.3890814511774
1,70,1,35,6,2,aa,988.2276070248511,126.71311428695711
1,64,2,23,6,3,aa,991.9334131934921,584.5038100793411
