EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,B52,TAETIGKEITSSCHLUESSEL5
49053,1,17,2,aa,58,514.9190863727632,1
49381,2,69,2,aa,14,1201.1133084506507,4
49484,2,37,2,aa,14,732.1464789403757,4
49496,2,47,2,aa,24,1285.4318116164786,1
49729,2,47,2,aa,58,76.17658672897656,1
50046,1,32,2,aa,58,918.6072821773231,1
50097,2,19,2,aa,39,613.3692210008829,4
50179,1,19,2,aa,58,919.1401334260833,1
50243,1,40,2,aa,48,670.8712161765304,4
50254,1,19,2,aa,48,1212.4366744334634,3
50308,2,32,2,aa,7,76.12373213997785,2
50578,1,45,2,aa,52,729.7093118353654,4
50709,2,45,1,aa,31,1342.2960137973887,4
50723,2,18,1,aa,31,706.0266272591045,3
50741,1,44,1,aa,42,242.78335736321537,4
50761,1,60,1,aa,42,671.9741373743356,4
51046,1,60,1,aa,29,612.7354754125025,4
51092,1,18,1,aa,29,809.0869644067221,1
51871,1,18,1,aa,29,126.25348140371064,2
52571,1,38,1,aa,4,934.6969663947947,1
52809,2,38,1,aa,4,545.837368970791,1
53017,2,38,1,aa,4,640.710828568405,1
55615,2,20,1,aa,43,84.15813973297817,3
55631,1,86,1,aa,30,757.8791633653035,3
55657,1,60,1,aa,43,519.7758153870025,4
55684,2,69,1,aa,43,752.9971639261342,4
56001,2,63,1,aa,43,224.95079421852824,4
56324,2,83,1,aa,43,731.2588186673278,4
56686,1,83,2,aa,13,1240.9372171831606,2
56756,1,57,1,aa,13,648.6945407255887,4
56875,1,16,2,aa,38,126.30935059624765,3
56894,1,22,2,aa,36,85.99961353478722,3
56918,1,22,1,aa,12,1014.4931272091704,3
57114,2,68,1,aa,12,932.3642923306323,4
57140,1,58,2,aa,5,650.8043485869264,3
57292,1,68,2,aa,54,983.8671086398541,2
59457,2,22,1,aa,36,529.2926975965862,1
59828,1,67,1,aa,38,782.1858416339426,2
60252,2,67,2,aa,15,78.96307662072138,3
60283,1,82,2,aa,15,879.9492203653338,1
60297,1,32,1,aa,5,118.93122851471253,1
60428,2,22,2,aa,15,73.10937350043653,3
60569,1,75,2,aa,6,125.71372817215465,1
60626,2,75,1,aa,15,1111.9785324288164,1
61145,2,18,2,aa,13,744.5369226320937,2
61352,1,47,1,aa,5,127.92129589958972,2
61435,1,61,2,aa,42,547.3716796963515,1
61456,1,63,2,aa,39,246.37463358805098,3
63064,1,78,1,aa,39,231.98176237735856,1
63175,2,78,1,aa,42,732.7470628342871,1
63576,2,45,2,aa,5,59.30330870802895,2
65484,1,45,2,aa,14,28.606543583420873,3
66021,2,88,2,aa,0,1096.8676228215636,2
66071,2,88,2,aa,10,173.49702689076219,4
66404,1,55,1,aa,23,12.849491348365698,4
66461,2,89,1,aa,59,648.9728359316007,4
66653,2,76,1,aa,1,59.22900849868254,4
66680,1,16,2,aa,23,1130.4108373002011,2
66712,2,16,2,aa,29,256.0305206877876,4
66978,2,34,1,aa,29,1314.7279446797509,4
66999,2,47,2,aa,2,13.74859207526392,3
67036,2,29,2,aa,21,62.01644548097023,2
67965,1,66,2,aa,38,63.982025589206486,3
68520,2,20,1,aa,10,671.0219774637168,3
68814,1,42,1,aa,9,264.6705202466852,4
69194,2,35,2,aa,4,648.241270630178,4
72040,1,46,2,aa,8,704.9898399272921,4
74338,1,29,2,aa,39,1099.0662255791217,4
74393,1,43,2,aa,29,264.8287316809845,4
74533,1,53,2,aa,63,606.561147387484,4
74848,2,31,2,aa,5,1272.1015888078455,4
74957,1,35,2,aa,63,907.4611203701012,2
75072,1,30,2,aa,28,445.66463352747144,2
75565,1,30,2,aa,47,227.83669740034549,3
75593,2,51,1,aa,36,907.6785080325077,4
75600,1,39,1,aa,47,226.61236552784305,3
75643,1,36,1,aa,5,57.46033975999568,2
75993,2,41,1,aa,28,570.1150409190348,4
76499,2,68,1,aa,52,27.232707589651852,3
76539,2,20,1,aa,47,731.4620751878833,3
77227,2,35,1,aa,5,12.124616338031267,2
77281,2,78,1,aa,61,686.7706282302017,3
77500,2,65,1,aa,32,624.9951894989629,3
77935,2,71,1,aa,46,1208.3854438925102,3
78410,1,77,1,aa,56,1044.851680199362,2
78572,2,64,1,aa,8,431.60798191673797,4
78619,1,66,2,aa,53,562.789978027344,2
79922,1,19,1,aa,53,13.186729199446368,2
81262,1,59,2,aa,46,4.344475598212135,4
81378,2,33,1,aa,63,752.5616382465168,4
85106,1,56,2,aa,53,129.36348771150318,4
85364,1,56,2,aa,62,1221.055409830005,4
85724,2,38,2,aa,46,966.4747486824092,2
85815,1,56,2,aa,46,1281.2550739356323,2
85835,2,56,2,aa,46,179.7821795782881,2
85917,1,17,2,aa,20,487.6813767755888,2
86019,2,88,1,aa,53,501.0303606273755,1
86053,2,56,1,aa,53,150.87284741513835,1
86201,1,90,1,aa,46,293.22877290775875,1
86453,2,70,1,aa,46,1216.4140533811944,3
86846,2,37,1,aa,46,613.3016747675053,1
87430,1,46,1,aa,53,1230.1666443724866,1
89250,2,20,2,aa,47,264.146497782664,4
89362,2,21,1,aa,36,946.9408546781148,1
89481,2,64,2,aa,52,1037.4941914469366,4
89503,1,88,2,aa,46,955.800949781969,3
89524,1,58,2,aa,46,333.6805375172537,4
92287,2,53,2,aa,31,998.483623193166,1
92462,1,66,1,aa,30,399.21477067294063,1
92719,1,66,2,aa,30,178.4886803115913,3
92772,1,40,2,aa,47,1225.5712667296839,3
92888,1,67,2,aa,47,285.8878344657011,3
93036,2,46,2,aa,46,1037.0078698201633,3
93072,2,79,2,aa,33,1122.9876306880692,3
94015,1,35,1,aa,61,929.4447815360517,1
94741,1,54,1,aa,63,912.1791812784235,4
95070,2,42,2,aa,30,735.7091795430609,1
95561,2,53,1,aa,53,562.789978027344,3
96032,1,37,2,aa,30,207.475472664101,1
98986,2,70,2,aa,12,908.9071422552701,1
99176,2,16,1,aa,36,1342.754516688468,1
99418,2,62,1,aa,48,575.0756894181291,3
99636,2,47,2,aa,3,796.2986883467063,1
100349,2,68,2,aa,27,1340.2050702428671,1
101450,2,63,2,aa,15,411.4805255271855,1
101521,2,36,2,aa,20,1130.9076945823992,4
101543,2,22,1,aa,48,820.3030958488956,1
101592,2,35,1,aa,13,518.479245779244,1
101631,2,54,1,aa,50,1131.9357686452631,4
101684,2,70,1,aa,27,818.0726570418564,4
101712,1,33,1,aa,50,447.9146210675482,4
101971,1,43,1,aa,20,823.881785423551,1
102080,1,86,2,aa,52,818.6758806345889,1
102094,1,55,2,aa,34,530.6173947637649,3
102109,1,14,2,aa,52,483.59745225166864,4
102284,1,16,2,aa,52,445.07012366407605,2
102387,1,35,2,aa,22,469.43310935025477,2
102732,1,75,2,aa,48,852.8942800488571,2
102917,1,20,2,aa,23,648.3223656890036,2
104464,1,53,2,aa,21,854.7147450320682,2
105209,1,62,2,aa,37,1299.0167571941488,2
106102,1,71,2,aa,38,224.30640383979087,3
106160,1,49,2,aa,63,829.2258930195442,2
106220,1,44,2,aa,10,216.3698908796871,2
106325,1,35,2,aa,33,990.1286610007314,2
107547,1,56,1,aa,5,1330.1158017075143,3
107570,1,34,2,aa,5,1130.9519760440132,4
107590,2,63,2,aa,19,133.07827717289425,4
107651,1,83,2,aa,50,671.2493332202033,1
107707,1,65,1,aa,5,1314.4605549264263,3
107979,1,78,2,aa,53,1091.285494403748,3
108005,2,19,2,aa,9,178.37877261030582,3
108016,1,86,2,aa,9,1039.5131248976616,4
108019,1,35,1,aa,36,608.0379259415864,4
112646,1,41,1,aa,48,176.31015816836955,4
113025,1,74,1,aa,36,605.8764638521485,1
113037,2,40,1,aa,15,907.7272959989449,4
113350,1,15,1,aa,9,422.38389894467633,1
113633,1,34,1,aa,8,626.1300509121373,1
113900,2,40,1,aa,8,690.7758868827684,1
114366,2,36,1,aa,23,844.3327699726462,1
114656,2,32,1,aa,23,528.2578141349222,3
114786,2,15,2,aa,27,1260.038558328355,4
115083,2,29,1,aa,37,797.1790539578062,1
115088,1,69,2,aa,35,820.7974932325966,1
115205,2,82,2,aa,12,728.0462944511911,4
115433,2,69,1,aa,27,754.3780749315696,4
115581,2,29,2,aa,53,1224.5046180946736,4
115611,2,64,2,aa,53,688.2890121642134,1
115661,1,87,1,aa,27,1256.9704028788315,3
116785,1,57,1,aa,12,367.6285663285834,1
116791,1,63,1,aa,19,691.8670043575945,2
117444,1,63,1,aa,54,364.0941001267572,1
117776,2,62,1,aa,54,1076.937585370984,1
118785,2,22,2,aa,9,347.65076457652924,2
118810,1,22,1,aa,9,1058.4753374804457,2
118877,1,22,1,aa,35,671.3324444975739,4
118921,2,22,2,aa,58,1293.8012233074764,2
118965,1,44,1,aa,9,1258.0694667621212,2
118994,1,83,1,aa,23,240.02872732868371,2
119030,1,29,2,aa,63,1257.8222342633437,4
119180,2,29,2,aa,20,351.21750884616716,2
119279,2,66,2,aa,20,232.4931999328918,2
119297,2,29,2,aa,48,375.36260564773113,2
119306,1,66,2,aa,48,609.6239000464793,2
119306,2,75,2,aa,14,914.1970257561675,2
119490,2,82,2,aa,14,376.8582372774703,2
119584,2,82,2,aa,54,1301.840893328954,2
119586,2,82,2,aa,23,244.32614069076894,2
119618,2,30,2,aa,23,916.7951928154513,4
119738,2,19,1,aa,23,671.4749048408361,2
125008,2,81,1,aa,27,1340.4803103264687,2
125032,2,81,1,aa,25,539.2071865852527,3
125403,2,29,1,aa,27,1008.0144453835856,3
125435,1,23,1,aa,55,1285.3869715320234,1
125435,1,69,1,aa,55,366.9683665266651,2
125533,1,59,1,aa,2,445.7019819738284,2
125618,1,31,1,aa,13,855.5310952386853,2
125805,1,75,1,aa,55,654.5934186519307,3
125853,1,19,1,aa,55,145.87217198576693,2
126055,2,19,2,aa,12,347.77235499092217,1
126165,1,29,2,aa,52,1141.9133218156203,3
126242,2,73,2,aa,50,1108.0891961467987,4
126285,2,30,2,aa,2,447.60478047363887,4
126351,1,53,2,aa,2,241.1793632139507,3
126673,1,53,2,aa,55,1141.0178155798394,4
126681,1,29,2,aa,8,351.8528931858143,4
126802,1,32,2,aa,8,1016.7050708886426,3
127483,2,31,2,aa,57,366.397718807759,4
127560,2,20,2,aa,57,1267.776965577223,4
127664,2,86,2,aa,60,446.4719535185137,4
127705,2,20,2,aa,33,1229.5689697500568,4
127789,1,51,2,aa,36,367.70088049253184,4
127850,1,16,2,aa,36,1270.498758358714,1
127880,2,22,2,aa,17,413.0820879996419,1
127889,2,71,2,aa,5,531.8812385014123,1
127892,2,23,2,aa,54,1037.8060141062633,1
129804,2,30,2,aa,23,1262.4858485605544,1
130057,1,30,2,aa,10,1126.3839059822158,1
130114,1,30,2,aa,10,710.5810962612543,1
130127,1,40,2,aa,3,779.5536559485827,1
130512,1,49,2,aa,2,1260.130264728505,4
130543,1,53,2,aa,24,372.1843956298013,1
130638,2,53,2,aa,32,1314.1566864372703,4
130873,2,75,2,aa,24,495.72811249052376,1
131061,2,70,2,aa,3,371.3102913371424,4
131188,2,49,2,aa,0,746.5317523139017,3
132488,2,54,2,aa,0,864.2155520625072,3
132544,2,40,1,aa,41,382.92904278469194,4
132761,1,42,1,aa,40,1293.3983312338971,3
137087,2,42,1,aa,43,364.4173937551104,1
139331,1,54,1,aa,9,116.77970809346515,3
139337,1,54,2,aa,46,1286.6985093200929,4
139523,2,50,1,aa,35,1129.3773255682188,3
139548,2,54,1,aa,29,1345.4958664150636,1
139573,2,59,2,aa,0,1142.0301010069552,1
139972,2,66,1,aa,33,1134.1198272495355,4
140480,2,40,1,aa,50,601.120785353778,4
145647,1,40,1,aa,33,360.47009234596544,2
145985,2,64,2,aa,30,30.883533781511957,2
146041,1,83,2,aa,5,1207.1145918809589,2
146276,1,58,2,aa,5,878.4318312379738,2
146412,2,18,2,aa,30,1283.3107550199275,2
146451,1,76,1,aa,20,1328.8196544786986,2
146474,2,58,2,aa,47,1284.5613798861102,2
147084,1,18,1,aa,34,732.9574119451256,3
148587,2,53,1,aa,12,332.6002421169184,2
148622,2,49,2,aa,0,1274.1633129061986,3
148642,2,53,1,aa,33,986.4265966483322,2
148690,2,17,2,aa,21,877.3554111233111,1
148703,2,37,1,aa,30,648.3602320147669,1
148709,1,61,1,aa,47,931.5787194315598,1
148736,1,17,2,aa,33,562.789978027344,1
148743,1,36,1,aa,34,1193.4234670611174,3
148851,2,81,2,aa,16,626.1218320056013,1
148986,2,83,1,aa,13,1228.183967906836,1
153687,1,36,2,aa,33,964.9170050591206,4
154146,1,31,1,aa,30,720.614817388962,3
154421,2,84,1,aa,43,347.01266508077225,4
154701,2,37,1,aa,45,203.43811913975185,4
154810,1,33,2,aa,0,650.1112812084068,3
155248,2,31,2,aa,49,648.1899624418082,3
155287,2,29,1,aa,56,574.1244606388966,4
155330,1,35,2,aa,47,995.4321643660862,3
155346,1,56,1,aa,59,26.57630787431358,4
155386,1,86,2,aa,29,124.34635975258124,3
155395,2,14,1,aa,14,798.1337621606233,3
156539,2,35,1,aa,9,574.3225063428365,4
156962,1,29,2,aa,26,117.90666678469009,4
157715,1,29,2,aa,35,69.37915487723929,3
157890,1,55,2,aa,57,1315.7579575193895,4
158441,1,14,2,aa,3,678.255864970715,3
158740,1,83,2,aa,35,983.656812387092,3
158758,1,55,2,aa,35,814.5160319852574,3
159028,1,53,2,aa,3,247.51344988605672,4
159153,1,15,2,aa,57,370.26487891531957,2
159388,2,15,2,aa,3,1314.1511082951376,1
159523,1,30,1,aa,35,1134.0205269307771,2
160628,1,79,2,aa,58,945.7936726725964,1
160664,1,30,2,aa,50,775.680253489184,1
160689,1,81,2,aa,25,31.73003666441135,4
161524,2,58,2,aa,58,641.3868782193098,1
161772,2,82,1,aa,48,905.0421155631487,1
162880,1,58,2,aa,23,1285.6529234517338,4
162888,2,67,1,aa,27,216.62727997774556,1
163152,2,70,2,aa,26,1284.3710583793109,1
163263,2,81,2,aa,44,813.5691872533059,1
163267,2,85,1,aa,6,913.9834317004726,1
163423,1,28,1,aa,58,966.3755408968381,1
163423,2,83,1,aa,3,1315.386066201503,2
163433,1,83,1,aa,35,774.8297852791898,4
163509,1,53,1,aa,58,1315.176965712913,1
163598,2,35,1,aa,58,216.47868802219824,1
163598,2,28,1,aa,49,204.74567694437513,1
163755,1,28,1,aa,35,244.10464682284305,1
163793,1,14,1,aa,50,228.37745823252567,2
164886,1,87,1,aa,30,1037.0166380955084,3
164916,1,45,1,aa,49,892.307697527286,3
164930,1,87,2,aa,23,1315.0512889838153,3
164956,1,87,2,aa,48,116.64340987228567,3
164963,1,87,1,aa,49,727.716335514775,4
164964,1,87,1,aa,48,1159.0346119689991,4
164975,2,32,1,aa,28,131.85010620133062,3
164983,1,32,1,aa,28,395.95491862279323,3
165005,1,47,1,aa,2,1124.5930681948123,3
165036,1,46,1,aa,44,58.65839258021957,4
165139,1,46,1,aa,4,347.51616646796765,3
165207,1,79,2,aa,59,125.11854692875667,3
165221,1,35,1,aa,35,1245.8769941773464,3
165248,2,43,1,aa,24,361.07809207259487,3
165276,1,43,2,aa,48,1038.1288168069866,3
165289,1,67,2,aa,24,350.73296958936345,3
165368,1,20,2,aa,16,764.4005042588806,3
165451,1,77,2,aa,35,388.9710168256108,3
165454,1,87,2,aa,58,929.8309981084773,3
165463,1,87,2,aa,50,346.39415933674906,3
165486,1,87,2,aa,30,178.46667120990355,3
165589,1,84,1,aa,25,1062.8601982361572,3
165601,2,15,1,aa,35,1117.668573855588,3
165631,2,84,1,aa,18,384.3939119639703,3
165643,1,84,2,aa,2,420.4410103513708,4
165761,2,30,1,aa,3,344.04383405508645,4
165781,1,18,1,aa,16,360.6965036763663,4
165831,1,87,1,aa,2,360.93636044910767,3
165873,1,27,1,aa,2,1174.9995577919424,3
168213,1,27,2,aa,2,967.4659537089542,3
169345,1,84,2,aa,43,447.5092015768427,3
169613,2,79,2,aa,24,363.30994163554095,4
169652,2,32,2,aa,54,446.62892014760376,1
170208,2,32,2,aa,28,444.8258702852867,4
170795,2,78,2,aa,52,379.9466739629133,1
171248,2,86,2,aa,54,416.67281128134147,1
171400,2,30,2,aa,44,265.50757024135294,1
171402,2,75,2,aa,60,108.99319273927878,1
172272,1,75,2,aa,25,651.7933073766327,2
172315,1,33,2,aa,40,1283.4380684997518,2
172496,1,86,1,aa,42,756.9189556383169,2
173415,2,32,1,aa,28,989.3791382625368,1
173451,2,32,1,aa,63,1331.212306047507,1
173522,2,60,2,aa,52,1335.8032776044763,4
173614,2,31,1,aa,63,753.6400552566596,4
173687,2,16,2,aa,12,840.0132870866562,4
173769,2,16,1,aa,55,225.21685461418764,4
174029,2,22,1,aa,54,247.1478847601108,4
174065,1,77,1,aa,9,116.36337793681098,1
176144,2,25,1,aa,55,395.61629068001645,2
176235,2,15,1,aa,60,908.2022450703855,2
176318,2,15,2,aa,54,1098.9117008793964,1
176416,2,28,1,aa,20,177.06589536769698,2
176418,2,45,1,aa,53,670.6514299049734,1
176518,1,21,1,aa,14,217.6051062937881,4
176959,2,63,2,aa,18,70.91282734119734,1
176966,2,63,1,aa,14,879.4683214248694,1
177360,2,63,1,aa,12,431.7314995416233,2
177438,2,86,1,aa,44,904.5517445458753,2
177441,2,86,1,aa,61,424.0591996851671,2
177507,2,86,2,aa,45,770.8552501242034,2
178569,2,69,1,aa,24,806.7658075144226,1
179262,2,69,2,aa,14,1063.811485257049,1
179337,1,69,1,aa,17,785.721360573714,1
180267,1,67,2,aa,62,919.1901127457156,4
180361,1,19,1,aa,30,893.5828380719114,1
181363,1,30,1,aa,60,362.99169127786996,4
181797,2,45,1,aa,46,1222.1309992993392,1
181955,2,18,1,aa,27,216.07483958711842,1
183234,2,46,2,aa,61,228.8127099738931,3
183386,1,78,2,aa,27,366.6616012468906,3
183837,2,29,2,aa,31,69.20045743092705,3
184079,2,88,2,aa,11,767.6597923318387,4
184407,2,64,1,aa,61,856.3267389678788,3
184477,2,44,1,aa,44,649.6384465022983,4
184728,1,78,1,aa,15,796.2183836889022,3
184906,2,14,1,aa,29,1156.0813217017242,4
184910,1,79,1,aa,55,695.271131295557,3
184927,2,88,1,aa,45,693.7950745822561,4
185237,1,74,1,aa,54,862.2490500804942,4
188947,1,56,1,aa,19,133.51231208784142,2
189121,1,88,1,aa,61,1233.6788523819423,2
189350,1,88,2,aa,54,132.46941923571205,1
189423,1,19,2,aa,45,737.8757439359448,2
189442,2,25,2,aa,43,310.48002757663573,2
189462,2,20,2,aa,41,307.8640394579105,2
192581,1,16,2,aa,52,111.65620710615809,1
192951,1,46,2,aa,63,783.7779828569782,2
193930,2,70,2,aa,16,1277.8746451163363,1
194152,2,36,2,aa,23,1143.2520501746365,2
196831,2,16,2,aa,41,515.2652012174676,4
196974,2,22,2,aa,57,1342.2072385498968,2
197235,2,35,1,aa,57,125.21238388279248,2
197759,2,40,2,aa,42,1341.1483076154655,2
197987,1,52,1,aa,41,916.7202722915389,2
198273,1,46,2,aa,0,427.37486879047844,4
198623,1,22,1,aa,2,1275.5899680579396,2
199065,1,77,2,aa,42,463.9846349825677,3
199066,1,20,2,aa,34,202.15010433564962,3
199084,1,49,2,aa,7,18.650204607805577,4
199134,1,49,1,aa,3,1150.5601628122447,3
199175,1,40,1,aa,30,16.594728529983698,2
199290,1,79,2,aa,17,458.6940385072289,2
199431,1,71,2,aa,41,951.2217193014412,2
201311,1,83,2,aa,17,246.79330566790023,4
201811,2,21,1,aa,54,130.3658559809227,3
201891,2,79,1,aa,24,988.7045590553391,4
202018,2,79,1,aa,46,1269.1796037648414,3
202026,2,49,1,aa,31,118.66568479451547,4
202045,1,41,1,aa,3,627.1289842499941,4
202605,2,41,1,aa,2,841.1031402666915,4
202768,2,59,2,aa,46,626.7388439165971,3
203142,2,75,2,aa,35,871.7379482758485,3
203370,2,71,2,aa,19,1333.8144167370033,3
204004,2,83,2,aa,18,964.3609380869788,1
205242,1,71,2,aa,25,481.7811173560502,1
205344,1,14,2,aa,33,591.6989586826628,1
205539,1,20,2,aa,53,1037.8913618619035,1
205564,1,20,2,aa,35,384.8343563633442,1
205596,2,53,1,aa,18,409.4673508340238,4
205933,2,53,1,aa,40,982.6125569946483,4
206100,2,21,1,aa,28,587.9352193664453,3
206188,2,26,2,aa,46,906.6121666388842,3
206500,2,50,1,aa,61,923.8071929659413,3
206692,2,51,1,aa,2,483.6300443593176,3
207541,1,20,1,aa,46,1075.9008054410583,1
207784,2,46,2,aa,46,1333.6502540691797,3
208024,2,82,2,aa,43,16.938014562423255,1
208528,1,82,2,aa,43,787.8592925532098,1
208704,2,55,1,aa,24,803.8006645480102,1
208768,1,26,1,aa,2,1116.284984405322,1
208870,1,15,1,aa,50,1335.0179944480637,1
211002,1,47,1,aa,6,158.39401389407192,1
211074,1,81,1,aa,16,230.7968853763678,1
211316,1,39,1,aa,25,62.26833360228771,3
211551,1,52,1,aa,50,777.4953403804469,1
212024,2,87,1,aa,26,493.34559684055375,1
212336,1,87,1,aa,27,1158.2147773968354,3
212749,1,27,1,aa,57,18.591175548551817,4
213152,2,65,1,aa,27,70.90136220756895,4
213837,1,18,2,aa,59,1079.0807001496687,2
214060,2,81,2,aa,47,93.4594237352789,4
214261,1,65,2,aa,47,1225.233844493523,2
214621,2,36,2,aa,17,935.6455570212353,2
214891,1,81,2,aa,17,1135.1319280169355,2
215393,2,74,1,aa,61,964.2496568276247,4
215818,2,81,1,aa,0,147.8397386387441,2
216024,2,20,1,aa,47,16.264224303554705,2
216761,2,18,2,aa,35,4.5699280218942935,3
221280,1,21,1,aa,33,30.56843820029537,3
221322,2,21,1,aa,0,1129.6888229679857,2
221845,2,24,1,aa,60,62.62502287661525,2
222014,2,61,1,aa,50,819.9120480791612,3
222466,2,74,1,aa,0,1046.7405122119994,4
223167,2,44,2,aa,54,1073.572762886335,2
223256,1,37,2,aa,0,1287.4641634256664,3
223522,1,69,2,aa,42,517.9507281629211,2
223993,2,69,2,aa,42,1046.6958293211387,1
224139,2,21,2,aa,0,608.5658988765067,3
224222,1,21,2,aa,53,200.4080450247786,1
226779,2,86,2,aa,19,162.37189100600182,2
227001,2,54,2,aa,4,606.9607545241736,3
227021,2,53,2,aa,33,876.4507102785088,3
227183,1,74,2,aa,0,1192.3357650986757,1
227308,1,28,2,aa,63,871.9989248019083,2
229897,2,76,1,aa,5,603.9880475600027,3
230039,1,29,1,aa,5,493.6127328332914,2
230100,1,50,1,aa,19,57.278965023257186,3
230253,2,76,1,aa,19,865.1645323699133,4
230302,2,74,1,aa,27,1245.777829646012,1
