LEISTUNGSGRUPPE,TAETIGKEITSSCHLUESSEL4,B52,EF16U2,EF41,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
3,2,731.2950933792556,1,35,1,101
1,2,1159.3821950089489,3,35,3,101
3,2,996.737891054668,2,35,4,101
3,2,658.7043283206458,1,35,4,101
2,2,414.07161217147507,6,35,2,101
2,1,1150.3599114003332,3,35,1,159
3,1,996.737891054668,2,35,4,101
3,1,1089.67793439601,5,34,4,190
2,1,606.0568349265999,5,36,4,101
2,1,1101.3174726561342,3,36,2,101
1,1,444.66381277325456,6,36,4,101
2,1,1193.4240230223397,4,37,1,101
5,2,822.961952347088,2,36,3,101
2,1,606.0568349265999,5,39,4,101
2,1,1193.4240230223397,4,36,1,101
2,1,1129.6746396701276,5,39,4,101
2,2,1132.3736816267644,1,37,4,101
2,2,734.5160188507286,7,39,2,101
2,2,822.961952347088,2,37,3,101
2,1,1140.3356415577014,5,39,4,101
2,1,822.961952347088,2,37,3,101
2,2,557.1693633478936,6,39,2,101
4,1,216.14743200554713,4,38,2,101
4,2,808.0115042584889,2,39,3,101
2,2,241.60052062459474,2,39,1,101
4,1,241.60052062459474,2,39,1,101
4,2,125.08361814720412,2,39,2,101
4,1,1130.3968856097197,1,36,1,159
2,1,680.0913183870334,2,39,1,101
4,2,107.53827044179093,7,37,3,159
4,2,793.0359504903796,2,39,3,101
3,1,246.34662977900865,6,36,4,160
3,1,44.87154318252146,7,37,4,151
3,1,44.87154318252146,7,36,4,191
4,2,755.8599174845339,5,40,2,101
4,2,1205.3831689188319,6,40,4,101
4,1,124.31058503261119,2,40,3,101
3,1,730.6778015137319,2,40,3,101
4,1,1243.8801504749215,1,40,2,101
4,2,732.6418264426661,2,40,2,101
4,1,607.3674675690163,3,40,2,101
4,1,893.4613553873953,7,40,2,101
4,1,840.8093690896931,2,41,2,101
4,2,113.7638048617868,2,41,2,101
1,1,893.1010916542283,7,41,2,101
2,1,264.3798010326571,2,41,3,101
4,2,154.321499354821,6,41,1,101
4,1,216.54526569779298,7,41,1,101
2,1,1062.6840427784548,2,41,3,101
1,1,851.7374262673926,2,41,1,101
2,2,201.3902306735917,4,41,3,101
4,1,106.35509189227001,1,41,3,101
4,1,716.2964403099814,1,41,1,101
2,1,966.4579520333757,6,41,3,101
4,1,396.1540106274874,6,41,2,101
4,2,1267.6656589959023,1,41,1,101
2,2,824.9965841963597,2,42,1,101
1,1,426.77294548142714,5,43,2,101
3,1,766.6009447551212,1,42,2,101
3,1,45.02149975742863,4,43,4,101
1,1,731.1665167089835,7,42,2,101
3,1,562.789978027344,7,43,1,101
1,1,717.3040436793007,6,43,2,101
1,1,206.69095552158353,5,43,4,101
2,1,349.8893076727534,6,43,3,101
1,1,200.59835513778185,2,43,4,101
1,1,46.629875222323506,4,43,2,101
3,1,487.25837768449696,4,43,4,101
1,1,1149.4698198217345,3,44,1,101
1,1,1140.687038949414,5,44,4,101
1,1,538.8864504961888,4,44,4,101
1,1,942.0150573511885,2,44,4,101
1,1,126.46971501172408,3,44,3,101
1,2,205.86087455271155,7,44,2,101
1,1,484.52667269771916,7,44,2,101
1,2,1270.1173079402142,1,44,2,101
1,1,126.0408412622166,3,45,1,101
3,2,95.72904548977476,6,44,2,101
1,2,857.9754790430128,2,45,3,101
1,2,73.42233062850497,4,44,1,101
5,2,1036.8616675166552,3,45,1,101
5,1,1143.784300148351,5,45,2,101
1,2,1267.6199060614633,1,45,1,101
1,1,1265.5542020526582,1,45,1,101
5,2,304.1715284399833,4,45,2,101
5,2,670.3331508806848,5,45,4,101
3,1,1194.887875771644,1,46,4,101
5,2,362.92870057497436,2,45,1,101
5,1,706.0094956759734,5,46,1,101
3,1,415.4532044164484,4,46,2,101
3,1,202.88717016206877,5,46,3,101
3,1,47.937703932655694,5,46,3,101
5,1,965.5716221168221,6,46,1,101
3,1,768.302934937323,5,46,3,101
5,1,784.3054916434817,5,46,3,101
3,1,951.9758337792528,4,46,3,101
5,1,45.05581625300112,2,46,3,101
3,1,1046.228756603606,3,46,1,101
5,1,918.8436853094936,7,46,2,101
3,1,127.83816759844504,4,46,3,101
5,1,1098.148815810154,5,46,2,101
5,1,216.49264796809254,4,46,2,101
5,1,1210.9958883118254,3,46,2,101
5,1,733.7478799003645,2,46,4,101
5,2,264.53321254321463,4,47,2,101
3,2,1158.8783848954781,7,47,1,101
5,2,544.9287795698058,1,47,4,101
5,2,693.5192835547848,4,47,1,101
3,2,243.24608713690535,3,41,2,131
3,2,107.53131725821281,3,43,2,143
3,2,216.3981816298076,7,44,4,159
3,2,107.53131725821281,3,47,2,158
4,2,1192.5803830679401,5,42,4,184
4,1,562.789978027344,7,48,1,101
3,1,821.1382093761533,1,49,4,101
4,1,346.0868047469647,7,49,2,101
2,1,730.4251441201822,1,49,4,101
4,1,893.6511307716148,1,49,4,101
2,1,1133.532327838448,5,49,2,101
5,1,71.79146332753585,6,49,4,101
2,1,1294.2510180455167,1,50,4,101
4,1,732.0148907801333,1,49,2,101
5,1,905.6323569485812,1,50,4,101
5,1,729.405406493622,1,49,1,101
4,1,1075.02886602118,6,50,4,101
2,1,1142.7511935858076,5,49,3,101
5,2,729.405406493622,1,51,1,101
4,2,906.0513824503898,1,50,3,101
5,2,47.81104768878146,5,51,1,101
1,2,341.22366544726145,1,50,3,101
1,2,671.6384078444219,3,51,1,101
3,2,287.2321088876047,6,50,4,101
1,2,904.7692562378029,1,51,4,101
3,1,256.77930571996984,1,50,4,101
5,1,1142.477166585951,1,51,4,101
3,2,670.6584235834598,7,50,4,101
3,1,256.77930571996984,1,51,4,101
4,2,47.31896905751512,7,51,3,101
3,2,1134.2991396262112,2,51,3,101
4,2,733.3401766917668,2,51,3,101
4,2,348.6474697751339,1,51,1,101
3,2,392.81470503727536,5,51,1,101
5,2,820.9089668537445,6,51,3,101
4,2,879.6330099988005,1,51,4,101
3,1,821.2625959580961,7,48,3,192
1,1,256.3748030227118,6,51,1,101
1,1,339.0357080045216,2,50,2,194
4,2,47.31896905751512,7,51,3,101
4,2,1195.309968840677,3,49,2,249
1,1,590.6909591040143,2,52,4,101
1,1,127.31819440447197,1,52,4,101
1,1,816.091447896298,7,52,1,101
2,1,349.8489875486974,1,52,1,101
4,1,1258.7635470673335,5,52,3,101
2,1,1261.04576550343,5,52,4,101
3,2,351.3248459420306,6,52,2,101
4,2,964.1654087558079,4,53,3,101
1,2,20.523868743286307,5,52,3,101
3,2,127.786765243882,2,53,2,101
2,2,82.22513144133409,4,53,2,101
3,2,111.57569037339798,1,53,2,101
2,2,883.8378554320105,3,53,2,101
3,2,111.57569037339798,1,53,2,101
2,2,924.7040963737008,6,53,1,101
1,2,275.8845725144068,2,53,2,101
4,2,346.9024640775886,3,53,2,101
4,2,258.69099778610234,6,53,1,101
4,2,111.55518065448315,1,53,2,101
2,2,822.3985466886785,5,53,4,101
3,2,284.43823231425677,5,53,2,101
5,2,487.89234011610114,6,53,1,101
5,2,346.3752325030017,1,53,4,101
4,2,47.07722448391761,3,53,4,195
1,2,734.9563935273544,2,53,2,101
3,1,343.2030176671466,6,54,4,101
4,1,348.0905380663995,4,54,1,101
1,1,360.99004292655854,6,54,1,101
3,1,1042.3683815891304,2,54,1,101
5,1,891.5270864346415,2,54,4,101
4,1,803.4721439988873,3,54,4,101
1,1,216.19176607837522,3,54,1,101
1,1,684.6443896868213,3,54,1,101
4,1,1075.5387112607891,3,54,1,101
4,1,1194.7444070892266,4,54,4,101
4,1,787.9158378640025,3,55,1,101
2,1,493.95395013041684,5,56,2,101
2,2,929.0667414627418,5,57,2,101
4,1,329.3550596017768,1,57,4,101
2,2,1159.9946456316545,7,57,4,101
2,2,328.78932368711077,1,57,4,249
5,2,127.02518048779798,7,58,4,101
5,2,76.08834692181455,7,58,4,101
5,2,914.46929612555,7,58,2,101
1,2,111.745861293245,3,58,4,101
1,2,925.6814810096297,7,58,2,101
4,2,614.787636541427,6,59,2,101
5,2,652.5742738503865,2,58,2,101
1,1,229.82036394566202,3,59,4,101
4,1,1274.6389126610331,1,58,2,101
5,2,914.46929612555,7,59,2,101
4,2,1132.1781140845546,5,59,4,101
5,2,45.82872067978201,7,59,4,101
5,2,217.9042725605658,3,59,4,101
4,1,906.8512800004069,1,59,1,101
1,2,1036.3417194755275,4,59,1,101
5,1,391.5049802821354,3,59,4,101
1,1,613.867940456714,2,59,4,101
1,1,44.15190822509823,7,59,2,101
4,2,44.66568283593906,7,59,4,101
5,1,1157.2825068209966,3,59,4,101
1,2,1195.7253523037086,2,59,4,101
2,2,909.3002190858879,1,59,1,101
5,2,44.15190822509823,7,59,2,101
5,2,391.5049802821354,3,58,4,249
2,2,1195.3395168443287,2,60,1,101
3,2,46.19961193002733,7,60,3,101
3,2,200.05055901069784,1,60,1,101
2,2,1062.2221440701694,2,60,1,101
3,2,1039.0453000722841,2,60,1,101
2,2,344.57898325406126,1,60,1,101
3,2,347.63242103177487,1,60,1,101
3,2,1063.011222311655,2,60,1,101
2,2,351.71270039660504,1,60,1,101
3,2,1192.274551865722,7,60,1,101
2,2,1076.404979013644,5,60,1,101
3,1,1258.0282497739397,1,60,3,192
3,1,347.63242103177487,1,60,1,101
4,2,602.5071241985944,6,60,3,249
1,1,540.7759385453003,2,62,3,101
3,1,71.15056985783632,7,62,1,101
1,1,839.212767998564,4,62,3,101
3,2,964.4018922973435,4,62,4,101
1,1,675.975971999826,6,62,2,101
3,2,1270.7278833873265,6,62,2,101
4,2,542.8576565294314,5,62,4,101
4,1,1209.1102542806086,2,62,4,101
2,1,1195.3223611874348,4,62,2,101
3,2,485.4514634001217,5,62,4,101
1,2,1037.3777854174282,5,62,3,101
1,1,988.5438648618291,5,62,2,101
1,1,828.5553162572019,6,62,2,101
1,1,481.82771831602986,5,62,2,101
1,1,1230.4401779613117,5,62,2,101
1,1,562.789978027344,5,63,2,101
4,2,1157.022632669457,2,62,2,101
1,1,408.2520427063008,4,63,4,101
1,2,1158.01169208201,2,62,2,101
4,1,132.91642846834867,4,63,2,101
3,1,733.9396196903947,5,62,2,101
4,2,1036.5071162942745,2,63,2,101
1,1,685.5710996504038,7,63,2,101
3,2,1075.981392935849,5,63,2,101
3,1,689.6797417799282,3,63,2,101
4,2,1053.6099746424832,4,63,2,101
4,2,1037.3517086866127,2,63,2,101
4,2,1157.5959598658646,3,63,4,101
4,2,39.53010499417206,1,30,1,257
5,2,1315.6993689943079,2,17,3,284
2,2,1156.5163334614126,7,24,3,262
2,1,39.53010499417206,1,17,3,287
5,2,605.7891822987785,3,24,3,269
5,1,1001.1121342612,7,29,3,295
2,1,1124.020949714672,2,16,3,288
2,1,735.9214678955425,5,20,2,321
5,2,245.2116282938495,3,20,2,295
2,2,605.7891822987785,3,22,3,321
4,2,529.7643428198287,7,22,3,308
2,1,1159.193386256934,6,18,2,329
5,2,1130.0472056566477,2,28,2,319
2,2,79.69343450623052,1,26,4,335
5,2,614.1760169556256,5,30,2,321
3,1,295.6932124180502,1,21,3,338
5,1,1159.193386256934,6,20,2,330
5,1,1130.0472056566477,2,27,2,354
5,1,651.7641688848296,6,24,2,349
4,2,1156.5463358166414,6,24,1,364
3,1,334.05019619404936,4,28,3,365
3,2,496.7209290634441,5,24,2,373
4,2,695.9986485958227,6,19,4,384
5,2,284.53532340900256,1,17,2,395
1,2,343.48083752215103,3,21,2,412
1,1,292.3206919763434,2,18,4,412
1,2,292.3206919763434,2,18,4,413
1,2,330.3952994148307,4,22,4,415
1,1,626.7340074026895,2,19,1,417
1,2,259.4317266729228,6,28,4,425
5,1,390.8631025623823,4,20,3,421
1,1,626.7340074026895,2,20,1,431
1,1,148.47254333961092,1,8,4,436
1,2,513.2569264223536,5,19,1,439
3,2,493.31254379071663,2,29,1,465
1,2,410.49234798113764,4,26,3,451
2,2,626.2203227376818,7,29,4,468
2,1,412.8372385156561,2,18,4,498
1,1,602.2279045088809,6,26,1,500
1,1,217.91158011525195,7,30,1,502
1,2,1255.3821054900384,6,26,1,505
5,2,25.945786301690603,3,39,4,314
4,2,331.4331346214067,2,39,1,321
3,2,25.945786301690603,3,47,4,320
3,2,341.2589371594221,2,46,2,321
3,2,719.1414268612272,2,35,1,321
3,1,397.4669633411331,5,41,1,335
1,1,501.17844263732894,5,42,1,331
1,2,28.086855455469294,2,41,1,349
3,2,1175.9880331014895,3,47,2,336
1,2,501.17844263732894,5,37,1,352
1,1,446.26119487792823,3,37,2,339
1,1,230.16494254294378,2,41,3,354
3,1,415.07146496815574,5,33,2,349
1,1,770.4596769917681,5,36,4,356
1,1,783.6407806332057,5,46,4,356
3,1,846.9239590239745,6,37,4,357
5,1,390.8631025623823,4,34,2,368
3,1,334.91417935494866,2,35,4,364
3,1,609.858815459728,6,39,4,375
3,2,1159.0068734159702,6,32,3,375
3,2,1135.7388731623107,6,42,1,381
4,2,110.86297855050356,6,44,3,381
4,2,607.8622241630268,3,50,3,269
5,2,292.7914701853647,3,52,3,271
4,2,818.8337213629889,5,55,1,270
4,2,818.8337213629889,5,52,1,285
4,1,818.8337213629889,5,55,1,270
1,2,1061.8772670186331,7,53,3,286
3,1,1315.7453994791344,2,54,2,284
4,2,529.7643428198287,7,49,3,304
3,2,415.07146496815574,5,54,1,292
1,2,1315.7453994791344,2,49,2,309
3,1,735.9214678955425,5,48,2,311
1,1,783.6407806332057,5,48,1,318
4,2,728.011956861438,5,49,1,320
3,1,1175.4640995558927,2,54,3,320
1,2,719.1414268612272,2,51,4,321
3,2,1016.8507632827575,7,50,4,329
3,2,106.18578582423666,3,52,1,330
1,1,341.43243822891554,3,50,1,348
4,2,106.18578582423666,3,62,1,337
1,1,586.7960617504491,2,52,3,348
3,1,496.2740218526122,5,50,1,341
3,1,336.6221167328765,3,52,3,349
1,1,106.18578582423666,3,54,2,353
5,1,615.1078533268937,2,53,3,356
4,1,336.6221167328765,3,49,3,365
3,1,604.0646172170511,2,50,2,367
1,2,785.1791786532524,3,54,3,368
4,2,609.9387489316666,6,52,4,376
4,2,409.36676107269057,6,52,3,371
3,2,1119.2867925903686,6,52,3,383
1,1,332.13106766195244,5,43,1,385
4,1,1157.964080529845,3,42,4,413
3,2,265.0397177176633,2,42,4,398
1,1,846.9239590239745,6,42,2,414
3,2,1269.320755576716,6,44,3,450
5,1,414.2594291822357,5,40,4,420
4,1,777.9460207075733,5,46,4,454
3,1,393.7173847311436,6,41,4,430
4,1,217.31755820984932,7,47,4,462
3,1,822.6475738809586,6,40,1,451
3,1,1141.4769620305924,6,41,4,466
3,1,1141.248490205185,6,47,4,464
3,2,217.31755820984932,7,41,3,470
3,1,127.7303576600993,5,45,2,467
3,2,217.31755820984932,7,44,4,489
3,1,72.36172340764332,6,41,2,483
3,2,681.5945745047171,6,43,4,491
4,2,774.0730278888811,5,40,1,499
5,2,602.6628777368062,6,40,1,500
5,2,536.0618062719004,5,42,1,511
5,1,364.505073801582,6,49,2,412
3,1,574.3283435446699,5,50,2,484
1,1,691.6056187243474,6,49,4,480
4,1,600.0496681003472,6,54,1,499
4,1,259.79571877590536,6,51,4,502
4,1,774.0730278888811,5,60,2,506
4,2,606.4154507031692,6,64,4,101
4,1,626.7752295851584,6,64,1,101
5,2,693.4721864050188,6,64,4,101
5,1,830.7442623752144,4,64,1,101
4,2,841.9594770377903,3,64,4,101
4,1,866.0199214250144,3,64,2,101
1,1,716.0098679717127,6,64,1,101
4,2,695.330818535141,3,64,4,101
5,2,692.8098000319026,5,64,1,101
1,1,862.7145594497383,2,64,4,101
5,1,606.303070038225,6,64,4,101
2,2,729.7652305286128,5,64,2,101
2,1,477.5866894809395,3,66,4,101
4,2,485.4764900222735,7,66,3,101
4,1,843.2015685516973,6,66,2,101
4,2,828.5454330883227,4,66,2,101
3,2,546.4479106601909,6,66,1,101
4,1,717.8454179010979,6,66,1,101
2,1,134.69441125046674,3,66,3,101
4,2,670.6344975447428,3,66,1,101
3,2,367.4965588324121,7,67,4,101
3,1,349.42817564151943,4,67,4,101
5,1,547.8513324421629,6,67,4,101
3,2,927.3441078927365,1,67,2,101
3,1,216.35402681201583,5,67,3,101
2,1,475.91357047399896,3,67,4,101
1,1,1134.7139564610352,1,67,3,101
3,1,68.6765952443385,2,69,4,101
2,1,337.10755298414153,4,67,3,101
3,1,149.04670185493924,3,69,1,101
4,2,589.4261366214635,6,67,4,101
3,1,347.6703786940351,5,69,4,101
2,1,351.4532378751717,5,67,3,101
5,2,110.3320673508202,3,69,3,101
4,2,605.6353320084752,6,68,4,101
5,1,410.3425092932418,5,69,2,101
3,2,135.9992403063383,3,69,3,101
3,1,984.4277599982424,4,69,1,101
1,1,329.7243839544158,4,69,4,101
5,1,964.6124530441006,4,69,4,101
4,2,857.7102973637718,4,69,3,101
1,2,668.3031321759165,5,70,2,101
2,2,985.6041366692897,5,69,3,101
2,2,741.0334909921188,5,70,3,101
5,2,217.8125288740665,5,69,4,101
4,1,878.9521473655167,4,70,1,101
2,1,1134.257592249554,1,69,3,101
3,2,95.60667129568557,6,70,1,101
3,1,1128.2747125007897,6,70,1,101
2,1,775.875542064737,4,70,1,101
3,2,331.977249836144,1,70,1,101
1,2,1193.3158584501489,4,70,1,101
3,1,257.1857182964855,6,70,4,101
3,1,171.11993923639798,1,72,2,101
3,2,155.23066918764147,5,70,3,101
2,2,47.383095168310305,6,74,1,101
3,2,787.4791159531986,1,70,4,101
1,2,462.2913777676939,3,74,1,101
1,2,1140.5495313647746,1,70,1,101
1,1,1131.7803519645643,6,74,4,101
3,2,784.3097418945874,1,70,3,101
1,2,911.9978945515384,1,74,2,101
2,2,411.46008226964335,4,70,2,101
1,2,754.3316857162081,4,75,2,101
3,2,347.1207085273401,3,70,4,101
5,1,146.21649478434057,5,75,4,101
3,1,819.83774527272,6,71,1,101
5,1,766.4683465380366,1,75,2,101
2,1,550.9439283705027,3,71,1,101
5,2,600.1395229975559,3,75,1,101
2,1,820.0244224880736,1,72,1,101
5,2,856.8938439065797,3,78,1,101
5,2,1119.2841481430112,1,73,4,101
1,2,785.1380432968067,1,78,1,101
4,2,47.470926713544806,6,73,1,101
2,2,1039.2060334411635,7,79,4,101
5,1,907.3438090743471,1,74,1,101
5,2,893.8682339175481,5,79,3,101
5,1,1118.3297381801501,1,74,4,101
2,1,1052.6372486913745,4,79,1,101
1,1,350.6680084791967,6,74,1,101
1,2,988.1257061686656,5,79,3,101
5,1,562.789978027344,5,75,4,101
2,1,1038.3073546965845,5,79,3,101
5,1,849.8996057003385,6,75,1,101
2,1,642.8093089394636,5,79,1,101
1,1,1132.42152230621,5,76,4,101
1,1,463.00650526713554,3,79,1,101
4,2,348.2499408532074,1,76,3,101
2,2,1118.163829588821,1,80,2,101
2,2,257.9205208260643,5,76,3,101
1,1,1130.3237994556264,5,80,1,101
4,2,676.6695494379376,2,77,4,101
1,2,216.72081062506552,2,80,4,101
4,2,342.0111537871692,4,77,1,101
4,1,856.0324930806352,7,80,4,101
5,2,907.2324961649894,1,78,1,101
2,2,720.8281186607164,6,80,4,101
5,1,1041.4275996637205,6,78,4,101
2,1,332.56270523427696,1,81,4,101
2,2,1118.5770487343893,1,79,4,101
4,1,892.8569885610348,3,81,3,101
5,1,360.95012499002985,6,79,2,101
2,1,1039.1678164686716,7,82,4,101
4,1,126.47744003861789,1,79,4,101
3,1,414.64677578675526,6,82,2,101
4,1,125.17052025855166,7,79,4,101
4,1,1129.3507473013829,1,82,1,101
3,1,892.9300251417467,5,80,2,101
2,1,414.48846522649933,3,82,3,101
2,1,1128.9870020144658,6,80,2,101
3,2,756.3553306101696,5,83,1,101
3,1,774.7269328976345,5,81,3,101
4,2,1038.0996771177427,3,83,1,101
5,2,1118.8259696617267,1,81,2,101
4,2,349.19075866908975,7,83,3,101
5,1,1175.1756394293245,3,82,1,101
5,2,244.10345340291818,3,83,3,101
4,2,717.1878093233341,5,82,1,101
3,2,719.5823498476622,6,83,2,101
4,2,1042.5477048420523,3,82,4,101
3,2,893.2166400702941,7,85,3,101
5,2,361.7643375715353,6,82,3,101
4,2,1143.2340853149265,4,86,2,101
2,1,1072.9070025743376,6,82,1,101
4,1,893.4309591074255,3,86,3,101
5,1,428.31119240703623,6,82,4,101
2,1,386.4591349647668,4,86,4,101
4,1,1158.4902338390873,3,83,2,101
3,2,1156.9009789233467,5,86,3,101
3,2,1037.481848628697,3,83,3,101
5,1,1044.0221365356695,6,86,4,101
4,1,748.7980860707042,6,83,2,101
5,2,386.8830038093358,7,86,4,101
4,1,725.4952242266962,3,83,4,101
3,1,1193.8841099682634,5,87,3,101
5,1,351.71573209411895,4,83,2,101
4,1,106.35498533032118,7,87,3,101
3,1,1158.9612578319468,3,83,1,101
4,1,104.35437366942928,1,87,2,101
2,2,1157.9812458056153,2,83,1,101
4,1,824.7373195104732,6,87,4,101
3,1,717.3139282368717,3,83,3,101
2,2,1149.5826068121812,7,87,4,101
5,1,1159.2485628168236,3,83,4,101
4,2,83.02246208003885,3,87,4,101
