EF16U2,TAETIGKEITSSCHLUESSEL4,B52,TAETIGKEITSSCHLUESSEL5
4,2,850.8467327225472,4
5,2,681.189637595204,4
4,2,966.4037475867744,4
5,2,785.6975441514093,4
4,2,731.1728604689813,4
5,2,994.7562335038159,4
4,2,965.7843661868891,4
5,2,741.7583045022159,4
3,2,216.75839104242235,4
3,2,247.4799104432994,4
3,2,216.31645017392765,4
3,2,160.07756080678632,4
3,2,246.2423769350148,4
3,2,244.04812741316,4
3,2,206.41219535485104,4
3,2,204.518849421954,4
3,2,175.656350324976,4
3,2,207.8990812799885,4
3,2,203.36214377733248,4
3,2,242.8269223869622,4
2,2,463.4842535670033,4
2,2,462.71539068958856,4
2,2,494.93105572951316,4
2,2,494.857463148046,4
2,2,343.23058098966357,4
2,2,336.02588125472556,4
2,2,486.41047466552726,4
2,2,293.89585048823346,4
2,2,333.5604056311951,4
2,2,671.7948040003664,4
2,2,670.0367591044201,4
2,2,685.1840347944866,4
2,2,704.8963755628838,4
2,2,676.5138758727614,4
2,2,682.271306567586,4
3,2,736.1505393911059,4
3,2,749.9570799215162,4
2,2,735.0566842146198,4
2,2,707.2489177607125,4
2,2,864.719959669964,4
3,2,671.692645326803,4
3,2,670.9124602456229,4
3,2,705.5261622590417,4
2,2,711.8046371541844,4
1,2,683.7600364933331,4
1,2,809.1252753299752,4
1,2,671.8355211462576,4
1,2,671.9085765908362,4
1,2,710.1122537543895,4
1,2,672.0622523577134,4
1,2,731.3314063637442,4
1,2,671.9297192642049,4
1,2,670.5426518121059,4
1,2,161.46494701238976,1
1,2,117.6350167502693,1
1,2,125.31917225587891,1
1,2,170.59257463145923,1
1,2,292.78152654869905,1
1,2,175.25327303256728,1
2,2,499.11138000960506,3
2,2,486.43217325241187,3
2,2,500.21934279632876,3
2,2,499.2023134950634,3
3,2,388.47484751858747,3
3,2,29.438543291410994,2
2,2,86.43705582762814,3
3,2,384.31267516466136,2
3,2,484.6127961253008,3
2,2,226.58427981064494,3
3,2,127.68088613154208,2
3,2,389.92287672615055,3
2,2,391.0523450351174,3
3,2,28.055766924841848,2
3,2,83.2031552978348,3
2,2,387.71514531829445,3
3,2,480.1133751600958,2
3,2,444.25491250080574,2
3,2,242.85080774754786,2
2,2,495.9514915202215,2
2,2,423.0849198394617,2
3,2,484.9103689259046,2
3,2,61.78318447429788,3
3,2,256.4173139286732,3
2,2,711.0195449244616,3
2,2,710.0873871145858,3
2,2,725.1327313794686,3
2,2,708.4386217163092,3
2,2,671.1472515741156,3
2,2,734.4694708803835,3
2,2,723.351679337527,3
2,2,876.8360431183224,2
3,2,679.4971514920832,3
2,2,728.9365322244732,3
3,2,893.6916315750473,3
3,2,765.5038148368848,3
3,2,850.2256703562624,3
3,2,727.5556504773501,3
2,2,841.0767157871494,3
2,2,684.3523074394606,3
2,2,893.171212292923,3
2,2,724.7425827891643,3
2,2,810.53341607068,3
2,2,679.1701209008377,3
2,2,731.4539642962367,3
2,2,723.3910357855475,3
2,2,654.7658071257504,3
3,2,877.747873754935,2
3,2,807.0123888607037,3
3,2,878.3082112571828,2
2,2,813.404757675868,3
2,2,728.4201163241016,3
3,2,742.5531384988318,1
3,2,733.3888170537915,1
3,2,732.5377352782891,1
3,2,670.0669387074832,1
3,2,671.6163249747173,1
3,2,876.768480043503,1
3,2,878.0015302479942,1
3,2,877.1881735110512,1
3,2,905.2312675456035,1
3,2,876.9079286725038,1
3,2,876.3896833708565,1
3,2,820.7476203888149,1
3,2,817.1344634997349,1
2,2,670.234720022298,1
2,2,671.6094974333312,1
2,2,649.7469261335694,1
2,2,649.4552152492249,1
2,2,670.1141414110091,1
2,2,655.5437384834892,1
2,2,653.3098386025546,1
1,2,349.45155542181544,3
1,2,168.6416369908542,2
1,2,134.0183567488476,3
1,2,264.7406361680798,2
1,2,146.03516989821503,2
1,2,168.28161991059395,2
1,2,114.56950772433675,3
1,2,113.35220161697201,2
1,2,134.60840767270977,3
1,2,483.05690175621277,2
1,2,335.09612890931993,3
1,2,445.26019284660293,2
2,2,459.4289406778239,1
3,2,175.51974862344238,1
2,2,306.3740987711586,1
2,2,308.7620475703717,1
2,2,293.4006981169004,1
3,2,484.8108935825628,1
2,2,258.3452161476345,1
2,2,245.3893716062717,1
3,2,125.15982884824243,1
3,2,502.4454394878656,1
3,2,125.59115327111016,1
1,2,907.8397776900392,1
1,2,908.3559474747175,1
1,2,904.4009163803254,1
1,2,809.7374530043944,1
1,2,907.1469514375726,1
1,2,725.2876169683399,1
1,2,585.5538998584151,1
1,2,814.9424907991139,1
1,2,724.7049270180299,1
1,2,909.8792082379686,1
1,2,515.3686171514398,1
1,2,553.5064290123925,2
1,2,868.352666952215,2
1,2,807.800337231089,3
1,2,867.879267370419,3
1,2,531.5687623086394,2
1,2,529.7139622525956,2
6,1,1263.2121090157902,2
6,1,1260.2604977850508,2
6,1,1256.7303323413119,2
6,1,1273.010619220407,2
7,1,1175.5457206689623,3
6,1,1131.6249511067597,2
7,1,1133.4784149174818,2
7,1,1223.480392080389,2
6,1,1257.0550217227392,3
7,1,1130.7871474592919,2
7,1,1133.703182565329,2
6,1,1260.263056574291,2
6,1,1277.5713632706136,2
7,1,1131.389724689444,2
6,1,1260.017192889131,2
6,1,1156.654760381281,2
5,1,1158.814565813368,2
4,1,1315.8342952108203,3
5,1,1129.3613170149745,3
4,1,1342.551664364517,3
5,1,1133.2656545527984,3
4,1,1156.7061097071514,2
5,1,1279.8084767715798,3
5,1,1129.8273144462387,2
5,1,1230.2875430887395,2
4,1,1314.2056073735228,3
5,1,1330.8955750346693,3
5,1,1335.9449471657178,3
4,1,1315.1266319704412,3
5,1,1227.8502389579637,2
4,1,1263.543280148258,3
4,1,1343.2782830403198,3
5,1,1141.6298501510735,1
5,1,1143.9829499528846,1
5,1,1142.0070182629136,1
5,1,1142.6781692373556,1
5,1,1143.5508857980599,1
5,1,1135.0391050815813,1
5,1,1135.1698668795686,1
5,1,1130.072083287658,1
5,1,1131.4837266928462,1
5,1,1142.413279655217,1
5,1,1143.5752458055567,1
6,1,1260.310840013685,1
6,1,1248.6485269888985,1
6,1,1219.129215957766,1
6,1,1258.4127036233301,1
7,1,1173.3485809723718,1
7,1,1140.6544104577488,1
7,1,1159.6725295724511,1
1,1,839.2876786247917,4
1,1,839.247296014036,4
1,1,799.2460002422804,4
1,1,797.0422485776285,4
1,1,814.5170638863849,4
1,1,815.6671701273809,4
1,1,815.3234134143885,4
1,1,705.0378507304372,4
1,1,704.1156115997924,4
1,1,708.8252478986111,4
1,1,708.1382410820399,4
1,1,708.5594687423124,4
1,1,707.3795009392873,4
1,1,705.8421446834091,4
3,1,884.516026528979,4
3,1,801.5117687614689,4
3,1,877.2193953932971,4
3,1,859.7913037214902,4
3,1,781.9126860627455,4
3,1,769.5459176202878,4
3,1,868.4151336088972,4
3,1,818.3860687635017,4
3,1,808.533330689612,4
3,1,885.5754531386843,4
3,1,857.3456208213124,4
3,1,770.6252231386584,4
3,1,926.7671709321371,4
3,1,800.0938570157343,4
3,1,821.500245752442,4
3,1,897.118262912724,4
3,1,809.1926065583407,4
3,1,960.0451991980625,4
4,1,44.90573686380979,3
4,1,110.49581491818668,3
4,1,90.48734636696135,3
4,1,87.93017114354019,3
4,1,118.82629519946025,3
4,1,115.63537604691062,3
4,1,115.16203086330108,3
4,1,46.21731741825941,3
4,1,113.39542535804082,3
4,1,347.3905598263959,2
5,1,128.020791876265,3
5,1,2.2896852175406988,2
5,1,89.70769729497675,2
4,1,347.0621635395114,2
5,1,114.8284406728581,3
4,1,351.0444415614539,2
4,1,282.49137640730606,3
4,1,151.33500075462038,2
4,1,150.26779273383266,2
4,1,155.42896312108257,3
5,1,200.5968384664592,3
6,1,114.60638219948679,3
6,1,204.8895176087433,3
6,1,162.31556063416375,3
6,1,90.02877005796057,3
6,1,174.4515293213335,3
6,1,285.9918892651053,3
6,1,275.69670385638165,3
6,1,398.7332930541982,3
6,1,274.55391668148224,3
6,1,104.5628419201136,2
6,1,82.20832313849337,2
6,1,110.18279337082517,2
6,1,107.37296995233316,2
6,1,111.8731603008766,2
6,1,115.68678214640676,2
6,1,351.5300107533787,3
7,1,163.24085923447464,3
6,1,125.7219617736071,2
6,1,104.28819741112594,2
6,1,395.8243618783072,2
6,1,205.65452168427723,3
7,1,216.3941366538608,3
6,1,413.1396882179865,2
6,1,217.5034704921233,2
6,1,63.938861928061705,3
7,1,217.96312855455764,3
7,1,149.3511506458835,2
6,1,393.29891314941773,3
6,1,126.5292201025743,2
6,1,126.7733612029647,2
6,1,76.39141583896597,2
5,1,562.789978027344,1
5,1,613.5497114109666,1
5,1,538.3489008360458,1
5,1,651.436093820894,1
5,1,867.4719751115,1
4,1,671.8287122665332,1
4,1,984.407407594319,1
5,1,817.1069363277921,1
4,1,758.8511528161259,1
4,1,670.0561539140662,1
4,1,710.2638539595719,1
4,1,610.4976916352529,1
4,1,723.2322191387846,1
5,1,739.1015921062101,1
6,1,654.6132898404934,1
6,1,624.4701129022825,1
6,1,654.7256698614694,1
6,1,653.5481106622007,1
7,1,765.6500320838095,1
7,1,568.4735999266538,1
6,1,590.6221377984144,1
7,1,815.4693722220552,1
6,1,816.1561493521784,1
7,1,680.7521268215745,1
7,1,607.6219373826204,1
6,1,893.1416219284897,1
5,1,217.47918908886555,1
5,1,225.62790794505253,1
5,1,151.90171434311276,1
5,1,150.22272219872528,1
5,1,167.8304131323612,1
5,1,147.4689423251869,1
5,1,149.2634857668947,1
5,1,147.78374951603524,1
5,1,227.74237382220804,1
5,1,227.38364936963725,1
4,1,411.94478783398597,1
4,1,411.7134240764472,1
4,1,409.16096147470194,1
4,1,413.1154828333462,1
4,1,414.89761648299947,1
4,1,414.45067963389107,1
4,1,412.1410581191902,1
4,1,415.0185571223973,1
4,1,414.0212037766914,1
4,1,413.01942606950047,1
4,1,423.45541755271194,1
4,1,421.12441350475723,1
4,1,421.39166636329827,1
4,1,410.4955250611108,1
4,1,412.15313768360096,1
4,1,965.7703567204261,2
4,1,670.4016209051135,3
5,1,857.8009623020762,3
5,1,718.9724573252772,3
5,1,758.7016088356133,3
5,1,717.0871716421859,2
4,1,626.7245720829927,2
5,1,730.4668290558353,3
4,1,753.4494890852101,2
5,1,841.7996012730205,3
5,1,551.5488961107334,3
5,1,729.0641874505502,3
5,1,529.6999883534288,2
5,1,531.3697161081999,2
6,1,648.0255429841128,2
7,1,986.7730518297955,2
6,1,814.7536571878771,2
6,1,928.1507974946743,2
6,1,966.8575717439185,2
6,1,649.5635274397894,2
7,1,859.3056307639679,3
7,1,671.206117219614,2
6,1,651.8554373587899,3
6,1,809.9547170707599,3
7,1,821.4833742527909,2
7,1,723.3465777730961,3
7,1,627.6935334015884,2
6,1,624.1848298999471,2
6,1,692.3537508168611,2
6,1,670.4996149056458,2
6,1,653.3421383546122,2
6,1,817.8693123484925,3
6,1,688.3999745996025,2
6,1,840.3650764905765,3
6,1,919.169135700866,3
6,1,626.2892830372077,3
7,1,116.15806532127098,1
7,1,112.39090944930264,1
7,1,104.59122704434515,1
7,1,114.76050417432808,1
7,1,113.0679567763394,1
7,1,70.8858786811166,1
6,1,275.61355685817256,1
6,1,411.3349779034154,1
7,1,104.91651267861548,1
7,1,116.98717389764472,1
6,1,275.6816752216245,1
7,1,410.10408802183235,1
6,1,412.7524328485113,1
6,1,461.4610557763438,1
7,1,217.23983386374493,1
7,1,414.6618559293764,1
1,2,1099.5452068515501,1
1,2,1117.1215257801966,1
1,2,1232.5437350219843,1
1,2,1047.0686049888445,1
1,2,1135.871292149606,1
1,2,1142.8114355390662,1
1,2,1259.2224431572051,1
3,2,1272.9616577887978,3
3,2,1277.0254412419308,3
3,2,1193.161820537724,3
3,2,1104.4398321342394,3
2,2,1254.6228148110886,3
2,2,1265.9516314716332,3
2,2,1264.9279231133091,3
2,2,1267.4008036204814,3
2,2,1249.8764215131164,3
2,2,1252.723547519293,3
2,2,1129.2175707054444,3
2,2,1159.8649751892683,3
2,2,1107.8925615947649,3
2,2,1203.065357984047,2
2,2,1147.8462285034366,2
2,2,1149.434378212625,2
2,2,1108.6731470532704,2
2,2,1105.4645719712196,2
3,2,1036.0433903053104,2
3,2,1133.380490790561,2
3,2,1058.9639321914908,2
3,2,1072.1136132177546,2
3,2,1058.789770081487,2
3,2,1057.3214087555164,2
3,2,1514.8031348320887,1
2,2,1072.5672223705533,1
2,2,1107.9787796854202,1
2,2,1262.9935797155047,1
2,2,1155.2205405847476,1
2,2,1173.5454355461766,1
2,2,1309.8090552489498,1
1,2,1250.5365624724154,3
1,2,1158.2412407917654,3
1,2,1158.4704043877164,3
1,2,1157.0231981354207,3
1,2,1116.6528756894688,3
1,2,1116.0872000608886,3
1,2,1250.4546054487898,3
1,2,1135.3385055332567,3
1,2,1128.2325771033354,3
1,2,1256.760307645617,3
1,2,1261.6992838998704,3
1,2,1257.8470514992277,3
1,2,1159.5466604211642,3
1,2,1157.0945153446112,3
1,2,1157.239570552729,3
1,2,1039.7732227757726,3
1,2,1038.1095248951883,3
3,1,1040.6545144925485,4
2,1,1142.259828959054,4
2,1,1157.5755297540784,4
3,1,1222.9970504823045,4
3,1,1111.6352216429952,4
3,1,1222.7175857895438,4
3,1,1221.6941970062226,4
3,1,1141.4079280806995,4
3,1,1042.194500803929,4
3,1,1044.7903165711887,4
3,1,1194.103647553628,4
3,1,1192.796436627274,4
2,1,1193.4723002151875,4
2,1,1194.8467210042436,4
3,1,1141.6380093957707,4
1,1,1111.4916973967643,4
1,1,1047.462529847755,4
1,1,1130.256491167968,4
1,1,1047.6366402611748,4
1,1,1041.535256599571,4
5,2,892.9771761350471,3
5,2,892.8794131246945,3
5,2,892.5103018325726,3
5,2,893.5709517672555,3
5,2,893.7348575964505,3
5,2,893.7872858361566,3
5,2,892.8361101110311,3
5,2,893.6066973932826,3
5,2,892.1775441476302,3
5,2,893.1489587062678,3
5,2,556.0924661218094,3
5,2,557.1830445571736,3
5,2,555.2574167148601,3
5,2,562.789978027344,3
5,2,562.789978027344,3
5,2,562.789978027344,3
5,2,562.789978027344,3
5,2,562.789978027344,3
5,2,544.8353951932946,3
5,2,549.1184789004151,3
5,2,547.8942155235311,3
5,2,573.8268018041691,3
7,2,831.8511834867012,2
7,2,827.3415310630343,2
7,2,879.1650145046738,2
7,2,892.2564145502948,2
7,2,847.9873272965024,2
6,2,672.0951505893186,2
6,2,653.4698908541689,2
6,2,695.8081720810316,2
6,2,676.7597004911852,2
6,2,653.9656843114362,2
7,2,676.8687189935588,2
7,2,920.5223909720836,2
6,2,683.7935239460868,2
7,2,677.7052496215287,2
7,2,680.1261162006352,2
6,2,678.029600556167,2
6,2,816.529890688084,2
6,2,817.0008964539516,2
7,2,809.8436959021956,2
7,2,827.6178509407374,3
7,2,851.512957454093,3
6,2,815.5711116161502,2
6,2,650.8105845653447,2
6,2,626.7276106318344,2
5,2,892.1480033805764,1
5,2,876.858364643076,1
5,2,871.7599011751282,1
5,2,557.191107499194,1
5,2,727.1080489870362,1
4,2,554.1311993640103,1
4,2,911.0067977437322,1
4,2,739.5783104506307,1
4,2,753.6821384505296,1
5,2,670.7014244466857,1
5,2,531.4326827544144,1
5,2,764.6156302278954,1
4,2,877.198468423341,1
5,2,514.271733139661,1
6,2,362.11091064534247,2
6,2,447.9329236752333,2
6,2,484.8742187484761,2
6,2,485.6438744755665,2
6,2,373.346111270229,2
6,2,486.3052092520718,2
7,2,119.1875042982962,2
7,2,11.675022705760881,2
7,2,75.73559773466931,2
7,2,46.094507309769114,2
7,2,116.42394398864589,2
6,2,377.89432300956184,3
6,2,386.8063023355469,3
6,2,391.2988979593198,3
6,2,485.9370581983393,3
6,2,487.7828092064961,2
6,2,127.0265465408672,2
7,2,480.9898213750309,3
6,2,396.6296100487965,3
6,2,486.8987368304847,3
7,2,175.72313679685624,3
6,2,257.4921264405738,2
6,2,397.28243579775426,3
7,2,292.75861744811357,3
6,2,484.8981668457583,3
7,2,202.6497882851715,2
7,2,177.84381335640762,3
7,2,200.93121943728792,2
6,2,165.3515136662413,3
6,2,275.2966820710538,2
7,2,125.54886928334346,3
7,2,492.5907854257841,3
6,2,125.98494994329862,3
6,2,60.07476367128392,3
7,2,486.73904061594016,3
6,2,487.1364107182648,2
6,2,361.48268544871945,2
6,2,161.85227128374945,3
7,2,748.4951688423945,1
7,2,756.6039624544956,1
7,2,750.0240793467956,1
7,2,519.9170894536309,1
7,2,681.5599781046926,1
7,2,624.385497843508,1
7,2,846.3540579916468,1
7,2,811.5050646814017,1
6,2,966.7842282739186,1
7,2,753.2333510582062,1
6,2,640.5070731880477,1
7,2,751.896996834538,1
4,2,125.4587692150851,2
4,2,111.81115150699969,2
4,2,89.70483237518859,2
4,2,126.58150470923496,2
4,2,127.71199997922298,2
4,2,106.13794219630941,2
4,2,91.5353550867249,2
4,2,110.4932317167763,2
4,2,90.6887373582948,2
5,2,206.11825350525464,3
5,2,240.39769990207154,3
5,2,202.09747856073568,3
4,2,29.44161439950477,3
5,2,331.4367555192903,2
5,2,17.6456254633028,2
4,2,367.0341029097236,2
4,2,388.54295721638186,2
5,2,0.19577036226163713,3
5,2,8.32608486439255,2
5,2,93.26541098341953,2
5,2,206.24757062420753,3
4,2,369.7361279452051,2
4,2,111.81819206418166,2
4,2,383.2686210939672,2
5,2,244.80921871037566,2
5,2,206.65099129330432,3
4,2,387.48164113994335,1
5,2,373.5191810215091,1
4,2,386.4279291085762,1
4,2,162.50793538724216,1
5,2,202.84269420840866,1
4,2,408.9297229430381,1
6,2,372.15898079100106,1
7,2,370.65716393343945,1
7,2,351.1339585393646,1
6,2,292.5641055373538,1
7,2,163.17328885010542,1
7,2,109.44178924360045,1
7,2,119.3419286715326,1
2,1,831.3552896761926,1
2,1,833.9159743396385,1
2,1,993.7233688219247,1
2,1,813.9074856553603,1
2,1,1005.8541027323002,1
2,1,773.6248010347186,1
2,1,735.0690467888744,1
2,1,531.9730987027135,1
2,1,748.4140595993275,1
2,1,630.5029163485623,1
2,1,574.7523409224796,1
2,1,654.310727734123,1
2,1,719.3495663054638,1
2,1,653.9245813221872,1
2,1,717.3180003726126,1
2,1,610.2329344825248,1
2,1,766.1850190340151,1
2,1,539.6195603417652,1
2,1,994.1354457601676,2
2,1,1008.4269068126263,2
2,1,899.5494859248646,2
2,1,677.4503324791942,3
3,1,817.9369200430162,3
2,1,670.1621911651052,3
3,1,837.2744721541704,3
3,1,784.5824075072951,3
3,1,913.470971098815,3
3,1,914.4052467272129,3
3,1,878.002677212811,3
2,1,650.9010297243136,2
2,1,840.1804259404255,3
3,1,812.0756878432202,2
3,1,877.227610513484,3
3,1,670.2532350160615,2
3,1,627.4308483113006,3
2,1,876.413633450195,3
2,1,800.884836685699,3
2,1,912.836184910671,2
2,1,833.749659105395,3
3,1,731.064972143757,3
3,1,732.0656697481039,3
2,1,671.1899670210682,3
3,1,820.7325997779368,2
2,1,701.4980562844586,2
2,1,174.00911803601602,3
2,1,134.978858800486,3
2,1,132.65108280271818,3
2,1,129.76575480352017,3
2,1,171.29217569348452,3
2,1,216.40787573533362,3
2,1,227.17871283376942,3
3,1,286.2776102518251,3
3,1,286.72414489416644,3
3,1,272.92527389408644,3
2,1,422.2996320316326,3
3,1,134.83721799763705,3
2,1,231.81666466887478,3
3,1,395.1347788991066,3
2,1,31.95419090323926,3
2,1,129.71243649788173,2
2,1,446.182671329781,2
2,1,426.1606623311372,2
3,1,467.3065977204115,2
3,1,131.63125165954622,3
2,1,277.10520550647954,1
2,1,478.4885939535419,1
2,1,506.6259728981577,1
2,1,430.03948062917624,1
2,1,412.16372127179864,1
2,1,293.8299040779742,1
2,1,258.5165114770472,1
2,1,459.0535605892611,1
2,1,408.92537601855264,1
2,1,422.95314281545006,1
3,1,292.991961091123,1
3,1,292.5115442733874,1
3,1,292.076153250268,1
3,1,293.14388291845387,1
3,1,292.9961141145337,1
3,1,293.9364792370892,1
3,1,293.1201587260442,1
3,1,414.81945327208206,1
3,1,409.85403038879633,1
3,1,414.4796906981566,1
3,1,409.0892876659906,1
3,1,413.41767545162384,1
3,1,415.979857360342,1
1,1,329.5120761610601,3
1,1,108.09917046987817,3
1,1,116.61382530528343,3
1,1,231.33376389186958,3
1,1,109.64577796386246,3
1,1,108.9897614944198,3
1,1,119.62195875038657,2
1,1,113.06521644885491,3
1,1,332.2830143008565,1
1,1,375.82177175969247,1
1,1,327.1677055302297,1
1,1,344.25123853746857,1
1,1,371.1082391452462,1
1,1,339.0342307129169,1
1,1,366.5227300945591,1
1,1,376.621083650801,1
1,1,365.3647620054804,1
1,1,836.2204391163541,3
1,1,839.0994177345372,3
1,1,802.8540036467773,3
1,1,801.4431445203803,3
1,1,813.8549593448228,3
1,1,814.0037893321203,3
1,1,842.5436545511157,3
1,1,838.4674552369842,3
1,1,835.699986571825,3
1,1,803.2747454037733,3
1,1,807.7799649491988,3
1,1,866.2746448322833,3
1,1,864.8753826728458,3
1,1,807.560822633947,3
5,1,44.58123793094237,4
5,1,26.86778079807602,4
5,1,31.266454367617317,4
5,1,30.10989711062568,4
5,1,237.65751049308042,4
4,1,44.77789511773599,4
5,1,45.4518068735886,4
5,1,410.1204242214063,4
4,1,135.86413878209981,4
4,1,131.1176858825116,4
5,1,336.52984264766485,4
4,1,341.95469193677224,4
5,1,865.4224496037547,4
5,1,878.0225172177909,4
5,1,818.991064345064,4
5,1,818.7088446190098,4
5,1,806.7886417669184,4
5,1,878.940149991233,4
5,1,878.5470172372658,4
5,1,879.5246712578443,4
5,1,986.9223932099833,4
5,1,879.099098880946,4
5,1,877.9755719177368,4
5,1,876.8323656421765,4
5,1,805.0481821059243,4
5,1,755.2018117490119,4
5,1,673.4887581358771,4
5,1,686.4308801975835,4
5,1,690.5259401029948,4
5,1,728.4189409409174,4
5,1,722.9069890276718,4
5,1,748.0362642149178,4
5,1,641.3219123636561,4
5,1,675.6218460749434,4
6,1,674.9834646501554,4
6,1,663.3861669166752,4
6,1,711.3092982890814,4
6,1,742.8151784042394,4
6,1,726.3094748912899,4
6,1,672.6449042442761,4
6,1,709.9524435765697,4
6,1,640.9060974290144,4
6,1,690.8231241987587,4
6,1,726.6183525307503,4
6,1,757.0466035803889,4
6,1,626.6057036955267,4
6,1,625.0729748381622,4
6,1,626.8849873538676,4
6,1,625.0015241143174,4
6,1,626.0072440956662,4
6,1,625.6867268730571,4
6,1,625.505631872503,4
6,1,624.6332654875781,4
6,1,625.0034849494826,4
6,1,626.6219196464616,4
6,1,624.2380942107993,4
6,1,392.41795431118766,4
6,1,398.75894206743453,4
6,1,392.585851717173,4
6,1,414.8013552936314,4
6,1,410.89296948460367,4
6,1,395.9431561367632,4
6,1,398.2955258350787,4
6,1,344.73170944249665,4
6,1,344.1815564917244,4
6,1,409.69752920919234,4
6,1,399.30662218832714,4
6,1,394.0036737963935,4
6,1,384.61782268491004,4
3,2,1036.4978227844383,4
3,2,1193.5193555202097,4
3,2,1192.6159702451002,4
3,2,1194.1319399557722,4
3,2,1142.340422835254,4
3,2,1143.2153813400125,4
3,2,1142.111544246084,4
3,2,1195.9467948631461,4
3,2,1194.996480563497,4
3,2,1039.1578671808122,4
3,2,1039.5470167095157,4
3,2,1038.2309523751003,4
3,2,1145.008717546205,4
3,2,1145.4729313537086,4
3,2,1144.6676669578023,4
3,2,1156.059507471815,4
5,2,1340.8666422999402,4
5,2,1342.7768368782477,4
5,2,1053.204336486007,4
5,2,1051.8326837092054,4
4,2,1146.3602024355057,4
5,2,1333.621941635816,4
5,2,1331.8411799092887,4
5,2,1224.1130294663637,4
5,2,1133.434657008273,4
5,2,1130.1900560794181,4
4,1,1255.420378926058,4
4,1,1219.944086772535,4
4,1,1216.2791728183552,4
4,1,1237.8639134742118,4
5,1,1132.6229867349064,4
5,1,1128.8836329849614,4
5,1,1228.3048272512842,4
5,1,1228.660243215973,4
5,1,1228.9247770881393,4
5,1,1133.394896640086,4
5,1,1194.8829257158557,4
5,1,1194.677542071997,4
5,1,1143.4491251045677,4
6,1,1258.5009670328866,4
6,1,1272.2801539269424,4
6,1,1216.386704626375,4
6,1,1223.12702122565,4
6,1,1222.5395403642624,4
6,1,1278.6819585447754,4
6,1,1227.6661208434743,4
6,1,1219.0179569946993,4
6,1,1217.8919733066384,4
6,1,1278.9398874745664,4
3,1,1259.3016126983364,3
3,1,1129.2942482385722,3
3,1,1130.3467240093694,3
3,1,1273.8570399731225,3
3,1,1272.602072518004,3
3,1,1131.7134655508494,3
3,1,1128.765979616858,3
3,1,1260.656447508836,3
3,1,1257.0628925735978,3
3,1,1256.4339320650975,3
3,1,1040.8266605959911,3
3,1,1173.6931523242654,3
3,1,1172.001818543577,3
