EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,TAETIGKEITSSCHLUESSEL5
85190,1,36,2,aa,53,4
85346,2,21,2,aa,23,4
85373,1,42,2,aa,53,4
85463,1,70,2,aa,31,3
85499,2,70,1,aa,23,3
85508,1,41,2,aa,9,3
85900,2,31,2,aa,60,4
86227,2,31,2,aa,37,4
86460,2,64,1,aa,52,3
86624,2,90,1,aa,46,4
87040,2,65,1,aa,46,2
87253,2,30,1,aa,9,3
87502,2,67,1,aa,46,2
89348,1,35,1,aa,10,2
92269,2,20,1,aa,7,2
92335,2,34,1,aa,47,2
92377,1,35,1,aa,53,4
92599,1,41,1,aa,47,3
92965,1,51,1,aa,53,4
92990,2,66,1,aa,53,4
92998,1,78,1,aa,47,4
93086,1,57,1,aa,2,4
93412,1,35,2,aa,63,3
93513,2,57,1,aa,53,2
93539,1,52,2,aa,47,2
93679,2,49,2,aa,21,2
93725,2,90,1,aa,37,3
93761,2,32,2,aa,4,4
93884,1,90,2,aa,53,3
94184,1,67,2,aa,39,4
94197,2,68,2,aa,21,3
94229,2,88,2,aa,46,1
94260,1,56,2,aa,11,1
94276,2,69,1,aa,46,4
94312,2,90,1,aa,46,4
94315,2,56,1,aa,46,1
94346,1,54,1,aa,46,1
94527,1,37,1,aa,53,1
94527,1,90,1,aa,29,1
94601,1,68,1,aa,46,1
94853,1,37,2,aa,63,1
94861,2,19,1,aa,61,4
94963,1,57,2,aa,29,3
95025,1,34,2,aa,46,3
95099,1,40,2,aa,46,1
95244,1,44,2,aa,29,4
95369,2,76,1,aa,46,3
95518,2,57,2,aa,46,1
95591,2,57,2,aa,46,1
95650,2,19,2,aa,5,3
95806,2,57,2,aa,29,3
95822,1,57,2,aa,5,3
95855,1,57,1,aa,5,3
95863,2,42,2,aa,46,3
96043,2,40,1,aa,46,1
96216,1,55,2,aa,57,3
98359,2,63,2,aa,54,4
98436,2,46,1,aa,32,1
98594,2,71,1,aa,9,1
98667,2,62,2,aa,14,1
98815,2,15,1,aa,9,4
98914,2,41,2,aa,2,1
99237,2,73,2,aa,4,1
99297,2,18,2,aa,52,1
100090,2,79,2,aa,14,1
101806,2,32,1,aa,25,4
101814,2,32,1,aa,56,4
101828,2,77,1,aa,25,3
101851,2,78,1,aa,59,4
101898,2,71,1,aa,49,1
102073,1,62,1,aa,33,3
102280,1,22,1,aa,39,1
103313,1,70,1,aa,23,4
103371,1,62,2,aa,10,2
103715,1,55,2,aa,38,2
103743,1,61,2,aa,24,2
103902,1,80,2,aa,4,2
104124,1,67,2,aa,48,2
104628,1,78,2,aa,48,2
104838,1,78,2,aa,62,2
105229,1,87,2,aa,15,2
105906,1,51,2,aa,20,2
106219,1,70,2,aa,52,2
106253,1,64,2,aa,18,2
106444,1,64,2,aa,24,4
106490,1,61,2,aa,6,2
107570,1,61,2,aa,9,3
107588,1,83,1,aa,0,4
107629,2,32,2,aa,13,4
107646,1,32,2,aa,0,1
107713,1,52,1,aa,20,4
107751,1,35,2,aa,50,4
107829,1,35,2,aa,38,1
107845,2,44,1,aa,35,1
107873,1,32,2,aa,23,3
112744,1,32,1,aa,53,3
113025,1,82,1,aa,50,3
113073,2,32,1,aa,50,3
113147,1,51,1,aa,23,1
113254,1,63,1,aa,23,3
113900,1,63,1,aa,52,4
114145,2,47,1,aa,51,1
114214,2,47,1,aa,9,1
114250,2,81,1,aa,51,1
114728,2,50,2,aa,3,4
114783,2,46,1,aa,57,1
114881,2,37,2,aa,19,1
114934,1,31,2,aa,12,4
115023,2,31,1,aa,35,3
117348,2,46,2,aa,15,4
117672,2,37,2,aa,50,4
117826,1,69,1,aa,55,1
118227,1,19,1,aa,55,4
118582,1,20,1,aa,55,4
118957,2,58,1,aa,37,1
118976,1,69,1,aa,19,2
118980,1,39,2,aa,36,1
119056,2,21,1,aa,34,2
119318,1,38,2,aa,27,2
119347,1,30,1,aa,21,2
119356,1,22,1,aa,3,2
119386,1,30,2,aa,48,2
119501,2,85,2,aa,56,1
119502,2,49,2,aa,51,1
119597,2,17,2,aa,20,2
119746,2,38,2,aa,57,2
119776,1,75,2,aa,10,2
119782,1,18,2,aa,51,2
125000,2,29,1,aa,38,3
125221,2,29,1,aa,8,4
125282,2,66,1,aa,20,4
125402,2,17,1,aa,22,4
125758,1,15,1,aa,63,4
125840,1,17,1,aa,3,4
125954,1,53,1,aa,23,4
125963,1,30,1,aa,52,4
126242,1,19,1,aa,8,4
126327,1,29,1,aa,35,4
126755,2,20,2,aa,52,4
126944,1,71,2,aa,54,4
127003,2,18,2,aa,15,4
127109,2,30,2,aa,37,3
127166,2,29,2,aa,27,3
127337,1,37,2,aa,27,3
127348,1,21,2,aa,15,4
127412,1,53,2,aa,7,4
127500,2,31,2,aa,24,3
127536,2,87,2,aa,13,1
127678,2,71,2,aa,7,1
127835,2,31,2,aa,24,4
127892,1,20,2,aa,9,3
127933,2,67,2,aa,24,3
127956,2,67,2,aa,27,1
129210,2,15,2,aa,53,4
129605,2,31,2,aa,34,1
129900,1,46,2,aa,3,1
129901,2,80,2,aa,54,1
130564,2,57,2,aa,34,1
130801,2,80,2,aa,49,1
130934,2,59,2,aa,21,1
131492,2,75,2,aa,0,3
131862,1,87,2,aa,49,3
132104,2,60,1,aa,51,3
132152,2,18,1,aa,46,1
132175,1,62,1,aa,49,1
132896,2,83,2,aa,4,3
132964,1,55,1,aa,46,4
132982,1,39,1,aa,0,1
132992,1,55,2,aa,20,3
137149,2,42,1,aa,2,3
138050,1,42,1,aa,56,4
138795,2,69,1,aa,23,4
138829,2,17,1,aa,50,4
139337,2,42,2,aa,27,1
139523,2,40,2,aa,30,4
139618,1,49,2,aa,57,4
139972,2,17,2,aa,29,4
140403,2,33,2,aa,29,4
143316,2,35,2,aa,29,4
145424,1,40,1,aa,33,1
145430,1,67,2,aa,50,3
145557,1,42,1,aa,10,2
145560,2,39,1,aa,56,2
145690,1,16,1,aa,0,2
146041,2,34,2,aa,28,2
146209,1,18,2,aa,50,2
146227,2,53,1,aa,46,2
146333,2,29,2,aa,0,2
146582,2,80,2,aa,34,2
146831,2,29,1,aa,0,2
146887,2,29,1,aa,21,1
146898,1,87,1,aa,26,2
146966,1,34,1,aa,33,2
147286,1,59,2,aa,56,2
147348,1,80,1,aa,48,2
148515,2,59,2,aa,24,3
148521,2,87,1,aa,48,1
148528,2,14,1,aa,25,3
148539,2,29,1,aa,32,2
148563,2,80,2,aa,58,1
148573,1,29,2,aa,12,1
148589,1,53,1,aa,51,1
148648,1,30,1,aa,24,1
148764,1,32,1,aa,32,1
148788,1,60,1,aa,51,4
148828,2,29,1,aa,18,4
148834,2,74,1,aa,27,3
148842,1,70,1,aa,3,3
148845,1,60,2,aa,2,3
148855,2,78,1,aa,48,4
148872,2,30,2,aa,58,3
148918,2,50,2,aa,58,4
148978,1,83,2,aa,44,3
148984,1,50,1,aa,31,3
153606,1,58,1,aa,0,3
153754,1,35,2,aa,30,3
153813,1,31,1,aa,33,3
154042,1,31,1,aa,45,3
154275,2,86,1,aa,12,4
154467,2,14,1,aa,58,4
154468,1,71,2,aa,3,4
154504,1,80,2,aa,33,4
154525,1,54,2,aa,14,3
154532,1,55,2,aa,35,4
154546,1,31,2,aa,35,1
154549,1,53,2,aa,16,1
154628,1,53,2,aa,58,1
154643,1,54,2,aa,30,1
154832,1,55,2,aa,33,1
154882,1,83,2,aa,18,1
154913,1,31,2,aa,33,4
155204,1,15,2,aa,0,2
155323,1,71,2,aa,42,4
155427,1,49,2,aa,29,4
155437,1,83,2,aa,5,2
155451,1,62,1,aa,3,1
155456,2,43,2,aa,43,1
155541,1,87,2,aa,3,2
155641,1,34,2,aa,17,4
155996,1,90,2,aa,57,1
156765,1,32,2,aa,2,1
156777,1,85,1,aa,35,1
156916,1,79,2,aa,47,1
157128,1,86,1,aa,35,1
157148,2,85,1,aa,2,1
157819,2,86,1,aa,12,4
158084,1,15,2,aa,56,4
158389,1,62,2,aa,16,4
158420,2,88,2,aa,33,1
158460,2,74,2,aa,44,1
158492,2,78,1,aa,43,1
158587,2,57,1,aa,48,1
158748,2,66,1,aa,29,1
159138,2,74,1,aa,15,1
159246,1,28,1,aa,33,1
159493,1,27,1,aa,33,4
161409,1,67,1,aa,43,4
162834,2,44,1,aa,7,1
162880,2,87,1,aa,24,2
163722,1,29,1,aa,35,2
163752,1,75,1,aa,7,2
164896,1,25,2,aa,63,4
164964,1,47,1,aa,27,4
164977,1,89,1,aa,60,3
165044,1,87,1,aa,62,3
165097,1,59,1,aa,63,3
165216,1,15,2,aa,26,3
165221,1,87,1,aa,27,3
165233,1,89,1,aa,17,3
165257,1,15,2,aa,24,3
165264,1,59,2,aa,9,3
165270,1,86,2,aa,53,3
165342,1,16,1,aa,19,3
165397,1,30,2,aa,29,3
165428,2,38,1,aa,41,3
165517,2,86,1,aa,63,3
165557,1,77,1,aa,28,3
165560,1,47,2,aa,42,1
165573,2,67,2,aa,26,4
165708,2,86,2,aa,29,1
165710,2,86,2,aa,28,1
165715,2,25,2,aa,63,1
165781,1,34,2,aa,53,1
165863,2,29,1,aa,60,4
165883,2,85,1,aa,55,4
169826,2,85,1,aa,61,1
170406,1,66,2,aa,41,1
171572,2,66,1,aa,55,1
171888,2,38,1,aa,14,2
172112,1,15,2,aa,47,1
172926,2,15,1,aa,55,1
173554,2,30,1,aa,22,4
173654,2,38,2,aa,53,1
173834,2,66,1,aa,53,4
176266,2,45,2,aa,22,4
176755,1,14,1,aa,44,4
178076,1,77,1,aa,55,4
178111,1,17,2,aa,22,4
178598,1,77,1,aa,17,3
178839,1,66,1,aa,10,1
179180,1,66,1,aa,28,4
179321,2,22,1,aa,43,4
179352,2,20,1,aa,47,4
179547,2,38,1,aa,52,3
180172,1,77,1,aa,52,1
180219,2,73,2,aa,60,3
182653,2,77,2,aa,28,4
182746,2,69,2,aa,15,1
182920,2,14,1,aa,61,4
183247,2,47,1,aa,47,4
183519,1,25,1,aa,42,1
184415,2,18,1,aa,53,3
184468,1,45,1,aa,14,3
184597,1,18,1,aa,14,1
184650,1,14,1,aa,44,2
188512,1,22,1,aa,45,2
189171,2,41,2,aa,13,2
193042,2,42,2,aa,53,2
193173,1,29,2,aa,46,2
193539,1,73,2,aa,52,2
194406,2,16,2,aa,62,2
196740,2,14,2,aa,25,4
197298,2,83,2,aa,62,4
197439,2,26,2,aa,26,3
197465,1,23,1,aa,41,4
197544,1,83,2,aa,26,2
197646,1,50,1,aa,41,2
198016,1,74,2,aa,62,2
198083,1,48,1,aa,18,4
198999,1,16,2,aa,0,2
199255,1,73,2,aa,33,4
199529,2,29,2,aa,1,2
199549,1,40,1,aa,1,2
199553,2,16,1,aa,33,2
201112,2,46,2,aa,18,3
201432,1,81,2,aa,30,3
202187,1,22,2,aa,26,4
202381,2,22,1,aa,35,3
202876,2,73,1,aa,19,4
203049,2,21,1,aa,19,4
203866,2,87,1,aa,33,4
204170,1,31,1,aa,2,3
204314,1,45,1,aa,43,3
204858,1,82,2,aa,47,3
204887,1,54,2,aa,35,3
205103,1,24,2,aa,47,1
205751,1,24,2,aa,42,3
205785,2,49,2,aa,53,3
205951,2,82,2,aa,24,3
207465,2,34,2,aa,61,3
207793,2,60,2,aa,2,1
208162,1,56,1,aa,2,3
208526,2,56,1,aa,52,1
208764,2,56,1,aa,48,3
211134,1,14,1,aa,19,3
211173,2,79,1,aa,3,1
211478,2,80,1,aa,40,1
211495,2,81,2,aa,33,1
211503,1,78,1,aa,2,1
211764,1,78,1,aa,42,1
211769,1,81,1,aa,17,1
211811,1,79,2,aa,24,4
212276,1,81,2,aa,63,4
212357,1,20,2,aa,42,4
212373,2,20,2,aa,33,1
212395,1,61,2,aa,17,1
212631,1,48,2,aa,0,1
213030,2,66,1,aa,3,3
213189,1,66,1,aa,48,1
213559,1,72,1,aa,19,3
213736,2,79,1,aa,42,1
214063,1,73,1,aa,2,1
214099,1,55,1,aa,40,1
214147,2,79,1,aa,0,1
214244,2,40,1,aa,18,1
214728,1,60,1,aa,30,1
216024,1,48,1,aa,42,1
216211,1,33,1,aa,50,1
216445,1,39,1,aa,60,1
216588,2,44,1,aa,18,3
216761,1,20,1,aa,42,3
216854,2,49,1,aa,52,3
221228,2,62,2,aa,18,2
221394,2,26,2,aa,50,2
221467,1,50,2,aa,27,2
222824,2,51,1,aa,18,4
223297,2,65,1,aa,44,3
223315,2,18,1,aa,56,2
223364,2,67,2,aa,56,3
223430,1,20,1,aa,56,1
224248,1,64,1,aa,1,2
226320,1,64,1,aa,3,2
226541,1,84,1,aa,57,2
226668,2,31,1,aa,47,1
226771,2,36,2,aa,5,1
226876,2,17,2,aa,47,3
226888,2,84,2,aa,47,4
226918,2,65,2,aa,44,2
227241,1,22,2,aa,56,2
227285,2,64,2,aa,57,3
227294,2,31,2,aa,43,3
227315,1,16,2,aa,44,4
229445,2,83,1,aa,3,4
229601,1,22,1,aa,55,4
229605,2,22,1,aa,53,4
229711,2,22,1,aa,56,4
229945,2,87,1,aa,39,4
230207,2,19,1,aa,2,1
230226,2,65,1,aa,39,1
230529,2,42,1,aa,48,3
230566,1,81,1,aa,56,4
230720,1,81,1,aa,30,1
231256,2,81,1,aa,56,2
231310,1,65,1,aa,36,3
231689,1,82,1,aa,0,4
232090,1,49,1,aa,29,2
233605,1,66,1,aa,24,2
234129,1,63,1,aa,16,4
234219,1,53,1,aa,29,4
234568,2,60,2,aa,57,3
234977,2,20,2,aa,54,1
235133,1,64,2,aa,57,1
235204,1,59,2,aa,37,1
235327,2,44,2,aa,57,4
235487,2,44,2,aa,16,4
235494,1,84,2,aa,29,4
235864,2,32,2,aa,7,3
236749,2,32,2,aa,57,2
236985,1,20,2,aa,57,2
237055,2,20,2,aa,34,2
237385,2,37,2,aa,57,3
240671,2,86,1,aa,56,2
240704,2,86,2,aa,17,2
240773,2,86,2,aa,56,3
240779,1,64,2,aa,48,1
241001,2,41,2,aa,16,1
241090,2,54,1,aa,17,2
241091,1,54,1,aa,2,1
241126,2,64,2,aa,29,3
241945,2,53,2,aa,16,3
242520,2,46,1,aa,35,3
243029,1,46,2,aa,57,3
243307,2,35,1,aa,32,3
243753,1,60,1,aa,57,3
244578,1,16,1,aa,32,1
244609,1,16,1,aa,35,1
245000,1,15,2,aa,57,1
246559,1,59,2,aa,51,3
247242,1,62,1,aa,51,2
247428,2,40,1,aa,54,3
248623,2,36,2,aa,29,4
249863,2,44,2,aa,14,4
250000,2,44,1,aa,14,2
250078,2,60,1,aa,14,4
250099,2,36,2,aa,50,3
250144,1,59,1,aa,14,2
250222,2,59,2,aa,30,3
250560,2,20,1,aa,35,4
250625,1,36,1,aa,36,3
250708,2,45,2,aa,14,2
250714,1,49,1,aa,35,3
250809,1,50,1,aa,51,3
250815,2,49,1,aa,32,2
251188,2,49,1,aa,14,3
251361,1,18,1,aa,14,2
251369,2,18,2,aa,14,2
251593,2,49,2,aa,14,1
251690,1,49,2,aa,36,2
251853,1,81,2,aa,14,1
251889,2,81,1,aa,51,2
254342,2,81,2,aa,14,3
254817,2,19,1,aa,4,2
255197,2,35,2,aa,14,3
255284,2,63,2,aa,14,3
255605,1,37,2,aa,31,2
255831,1,47,2,aa,14,1
258096,2,47,1,aa,24,3
258232,1,18,2,aa,1,4
258287,1,37,1,aa,32,2
258682,1,37,2,aa,19,1
259074,1,37,2,aa,32,1
259094,1,37,2,aa,39,4
259149,2,42,2,aa,14,2
259612,2,84,1,aa,14,1
259613,1,84,2,aa,14,1
259704,2,51,2,aa,34,4
259806,1,40,2,aa,17,1
260002,1,47,2,aa,14,3
262426,1,29,1,aa,29,4
262730,1,15,2,aa,15,3
262761,1,87,1,aa,1,1
262845,1,15,2,aa,3,1
262889,1,73,1,aa,3,4
262904,1,50,2,aa,21,1
262922,2,87,2,aa,15,4
262945,2,74,2,aa,1,1
262971,2,74,2,aa,15,1
263119,1,73,1,aa,22,1
263156,2,74,2,aa,22,1
265258,2,83,2,aa,0,1
265336,2,75,2,aa,19,4
265338,1,31,1,aa,31,1
265352,1,65,2,aa,14,4
265455,2,64,2,aa,22,4
265488,2,36,2,aa,58,1
265532,2,41,1,aa,14,4
265748,1,64,1,aa,14,1
265790,2,78,1,aa,1,1
265999,1,65,1,aa,17,3
266202,2,65,1,aa,1,3
266340,1,78,1,aa,14,1
266699,2,16,1,aa,56,4
267374,2,14,1,aa,57,3
267609,2,47,1,aa,54,3
268131,2,15,2,aa,6,3
268345,1,64,2,aa,58,3
268474,1,15,2,aa,10,3
268544,1,67,2,aa,44,2
268571,1,67,2,aa,59,2
268749,1,67,2,aa,56,3
268830,1,67,2,aa,44,2
268927,1,44,1,aa,56,2
269256,1,76,2,aa,30,3
269408,1,67,2,aa,22,2
269668,1,81,2,aa,6,2
269827,1,83,2,aa,48,3
269864,1,46,1,aa,10,4
269891,1,66,2,aa,56,2
270035,1,83,2,aa,48,4
270117,2,50,1,aa,44,2
270160,2,90,2,aa,30,3
270175,2,54,2,aa,17,4
270298,2,83,1,aa,55,2
270542,2,18,2,aa,37,4
270578,2,14,2,aa,54,2
270845,2,35,2,aa,39,4
271210,2,86,2,aa,39,4
275276,2,83,2,aa,19,2
275390,2,50,2,aa,28,2
278908,1,14,2,aa,2,2
280581,2,16,2,aa,37,2
280678,2,59,2,aa,11,2
280680,2,44,2,aa,57,2
280727,2,59,2,aa,13,4
281411,2,19,1,aa,45,1
281755,1,59,1,aa,13,3
281971,2,59,1,aa,18,4
282179,2,82,1,aa,57,1
282745,2,86,1,aa,18,1
282941,2,57,1,aa,18,1
283321,1,75,1,aa,6,1
283416,1,39,1,aa,18,4
283480,1,86,1,aa,6,3
283512,1,32,1,aa,30,2
283650,1,39,1,aa,31,2
283754,1,57,1,aa,52,2
283770,1,59,1,aa,22,2
283971,1,75,1,aa,31,3
284004,1,56,1,aa,29,2
284177,2,59,1,aa,58,4
284199,2,30,1,aa,30,3
284217,2,56,1,aa,29,3
284628,2,28,2,aa,30,1
284646,2,30,2,aa,29,1
287357,2,89,2,aa,0,1
287443,2,73,2,aa,1,4
288261,1,24,2,aa,44,1
288329,2,54,1,aa,37,3
288533,2,48,2,aa,44,3
289196,2,80,2,aa,44,3
289474,1,50,2,aa,13,1
290617,2,78,2,aa,44,3
290855,2,37,2,aa,23,1
290910,2,87,2,aa,4,3
291018,2,59,2,aa,0,4
291320,1,26,2,aa,15,4
291436,1,80,2,aa,58,1
291741,2,42,2,aa,29,1
291930,2,48,1,aa,4,1
292001,2,28,1,aa,37,3
292086,2,59,1,aa,46,1
292153,2,53,1,aa,11,4
292490,2,87,1,aa,4,1
292569,1,83,2,aa,58,1
292848,1,59,2,aa,52,2
295496,1,71,2,aa,19,1
295719,1,90,1,aa,23,1
299261,2,57,2,aa,35,1
299313,1,56,2,aa,33,1
299656,2,59,1,aa,41,2
300342,2,71,1,aa,34,1
301884,1,57,1,aa,21,2
302831,2,42,1,aa,23,1
302885,2,42,1,aa,34,1
303271,2,70,1,aa,61,1
303898,2,46,1,aa,23,2
303937,2,62,1,aa,27,2
304881,2,42,1,aa,61,3
305613,1,45,1,aa,61,3
305693,1,80,2,aa,55,4
306905,1,24,1,aa,27,4
307711,2,70,2,aa,13,4
308410,2,21,2,aa,50,4
308574,1,41,1,aa,14,3
308895,2,49,1,aa,17,4
309072,1,46,2,aa,62,3
310421,2,19,2,aa,36,4
310634,2,30,1,aa,36,4
310878,1,69,1,aa,53,2
310943,1,69,1,aa,39,4
311018,1,41,2,aa,36,4
311127,1,69,1,aa,9,2
311216,2,69,2,aa,39,3
311388,2,81,2,aa,35,2
311515,1,21,2,aa,35,3
311533,1,85,1,aa,29,4
311566,1,78,1,aa,53,3
311570,2,78,2,aa,38,4
311651,2,27,1,aa,63,3
314488,2,25,1,aa,20,4
314534,1,49,1,aa,49,2
315025,2,78,1,aa,48,2
315037,2,87,1,aa,22,2
315247,2,36,1,aa,63,2
315521,2,36,1,aa,51,2
315717,1,39,1,aa,27,2
316106,2,39,1,aa,41,1
316219,2,30,2,aa,23,4
316258,2,14,2,aa,29,2
316542,2,17,2,aa,41,4
316561,2,39,2,aa,25,1
316906,2,54,2,aa,27,3
317038,2,39,2,aa,12,2
317158,2,20,2,aa,23,2
317227,2,39,2,aa,9,3
317407,1,39,2,aa,29,3
318127,2,20,2,aa,14,2
318940,1,89,2,aa,28,2
319389,1,38,2,aa,14,2
322708,1,38,2,aa,28,4
322784,1,20,2,aa,62,2
322843,1,47,2,aa,50,2
322847,1,38,2,aa,10,2
322860,1,14,1,aa,62,3
322951,1,18,2,aa,36,4
322963,1,63,1,aa,42,4
323122,1,83,1,aa,61,4
323194,1,39,1,aa,62,3
323257,1,87,1,aa,42,3
323306,1,78,1,aa,42,2
323340,1,39,1,aa,28,4
323516,2,81,2,aa,18,2
323602,1,14,1,aa,63,2
323634,1,31,1,aa,63,4
323787,2,49,1,aa,28,3
323823,2,56,1,aa,15,3
323836,1,24,1,aa,43,1
323852,2,81,1,aa,39,4
323966,2,50,2,aa,62,4
324054,2,20,2,aa,43,2
324088,1,76,2,aa,28,4
324158,1,60,2,aa,37,4
324209,1,77,2,aa,32,1
324293,1,39,2,aa,50,4
324296,1,77,2,aa,37,2
324344,1,60,1,aa,33,4
324387,1,59,1,aa,43,3
324433,1,50,2,aa,61,1
324485,2,62,1,aa,39,3
328660,2,75,1,aa,57,2
329325,2,76,1,aa,23,2
333634,1,21,1,aa,20,2
334137,1,84,2,aa,23,3
334228,2,56,2,aa,42,3
334286,1,47,2,aa,57,3
334581,2,31,1,aa,5,4
334589,1,64,2,aa,42,2
334595,1,29,2,aa,4,4
334867,2,71,2,aa,26,2
336057,2,61,2,aa,14,3
336309,1,62,2,aa,5,4
336337,2,51,2,aa,33,3
339997,2,31,2,aa,40,3
340430,2,54,2,aa,1,4
340795,2,86,2,aa,35,2
341097,1,29,2,aa,52,1
341509,1,75,1,aa,26,1
342215,1,51,1,aa,23,1
