TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,B27,EF21
2,30,2,5,aa,66077
2,44,2,8,aa,66515
2,40,1,31,aa,66525
1,35,1,31,aa,66605
2,35,2,1,aa,67299
2,69,2,21,aa,67632
2,35,1,9,aa,68217
1,47,2,3,aa,69410
2,43,1,62,aa,71713
1,16,1,39,aa,73930
1,78,2,9,aa,74148
1,36,1,59,aa,74647
1,68,1,22,aa,75585
1,65,2,3,aa,76823
1,29,2,61,aa,77924
1,78,2,30,aa,79578
1,66,2,30,aa,79935
1,66,2,32,aa,81228
1,77,2,37,aa,85090
2,71,2,53,aa,85246
1,89,2,23,aa,85459
1,17,2,23,aa,85605
2,17,2,9,aa,85624
2,20,1,31,aa,85675
2,29,1,31,aa,85753
2,28,1,46,aa,85879
2,37,1,22,aa,85939
2,29,1,9,aa,86537
2,71,1,4,aa,89168
2,33,1,35,aa,89343
2,89,1,30,aa,89383
1,55,1,53,aa,92162
1,71,1,46,aa,92301
1,89,1,47,aa,92475
1,89,1,6,aa,92907
2,54,1,37,aa,93011
2,76,1,47,aa,93041
2,39,1,52,aa,93046
2,65,2,46,aa,93235
1,45,2,52,aa,93420
1,59,2,53,aa,93517
1,34,2,46,aa,93537
2,88,1,39,aa,93549
1,59,2,47,aa,93759
2,16,2,47,aa,93780
2,59,2,63,aa,93975
1,43,1,46,aa,94000
2,41,2,52,aa,94203
2,59,2,46,aa,94214
1,41,1,46,aa,94291
2,34,1,46,aa,94319
1,59,1,4,aa,94368
1,19,1,57,aa,94438
2,58,1,29,aa,94491
1,90,1,46,aa,94494
2,46,1,46,aa,94573
1,49,1,53,aa,94601
2,90,1,29,aa,94653
1,39,1,53,aa,94749
2,59,2,6,aa,94953
1,53,2,46,aa,95239
1,41,2,29,aa,95272
2,58,2,46,aa,95294
2,35,2,61,aa,95635
1,56,2,63,aa,95693
2,52,2,29,aa,95743
1,53,2,46,aa,95826
1,71,2,11,aa,95842
1,53,2,53,aa,95887
2,50,1,46,aa,95940
2,56,2,46,aa,95983
2,20,2,46,aa,96227
2,67,1,33,aa,98630
2,63,1,2,aa,98820
2,35,2,8,aa,99069
2,20,2,52,aa,99125
2,23,1,27,aa,99131
2,70,2,9,aa,99311
2,17,2,14,aa,99377
2,20,1,54,aa,99631
2,56,1,20,aa,99692
2,71,2,27,aa,100347
2,36,2,5,aa,101569
2,18,2,5,aa,102081
2,18,2,49,aa,102128
1,22,2,49,aa,102205
1,38,2,32,aa,102361
1,61,2,59,aa,102366
1,17,2,52,aa,102547
1,37,2,23,aa,102728
1,52,2,38,aa,102737
1,45,2,48,aa,103231
1,79,2,14,aa,103332
1,79,2,48,aa,103396
1,79,2,52,aa,103617
1,62,2,62,aa,104345
1,62,2,62,aa,104830
1,37,2,52,aa,105769
1,34,1,50,aa,107550
1,14,1,20,aa,107638
1,54,1,53,aa,107697
1,52,2,23,aa,107761
1,83,2,9,aa,107781
2,53,2,38,aa,107799
2,53,2,8,aa,107803
1,74,1,13,aa,107843
1,68,2,35,aa,107920
1,71,2,50,aa,107992
1,32,2,48,aa,112649
1,20,1,51,aa,112893
2,78,2,7,aa,113111
1,76,2,23,aa,113582
1,63,1,61,aa,113641
1,16,1,24,aa,113793
1,78,2,24,aa,113819
2,82,2,48,aa,113980
1,34,1,52,aa,114004
1,83,1,2,aa,114056
2,69,1,24,aa,114414
2,83,1,35,aa,114421
2,59,1,24,aa,114422
2,63,1,50,aa,114613
1,83,2,12,aa,114752
2,77,2,57,aa,114837
1,87,1,12,aa,114952
2,48,1,2,aa,114996
2,46,1,19,aa,115014
2,46,2,10,aa,115065
1,30,2,15,aa,116841
2,62,2,50,aa,116879
2,47,2,55,aa,117725
2,87,2,6,aa,118836
2,22,1,56,aa,119066
2,87,1,9,aa,119156
1,22,2,25,aa,119206
2,30,1,36,aa,119230
1,32,1,3,aa,119245
1,46,1,37,aa,119265
2,31,1,34,aa,119287
1,58,1,35,aa,119292
2,68,1,48,aa,119307
1,31,1,20,aa,119455
1,33,2,3,aa,119473
2,45,2,19,aa,119506
1,45,2,34,aa,119545
1,51,2,57,aa,119633
1,20,2,51,aa,119689
2,28,2,25,aa,119787
2,50,2,21,aa,119789
1,15,1,52,aa,125060
2,71,1,19,aa,125082
2,35,1,0,aa,125692
2,87,1,35,aa,125746
1,30,1,9,aa,125852
1,28,1,20,aa,125983
1,30,1,54,aa,126018
2,70,1,23,aa,126061
1,28,1,22,aa,126447
1,21,1,22,aa,126447
2,59,2,38,aa,126708
2,28,2,63,aa,126975
2,31,2,15,aa,126989
1,15,2,27,aa,127162
2,72,2,15,aa,127177
1,31,2,27,aa,127254
2,31,2,7,aa,127283
2,64,2,39,aa,127561
2,45,2,10,aa,127597
2,71,2,37,aa,127761
2,64,2,13,aa,127765
2,64,2,27,aa,127819
2,18,2,9,aa,127875
2,18,2,54,aa,129035
2,87,2,3,aa,129269
1,50,2,53,aa,130534
1,57,2,21,aa,130697
1,18,2,54,aa,131011
1,69,2,33,aa,131087
2,49,2,1,aa,131198
1,76,2,44,aa,131285
1,49,2,4,aa,131740
2,87,1,49,aa,131880
1,18,1,20,aa,132205
2,64,1,51,aa,132324
2,37,1,34,aa,132344
2,83,1,4,aa,132831
1,75,1,44,aa,132930
2,37,1,33,aa,133051
1,16,1,56,aa,135678
1,17,1,50,aa,136307
2,83,1,17,aa,137741
2,40,1,29,aa,140721
2,19,1,29,aa,141085
2,40,1,30,aa,142346
1,40,1,57,aa,142812
1,40,1,27,aa,142864
2,18,1,0,aa,145415
1,52,2,28,aa,145617
2,83,1,0,aa,145786
2,42,1,46,aa,146097
1,35,1,10,aa,146233
1,58,2,34,aa,146333
2,63,1,16,aa,146406
1,42,2,34,aa,146544
1,71,2,56,aa,146830
2,53,2,50,aa,147126
2,15,2,46,aa,147144
2,58,2,50,aa,147267
2,14,2,2,aa,148555
2,53,1,33,aa,148561
2,53,1,31,aa,148568
2,53,1,10,aa,148583
1,83,1,35,aa,148585
1,55,2,2,aa,148599
1,66,2,48,aa,148630
2,15,1,14,aa,148675
2,49,1,25,aa,148685
2,85,1,58,aa,148688
2,28,1,48,aa,148696
2,78,1,33,aa,148706
2,69,1,46,aa,148707
1,28,1,35,aa,148733
1,29,1,24,aa,148759
2,80,1,58,aa,148783
2,29,1,49,aa,148787
2,29,1,2,aa,148805
2,39,2,18,aa,148818
1,51,2,24,aa,148841
2,60,2,48,aa,148849
2,51,1,33,aa,148906
2,30,2,35,aa,148920
1,83,1,48,aa,148933
1,32,1,27,aa,148979
1,61,2,51,aa,148985
1,60,2,44,aa,148991
2,30,2,14,aa,153615
1,63,2,59,aa,153635
1,80,2,3,aa,153678
2,82,2,58,aa,154118
2,29,1,30,aa,154153
1,82,1,29,aa,154639
1,38,2,58,aa,154692
1,82,2,0,aa,154817
1,55,2,12,aa,154914
1,55,2,32,aa,155071
1,15,2,58,aa,155105
1,50,2,3,aa,155151
1,29,2,30,aa,155166
1,30,2,43,aa,155173
1,30,2,3,aa,155244
1,38,2,18,aa,155279
1,37,2,16,aa,155325
1,80,2,3,aa,155359
1,86,2,22,aa,155425
1,84,2,32,aa,155568
1,69,1,35,aa,155723
1,87,1,57,aa,156154
1,69,2,35,aa,156203
2,32,2,47,aa,156336
2,87,2,2,aa,156474
2,41,2,57,aa,156970
2,21,2,2,aa,157188
2,43,2,48,aa,157974
2,45,1,15,aa,158057
1,16,1,42,aa,158071
2,84,1,24,aa,158078
1,41,1,12,aa,158404
2,14,1,43,aa,158559
2,87,1,16,aa,158664
2,20,1,29,aa,158767
2,64,1,25,aa,159410
2,25,1,43,aa,161761
2,87,1,3,aa,162895
2,87,1,35,aa,163180
1,87,1,7,aa,163307
1,87,1,3,aa,163369
1,87,1,35,aa,163413
1,41,1,29,aa,163583
1,66,1,5,aa,163772
1,78,1,9,aa,164889
2,16,1,24,aa,164971
1,58,1,41,aa,165210
1,37,1,53,aa,165279
1,19,1,30,aa,165287
1,26,1,63,aa,165470
2,14,1,62,aa,165551
1,37,1,29,aa,165573
1,45,1,63,aa,165574
1,76,2,26,aa,165640
1,66,2,14,aa,165672
1,15,2,53,aa,165695
1,24,1,26,aa,165752
2,88,1,17,aa,165770
1,88,2,60,aa,165859
1,73,1,47,aa,165882
2,84,2,43,aa,167985
2,84,2,61,aa,168668
2,28,2,21,aa,168741
2,76,2,21,aa,168800
2,84,2,55,aa,171364
1,84,2,55,aa,171895
1,30,2,22,aa,172177
2,71,2,53,aa,172504
2,18,2,44,aa,173517
2,47,2,42,aa,173564
2,42,1,55,aa,173935
2,29,1,22,aa,174012
2,59,1,43,aa,176701
2,59,1,46,aa,176748
2,36,1,61,aa,176991
2,69,2,44,aa,177834
2,14,1,16,aa,177842
2,19,1,55,aa,177955
1,74,2,44,aa,178656
1,88,1,28,aa,178891
1,74,1,10,aa,179335
1,46,2,28,aa,179343
1,28,1,27,aa,179679
1,22,2,60,aa,179856
2,35,1,52,aa,180178
2,74,1,28,aa,180533
2,59,1,13,aa,180545
1,41,1,61,aa,181547
2,74,1,61,aa,182472
2,59,1,28,aa,182634
2,30,2,42,aa,184017
2,35,1,53,aa,184878
1,14,1,55,aa,188831
1,88,1,13,aa,189937
1,28,1,14,aa,190045
2,14,1,45,aa,190097
1,35,1,62,aa,192977
1,78,1,62,aa,193259
1,20,2,53,aa,193406
1,76,2,24,aa,194081
2,20,2,53,aa,194091
2,64,2,52,aa,194203
2,76,2,44,aa,194208
2,30,1,41,aa,196912
2,39,2,62,aa,197138
1,58,2,25,aa,197488
1,31,2,26,aa,197684
1,20,2,41,aa,197964
1,20,2,26,aa,198156
1,22,2,26,aa,198404
1,39,2,17,aa,198747
2,41,2,33,aa,198890
1,49,1,41,aa,198958
1,74,1,17,aa,198989
2,74,1,1,aa,199009
2,74,1,59,aa,199133
2,20,2,0,aa,199401
1,27,2,59,aa,199567
1,46,2,59,aa,199659
2,59,1,33,aa,200726
2,66,1,1,aa,201058
1,65,1,33,aa,201929
1,56,1,1,aa,202023
1,30,1,18,aa,202412
2,74,2,26,aa,202664
2,51,2,33,aa,203429
1,76,2,34,aa,204093
2,80,2,30,aa,204525
2,45,2,2,aa,204623
1,37,1,3,aa,204876
1,20,1,24,aa,205297
1,78,2,44,aa,206436
1,82,1,44,aa,206539
1,45,1,61,aa,207000
2,48,1,52,aa,207255
1,23,2,50,aa,207727
1,55,1,2,aa,208071
2,80,2,2,aa,211293
1,17,2,19,aa,211464
1,20,2,17,aa,212340
2,15,2,3,aa,212351
2,50,2,19,aa,212609
1,41,1,19,aa,213075
2,82,1,41,aa,213262
2,82,1,52,aa,213559
2,82,1,30,aa,214121
2,20,1,43,aa,214161
1,31,1,41,aa,214206
2,18,1,60,aa,214362
2,87,1,33,aa,214792
1,77,1,19,aa,215445
1,37,1,0,aa,215540
1,24,1,3,aa,216016
1,62,1,33,aa,216050
1,18,2,41,aa,216201
1,14,1,48,aa,216811
1,46,1,60,aa,216847
2,82,1,2,aa,216864
2,83,1,3,aa,216949
1,14,2,19,aa,216991
2,74,2,18,aa,222359
1,28,1,49,aa,223087
1,68,1,27,aa,223207
2,64,2,50,aa,223467
1,26,2,41,aa,223507
2,86,1,41,aa,223723
2,49,2,56,aa,223789
2,86,2,47,aa,223878
1,64,1,43,aa,223895
1,64,1,40,aa,223930
2,47,2,44,aa,224102
1,18,2,56,aa,226304
2,37,2,43,aa,226356
2,53,2,63,aa,226389
2,53,2,47,aa,226572
2,77,2,18,aa,226848
2,77,2,47,aa,226908
2,77,2,47,aa,226921
1,73,2,47,aa,226931
2,39,2,5,aa,227009
2,26,2,56,aa,227088
1,77,2,18,aa,227182
1,53,2,3,aa,227185
1,53,1,55,aa,229687
1,53,1,53,aa,229777
1,53,1,39,aa,229855
2,19,1,2,aa,230056
1,52,1,3,aa,230564
2,38,1,28,aa,231325
2,85,1,29,aa,231816
2,19,1,0,aa,232063
1,85,1,16,aa,233643
2,60,1,34,aa,233644
2,87,1,37,aa,233828
1,87,1,24,aa,233882
2,64,1,37,aa,234023
2,64,1,57,aa,234358
2,64,1,16,aa,234391
1,64,1,57,aa,234413
1,64,1,57,aa,234739
1,81,2,16,aa,234797
1,39,2,29,aa,234860
1,55,2,29,aa,234960
2,16,2,54,aa,235448
2,33,2,32,aa,235620
1,55,2,7,aa,236134
1,47,2,53,aa,236493
2,59,2,57,aa,236621
1,59,2,57,aa,236857
2,86,2,57,aa,237537
2,86,1,32,aa,240693
2,80,2,56,aa,240732
1,60,2,56,aa,240734
2,60,1,56,aa,240780
1,53,2,32,aa,240832
2,64,1,19,aa,240863
2,16,1,2,aa,240919
1,16,2,29,aa,240922
2,55,2,56,aa,240946
2,44,2,56,aa,240954
1,44,1,31,aa,241001
2,66,2,56,aa,241017
2,66,1,48,aa,241103
2,35,2,57,aa,241755
2,35,1,33,aa,242243
1,67,1,33,aa,244019
1,67,1,57,aa,244983
1,67,1,33,aa,245485
1,36,2,54,aa,246032
1,87,2,16,aa,246391
1,58,2,51,aa,248039
1,58,1,51,aa,248911
2,21,1,51,aa,250020
2,21,1,50,aa,250063
2,17,1,19,aa,250076
2,21,1,14,aa,250167
1,21,1,14,aa,250215
2,86,2,14,aa,250375
2,59,1,14,aa,250401
2,45,2,30,aa,250443
2,42,1,14,aa,250498
2,42,2,51,aa,250548
2,39,1,14,aa,250841
2,17,1,36,aa,250845
2,50,2,14,aa,251065
1,56,2,14,aa,251088
2,42,2,32,aa,251202
1,21,2,32,aa,251652
2,51,1,14,aa,251685
1,51,2,14,aa,251767
1,44,2,31,aa,254728
2,62,2,4,aa,255096
1,46,2,48,aa,258100
2,47,1,32,aa,258288
1,39,2,14,aa,258538
1,63,2,1,aa,258620
1,16,1,14,aa,258928
1,45,1,14,aa,259098
1,45,2,24,aa,259142
2,54,1,14,aa,259168
2,86,1,14,aa,259262
2,86,2,16,aa,259277
1,86,1,14,aa,259310
2,42,2,39,aa,259579
1,37,1,36,aa,259591
1,62,2,14,aa,259691
1,44,2,32,aa,259706
1,37,2,39,aa,259771
2,37,1,14,aa,259971
2,37,2,16,aa,259978
1,27,2,15,aa,262223
1,14,1,20,aa,262400
1,64,2,17,aa,263071
1,90,2,29,aa,265291
1,90,2,14,aa,265303
2,64,2,22,aa,265321
1,82,2,31,aa,265332
1,75,1,0,aa,265429
1,15,2,58,aa,265604
1,20,2,14,aa,265648
2,88,1,22,aa,265764
2,83,1,16,aa,265842
2,15,2,16,aa,265899
2,75,1,29,aa,265952
2,74,2,14,aa,266103
2,39,2,6,aa,266302
2,14,2,30,aa,266471
2,24,1,18,aa,267042
2,15,1,54,aa,267158
2,15,1,30,aa,267190
2,87,1,28,aa,267330
1,15,1,29,aa,267996
2,88,1,56,aa,268089
2,26,1,14,aa,268129
2,74,1,28,aa,268172
1,86,1,56,aa,268569
1,74,2,44,aa,268696
1,82,2,7,aa,268777
1,79,2,17,aa,269145
1,66,2,0,aa,269214
1,50,2,3,aa,269302
1,38,2,58,aa,269346
1,79,2,59,aa,269452
1,74,2,23,aa,269638
1,87,2,3,aa,269640
1,64,2,56,aa,269657
1,15,2,50,aa,269783
1,32,1,54,aa,269819
1,87,1,0,aa,269851
1,38,1,0,aa,269913
1,67,2,59,aa,269918
2,80,2,58,aa,269929
2,67,2,56,aa,269936
2,67,1,0,aa,269976
2,40,2,10,aa,270183
2,67,2,18,aa,272058
2,30,2,37,aa,272594
2,83,2,39,aa,272995
2,67,2,18,aa,274587
1,67,2,12,aa,274871
1,64,2,10,aa,274888
2,64,2,12,aa,274958
1,79,2,10,aa,275458
2,90,2,28,aa,276141
2,18,2,23,aa,276364
2,46,2,1,aa,278825
2,79,1,1,aa,278831
1,33,1,31,aa,279233
2,48,1,29,aa,280643
2,39,1,29,aa,280769
2,50,1,10,aa,281418
2,29,1,22,aa,281425
2,53,1,13,aa,281604
1,79,1,29,aa,281766
2,57,1,57,aa,282068
1,18,1,4,aa,282741
1,57,1,58,aa,282797
1,59,1,7,aa,283302
1,79,1,22,aa,283602
1,59,1,52,aa,284115
2,20,1,7,aa,284615
1,59,1,29,aa,287609
2,44,1,44,aa,288383
2,87,1,37,aa,288545
1,59,2,13,aa,288899
2,86,2,44,aa,289090
2,52,2,6,aa,289287
2,86,2,44,aa,289649
1,24,2,57,aa,289866
2,81,2,6,aa,290377
2,59,2,37,aa,290416
2,59,1,44,aa,290522
2,44,2,46,aa,290852
2,30,2,54,aa,290958
2,56,2,58,aa,291247
2,26,2,2,aa,291278
2,56,2,44,aa,291512
1,48,2,37,aa,291806
1,72,2,46,aa,291915
2,49,2,15,aa,291936
2,50,1,37,aa,291970
2,43,1,44,aa,292105
2,59,1,15,aa,292531
2,59,1,2,aa,292783
2,47,1,18,aa,292841
1,53,2,17,aa,295365
1,80,2,40,aa,295518
2,73,2,40,aa,295558
1,87,2,23,aa,296661
2,20,2,49,aa,296913
2,24,1,50,aa,299574
1,19,1,41,aa,300634
1,60,1,23,aa,300636
2,82,1,21,aa,300817
2,53,1,35,aa,300949
1,40,1,50,aa,301023
2,69,2,35,aa,301633
1,82,1,34,aa,303097
2,69,1,41,aa,303624
2,68,1,23,aa,303683
2,86,1,61,aa,303683
1,69,1,55,aa,304107
2,68,1,41,aa,304235
2,27,2,14,aa,304679
2,63,2,61,aa,305202
1,26,2,16,aa,305602
2,46,2,41,aa,305899
1,87,2,62,aa,307635
1,68,1,62,aa,307713
2,87,1,39,aa,310379
1,68,1,36,aa,310537
1,63,1,36,aa,310794
1,17,2,12,aa,310895
1,27,1,23,aa,310962
1,14,2,53,aa,311118
2,68,1,63,aa,311152
1,46,2,14,aa,311375
1,46,1,63,aa,311562
2,37,1,53,aa,311606
2,37,2,36,aa,311608
2,31,1,63,aa,311614
2,55,1,36,aa,311662
2,90,1,25,aa,311683
1,37,1,37,aa,311745
2,37,1,14,aa,311750
2,37,1,28,aa,314382
1,56,1,15,aa,314683
2,82,1,28,aa,314836
2,19,1,28,aa,314859
2,76,2,51,aa,314940
2,62,2,34,aa,314991
1,37,2,49,aa,314996
2,20,2,48,aa,314997
2,27,2,63,aa,315155
1,63,2,20,aa,315269
2,87,2,22,aa,315290
2,63,2,63,aa,315349
2,60,2,25,aa,315398
1,21,2,9,aa,315691
2,78,2,23,aa,315750
1,40,2,25,aa,316005
2,60,2,28,aa,316042
1,14,2,28,aa,316108
1,14,2,41,aa,316187
1,40,2,28,aa,316596
1,19,1,27,aa,316675
1,27,1,41,aa,317259
1,19,2,27,aa,317343
1,39,1,29,aa,317725
1,39,1,29,aa,318122
2,49,2,39,aa,318840
2,40,1,39,aa,319182
1,77,1,61,aa,322787
2,39,1,35,aa,323044
1,57,1,10,aa,323089
2,79,1,19,aa,323215
2,39,1,14,aa,323286
1,20,1,62,aa,323307
1,78,1,48,aa,323348
2,83,1,35,aa,323450
1,78,2,8,aa,323631
1,46,2,61,aa,323660
1,42,2,50,aa,323838
1,37,2,36,aa,323844
1,39,2,32,aa,324159
1,63,2,43,aa,324274
1,39,2,63,aa,324294
1,49,2,36,aa,324435
1,55,2,62,aa,324548
1,76,1,37,aa,324561
1,55,2,33,aa,324582
1,39,2,20,aa,328451
1,40,2,42,aa,329313
2,81,1,5,aa,329803
2,81,1,42,aa,329904
2,67,1,43,aa,330375
2,53,1,57,aa,331796
1,42,1,42,aa,332747
2,17,2,26,aa,333256
2,73,2,4,aa,333519
2,17,1,57,aa,334382
1,15,2,5,aa,336293
2,59,2,14,aa,336834
2,52,2,33,aa,336836
2,57,2,26,aa,340693
1,60,2,1,aa,340980
2,53,2,35,aa,340983
1,70,2,51,aa,341195
1,20,1,24,aa,341258
2,44,1,20,aa,342312
1,15,2,5,aa,342717
2,46,1,20,aa,343044
2,59,1,9,aa,344572
1,28,1,40,aa,344944
2,81,2,58,aa,345339
1,52,2,22,aa,345442
2,15,1,58,aa,345460
2,49,1,52,aa,345900
2,81,2,35,aa,346470
2,15,1,14,aa,346944
1,75,1,22,aa,346987
2,71,1,35,aa,347199
1,87,1,22,aa,347488
1,63,1,15,aa,350300
1,77,2,6,aa,350513
2,84,1,2,aa,350558
2,62,2,42,aa,350926
1,76,1,41,aa,351097
2,63,2,14,aa,351423
2,40,1,9,aa,352023
1,66,2,15,aa,352095
1,25,1,35,aa,352103
1,76,1,15,aa,352152
2,61,1,15,aa,352220
2,20,2,33,aa,352322
1,29,2,56,aa,352340
1,29,1,5,aa,355058
1,21,1,15,aa,355385
1,21,1,54,aa,355625
2,58,2,56,aa,356332
2,64,1,24,aa,357906
2,20,1,33,aa,358058
2,22,2,5,aa,358060
1,71,1,23,aa,358074
2,53,2,34,aa,358097
1,22,2,10,aa,358224
1,60,1,35,aa,358268
2,82,1,23,aa,358329
2,64,2,42,aa,358346
2,63,1,4,aa,358365
2,63,1,16,aa,360737
2,20,1,47,aa,360999
1,54,1,42,aa,361099
2,71,1,2,aa,361622
2,55,2,14,aa,362308
2,73,2,16,aa,362418
1,29,1,40,aa,362462
2,47,1,41,aa,362671
1,29,2,50,aa,362799
2,29,2,42,aa,362849
2,26,2,36,aa,362937
1,18,2,42,aa,363124
2,53,2,63,aa,363601
2,29,2,42,aa,363761
2,14,2,48,aa,363895
1,35,2,63,aa,363971
2,63,1,37,aa,364172
2,52,2,30,aa,364933
2,33,1,42,aa,365247
2,80,2,18,aa,365595
2,35,2,16,aa,365732
1,35,2,19,aa,365796
1,33,1,18,aa,366132
1,35,2,3,aa,366551
1,40,2,30,aa,366821
1,35,1,48,aa,366828
2,35,2,19,aa,367463
1,44,2,52,aa,367985
2,58,2,56,aa,368532
1,64,2,62,aa,369139
2,24,1,48,aa,369784
2,64,2,26,aa,370002
1,61,2,56,aa,370336
1,47,2,62,aa,370654
1,47,2,36,aa,370700
1,71,1,56,aa,371608
1,35,1,18,aa,371928
2,75,2,31,aa,372568
1,58,2,50,aa,372956
2,70,1,35,aa,373046
1,35,2,46,aa,373191
2,44,2,39,aa,373325
1,78,1,19,aa,373384
2,65,2,56,aa,373423
2,34,1,4,aa,373507
1,62,2,43,aa,373525
2,49,1,63,aa,373525
2,76,1,54,aa,373612
2,45,2,5,aa,373617
2,60,1,56,aa,373640
1,37,1,28,aa,373684
2,37,1,29,aa,373727
2,30,2,43,aa,373789
1,77,2,29,aa,373897
1,30,1,63,aa,373906
2,58,1,28,aa,374027
2,71,2,43,aa,374203
2,60,1,50,aa,374526
2,37,2,28,aa,374532
2,71,2,32,aa,374584
1,70,2,35,aa,374651
1,38,1,14,aa,374730
2,51,1,58,aa,376896
1,38,1,36,aa,377092
1,51,2,50,aa,377317
1,37,1,30,aa,377540
1,41,2,33,aa,377568
1,71,2,43,aa,377716
2,37,2,58,aa,377886
1,87,1,9,aa,377916
2,70,2,32,aa,378094
2,36,2,37,aa,378167
2,82,1,8,aa,380969
2,29,1,61,aa,383054
2,78,1,34,aa,383217
1,40,2,41,aa,383228
1,29,1,53,aa,383274
2,36,2,35,aa,384305
2,54,1,61,aa,384794
2,86,2,48,aa,384842
2,40,2,40,aa,386112
1,84,2,33,aa,386261
2,55,2,52,aa,386437
2,60,1,50,aa,386959
1,82,2,62,aa,389322
2,87,1,50,aa,389504
2,78,2,62,aa,389799
