LEISTUNGSGRUPPE,TAETIGKEITSSCHLUESSEL4,EF16U2,EF41,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
5,1,6,66,4,101
1,1,2,67,1,101
4,1,5,66,4,101
2,2,1,68,4,101
2,1,2,66,3,101
3,2,1,69,3,101
3,1,2,66,3,101
5,2,1,69,3,101
4,1,2,67,4,101
3,1,5,69,4,101
4,2,1,67,3,101
4,1,2,69,3,101
1,2,1,67,4,101
2,2,1,69,4,101
5,2,1,67,4,101
3,1,2,69,4,101
5,1,5,67,3,101
4,2,1,69,3,101
5,2,1,67,3,101
4,1,5,69,3,101
1,2,2,67,4,101
4,1,2,69,3,101
1,2,1,67,2,101
4,2,1,69,1,101
1,2,1,67,3,101
4,1,1,69,3,101
2,1,5,69,2,101
5,1,4,70,1,101
1,1,2,69,2,101
1,2,1,70,2,101
2,2,2,69,1,101
4,1,5,70,1,101
2,1,5,69,1,101
4,1,5,70,2,101
2,1,2,69,1,101
2,1,4,70,1,101
3,1,4,69,1,101
3,1,4,70,2,101
3,1,5,69,1,101
2,1,6,70,1,101
1,1,2,69,2,101
1,2,2,72,1,101
5,1,5,70,1,101
2,2,6,72,4,101
1,1,5,70,1,101
1,1,6,73,4,101
5,1,5,70,1,101
2,1,5,73,1,101
1,2,7,70,1,101
3,1,4,73,1,101
2,2,6,70,1,101
3,1,2,73,1,101
1,1,4,70,4,101
3,1,4,75,4,101
1,2,1,70,3,101
3,1,4,77,1,101
3,1,1,70,1,101
2,1,2,77,4,101
5,2,6,70,4,101
3,1,4,78,4,101
4,2,3,72,1,101
4,2,5,78,1,101
4,2,5,74,1,101
2,2,7,78,4,101
2,2,5,74,4,101
4,2,3,79,4,101
2,1,4,74,2,101
3,2,6,79,4,101
2,2,5,74,2,101
5,2,3,79,2,101
2,2,6,74,3,101
5,1,5,79,2,101
5,1,6,75,4,101
5,2,7,79,4,101
5,2,5,75,2,101
5,2,6,79,2,101
2,2,6,75,2,101
5,1,5,80,1,101
5,1,4,75,1,101
5,2,3,80,1,101
5,2,3,75,1,101
4,2,3,80,1,101
1,2,6,76,1,101
1,2,7,80,1,101
2,1,2,76,1,101
1,2,7,81,1,101
1,2,2,77,1,101
3,2,7,83,4,101
2,2,3,78,3,101
3,2,7,83,4,101
3,1,6,78,4,101
2,2,3,83,3,101
3,1,1,78,4,101
4,2,5,83,4,101
4,2,7,78,3,101
2,2,7,83,4,101
4,1,1,79,4,101
2,2,5,83,3,101
4,2,3,79,3,101
2,2,5,83,3,101
3,1,2,80,4,101
3,2,3,83,4,101
5,2,3,80,4,101
3,1,2,83,3,101
5,2,6,80,4,101
2,2,3,83,4,101
4,1,2,81,3,101
5,2,3,83,4,101
2,1,1,81,3,101
5,2,6,83,3,101
5,2,5,81,3,101
5,2,6,83,3,101
2,2,3,81,4,101
5,1,2,86,3,101
4,1,6,82,1,101
4,2,7,86,3,101
3,1,6,82,3,101
4,2,7,86,1,101
4,2,3,82,3,101
3,2,3,86,3,101
4,2,3,82,4,101
4,2,7,87,4,101
2,2,4,82,2,101
2,2,3,87,1,101
1,2,4,83,2,101
2,2,4,87,2,101
1,2,4,83,2,101
2,2,3,87,1,101
3,1,1,83,2,101
5,2,3,87,2,101
1,1,6,83,4,101
1,1,6,87,4,101
4,1,1,83,2,101
1,1,6,87,4,101
5,1,2,83,2,101
3,2,3,87,4,101
1,2,4,83,1,101
2,2,7,87,2,101
3,2,4,83,1,101
3,1,2,87,1,101
1,2,4,83,4,101
4,1,2,87,2,101
1,1,1,84,2,101
2,2,3,87,4,101
2,1,6,86,2,101
3,1,6,87,2,101
2,1,6,86,4,101
1,1,1,87,4,101
2,1,6,86,2,101
1,1,7,88,3,101
5,2,7,87,3,101
3,2,4,88,3,101
1,2,3,87,3,101
1,1,6,88,3,101
1,2,7,87,3,101
5,2,7,88,3,101
1,2,4,87,3,101
5,2,7,88,3,101
1,2,4,87,3,101
1,1,1,88,3,101
1,2,3,87,4,101
1,1,1,78,4,131
1,2,4,87,4,101
4,1,7,64,1,145
4,1,1,87,1,101
4,2,7,70,1,147
1,1,1,87,1,101
1,2,4,70,3,169
1,2,7,87,1,101
5,1,1,64,4,189
4,2,7,87,1,101
5,1,7,75,3,189
5,2,7,88,1,101
5,2,7,66,1,192
4,1,7,88,1,101
4,2,7,70,1,194
4,2,7,74,1,146
4,1,7,78,3,195
4,1,1,65,4,193
4,2,7,75,3,224
4,2,7,74,3,195
4,1,7,76,1,249
1,2,5,68,3,257
1,2,5,87,4,262
2,1,3,86,3,259
5,1,7,69,3,268
2,1,3,80,1,260
2,1,7,72,1,268
1,1,5,70,2,262
2,1,6,73,1,269
2,1,6,83,1,268
3,2,3,70,3,270
5,2,4,78,4,269
2,1,2,78,4,285
4,1,2,81,4,269
1,1,3,65,3,286
3,2,6,83,4,270
3,2,4,69,3,287
3,2,4,84,4,284
1,1,4,80,2,287
5,1,2,67,4,286
3,1,4,87,4,295
1,2,6,78,4,288
5,1,2,81,4,309
5,1,2,69,4,304
5,2,6,86,3,312
3,1,5,69,3,310
2,1,2,68,3,317
3,1,2,79,2,317
2,1,3,68,4,320
3,1,2,86,3,329
3,1,2,80,1,321
4,2,4,71,1,340
2,1,4,78,2,332
5,1,4,86,3,343
2,1,5,66,3,348
2,2,2,66,4,354
1,1,6,86,2,357
3,1,3,86,4,364
1,1,2,65,3,365
5,1,6,87,3,366
5,1,6,86,3,365
4,2,6,70,2,367
5,2,2,83,4,369
2,2,2,75,1,370
4,2,3,79,1,381
4,2,2,70,1,395
4,2,3,84,2,393
1,1,5,79,2,413
1,1,6,68,4,397
5,1,6,72,4,420
1,2,6,67,1,398
2,1,6,69,1,454
4,1,6,66,3,399
2,2,3,69,3,456
4,1,5,77,4,420
4,1,2,73,3,463
5,1,6,77,4,428
3,2,1,83,1,464
3,2,1,78,4,430
4,1,2,74,3,466
1,2,6,70,3,467
1,1,2,69,3,481
1,1,6,79,3,468
1,2,5,87,1,487
1,2,5,72,1,471
1,1,6,86,1,494
1,1,7,72,1,491
1,1,2,81,1,496
5,1,6,72,1,495
1,1,6,78,2,500
4,1,5,76,1,498
4,2,5,78,1,503
1,2,6,69,1,501
4,2,5,78,2,506
4,2,1,67,1,506
4,1,5,67,1,510
1,2,2,73,3,508
3,1,2,20,3,521
5,1,3,18,3,531
2,1,3,18,3,530
4,1,5,18,3,535
3,1,5,20,3,537
3,1,5,18,3,539
3,1,7,10,3,538
4,1,6,18,3,540
5,1,5,21,3,560
3,2,3,19,3,561
5,1,5,21,4,572
3,1,5,19,3,571
4,1,5,20,4,576
2,2,3,24,2,586
3,1,5,20,3,579
2,2,3,23,2,587
5,1,1,26,1,586
2,1,1,21,3,593
2,1,5,20,4,587
2,2,3,30,1,595
2,1,7,6,4,614
2,1,2,30,1,596
4,1,3,16,4,629
2,2,3,18,4,598
4,2,3,17,1,634
2,1,7,28,2,639
4,2,7,19,4,653
2,1,3,29,4,649
4,2,3,16,4,673
2,1,6,29,4,652
5,1,7,7,1,689
4,1,7,17,1,655
1,2,3,18,3,696
4,2,3,30,3,668
1,2,7,20,3,718
1,1,7,20,1,672
5,2,7,27,1,725
1,2,3,20,1,681
1,2,7,27,1,727
1,2,3,29,4,693
1,2,3,16,4,754
1,2,3,30,1,712
1,2,3,24,2,760
3,2,3,25,4,757
3,2,7,29,3,765
1,2,7,25,4,762
4,2,3,32,3,532
5,1,7,41,3,529
5,1,6,40,3,550
1,2,1,40,2,547
1,1,5,46,3,576
5,1,6,45,3,570
4,1,3,39,1,577
1,2,3,44,1,579
4,2,3,37,1,594
4,1,6,40,1,597
4,2,3,32,1,625
3,1,3,39,3,598
4,1,6,51,1,548
1,1,5,50,4,577
4,1,5,54,4,569
1,2,4,55,1,592
1,2,4,49,2,572
2,2,1,55,3,631
2,1,1,49,3,587
4,1,7,59,4,537
4,1,7,56,4,531
1,1,5,62,4,568
4,1,1,62,2,550
4,1,5,59,2,576
4,1,5,59,4,595
2,2,3,58,2,594
4,2,5,62,2,628
1,2,5,43,2,648
5,1,6,37,2,653
1,2,7,45,3,655
5,1,1,35,3,669
3,2,3,39,4,706
3,1,1,38,4,712
3,1,3,39,1,713
5,2,6,34,1,717
3,2,3,32,4,725
3,2,6,35,1,717
4,2,3,36,4,725
1,2,3,37,4,724
3,2,3,36,2,725
4,2,6,34,2,727
1,2,3,37,2,726
3,2,3,37,4,727
4,2,7,40,3,753
3,2,3,37,4,758
3,2,3,37,3,767
3,2,3,35,4,763
2,1,4,56,1,648
4,2,4,49,2,654
4,1,4,60,4,652
4,1,6,53,4,654
4,1,7,62,3,654
4,2,1,49,4,670
2,1,7,55,4,665
4,2,4,49,2,674
2,2,1,55,4,666
4,2,1,57,4,682
2,2,4,53,4,669
4,2,1,60,4,683
5,2,4,49,4,671
4,1,2,49,4,692
4,2,3,51,4,709
4,2,3,49,4,692
1,2,3,59,1,725
4,2,1,50,1,756
1,1,5,47,2,770
1,2,1,37,3,778
1,1,1,47,2,777
4,1,5,40,3,786
3,2,3,14,3,784
3,2,7,36,3,787
4,2,1,57,2,785
5,2,1,37,3,788
5,2,7,60,3,790
3,2,7,58,3,791
2,1,5,81,1,521
2,1,2,87,2,531
3,2,3,83,4,530
2,1,6,87,2,535
2,1,6,78,4,531
5,1,2,75,4,538
2,1,5,86,1,537
4,1,4,76,1,541
4,1,4,66,2,541
1,1,7,65,3,546
3,2,1,80,3,547
2,1,7,74,2,551
1,2,3,74,4,549
5,1,3,67,1,561
5,1,6,86,1,565
1,1,4,70,1,564
5,1,6,64,4,572
2,1,6,70,3,565
3,1,4,80,3,575
2,1,5,64,3,566
2,1,5,67,3,587
4,1,4,72,1,568
5,2,1,83,1,598
2,2,4,74,4,586
3,1,6,86,4,626
1,2,3,81,4,593
5,2,3,78,1,635
4,2,4,66,4,594
1,2,4,74,1,639
4,1,4,76,1,594
2,1,6,70,4,650
4,1,6,77,1,595
5,2,5,84,4,651
3,2,5,83,1,596
1,2,5,68,1,653
4,1,6,77,1,599
1,2,3,84,1,655
1,2,4,82,4,599
4,2,3,78,1,669
1,2,4,70,1,652
4,2,6,65,1,670
3,2,4,70,2,655
3,1,6,87,2,685
4,1,3,65,3,668
4,2,3,76,4,704
4,2,7,72,1,676
1,2,3,69,1,711
5,2,7,82,1,716
1,2,1,73,3,717
3,1,3,76,2,724
3,1,3,78,2,724
3,1,3,64,4,725
1,1,3,83,3,724
5,2,6,79,3,725
1,2,7,66,3,727
4,2,7,76,3,726
1,2,7,88,2,754
4,2,7,81,2,759
2,2,7,75,1,763
4,1,2,74,4,765
5,2,7,77,3,787
5,2,3,79,1,766
