EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,B52,EF16U2,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
66404,1,55,1,aa,23,12.849491348365698,2,2,159
66461,2,89,1,aa,59,648.9728359316007,2,4,101
66653,2,76,1,aa,1,59.22900849868254,2,4,101
66680,1,16,2,aa,23,1130.4108373002011,5,4,547
66712,2,16,2,aa,29,256.0305206877876,2,2,686
66978,2,34,1,aa,29,1314.7279446797509,2,2,688
66999,2,47,2,aa,2,13.74859207526392,4,2,650
67036,2,29,2,aa,21,62.01644548097023,7,3,150
67965,1,66,2,aa,38,63.982025589206486,2,4,145
68520,2,20,1,aa,10,671.0219774637168,5,3,675
68814,1,42,1,aa,9,264.6705202466852,2,3,372
69194,2,35,2,aa,4,648.241270630178,2,2,101
72040,1,46,2,aa,8,704.9898399272921,5,4,101
74338,1,29,2,aa,39,1099.0662255791217,2,4,130
74393,1,43,2,aa,29,264.8287316809845,5,4,101
74533,1,53,2,aa,63,606.561147387484,4,3,653
74848,2,31,2,aa,5,1272.1015888078455,5,4,703
74957,1,35,2,aa,63,907.4611203701012,4,4,357
75072,1,30,2,aa,28,445.66463352747144,4,3,356
75565,1,30,2,aa,47,227.83669740034549,4,4,101
75593,2,51,1,aa,36,907.6785080325077,5,4,654
75600,1,39,1,aa,47,226.61236552784305,5,3,101
75643,1,36,1,aa,5,57.46033975999568,7,4,101
75993,2,41,1,aa,28,570.1150409190348,7,4,101
76499,2,68,1,aa,52,27.232707589651852,5,2,101
76539,2,20,1,aa,47,731.4620751878833,7,2,101
77227,2,35,1,aa,5,12.124616338031267,7,3,101
77281,2,78,1,aa,61,686.7706282302017,6,3,101
77500,2,65,1,aa,32,624.9951894989629,6,4,101
77935,2,71,1,aa,46,1208.3854438925102,1,3,679
78410,1,77,1,aa,56,1044.851680199362,6,4,677
78572,2,64,1,aa,8,431.60798191673797,1,3,687
78619,1,66,2,aa,53,562.789978027344,4,4,101
79922,1,19,1,aa,53,13.186729199446368,4,4,101
81262,1,59,2,aa,46,4.344475598212135,7,2,101
81378,2,33,1,aa,63,752.5616382465168,6,4,101
85106,1,56,2,aa,53,129.36348771150318,1,3,101
85364,1,56,2,aa,62,1221.055409830005,6,2,101
85724,2,38,2,aa,46,966.4747486824092,6,2,678
85815,1,56,2,aa,46,1281.2550739356323,7,2,101
85835,2,56,2,aa,46,179.7821795782881,5,2,330
85917,1,17,2,aa,20,487.6813767755888,7,2,101
86019,2,88,1,aa,53,501.0303606273755,4,1,101
86053,2,56,1,aa,53,150.87284741513835,1,1,101
86201,1,90,1,aa,46,293.22877290775875,5,1,187
86453,2,70,1,aa,46,1216.4140533811944,4,1,101
86846,2,37,1,aa,46,613.3016747675053,3,4,378
87430,1,46,1,aa,53,1230.1666443724866,6,1,379
89250,2,20,2,aa,47,264.146497782664,3,1,101
89362,2,21,1,aa,36,946.9408546781148,3,1,101
89481,2,64,2,aa,52,1037.4941914469366,1,1,675
89503,1,88,2,aa,46,955.800949781969,3,4,101
89524,1,58,2,aa,46,333.6805375172537,3,4,678
92287,2,53,2,aa,31,998.483623193166,6,3,682
92462,1,66,1,aa,30,399.21477067294063,3,3,101
92719,1,66,2,aa,30,178.4886803115913,3,1,101
92772,1,40,2,aa,47,1225.5712667296839,3,3,684
92888,1,67,2,aa,47,285.8878344657011,6,1,101
93036,2,46,2,aa,46,1037.0078698201633,7,3,101
93072,2,79,2,aa,33,1122.9876306880692,3,3,101
94015,1,35,1,aa,61,929.4447815360517,3,3,364
94741,1,54,1,aa,63,912.1791812784235,3,3,101
95070,2,42,2,aa,30,735.7091795430609,3,3,522
95561,2,53,1,aa,53,562.789978027344,5,3,703
96032,1,37,2,aa,30,207.475472664101,5,3,366
98986,2,70,2,aa,12,908.9071422552701,1,1,101
99176,2,16,1,aa,36,1342.754516688468,5,1,101
99418,2,62,1,aa,48,575.0756894181291,1,3,101
99636,2,47,2,aa,3,796.2986883467063,1,4,101
100349,2,68,2,aa,27,1340.2050702428671,3,1,101
101450,2,63,2,aa,15,411.4805255271855,5,1,213
101521,2,36,2,aa,20,1130.9076945823992,1,1,101
101543,2,22,1,aa,48,820.3030958488956,1,4,101
101592,2,35,1,aa,13,518.479245779244,4,1,101
101631,2,54,1,aa,50,1131.9357686452631,1,3,101
101684,2,70,1,aa,27,818.0726570418564,2,4,101
101712,1,33,1,aa,50,447.9146210675482,5,1,101
101971,1,43,1,aa,20,823.881785423551,1,4,101
102080,1,86,2,aa,52,818.6758806345889,1,4,101
102094,1,55,2,aa,34,530.6173947637649,3,1,503
102109,1,14,2,aa,52,483.59745225166864,5,1,101
102284,1,16,2,aa,52,445.07012366407605,1,2,542
102387,1,35,2,aa,22,469.43310935025477,5,2,101
102732,1,75,2,aa,48,852.8942800488571,5,2,101
102917,1,20,2,aa,23,648.3223656890036,6,2,101
104464,1,53,2,aa,21,854.7147450320682,5,2,506
105209,1,62,2,aa,37,1299.0167571941488,6,2,249
106102,1,71,2,aa,38,224.30640383979087,5,2,249
106160,1,49,2,aa,63,829.2258930195442,5,4,194
106220,1,44,2,aa,10,216.3698908796871,4,2,195
106325,1,35,2,aa,33,990.1286610007314,5,2,503
107547,1,56,1,aa,5,1330.1158017075143,3,1,470
107570,1,34,2,aa,5,1130.9519760440132,3,1,193
107590,2,63,2,aa,19,133.07827717289425,3,1,504
107651,1,83,2,aa,50,671.2493332202033,3,1,523
107707,1,65,1,aa,5,1314.4605549264263,3,1,101
107979,1,78,2,aa,53,1091.285494403748,3,3,101
108005,2,19,2,aa,9,178.37877261030582,3,1,101
108016,1,86,2,aa,9,1039.5131248976616,2,4,467
108019,1,35,1,aa,36,608.0379259415864,3,3,101
112646,1,41,1,aa,48,176.31015816836955,4,4,101
113025,1,74,1,aa,36,605.8764638521485,4,1,101
113037,2,40,1,aa,15,907.7272959989449,6,4,465
113350,1,15,1,aa,9,422.38389894467633,3,1,465
113633,1,34,1,aa,8,626.1300509121373,6,4,631
113900,2,40,1,aa,8,690.7758868827684,6,4,101
114366,2,36,1,aa,23,844.3327699726462,4,3,485
114656,2,32,1,aa,23,528.2578141349222,4,3,249
114786,2,15,2,aa,27,1260.038558328355,7,4,101
115083,2,29,1,aa,37,797.1790539578062,6,3,101
115088,1,69,2,aa,35,820.7974932325966,7,3,101
115205,2,82,2,aa,12,728.0462944511911,6,4,249
115433,2,69,1,aa,27,754.3780749315696,6,4,484
115581,2,29,2,aa,53,1224.5046180946736,7,4,101
115611,2,64,2,aa,53,688.2890121642134,6,1,101
115661,1,87,1,aa,27,1256.9704028788315,6,1,101
116785,1,57,1,aa,12,367.6285663285834,7,1,484
116791,1,63,1,aa,19,691.8670043575945,2,1,101
117444,1,63,1,aa,54,364.0941001267572,2,4,329
117776,2,62,1,aa,54,1076.937585370984,3,4,101
118785,2,22,2,aa,9,347.65076457652924,6,2,101
118810,1,22,1,aa,9,1058.4753374804457,6,3,101
118877,1,22,1,aa,35,671.3324444975739,6,4,101
118921,2,22,2,aa,58,1293.8012233074764,3,2,101
118965,1,44,1,aa,9,1258.0694667621212,2,3,101
118994,1,83,1,aa,23,240.02872732868371,7,3,528
119030,1,29,2,aa,63,1257.8222342633437,7,2,597
119180,2,29,2,aa,20,351.21750884616716,6,1,597
119279,2,66,2,aa,20,232.4931999328918,6,2,457
119297,2,29,2,aa,48,375.36260564773113,7,1,457
119306,1,66,2,aa,48,609.6239000464793,7,2,101
119306,2,75,2,aa,14,914.1970257561675,6,2,331
119490,2,82,2,aa,14,376.8582372774703,6,2,503
119584,2,82,2,aa,54,1301.840893328954,2,1,328
119586,2,82,2,aa,23,244.32614069076894,2,1,538
119618,2,30,2,aa,23,916.7951928154513,7,2,543
119738,2,19,1,aa,23,671.4749048408361,7,2,365
125008,2,81,1,aa,27,1340.4803103264687,4,4,213
125032,2,81,1,aa,25,539.2071865852527,4,2,101
125403,2,29,1,aa,27,1008.0144453835856,4,2,101
125435,1,69,1,aa,55,366.9683665266651,3,1,213
125435,1,23,1,aa,55,1285.3869715320234,3,2,500
125533,1,59,1,aa,2,445.7019819738284,4,4,365
125618,1,31,1,aa,13,855.5310952386853,2,2,549
125805,1,75,1,aa,55,654.5934186519307,4,4,503
125853,1,19,1,aa,55,145.87217198576693,4,4,321
126055,2,19,2,aa,12,347.77235499092217,4,4,321
126165,1,29,2,aa,52,1141.9133218156203,4,4,320
126242,2,73,2,aa,50,1108.0891961467987,4,4,359
126285,2,30,2,aa,2,447.60478047363887,1,4,355
126351,1,53,2,aa,2,241.1793632139507,2,4,101
126673,1,53,2,aa,55,1141.0178155798394,4,4,101
126681,1,29,2,aa,8,351.8528931858143,4,4,101
126802,1,32,2,aa,8,1016.7050708886426,4,4,101
127483,2,31,2,aa,57,366.397718807759,3,3,101
127560,2,20,2,aa,57,1267.776965577223,7,1,101
127664,2,86,2,aa,60,446.4719535185137,7,1,101
127705,2,20,2,aa,33,1229.5689697500568,1,3,101
127789,1,51,2,aa,36,367.70088049253184,1,3,101
127850,1,16,2,aa,36,1270.498758358714,3,1,503
127880,2,22,2,aa,17,413.0820879996419,3,1,101
127889,2,71,2,aa,5,531.8812385014123,3,4,101
127892,2,23,2,aa,54,1037.8060141062633,1,4,101
129804,2,30,2,aa,23,1262.4858485605544,1,1,101
130057,1,30,2,aa,10,1126.3839059822158,7,1,101
130114,1,30,2,aa,10,710.5810962612543,1,1,101
130127,1,40,2,aa,3,779.5536559485827,7,4,101
130512,1,49,2,aa,2,1260.130264728505,7,4,101
130543,1,53,2,aa,24,372.1843956298013,7,1,534
130638,2,53,2,aa,32,1314.1566864372703,1,1,520
130873,2,75,2,aa,24,495.72811249052376,2,1,520
131061,2,70,2,aa,3,371.3102913371424,1,1,501
131188,2,49,2,aa,0,746.5317523139017,2,4,188
132488,2,54,2,aa,0,864.2155520625072,7,1,705
132544,2,40,1,aa,41,382.92904278469194,2,4,537
132761,1,42,1,aa,40,1293.3983312338971,2,4,101
137087,2,42,1,aa,43,364.4173937551104,2,1,290
139331,1,54,1,aa,9,116.77970809346515,7,4,471
139337,1,54,2,aa,46,1286.6985093200929,2,4,101
139523,2,50,1,aa,35,1129.3773255682188,2,1,101
139548,2,54,1,aa,29,1345.4958664150636,2,3,101
139573,2,59,2,aa,0,1142.0301010069552,1,1,101
139972,2,66,1,aa,33,1134.1198272495355,1,3,101
140480,2,40,1,aa,50,601.120785353778,7,1,101
145647,1,40,1,aa,33,360.47009234596544,1,1,294
145985,2,64,2,aa,30,30.883533781511957,4,2,101
146041,1,83,2,aa,5,1207.1145918809589,1,2,101
146276,1,58,2,aa,5,878.4318312379738,1,2,101
146412,2,18,2,aa,30,1283.3107550199275,4,3,101
146451,1,76,1,aa,20,1328.8196544786986,1,1,101
146474,2,58,2,aa,47,1284.5613798861102,1,3,717
147084,1,18,1,aa,34,732.9574119451256,4,2,239
148587,2,53,1,aa,12,332.6002421169184,1,1,788
148622,2,49,2,aa,0,1274.1633129061986,7,2,268
148642,2,53,1,aa,33,986.4265966483322,3,2,494
148690,2,17,2,aa,21,877.3554111233111,6,3,271
148703,2,37,1,aa,30,648.3602320147669,2,2,767
148709,1,61,1,aa,47,931.5787194315598,6,2,185
148736,1,17,2,aa,33,562.789978027344,3,3,655
148743,1,36,1,aa,34,1193.4234670611174,1,2,101
148851,2,81,2,aa,16,626.1218320056013,4,2,532
148986,2,83,1,aa,13,1228.183967906836,6,1,287
153687,1,36,2,aa,33,964.9170050591206,2,3,249
154146,1,31,1,aa,30,720.614817388962,2,1,680
154421,2,84,1,aa,43,347.01266508077225,1,3,578
154701,2,37,1,aa,45,203.43811913975185,3,3,101
154810,1,33,2,aa,0,650.1112812084068,3,3,101
155248,2,31,2,aa,49,648.1899624418082,6,3,101
155287,2,29,1,aa,56,574.1244606388966,3,3,305
155330,1,35,2,aa,47,995.4321643660862,3,4,101
155346,1,56,1,aa,59,26.57630787431358,6,4,101
155386,1,86,2,aa,29,124.34635975258124,3,4,101
155395,2,14,1,aa,14,798.1337621606233,1,3,101
156539,2,35,1,aa,9,574.3225063428365,3,4,101
156962,1,29,2,aa,26,117.90666678469009,3,4,625
157715,1,29,2,aa,35,69.37915487723929,1,4,101
157890,1,55,2,aa,57,1315.7579575193895,1,3,101
158441,1,14,2,aa,3,678.255864970715,3,3,101
158740,1,83,2,aa,35,983.656812387092,3,4,101
158758,1,55,2,aa,35,814.5160319852574,3,1,699
159028,1,53,2,aa,3,247.51344988605672,6,1,101
159153,1,15,2,aa,57,370.26487891531957,7,4,101
159388,2,15,2,aa,3,1314.1511082951376,2,1,481
159523,1,30,1,aa,35,1134.0205269307771,1,4,461
160628,1,79,2,aa,58,945.7936726725964,1,4,101
160664,1,30,2,aa,50,775.680253489184,4,1,785
160689,1,81,2,aa,25,31.73003666441135,6,1,528
161524,2,58,2,aa,58,641.3868782193098,5,4,101
161772,2,82,1,aa,48,905.0421155631487,7,1,760
162880,1,58,2,aa,23,1285.6529234517338,6,1,101
162888,2,67,1,aa,27,216.62727997774556,5,1,101
163152,2,70,2,aa,26,1284.3710583793109,4,1,101
163263,2,81,2,aa,44,813.5691872533059,7,1,101
163267,2,85,1,aa,6,913.9834317004726,5,1,193
163423,2,83,1,aa,3,1315.386066201503,5,1,101
163423,1,28,1,aa,58,966.3755408968381,6,2,101
163433,1,83,1,aa,35,774.8297852791898,6,2,101
163509,1,53,1,aa,58,1315.176965712913,5,2,101
163598,2,28,1,aa,49,204.74567694437513,7,1,796
163598,2,35,1,aa,58,216.47868802219824,7,1,101
163755,1,28,1,aa,35,244.10464682284305,5,2,799
163793,1,14,1,aa,50,228.37745823252567,5,4,101
164886,1,87,1,aa,30,1037.0166380955084,5,3,101
164916,1,45,1,aa,49,892.307697527286,1,3,101
164930,1,87,2,aa,23,1315.0512889838153,1,3,358
164956,1,87,2,aa,48,116.64340987228567,6,3,535
164963,1,87,1,aa,49,727.716335514775,5,3,776
164964,1,87,1,aa,48,1159.0346119689991,6,3,285
164975,2,32,1,aa,28,131.85010620133062,7,3,284
164983,1,32,1,aa,28,395.95491862279323,7,3,101
165005,1,47,1,aa,2,1124.5930681948123,5,3,164
165036,1,46,1,aa,44,58.65839258021957,5,3,480
165139,1,46,1,aa,4,347.51616646796765,5,3,101
165207,1,79,2,aa,59,125.11854692875667,3,4,380
165221,1,35,1,aa,35,1245.8769941773464,5,3,780
165248,2,43,1,aa,24,361.07809207259487,5,3,101
165276,1,43,2,aa,48,1038.1288168069866,6,4,453
165289,1,67,2,aa,24,350.73296958936345,6,4,776
165368,1,20,2,aa,16,764.4005042588806,3,3,101
165451,1,77,2,aa,35,388.9710168256108,7,3,801
165454,1,87,2,aa,58,929.8309981084773,7,3,381
165463,1,87,2,aa,50,346.39415933674906,7,3,193
165486,1,87,2,aa,30,178.46667120990355,7,3,375
165589,1,84,1,aa,25,1062.8601982361572,3,3,158
165601,2,15,1,aa,35,1117.668573855588,5,3,504
165631,2,84,1,aa,18,384.3939119639703,6,3,101
165643,1,84,2,aa,2,420.4410103513708,6,4,101
165761,2,30,1,aa,3,344.04383405508645,6,4,101
165781,1,18,1,aa,16,360.6965036763663,1,3,763
165831,1,87,1,aa,2,360.93636044910767,2,3,763
165873,1,27,1,aa,2,1174.9995577919424,3,3,249
168213,1,27,2,aa,2,967.4659537089542,3,3,784
169345,1,84,2,aa,43,447.5092015768427,3,1,706
169613,2,79,2,aa,24,363.30994163554095,3,1,786
169652,2,32,2,aa,54,446.62892014760376,6,1,464
170208,2,32,2,aa,28,444.8258702852867,6,1,101
170795,2,78,2,aa,52,379.9466739629133,6,4,101
171248,2,86,2,aa,54,416.67281128134147,6,4,285
171400,2,30,2,aa,44,265.50757024135294,5,1,576
171402,2,75,2,aa,60,108.99319273927878,3,1,101
172272,1,75,2,aa,25,651.7933073766327,6,4,101
172315,1,33,2,aa,40,1283.4380684997518,6,4,101
172496,1,86,1,aa,42,756.9189556383169,5,1,101
173415,2,32,1,aa,28,989.3791382625368,3,2,284
173451,2,32,1,aa,63,1331.212306047507,3,2,101
173522,2,60,2,aa,52,1335.8032776044763,2,1,101
173614,2,31,1,aa,63,753.6400552566596,2,4,101
173687,2,16,2,aa,12,840.0132870866562,1,1,101
173769,2,16,1,aa,55,225.21685461418764,1,1,101
174029,2,22,1,aa,54,247.1478847601108,5,2,101
174065,1,77,1,aa,9,116.36337793681098,6,2,101
176144,2,25,1,aa,55,395.61629068001645,6,4,499
176235,2,15,1,aa,60,908.2022450703855,5,1,627
176318,2,15,2,aa,54,1098.9117008793964,5,2,454
176416,2,28,1,aa,20,177.06589536769698,5,2,101
176418,2,45,1,aa,53,670.6514299049734,5,1,101
176518,1,21,1,aa,14,217.6051062937881,5,1,101
176959,2,63,2,aa,18,70.91282734119734,5,1,101
176966,2,63,1,aa,14,879.4683214248694,6,4,231
177360,2,63,1,aa,12,431.7314995416233,3,4,498
177438,2,86,1,aa,44,904.5517445458753,2,2,101
177441,2,86,1,aa,61,424.0591996851671,2,2,101
177507,2,86,2,aa,45,770.8552501242034,6,2,101
178569,2,69,1,aa,24,806.7658075144226,7,1,101
179262,2,69,2,aa,14,1063.811485257049,2,1,712
179337,1,69,1,aa,17,785.721360573714,2,2,698
180267,1,67,2,aa,62,919.1901127457156,3,4,249
180361,1,19,1,aa,30,893.5828380719114,1,3,420
181363,1,30,1,aa,60,362.99169127786996,3,4,233
181797,2,45,1,aa,46,1222.1309992993392,2,3,270
181955,2,18,1,aa,27,216.07483958711842,4,3,101
183234,2,46,2,aa,61,228.8127099738931,1,3,101
183386,1,78,2,aa,27,366.6616012468906,1,1,101
183837,2,29,2,aa,31,69.20045743092705,2,4,101
184079,2,88,2,aa,11,767.6597923318387,4,4,101
184407,2,64,1,aa,61,856.3267389678788,4,4,238
184477,2,44,1,aa,44,649.6384465022983,4,3,212
184728,1,78,1,aa,15,796.2183836889022,2,4,270
184906,2,14,1,aa,29,1156.0813217017242,1,4,101
184910,1,79,1,aa,55,695.271131295557,3,1,101
184927,2,88,1,aa,45,693.7950745822561,7,4,710
185237,1,74,1,aa,54,862.2490500804942,1,4,101
188947,1,56,1,aa,19,133.51231208784142,4,2,101
189121,1,88,1,aa,61,1233.6788523819423,2,2,101
189350,1,88,2,aa,54,132.46941923571205,2,2,101
189423,1,19,2,aa,45,737.8757439359448,7,2,101
189442,2,25,2,aa,43,310.48002757663573,7,2,101
189462,2,20,2,aa,41,307.8640394579105,1,2,380
192581,1,16,2,aa,52,111.65620710615809,2,1,101
