EF41,TAETIGKEITSSCHLUESSEL4,EF16U2,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
52,1,7,2,101
54,1,7,2,101
52,1,6,1,101
54,1,3,2,101
53,2,3,1,101
54,2,3,4,101
54,1,3,4,101
54,1,3,1,101
54,1,6,1,101
54,1,6,2,101
54,1,6,4,101
54,1,6,2,101
54,1,7,1,101
55,1,6,4,101
55,1,1,1,101
56,1,7,2,101
58,2,7,2,101
57,1,7,2,101
59,1,7,4,101
57,2,7,4,101
59,1,7,4,101
57,2,7,4,101
59,1,7,4,101
57,2,7,4,101
59,2,7,2,101
57,1,7,4,101
59,2,7,2,101
57,2,5,4,101
59,2,3,2,101
58,2,5,2,101
59,1,1,4,101
58,2,3,4,101
59,2,3,4,101
59,2,5,4,101
59,1,1,2,101
59,2,3,4,101
59,2,5,4,101
59,1,1,4,101
59,2,5,4,101
59,2,3,4,101
59,2,5,4,101
60,2,1,1,101
60,2,1,1,101
60,2,1,1,101
60,2,1,1,101
60,2,1,1,101
60,2,1,1,101
60,1,1,1,101
60,1,2,1,101
62,2,5,1,101
60,1,2,1,101
62,2,5,1,101
60,2,5,1,101
62,2,4,1,101
60,2,4,3,101
62,2,5,3,101
60,2,2,1,101
62,1,4,3,101
60,1,5,1,101
62,2,5,3,101
61,2,2,3,101
62,1,4,3,101
62,2,2,2,101
62,1,2,3,101
62,2,5,2,101
62,2,5,2,101
62,2,2,2,101
62,1,5,3,101
62,2,1,2,101
62,2,2,2,101
62,2,5,2,101
62,1,2,2,101
62,2,2,2,101
62,2,2,4,101
62,2,2,2,101
62,2,2,3,101
62,2,4,2,101
62,1,2,2,101
62,1,5,3,101
62,2,4,2,101
62,2,5,2,101
62,2,4,2,101
62,2,4,2,101
63,2,2,2,101
62,2,2,4,101
63,2,4,2,101
63,2,4,4,101
63,1,4,4,101
63,2,2,4,101
63,2,4,4,101
63,1,4,4,101
21,2,5,3,268
20,2,7,3,257
17,1,7,3,284
18,2,6,3,258
22,1,7,3,308
18,1,7,3,260
22,2,7,3,310
18,2,7,3,261
18,1,4,4,320
22,2,2,4,269
18,1,4,1,321
30,1,7,2,287
22,2,7,2,321
19,2,7,2,308
17,2,7,2,334
28,2,3,2,313
18,1,4,2,348
28,1,1,2,315
17,1,4,2,354
17,1,1,2,331
29,2,4,2,364
23,2,4,2,348
30,2,4,2,364
20,2,4,4,367
27,2,2,1,372
30,2,2,1,372
30,2,4,1,383
24,2,6,4,388
16,1,4,1,413
27,2,4,4,414
16,1,4,4,413
21,2,3,1,445
25,2,5,4,451
26,2,5,4,460
30,2,4,4,470
21,2,3,4,461
16,2,3,1,496
20,2,4,4,471
24,1,5,1,499
21,2,3,4,491
24,2,3,4,499
18,2,3,1,494
27,1,1,1,508
17,2,3,1,510
51,2,3,1,263
55,1,2,1,268
35,2,5,1,270
49,2,2,1,269
51,2,2,1,270
55,2,5,1,270
49,1,5,1,271
52,1,3,4,292
51,1,3,3,271
51,1,3,3,305
53,2,5,1,271
54,1,3,4,313
55,1,3,4,287
51,2,2,3,317
54,2,2,3,318
43,1,2,1,320
35,1,3,1,320
43,1,2,4,321
44,1,2,2,320
39,2,3,1,328
44,1,3,2,321
50,2,2,4,341
49,2,2,3,329
51,2,2,4,343
55,1,2,1,330
50,1,2,2,349
49,1,5,3,334
36,1,3,3,354
36,1,2,2,348
39,1,2,2,355
35,2,5,1,353
35,2,5,4,356
53,2,5,4,357
47,1,3,2,357
35,1,5,2,359
36,1,3,2,359
55,1,3,3,367
35,1,5,2,365
54,2,5,3,370
47,2,5,1,368
55,1,5,3,371
47,1,5,3,374
37,2,5,4,372
44,2,5,3,375
35,2,5,1,379
40,1,6,1,396
43,1,6,4,398
42,2,5,3,415
44,1,6,3,413
44,1,6,4,426
44,1,6,4,414
43,1,5,3,432
40,1,6,1,453
43,1,3,4,443
45,1,3,3,456
43,1,5,4,457
41,1,6,1,464
47,2,6,4,461
40,2,6,1,465
43,1,6,3,470
40,1,5,3,468
47,2,2,3,471
41,1,6,3,469
46,1,6,3,489
41,1,6,1,471
47,2,6,4,497
47,1,5,1,502
47,2,6,4,505
47,2,5,1,507
53,2,5,2,398
52,2,6,2,465
55,2,6,2,466
50,1,5,2,492
49,2,6,2,470
50,1,5,2,493
49,2,6,2,500
76,1,4,4,72
64,1,4,4,101
75,1,4,4,99
64,1,6,1,101
65,1,6,1,101
64,2,1,2,101
66,2,1,4,101
64,2,1,2,101
66,2,1,2,101
64,2,2,1,101
66,2,1,4,101
64,2,1,4,101
66,2,2,2,101
66,1,5,4,101
66,1,5,4,101
67,1,5,2,101
66,2,1,2,101
67,2,1,1,101
67,2,1,1,101
67,1,6,1,101
67,1,5,4,101
67,1,6,1,101
67,1,2,4,101
69,1,2,3,101
67,1,2,4,101
69,2,1,4,101
67,1,6,3,101
69,1,6,3,101
67,1,2,3,101
69,1,5,3,101
67,2,1,3,101
69,2,1,3,101
67,1,5,4,101
69,1,6,3,101
67,2,1,4,101
69,1,5,3,101
67,1,2,1,101
69,1,6,3,101
67,2,1,4,101
69,1,2,3,101
67,1,2,1,101
69,2,1,4,101
67,1,2,4,101
69,1,2,4,101
68,2,2,3,101
69,1,2,3,101
68,1,2,1,101
70,2,2,2,101
68,1,2,1,101
70,1,5,1,101
68,1,2,2,101
70,1,5,1,101
69,1,4,1,101
70,1,4,2,101
69,1,5,1,101
70,2,7,1,101
69,1,4,2,101
70,2,7,2,101
69,1,2,1,101
72,1,2,1,101
69,1,1,4,101
72,1,4,1,101
69,1,5,1,101
73,1,5,1,101
69,1,4,1,101
73,1,4,1,101
69,1,4,1,101
73,1,5,1,101
69,1,5,4,101
73,2,7,1,101
69,1,4,4,101
75,1,4,4,101
69,1,5,1,101
76,2,2,1,101
69,1,5,4,101
77,1,2,4,101
70,2,6,1,101
78,1,5,1,101
70,1,4,1,101
78,2,6,4,101
70,2,6,4,101
78,2,6,4,101
70,2,7,4,101
78,2,7,1,101
70,2,6,4,101
79,1,4,2,101
71,2,3,2,101
79,2,3,2,101
71,2,3,4,101
79,2,3,2,101
71,2,7,3,101
79,2,6,4,101
72,2,6,3,101
79,2,3,2,101
74,2,7,2,101
79,2,7,2,101
74,2,5,1,101
80,2,5,1,101
74,2,3,1,101
80,2,6,1,101
74,2,6,1,101
81,2,5,1,101
74,2,5,1,101
81,2,6,1,101
74,2,3,1,101
81,2,6,1,101
75,2,5,3,101
83,2,5,3,101
75,2,7,4,101
83,2,3,4,101
75,2,5,4,101
83,2,7,4,101
75,2,5,3,101
83,2,5,4,101
76,2,3,3,101
83,1,6,3,101
76,2,3,4,101
83,2,3,4,101
77,2,7,3,101
83,2,7,4,101
77,2,3,4,101
83,2,3,3,101
78,2,3,4,101
83,2,3,4,101
78,2,7,3,101
83,2,3,3,101
79,1,1,4,101
83,1,1,3,101
79,1,1,3,101
83,2,3,4,101
79,1,1,3,101
83,2,3,4,101
80,2,3,1,101
86,1,2,3,101
81,1,2,2,101
86,2,3,1,101
81,2,3,2,101
86,1,2,2,101
81,1,2,3,101
86,2,3,3,101
81,1,2,2,101
86,1,6,1,101
82,1,6,3,101
86,1,6,3,101
82,1,6,2,101
86,1,6,1,101
82,1,1,4,101
87,1,6,2,101
83,1,7,1,101
87,1,6,4,101
83,2,4,2,101
87,1,6,4,101
83,1,7,4,101
87,1,6,4,101
83,1,1,4,101
87,1,1,2,101
83,1,1,4,101
87,1,6,4,101
83,2,3,2,101
87,1,6,1,101
83,2,3,1,101
87,2,3,1,101
83,2,3,4,101
87,1,1,2,101
83,2,4,4,101
87,2,4,2,101
84,2,4,2,101
87,2,4,2,101
84,2,4,2,101
87,2,4,2,101
84,2,4,3,101
88,2,4,3,101
84,2,4,3,101
88,1,7,3,101
86,1,7,3,101
88,1,7,3,101
86,2,4,3,101
88,2,4,3,101
87,1,1,3,101
88,2,7,3,101
87,2,7,3,101
75,1,1,4,132
87,2,7,4,101
75,2,7,4,134
87,2,7,3,101
68,2,7,1,150
87,2,7,1,101
70,2,7,3,167
87,2,7,3,101
64,1,1,1,189
87,1,1,1,101
70,2,7,1,194
87,2,7,1,101
78,2,7,1,195
87,2,7,1,101
75,1,7,4,212
87,1,1,4,101
64,2,7,3,224
72,1,4,3,105
72,1,4,1,229
76,1,4,1,120
76,1,4,1,249
82,1,4,4,270
86,1,2,3,256
71,1,4,4,271
86,1,5,4,257
82,1,4,3,271
66,1,7,3,259
86,1,6,3,293
71,1,3,1,262
82,1,5,1,311
83,1,7,4,263
81,1,4,3,320
65,2,3,3,268
82,1,6,4,320
73,1,4,1,268
67,1,6,4,321
82,1,5,4,268
76,1,3,2,321
67,1,6,2,285
87,2,6,4,321
69,2,3,2,286
84,1,3,4,359
87,2,6,3,291
82,2,2,4,369
82,2,2,2,304
77,1,3,1,375
79,2,3,4,308
78,2,6,2,388
68,2,3,1,313
86,1,6,2,393
67,2,5,1,320
68,2,4,3,412
75,1,7,4,321
74,2,5,2,412
87,2,5,4,349
77,2,4,4,414
68,2,5,3,358
83,2,4,4,414
64,2,2,2,364
83,2,5,1,415
70,2,1,3,369
78,2,3,1,451
74,2,6,4,370
87,1,2,2,452
64,1,7,3,371
72,1,2,2,465
75,1,2,3,374
78,1,3,2,467
78,2,5,3,375
87,1,3,4,468
69,2,1,1,388
80,1,3,1,469
66,1,4,3,412
72,1,2,4,470
69,1,5,4,413
87,1,6,1,471
64,1,7,2,415
69,1,6,1,494
85,1,6,2,418
67,2,1,3,497
70,1,3,1,451
86,2,6,1,498
73,1,6,1,465
68,2,5,4,500
87,1,3,3,466
77,1,6,1,502
79,1,6,1,483
76,2,3,1,504
64,1,3,2,491
72,1,3,2,505
86,2,2,2,501
80,1,3,1,508
72,2,3,4,506
73,1,6,1,510
78,2,6,1,511
17,1,5,3,527
18,1,5,3,540
20,1,7,3,538
18,1,5,3,542
10,1,6,3,548
20,1,3,3,542
16,2,3,3,577
19,2,3,4,549
21,2,3,3,578
20,2,3,3,567
21,2,3,3,579
19,1,5,1,576
29,1,1,3,586
18,1,2,4,586
30,2,3,4,595
27,1,5,4,586
30,1,5,4,600
24,1,5,4,587
29,1,3,4,626
19,1,3,1,592
29,1,3,1,650
18,1,3,3,598
7,1,7,1,657
25,1,3,3,631
18,1,2,2,667
18,1,3,3,648
20,2,3,2,676
26,2,3,4,650
22,2,3,3,693
28,1,7,1,652
21,1,1,4,701
16,2,7,1,653
30,2,7,1,707
17,2,7,1,653
20,2,3,2,715
16,2,3,1,655
30,1,2,1,724
17,2,3,1,655
29,2,3,2,727
29,1,7,4,655
2,1,7,4,738
20,1,7,2,669
17,2,7,4,752
18,2,7,4,678
27,2,3,3,754
26,2,7,4,724
26,2,3,1,756
28,2,7,3,726
30,2,7,4,758
35,2,3,3,520
33,2,3,3,523
39,1,2,2,536
37,2,3,3,597
39,2,3,2,546
35,2,4,1,654
37,1,1,2,637
32,1,2,2,724
39,2,6,1,715
35,1,1,4,725
36,1,1,2,724
32,2,3,4,752
39,2,3,4,726
33,2,1,4,759
35,2,3,4,764
35,2,1,4,761
35,2,3,4,765
36,2,6,3,791
45,1,6,1,548
44,1,4,1,547
46,1,4,3,596
46,2,4,3,587
41,1,4,2,628
47,2,3,2,595
41,2,4,3,635
42,2,4,3,633
40,2,3,3,639
40,2,4,1,725
43,2,7,2,653
43,2,6,2,771
44,1,5,2,655
41,2,6,3,787
46,2,5,3,667
40,2,7,3,814
55,1,7,2,528
63,1,7,4,541
49,1,5,3,538
58,1,7,2,546
50,1,7,4,538
62,1,6,3,576
62,1,3,3,542
57,2,3,1,579
59,2,3,2,546
49,2,3,4,587
52,1,7,4,567
59,1,7,4,587
63,1,4,4,573
49,1,5,4,599
62,1,5,3,578
62,2,1,3,629
50,2,5,3,595
58,2,1,1,650
50,2,5,4,598
52,2,1,1,652
51,2,1,4,636
50,1,5,1,653
58,1,7,4,650
50,2,5,1,654
58,1,7,2,651
57,2,7,4,668
52,2,1,1,655
62,2,7,4,673
63,1,4,4,667
61,1,5,4,678
50,2,3,4,681
59,1,2,4,681
58,2,3,3,725
56,2,3,4,685
62,2,7,4,727
58,2,3,2,698
52,2,1,3,760
50,2,1,2,782
60,2,1,2,764
57,2,1,2,784
77,2,3,3,520
78,1,6,1,528
77,2,3,1,521
66,2,3,1,531
86,1,7,1,523
78,2,3,4,537
80,2,3,3,528
65,1,7,4,539
70,2,3,1,531
86,1,4,3,545
90,2,4,2,544
76,2,4,1,546
72,1,7,4,560
73,1,5,1,548
76,1,4,3,566
78,1,5,3,550
77,1,3,4,570
87,2,3,1,551
75,2,5,2,573
73,2,1,1,579
75,2,5,3,577
70,2,5,3,587
81,1,2,1,594
87,1,7,4,587
70,1,5,4,597
71,1,3,1,596
68,1,2,4,598
87,2,1,4,598
83,2,4,4,625
75,1,6,2,624
78,2,4,1,635
75,1,5,2,629
69,1,2,1,636
64,1,6,3,635
79,1,2,3,648
68,2,6,3,651
87,2,7,4,649
78,1,4,1,651
75,1,6,3,650
69,1,6,4,652
74,2,5,1,651
78,2,5,1,654
69,1,6,1,655
66,1,6,2,668
82,1,4,4,655
72,1,4,3,683
75,1,5,1,666
70,1,5,1,692
77,2,1,3,674
70,1,2,1,699
83,1,3,1,697
72,2,3,3,706
78,2,6,3,704
66,2,7,1,716
78,2,6,3,715
72,2,7,3,717
80,2,3,4,727
87,2,7,4,754
86,2,7,2,757
77,2,6,2,760
86,2,7,1,763
77,2,6,1,766
