TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,EF16U2,LEISTUNGSGRUPPE,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
1,46,2,48,6,4,1,101
1,25,2,29,5,3,1,530
1,46,1,15,5,4,1,101
1,84,2,2,6,3,4,286
1,28,2,49,3,5,3,577
1,83,2,20,2,4,1,312
1,68,1,62,1,5,4,101
1,52,1,40,3,4,1,101
1,44,2,28,1,3,2,542
1,46,1,47,1,1,2,101
1,21,2,42,7,5,4,390
1,18,1,42,3,5,1,101
1,52,1,26,7,3,4,538
1,78,1,28,6,2,4,535
1,71,1,55,3,2,4,666
1,18,1,28,3,4,3,593
1,70,2,42,6,3,1,101
1,69,1,36,5,1,2,101
1,53,1,37,2,4,3,394
1,26,1,54,1,3,1,593
1,44,1,36,6,1,3,330
1,87,1,19,4,1,1,101
1,39,1,27,2,1,4,101
1,49,2,52,7,1,3,101
1,49,1,27,2,4,1,349
1,40,2,5,5,2,2,101
1,76,2,54,3,1,1,672
1,59,2,6,1,3,4,367
1,60,2,9,6,1,3,101
1,66,1,27,5,2,2,595
1,86,2,51,7,1,4,415
1,67,1,43,2,5,1,101
1,73,2,18,1,2,2,101
1,82,1,28,6,4,2,342
1,23,2,9,6,4,1,333
1,17,2,8,6,1,1,101
1,88,2,19,3,5,2,101
1,26,2,54,3,3,1,595
1,69,2,36,5,5,3,101
1,18,1,41,3,1,3,101
1,54,1,57,5,4,4,665
1,21,2,28,1,2,4,573
1,18,1,23,1,5,3,101
1,57,2,19,4,2,4,101
1,46,2,14,6,1,1,101
1,24,2,57,7,2,3,101
1,53,1,22,3,4,1,101
1,78,2,61,6,4,2,329
1,54,1,54,6,1,3,309
1,70,2,61,6,1,4,101
1,55,2,35,1,1,3,426
1,44,2,50,3,4,1,101
1,54,1,54,3,2,3,101
1,67,1,43,3,3,2,101
1,80,1,25,5,4,4,574
1,59,2,62,7,5,1,101
1,41,1,47,7,3,1,101
1,41,2,0,1,2,2,101
1,49,1,34,2,3,1,101
1,68,2,10,3,3,1,309
1,69,1,5,7,2,3,285
1,53,2,26,4,2,4,567
1,44,2,6,5,3,4,101
1,75,1,25,7,5,4,567
1,29,1,59,6,4,1,101
1,26,1,28,7,5,4,592
1,20,1,53,2,5,3,101
1,84,2,20,4,1,2,466
1,22,2,54,1,2,2,101
1,32,1,56,5,3,1,682
1,58,1,6,6,3,4,101
1,44,1,48,5,4,3,101
1,20,1,29,3,3,1,537
1,61,1,51,5,3,2,598
1,83,1,37,4,1,2,101
1,81,1,24,6,1,1,499
1,43,1,47,5,2,4,101
1,33,2,27,4,5,4,101
1,67,1,10,6,1,4,358
1,53,1,14,6,5,3,316
1,45,2,47,4,4,3,101
1,43,2,48,5,4,2,101
1,55,1,3,5,2,3,321
1,83,2,9,1,4,1,101
1,65,2,54,3,2,3,101
1,30,1,19,3,1,1,101
1,20,1,40,2,5,3,101
1,44,1,28,3,3,1,101
1,20,2,54,7,2,2,101
1,20,1,28,3,5,3,101
1,67,1,25,6,1,4,101
1,82,2,9,3,5,1,101
1,46,1,35,1,5,1,469
1,34,1,27,6,3,1,101
1,64,2,5,5,2,1,101
1,20,2,28,5,5,4,101
1,50,2,48,6,5,4,101
1,26,2,3,1,5,3,312
1,29,1,54,6,5,1,576
1,16,2,29,5,2,1,532
1,26,2,56,2,3,1,101
1,68,1,62,2,2,4,101
1,69,1,40,2,1,4,101
1,53,2,61,6,3,1,448
1,44,1,61,7,5,1,328
1,28,2,58,2,3,2,576
1,81,2,24,1,3,3,469
1,41,1,28,5,1,2,101
1,50,1,52,3,1,3,101
1,32,1,38,6,3,4,306
1,44,2,37,7,5,3,101
1,44,1,28,2,5,4,101
1,64,2,25,5,5,2,101
1,39,2,25,6,1,2,101
1,46,2,14,3,3,3,101
1,44,2,15,6,1,4,101
1,68,2,31,4,5,4,348
1,89,1,18,4,4,1,101
1,43,1,58,6,1,4,320
1,39,1,0,6,1,3,101
1,60,2,57,7,5,1,510
1,70,2,41,6,3,1,101
1,52,1,5,1,4,3,101
1,24,2,37,2,1,1,394
1,18,1,6,7,5,3,101
1,20,2,55,3,2,1,560
1,69,2,25,4,2,1,101
1,69,2,36,6,5,1,101
1,82,2,16,1,1,1,101
1,86,2,53,3,2,2,529
1,59,2,3,4,1,3,101
1,20,2,37,1,1,2,419
1,68,2,10,4,4,4,678
1,80,2,25,5,3,4,101
1,82,1,31,4,2,3,492
1,67,2,43,4,4,2,101
1,70,1,41,7,4,2,331
1,25,1,26,5,4,4,536
1,61,1,51,1,3,1,599
1,68,1,25,4,1,4,101
1,68,1,35,6,4,4,365
1,49,1,22,4,4,2,321
1,69,1,37,5,4,4,101
1,21,2,49,3,4,1,543
1,58,2,40,1,2,2,101
1,57,1,10,1,4,4,101
1,39,2,61,7,4,4,101
1,39,1,48,2,3,3,724
1,69,1,40,1,4,4,101
1,28,1,58,4,4,1,577
1,69,2,25,7,3,2,101
1,18,2,41,7,2,4,101
1,41,2,35,7,1,4,101
1,67,1,0,2,2,3,101
1,59,1,29,6,2,4,539
1,24,2,57,7,3,4,101
1,69,1,48,4,4,2,533
1,57,2,6,6,1,3,101
1,82,1,27,6,4,4,101
1,59,2,9,5,2,4,101
1,62,1,25,2,3,3,551
1,69,2,61,6,1,1,101
1,41,1,28,4,4,4,101
1,44,1,10,2,1,4,291
1,18,1,42,6,5,1,101
1,49,1,40,2,5,1,101
1,64,2,25,6,1,1,101
1,61,1,60,3,4,3,101
1,49,2,42,5,4,2,101
1,36,1,27,4,4,4,101
1,83,1,56,1,5,1,349
1,18,2,9,1,3,1,101
1,44,2,61,1,5,4,101
1,18,2,28,3,4,1,101
1,73,2,12,3,5,3,305
1,37,2,29,2,3,2,289
1,57,2,19,2,4,2,101
1,75,1,25,1,5,3,565
1,29,2,54,3,5,4,579
1,68,2,9,7,1,1,693
1,26,2,56,2,3,1,101
1,69,1,36,6,5,4,101
1,33,1,28,6,4,2,533
1,53,2,37,5,1,2,386
1,65,2,52,2,1,3,101
1,25,1,26,4,3,4,538
1,80,2,36,5,1,1,268
1,68,1,10,4,5,2,679
1,70,2,35,5,1,1,284
1,83,1,28,2,5,4,101
1,69,2,61,2,1,1,101
1,49,1,35,6,2,2,333
1,53,1,48,1,5,1,101
1,64,2,6,4,2,3,101
1,59,1,6,5,3,3,101
1,83,2,8,7,5,4,653
1,87,2,48,6,3,3,354
1,67,2,62,5,3,4,101
1,59,1,40,5,2,4,101
1,20,1,28,4,2,3,572
1,80,1,58,3,4,2,561
1,69,1,59,4,1,4,677
1,45,1,33,5,4,3,270
1,72,1,56,2,1,4,314
1,43,2,37,4,2,2,101
1,44,2,32,5,3,1,101
1,70,1,40,2,2,3,101
1,64,1,20,2,3,3,101
1,18,1,9,4,3,4,101
1,20,1,52,6,3,2,101
1,76,2,2,1,1,2,649
1,44,1,14,1,2,1,314
1,69,1,48,3,4,1,534
1,34,1,49,3,4,2,537
1,62,1,62,5,5,3,101
1,44,2,28,5,4,2,101
1,44,1,30,1,5,3,101
1,82,1,9,7,2,4,101
1,18,1,9,7,5,3,101
1,64,1,48,2,4,4,101
1,72,2,31,1,2,1,506
1,82,2,9,6,3,2,101
1,82,1,33,4,3,4,701
1,45,1,32,2,1,3,101
1,82,2,9,6,5,4,101
1,67,1,62,6,3,3,101
1,46,1,47,6,3,4,101
1,45,2,6,3,3,4,101
1,81,2,52,3,5,1,355
1,50,1,13,4,1,2,101
1,46,2,15,3,1,3,101
1,50,2,35,7,4,3,101
1,43,2,32,1,4,3,101
1,47,1,45,5,2,2,101
1,18,1,28,1,4,1,101
1,86,2,19,4,1,2,101
1,76,1,54,5,5,1,101
1,42,2,15,6,5,1,101
1,43,1,47,5,1,3,101
1,18,2,40,4,1,4,101
1,46,2,13,2,3,1,101
1,17,2,20,3,4,1,101
1,18,2,40,4,2,3,101
1,54,1,54,5,3,3,101
1,82,1,28,5,4,4,101
1,18,2,9,6,4,3,101
1,86,2,33,7,1,1,648
1,18,1,13,6,1,4,287
1,68,2,35,3,4,2,365
1,44,1,45,7,3,1,101
1,75,1,56,4,3,4,673
1,52,1,28,7,2,1,471
1,30,2,4,7,2,2,101
1,48,2,54,7,5,2,331
1,83,2,10,3,3,2,101
1,51,1,9,6,1,4,101
1,57,1,43,1,1,3,101
1,21,1,54,5,5,1,101
1,72,2,48,4,2,2,101
1,69,1,40,5,5,3,666
1,39,1,5,1,5,4,101
1,52,1,5,2,1,3,101
1,82,1,33,4,2,4,693
1,18,2,6,3,3,2,101
1,46,2,50,1,4,2,101
1,67,2,0,6,4,3,101
1,55,1,30,1,2,1,320
1,50,1,48,1,5,3,101
1,50,2,32,6,2,4,101
1,20,2,52,4,4,2,101
1,20,2,40,3,4,2,101
1,86,2,19,3,4,3,101
1,55,2,35,6,1,4,287
1,36,1,59,5,2,3,101
1,52,1,26,5,5,4,541
1,44,1,28,2,1,2,543
1,78,1,41,1,5,1,330
1,20,1,40,6,4,2,260
1,56,1,63,7,5,4,101
1,20,2,40,3,5,1,101
1,84,1,13,6,4,1,703
1,70,1,42,3,5,1,101
1,68,1,10,2,3,3,349
1,18,2,9,6,5,4,101
1,73,2,56,7,2,4,321
1,51,1,9,2,4,4,101
1,33,2,35,5,5,2,269
1,86,2,9,7,4,2,688
1,41,2,28,4,4,1,101
1,71,1,33,3,2,3,290
1,82,2,31,1,3,3,492
1,20,2,42,1,3,4,329
1,18,2,57,3,2,4,536
1,21,2,53,2,1,1,534
1,42,2,15,1,2,4,101
1,44,2,28,7,2,2,101
1,83,1,26,3,2,3,101
1,20,1,53,1,1,3,101
1,43,1,5,7,5,2,101
1,68,1,35,1,4,4,364
1,55,2,3,3,4,4,320
1,57,1,14,7,4,2,101
1,69,1,53,5,4,3,468
1,70,2,41,6,5,3,101
1,18,2,28,2,5,4,364
1,41,2,45,5,5,1,101
1,20,1,54,4,2,4,101
1,76,2,44,5,3,3,652
1,68,2,62,6,4,1,101
1,52,1,48,4,4,2,101
1,53,1,22,4,4,1,101
1,58,1,14,1,2,3,101
1,33,1,28,5,3,2,532
1,50,2,52,6,3,2,101
1,22,1,54,6,3,2,101
1,44,1,5,5,4,3,101
1,51,1,41,3,1,3,101
1,20,2,28,6,3,2,101
1,67,1,43,3,3,2,101
1,70,2,40,4,4,1,101
1,45,2,3,5,4,3,101
1,59,2,29,2,1,1,542
1,18,1,41,7,5,4,101
1,20,1,40,3,1,3,101
1,70,2,61,4,1,3,101
1,46,1,15,1,2,4,101
1,34,2,27,3,4,4,101
1,64,1,33,2,4,3,366
1,54,1,54,3,2,2,101
1,22,2,54,1,1,2,542
1,67,1,40,4,5,3,101
1,21,2,28,6,3,1,567
1,74,2,25,2,1,3,336
1,86,2,34,2,3,1,586
1,74,1,61,6,3,1,395
1,70,2,34,6,2,3,417
1,20,2,31,3,1,4,101
1,57,1,48,4,2,1,670
1,72,2,53,5,5,4,291
1,26,1,59,6,2,1,101
1,21,2,54,6,2,1,101
1,50,2,48,3,5,1,101
1,20,1,29,1,3,3,537
1,28,1,49,5,5,1,578
1,18,2,9,5,1,1,101
1,20,1,40,3,3,1,101
1,29,2,29,5,4,3,101
1,20,2,40,5,5,4,101
1,58,2,40,2,1,3,101
1,84,2,53,2,3,2,386
1,59,1,21,7,3,2,321
1,52,2,22,6,1,1,468
1,55,1,32,5,3,2,101
1,55,1,32,6,2,4,101
1,68,2,62,2,4,3,101
1,46,2,14,3,2,1,101
1,54,2,33,5,1,2,364
1,16,1,29,5,2,4,531
1,83,2,26,5,3,3,101
1,24,2,57,1,5,4,101
1,36,1,33,2,5,4,271
1,18,1,41,7,1,3,101
1,54,1,57,5,4,3,667
1,44,1,10,1,4,1,290
1,57,1,60,3,1,2,101
1,72,2,0,7,3,4,101
1,42,2,15,4,2,4,101
1,64,1,6,2,3,1,101
1,20,1,28,6,4,4,101
1,30,2,4,4,4,2,101
1,60,2,61,3,1,1,101
1,53,1,22,3,5,2,101
1,23,1,30,6,3,3,330
1,81,2,10,5,4,1,101
1,76,1,54,5,3,1,101
1,86,2,34,5,3,4,587
1,78,1,61,6,5,2,465
1,44,1,61,2,4,4,507
1,72,2,48,3,3,1,101
1,66,2,41,3,3,1,271
1,29,2,3,6,3,3,101
1,78,2,18,3,3,4,465
1,20,2,15,3,3,3,305
1,76,1,20,5,3,3,101
1,43,2,62,5,5,4,101
1,34,2,27,7,4,4,101
1,68,1,9,5,5,2,336
1,64,1,48,7,4,4,101
1,87,2,53,1,4,1,390
1,49,1,52,2,5,2,101
1,39,1,27,3,1,3,101
1,18,1,9,6,2,4,101
1,40,1,13,2,1,2,101
1,24,1,31,2,2,4,101
1,44,1,61,7,3,1,334
1,83,2,10,2,4,1,101
1,20,2,28,3,1,2,566
1,69,2,25,4,4,2,101
1,83,1,37,6,1,3,101
1,26,1,56,2,1,2,101
1,64,2,0,6,4,3,101
1,81,2,10,4,3,1,101
1,46,1,50,5,2,1,101
1,18,2,9,4,3,3,284
1,67,2,13,5,3,4,686
1,78,1,58,1,2,2,321
1,20,2,1,7,5,1,289
1,53,1,53,3,5,4,505
1,82,1,10,4,2,1,101
1,53,1,53,6,4,3,568
1,82,1,33,3,2,2,548
1,18,1,28,1,5,2,101
1,44,1,15,6,3,4,101
1,86,2,53,2,5,4,531
1,64,1,27,5,4,2,101
1,29,1,3,2,2,1,101
1,80,2,37,1,4,3,101
1,40,2,13,4,1,3,101
1,39,2,27,5,2,1,101
1,69,1,36,6,5,4,101
1,82,2,28,6,5,4,597
2,57,1,10,4,5,1,101
2,67,1,17,1,3,1,293
2,27,2,8,3,3,2,393
2,37,2,39,3,2,2,724
2,53,1,2,5,2,2,101
2,82,1,28,6,5,4,101
2,83,1,50,6,5,3,101
2,74,2,9,6,1,3,101
2,35,1,19,3,2,3,101
2,51,1,32,2,1,2,100
2,60,1,11,6,1,2,694
2,24,2,55,4,5,1,451
2,51,2,11,7,5,2,101
2,59,1,57,2,3,1,101
2,54,2,55,7,4,2,665
2,25,2,45,7,2,4,101
2,52,2,50,3,3,3,101
2,82,2,12,6,1,4,101
2,70,1,12,7,5,1,717
2,78,2,56,1,1,2,320
2,70,2,38,1,3,1,101
2,67,1,9,3,1,2,101
2,18,2,54,4,4,2,726
2,32,2,38,1,2,3,101
2,39,1,41,1,4,1,727
2,51,2,3,7,5,4,101
2,48,2,35,5,3,2,69
2,25,1,57,1,3,4,101
2,20,2,14,5,4,1,390
2,53,2,2,1,4,1,101
2,21,2,23,7,5,3,101
2,77,2,46,4,1,4,398
2,14,2,63,7,2,2,82
2,69,2,14,1,1,4,101
2,74,2,2,3,3,3,650
2,69,2,8,2,4,1,522
2,35,1,17,7,1,1,331
2,51,1,3,1,3,4,101
2,66,1,41,1,5,3,101
2,14,1,61,6,4,1,70
2,80,2,15,1,4,2,101
2,35,2,49,2,5,1,576
2,35,2,30,3,5,1,375
2,18,2,9,7,1,4,101
2,44,1,45,5,4,1,101
2,54,1,31,6,2,1,101
2,67,2,41,7,3,1,535
2,44,1,61,1,4,3,101
2,21,2,3,2,3,2,101
2,69,2,27,7,1,3,101
2,52,2,55,5,1,1,397
2,71,2,23,1,5,3,374
2,69,2,38,5,3,4,101
2,39,2,25,6,3,4,101
2,86,1,2,5,2,2,551
2,66,1,19,7,2,3,271
2,48,1,35,6,2,4,110
2,35,2,35,6,1,2,374
2,61,2,51,7,1,3,594
2,20,1,3,7,3,4,101
2,45,2,46,1,1,2,101
2,52,1,28,1,2,1,101
2,74,2,12,6,3,1,101
2,20,1,55,2,5,4,508
2,18,1,9,6,3,3,101
2,14,2,60,4,1,3,52
2,62,2,23,6,4,1,545
2,44,2,49,1,1,1,101
2,69,1,36,2,3,2,101
2,39,2,37,2,4,1,101
2,35,1,50,4,1,3,579
2,82,1,35,4,2,2,648
2,24,1,0,2,4,2,101
2,69,1,20,4,4,4,101
2,51,1,45,2,3,4,349
2,70,2,6,2,3,3,565
2,69,2,18,1,4,2,101
2,29,2,43,4,2,2,725
2,20,2,55,4,1,1,385
2,18,2,23,3,1,3,101
2,20,1,2,1,2,1,101
2,38,2,25,6,4,4,101
2,14,1,61,1,5,1,110
2,24,2,47,1,3,3,101
2,19,1,57,2,4,3,599
2,82,2,25,3,4,3,101
2,54,1,23,5,5,3,101
2,37,2,42,6,2,3,651
2,53,2,54,2,3,4,101
2,69,2,60,4,2,2,101
2,24,1,46,5,4,4,101
2,35,1,45,1,1,2,386
2,20,2,44,5,3,2,101
2,38,2,25,1,1,2,101
2,24,2,54,7,4,3,650
2,30,2,2,1,1,4,101
2,18,1,8,1,1,1,101
2,40,2,29,5,4,1,654
2,52,1,54,7,1,3,101
2,21,2,2,7,5,4,101
2,28,1,3,3,2,4,101
2,29,2,46,1,3,4,101
2,51,1,34,5,5,1,103
2,49,1,35,6,5,3,97
2,83,1,50,3,4,2,101
2,57,1,10,3,4,2,101
2,64,1,27,5,3,2,101
2,32,2,30,5,3,1,101
2,43,1,54,7,2,1,639
2,83,2,49,5,2,1,101
2,70,1,36,6,2,1,498
2,64,1,38,6,5,1,725
2,43,2,59,4,1,4,101
2,78,1,46,3,4,2,270
2,69,2,27,4,2,1,101
2,32,1,36,7,1,4,101
2,20,1,28,2,2,2,101
2,49,2,33,5,1,2,81
2,53,1,28,3,5,3,101
2,51,2,12,2,1,4,101
2,21,1,43,6,3,4,726
2,55,2,34,3,1,4,77
2,81,2,28,1,3,4,101
2,66,2,10,2,2,3,101
2,18,1,9,4,5,4,101
2,56,2,27,5,2,3,562
2,70,1,43,3,4,2,670
2,21,1,3,4,4,2,101
2,51,2,34,2,3,3,321
2,29,1,47,6,4,1,101
2,20,1,41,7,3,4,101
2,87,1,23,7,5,4,101
2,60,1,16,7,1,4,101
2,86,1,49,1,4,4,101
2,52,2,8,1,5,4,636
2,53,1,19,2,1,3,101
2,40,1,45,3,3,1,502
2,80,2,59,2,3,3,753
2,20,1,46,4,3,3,101
2,64,1,38,5,5,1,726
2,78,2,46,5,4,3,101
2,74,2,9,6,1,2,101
2,71,1,32,6,4,4,374
2,42,2,60,2,5,4,101
2,69,2,8,5,5,1,521
2,18,1,9,6,2,4,101
2,69,2,26,7,4,3,101
2,69,2,36,6,1,1,101
2,69,2,27,2,5,3,101
2,39,2,30,4,3,4,101
2,52,1,50,1,1,1,383
2,39,2,37,5,1,3,101
2,51,2,2,1,5,3,387
2,49,2,15,4,2,1,339
2,46,1,41,1,5,4,101
2,20,2,44,2,4,4,101
2,27,1,42,2,5,2,761
2,67,1,60,7,2,4,101
2,47,1,49,4,1,4,716
2,54,1,50,5,1,2,687
2,52,2,28,7,1,2,259
2,18,1,9,7,5,1,101
2,30,2,2,6,1,4,101
2,20,1,23,3,2,1,101
2,35,2,19,5,2,1,101
2,51,1,3,6,4,2,632
2,69,2,10,5,2,4,101
2,52,2,23,5,3,1,101
2,51,2,35,3,1,3,113
2,25,2,57,1,4,1,101
2,67,1,34,1,5,4,449
2,49,2,32,5,1,2,71
2,69,2,20,2,4,4,101
2,56,2,21,5,3,1,101
2,60,1,11,7,4,1,703
2,40,2,7,2,1,4,320
2,28,2,9,7,2,1,486
2,69,2,20,4,3,4,101
2,14,2,57,3,3,1,94
2,51,1,44,1,5,3,101
2,61,1,17,4,3,3,101
2,33,1,39,5,1,2,101
2,34,2,19,5,2,3,101
2,49,1,35,2,3,4,96
2,43,2,49,2,2,1,636
2,26,1,56,3,4,1,101
2,40,1,45,1,5,2,101
2,16,2,38,2,2,1,599
2,19,2,20,5,5,3,101
2,74,2,50,3,1,3,376
2,53,1,2,4,1,4,101
2,44,2,50,6,3,1,101
2,67,1,40,5,2,3,725
2,46,1,34,1,4,4,101
2,19,1,30,7,4,3,320
2,60,1,9,3,2,4,101
2,20,2,55,6,4,4,592
2,51,2,3,7,5,3,689
2,86,2,54,2,1,2,101
2,67,1,60,1,3,1,101
2,80,1,63,3,3,4,500
2,18,2,23,5,4,1,101
2,53,2,12,4,1,4,101
2,57,2,2,4,4,1,655
2,43,1,60,4,4,2,101
2,35,1,18,4,5,2,101
2,80,1,33,5,4,2,510
2,35,1,41,2,2,3,545
2,47,2,0,6,4,2,101
2,74,1,9,3,1,1,101
2,86,1,2,7,2,4,548
2,29,2,56,4,5,1,101
2,43,2,51,7,3,2,577
2,66,2,55,4,3,4,412
2,21,1,61,6,3,3,503
2,51,2,3,2,4,1,703
2,69,1,40,2,3,4,691
2,62,2,50,6,5,3,669
2,58,2,16,3,5,2,101
2,28,1,58,6,2,3,101
2,26,2,56,7,3,4,101
2,70,2,35,3,3,2,332
2,80,2,9,3,1,2,507
2,69,2,14,5,1,4,101
2,25,2,57,6,1,4,101
2,66,2,41,6,1,4,101
2,64,2,25,1,4,1,286
2,74,2,43,7,4,2,101
2,84,1,17,6,1,1,101
2,74,1,32,4,1,1,496
2,39,2,50,4,2,3,383
2,55,1,15,4,4,2,269
2,66,1,10,6,3,1,101
2,30,2,2,6,2,3,101
2,77,1,9,2,3,4,101
2,89,1,19,3,5,4,101
2,35,2,24,3,5,3,759
2,47,1,36,7,5,3,101
2,24,1,54,3,5,3,454
2,74,2,32,3,1,3,625
2,18,1,23,1,3,1,101
2,78,2,45,6,5,3,578
2,37,2,2,2,5,4,101
2,24,2,58,5,1,4,467
2,60,2,28,6,2,4,762
2,80,1,10,3,3,2,101
2,39,2,0,5,5,4,101
2,42,1,14,4,2,2,262
2,44,2,3,6,5,2,680
2,83,2,45,3,2,3,101
2,83,2,12,6,2,3,576
2,37,2,2,7,3,4,101
2,86,1,51,5,2,3,101
2,50,2,15,5,5,4,382
2,54,2,35,5,1,3,78
2,82,1,35,5,5,4,542
2,52,2,28,4,2,2,101
2,18,2,9,5,2,3,101
2,18,2,28,5,1,3,320
2,19,2,20,7,2,3,101
2,51,2,44,5,4,1,101
2,19,1,41,7,3,1,101
2,58,2,15,1,3,2,101
2,58,1,19,7,1,3,101
2,20,1,2,7,4,4,101
2,30,1,3,7,4,4,399
2,69,2,14,2,4,1,101
2,58,1,4,1,3,2,101
2,30,2,3,6,3,4,101
2,51,2,44,1,3,3,101
2,41,1,63,1,2,2,510
2,67,1,61,3,1,1,101
2,27,2,45,3,2,4,101
2,34,2,19,2,5,1,101
2,42,2,30,2,1,3,330
2,51,2,12,2,3,4,101
2,83,1,9,6,4,3,101
2,33,1,0,3,1,2,101
2,83,2,37,2,3,4,101
2,52,2,19,2,5,3,101
2,80,2,26,2,1,2,101
2,49,2,34,6,4,2,114
2,58,2,59,6,1,2,635
2,14,1,60,2,4,3,55
2,55,2,33,1,4,3,70
2,34,1,19,5,4,3,101
2,61,1,9,2,1,2,101
2,58,1,59,1,4,1,101
2,88,1,19,6,2,2,101
2,19,2,22,4,1,2,101
2,58,1,15,3,4,3,101
2,19,2,54,3,2,2,629
2,20,2,43,6,3,1,101
2,53,1,2,3,5,2,101
2,53,2,52,6,5,2,101
2,18,1,30,7,3,3,101
2,29,2,3,6,5,2,101
2,21,1,2,5,5,4,101
2,51,2,32,5,5,3,629
2,58,2,21,6,1,2,752
2,83,2,12,2,5,3,576
2,79,1,42,4,2,1,101
2,54,2,50,1,5,2,677
2,39,1,24,3,3,3,101
2,43,2,29,1,1,4,633
2,83,1,12,1,4,1,505
2,66,1,10,2,1,3,101
2,20,1,30,3,4,4,101
2,73,1,60,2,3,2,724
2,60,1,4,2,3,2,101
2,39,1,46,5,2,1,101
2,35,1,45,3,2,1,392
2,66,2,18,3,4,1,366
2,22,2,19,3,1,3,101
2,74,2,2,6,1,4,651
2,39,2,37,4,3,1,286
2,71,2,35,4,3,2,101
2,52,1,50,4,1,1,101
2,30,1,0,3,3,4,465
2,39,1,17,1,1,1,372
2,83,2,19,7,1,1,101
2,20,1,43,2,4,4,101
2,83,1,57,4,4,2,576
2,67,1,17,7,4,1,289
2,64,1,19,1,2,4,101
2,70,2,19,1,4,3,101
2,44,1,61,2,2,3,101
2,49,1,3,2,1,3,652
2,41,2,56,2,4,3,374
2,22,2,28,1,1,1,294
2,64,1,45,3,3,2,101
2,86,1,54,5,4,1,101
2,74,1,61,4,5,1,386
2,49,1,3,4,3,3,652
2,57,1,17,3,5,3,101
2,52,2,50,3,3,2,375
2,81,1,49,2,4,2,101
2,24,2,51,7,5,1,756
2,83,2,49,7,1,3,101
2,28,2,46,3,3,2,101
2,80,2,39,1,4,1,101
2,30,1,44,1,5,2,101
2,64,2,27,7,1,1,101
2,14,1,59,2,2,2,75
2,69,1,14,3,5,4,101
2,64,1,18,5,1,1,101
2,66,1,30,5,1,2,349
2,70,2,33,1,4,1,727
2,32,1,44,2,1,3,101
2,80,2,37,3,3,1,101
2,29,2,38,2,4,3,761
2,50,2,34,4,5,1,126
2,82,2,63,6,3,3,497
2,52,1,8,2,2,2,632
2,60,2,28,2,2,4,767
2,21,2,19,4,4,3,101
2,47,1,49,6,1,1,716
2,29,2,56,5,5,2,101
2,52,2,57,7,3,2,101
2,39,2,0,3,1,2,101
2,37,2,39,2,4,1,725
2,70,2,36,4,5,4,101
2,58,2,4,6,5,4,101
2,51,1,56,3,1,1,101
2,20,1,41,1,1,3,101
2,67,1,40,3,4,2,724
2,81,2,49,4,1,1,101
2,20,1,28,4,3,4,294
2,14,1,61,6,2,1,27
2,69,2,14,1,2,2,101
2,47,1,51,7,2,4,101
