TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,EF16U2,LEISTUNGSGRUPPE,B27
1,87,2,51,4,4,aa
1,63,1,19,2,3,aa
1,41,2,34,7,1,aa
1,36,2,36,4,5,aa
1,19,1,29,7,3,aa
1,83,1,22,2,5,aa
1,66,2,22,3,5,aa
1,41,1,58,6,3,aa
1,53,2,28,2,2,aa
1,66,1,10,5,2,aa
1,46,2,11,5,3,aa
1,38,2,3,5,3,aa
1,59,1,56,1,2,aa
1,87,2,10,6,3,aa
1,67,2,36,7,5,aa
1,81,1,23,3,3,aa
1,20,2,56,7,5,aa
1,41,1,24,6,5,aa
1,47,2,5,2,2,aa
1,42,1,35,5,3,aa
1,40,2,46,7,5,aa
1,41,1,46,6,5,aa
1,47,1,5,6,2,aa
1,50,1,15,3,2,aa
1,55,2,6,1,1,aa
1,67,1,14,6,5,aa
1,43,2,14,6,4,aa
1,43,1,47,5,4,aa
1,27,1,29,5,3,aa
1,36,1,36,3,3,aa
1,53,2,36,1,3,aa
1,53,1,44,2,2,aa
1,55,1,34,7,1,aa
1,74,2,29,6,1,aa
1,20,1,43,5,1,aa
1,11,1,63,4,5,aa
1,20,2,30,2,2,aa
1,45,1,25,5,4,aa
1,67,1,27,3,2,aa
1,68,1,23,3,2,aa
1,41,1,34,1,1,aa
1,36,1,26,5,5,aa
1,40,1,14,6,4,aa
1,18,2,29,3,2,aa
1,64,1,34,6,4,aa
1,82,2,10,4,3,aa
1,50,1,34,3,4,aa
1,28,1,41,5,1,aa
1,41,2,5,6,5,aa
1,50,1,32,3,4,aa
1,52,2,14,7,1,aa
1,54,2,2,1,2,aa
1,41,2,58,6,3,aa
1,66,2,3,4,4,aa
1,41,2,42,6,4,aa
1,79,1,28,3,1,aa
1,29,1,9,2,5,aa
1,54,1,54,3,4,aa
1,41,1,13,3,3,aa
1,36,2,34,4,3,aa
1,43,2,14,7,1,aa
1,44,2,50,3,5,aa
1,73,1,30,6,2,aa
1,26,2,29,4,2,aa
1,66,2,9,6,4,aa
1,54,1,54,3,5,aa
1,20,1,59,3,1,aa
1,40,1,29,7,5,aa
1,41,2,25,6,5,aa
1,52,1,27,6,2,aa
1,43,1,14,2,4,aa
1,70,1,38,7,2,aa
1,40,2,5,3,2,aa
1,64,1,34,6,4,aa
1,62,1,20,2,3,aa
1,74,1,44,5,5,aa
1,54,2,42,3,4,aa
1,36,2,58,5,2,aa
1,48,2,52,5,3,aa
1,87,2,27,1,1,aa
1,41,2,5,6,5,aa
1,50,2,22,3,2,aa
1,44,2,15,2,2,aa
1,44,2,26,5,4,aa
1,84,2,40,3,3,aa
1,20,1,28,7,2,aa
1,51,2,9,1,2,aa
1,19,1,9,3,4,aa
1,52,1,53,1,3,aa
1,49,2,46,1,1,aa
1,67,2,30,3,4,aa
1,66,1,41,6,4,aa
1,67,2,27,6,5,aa
1,33,2,34,2,3,aa
1,54,2,23,6,4,aa
1,50,1,37,3,4,aa
1,58,2,29,2,3,aa
1,44,1,15,2,4,aa
1,78,1,60,7,2,aa
1,41,1,14,6,5,aa
1,24,2,40,4,4,aa
1,43,1,12,7,5,aa
1,41,2,5,3,3,aa
1,18,1,49,5,4,aa
1,41,1,28,3,4,aa
1,41,2,28,5,4,aa
1,42,2,35,5,3,aa
1,83,2,50,5,5,aa
1,20,2,35,4,1,aa
1,39,2,5,3,5,aa
1,59,1,42,2,5,aa
1,36,2,51,3,4,aa
1,66,2,2,5,2,aa
1,52,2,29,2,1,aa
1,87,2,8,1,1,aa
1,66,1,41,6,4,aa
1,52,1,50,6,2,aa
1,66,1,58,6,5,aa
1,87,1,9,1,1,aa
1,40,2,14,6,4,aa
1,55,1,34,7,1,aa
1,20,1,38,4,1,aa
1,21,1,29,6,2,aa
1,59,1,42,3,5,aa
1,44,2,49,6,4,aa
1,43,2,28,2,1,aa
1,41,2,54,6,2,aa
1,50,1,48,5,1,aa
1,36,1,51,6,2,aa
1,87,2,9,7,1,aa
1,64,2,30,6,4,aa
1,76,1,36,3,4,aa
1,53,1,41,2,5,aa
1,50,2,9,3,4,aa
1,41,1,28,5,4,aa
1,21,1,40,3,3,aa
1,36,2,14,5,3,aa
1,60,2,25,2,2,aa
1,54,2,14,2,4,aa
1,38,2,49,4,1,aa
1,55,2,53,3,4,aa
1,58,2,36,6,4,aa
1,55,2,20,6,3,aa
1,64,1,30,6,4,aa
1,73,1,23,3,1,aa
1,29,1,54,2,1,aa
1,37,1,50,7,3,aa
1,83,1,58,6,3,aa
1,87,2,53,5,4,aa
1,54,1,42,3,4,aa
1,42,2,14,6,1,aa
1,51,2,15,2,4,aa
1,59,2,37,6,4,aa
1,51,1,22,3,3,aa
1,66,2,3,4,4,aa
1,36,1,51,6,2,aa
1,32,2,49,5,1,aa
1,41,2,28,6,4,aa
1,43,1,46,5,4,aa
1,81,1,20,3,4,aa
1,59,2,40,4,5,aa
1,66,2,42,3,4,aa
1,44,1,20,3,3,aa
1,82,2,46,5,5,aa
1,83,2,22,2,5,aa
1,78,1,10,5,3,aa
1,44,1,26,5,4,aa
1,52,1,35,3,3,aa
1,52,1,14,7,4,aa
1,50,2,33,7,1,aa
1,67,1,25,6,4,aa
1,67,2,42,4,4,aa
1,30,2,6,2,3,aa
1,71,2,44,3,4,aa
1,32,1,37,4,3,aa
1,83,2,9,1,1,aa
1,45,1,44,5,5,aa
1,86,1,50,6,3,aa
1,49,1,13,4,2,aa
1,40,1,13,5,2,aa
1,38,1,25,5,5,aa
1,18,1,29,2,2,aa
1,76,1,36,3,4,aa
1,78,1,42,5,1,aa
1,54,2,13,3,5,aa
1,20,2,28,2,3,aa
1,46,1,15,2,2,aa
2,73,2,9,7,2,aa
2,84,1,30,6,2,aa
2,49,2,13,6,2,aa
2,24,2,8,2,1,aa
2,20,1,28,7,1,aa
2,32,2,41,5,4,aa
2,18,2,9,7,1,aa
2,70,2,17,1,3,aa
2,82,1,57,5,1,aa
2,55,1,41,5,4,aa
2,41,1,46,5,5,aa
2,58,1,2,5,4,aa
2,69,2,51,4,4,aa
2,24,2,36,5,3,aa
2,71,1,36,3,4,aa
2,44,2,50,7,5,aa
2,21,1,50,3,4,aa
2,74,1,28,7,5,aa
2,92,1,17,6,2,aa
2,78,2,38,3,3,aa
2,62,2,53,7,1,aa
2,17,2,44,3,5,aa
2,59,2,18,5,4,aa
2,55,2,58,3,2,aa
2,40,1,50,6,3,aa
2,91,1,60,7,1,aa
2,86,2,50,3,5,aa
2,20,2,42,3,4,aa
2,74,1,42,3,3,aa
2,56,2,60,7,4,aa
2,48,2,58,2,3,aa
2,20,2,56,5,2,aa
2,47,2,57,1,2,aa
2,39,1,49,6,1,aa
2,20,2,45,6,3,aa
2,19,2,13,1,1,aa
2,71,1,57,3,2,aa
2,71,1,61,5,3,aa
2,34,1,41,5,4,aa
2,71,1,36,3,4,aa
2,36,1,5,2,2,aa
2,51,1,17,2,4,aa
2,19,1,29,6,2,aa
2,19,2,43,5,1,aa
2,76,2,30,6,1,aa
2,18,2,44,3,4,aa
2,77,2,36,3,4,aa
2,69,1,14,3,5,aa
2,47,2,3,4,3,aa
2,54,1,21,2,3,aa
2,6,2,38,3,3,aa
2,39,2,23,1,3,aa
2,74,1,41,3,4,aa
2,67,2,19,5,4,aa
2,82,1,46,6,2,aa
2,71,2,19,1,3,aa
2,38,2,49,3,4,aa
2,21,1,38,3,1,aa
2,83,1,50,5,3,aa
2,58,2,5,2,4,aa
2,59,1,50,3,5,aa
2,74,1,20,5,5,aa
2,68,1,14,3,5,aa
2,84,2,56,3,4,aa
2,34,1,23,7,4,aa
2,71,2,29,7,2,aa
2,70,2,43,2,3,aa
2,80,1,24,6,4,aa
2,29,2,56,5,2,aa
2,51,2,61,6,3,aa
2,44,1,22,1,2,aa
2,32,2,45,3,3,aa
2,50,1,9,3,4,aa
2,22,1,50,3,4,aa
2,71,2,59,6,1,aa
2,20,2,19,4,5,aa
2,83,1,9,1,1,aa
2,77,2,41,3,4,aa
2,28,2,0,2,4,aa
2,62,2,53,2,4,aa
2,41,1,5,6,3,aa
2,27,2,53,6,2,aa
2,39,1,50,7,1,aa
2,58,2,9,6,2,aa
2,37,1,28,2,3,aa
2,78,2,43,3,3,aa
2,58,1,50,5,2,aa
2,82,1,58,7,3,aa
2,76,1,17,2,3,aa
2,29,1,54,6,2,aa
2,83,2,59,4,1,aa
2,86,1,9,6,4,aa
2,37,1,50,3,5,aa
2,29,1,56,7,3,aa
2,74,2,31,1,2,aa
2,30,2,38,1,2,aa
2,52,2,46,1,4,aa
2,65,1,53,3,1,aa
2,69,1,14,3,5,aa
2,77,2,39,1,3,aa
2,41,2,14,6,4,aa
2,71,1,11,3,4,aa
2,17,2,44,3,5,aa
2,58,2,56,5,4,aa
2,78,2,44,3,3,aa
2,18,1,3,2,5,aa
2,40,1,4,4,3,aa
2,38,2,51,3,1,aa
2,88,2,20,6,2,aa
2,71,2,20,7,2,aa
2,19,2,57,3,5,aa
2,66,2,28,7,2,aa
2,67,2,28,3,3,aa
2,50,1,9,6,2,aa
2,86,1,56,3,4,aa
2,47,1,47,5,4,aa
2,57,2,21,3,5,aa
2,18,2,42,3,4,aa
2,59,1,19,4,2,aa
2,36,2,49,1,3,aa
2,67,2,26,5,4,aa
2,24,2,28,2,3,aa
2,30,2,52,2,2,aa
2,66,2,60,4,1,aa
2,41,2,9,7,2,aa
2,74,1,28,7,5,aa
2,18,1,3,2,5,aa
2,87,2,22,7,2,aa
2,19,1,3,2,5,aa
2,48,1,17,6,2,aa
2,26,2,49,3,3,aa
2,30,2,53,3,4,aa
2,51,2,46,1,4,aa
2,46,2,56,6,4,aa
2,87,1,58,7,3,aa
2,38,2,35,5,1,aa
2,87,1,9,6,4,aa
2,32,1,35,6,4,aa
2,62,2,44,2,1,aa
2,25,2,3,3,4,aa
2,71,2,11,3,2,aa
2,20,2,42,3,4,aa
2,19,2,9,6,1,aa
2,42,2,9,5,3,aa
2,56,1,60,7,4,aa
2,47,1,53,4,3,aa
2,31,2,56,2,4,aa
2,71,2,57,2,2,aa
2,80,1,54,2,5,aa
2,50,1,43,1,4,aa
2,21,1,18,3,3,aa
2,76,2,17,2,3,aa
2,60,1,56,1,2,aa
2,25,1,58,6,4,aa
2,50,2,44,2,4,aa
2,19,1,57,3,5,aa
2,40,2,19,5,4,aa
2,36,1,5,7,5,aa
2,47,2,10,2,4,aa
2,66,1,36,3,5,aa
2,74,2,57,5,1,aa
2,67,1,44,3,3,aa
2,62,2,18,4,3,aa
2,41,2,58,7,5,aa
2,35,1,43,3,3,aa
2,71,2,44,3,4,aa
2,70,1,12,3,4,aa
2,83,2,58,6,2,aa
2,62,2,18,7,2,aa
2,52,2,55,3,2,aa
2,77,2,26,7,2,aa
2,38,1,43,5,3,aa
2,62,1,4,5,2,aa
2,40,2,50,6,1,aa
2,51,2,36,1,2,aa
2,47,1,13,2,5,aa
2,59,2,18,2,2,aa
2,20,1,44,3,4,aa
2,47,1,9,3,1,aa
2,64,1,20,6,2,aa
2,49,1,34,3,3,aa
2,74,1,7,6,2,aa
2,74,2,20,7,5,aa
2,66,2,15,3,5,aa
2,29,2,61,7,1,aa
2,52,1,5,5,4,aa
2,44,1,52,4,1,aa
2,78,2,42,3,3,aa
2,38,1,49,3,5,aa
2,23,2,52,3,4,aa
2,74,2,42,3,5,aa
2,58,2,28,1,3,aa
2,62,1,17,6,3,aa
2,59,1,21,1,3,aa
2,17,1,42,3,4,aa
2,77,1,19,3,2,aa
2,58,2,5,5,1,aa
2,21,2,19,4,5,aa
2,74,2,26,5,4,aa
2,36,1,51,7,5,aa
2,18,2,42,4,1,aa
2,49,1,14,3,3,aa
2,50,1,11,4,4,aa
2,62,1,43,4,1,aa
2,41,1,43,5,1,aa
2,51,2,28,2,3,aa
2,65,1,53,3,1,aa
2,34,1,17,2,3,aa
2,46,1,50,3,5,aa
2,58,1,26,7,2,aa
2,51,2,35,2,3,aa
2,41,1,46,5,1,aa
2,59,2,20,6,4,aa
2,20,2,5,3,1,aa
2,74,2,30,6,1,aa
2,19,2,28,2,2,aa
2,70,1,44,5,1,aa
2,17,2,42,3,5,aa
2,40,2,37,3,3,aa
2,58,1,23,2,4,aa
2,74,2,42,3,5,aa
2,82,1,58,4,3,aa
2,18,1,44,3,4,aa
2,57,2,60,7,1,aa
2,52,2,56,4,1,aa
2,59,2,11,2,5,aa
2,64,1,18,2,3,aa
2,83,2,52,3,5,aa
2,19,2,5,7,5,aa
2,49,1,46,1,4,aa
2,51,1,48,3,1,aa
2,74,2,43,3,3,aa
2,60,1,26,7,2,aa
2,83,2,35,6,3,aa
2,46,1,30,6,2,aa
2,57,2,16,2,5,aa
2,73,2,61,5,5,aa
2,30,2,55,3,2,aa
2,60,1,4,2,3,aa
2,37,1,43,4,1,aa
2,82,1,56,3,4,aa
2,70,1,37,7,1,aa
2,75,1,46,4,5,aa
2,76,2,29,7,1,aa
2,83,2,8,6,4,aa
2,18,2,50,7,5,aa
2,44,1,8,1,1,aa
2,76,1,60,7,1,aa
2,80,2,51,4,4,aa
2,78,2,13,6,3,aa
2,35,1,57,5,1,aa
2,80,2,52,5,4,aa
2,32,2,45,3,3,aa
2,28,1,48,6,2,aa
2,86,2,35,6,5,aa
2,51,2,43,4,1,aa
2,46,2,4,6,1,aa
2,10,2,40,3,2,aa
2,35,1,19,3,3,aa
2,32,1,15,5,2,aa
2,52,1,41,4,3,aa
2,76,1,25,3,2,aa
2,69,2,49,4,2,aa
2,28,2,25,7,5,aa
2,50,2,23,3,4,aa
2,25,1,4,3,5,aa
2,39,1,49,3,4,aa
2,18,1,44,5,4,aa
2,46,1,46,4,4,aa
2,51,2,43,1,4,aa
2,86,2,36,6,5,aa
2,62,1,3,4,4,aa
2,41,2,46,3,1,aa
2,71,2,42,3,2,aa
2,47,1,9,5,1,aa
2,78,1,41,3,4,aa
2,30,2,54,7,3,aa
2,76,1,17,3,3,aa
2,59,2,48,2,2,aa
2,47,1,36,6,4,aa
2,35,1,46,5,2,aa
2,82,2,34,6,2,aa
2,71,1,11,3,4,aa
2,76,1,30,6,2,aa
2,74,1,5,7,4,aa
2,67,1,21,5,5,aa
2,36,1,51,7,3,aa
2,56,1,43,7,2,aa
2,67,2,54,1,3,aa
2,21,1,19,3,2,aa
2,18,2,14,5,5,aa
2,70,2,61,3,1,aa
2,59,1,21,3,3,aa
2,88,2,19,1,3,aa
2,79,2,38,6,3,aa
2,50,2,9,3,4,aa
2,20,2,12,5,5,aa
2,80,2,52,5,4,aa
2,35,2,23,5,3,aa
2,54,2,49,1,3,aa
2,20,1,19,5,1,aa
2,31,2,56,3,4,aa
2,71,2,11,3,4,aa
2,47,1,13,2,5,aa
2,44,1,28,5,5,aa
2,59,2,19,2,2,aa
2,46,1,27,6,3,aa
2,44,1,45,5,1,aa
2,35,2,43,6,1,aa
2,84,1,56,3,4,aa
2,74,2,57,5,2,aa
2,87,2,61,6,3,aa
2,41,2,63,6,3,aa
2,49,1,2,7,4,aa
2,59,2,30,3,3,aa
2,74,2,19,5,4,aa
2,32,2,26,6,3,aa
2,59,2,21,3,4,aa
2,35,2,62,1,3,aa
2,34,1,36,5,3,aa
2,32,2,25,7,3,aa
2,61,2,9,5,4,aa
2,67,1,43,3,2,aa
2,21,2,45,2,2,aa
2,57,1,60,7,2,aa
2,69,2,54,4,4,aa
2,74,2,27,7,5,aa
2,30,1,54,7,3,aa
2,83,2,55,3,3,aa
2,43,1,9,1,2,aa
2,37,1,37,3,4,aa
2,82,2,35,6,4,aa
2,31,2,53,3,5,aa
2,20,2,54,3,4,aa
2,55,1,21,7,1,aa
2,35,2,37,3,3,aa
2,47,2,46,5,1,aa
2,45,2,15,2,4,aa
2,47,2,10,2,4,aa
2,47,1,3,5,2,aa
2,80,2,53,3,5,aa
2,50,1,48,4,1,aa
2,20,1,54,3,4,aa
2,39,2,41,5,5,aa
2,74,1,20,5,5,aa
2,87,2,38,6,4,aa
2,36,1,44,3,5,aa
2,71,1,11,3,4,aa
2,27,1,58,6,2,aa
2,25,2,56,7,2,aa
2,73,1,9,7,2,aa
2,52,1,17,6,3,aa
2,36,2,26,5,5,aa
2,27,1,28,2,2,aa
2,27,2,0,2,4,aa
2,19,1,49,2,4,aa
2,65,2,19,7,2,aa
2,59,2,15,1,1,aa
2,54,1,7,7,2,aa
2,49,1,45,4,1,aa
2,41,1,36,5,3,aa
2,22,2,30,3,1,aa
2,62,2,26,3,2,aa
2,70,2,56,3,2,aa
2,41,2,51,7,2,aa
2,50,1,3,4,3,aa
2,40,1,13,4,2,aa
2,50,1,23,3,4,aa
2,75,2,51,5,4,aa
2,58,1,21,7,2,aa
2,36,1,54,6,3,aa
2,38,2,44,5,1,aa
2,42,2,13,3,3,aa
2,48,1,16,6,2,aa
2,55,1,51,7,1,aa
2,77,2,30,7,1,aa
2,50,1,30,4,2,aa
2,39,2,50,3,4,aa
2,41,2,5,7,3,aa
2,30,1,46,2,3,aa
2,67,2,52,7,2,aa
2,84,2,18,2,2,aa
2,82,2,19,2,2,aa
2,70,1,45,4,2,aa
2,87,2,55,4,5,aa
2,58,2,5,2,4,aa
2,20,2,14,5,5,aa
2,29,1,44,4,3,aa
2,41,1,2,2,2,aa
2,40,1,27,3,1,aa
2,37,2,3,3,4,aa
2,58,1,54,2,1,aa
2,87,2,56,7,5,aa
2,21,1,42,5,4,aa
2,58,1,21,5,2,aa
2,20,1,18,2,2,aa
2,34,2,43,5,4,aa
2,55,2,46,5,1,aa
2,36,2,44,3,3,aa
2,67,2,42,3,4,aa
2,78,2,5,7,4,aa
2,58,2,21,2,2,aa
2,83,1,19,6,4,aa
2,36,1,27,2,3,aa
2,74,1,55,6,1,aa
2,87,1,30,6,2,aa
2,31,1,50,3,4,aa
2,40,2,38,3,1,aa
2,20,1,19,5,4,aa
2,24,2,34,3,2,aa
2,50,2,52,6,4,aa
2,53,2,2,3,3,aa
2,35,1,36,3,3,aa
2,20,2,28,2,3,aa
2,59,2,61,7,1,aa
2,41,2,46,5,1,aa
2,51,2,43,1,4,aa
2,38,1,44,5,1,aa
2,52,2,5,3,4,aa
2,37,1,50,2,5,aa
2,37,1,22,3,3,aa
2,51,1,50,6,5,aa
2,57,2,54,1,1,aa
2,74,2,26,5,4,aa
2,46,1,50,2,2,aa
2,37,2,36,3,4,aa
2,59,2,56,4,4,aa
2,44,1,49,2,2,aa
2,80,1,53,3,5,aa
2,39,1,42,6,1,aa
2,53,1,49,1,3,aa
