EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,B52,TAETIGKEITSSCHLUESSEL5
25224,2,61,1,aa,1,5,104.37069220933216,2
26775,1,81,1,aa,23,4,1090.3356624658816,1
27188,1,69,2,aa,9,4,548.391850374919,1
27332,1,17,1,aa,14,7,1195.983172311881,1
27982,1,69,2,aa,40,7,549.5469866617242,2
28332,1,17,2,aa,40,5,530.5835318337487,1
28659,2,68,2,aa,28,5,1144.545345361985,2
29241,2,82,2,aa,17,3,844.7847280469424,2
29388,2,68,2,aa,49,3,1117.359702608345,2
29427,1,43,2,aa,23,7,1341.395710088217,3
29430,1,51,2,aa,61,5,844.6076826268398,2
29704,2,83,1,aa,26,3,1200.5730191783027,3
29711,1,63,2,aa,30,2,1140.4503069710572,3
29726,2,29,2,aa,20,3,848.8096004502073,3
29840,1,70,2,aa,18,2,864.2053776850178,3
29886,2,70,2,aa,35,5,1344.7880171948605,3
29923,1,87,1,aa,62,1,767.0910777530493,3
29935,1,87,2,aa,9,4,767.2883187036414,1
30725,1,57,1,aa,61,7,987.1574460666917,3
30808,2,40,1,aa,55,5,293.3105907908693,3
30816,1,41,1,aa,50,1,498.54830852377256,3
30819,1,42,1,aa,8,4,836.452807630954,2
30908,2,87,1,aa,1,2,124.86950600816057,2
30943,2,42,1,aa,33,3,1220.709672732255,2
30955,2,83,1,aa,35,3,29.950654192132607,3
31201,2,71,1,aa,61,1,501.64150591974186,1
31228,2,41,1,aa,17,1,832.6425687074609,1
36073,1,67,2,aa,35,2,542.5653079097449,1
36246,1,48,2,aa,14,2,814.1697402439568,2
36314,2,21,2,aa,59,2,1109.951799678691,2
36388,2,37,2,aa,14,3,1039.6807443464484,2
36757,1,67,2,aa,59,2,785.7465372594191,2
36814,2,49,2,aa,14,4,911.8240821616238,1
37055,1,40,2,aa,7,2,913.8472641943061,2
37270,2,48,2,aa,37,5,161.03439715970066,4
37394,1,49,1,aa,14,5,809.6232789780333,3
37640,2,37,1,aa,59,3,128.76443452268109,4
37733,2,51,1,aa,36,2,240.4147969996785,4
38094,1,76,1,aa,59,2,200.99925131908094,2
38218,1,66,1,aa,59,6,1141.227082105535,3
41005,1,67,2,aa,59,4,204.3841052845221,4
41682,1,44,2,aa,59,4,129.93327625932434,2
41873,1,44,1,aa,12,7,206.45065673589488,2
42152,2,76,2,aa,12,3,1242.0524631238743,3
42874,1,57,1,aa,4,6,135.73448239126083,4
42876,1,51,2,aa,4,6,611.4349892098629,3
45466,1,76,1,aa,50,2,1104.7093366141062,4
45477,1,76,1,aa,58,5,607.4354239079374,4
45509,1,43,1,aa,48,7,569.8200417529365,1
46250,2,19,1,aa,35,4,1128.60538113037,1
46530,1,64,2,aa,35,2,134.9184051553808,2
47026,1,68,1,aa,35,5,1156.027866186688,3
47752,2,40,2,aa,35,5,585.4302645166744,2
48339,2,68,2,aa,35,3,7.734145664473262,4
48439,2,32,1,aa,58,3,1219.7865860289025,3
48660,1,35,1,aa,58,3,934.4968479505377,4
49053,1,17,2,aa,58,6,514.9190863727632,1
49381,2,69,2,aa,14,1,1201.1133084506507,2
49484,2,37,2,aa,14,6,732.1464789403757,4
49496,2,47,2,aa,24,1,1285.4318116164786,1
49729,2,47,2,aa,58,1,76.17658672897656,4
50046,1,32,2,aa,58,6,918.6072821773231,4
50097,2,19,2,aa,39,2,613.3692210008829,1
50179,1,19,2,aa,58,1,919.1401334260833,4
50243,1,40,2,aa,48,3,670.8712161765304,4
50254,1,19,2,aa,48,7,1212.4366744334634,4
50308,2,32,2,aa,7,6,76.12373213997785,4
50578,1,45,2,aa,52,6,729.7093118353654,4
50709,2,45,1,aa,31,1,1342.2960137973887,4
50723,2,18,1,aa,31,1,706.0266272591045,3
50741,1,44,1,aa,42,1,242.78335736321537,3
50761,1,60,1,aa,42,1,671.9741373743356,2
51046,1,60,1,aa,29,2,612.7354754125025,1
51092,1,18,1,aa,29,1,809.0869644067221,1
51871,1,18,1,aa,29,2,126.25348140371064,1
52571,1,38,1,aa,4,6,934.6969663947947,1
52809,2,38,1,aa,4,4,545.837368970791,3
53017,2,38,1,aa,4,6,640.710828568405,3
55615,2,20,1,aa,43,4,84.15813973297817,2
55631,1,86,1,aa,30,3,757.8791633653035,3
55657,1,60,1,aa,43,4,519.7758153870025,1
55684,2,69,1,aa,43,6,752.9971639261342,3
56001,2,63,1,aa,43,6,224.95079421852824,1
56324,2,83,1,aa,43,3,731.2588186673278,1
56686,1,83,2,aa,13,1,1240.9372171831606,2
56756,1,57,1,aa,13,6,648.6945407255887,3
56875,1,16,2,aa,38,6,126.30935059624765,3
56894,1,22,2,aa,36,6,85.99961353478722,4
56918,1,22,1,aa,12,1,1014.4931272091704,4
57114,2,68,1,aa,12,6,932.3642923306323,4
57140,1,58,2,aa,5,6,650.8043485869264,4
57292,1,68,2,aa,54,4,983.8671086398541,4
59457,2,22,1,aa,36,7,529.2926975965862,2
59828,1,67,1,aa,38,2,782.1858416339426,2
60252,2,67,2,aa,15,1,78.96307662072138,1
60283,1,82,2,aa,15,2,879.9492203653338,1
60297,1,32,1,aa,5,4,118.93122851471253,1
60428,2,22,2,aa,15,3,73.10937350043653,1
60569,1,75,2,aa,6,3,125.71372817215465,1
60626,2,75,1,aa,15,3,1111.9785324288164,1
61145,2,18,2,aa,13,5,744.5369226320937,1
61352,1,47,1,aa,5,3,127.92129589958972,3
61435,1,61,2,aa,42,5,547.3716796963515,1
61456,1,63,2,aa,39,1,246.37463358805098,1
63064,1,78,1,aa,39,1,231.98176237735856,1
63175,2,78,1,aa,42,3,732.7470628342871,2
63576,2,45,2,aa,5,5,59.30330870802895,2
65484,1,45,2,aa,14,3,28.606543583420873,3
66021,2,88,2,aa,0,7,1096.8676228215636,2
66071,2,88,2,aa,10,7,173.49702689076219,2
66404,1,55,1,aa,23,2,12.849491348365698,2
66461,2,89,1,aa,59,2,648.9728359316007,4
66653,2,76,1,aa,1,2,59.22900849868254,4
66680,1,16,2,aa,23,5,1130.4108373002011,4
66712,2,16,2,aa,29,2,256.0305206877876,2
66978,2,34,1,aa,29,2,1314.7279446797509,2
66999,2,47,2,aa,2,4,13.74859207526392,2
67036,2,29,2,aa,21,7,62.01644548097023,3
67965,1,66,2,aa,38,2,63.982025589206486,4
68520,2,20,1,aa,10,5,671.0219774637168,3
68814,1,42,1,aa,9,2,264.6705202466852,3
69194,2,35,2,aa,4,2,648.241270630178,2
72040,1,46,2,aa,8,5,704.9898399272921,4
74338,1,29,2,aa,39,2,1099.0662255791217,4
74393,1,43,2,aa,29,5,264.8287316809845,4
74533,1,53,2,aa,63,4,606.561147387484,3
74848,2,31,2,aa,5,5,1272.1015888078455,4
74957,1,35,2,aa,63,4,907.4611203701012,4
75072,1,30,2,aa,28,4,445.66463352747144,3
75565,1,30,2,aa,47,4,227.83669740034549,4
75593,2,51,1,aa,36,5,907.6785080325077,4
75600,1,39,1,aa,47,5,226.61236552784305,3
75643,1,36,1,aa,5,7,57.46033975999568,4
75993,2,41,1,aa,28,7,570.1150409190348,4
76499,2,68,1,aa,52,5,27.232707589651852,2
76539,2,20,1,aa,47,7,731.4620751878833,2
77227,2,35,1,aa,5,7,12.124616338031267,3
77281,2,78,1,aa,61,6,686.7706282302017,3
77500,2,65,1,aa,32,6,624.9951894989629,4
77935,2,71,1,aa,46,1,1208.3854438925102,3
78410,1,77,1,aa,56,6,1044.851680199362,4
78572,2,64,1,aa,8,1,431.60798191673797,3
78619,1,66,2,aa,53,4,562.789978027344,4
79922,1,19,1,aa,53,4,13.186729199446368,4
81262,1,59,2,aa,46,7,4.344475598212135,2
81378,2,33,1,aa,63,6,752.5616382465168,4
85106,1,56,2,aa,53,1,129.36348771150318,3
85364,1,56,2,aa,62,6,1221.055409830005,2
85724,2,38,2,aa,46,6,966.4747486824092,2
85815,1,56,2,aa,46,7,1281.2550739356323,2
85835,2,56,2,aa,46,5,179.7821795782881,2
85917,1,17,2,aa,20,7,487.6813767755888,2
86019,2,88,1,aa,53,4,501.0303606273755,1
86053,2,56,1,aa,53,1,150.87284741513835,1
86201,1,90,1,aa,46,5,293.22877290775875,1
86453,2,70,1,aa,46,4,1216.4140533811944,1
86846,2,37,1,aa,46,3,613.3016747675053,4
87430,1,46,1,aa,53,6,1230.1666443724866,1
89250,2,20,2,aa,47,3,264.146497782664,1
89362,2,21,1,aa,36,3,946.9408546781148,1
89481,2,64,2,aa,52,1,1037.4941914469366,1
89503,1,88,2,aa,46,3,955.800949781969,4
89524,1,58,2,aa,46,3,333.6805375172537,4
92287,2,53,2,aa,31,6,998.483623193166,3
92462,1,66,1,aa,30,3,399.21477067294063,3
92719,1,66,2,aa,30,3,178.4886803115913,1
92772,1,40,2,aa,47,3,1225.5712667296839,3
92888,1,67,2,aa,47,6,285.8878344657011,1
93036,2,46,2,aa,46,7,1037.0078698201633,3
93072,2,79,2,aa,33,3,1122.9876306880692,3
94015,1,35,1,aa,61,3,929.4447815360517,3
94741,1,54,1,aa,63,3,912.1791812784235,3
95070,2,42,2,aa,30,3,735.7091795430609,3
95561,2,53,1,aa,53,5,562.789978027344,3
96032,1,37,2,aa,30,5,207.475472664101,3
98986,2,70,2,aa,12,1,908.9071422552701,1
99176,2,16,1,aa,36,5,1342.754516688468,1
99418,2,62,1,aa,48,1,575.0756894181291,3
99636,2,47,2,aa,3,1,796.2986883467063,4
100349,2,68,2,aa,27,3,1340.2050702428671,1
101450,2,63,2,aa,15,5,411.4805255271855,1
101521,2,36,2,aa,20,1,1130.9076945823992,1
101543,2,22,1,aa,48,1,820.3030958488956,4
101592,2,35,1,aa,13,4,518.479245779244,1
101631,2,54,1,aa,50,1,1131.9357686452631,3
101684,2,70,1,aa,27,2,818.0726570418564,4
101712,1,33,1,aa,50,5,447.9146210675482,1
101971,1,43,1,aa,20,1,823.881785423551,4
102080,1,86,2,aa,52,1,818.6758806345889,4
102094,1,55,2,aa,34,3,530.6173947637649,1
102109,1,14,2,aa,52,5,483.59745225166864,1
102284,1,16,2,aa,52,1,445.07012366407605,2
102387,1,35,2,aa,22,5,469.43310935025477,2
102732,1,75,2,aa,48,5,852.8942800488571,2
102917,1,20,2,aa,23,6,648.3223656890036,2
104464,1,53,2,aa,21,5,854.7147450320682,2
105209,1,62,2,aa,37,6,1299.0167571941488,2
106102,1,71,2,aa,38,5,224.30640383979087,2
106160,1,49,2,aa,63,5,829.2258930195442,4
106220,1,44,2,aa,10,4,216.3698908796871,2
106325,1,35,2,aa,33,5,990.1286610007314,2
107547,1,56,1,aa,5,3,1330.1158017075143,1
107570,1,34,2,aa,5,3,1130.9519760440132,1
107590,2,63,2,aa,19,3,133.07827717289425,1
107651,1,83,2,aa,50,3,671.2493332202033,1
107707,1,65,1,aa,5,3,1314.4605549264263,1
107979,1,78,2,aa,53,3,1091.285494403748,3
108005,2,19,2,aa,9,3,178.37877261030582,1
108016,1,86,2,aa,9,2,1039.5131248976616,4
108019,1,35,1,aa,36,3,608.0379259415864,3
112646,1,41,1,aa,48,4,176.31015816836955,4
113025,1,74,1,aa,36,4,605.8764638521485,1
113037,2,40,1,aa,15,6,907.7272959989449,4
113350,1,15,1,aa,9,3,422.38389894467633,1
113633,1,34,1,aa,8,6,626.1300509121373,4
113900,2,40,1,aa,8,6,690.7758868827684,4
114366,2,36,1,aa,23,4,844.3327699726462,3
114656,2,32,1,aa,23,4,528.2578141349222,3
114786,2,15,2,aa,27,7,1260.038558328355,4
115083,2,29,1,aa,37,6,797.1790539578062,3
115088,1,69,2,aa,35,7,820.7974932325966,3
115205,2,82,2,aa,12,6,728.0462944511911,4
115433,2,69,1,aa,27,6,754.3780749315696,4
115581,2,29,2,aa,53,7,1224.5046180946736,4
115611,2,64,2,aa,53,6,688.2890121642134,1
115661,1,87,1,aa,27,6,1256.9704028788315,1
116785,1,57,1,aa,12,7,367.6285663285834,1
116791,1,63,1,aa,19,2,691.8670043575945,1
117444,1,63,1,aa,54,2,364.0941001267572,4
117776,2,62,1,aa,54,3,1076.937585370984,4
118785,2,22,2,aa,9,6,347.65076457652924,2
118810,1,22,1,aa,9,6,1058.4753374804457,3
118877,1,22,1,aa,35,6,671.3324444975739,4
118921,2,22,2,aa,58,3,1293.8012233074764,2
118965,1,44,1,aa,9,2,1258.0694667621212,3
118994,1,83,1,aa,23,7,240.02872732868371,3
119030,1,29,2,aa,63,7,1257.8222342633437,2
119180,2,29,2,aa,20,6,351.21750884616716,1
119279,2,66,2,aa,20,6,232.4931999328918,2
119297,2,29,2,aa,48,7,375.36260564773113,1
119306,2,75,2,aa,14,6,914.1970257561675,2
119306,1,66,2,aa,48,7,609.6239000464793,2
119490,2,82,2,aa,14,6,376.8582372774703,2
119584,2,82,2,aa,54,2,1301.840893328954,1
119586,2,82,2,aa,23,2,244.32614069076894,1
119618,2,30,2,aa,23,7,916.7951928154513,2
119738,2,19,1,aa,23,7,671.4749048408361,2
125008,2,81,1,aa,27,4,1340.4803103264687,4
125032,2,81,1,aa,25,4,539.2071865852527,2
125403,2,29,1,aa,27,4,1008.0144453835856,2
125435,1,23,1,aa,55,3,1285.3869715320234,2
125435,1,69,1,aa,55,3,366.9683665266651,1
125533,1,59,1,aa,2,4,445.7019819738284,4
125618,1,31,1,aa,13,2,855.5310952386853,2
125805,1,75,1,aa,55,4,654.5934186519307,4
125853,1,19,1,aa,55,4,145.87217198576693,4
126055,2,19,2,aa,12,4,347.77235499092217,4
126165,1,29,2,aa,52,4,1141.9133218156203,4
126242,2,73,2,aa,50,4,1108.0891961467987,4
126285,2,30,2,aa,2,1,447.60478047363887,4
126351,1,53,2,aa,2,2,241.1793632139507,4
126673,1,53,2,aa,55,4,1141.0178155798394,4
126681,1,29,2,aa,8,4,351.8528931858143,4
126802,1,32,2,aa,8,4,1016.7050708886426,4
127483,2,31,2,aa,57,3,366.397718807759,3
127560,2,20,2,aa,57,7,1267.776965577223,1
127664,2,86,2,aa,60,7,446.4719535185137,1
127705,2,20,2,aa,33,1,1229.5689697500568,3
127789,1,51,2,aa,36,1,367.70088049253184,3
127850,1,16,2,aa,36,3,1270.498758358714,1
127880,2,22,2,aa,17,3,413.0820879996419,1
127889,2,71,2,aa,5,3,531.8812385014123,4
127892,2,23,2,aa,54,1,1037.8060141062633,4
129804,2,30,2,aa,23,1,1262.4858485605544,1
130057,1,30,2,aa,10,7,1126.3839059822158,1
130114,1,30,2,aa,10,1,710.5810962612543,1
130127,1,40,2,aa,3,7,779.5536559485827,4
130512,1,49,2,aa,2,7,1260.130264728505,4
130543,1,53,2,aa,24,7,372.1843956298013,1
130638,2,53,2,aa,32,1,1314.1566864372703,1
130873,2,75,2,aa,24,2,495.72811249052376,1
131061,2,70,2,aa,3,1,371.3102913371424,1
131188,2,49,2,aa,0,2,746.5317523139017,4
132488,2,54,2,aa,0,7,864.2155520625072,1
132544,2,40,1,aa,41,2,382.92904278469194,4
132761,1,42,1,aa,40,2,1293.3983312338971,4
137087,2,42,1,aa,43,2,364.4173937551104,1
139331,1,54,1,aa,9,7,116.77970809346515,4
139337,1,54,2,aa,46,2,1286.6985093200929,4
139523,2,50,1,aa,35,2,1129.3773255682188,1
139548,2,54,1,aa,29,2,1345.4958664150636,3
139573,2,59,2,aa,0,1,1142.0301010069552,1
139972,2,66,1,aa,33,1,1134.1198272495355,3
140480,2,40,1,aa,50,7,601.120785353778,1
145647,1,40,1,aa,33,1,360.47009234596544,1
145985,2,64,2,aa,30,4,30.883533781511957,2
146041,1,83,2,aa,5,1,1207.1145918809589,2
146276,1,58,2,aa,5,1,878.4318312379738,2
146412,2,18,2,aa,30,4,1283.3107550199275,3
146451,1,76,1,aa,20,1,1328.8196544786986,1
146474,2,58,2,aa,47,1,1284.5613798861102,3
147084,1,18,1,aa,34,4,732.9574119451256,2
148587,2,53,1,aa,12,1,332.6002421169184,1
148622,2,49,2,aa,0,7,1274.1633129061986,2
148642,2,53,1,aa,33,3,986.4265966483322,2
148690,2,17,2,aa,21,6,877.3554111233111,3
148703,2,37,1,aa,30,2,648.3602320147669,2
148709,1,61,1,aa,47,6,931.5787194315598,2
148736,1,17,2,aa,33,3,562.789978027344,3
148743,1,36,1,aa,34,1,1193.4234670611174,2
148851,2,81,2,aa,16,4,626.1218320056013,2
148986,2,83,1,aa,13,6,1228.183967906836,1
153687,1,36,2,aa,33,2,964.9170050591206,3
154146,1,31,1,aa,30,2,720.614817388962,1
154421,2,84,1,aa,43,1,347.01266508077225,3
154701,2,37,1,aa,45,3,203.43811913975185,3
154810,1,33,2,aa,0,3,650.1112812084068,3
155248,2,31,2,aa,49,6,648.1899624418082,3
155287,2,29,1,aa,56,3,574.1244606388966,3
155330,1,35,2,aa,47,3,995.4321643660862,4
155346,1,56,1,aa,59,6,26.57630787431358,4
155386,1,86,2,aa,29,3,124.34635975258124,4
155395,2,14,1,aa,14,1,798.1337621606233,3
156539,2,35,1,aa,9,3,574.3225063428365,4
156962,1,29,2,aa,26,3,117.90666678469009,4
157715,1,29,2,aa,35,1,69.37915487723929,4
157890,1,55,2,aa,57,1,1315.7579575193895,3
158441,1,14,2,aa,3,3,678.255864970715,3
158740,1,83,2,aa,35,3,983.656812387092,4
158758,1,55,2,aa,35,3,814.5160319852574,1
159028,1,53,2,aa,3,6,247.51344988605672,1
159153,1,15,2,aa,57,7,370.26487891531957,4
159388,2,15,2,aa,3,2,1314.1511082951376,1
159523,1,30,1,aa,35,1,1134.0205269307771,4
160628,1,79,2,aa,58,1,945.7936726725964,4
160664,1,30,2,aa,50,4,775.680253489184,1
160689,1,81,2,aa,25,6,31.73003666441135,1
161524,2,58,2,aa,58,5,641.3868782193098,4
161772,2,82,1,aa,48,7,905.0421155631487,1
162880,1,58,2,aa,23,6,1285.6529234517338,1
162888,2,67,1,aa,27,5,216.62727997774556,1
163152,2,70,2,aa,26,4,1284.3710583793109,1
163263,2,81,2,aa,44,7,813.5691872533059,1
163267,2,85,1,aa,6,5,913.9834317004726,1
163423,2,83,1,aa,3,5,1315.386066201503,1
163423,1,28,1,aa,58,6,966.3755408968381,2
163433,1,83,1,aa,35,6,774.8297852791898,2
163509,1,53,1,aa,58,5,1315.176965712913,2
163598,2,35,1,aa,58,7,216.47868802219824,1
163598,2,28,1,aa,49,7,204.74567694437513,1
163755,1,28,1,aa,35,5,244.10464682284305,2
163793,1,14,1,aa,50,5,228.37745823252567,4
164886,1,87,1,aa,30,5,1037.0166380955084,3
164916,1,45,1,aa,49,1,892.307697527286,3
164930,1,87,2,aa,23,1,1315.0512889838153,3
164956,1,87,2,aa,48,6,116.64340987228567,3
164963,1,87,1,aa,49,5,727.716335514775,3
164964,1,87,1,aa,48,6,1159.0346119689991,3
164975,2,32,1,aa,28,7,131.85010620133062,3
164983,1,32,1,aa,28,7,395.95491862279323,3
165005,1,47,1,aa,2,5,1124.5930681948123,3
165036,1,46,1,aa,44,5,58.65839258021957,3
165139,1,46,1,aa,4,5,347.51616646796765,3
165207,1,79,2,aa,59,3,125.11854692875667,4
165221,1,35,1,aa,35,5,1245.8769941773464,3
165248,2,43,1,aa,24,5,361.07809207259487,3
165276,1,43,2,aa,48,6,1038.1288168069866,4
165289,1,67,2,aa,24,6,350.73296958936345,4
165368,1,20,2,aa,16,3,764.4005042588806,3
165451,1,77,2,aa,35,7,388.9710168256108,3
165454,1,87,2,aa,58,7,929.8309981084773,3
165463,1,87,2,aa,50,7,346.39415933674906,3
165486,1,87,2,aa,30,7,178.46667120990355,3
165589,1,84,1,aa,25,3,1062.8601982361572,3
165601,2,15,1,aa,35,5,1117.668573855588,3
165631,2,84,1,aa,18,6,384.3939119639703,3
165643,1,84,2,aa,2,6,420.4410103513708,4
165761,2,30,1,aa,3,6,344.04383405508645,4
165781,1,18,1,aa,16,1,360.6965036763663,3
165831,1,87,1,aa,2,2,360.93636044910767,3
165873,1,27,1,aa,2,3,1174.9995577919424,3
168213,1,27,2,aa,2,3,967.4659537089542,3
169345,1,84,2,aa,43,3,447.5092015768427,1
169613,2,79,2,aa,24,3,363.30994163554095,1
169652,2,32,2,aa,54,6,446.62892014760376,1
170208,2,32,2,aa,28,6,444.8258702852867,1
170795,2,78,2,aa,52,6,379.9466739629133,4
171248,2,86,2,aa,54,6,416.67281128134147,4
171400,2,30,2,aa,44,5,265.50757024135294,1
171402,2,75,2,aa,60,3,108.99319273927878,1
172272,1,75,2,aa,25,6,651.7933073766327,4
172315,1,33,2,aa,40,6,1283.4380684997518,4
172496,1,86,1,aa,42,5,756.9189556383169,1
173415,2,32,1,aa,28,3,989.3791382625368,2
173451,2,32,1,aa,63,3,1331.212306047507,2
173522,2,60,2,aa,52,2,1335.8032776044763,1
173614,2,31,1,aa,63,2,753.6400552566596,4
173687,2,16,2,aa,12,1,840.0132870866562,1
173769,2,16,1,aa,55,1,225.21685461418764,1
174029,2,22,1,aa,54,5,247.1478847601108,2
174065,1,77,1,aa,9,6,116.36337793681098,2
176144,2,25,1,aa,55,6,395.61629068001645,4
176235,2,15,1,aa,60,5,908.2022450703855,1
176318,2,15,2,aa,54,5,1098.9117008793964,2
176416,2,28,1,aa,20,5,177.06589536769698,2
176418,2,45,1,aa,53,5,670.6514299049734,1
176518,1,21,1,aa,14,5,217.6051062937881,1
176959,2,63,2,aa,18,5,70.91282734119734,1
176966,2,63,1,aa,14,6,879.4683214248694,4
177360,2,63,1,aa,12,3,431.7314995416233,4
177438,2,86,1,aa,44,2,904.5517445458753,2
177441,2,86,1,aa,61,2,424.0591996851671,2
177507,2,86,2,aa,45,6,770.8552501242034,2
178569,2,69,1,aa,24,7,806.7658075144226,1
179262,2,69,2,aa,14,2,1063.811485257049,1
179337,1,69,1,aa,17,2,785.721360573714,2
180267,1,67,2,aa,62,3,919.1901127457156,4
180361,1,19,1,aa,30,1,893.5828380719114,3
181363,1,30,1,aa,60,3,362.99169127786996,4
181797,2,45,1,aa,46,2,1222.1309992993392,3
181955,2,18,1,aa,27,4,216.07483958711842,3
183234,2,46,2,aa,61,1,228.8127099738931,3
183386,1,78,2,aa,27,1,366.6616012468906,1
183837,2,29,2,aa,31,2,69.20045743092705,4
184079,2,88,2,aa,11,4,767.6597923318387,4
184407,2,64,1,aa,61,4,856.3267389678788,4
184477,2,44,1,aa,44,4,649.6384465022983,3
184728,1,78,1,aa,15,2,796.2183836889022,4
184906,2,14,1,aa,29,1,1156.0813217017242,4
184910,1,79,1,aa,55,3,695.271131295557,1
184927,2,88,1,aa,45,7,693.7950745822561,4
185237,1,74,1,aa,54,1,862.2490500804942,4
188947,1,56,1,aa,19,4,133.51231208784142,2
189121,1,88,1,aa,61,2,1233.6788523819423,2
189350,1,88,2,aa,54,2,132.46941923571205,2
189423,1,19,2,aa,45,7,737.8757439359448,2
189442,2,25,2,aa,43,7,310.48002757663573,2
189462,2,20,2,aa,41,1,307.8640394579105,2
192581,1,16,2,aa,52,2,111.65620710615809,1
192951,1,46,2,aa,63,1,783.7779828569782,1
193930,2,70,2,aa,16,4,1277.8746451163363,2
194152,2,36,2,aa,23,4,1143.2520501746365,2
196831,2,16,2,aa,41,3,515.2652012174676,2
196974,2,22,2,aa,57,1,1342.2072385498968,2
197235,2,35,1,aa,57,2,125.21238388279248,3
197759,2,40,2,aa,42,2,1341.1483076154655,3
197987,1,52,1,aa,41,1,916.7202722915389,4
198273,1,46,2,aa,0,1,427.37486879047844,2
198623,1,22,1,aa,2,1,1275.5899680579396,2
199065,1,77,2,aa,42,5,463.9846349825677,4
199066,1,20,2,aa,34,1,202.15010433564962,2
199084,1,49,2,aa,7,1,18.650204607805577,4
199134,1,49,1,aa,3,5,1150.5601628122447,2
199175,1,40,1,aa,30,1,16.594728529983698,2
199290,1,79,2,aa,17,1,458.6940385072289,2
199431,1,71,2,aa,41,2,951.2217193014412,4
201311,1,83,2,aa,17,2,246.79330566790023,3
201811,2,21,1,aa,54,7,130.3658559809227,4
201891,2,79,1,aa,24,7,988.7045590553391,4
202018,2,79,1,aa,46,7,1269.1796037648414,3
202026,2,49,1,aa,31,3,118.66568479451547,4
202045,1,41,1,aa,3,5,627.1289842499941,3
202605,2,41,1,aa,2,1,841.1031402666915,3
202768,2,59,2,aa,46,1,626.7388439165971,1
203142,2,75,2,aa,35,5,871.7379482758485,1
203370,2,71,2,aa,19,5,1333.8144167370033,1
204004,2,83,2,aa,18,5,964.3609380869788,1
205242,1,71,2,aa,25,7,481.7811173560502,1
205344,1,14,2,aa,33,3,591.6989586826628,1
205539,1,20,2,aa,53,5,1037.8913618619035,1
205564,1,20,2,aa,35,2,384.8343563633442,1
205596,2,53,1,aa,18,5,409.4673508340238,1
205933,2,53,1,aa,40,6,982.6125569946483,3
206100,2,21,1,aa,28,1,587.9352193664453,3
206188,2,26,2,aa,46,3,906.6121666388842,3
206500,2,50,1,aa,61,2,923.8071929659413,1
206692,2,51,1,aa,2,5,483.6300443593176,3
207541,1,20,1,aa,46,2,1075.9008054410583,3
