EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40
59985,1,32,1,aa,50
60137,1,45,2,aa,43
60286,1,40,1,aa,43
60507,2,87,2,aa,50
61068,1,37,1,aa,43
61990,2,19,2,aa,12
62861,1,74,1,aa,27
63124,1,20,2,aa,7
63280,1,66,2,aa,35
64374,1,47,1,aa,29
64416,2,74,2,aa,15
65075,1,35,2,aa,27
65786,2,21,2,aa,32
68161,2,46,2,aa,31
69225,1,31,1,aa,31
69420,2,40,1,aa,9
73974,2,20,1,aa,3
74122,1,17,1,aa,39
74335,2,67,2,aa,59
75307,2,35,2,aa,28
75354,2,52,1,aa,23
75473,1,17,2,aa,9
75584,2,52,1,aa,59
76534,1,30,1,aa,35
78408,2,73,2,aa,2
78866,2,78,2,aa,32
80137,1,35,2,aa,30
80178,1,53,1,aa,30
80819,2,66,1,aa,61
84993,1,43,2,aa,23
85001,1,33,2,aa,31
85016,1,90,2,aa,20
85190,1,36,2,aa,53
85346,2,21,2,aa,23
85373,1,42,2,aa,53
85463,1,70,2,aa,31
85499,2,70,1,aa,23
85508,1,41,2,aa,9
85900,2,31,2,aa,60
86227,2,31,2,aa,37
86460,2,64,1,aa,52
86624,2,90,1,aa,46
87040,2,65,1,aa,46
87253,2,30,1,aa,9
87502,2,67,1,aa,46
89348,1,35,1,aa,10
92269,2,20,1,aa,7
92335,2,34,1,aa,47
92377,1,35,1,aa,53
92599,1,41,1,aa,47
92965,1,51,1,aa,53
92990,2,66,1,aa,53
92998,1,78,1,aa,47
93086,1,57,1,aa,2
93412,1,35,2,aa,63
93513,2,57,1,aa,53
93539,1,52,2,aa,47
93679,2,49,2,aa,21
93725,2,90,1,aa,37
93761,2,32,2,aa,4
93884,1,90,2,aa,53
94184,1,67,2,aa,39
94197,2,68,2,aa,21
94229,2,88,2,aa,46
94260,1,56,2,aa,11
94276,2,69,1,aa,46
94312,2,90,1,aa,46
94315,2,56,1,aa,46
94346,1,54,1,aa,46
94527,1,37,1,aa,53
94527,1,90,1,aa,29
94601,1,68,1,aa,46
94853,1,37,2,aa,63
94861,2,19,1,aa,61
94963,1,57,2,aa,29
95025,1,34,2,aa,46
95099,1,40,2,aa,46
95244,1,44,2,aa,29
95369,2,76,1,aa,46
95518,2,57,2,aa,46
95591,2,57,2,aa,46
95650,2,19,2,aa,5
95806,2,57,2,aa,29
95822,1,57,2,aa,5
95855,1,57,1,aa,5
95863,2,42,2,aa,46
96043,2,40,1,aa,46
96216,1,55,2,aa,57
98359,2,63,2,aa,54
98436,2,46,1,aa,32
98594,2,71,1,aa,9
98667,2,62,2,aa,14
98815,2,15,1,aa,9
98914,2,41,2,aa,2
99237,2,73,2,aa,4
99297,2,18,2,aa,52
100090,2,79,2,aa,14
101806,2,32,1,aa,25
101814,2,32,1,aa,56
101828,2,77,1,aa,25
101851,2,78,1,aa,59
101898,2,71,1,aa,49
102073,1,62,1,aa,33
102280,1,22,1,aa,39
103313,1,70,1,aa,23
103371,1,62,2,aa,10
103715,1,55,2,aa,38
103743,1,61,2,aa,24
103902,1,80,2,aa,4
104124,1,67,2,aa,48
104628,1,78,2,aa,48
104838,1,78,2,aa,62
105229,1,87,2,aa,15
105906,1,51,2,aa,20
106219,1,70,2,aa,52
106253,1,64,2,aa,18
106444,1,64,2,aa,24
106490,1,61,2,aa,6
107570,1,61,2,aa,9
107588,1,83,1,aa,0
107629,2,32,2,aa,13
107646,1,32,2,aa,0
107713,1,52,1,aa,20
107751,1,35,2,aa,50
107829,1,35,2,aa,38
107845,2,44,1,aa,35
107873,1,32,2,aa,23
112744,1,32,1,aa,53
113025,1,82,1,aa,50
113073,2,32,1,aa,50
113147,1,51,1,aa,23
113254,1,63,1,aa,23
113900,1,63,1,aa,52
114145,2,47,1,aa,51
114214,2,47,1,aa,9
114250,2,81,1,aa,51
114728,2,50,2,aa,3
114783,2,46,1,aa,57
114881,2,37,2,aa,19
114934,1,31,2,aa,12
115023,2,31,1,aa,35
117348,2,46,2,aa,15
117672,2,37,2,aa,50
117826,1,69,1,aa,55
118227,1,19,1,aa,55
118582,1,20,1,aa,55
118957,2,58,1,aa,37
118976,1,69,1,aa,19
118980,1,39,2,aa,36
119056,2,21,1,aa,34
119318,1,38,2,aa,27
119347,1,30,1,aa,21
119356,1,22,1,aa,3
119386,1,30,2,aa,48
119501,2,85,2,aa,56
119502,2,49,2,aa,51
119597,2,17,2,aa,20
119746,2,38,2,aa,57
119776,1,75,2,aa,10
119782,1,18,2,aa,51
125000,2,29,1,aa,38
125221,2,29,1,aa,8
125282,2,66,1,aa,20
125402,2,17,1,aa,22
125758,1,15,1,aa,63
125840,1,17,1,aa,3
125954,1,53,1,aa,23
125963,1,30,1,aa,52
126242,1,19,1,aa,8
126327,1,29,1,aa,35
126755,2,20,2,aa,52
126944,1,71,2,aa,54
127003,2,18,2,aa,15
127109,2,30,2,aa,37
127166,2,29,2,aa,27
127337,1,37,2,aa,27
127348,1,21,2,aa,15
127412,1,53,2,aa,7
127500,2,31,2,aa,24
127536,2,87,2,aa,13
127678,2,71,2,aa,7
127835,2,31,2,aa,24
127892,1,20,2,aa,9
127933,2,67,2,aa,24
127956,2,67,2,aa,27
129210,2,15,2,aa,53
129605,2,31,2,aa,34
129900,1,46,2,aa,3
129901,2,80,2,aa,54
130564,2,57,2,aa,34
130801,2,80,2,aa,49
130934,2,59,2,aa,21
131492,2,75,2,aa,0
131862,1,87,2,aa,49
132104,2,60,1,aa,51
132152,2,18,1,aa,46
132175,1,62,1,aa,49
132896,2,83,2,aa,4
132964,1,55,1,aa,46
132982,1,39,1,aa,0
132992,1,55,2,aa,20
137149,2,42,1,aa,2
138050,1,42,1,aa,56
138795,2,69,1,aa,23
138829,2,17,1,aa,50
139337,2,42,2,aa,27
139523,2,40,2,aa,30
139618,1,49,2,aa,57
139972,2,17,2,aa,29
140403,2,33,2,aa,29
143316,2,35,2,aa,29
145424,1,40,1,aa,33
145430,1,67,2,aa,50
145557,1,42,1,aa,10
145560,2,39,1,aa,56
145690,1,16,1,aa,0
146041,2,34,2,aa,28
146209,1,18,2,aa,50
146227,2,53,1,aa,46
146333,2,29,2,aa,0
146582,2,80,2,aa,34
146831,2,29,1,aa,0
146887,2,29,1,aa,21
146898,1,87,1,aa,26
146966,1,34,1,aa,33
147286,1,59,2,aa,56
147348,1,80,1,aa,48
148515,2,59,2,aa,24
148521,2,87,1,aa,48
148528,2,14,1,aa,25
148539,2,29,1,aa,32
148563,2,80,2,aa,58
148573,1,29,2,aa,12
148589,1,53,1,aa,51
148648,1,30,1,aa,24
148764,1,32,1,aa,32
148788,1,60,1,aa,51
148828,2,29,1,aa,18
148834,2,74,1,aa,27
148842,1,70,1,aa,3
148845,1,60,2,aa,2
148855,2,78,1,aa,48
148872,2,30,2,aa,58
148918,2,50,2,aa,58
148978,1,83,2,aa,44
148984,1,50,1,aa,31
153606,1,58,1,aa,0
153754,1,35,2,aa,30
153813,1,31,1,aa,33
154042,1,31,1,aa,45
154275,2,86,1,aa,12
154467,2,14,1,aa,58
154468,1,71,2,aa,3
154504,1,80,2,aa,33
154525,1,54,2,aa,14
154532,1,55,2,aa,35
154546,1,31,2,aa,35
154549,1,53,2,aa,16
154628,1,53,2,aa,58
154643,1,54,2,aa,30
154832,1,55,2,aa,33
154882,1,83,2,aa,18
154913,1,31,2,aa,33
155204,1,15,2,aa,0
155323,1,71,2,aa,42
155427,1,49,2,aa,29
155437,1,83,2,aa,5
155451,1,62,1,aa,3
155456,2,43,2,aa,43
155541,1,87,2,aa,3
155641,1,34,2,aa,17
155996,1,90,2,aa,57
156765,1,32,2,aa,2
156777,1,85,1,aa,35
156916,1,79,2,aa,47
157128,1,86,1,aa,35
157148,2,85,1,aa,2
157819,2,86,1,aa,12
158084,1,15,2,aa,56
158389,1,62,2,aa,16
158420,2,88,2,aa,33
158460,2,74,2,aa,44
158492,2,78,1,aa,43
158587,2,57,1,aa,48
158748,2,66,1,aa,29
159138,2,74,1,aa,15
159246,1,28,1,aa,33
159493,1,27,1,aa,33
161409,1,67,1,aa,43
162834,2,44,1,aa,7
162880,2,87,1,aa,24
163722,1,29,1,aa,35
163752,1,75,1,aa,7
164896,1,25,2,aa,63
164964,1,47,1,aa,27
164977,1,89,1,aa,60
165044,1,87,1,aa,62
165097,1,59,1,aa,63
165216,1,15,2,aa,26
165221,1,87,1,aa,27
165233,1,89,1,aa,17
165257,1,15,2,aa,24
165264,1,59,2,aa,9
165270,1,86,2,aa,53
165342,1,16,1,aa,19
165397,1,30,2,aa,29
165428,2,38,1,aa,41
165517,2,86,1,aa,63
165557,1,77,1,aa,28
165560,1,47,2,aa,42
165573,2,67,2,aa,26
165708,2,86,2,aa,29
165710,2,86,2,aa,28
165715,2,25,2,aa,63
165781,1,34,2,aa,53
165863,2,29,1,aa,60
165883,2,85,1,aa,55
169826,2,85,1,aa,61
170406,1,66,2,aa,41
171572,2,66,1,aa,55
171888,2,38,1,aa,14
172112,1,15,2,aa,47
172926,2,15,1,aa,55
173554,2,30,1,aa,22
173654,2,38,2,aa,53
173834,2,66,1,aa,53
176266,2,45,2,aa,22
176755,1,14,1,aa,44
178076,1,77,1,aa,55
178111,1,17,2,aa,22
178598,1,77,1,aa,17
178839,1,66,1,aa,10
179180,1,66,1,aa,28
179321,2,22,1,aa,43
179352,2,20,1,aa,47
179547,2,38,1,aa,52
180172,1,77,1,aa,52
180219,2,73,2,aa,60
182653,2,77,2,aa,28
182746,2,69,2,aa,15
182920,2,14,1,aa,61
183247,2,47,1,aa,47
183519,1,25,1,aa,42
184415,2,18,1,aa,53
184468,1,45,1,aa,14
184597,1,18,1,aa,14
184650,1,14,1,aa,44
188512,1,22,1,aa,45
189171,2,41,2,aa,13
193042,2,42,2,aa,53
193173,1,29,2,aa,46
193539,1,73,2,aa,52
194406,2,16,2,aa,62
196740,2,14,2,aa,25
197298,2,83,2,aa,62
197439,2,26,2,aa,26
197465,1,23,1,aa,41
197544,1,83,2,aa,26
197646,1,50,1,aa,41
198016,1,74,2,aa,62
198083,1,48,1,aa,18
198999,1,16,2,aa,0
199255,1,73,2,aa,33
199529,2,29,2,aa,1
199549,1,40,1,aa,1
199553,2,16,1,aa,33
201112,2,46,2,aa,18
201432,1,81,2,aa,30
202187,1,22,2,aa,26
202381,2,22,1,aa,35
202876,2,73,1,aa,19
203049,2,21,1,aa,19
203866,2,87,1,aa,33
204170,1,31,1,aa,2
204314,1,45,1,aa,43
204858,1,82,2,aa,47
204887,1,54,2,aa,35
205103,1,24,2,aa,47
205751,1,24,2,aa,42
205785,2,49,2,aa,53
205951,2,82,2,aa,24
207465,2,34,2,aa,61
207793,2,60,2,aa,2
208162,1,56,1,aa,2
208526,2,56,1,aa,52
208764,2,56,1,aa,48
211134,1,14,1,aa,19
211173,2,79,1,aa,3
211478,2,80,1,aa,40
211495,2,81,2,aa,33
211503,1,78,1,aa,2
211764,1,78,1,aa,42
211769,1,81,1,aa,17
211811,1,79,2,aa,24
212276,1,81,2,aa,63
212357,1,20,2,aa,42
212373,2,20,2,aa,33
212395,1,61,2,aa,17
212631,1,48,2,aa,0
213030,2,66,1,aa,3
213189,1,66,1,aa,48
213559,1,72,1,aa,19
213736,2,79,1,aa,42
214063,1,73,1,aa,2
214099,1,55,1,aa,40
214147,2,79,1,aa,0
214244,2,40,1,aa,18
214728,1,60,1,aa,30
216024,1,48,1,aa,42
216211,1,33,1,aa,50
216445,1,39,1,aa,60
216588,2,44,1,aa,18
216761,1,20,1,aa,42
216854,2,49,1,aa,52
221228,2,62,2,aa,18
221394,2,26,2,aa,50
221467,1,50,2,aa,27
222824,2,51,1,aa,18
223297,2,65,1,aa,44
223315,2,18,1,aa,56
223364,2,67,2,aa,56
223430,1,20,1,aa,56
224248,1,64,1,aa,1
226320,1,64,1,aa,3
226541,1,84,1,aa,57
226668,2,31,1,aa,47
226771,2,36,2,aa,5
226876,2,17,2,aa,47
226888,2,84,2,aa,47
226918,2,65,2,aa,44
227241,1,22,2,aa,56
227285,2,64,2,aa,57
227294,2,31,2,aa,43
227315,1,16,2,aa,44
229445,2,83,1,aa,3
229601,1,22,1,aa,55
229605,2,22,1,aa,53
229711,2,22,1,aa,56
229945,2,87,1,aa,39
230207,2,19,1,aa,2
230226,2,65,1,aa,39
230529,2,42,1,aa,48
230566,1,81,1,aa,56
230720,1,81,1,aa,30
231256,2,81,1,aa,56
231310,1,65,1,aa,36
231689,1,82,1,aa,0
232090,1,49,1,aa,29
233605,1,66,1,aa,24
234129,1,63,1,aa,16
234219,1,53,1,aa,29
234568,2,60,2,aa,57
234977,2,20,2,aa,54
235133,1,64,2,aa,57
235204,1,59,2,aa,37
235327,2,44,2,aa,57
235487,2,44,2,aa,16
235494,1,84,2,aa,29
235864,2,32,2,aa,7
236749,2,32,2,aa,57
236985,1,20,2,aa,57
237055,2,20,2,aa,34
237385,2,37,2,aa,57
240671,2,86,1,aa,56
240704,2,86,2,aa,17
240773,2,86,2,aa,56
240779,1,64,2,aa,48
241001,2,41,2,aa,16
241090,2,54,1,aa,17
241091,1,54,1,aa,2
241126,2,64,2,aa,29
241945,2,53,2,aa,16
242520,2,46,1,aa,35
243029,1,46,2,aa,57
243307,2,35,1,aa,32
243753,1,60,1,aa,57
244578,1,16,1,aa,32
244609,1,16,1,aa,35
245000,1,15,2,aa,57
246559,1,59,2,aa,51
247242,1,62,1,aa,51
247428,2,40,1,aa,54
248623,2,36,2,aa,29
249863,2,44,2,aa,14
250000,2,44,1,aa,14
250078,2,60,1,aa,14
250099,2,36,2,aa,50
250144,1,59,1,aa,14
250222,2,59,2,aa,30
250560,2,20,1,aa,35
250625,1,36,1,aa,36
250708,2,45,2,aa,14
250714,1,49,1,aa,35
250809,1,50,1,aa,51
250815,2,49,1,aa,32
251188,2,49,1,aa,14
251361,1,18,1,aa,14
251369,2,18,2,aa,14
251593,2,49,2,aa,14
251690,1,49,2,aa,36
251853,1,81,2,aa,14
251889,2,81,1,aa,51
254342,2,81,2,aa,14
254817,2,19,1,aa,4
255197,2,35,2,aa,14
255284,2,63,2,aa,14
255605,1,37,2,aa,31
255831,1,47,2,aa,14
258096,2,47,1,aa,24
258232,1,18,2,aa,1
258287,1,37,1,aa,32
258682,1,37,2,aa,19
259074,1,37,2,aa,32
259094,1,37,2,aa,39
259149,2,42,2,aa,14
259612,2,84,1,aa,14
259613,1,84,2,aa,14
259704,2,51,2,aa,34
259806,1,40,2,aa,17
260002,1,47,2,aa,14
262426,1,29,1,aa,29
262730,1,15,2,aa,15
262761,1,87,1,aa,1
262845,1,15,2,aa,3
262889,1,73,1,aa,3
262904,1,50,2,aa,21
262922,2,87,2,aa,15
262945,2,74,2,aa,1
262971,2,74,2,aa,15
263119,1,73,1,aa,22
263156,2,74,2,aa,22
265258,2,83,2,aa,0
265336,2,75,2,aa,19
265338,1,31,1,aa,31
265352,1,65,2,aa,14
265455,2,64,2,aa,22
265488,2,36,2,aa,58
265532,2,41,1,aa,14
265748,1,64,1,aa,14
265790,2,78,1,aa,1
265999,1,65,1,aa,17
266202,2,65,1,aa,1
266340,1,78,1,aa,14
266699,2,16,1,aa,56
267374,2,14,1,aa,57
267609,2,47,1,aa,54
268131,2,15,2,aa,6
268345,1,64,2,aa,58
268474,1,15,2,aa,10
268544,1,67,2,aa,44
268571,1,67,2,aa,59
268749,1,67,2,aa,56
268830,1,67,2,aa,44
268927,1,44,1,aa,56
269256,1,76,2,aa,30
269408,1,67,2,aa,22
269668,1,81,2,aa,6
269827,1,83,2,aa,48
269864,1,46,1,aa,10
269891,1,66,2,aa,56
270035,1,83,2,aa,48
270117,2,50,1,aa,44
270160,2,90,2,aa,30
270175,2,54,2,aa,17
270298,2,83,1,aa,55
270542,2,18,2,aa,37
270578,2,14,2,aa,54
270845,2,35,2,aa,39
271210,2,86,2,aa,39
275276,2,83,2,aa,19
275390,2,50,2,aa,28
278908,1,14,2,aa,2
280581,2,16,2,aa,37
280678,2,59,2,aa,11
280680,2,44,2,aa,57
280727,2,59,2,aa,13
281411,2,19,1,aa,45
281755,1,59,1,aa,13
281971,2,59,1,aa,18
282179,2,82,1,aa,57
282745,2,86,1,aa,18
282941,2,57,1,aa,18
283321,1,75,1,aa,6
283416,1,39,1,aa,18
283480,1,86,1,aa,6
283512,1,32,1,aa,30
283650,1,39,1,aa,31
283754,1,57,1,aa,52
283770,1,59,1,aa,22
283971,1,75,1,aa,31
284004,1,56,1,aa,29
284177,2,59,1,aa,58
284199,2,30,1,aa,30
284217,2,56,1,aa,29
284628,2,28,2,aa,30
284646,2,30,2,aa,29
287357,2,89,2,aa,0
287443,2,73,2,aa,1
288261,1,24,2,aa,44
288329,2,54,1,aa,37
288533,2,48,2,aa,44
289196,2,80,2,aa,44
289474,1,50,2,aa,13
290617,2,78,2,aa,44
290855,2,37,2,aa,23
290910,2,87,2,aa,4
291018,2,59,2,aa,0
291320,1,26,2,aa,15
291436,1,80,2,aa,58
291741,2,42,2,aa,29
291930,2,48,1,aa,4
292001,2,28,1,aa,37
292086,2,59,1,aa,46
292153,2,53,1,aa,11
292490,2,87,1,aa,4
292569,1,83,2,aa,58
292848,1,59,2,aa,52
295496,1,71,2,aa,19
295719,1,90,1,aa,23
299261,2,57,2,aa,35
299313,1,56,2,aa,33
299656,2,59,1,aa,41
300342,2,71,1,aa,34
301884,1,57,1,aa,21
302831,2,42,1,aa,23
302885,2,42,1,aa,34
303271,2,70,1,aa,61
303898,2,46,1,aa,23
303937,2,62,1,aa,27
304881,2,42,1,aa,61
305613,1,45,1,aa,61
305693,1,80,2,aa,55
306905,1,24,1,aa,27
307711,2,70,2,aa,13
308410,2,21,2,aa,50
308574,1,41,1,aa,14
308895,2,49,1,aa,17
309072,1,46,2,aa,62
310421,2,19,2,aa,36
310634,2,30,1,aa,36
310878,1,69,1,aa,53
310943,1,69,1,aa,39
311018,1,41,2,aa,36
311127,1,69,1,aa,9
311216,2,69,2,aa,39
311388,2,81,2,aa,35
311515,1,21,2,aa,35
311533,1,85,1,aa,29
311566,1,78,1,aa,53
311570,2,78,2,aa,38
311651,2,27,1,aa,63
314488,2,25,1,aa,20
314534,1,49,1,aa,49
315025,2,78,1,aa,48
315037,2,87,1,aa,22
315247,2,36,1,aa,63
315521,2,36,1,aa,51
315717,1,39,1,aa,27
316106,2,39,1,aa,41
316219,2,30,2,aa,23
316258,2,14,2,aa,29
316542,2,17,2,aa,41
316561,2,39,2,aa,25
316906,2,54,2,aa,27
317038,2,39,2,aa,12
317158,2,20,2,aa,23
317227,2,39,2,aa,9
317407,1,39,2,aa,29
318127,2,20,2,aa,14
318940,1,89,2,aa,28
319389,1,38,2,aa,14
322708,1,38,2,aa,28
322784,1,20,2,aa,62
322843,1,47,2,aa,50
322847,1,38,2,aa,10
322860,1,14,1,aa,62
322951,1,18,2,aa,36
322963,1,63,1,aa,42
323122,1,83,1,aa,61
323194,1,39,1,aa,62
323257,1,87,1,aa,42
323306,1,78,1,aa,42
323340,1,39,1,aa,28
323516,2,81,2,aa,18
323602,1,14,1,aa,63
323634,1,31,1,aa,63
323787,2,49,1,aa,28
323823,2,56,1,aa,15
323836,1,24,1,aa,43
323852,2,81,1,aa,39
323966,2,50,2,aa,62
324054,2,20,2,aa,43
324088,1,76,2,aa,28
324158,1,60,2,aa,37
324209,1,77,2,aa,32
324293,1,39,2,aa,50
324296,1,77,2,aa,37
324344,1,60,1,aa,33
324387,1,59,1,aa,43
324433,1,50,2,aa,61
324485,2,62,1,aa,39
328660,2,75,1,aa,57
329325,2,76,1,aa,23
333634,1,21,1,aa,20
334137,1,84,2,aa,23
334228,2,56,2,aa,42
334286,1,47,2,aa,57
334581,2,31,1,aa,5
334589,1,64,2,aa,42
334595,1,29,2,aa,4
334867,2,71,2,aa,26
336057,2,61,2,aa,14
336309,1,62,2,aa,5
336337,2,51,2,aa,33
339997,2,31,2,aa,40
340430,2,54,2,aa,1
340795,2,86,2,aa,35
341097,1,29,2,aa,52
341509,1,75,1,aa,26
342215,1,51,1,aa,23
342477,2,47,2,aa,23
343228,1,75,1,aa,5
344551,2,49,1,aa,58
345102,1,29,1,aa,58
345249,2,31,1,aa,58
345327,2,60,1,aa,14
345804,2,24,1,aa,9
346108,2,15,1,aa,58
346398,2,21,1,aa,40
347030,2,50,2,aa,40
347389,1,21,1,aa,32
348124,1,31,1,aa,35
350281,1,16,2,aa,52
350764,2,47,2,aa,15
350786,1,62,1,aa,9
350917,1,20,2,aa,6
351146,2,53,1,aa,35
351161,2,19,1,aa,15
351267,1,47,2,aa,42
351443,2,62,2,aa,41
351524,2,24,2,aa,15
351588,2,19,2,aa,5
351602,1,64,1,aa,15
351671,2,69,2,aa,2
352140,1,65,1,aa,14
352141,1,71,2,aa,15
353211,1,56,1,aa,33
353529,1,84,1,aa,33
357888,2,84,2,aa,23
357891,1,61,1,aa,4
357938,2,78,2,aa,34
357956,2,50,1,aa,10
357969,2,62,2,aa,42
358076,1,69,2,aa,5
358209,2,14,1,aa,24
358268,2,44,1,aa,23
358316,2,69,1,aa,23
358324,1,61,1,aa,33
360486,2,72,1,aa,40
360777,1,23,1,aa,35
361248,1,15,1,aa,2
361480,2,83,1,aa,33
361916,2,17,1,aa,40
362166,2,46,1,aa,36
362233,1,62,2,aa,14
362446,2,60,2,aa,42
363032,1,17,2,aa,42
363305,2,17,2,aa,38
363306,2,55,2,aa,48
363393,2,51,2,aa,41
364920,1,87,2,aa,16
365470,2,87,1,aa,48
365487,2,29,1,aa,42
365821,2,87,2,aa,16
366203,2,29,2,aa,54
367167,2,83,2,aa,19
367233,2,35,2,aa,19
367349,2,54,2,aa,56
367991,1,71,2,aa,56
368089,1,47,2,aa,56
368125,2,24,2,aa,56
368218,1,32,2,aa,50
368443,1,35,2,aa,30
369293,2,64,2,aa,61
369354,1,54,1,aa,36
369770,1,32,2,aa,62
370385,1,35,2,aa,26
370389,1,35,2,aa,53
370570,2,79,2,aa,62
371259,2,14,1,aa,28
372591,2,79,2,aa,61
372760,1,77,1,aa,44
372774,2,60,2,aa,4
372815,1,44,1,aa,50
372856,2,60,1,aa,43
372958,1,48,1,aa,43
373427,2,61,1,aa,5
373657,2,70,2,aa,14
373676,1,70,2,aa,34
373761,2,63,2,aa,56
373775,1,87,2,aa,39
373839,2,44,1,aa,27
373840,1,87,2,aa,43
373945,1,15,1,aa,14
374136,1,32,2,aa,7
374219,1,32,1,aa,29
374318,2,27,2,aa,63
374387,2,76,1,aa,27
374600,1,49,1,aa,43
374644,2,45,2,aa,28
374663,2,27,1,aa,50
374731,2,32,1,aa,35
374762,2,53,1,aa,63
376932,1,86,1,aa,16
377126,1,78,2,aa,9
377235,2,32,1,aa,52
377295,2,46,2,aa,32
377305,2,57,2,aa,58
377697,1,74,1,aa,43
377699,1,35,1,aa,37
377710,1,69,2,aa,37
377775,1,79,1,aa,50
377886,1,37,2,aa,30
377895,2,79,1,aa,16
378279,2,36,2,aa,53
378592,1,36,2,aa,58
378837,1,85,2,aa,36
378871,2,50,2,aa,43
381105,2,70,1,aa,8
381834,1,37,2,aa,16
382512,2,36,1,aa,16
383120,2,47,2,aa,62
383188,2,60,1,aa,35
383652,2,68,1,aa,62
384228,2,51,1,aa,28
384343,2,44,2,aa,45
384512,1,15,2,aa,34
386375,1,82,2,aa,50
386403,1,37,2,aa,44
386537,2,37,1,aa,54
386738,2,69,2,aa,16
386921,2,63,1,aa,40
386940,1,60,2,aa,33
387055,1,37,2,aa,51
389522,2,41,2,aa,29
389575,2,64,2,aa,27
389645,1,80,1,aa,17
