TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,B27,EF21,EF16U2,LEISTUNGSGRUPPE
1,65,2,3,aa,76823,7,4
1,29,2,61,aa,77924,7,4
1,78,2,30,aa,79578,7,4
1,66,2,30,aa,79935,4,3
1,66,2,32,aa,81228,4,5
1,77,2,37,aa,85090,1,3
2,71,2,53,aa,85246,4,1
1,89,2,23,aa,85459,6,1
1,17,2,23,aa,85605,7,1
2,17,2,9,aa,85624,4,1
2,20,1,31,aa,85675,1,1
2,29,1,31,aa,85753,5,5
2,28,1,46,aa,85879,6,5
2,37,1,22,aa,85939,6,1
2,29,1,9,aa,86537,6,3
2,71,1,4,aa,89168,5,1
2,33,1,35,aa,89343,6,4
2,89,1,30,aa,89383,6,1
1,55,1,53,aa,92162,6,1
1,71,1,46,aa,92301,6,4
1,89,1,47,aa,92475,4,1
1,89,1,6,aa,92907,7,1
2,54,1,37,aa,93011,7,1
2,76,1,47,aa,93041,7,5
2,39,1,52,aa,93046,7,1
2,65,2,46,aa,93235,7,1
1,45,2,52,aa,93420,7,1
1,59,2,53,aa,93517,6,3
1,34,2,46,aa,93537,6,4
2,88,1,39,aa,93549,6,4
1,59,2,47,aa,93759,1,3
2,16,2,47,aa,93780,7,2
2,59,2,63,aa,93975,5,2
1,43,1,46,aa,94000,1,2
2,41,2,52,aa,94203,5,3
2,59,2,46,aa,94214,4,2
1,41,1,46,aa,94291,4,2
2,34,1,46,aa,94319,5,5
1,59,1,4,aa,94368,3,2
1,19,1,57,aa,94438,5,2
2,58,1,29,aa,94491,3,2
1,90,1,46,aa,94494,3,4
2,46,1,46,aa,94573,3,2
1,49,1,53,aa,94601,1,2
2,90,1,29,aa,94653,7,2
1,39,1,53,aa,94749,7,2
2,59,2,6,aa,94953,3,3
1,53,2,46,aa,95239,3,5
1,41,2,29,aa,95272,3,2
2,58,2,46,aa,95294,3,4
2,35,2,61,aa,95635,3,5
1,56,2,63,aa,95693,3,3
2,52,2,29,aa,95743,3,5
1,53,2,46,aa,95826,3,4
1,71,2,11,aa,95842,3,5
1,53,2,53,aa,95887,4,3
2,50,1,46,aa,95940,3,3
2,56,2,46,aa,95983,3,5
2,20,2,46,aa,96227,3,5
2,67,1,33,aa,98630,1,4
2,63,1,2,aa,98820,1,4
2,35,2,8,aa,99069,1,1
2,20,2,52,aa,99125,6,1
2,23,1,27,aa,99131,1,5
2,70,2,9,aa,99311,3,5
2,17,2,14,aa,99377,1,5
2,20,1,54,aa,99631,1,1
2,56,1,20,aa,99692,5,1
2,71,2,27,aa,100347,2,5
2,36,2,5,aa,101569,1,5
2,18,2,5,aa,102081,1,4
2,18,2,49,aa,102128,1,1
1,22,2,49,aa,102205,1,2
1,38,2,32,aa,102361,5,2
1,61,2,59,aa,102366,5,5
1,17,2,52,aa,102547,6,1
1,37,2,23,aa,102728,1,4
1,52,2,38,aa,102737,1,1
1,45,2,48,aa,103231,5,1
1,79,2,14,aa,103332,2,1
1,79,2,48,aa,103396,5,2
1,79,2,52,aa,103617,3,5
1,62,2,62,aa,104345,5,4
1,62,2,62,aa,104830,1,4
1,37,2,52,aa,105769,5,5
1,34,1,50,aa,107550,4,3
1,14,1,20,aa,107638,4,3
1,54,1,53,aa,107697,4,4
1,52,2,23,aa,107761,2,5
1,83,2,9,aa,107781,5,3
2,53,2,38,aa,107799,5,4
2,53,2,8,aa,107803,5,1
1,74,1,13,aa,107843,6,1
1,68,2,35,aa,107920,5,4
1,71,2,50,aa,107992,5,4
1,32,2,48,aa,112649,6,5
1,20,1,51,aa,112893,4,3
2,78,2,7,aa,113111,5,1
1,76,2,23,aa,113582,3,1
1,63,1,61,aa,113641,4,1
1,16,1,24,aa,113793,3,5
1,78,2,24,aa,113819,3,5
2,82,2,48,aa,113980,6,3
1,34,1,52,aa,114004,3,3
1,83,1,2,aa,114056,3,3
2,69,1,24,aa,114414,3,3
2,83,1,35,aa,114421,3,1
2,59,1,24,aa,114422,3,1
2,63,1,50,aa,114613,4,4
1,83,2,12,aa,114752,6,5
2,77,2,57,aa,114837,7,2
1,87,1,12,aa,114952,7,5
2,48,1,2,aa,114996,7,2
2,46,1,19,aa,115014,7,3
2,46,2,10,aa,115065,7,4
1,30,2,15,aa,116841,3,5
2,62,2,50,aa,116879,3,5
2,47,2,55,aa,117725,6,5
2,87,2,6,aa,118836,2,3
2,22,1,56,aa,119066,7,2
2,87,1,9,aa,119156,7,2
1,22,2,25,aa,119206,7,3
2,30,1,36,aa,119230,7,3
1,32,1,3,aa,119245,6,5
1,46,1,37,aa,119265,6,3
2,31,1,34,aa,119287,6,3
1,58,1,35,aa,119292,6,3
2,68,1,48,aa,119307,6,3
1,31,1,20,aa,119455,2,3
1,33,2,3,aa,119473,2,2
2,45,2,19,aa,119506,3,2
1,45,2,34,aa,119545,6,2
1,51,2,57,aa,119633,6,4
1,20,2,51,aa,119689,6,5
2,28,2,25,aa,119787,6,5
2,50,2,21,aa,119789,6,2
1,15,1,52,aa,125060,4,4
2,71,1,19,aa,125082,7,4
2,35,1,0,aa,125692,4,4
2,87,1,35,aa,125746,1,4
1,30,1,9,aa,125852,7,2
1,28,1,20,aa,125983,4,2
1,30,1,54,aa,126018,4,4
2,70,1,23,aa,126061,4,4
1,28,1,22,aa,126447,1,4
1,21,1,22,aa,126447,1,3
2,59,2,38,aa,126708,7,1
2,28,2,63,aa,126975,4,1
2,31,2,15,aa,126989,4,1
1,15,2,27,aa,127162,4,1
2,72,2,15,aa,127177,4,1
1,31,2,27,aa,127254,4,3
2,31,2,7,aa,127283,4,3
2,64,2,39,aa,127561,4,3
2,45,2,10,aa,127597,7,3
2,71,2,37,aa,127761,2,2
2,64,2,13,aa,127765,3,3
2,64,2,27,aa,127819,1,3
2,18,2,9,aa,127875,1,1
2,18,2,54,aa,129035,3,1
2,87,2,3,aa,129269,2,3
1,50,2,53,aa,130534,3,3
1,57,2,21,aa,130697,1,3
1,18,2,54,aa,131011,7,3
1,69,2,33,aa,131087,2,1
2,49,2,1,aa,131198,7,2
1,76,2,44,aa,131285,2,1
1,49,2,4,aa,131740,2,1
2,87,1,49,aa,131880,2,2
1,18,1,20,aa,132205,7,2
2,64,1,51,aa,132324,2,2
2,37,1,34,aa,132344,2,1
2,83,1,4,aa,132831,2,2
1,75,1,44,aa,132930,2,1
2,37,1,33,aa,133051,7,2
1,16,1,56,aa,135678,7,1
1,17,1,50,aa,136307,7,1
2,83,1,17,aa,137741,4,4
2,40,1,29,aa,140721,1,4
2,19,1,29,aa,141085,1,4
2,40,1,30,aa,142346,1,4
1,40,1,57,aa,142812,1,4
1,40,1,27,aa,142864,4,4
2,18,1,0,aa,145415,1,1
1,52,2,28,aa,145617,1,1
2,83,1,0,aa,145786,1,4
2,42,1,46,aa,146097,3,4
1,35,1,10,aa,146233,1,4
1,58,2,34,aa,146333,1,4
2,63,1,16,aa,146406,2,4
1,42,2,34,aa,146544,4,4
1,71,2,56,aa,146830,2,4
2,53,2,50,aa,147126,7,4
2,15,2,46,aa,147144,7,4
2,58,2,50,aa,147267,1,4
2,14,2,2,aa,148555,2,5
2,53,1,33,aa,148561,2,5
2,53,1,31,aa,148568,3,5
2,53,1,10,aa,148583,7,5
1,83,1,35,aa,148585,1,5
1,55,2,2,aa,148599,1,5
1,66,2,48,aa,148630,1,5
2,15,1,14,aa,148675,1,5
2,49,1,25,aa,148685,3,5
2,85,1,58,aa,148688,3,5
2,28,1,48,aa,148696,3,5
2,78,1,33,aa,148706,3,5
2,69,1,46,aa,148707,1,5
1,28,1,35,aa,148733,3,5
1,29,1,24,aa,148759,2,5
2,80,1,58,aa,148783,1,5
2,29,1,49,aa,148787,2,5
2,29,1,2,aa,148805,3,5
2,39,2,18,aa,148818,3,1
1,51,2,24,aa,148841,6,5
2,60,2,48,aa,148849,6,2
2,51,1,33,aa,148906,2,1
2,30,2,35,aa,148920,4,2
1,83,1,48,aa,148933,4,1
1,32,1,27,aa,148979,2,1
1,61,2,51,aa,148985,6,1
1,60,2,44,aa,148991,3,4
2,30,2,14,aa,153615,6,3
1,63,2,59,aa,153635,6,3
1,80,2,3,aa,153678,3,3
2,82,2,58,aa,154118,1,4
2,29,1,30,aa,154153,3,3
1,82,1,29,aa,154639,3,1
1,38,2,58,aa,154692,6,1
1,82,2,0,aa,154817,6,1
1,55,2,12,aa,154914,1,1
1,55,2,32,aa,155071,4,2
1,15,2,58,aa,155105,4,2
1,50,2,3,aa,155151,2,1
1,29,2,30,aa,155166,2,3
1,30,2,43,aa,155173,1,4
1,30,2,3,aa,155244,3,4
1,38,2,18,aa,155279,1,4
1,37,2,16,aa,155325,6,3
1,80,2,3,aa,155359,4,2
1,86,2,22,aa,155425,5,4
1,84,2,32,aa,155568,5,3
1,69,1,35,aa,155723,5,3
1,87,1,57,aa,156154,5,4
1,69,2,35,aa,156203,5,3
2,32,2,47,aa,156336,5,3
2,87,2,2,aa,156474,6,1
2,41,2,57,aa,156970,7,1
2,21,2,2,aa,157188,7,2
2,43,2,48,aa,157974,7,3
2,45,1,15,aa,158057,7,3
1,16,1,42,aa,158071,7,1
2,84,1,24,aa,158078,7,1
1,41,1,12,aa,158404,6,1
2,14,1,43,aa,158559,6,1
2,87,1,16,aa,158664,6,1
2,20,1,29,aa,158767,6,1
2,64,1,25,aa,159410,5,2
2,25,1,43,aa,161761,7,3
2,87,1,3,aa,162895,5,1
2,87,1,35,aa,163180,6,4
1,87,1,7,aa,163307,5,4
1,87,1,3,aa,163369,6,2
1,87,1,35,aa,163413,5,4
1,41,1,29,aa,163583,5,4
1,66,1,5,aa,163772,6,1
1,78,1,9,aa,164889,3,1
2,16,1,24,aa,164971,3,5
1,58,1,41,aa,165210,6,2
1,37,1,53,aa,165279,5,5
1,19,1,30,aa,165287,7,5
1,26,1,63,aa,165470,5,2
2,14,1,62,aa,165551,2,3
1,37,1,29,aa,165573,5,2
1,45,1,63,aa,165574,2,2
1,76,2,26,aa,165640,5,2
1,66,2,14,aa,165672,3,1
1,15,2,53,aa,165695,3,1
1,24,1,26,aa,165752,5,2
2,88,1,17,aa,165770,5,5
1,88,2,60,aa,165859,1,2
1,73,1,47,aa,165882,1,4
2,84,2,43,aa,167985,5,5
2,84,2,61,aa,168668,1,1
2,28,2,21,aa,168741,2,1
2,76,2,21,aa,168800,7,2
2,84,2,55,aa,171364,2,3
1,84,2,55,aa,171895,6,2
1,30,2,22,aa,172177,5,3
2,71,2,53,aa,172504,3,4
2,18,2,44,aa,173517,7,4
2,47,2,42,aa,173564,1,4
2,42,1,55,aa,173935,3,4
2,29,1,22,aa,174012,6,4
2,59,1,43,aa,176701,5,4
2,59,1,46,aa,176748,3,1
2,36,1,61,aa,176991,6,4
2,69,2,44,aa,177834,5,1
2,14,1,16,aa,177842,6,4
2,19,1,55,aa,177955,5,1
1,74,2,44,aa,178656,2,3
1,88,1,28,aa,178891,3,3
1,74,1,10,aa,179335,2,3
1,46,2,28,aa,179343,4,5
1,28,1,27,aa,179679,4,3
1,22,2,60,aa,179856,4,5
2,35,1,52,aa,180178,2,1
2,74,1,28,aa,180533,1,1
2,59,1,13,aa,180545,2,1
1,41,1,61,aa,181547,7,1
2,74,1,61,aa,182472,1,1
2,59,1,28,aa,182634,1,1
2,30,2,42,aa,184017,3,3
2,35,1,53,aa,184878,4,3
1,14,1,55,aa,188831,4,5
1,88,1,13,aa,189937,1,5
1,28,1,14,aa,190045,2,5
2,14,1,45,aa,190097,1,4
1,35,1,62,aa,192977,1,5
1,78,1,62,aa,193259,2,4
1,20,2,53,aa,193406,3,5
1,76,2,24,aa,194081,4,5
2,20,2,53,aa,194091,4,3
2,64,2,52,aa,194203,1,3
2,76,2,44,aa,194208,1,3
2,30,1,41,aa,196912,5,4
2,39,2,62,aa,197138,1,3
1,58,2,25,aa,197488,1,3
1,31,2,26,aa,197684,3,4
1,20,2,41,aa,197964,1,4
1,20,2,26,aa,198156,5,2
1,22,2,26,aa,198404,5,4
1,39,2,17,aa,198747,1,4
2,41,2,33,aa,198890,1,3
1,49,1,41,aa,198958,3,4
1,74,1,17,aa,198989,5,4
2,74,1,1,aa,199009,3,5
2,74,1,59,aa,199133,7,5
2,20,2,0,aa,199401,7,4
1,27,2,59,aa,199567,1,5
1,46,2,59,aa,199659,2,3
2,59,1,33,aa,200726,1,2
2,66,1,1,aa,201058,7,2
1,65,1,33,aa,201929,3,3
1,56,1,1,aa,202023,7,5
1,30,1,18,aa,202412,5,1
2,74,2,26,aa,202664,3,1
2,51,2,33,aa,203429,7,2
1,76,2,34,aa,204093,6,1
2,80,2,30,aa,204525,5,3
2,45,2,2,aa,204623,5,1
1,37,1,3,aa,204876,6,3
1,20,1,24,aa,205297,1,1
1,78,2,44,aa,206436,5,3
1,82,1,44,aa,206539,3,2
1,45,1,61,aa,207000,5,2
2,48,1,52,aa,207255,2,1
1,23,2,50,aa,207727,6,3
1,55,1,2,aa,208071,6,1
2,80,2,2,aa,211293,2,1
1,17,2,19,aa,211464,2,5
1,20,2,17,aa,212340,2,3
2,15,2,3,aa,212351,6,3
2,50,2,19,aa,212609,2,5
1,41,1,19,aa,213075,7,4
2,82,1,41,aa,213262,7,4
2,82,1,52,aa,213559,7,2
2,82,1,30,aa,214121,7,5
2,20,1,43,aa,214161,7,4
1,31,1,41,aa,214206,7,4
2,18,1,60,aa,214362,6,2
2,87,1,33,aa,214792,4,3
1,77,1,19,aa,215445,4,3
1,37,1,0,aa,215540,6,5
1,24,1,3,aa,216016,6,5
1,62,1,33,aa,216050,4,2
1,18,2,41,aa,216201,2,2
1,14,1,48,aa,216811,2,3
1,46,1,60,aa,216847,4,3
2,82,1,2,aa,216864,4,3
2,83,1,3,aa,216949,4,3
1,14,2,19,aa,216991,4,3
2,74,2,18,aa,222359,4,4
1,28,1,49,aa,223087,4,3
1,68,1,27,aa,223207,5,5
2,64,2,50,aa,223467,5,5
1,26,2,41,aa,223507,4,3
2,86,1,41,aa,223723,6,3
2,49,2,56,aa,223789,5,3
2,86,2,47,aa,223878,6,2
1,64,1,43,aa,223895,4,2
1,64,1,40,aa,223930,6,1
2,47,2,44,aa,224102,5,1
1,18,2,56,aa,226304,6,1
2,37,2,43,aa,226356,4,1
2,53,2,63,aa,226389,6,4
2,53,2,47,aa,226572,2,1
2,77,2,18,aa,226848,2,1
2,77,2,47,aa,226908,6,5
2,77,2,47,aa,226921,6,1
1,73,2,47,aa,226931,6,1
2,39,2,5,aa,227009,6,4
2,26,2,56,aa,227088,6,2
1,77,2,18,aa,227182,2,1
1,53,2,3,aa,227185,2,2
1,53,1,55,aa,229687,2,2
1,53,1,53,aa,229777,5,4
1,53,1,39,aa,229855,4,5
2,19,1,2,aa,230056,6,3
1,52,1,3,aa,230564,3,4
2,38,1,28,aa,231325,2,3
2,85,1,29,aa,231816,7,5
2,19,1,0,aa,232063,6,5
1,85,1,16,aa,233643,1,3
2,60,1,34,aa,233644,2,5
2,87,1,37,aa,233828,7,3
1,87,1,24,aa,233882,3,1
2,64,1,37,aa,234023,2,3
2,64,1,57,aa,234358,3,1
2,64,1,16,aa,234391,5,3
1,64,1,57,aa,234413,7,3
1,64,1,57,aa,234739,1,4
1,81,2,16,aa,234797,4,3
1,39,2,29,aa,234860,7,3
1,55,2,29,aa,234960,5,5
2,16,2,54,aa,235448,5,4
2,33,2,32,aa,235620,6,4
1,55,2,7,aa,236134,4,3
1,47,2,53,aa,236493,3,3
2,59,2,57,aa,236621,7,1
1,59,2,57,aa,236857,1,1
2,86,2,57,aa,237537,2,2
2,86,1,32,aa,240693,6,5
2,80,2,56,aa,240732,5,1
1,60,2,56,aa,240734,3,4
2,60,1,56,aa,240780,3,1
1,53,2,32,aa,240832,3,1
2,64,1,19,aa,240863,2,1
2,16,1,2,aa,240919,5,2
1,16,2,29,aa,240922,4,2
2,55,2,56,aa,240946,6,1
2,44,2,56,aa,240954,2,5
1,44,1,31,aa,241001,1,5
2,66,2,56,aa,241017,3,5
2,66,1,48,aa,241103,6,2
2,35,2,57,aa,241755,1,5
2,35,1,33,aa,242243,1,5
1,67,1,33,aa,244019,5,5
1,67,1,57,aa,244983,1,5
1,67,1,33,aa,245485,7,2
1,36,2,54,aa,246032,5,3
1,87,2,16,aa,246391,5,1
1,58,2,51,aa,248039,6,4
1,58,1,51,aa,248911,2,4
2,21,1,51,aa,250020,2,1
2,21,1,50,aa,250063,3,4
2,17,1,19,aa,250076,3,4
2,21,1,14,aa,250167,2,1
1,21,1,14,aa,250215,5,1
2,86,2,14,aa,250375,6,1
2,59,1,14,aa,250401,3,1
2,45,2,30,aa,250443,7,3
2,42,1,14,aa,250498,3,4
2,42,2,51,aa,250548,3,4
2,39,1,14,aa,250841,3,3
2,17,1,36,aa,250845,6,4
2,50,2,14,aa,251065,6,4
1,56,2,14,aa,251088,3,1
2,42,2,32,aa,251202,5,3
1,21,2,32,aa,251652,4,3
2,51,1,14,aa,251685,2,1
1,51,2,14,aa,251767,3,1
1,44,2,31,aa,254728,6,4
2,62,2,4,aa,255096,1,4
1,46,2,48,aa,258100,4,1
2,47,1,32,aa,258288,1,2
1,39,2,14,aa,258538,6,2
1,63,2,1,aa,258620,6,2
1,16,1,14,aa,258928,4,2
1,45,1,14,aa,259098,4,4
1,45,2,24,aa,259142,1,4
2,54,1,14,aa,259168,6,2
2,86,1,14,aa,259262,1,4
2,86,2,16,aa,259277,1,4
1,86,1,14,aa,259310,5,2
2,42,2,39,aa,259579,3,1
1,37,1,36,aa,259591,3,1
1,62,2,14,aa,259691,7,2
1,44,2,32,aa,259706,7,1
1,37,2,39,aa,259771,7,1
2,37,1,14,aa,259971,3,4
2,37,2,16,aa,259978,2,2
1,27,2,15,aa,262223,1,1
1,14,1,20,aa,262400,6,5
1,64,2,17,aa,263071,1,1
1,90,2,29,aa,265291,7,4
1,90,2,14,aa,265303,1,5
2,64,2,22,aa,265321,1,2
1,82,2,31,aa,265332,6,1
1,75,1,0,aa,265429,5,5
1,15,2,58,aa,265604,1,4
1,20,2,14,aa,265648,1,1
2,88,1,22,aa,265764,7,5
2,83,1,16,aa,265842,7,4
2,15,2,16,aa,265899,7,4
2,75,1,29,aa,265952,1,5
2,74,2,14,aa,266103,7,1
2,39,2,6,aa,266302,7,1
2,14,2,30,aa,266471,5,1
2,24,1,18,aa,267042,7,5
2,15,1,54,aa,267158,7,2
2,15,1,30,aa,267190,3,5
2,87,1,28,aa,267330,3,2
1,15,1,29,aa,267996,3,1
2,88,1,56,aa,268089,1,2
2,26,1,14,aa,268129,3,5
2,74,1,28,aa,268172,6,5
1,86,1,56,aa,268569,5,2
1,74,2,44,aa,268696,3,1
1,82,2,7,aa,268777,3,5
1,79,2,17,aa,269145,1,5
1,66,2,0,aa,269214,3,1
1,50,2,3,aa,269302,5,4
1,38,2,58,aa,269346,3,2
1,79,2,59,aa,269452,6,4
1,74,2,23,aa,269638,3,2
1,87,2,3,aa,269640,3,2
1,64,2,56,aa,269657,3,4
1,15,2,50,aa,269783,5,2
1,32,1,54,aa,269819,6,2
1,87,1,0,aa,269851,3,4
1,38,1,0,aa,269913,7,4
1,67,2,59,aa,269918,7,2
2,80,2,58,aa,269929,3,4
2,67,2,56,aa,269936,7,4
2,67,1,0,aa,269976,7,2
2,40,2,10,aa,270183,3,4
2,67,2,18,aa,272058,5,4
2,30,2,37,aa,272594,1,4
2,83,2,39,aa,272995,2,2
2,67,2,18,aa,274587,4,4
1,67,2,12,aa,274871,5,5
1,64,2,10,aa,274888,4,3
2,64,2,12,aa,274958,4,4
1,79,2,10,aa,275458,3,5
2,90,2,28,aa,276141,6,3
2,18,2,23,aa,276364,1,3
2,46,2,1,aa,278825,1,3
2,79,1,1,aa,278831,6,3
1,33,1,31,aa,279233,5,5
2,48,1,29,aa,280643,4,3
2,39,1,29,aa,280769,5,3
2,50,1,10,aa,281418,4,5
2,29,1,22,aa,281425,3,4
2,53,1,13,aa,281604,1,3
1,79,1,29,aa,281766,2,3
2,57,1,57,aa,282068,6,3
1,18,1,4,aa,282741,4,3
1,57,1,58,aa,282797,4,3
1,59,1,7,aa,283302,2,5
1,79,1,22,aa,283602,2,2
1,59,1,52,aa,284115,4,2
2,20,1,7,aa,284615,4,4
1,59,1,29,aa,287609,4,2
2,44,1,44,aa,288383,2,2
2,87,1,37,aa,288545,2,5
1,59,2,13,aa,288899,4,2
2,86,2,44,aa,289090,4,4
2,52,2,6,aa,289287,5,5
2,86,2,44,aa,289649,5,4
1,24,2,57,aa,289866,5,4
2,81,2,6,aa,290377,6,4
2,59,2,37,aa,290416,6,5
2,59,1,44,aa,290522,2,2
2,44,2,46,aa,290852,3,2
2,30,2,54,aa,290958,2,2
2,56,2,58,aa,291247,6,3
2,26,2,2,aa,291278,6,4
2,56,2,44,aa,291512,1,4
1,48,2,37,aa,291806,2,3
1,72,2,46,aa,291915,3,4
2,49,2,15,aa,291936,6,3
2,50,1,37,aa,291970,1,3
2,43,1,44,aa,292105,5,3
2,59,1,15,aa,292531,2,4
2,59,1,2,aa,292783,3,3
2,47,1,18,aa,292841,3,4
1,53,2,17,aa,295365,4,5
1,80,2,40,aa,295518,3,2
2,73,2,40,aa,295558,3,2
1,87,2,23,aa,296661,3,2
2,20,2,49,aa,296913,4,2
2,24,1,50,aa,299574,4,2
1,19,1,41,aa,300634,3,3
1,60,1,23,aa,300636,5,2
2,82,1,21,aa,300817,5,3
