EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2
80819,2,66,1,aa,61,7
84993,1,43,2,aa,23,5
85001,1,33,2,aa,31,5
85016,1,90,2,aa,20,4
85190,1,36,2,aa,53,5
85346,2,21,2,aa,23,4
85373,1,42,2,aa,53,5
85463,1,70,2,aa,31,5
85499,2,70,1,aa,23,4
85508,1,41,2,aa,9,4
85900,2,31,2,aa,60,7
86227,2,31,2,aa,37,7
86460,2,64,1,aa,52,5
86624,2,90,1,aa,46,6
87040,2,65,1,aa,46,1
87253,2,30,1,aa,9,1
87502,2,67,1,aa,46,5
89348,1,35,1,aa,10,7
92269,2,20,1,aa,7,6
92335,2,34,1,aa,47,6
92377,1,35,1,aa,53,7
92599,1,41,1,aa,47,4
92965,1,51,1,aa,53,7
92990,2,66,1,aa,53,6
92998,1,78,1,aa,47,7
93086,1,57,1,aa,2,7
93412,1,35,2,aa,63,4
93513,2,57,1,aa,53,4
93539,1,52,2,aa,47,4
93679,2,49,2,aa,21,1
93725,2,90,1,aa,37,7
93761,2,32,2,aa,4,7
93884,1,90,2,aa,53,5
94184,1,67,2,aa,39,1
94197,2,68,2,aa,21,6
94229,2,88,2,aa,46,6
94260,1,56,2,aa,11,1
94276,2,69,1,aa,46,6
94312,2,90,1,aa,46,6
94315,2,56,1,aa,46,6
94346,1,54,1,aa,46,6
94527,1,90,1,aa,29,3
94527,1,37,1,aa,53,4
94601,1,68,1,aa,46,3
94853,1,37,2,aa,63,5
94861,2,19,1,aa,61,3
94963,1,57,2,aa,29,3
95025,1,34,2,aa,46,3
95099,1,40,2,aa,46,5
95244,1,44,2,aa,29,3
95369,2,76,1,aa,46,3
95518,2,57,2,aa,46,3
95591,2,57,2,aa,46,5
95650,2,19,2,aa,5,3
95806,2,57,2,aa,29,5
95822,1,57,2,aa,5,3
95855,1,57,1,aa,5,3
95863,2,42,2,aa,46,3
96043,2,40,1,aa,46,3
96216,1,55,2,aa,57,7
98359,2,63,2,aa,54,5
98436,2,46,1,aa,32,1
98594,2,71,1,aa,9,1
98667,2,62,2,aa,14,1
98815,2,15,1,aa,9,3
98914,2,41,2,aa,2,1
99237,2,73,2,aa,4,5
99297,2,18,2,aa,52,1
100090,2,79,2,aa,14,5
101806,2,32,1,aa,25,1
101814,2,32,1,aa,56,3
101828,2,77,1,aa,25,1
101851,2,78,1,aa,59,6
101898,2,71,1,aa,49,1
102073,1,62,1,aa,33,5
102280,1,22,1,aa,39,5
103313,1,70,1,aa,23,1
103371,1,62,2,aa,10,1
103715,1,55,2,aa,38,1
103743,1,61,2,aa,24,2
103902,1,80,2,aa,4,2
104124,1,67,2,aa,48,5
104628,1,78,2,aa,48,5
104838,1,78,2,aa,62,5
105229,1,87,2,aa,15,5
105906,1,51,2,aa,20,5
106219,1,70,2,aa,52,5
106253,1,64,2,aa,18,5
106444,1,64,2,aa,24,5
106490,1,61,2,aa,6,6
107570,1,61,2,aa,9,3
107588,1,83,1,aa,0,4
107629,2,32,2,aa,13,3
107646,1,32,2,aa,0,6
107713,1,52,1,aa,20,2
107751,1,35,2,aa,50,3
107829,1,35,2,aa,38,3
107845,2,44,1,aa,35,3
107873,1,32,2,aa,23,4
112744,1,32,1,aa,53,6
113025,1,82,1,aa,50,6
113073,2,32,1,aa,50,3
113147,1,51,1,aa,23,2
113254,1,63,1,aa,23,3
113900,1,63,1,aa,52,4
114145,2,47,1,aa,51,4
114214,2,47,1,aa,9,4
114250,2,81,1,aa,51,2
114728,2,50,2,aa,3,3
114783,2,46,1,aa,57,6
114881,2,37,2,aa,19,6
114934,1,31,2,aa,12,7
115023,2,31,1,aa,35,3
117348,2,46,2,aa,15,7
117672,2,37,2,aa,50,7
117826,1,69,1,aa,55,7
118227,1,19,1,aa,55,7
118582,1,20,1,aa,55,7
118957,2,58,1,aa,37,6
118976,1,69,1,aa,19,7
118980,1,39,2,aa,36,3
119056,2,21,1,aa,34,6
119318,1,38,2,aa,27,6
119347,1,30,1,aa,21,6
119356,1,22,1,aa,3,6
119386,1,30,2,aa,48,2
119501,2,85,2,aa,56,7
119502,2,49,2,aa,51,6
119597,2,17,2,aa,20,7
119746,2,38,2,aa,57,2
119776,1,75,2,aa,10,6
119782,1,18,2,aa,51,2
125000,2,29,1,aa,38,4
125221,2,29,1,aa,8,4
125282,2,66,1,aa,20,1
125402,2,17,1,aa,22,4
125758,1,15,1,aa,63,4
125840,1,17,1,aa,3,4
125954,1,53,1,aa,23,4
125963,1,30,1,aa,52,4
126242,1,19,1,aa,8,1
126327,1,29,1,aa,35,1
126755,2,20,2,aa,52,4
126944,1,71,2,aa,54,4
127003,2,18,2,aa,15,1
127109,2,30,2,aa,37,4
127166,2,29,2,aa,27,7
127337,1,37,2,aa,27,4
127348,1,21,2,aa,15,4
127412,1,53,2,aa,7,4
127500,2,31,2,aa,24,4
127536,2,87,2,aa,13,4
127678,2,71,2,aa,7,4
127835,2,31,2,aa,24,1
127892,1,20,2,aa,9,1
127933,2,67,2,aa,24,1
127956,2,67,2,aa,27,7
129210,2,15,2,aa,53,3
129605,2,31,2,aa,34,3
129900,1,46,2,aa,3,3
129901,2,80,2,aa,54,7
130564,2,57,2,aa,34,7
130801,2,80,2,aa,49,7
130934,2,59,2,aa,21,7
131492,2,75,2,aa,0,2
131862,1,87,2,aa,49,2
132104,2,60,1,aa,51,2
132152,2,18,1,aa,46,4
132175,1,62,1,aa,49,2
132896,2,83,2,aa,4,2
132964,1,55,1,aa,46,2
132982,1,39,1,aa,0,2
132992,1,55,2,aa,20,1
137149,2,42,1,aa,2,7
138050,1,42,1,aa,56,7
138795,2,69,1,aa,23,1
138829,2,17,1,aa,50,7
139337,2,42,2,aa,27,1
139523,2,40,2,aa,30,7
139618,1,49,2,aa,57,7
139972,2,17,2,aa,29,1
140403,2,33,2,aa,29,1
143316,2,35,2,aa,29,1
145424,1,40,1,aa,33,3
145430,1,67,2,aa,50,1
145557,1,42,1,aa,10,1
145560,2,39,1,aa,56,2
145690,1,16,1,aa,0,2
146041,2,34,2,aa,28,2
146209,1,18,2,aa,50,3
146227,2,53,1,aa,46,1
146333,2,29,2,aa,0,2
146582,2,80,2,aa,34,1
146831,2,29,1,aa,0,1
146887,2,29,1,aa,21,6
146898,1,87,1,aa,26,3
146966,1,34,1,aa,33,2
147286,1,59,2,aa,56,2
147348,1,80,1,aa,48,6
148515,2,59,2,aa,24,6
148521,2,87,1,aa,48,3
148528,2,14,1,aa,25,3
148539,2,29,1,aa,32,1
148563,2,80,2,aa,58,1
148573,1,29,2,aa,12,1
148589,1,53,1,aa,51,1
148648,1,30,1,aa,24,2
148764,1,32,1,aa,32,3
148788,1,60,1,aa,51,6
148828,2,29,1,aa,18,6
148834,2,74,1,aa,27,6
148842,1,70,1,aa,3,4
148845,1,60,2,aa,2,4
148855,2,78,1,aa,48,1
148872,2,30,2,aa,58,3
148918,2,50,2,aa,58,6
148978,1,83,2,aa,44,6
148984,1,50,1,aa,31,6
153606,1,58,1,aa,0,1
153754,1,35,2,aa,30,1
153813,1,31,1,aa,33,2
154042,1,31,1,aa,45,1
154275,2,86,1,aa,12,3
154467,2,14,1,aa,58,3
154468,1,71,2,aa,3,3
154504,1,80,2,aa,33,3
154525,1,54,2,aa,14,1
154532,1,55,2,aa,35,1
154546,1,31,2,aa,35,2
154549,1,53,2,aa,16,3
154628,1,53,2,aa,58,6
154643,1,54,2,aa,30,3
154832,1,55,2,aa,33,3
154882,1,83,2,aa,18,4
154913,1,31,2,aa,33,7
155204,1,15,2,aa,0,7
155323,1,71,2,aa,42,6
155427,1,49,2,aa,29,6
155437,1,83,2,aa,5,4
155451,1,62,1,aa,3,3
155456,2,43,2,aa,43,6
155541,1,87,2,aa,3,6
155641,1,34,2,aa,17,2
155996,1,90,2,aa,57,4
156765,1,32,2,aa,2,7
156777,1,85,1,aa,35,5
156916,1,79,2,aa,47,7
157128,1,86,1,aa,35,6
157148,2,85,1,aa,2,5
157819,2,86,1,aa,12,5
158084,1,15,2,aa,56,6
158389,1,62,2,aa,16,6
158420,2,88,2,aa,33,6
158460,2,74,2,aa,44,7
158492,2,78,1,aa,43,7
158587,2,57,1,aa,48,5
158748,2,66,1,aa,29,7
159138,2,74,1,aa,15,5
159246,1,28,1,aa,33,6
159493,1,27,1,aa,33,4
161409,1,67,1,aa,43,5
162834,2,44,1,aa,7,7
162880,2,87,1,aa,24,5
163722,1,29,1,aa,35,5
163752,1,75,1,aa,7,5
164896,1,25,2,aa,63,5
164964,1,47,1,aa,27,7
164977,1,89,1,aa,60,5
165044,1,87,1,aa,62,2
165097,1,59,1,aa,63,5
165216,1,15,2,aa,26,6
165221,1,87,1,aa,27,6
165233,1,89,1,aa,17,5
165257,1,15,2,aa,24,6
165264,1,59,2,aa,9,2
165270,1,86,2,aa,53,7
165342,1,16,1,aa,19,1
165397,1,30,2,aa,29,5
165428,2,38,1,aa,41,5
165517,2,86,1,aa,63,3
165557,1,77,1,aa,28,5
165560,1,47,2,aa,42,6
165573,2,67,2,aa,26,6
165708,2,86,2,aa,29,1
165710,2,86,2,aa,28,1
165715,2,25,2,aa,63,5
165781,1,34,2,aa,53,3
165863,2,29,1,aa,60,5
165883,2,85,1,aa,55,3
169826,2,85,1,aa,61,5
170406,1,66,2,aa,41,6
171572,2,66,1,aa,55,6
171888,2,38,1,aa,14,5
172112,1,15,2,aa,47,6
172926,2,15,1,aa,55,3
173554,2,30,1,aa,22,5
173654,2,38,2,aa,53,3
173834,2,66,1,aa,53,5
176266,2,45,2,aa,22,3
176755,1,14,1,aa,44,5
178076,1,77,1,aa,55,2
178111,1,17,2,aa,22,2
178598,1,77,1,aa,17,7
178839,1,66,1,aa,10,3
179180,1,66,1,aa,28,3
179321,2,22,1,aa,43,4
179352,2,20,1,aa,47,2
179547,2,38,1,aa,52,3
180172,1,77,1,aa,52,4
180219,2,73,2,aa,60,2
182653,2,77,2,aa,28,1
182746,2,69,2,aa,15,2
182920,2,14,1,aa,61,2
183247,2,47,1,aa,47,1
183519,1,25,1,aa,42,7
184415,2,18,1,aa,53,3
184468,1,45,1,aa,14,2
184597,1,18,1,aa,14,4
184650,1,14,1,aa,44,1
188512,1,22,1,aa,45,4
189171,2,41,2,aa,13,2
193042,2,42,2,aa,53,4
193173,1,29,2,aa,46,1
193539,1,73,2,aa,52,1
194406,2,16,2,aa,62,4
196740,2,14,2,aa,25,5
197298,2,83,2,aa,62,1
197439,2,26,2,aa,26,3
197465,1,23,1,aa,41,2
197544,1,83,2,aa,26,1
197646,1,50,1,aa,41,2
198016,1,74,2,aa,62,2
198083,1,48,1,aa,18,7
198999,1,16,2,aa,0,2
199255,1,73,2,aa,33,2
199529,2,29,2,aa,1,7
199549,1,40,1,aa,1,5
199553,2,16,1,aa,33,1
201112,2,46,2,aa,18,2
201432,1,81,2,aa,30,3
202187,1,22,2,aa,26,1
202381,2,22,1,aa,35,3
202876,2,73,1,aa,19,1
203049,2,21,1,aa,19,1
203866,2,87,1,aa,33,5
204170,1,31,1,aa,2,3
204314,1,45,1,aa,43,2
204858,1,82,2,aa,47,3
204887,1,54,2,aa,35,5
205103,1,24,2,aa,47,3
205751,1,24,2,aa,42,6
205785,2,49,2,aa,53,5
205951,2,82,2,aa,24,6
207465,2,34,2,aa,61,5
207793,2,60,2,aa,2,5
208162,1,56,1,aa,2,5
208526,2,56,1,aa,52,5
208764,2,56,1,aa,48,6
211134,1,14,1,aa,19,5
211173,2,79,1,aa,3,5
211478,2,80,1,aa,40,1
211495,2,81,2,aa,33,6
211503,1,78,1,aa,2,6
211764,1,78,1,aa,42,7
211769,1,81,1,aa,17,7
211811,1,79,2,aa,24,6
212276,1,81,2,aa,63,1
212357,1,20,2,aa,42,1
212373,2,20,2,aa,33,7
212395,1,61,2,aa,17,6
212631,1,48,2,aa,0,7
213030,2,66,1,aa,3,7
213189,1,66,1,aa,48,7
213559,1,72,1,aa,19,7
213736,2,79,1,aa,42,5
214063,1,73,1,aa,2,2
214099,1,55,1,aa,40,7
214147,2,79,1,aa,0,7
214244,2,40,1,aa,18,7
214728,1,60,1,aa,30,5
216024,1,48,1,aa,42,2
216211,1,33,1,aa,50,4
216445,1,39,1,aa,60,4
216588,2,44,1,aa,18,5
216761,1,20,1,aa,42,6
216854,2,49,1,aa,52,4
221228,2,62,2,aa,18,4
221394,2,26,2,aa,50,4
221467,1,50,2,aa,27,6
222824,2,51,1,aa,18,6
223297,2,65,1,aa,44,4
223315,2,18,1,aa,56,4
223364,2,67,2,aa,56,4
223430,1,20,1,aa,56,4
224248,1,64,1,aa,1,4
226320,1,64,1,aa,3,6
226541,1,84,1,aa,57,2
226668,2,31,1,aa,47,2
226771,2,36,2,aa,5,2
226876,2,17,2,aa,47,6
226888,2,84,2,aa,47,6
226918,2,65,2,aa,44,6
227241,1,22,2,aa,56,5
227285,2,64,2,aa,57,6
227294,2,31,2,aa,43,6
227315,1,16,2,aa,44,6
229445,2,83,1,aa,3,2
229601,1,22,1,aa,55,7
229605,2,22,1,aa,53,3
229711,2,22,1,aa,56,1
229945,2,87,1,aa,39,2
230207,2,19,1,aa,2,7
230226,2,65,1,aa,39,2
230529,2,42,1,aa,48,6
230566,1,81,1,aa,56,3
230720,1,81,1,aa,30,3
231256,2,81,1,aa,56,6
231310,1,65,1,aa,36,4
231689,1,82,1,aa,0,1
232090,1,49,1,aa,29,7
233605,1,66,1,aa,24,1
234129,1,63,1,aa,16,6
234219,1,53,1,aa,29,3
234568,2,60,2,aa,57,3
234977,2,20,2,aa,54,6
235133,1,64,2,aa,57,7
235204,1,59,2,aa,37,7
235327,2,44,2,aa,57,1
235487,2,44,2,aa,16,3
235494,1,84,2,aa,29,5
235864,2,32,2,aa,7,3
236749,2,32,2,aa,57,3
236985,1,20,2,aa,57,3
237055,2,20,2,aa,34,4
237385,2,37,2,aa,57,5
240671,2,86,1,aa,56,6
240704,2,86,2,aa,17,1
240773,2,86,2,aa,56,5
240779,1,64,2,aa,48,4
241001,2,41,2,aa,16,6
241090,2,54,1,aa,17,5
241091,1,54,1,aa,2,2
241126,2,64,2,aa,29,5
241945,2,53,2,aa,16,1
242520,2,46,1,aa,35,7
243029,1,46,2,aa,57,2
243307,2,35,1,aa,32,5
243753,1,60,1,aa,57,5
244578,1,16,1,aa,32,1
244609,1,16,1,aa,35,2
245000,1,15,2,aa,57,7
246559,1,59,2,aa,51,6
247242,1,62,1,aa,51,5
247428,2,40,1,aa,54,2
248623,2,36,2,aa,29,7
249863,2,44,2,aa,14,2
250000,2,44,1,aa,14,4
250078,2,60,1,aa,14,1
250099,2,36,2,aa,50,2
250144,1,59,1,aa,14,1
250222,2,59,2,aa,30,3
250560,2,20,1,aa,35,3
250625,1,36,1,aa,36,3
250708,2,45,2,aa,14,2
250714,1,49,1,aa,35,3
250809,1,50,1,aa,51,6
250815,2,49,1,aa,32,6
251188,2,49,1,aa,14,6
251361,1,18,1,aa,14,1
251369,2,18,2,aa,14,6
251593,2,49,2,aa,14,3
251690,1,49,2,aa,36,6
251853,1,81,2,aa,14,1
251889,2,81,1,aa,51,1
254342,2,81,2,aa,14,3
254817,2,19,1,aa,4,3
255197,2,35,2,aa,14,3
255284,2,63,2,aa,14,3
255605,1,37,2,aa,31,4
255831,1,47,2,aa,14,2
258096,2,47,1,aa,24,3
258232,1,18,2,aa,1,5
258287,1,37,1,aa,32,3
258682,1,37,2,aa,19,6
259074,1,37,2,aa,32,5
259094,1,37,2,aa,39,5
259149,2,42,2,aa,14,4
259612,2,84,1,aa,14,4
259613,1,84,2,aa,14,5
259704,2,51,2,aa,34,6
259806,1,40,2,aa,17,6
260002,1,47,2,aa,14,1
262426,1,29,1,aa,29,7
262730,1,15,2,aa,15,6
262761,1,87,1,aa,1,3
262845,1,15,2,aa,3,7
262889,1,73,1,aa,3,3
262904,1,50,2,aa,21,1
262922,2,87,2,aa,15,3
262945,2,74,2,aa,1,1
262971,2,74,2,aa,15,6
263119,1,73,1,aa,22,7
263156,2,74,2,aa,22,1
265258,2,83,2,aa,0,5
265336,2,75,2,aa,19,6
265338,1,31,1,aa,31,1
265352,1,65,2,aa,14,6
265455,2,64,2,aa,22,7
265488,2,36,2,aa,58,6
265532,2,41,1,aa,14,1
265748,1,64,1,aa,14,1
265790,2,78,1,aa,1,7
265999,1,65,1,aa,17,7
266202,2,65,1,aa,1,7
266340,1,78,1,aa,14,5
266699,2,16,1,aa,56,3
267374,2,14,1,aa,57,7
267609,2,47,1,aa,54,1
268131,2,15,2,aa,6,5
268345,1,64,2,aa,58,5
268474,1,15,2,aa,10,3
268544,1,67,2,aa,44,7
268571,1,67,2,aa,59,1
268749,1,67,2,aa,56,3
268830,1,67,2,aa,44,3
268927,1,44,1,aa,56,7
269256,1,76,2,aa,30,5
269408,1,67,2,aa,22,1
269668,1,81,2,aa,6,3
269827,1,83,2,aa,48,7
269864,1,46,1,aa,10,3
269891,1,66,2,aa,56,3
270035,1,83,2,aa,48,3
270117,2,50,1,aa,44,3
270160,2,90,2,aa,30,3
270175,2,54,2,aa,17,3
270298,2,83,1,aa,55,7
270542,2,18,2,aa,37,7
270578,2,14,2,aa,54,2
270845,2,35,2,aa,39,5
271210,2,86,2,aa,39,1
275276,2,83,2,aa,19,2
275390,2,50,2,aa,28,4
278908,1,14,2,aa,2,4
280581,2,16,2,aa,37,4
280678,2,59,2,aa,11,4
280680,2,44,2,aa,57,4
280727,2,59,2,aa,13,5
281411,2,19,1,aa,45,2
281755,1,59,1,aa,13,5
281971,2,59,1,aa,18,5
282179,2,82,1,aa,57,6
282745,2,86,1,aa,18,4
282941,2,57,1,aa,18,1
283321,1,75,1,aa,6,3
283416,1,39,1,aa,18,4
283480,1,86,1,aa,6,4
283512,1,32,1,aa,30,3
283650,1,39,1,aa,31,4
283754,1,57,1,aa,52,6
283770,1,59,1,aa,22,2
283971,1,75,1,aa,31,3
284004,1,56,1,aa,29,4
284177,2,59,1,aa,58,6
284199,2,30,1,aa,30,5
284217,2,56,1,aa,29,6
284628,2,28,2,aa,30,4
284646,2,30,2,aa,29,4
287357,2,89,2,aa,0,3
287443,2,73,2,aa,1,3
288261,1,24,2,aa,44,5
288329,2,54,1,aa,37,1
288533,2,48,2,aa,44,5
289196,2,80,2,aa,44,2
289474,1,50,2,aa,13,6
290617,2,78,2,aa,44,6
290855,2,37,2,aa,23,2
290910,2,87,2,aa,4,2
291018,2,59,2,aa,0,3
291320,1,26,2,aa,15,1
291436,1,80,2,aa,58,6
291741,2,42,2,aa,29,1
291930,2,48,1,aa,4,2
292001,2,28,1,aa,37,1
292086,2,59,1,aa,46,5
292153,2,53,1,aa,11,2
292490,2,87,1,aa,4,2
292569,1,83,2,aa,58,6
292848,1,59,2,aa,52,4
295496,1,71,2,aa,19,4
295719,1,90,1,aa,23,5
299261,2,57,2,aa,35,3
299313,1,56,2,aa,33,4
299656,2,59,1,aa,41,4
300342,2,71,1,aa,34,5
301884,1,57,1,aa,21,3
302831,2,42,1,aa,23,4
302885,2,42,1,aa,34,4
303271,2,70,1,aa,61,3
303898,2,46,1,aa,23,4
303937,2,62,1,aa,27,3
304881,2,42,1,aa,61,3
305613,1,45,1,aa,61,5
305693,1,80,2,aa,55,2
306905,1,24,1,aa,27,3
307711,2,70,2,aa,13,5
308410,2,21,2,aa,50,3
308574,1,41,1,aa,14,4
308895,2,49,1,aa,17,4
309072,1,46,2,aa,62,4
310421,2,19,2,aa,36,5
310634,2,30,1,aa,36,4
310878,1,69,1,aa,53,2
310943,1,69,1,aa,39,6
311018,1,41,2,aa,36,6
311127,1,69,1,aa,9,6
311216,2,69,2,aa,39,3
311388,2,81,2,aa,35,6
311515,1,21,2,aa,35,6
311533,1,85,1,aa,29,7
311566,1,78,1,aa,53,6
311570,2,78,2,aa,38,5
311651,2,27,1,aa,63,5
314488,2,25,1,aa,20,6
314534,1,49,1,aa,49,6
315025,2,78,1,aa,48,2
315037,2,87,1,aa,22,6
315247,2,36,1,aa,63,2
315521,2,36,1,aa,51,1
315717,1,39,1,aa,27,5
316106,2,39,1,aa,41,2
316219,2,30,2,aa,23,2
316258,2,14,2,aa,29,5
316542,2,17,2,aa,41,6
316561,2,39,2,aa,25,6
316906,2,54,2,aa,27,6
317038,2,39,2,aa,12,6
317158,2,20,2,aa,23,6
317227,2,39,2,aa,9,6
317407,1,39,2,aa,29,6
318127,2,20,2,aa,14,6
318940,1,89,2,aa,28,6
319389,1,38,2,aa,14,5
322708,1,38,2,aa,28,5
322784,1,20,2,aa,62,6
322843,1,47,2,aa,50,5
322847,1,38,2,aa,10,6
322860,1,14,1,aa,62,2
322951,1,18,2,aa,36,2
322963,1,63,1,aa,42,1
323122,1,83,1,aa,61,6
323194,1,39,1,aa,62,1
323257,1,87,1,aa,42,5
323306,1,78,1,aa,42,2
323340,1,39,1,aa,28,3
323516,2,81,2,aa,18,7
323602,1,14,1,aa,63,2
323634,1,31,1,aa,63,1
323787,2,49,1,aa,28,7
323823,2,56,1,aa,15,1
323836,1,24,1,aa,43,2
323852,2,81,1,aa,39,2
323966,2,50,2,aa,62,1
324054,2,20,2,aa,43,3
324088,1,76,2,aa,28,7
324158,1,60,2,aa,37,3
324209,1,77,2,aa,32,3
324293,1,39,2,aa,50,3
324296,1,77,2,aa,37,3
324344,1,60,1,aa,33,3
324387,1,59,1,aa,43,1
324433,1,50,2,aa,61,2
324485,2,62,1,aa,39,2
328660,2,75,1,aa,57,2
329325,2,76,1,aa,23,2
333634,1,21,1,aa,20,2
334137,1,84,2,aa,23,4
334228,2,56,2,aa,42,3
334286,1,47,2,aa,57,4
334581,2,31,1,aa,5,3
334589,1,64,2,aa,42,5
334595,1,29,2,aa,4,5
334867,2,71,2,aa,26,6
336057,2,61,2,aa,14,6
336309,1,62,2,aa,5,5
336337,2,51,2,aa,33,6
339997,2,31,2,aa,40,6
340430,2,54,2,aa,1,4
340795,2,86,2,aa,35,4
341097,1,29,2,aa,52,6
341509,1,75,1,aa,26,5
342215,1,51,1,aa,23,6
342477,2,47,2,aa,23,4
343228,1,75,1,aa,5,5
