EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,LEISTUNGSGRUPPE,TAETIGKEITSSCHLUESSEL5
114934,1,31,2,aa,12,7,2,1
115023,2,31,1,aa,35,3,3,1
117348,2,46,2,aa,15,7,3,1
117672,2,37,2,aa,50,7,2,1
117826,1,69,1,aa,55,7,5,4
118227,1,19,1,aa,55,7,5,4
118582,1,20,1,aa,55,7,3,4
118957,2,58,1,aa,37,6,5,4
118976,1,69,1,aa,19,7,4,4
118980,1,39,2,aa,36,3,5,4
119056,2,21,1,aa,34,6,5,4
119318,1,38,2,aa,27,6,5,2
119347,1,30,1,aa,21,6,5,2
119356,1,22,1,aa,3,6,4,3
119386,1,30,2,aa,48,2,2,3
119501,2,85,2,aa,56,7,2,2
119502,2,49,2,aa,51,6,5,2
119597,2,17,2,aa,20,7,5,3
119746,2,38,2,aa,57,2,2,2
119776,1,75,2,aa,10,6,2,1
119782,1,18,2,aa,51,2,2,1
125000,2,29,1,aa,38,4,4,2
125221,2,29,1,aa,8,4,4,2
125282,2,66,1,aa,20,1,4,2
125402,2,17,1,aa,22,4,4,2
125758,1,15,1,aa,63,4,2,1
125840,1,17,1,aa,3,4,2,2
125954,1,53,1,aa,23,4,2,2
125963,1,30,1,aa,52,4,4,2
126242,1,19,1,aa,8,1,4,3
126327,1,29,1,aa,35,1,2,4
126755,2,20,2,aa,52,4,4,4
126944,1,71,2,aa,54,4,2,4
127003,2,18,2,aa,15,1,3,4
127109,2,30,2,aa,37,4,1,3
127166,2,29,2,aa,27,7,3,4
127337,1,37,2,aa,27,4,3,4
127348,1,21,2,aa,15,4,3,4
127412,1,53,2,aa,7,4,3,4
127500,2,31,2,aa,24,4,3,4
127536,2,87,2,aa,13,4,4,4
127678,2,71,2,aa,7,4,4,4
127835,2,31,2,aa,24,1,2,1
127892,1,20,2,aa,9,1,2,4
127933,2,67,2,aa,24,1,2,1
127956,2,67,2,aa,27,7,3,1
129210,2,15,2,aa,53,3,1,1
129605,2,31,2,aa,34,3,3,1
129900,1,46,2,aa,3,3,1,1
129901,2,80,2,aa,54,7,1,1
130564,2,57,2,aa,34,7,1,1
130801,2,80,2,aa,49,7,1,1
130934,2,59,2,aa,21,7,1,3
131492,2,75,2,aa,0,2,2,4
131862,1,87,2,aa,49,2,1,4
132104,2,60,1,aa,51,2,1,1
132152,2,18,1,aa,46,4,2,4
132175,1,62,1,aa,49,2,2,4
132896,2,83,2,aa,4,2,2,4
132964,1,55,1,aa,46,2,1,3
132982,1,39,1,aa,0,2,1,4
132992,1,55,2,aa,20,1,1,1
137149,2,42,1,aa,2,7,1,1
138050,1,42,1,aa,56,7,1,3
138795,2,69,1,aa,23,1,2,4
138829,2,17,1,aa,50,7,2,1
139337,2,42,2,aa,27,1,1,3
139523,2,40,2,aa,30,7,4,2
139618,1,49,2,aa,57,7,4,2
139972,2,17,2,aa,29,1,4,2
140403,2,33,2,aa,29,1,4,2
143316,2,35,2,aa,29,1,4,2
145424,1,40,1,aa,33,3,1,2
145430,1,67,2,aa,50,1,4,1
145557,1,42,1,aa,10,1,4,1
145560,2,39,1,aa,56,2,4,1
145690,1,16,1,aa,0,2,4,2
146041,2,34,2,aa,28,2,4,2
146209,1,18,2,aa,50,3,4,1
146227,2,53,1,aa,46,1,2,1
146333,2,29,2,aa,0,2,4,2
146582,2,80,2,aa,34,1,4,2
146831,2,29,1,aa,0,1,4,2
146887,2,29,1,aa,21,6,5,3
146898,1,87,1,aa,26,3,5,3
146966,1,34,1,aa,33,2,5,1
147286,1,59,2,aa,56,2,1,1
147348,1,80,1,aa,48,6,5,3
148515,2,59,2,aa,24,6,5,3
148521,2,87,1,aa,48,3,4,3
148528,2,14,1,aa,25,3,5,1
148539,2,29,1,aa,32,1,1,1
148563,2,80,2,aa,58,1,1,1
148573,1,29,2,aa,12,1,5,1
148589,1,53,1,aa,51,1,2,3
148648,1,30,1,aa,24,2,2,3
148764,1,32,1,aa,32,3,2,3
148788,1,60,1,aa,51,6,5,4
148828,2,29,1,aa,18,6,5,3
148834,2,74,1,aa,27,6,5,3
148842,1,70,1,aa,3,4,5,3
148845,1,60,2,aa,2,4,5,4
148855,2,78,1,aa,48,1,5,4
148872,2,30,2,aa,58,3,1,3
148918,2,50,2,aa,58,6,1,3
148978,1,83,2,aa,44,6,1,3
148984,1,50,1,aa,31,6,5,4
153606,1,58,1,aa,0,1,5,3
153754,1,35,2,aa,30,1,5,3
153813,1,31,1,aa,33,2,5,4
154042,1,31,1,aa,45,1,3,4
154275,2,86,1,aa,12,3,2,4
154467,2,14,1,aa,58,3,1,4
154468,1,71,2,aa,3,3,4,4
154504,1,80,2,aa,33,3,4,4
154525,1,54,2,aa,14,1,1,3
154532,1,55,2,aa,35,1,3,3
154546,1,31,2,aa,35,2,3,3
154549,1,53,2,aa,16,3,2,1
154628,1,53,2,aa,58,6,1,1
154643,1,54,2,aa,30,3,4,2
154832,1,55,2,aa,33,3,3,1
154882,1,83,2,aa,18,4,3,1
154913,1,31,2,aa,33,7,3,1
155204,1,15,2,aa,0,7,3,4
155323,1,71,2,aa,42,6,3,4
155427,1,49,2,aa,29,6,4,1
155437,1,83,2,aa,5,4,3,1
155451,1,62,1,aa,3,3,3,1
155456,2,43,2,aa,43,6,3,1
155541,1,87,2,aa,3,6,4,1
155641,1,34,2,aa,17,2,3,2
155996,1,90,2,aa,57,4,4,2
156765,1,32,2,aa,2,7,2,2
156777,1,85,1,aa,35,5,1,2
156916,1,79,2,aa,47,7,1,1
157128,1,86,1,aa,35,6,1,2
157148,2,85,1,aa,2,5,4,4
157819,2,86,1,aa,12,5,4,1
158084,1,15,2,aa,56,6,1,1
158389,1,62,2,aa,16,6,1,1
158420,2,88,2,aa,33,6,4,1
158460,2,74,2,aa,44,7,2,1
158492,2,78,1,aa,43,7,1,1
158587,2,57,1,aa,48,5,1,1
158748,2,66,1,aa,29,7,1,1
159138,2,74,1,aa,15,5,1,1
159246,1,28,1,aa,33,6,2,1
159493,1,27,1,aa,33,4,2,4
161409,1,67,1,aa,43,5,1,4
162834,2,44,1,aa,7,7,1,4
162880,2,87,1,aa,24,5,1,4
163722,1,29,1,aa,35,5,1,4
163752,1,75,1,aa,7,5,2,4
164896,1,25,2,aa,63,5,1,3
164964,1,47,1,aa,27,7,4,3
164977,1,89,1,aa,60,5,2,3
165044,1,87,1,aa,62,2,5,3
165097,1,59,1,aa,63,5,1,3
165216,1,15,2,aa,26,6,5,4
165221,1,87,1,aa,27,6,2,3
165233,1,89,1,aa,17,5,2,3
165257,1,15,2,aa,24,6,2,4
165264,1,59,2,aa,9,2,2,3
165270,1,86,2,aa,53,7,1,4
165342,1,16,1,aa,19,1,3,3
165397,1,30,2,aa,29,5,4,3
165428,2,38,1,aa,41,5,2,4
165517,2,86,1,aa,63,3,1,3
165557,1,77,1,aa,28,5,3,4
165560,1,47,2,aa,42,6,5,1
165573,2,67,2,aa,26,6,5,1
165708,2,86,2,aa,29,1,5,1
165710,2,86,2,aa,28,1,2,4
165715,2,25,2,aa,63,5,1,2
165781,1,34,2,aa,53,3,2,1
165863,2,29,1,aa,60,5,3,4
165883,2,85,1,aa,55,3,4,2
169826,2,85,1,aa,61,5,5,1
170406,1,66,2,aa,41,6,1,1
171572,2,66,1,aa,55,6,1,4
171888,2,38,1,aa,14,5,1,1
172112,1,15,2,aa,47,6,1,1
172926,2,15,1,aa,55,3,1,2
173554,2,30,1,aa,22,5,4,4
173654,2,38,2,aa,53,3,4,2
173834,2,66,1,aa,53,5,4,2
176266,2,45,2,aa,22,3,4,1
176755,1,14,1,aa,44,5,4,1
178076,1,77,1,aa,55,2,4,4
178111,1,17,2,aa,22,2,3,4
178598,1,77,1,aa,17,7,1,3
178839,1,66,1,aa,10,3,3,1
179180,1,66,1,aa,28,3,5,3
179321,2,22,1,aa,43,4,4,4
179352,2,20,1,aa,47,2,1,3
179547,2,38,1,aa,52,3,3,4
180172,1,77,1,aa,52,4,5,4
180219,2,73,2,aa,60,2,1,3
182653,2,77,2,aa,28,1,5,4
182746,2,69,2,aa,15,2,1,3
182920,2,14,1,aa,61,2,1,4
183247,2,47,1,aa,47,1,1,3
183519,1,25,1,aa,42,7,5,4
184415,2,18,1,aa,53,3,3,2
184468,1,45,1,aa,14,2,3,2
184597,1,18,1,aa,14,4,5,2
184650,1,14,1,aa,44,1,5,2
188512,1,22,1,aa,45,4,5,2
189171,2,41,2,aa,13,2,3,2
193042,2,42,2,aa,53,4,5,2
193173,1,29,2,aa,46,1,3,1
193539,1,73,2,aa,52,1,5,2
194406,2,16,2,aa,62,4,4,1
196740,2,14,2,aa,25,5,2,4
197298,2,83,2,aa,62,1,3,2
197439,2,26,2,aa,26,3,4,2
197465,1,23,1,aa,41,2,5,4
197544,1,83,2,aa,26,1,3,2
197646,1,50,1,aa,41,2,3,2
198016,1,74,2,aa,62,2,4,2
198083,1,48,1,aa,18,7,5,2
198999,1,16,2,aa,0,2,4,4
199255,1,73,2,aa,33,2,4,2
199529,2,29,2,aa,1,7,4,3
199549,1,40,1,aa,1,5,5,2
199553,2,16,1,aa,33,1,4,2
201112,2,46,2,aa,18,2,2,3
201432,1,81,2,aa,30,3,4,3
202187,1,22,2,aa,26,1,4,4
202381,2,22,1,aa,35,3,3,4
202876,2,73,1,aa,19,1,3,3
203049,2,21,1,aa,19,1,4,4
203866,2,87,1,aa,33,5,5,3
204170,1,31,1,aa,2,3,4,3
204314,1,45,1,aa,43,2,2,4
204858,1,82,2,aa,47,3,1,1
204887,1,54,2,aa,35,5,1,3
205103,1,24,2,aa,47,3,1,1
205751,1,24,2,aa,42,6,2,4
205785,2,49,2,aa,53,5,1,1
205951,2,82,2,aa,24,6,3,3
207465,2,34,2,aa,61,5,1,1
207793,2,60,2,aa,2,5,5,1
208162,1,56,1,aa,2,5,2,3
208526,2,56,1,aa,52,5,2,4
208764,2,56,1,aa,48,6,1,3
211134,1,14,1,aa,19,5,1,1
211173,2,79,1,aa,3,5,3,4
211478,2,80,1,aa,40,1,1,1
211495,2,81,2,aa,33,6,3,1
211503,1,78,1,aa,2,6,1,3
211764,1,78,1,aa,42,7,3,4
211769,1,81,1,aa,17,7,1,1
211811,1,79,2,aa,24,6,5,1
212276,1,81,2,aa,63,1,5,4
212357,1,20,2,aa,42,1,2,4
212373,2,20,2,aa,33,7,3,3
212395,1,61,2,aa,17,6,3,3
212631,1,48,2,aa,0,7,2,3
213030,2,66,1,aa,3,7,4,1
213189,1,66,1,aa,48,7,4,3
213559,1,72,1,aa,19,7,2,3
213736,2,79,1,aa,42,5,4,1
214063,1,73,1,aa,2,2,2,1
214099,1,55,1,aa,40,7,5,1
214147,2,79,1,aa,0,7,4,1
214244,2,40,1,aa,18,7,4,1
214728,1,60,1,aa,30,5,3,1
216024,1,48,1,aa,42,2,3,1
216211,1,33,1,aa,50,4,3,4
216445,1,39,1,aa,60,4,3,2
216588,2,44,1,aa,18,5,3,2
216761,1,20,1,aa,42,6,3,2
216854,2,49,1,aa,52,4,3,2
221228,2,62,2,aa,18,4,4,4
221394,2,26,2,aa,50,4,3,2
221467,1,50,2,aa,27,6,1,3
222824,2,51,1,aa,18,6,2,1
223297,2,65,1,aa,44,4,1,2
223315,2,18,1,aa,56,4,1,3
223364,2,67,2,aa,56,4,1,3
223430,1,20,1,aa,56,4,2,2
224248,1,64,1,aa,1,4,1,2
226320,1,64,1,aa,3,6,4,2
226541,1,84,1,aa,57,2,1,2
226668,2,31,1,aa,47,2,1,3
226771,2,36,2,aa,5,2,2,1
226876,2,17,2,aa,47,6,2,3
226888,2,84,2,aa,47,6,1,1
226918,2,65,2,aa,44,6,5,4
227241,1,22,2,aa,56,5,5,3
227285,2,64,2,aa,57,6,1,3
227294,2,31,2,aa,43,6,2,1
227315,1,16,2,aa,44,6,2,2
229445,2,83,1,aa,3,2,4,4
229601,1,22,1,aa,55,7,3,1
229605,2,22,1,aa,53,3,3,1
229711,2,22,1,aa,56,1,3,4
229945,2,87,1,aa,39,2,2,4
230207,2,19,1,aa,2,7,1,2
230226,2,65,1,aa,39,2,3,4
230529,2,42,1,aa,48,6,5,4
230566,1,81,1,aa,56,3,5,4
230720,1,81,1,aa,30,3,1,4
231256,2,81,1,aa,56,6,3,1
231310,1,65,1,aa,36,4,4,2
231689,1,82,1,aa,0,1,3,4
232090,1,49,1,aa,29,7,5,4
233605,1,66,1,aa,24,1,4,1
234129,1,63,1,aa,16,6,4,1
234219,1,53,1,aa,29,3,1,1
234568,2,60,2,aa,57,3,1,4
234977,2,20,2,aa,54,6,4,3
235133,1,64,2,aa,57,7,4,4
235204,1,59,2,aa,37,7,5,2
235327,2,44,2,aa,57,1,3,1
235487,2,44,2,aa,16,3,5,2
235494,1,84,2,aa,29,5,5,2
235864,2,32,2,aa,7,3,5,1
236749,2,32,2,aa,57,3,1,3
236985,1,20,2,aa,57,3,3,3
237055,2,20,2,aa,34,4,4,3
237385,2,37,2,aa,57,5,2,3
240671,2,86,1,aa,56,6,2,3
240704,2,86,2,aa,17,1,1,3
240773,2,86,2,aa,56,5,2,2
240779,1,64,2,aa,48,4,1,3
241001,2,41,2,aa,16,6,5,3
241090,2,54,1,aa,17,5,5,3
241091,1,54,1,aa,2,2,1,2
241126,2,64,2,aa,29,5,5,2
241945,2,53,2,aa,16,1,5,3
242520,2,46,1,aa,35,7,2,3
243029,1,46,2,aa,57,2,1,3
243307,2,35,1,aa,32,5,5,3
243753,1,60,1,aa,57,5,5,3
244578,1,16,1,aa,32,1,2,1
244609,1,16,1,aa,35,2,2,1
245000,1,15,2,aa,57,7,5,1
246559,1,59,2,aa,51,6,3,3
247242,1,62,1,aa,51,5,3,3
247428,2,40,1,aa,54,2,1,4
248623,2,36,2,aa,29,7,1,4
249863,2,44,2,aa,14,2,4,2
250000,2,44,1,aa,14,4,1,3
250078,2,60,1,aa,14,1,1,3
250099,2,36,2,aa,50,2,1,2
250144,1,59,1,aa,14,1,4,2
250222,2,59,2,aa,30,3,1,3
250560,2,20,1,aa,35,3,1,2
250625,1,36,1,aa,36,3,3,3
250708,2,45,2,aa,14,2,3,3
250714,1,49,1,aa,35,3,3,4
250809,1,50,1,aa,51,6,3,4
250815,2,49,1,aa,32,6,4,3
251188,2,49,1,aa,14,6,4,1
251361,1,18,1,aa,14,1,1,1
251369,2,18,2,aa,14,6,2,3
251593,2,49,2,aa,14,3,2,1
251690,1,49,2,aa,36,6,1,2
251853,1,81,2,aa,14,1,1,2
251889,2,81,1,aa,51,1,2,3
254342,2,81,2,aa,14,3,4,2
254817,2,19,1,aa,4,3,4,3
255197,2,35,2,aa,14,3,2,4
255284,2,63,2,aa,14,3,4,2
255605,1,37,2,aa,31,4,2,2
255831,1,47,2,aa,14,2,2,3
258096,2,47,1,aa,24,3,1,1
258232,1,18,2,aa,1,5,4,2
258287,1,37,1,aa,32,3,1,1
258682,1,37,2,aa,19,6,1,2
259074,1,37,2,aa,32,5,4,1
259094,1,37,2,aa,39,5,4,1
259149,2,42,2,aa,14,4,2,3
259612,2,84,1,aa,14,4,4,4
259613,1,84,2,aa,14,5,4,1
259704,2,51,2,aa,34,6,4,1
259806,1,40,2,aa,17,6,4,2
260002,1,47,2,aa,14,1,2,2
262426,1,29,1,aa,29,7,5,1
262730,1,15,2,aa,15,6,2,1
262761,1,87,1,aa,1,3,4,3
262845,1,15,2,aa,3,7,1,1
262889,1,73,1,aa,3,3,1,3
262904,1,50,2,aa,21,1,2,1
262922,2,87,2,aa,15,3,4,4
262945,2,74,2,aa,1,1,1,1
262971,2,74,2,aa,15,6,5,1
263119,1,73,1,aa,22,7,5,3
263156,2,74,2,aa,22,1,5,3
265258,2,83,2,aa,0,5,1,3
265336,2,75,2,aa,19,6,1,1
265338,1,31,1,aa,31,1,5,4
265352,1,65,2,aa,14,6,1,3
265455,2,64,2,aa,22,7,4,4
265488,2,36,2,aa,58,6,5,4
265532,2,41,1,aa,14,1,4,3
265748,1,64,1,aa,14,1,5,1
265790,2,78,1,aa,1,7,5,1
265999,1,65,1,aa,17,7,5,1
266202,2,65,1,aa,1,7,1,1
266340,1,78,1,aa,14,5,5,4
266699,2,16,1,aa,56,3,5,4
267374,2,14,1,aa,57,7,1,4
