"EF1","BOGENART","FALLNR","LEISTUNGSGRUPPE","PERSONENGRUPPE","TAETIGKEITSSCHLUESSEL1","TAETIGKEITSSCHLUESSEL2","TAETIGKEITSSCHLUESSEL3","TAETIGKEITSSCHLUESSEL4","TAETIGKEITSSCHLUESSEL5","EF3U1","EF3U2","EF4","EF5","EF6","EF7","EF8","EF9","EF10","EF11","EF12U1","EF12U2","EF14U1","EF14U2","EF15","EF16U1","EF16U2","EF17","EF18","EF19","EF20","EF21","EF22","EF23","EF24","EF25","EF26","EF27","EF28","EF29","EF33","EF34","EF35","EF36","EF37","EF38","EF39","EF40","EF41","EF42","EF43","EF44","EF45","EF46","EF47","EF48","EF49","EF50","EF52","EF53","EF55","EF57","EF58","EF59U1","EF59U3","YEAR","KEYE","B21","B23","B24","B27","B28","B29","B412","B423","B43","B52","KEYL","EF21H"
26063,1,34583,4,101,65338,9,6,1,3,3789,0,17403,568,"",2,1,3,1,1997,6,1975,4,2018,84397,4,3,4,84,211,129,31145,5153,1377,34720,2699,134,6625271,4274684,42,1,219212,854,6,50,449,"aaaaaaaa",61,41,412,4,119603,2606449,0,2736741,1622.57995605469,9,24.3500003814697,18.25,20,170900,1,2,1,2,2018,"aaaaaa","a",456,"a","aa","a","aaa",100000000,34959,489.579986572266,893.789978027344,57788,147.60663507109
63463,1,4760,2,101,91214,7,2,1,3,1791,3,40885,15,"aaa",1,1,5,1,1963,6,1985,4,2018,89374,1,5,1,8,381,88,309963,596,5555,96709,3191,329,4648432,1348315,14,2,649486,51565,5,49,967,"aaaaaaaa",14,57,941,8,201247,7590222,0,879111,1233.57995605469,49,36.3499984741211,71.25,35,10917,1,1,1,2,2018,"aaaaaa","a",402,"a","aa","a","aaa",100000000,178924,2029.57995605469,616.789978027344,18582,813.551181102362
22839,1,19660,2,101,46943,2,3,2,3,3122,6,48929,449,"aa",3,1,3,2,2002,10,1992,4,2018,71789,0,3,3,66,279,162,79928,2741,2599,43340,2988,276,6379976,279703,94,2,421643,55904,7,26,1141,"aaaaaaaa",45,29,402,5,195948,2398387,0,4977996,504.579986572266,98,13.3500003814697,75.25,16,47668,3,2,1,4,2018,"aaaaaa","a",78,"a","aa","a","aaa",100000000,178699,595.580017089844,558.789978027344,39716,286.480286738351
23376,1,16893,3,101,41471,1,5,2,1,4248,6,27984,179,"aa",3,1,3,2,1988,5,1986,4,2018,62470,3,5,1,59,248,5,292228,1694,286,60435,3372,190,3634034,852234,95,2,174431,7512,5,28,909,"aaaaaaaa",0,52,620,6,14026,4919132,0,3038851,781.580017089844,93,46.3499984741211,15.25,14,50442,3,2,4,3,2018,"aaaaaa","a",228,"a","aa","a","aaa",100000000,147773,1635.57995605469,348.790008544922,64227,1178.33870967742
47909,1,9942,1,101,36811,4,4,1,3,4380,8,91752,870,"",1,1,3,1,1936,8,2003,4,2018,19334,6,3,4,46,308,185,107551,7622,1554,43574,417,308,5317501,811088,4,2,154794,36689,7,44,514,"aaaaaaaa",27,39,149,5,84351,2790262,0,2514772,62.5800018310547,69,33.3499984741211,88.25,34,281564,3,3,1,2,2018,"aaaaaa","a",651,"a","aa","a","aaa",100000000,44581,1483.57995605469,1275.7900390625,10644,349.191558441558
64724,1,2387,2,101,2281,5,6,2,1,1199,1,81269,373,"",5,1,2,1,1932,5,1998,4,2018,81653,5,5,4,83,15,111,309388,539,6240,154633,3698,194,4645465,4263471,31,2,98084,11297,7,40,398,"aaaaaaaa",11,60,139,2,111439,5689845,0,459914,335.579986572266,77,8.35000038146973,40.25,40,213022,2,1,4,5,2018,"aaaaaa","a",643,"a","aa","a","aaa",100000000,22950,1317.57995605469,911.789978027344,70225,20625.8666666667
39331,1,30857,3,101,39608,5,2,1,3,3477,4,39060,450,"aa",2,1,1,1,1984,5,1975,4,2018,21000,4,1,1,72,321,176,354953,1637,4433,157208,1184,66,6699807,3746444,35,2,678056,15966,5,37,298,"aaaaaaaa",35,60,946,4,114013,4400644,1,4364028,945.580017089844,63,10.3500003814697,7.25,24,242046,2,2,1,3,2018,"aaaaaa","a",52,"a","aa","a","aaa",100000000,36074,656.580017089844,980.789978027344,51060,1105.77258566978
45137,1,33623,2,101,10047,8,8,1,3,1739,5,17346,437,"aa",3,1,3,2,1963,7,1981,4,2018,73191,1,3,2,74,103,30,153803,2452,1233,17083,2464,303,2330196,2759996,29,1,582993,47585,6,60,504,"aaaaaaaa",23,54,459,3,106801,647509,1,1357862,1265.57995605469,19,25.3500003814697,74.25,37,206639,1,1,4,1,2018,"aaaaaa","a",602,"a","aa","a","aaa",100000000,27049,1615.57995605469,1106.7900390625,3477,1493.23300970874
456,1,31397,2,101,1131,8,8,1,1,2953,1,10638,146,"a",2,1,4,2,1969,4,1978,4,2018,92955,3,2,4,23,201,75,350950,8018,3531,104519,2752,249,6810215,3527299,82,1,111055,22978,5,33,342,"aaaaaaaa",15,41,724,2,173763,1584149,1,4604303,1873.57995605469,99,45.3499984741211,78.25,15,139143,3,3,3,1,2018,"aaaaaa","a",474,"a","aa","a","aaa",100000000,43174,1755.57995605469,671.789978027344,472,1746.01990049751
17566,1,23975,5,101,38844,7,3,2,1,3649,2,69367,877,"",3,1,2,1,2003,1,1978,4,2018,72895,7,3,3,16,385,153,12819,2915,4935,145262,27,74,5535018,1608949,75,1,508124,49798,6,26,977,"aaaaaaaa",3,18,377,3,72629,5869438,0,621959,1103.57995605469,12,14.3500003814697,50.25,35,324497,3,3,4,1,2018,"aaaaaa","a",301,"a","aa","a","aaa",100000000,125744,1602.57995605469,1209.7900390625,28908,33.2961038961039
47587,1,17203,4,101,27552,2,5,2,3,3892,7,77211,239,"",4,1,4,2,1947,8,1969,4,2018,92252,1,5,1,24,120,38,23563,2012,4066,53668,1309,228,3297721,289716,44,1,186533,16014,6,40,362,"aaaaaaaa",16,60,523,1,127523,140259,0,3867766,909.580017089844,82,51.3499984741211,57.25,18,66332,1,2,2,1,2018,"aaaaaa","a",456,"a","aa","a","aaa",100000000,168659,1084.57995605469,572.789978027344,3454,196.358333333333
33638,1,40790,1,101,5316,7,3,2,1,2171,6,76407,738,"aaa",1,1,5,2,1988,5,1996,4,2018,72004,4,6,5,36,167,172,384473,6806,3578,88952,2420,324,4820919,5247548,63,1,247389,24803,6,30,880,"aaaaaaaa",43,17,402,7,115739,1295186,0,3824602,1813.57995605469,91,38.3499984741211,0.25,28,105237,3,3,3,1,2018,"aaaaaa","a",38,"a","aa","a","aaa",100000000,16426,1387.57995605469,1095.7900390625,37276,2302.23353293413
16624,1,15112,4,101,60439,5,9,2,1,3398,4,72464,574,"aa",4,1,3,1,1946,1,1964,4,2018,6921,7,3,1,83,191,59,85349,4638,4104,104139,1944,232,4240396,2943392,34,2,204229,6755,6,52,281,"aaaaaaaa",48,19,386,8,135604,4598170,1,4414567,2208.580078125,96,12.3500003814697,4.25,10,38354,2,2,1,4,2018,"aaaaaa","a",887,"a","aa","a","aaa",100000000,44431,274.579986572266,989.789978027344,47284,446.853403141361
59180,1,4135,1,101,87136,7,9,1,1,1193,1,42346,131,"aa",5,1,3,2,1991,12,1966,4,2018,16098,7,5,3,66,314,179,193371,3309,1978,111281,1526,115,6135326,1554231,78,2,383085,46299,7,51,1021,"aaaaaaaa",44,37,511,1,192584,6629950,0,3294047,1829.57995605469,77,11.3500003814697,27.25,31,75957,2,3,4,4,2018,"aaaaaa","a",733,"a","aa","a","aaa",100000000,105687,63.5800018310547,476.790008544922,38060,615.831210191083
54968,1,21569,5,101,27979,2,1,1,3,3105,9,93151,358,"aaaaaa",5,1,4,2,1982,5,2009,4,2018,20212,0,2,4,18,211,11,364468,4765,3726,180783,2035,349,1853782,3427341,91,2,917630,43539,5,27,739,"aaaaaaaa",25,35,549,1,24713,2016647,0,542047,1384.57995605469,68,51.3499984741211,23.25,14,320243,3,3,4,6,2018,"aaaaaa","a",646,"a","aa","a","aaa",100000000,171716,1598.57995605469,859.789978027344,20378,1727.336492891
18694,1,22131,5,101,50252,6,1,1,1,1704,9,4978,820,"",5,1,4,2,1955,5,1995,4,2018,21714,8,2,4,34,373,34,205222,5767,1668,176061,1384,251,2936824,4321921,99,1,136341,21969,7,27,1255,"aaaaaaaa",41,44,903,5,140224,2657641,1,4741189,1557.57995605469,1,30.3500003814697,30.25,5,161577,1,2,1,4,2018,"aaaaaa","a",276,"a","aa","a","aaa",100000000,9094,359.579986572266,906.789978027344,4756,550.193029490617
61738,1,40233,4,101,17165,3,5,1,3,1655,7,44844,473,"",5,1,2,1,1945,1,1964,4,2018,36625,8,6,3,20,121,109,173419,2658,7327,35120,1534,135,4792257,87579,75,1,806647,43263,4,25,93,"aaaaaaaa",40,18,790,4,26997,1790376,0,1160377,2251.580078125,75,25.3500003814697,13.25,37,166290,3,1,1,3,2018,"aaaaaa","a",921,"a","aa","a","aaa",100000000,135935,2207.580078125,856.789978027344,25154,1433.21487603306
54489,1,19590,3,101,66101,4,1,2,3,3048,5,31857,370,"",5,1,1,2,1963,11,1982,4,2018,20200,7,1,1,51,304,75,258972,7589,1971,163670,58,57,4661009,1238444,74,1,377797,50580,7,50,971,"aaaaaaaa",33,50,725,3,154347,2664272,0,173440,1732.57995605469,24,50.3499984741211,34.25,21,184359,3,1,4,4,2018,"aaaaaa","a",900,"a","aa","a","aaa",100000000,149723,1459.57995605469,295.790008544922,65134,851.881578947368
10871,1,35484,3,101,85362,3,8,2,3,1050,2,86203,843,"aaa",3,1,4,1,1971,12,1990,4,2018,14923,4,5,5,6,132,178,343141,1590,3105,158018,2891,128,635514,1042627,22,2,183179,33218,7,31,906,"aaaaaaaa",8,18,436,4,100088,3781951,0,1879243,1328.57995605469,75,44.3499984741211,57.25,18,28785,2,1,1,6,2018,"aaaaaa","a",164,"a","aa","a","aaa",100000000,33823,2238.580078125,763.789978027344,1209,2599.55303030303
67519,1,30124,4,101,55196,1,9,2,1,789,9,35771,117,"",5,1,3,2,1976,7,1981,4,2018,79632,4,2,5,20,263,41,261978,1386,3891,165111,2990,177,4602273,2658269,49,1,367838,22879,4,55,499,"aaaaaaaa",28,52,147,7,175225,7196891,0,4768360,93.5800018310547,69,42.3499984741211,58.25,19,29546,2,3,4,2,2018,"aaaaaa","a",774,"a","aa","a","aaa",100000000,7637,138.580001831055,584.789978027344,14493,996.114068441065
61194,1,1671,3,101,26745,1,9,2,3,4077,5,92840,464,"a",2,1,1,2,1996,4,2008,4,2018,81358,3,6,4,67,68,181,318898,2309,8054,173647,583,257,886731,3397695,13,1,921881,47297,4,28,697,"aaaaaaaa",29,30,225,7,182086,6856540,0,844160,479.579986572266,62,12.3500003814697,59.25,38,45146,1,3,4,5,2018,"aaaaaa","a",727,"a","aa","a","aaa",100000000,87150,2335.580078125,320.790008544922,32339,4689.67647058824
8174,1,43432,1,101,33528,6,3,2,3,3950,8,66626,1,"aaaa",3,1,5,1,1995,10,1989,4,2018,27171,7,5,3,62,192,184,36163,215,952,5578,673,245,1248374,5225975,29,1,944225,40824,5,32,1121,"aaaaaaaa",59,23,539,5,169454,3542110,0,2672077,1161.57995605469,74,10.3500003814697,15.25,36,215743,1,2,1,4,2018,"aaaaaa","a",241,"a","aa","a","aaa",100000000,113073,1746.57995605469,82.7900009155273,39632,188.348958333333
42515,1,10089,3,101,58596,7,7,1,1,3171,4,68692,585,"aa",3,1,4,1,1953,3,2012,4,2018,18334,5,2,3,50,17,122,194347,5015,6805,5842,2164,318,5964575,560752,39,1,182027,4112,5,48,801,"aaaaaaaa",9,20,392,3,195686,5376904,0,1250755,1042.57995605469,9,32.3499984741211,37.25,37,296095,3,2,4,5,2018,"aaaaaa","a",653,"a","aa","a","aaa",100000000,127959,811.580017089844,226.789993286133,22698,11432.1764705882
9211,1,37306,5,101,89442,2,9,2,3,1867,8,65840,510,"",4,1,5,1,1946,12,1977,4,2018,52625,8,6,3,52,317,162,345908,7484,4168,41076,2496,276,2436203,2929312,3,2,568829,24106,7,25,1083,"aaaaaaaa",6,59,231,8,102423,2523077,1,2405465,1316.57995605469,5,27.3500003814697,29.25,11,115330,2,1,4,3,2018,"aaaaaa","a",62,"a","aa","a","aaa",100000000,82387,700.580017089844,1170.7900390625,2979,1091.19242902208
32539,1,40007,4,101,80312,6,2,2,1,2308,9,20799,386,"aa",4,1,2,2,1945,8,1986,4,2018,7564,4,5,4,23,242,31,353962,2321,3601,24419,3576,176,7372670,3839639,45,2,324891,18478,6,45,927,"aaaaaaaa",4,21,294,5,148045,4999299,1,3931670,1283.57995605469,19,26.3500003814697,55.25,33,54443,1,3,3,1,2018,"aaaaaa","a",42,"a","aa","a","aaa",100000000,115084,2069.580078125,169.789993286133,60400,1462.65289256198
20023,1,22133,3,101,50156,8,9,2,3,1853,5,89629,232,"",1,1,4,1,1993,12,1971,4,2018,74740,6,2,5,0,101,184,201747,6574,6770,127984,322,229,557023,4717978,79,1,704778,18079,4,45,808,"aaaaaaaa",59,20,770,3,81310,3123563,1,1232080,27.5799999237061,88,9.35000038146973,96.25,28,21527,3,2,4,6,2018,"aaaaaa","a",839,"a","aa","a","aaa",100000000,27693,1317.57995605469,707.789978027344,58232,1997.49504950495
20977,1,37671,3,101,56620,4,8,1,3,451,6,36655,439,"",3,1,4,2,1984,7,1965,4,2018,10395,6,4,4,9,259,71,82841,4410,296,174931,211,194,1293029,197804,67,2,297952,51648,7,25,527,"aaaaaaaa",28,46,905,7,174155,1079126,0,2786125,2347.580078125,20,35.3499984741211,85.25,19,214086,1,3,2,4,2018,"aaaaaa","a",546,"a","aa","a","aaa",100000000,52981,1177.57995605469,1327.7900390625,61047,319.849420849421
69392,1,24314,2,101,14200,8,5,2,3,2114,3,60497,792,"",3,1,1,1,1949,10,1984,4,2018,26957,0,6,2,48,82,110,202567,2234,5768,95496,3303,129,3289148,5195054,10,2,899271,8169,4,33,21,"aaaaaaaa",17,37,360,8,58534,853480,1,4329553,104.580001831055,29,50.3499984741211,95.25,28,153124,2,3,1,5,2018,"aaaaaa","a",71,"a","aa","a","aaa",100000000,31715,623.580017089844,485.790008544922,66334,2470.32926829268
13379,1,38840,1,101,65678,3,3,2,1,2351,6,80158,7,"",1,1,5,1,1953,10,1974,4,2018,90382,2,5,2,2,317,144,98973,6583,8294,59003,934,359,1844049,2787315,92,1,614978,11336,7,57,197,"aaaaaaaa",35,42,733,5,209305,4891473,1,3937059,2206.580078125,64,22.3500003814697,86.25,35,1354,3,3,2,5,2018,"aaaaaa","a",474,"a","aa","a","aaa",100000000,132696,1300.57995605469,1059.7900390625,30686,312.217665615142
20518,1,4201,5,101,15720,3,7,1,1,3723,6,46766,735,"aaa",5,1,5,1,1968,7,2015,4,2018,79653,7,2,2,71,123,152,38666,6209,817,180215,4021,216,1326457,3994819,71,1,615336,16373,6,48,1165,"aaaaaaaa",13,51,417,7,55141,3417848,0,5008655,826.580017089844,50,14.3500003814697,87.25,29,310196,3,2,1,3,2018,"aaaaaa","a",699,"a","aa","a","aaa",100000000,100895,2205.580078125,851.789978027344,44604,314.357723577236
24035,1,7214,4,101,62190,4,6,1,3,435,2,88823,205,"aa",4,1,1,1,1940,3,1997,4,2018,20757,7,3,3,9,141,115,322153,1053,746,38687,46,76,5080387,2782147,52,2,103259,6365,7,37,928,"aaaaaaaa",58,31,423,5,35283,5323586,0,3000661,2179.580078125,90,27.3500003814697,97.25,14,293847,1,3,3,6,2018,"aaaaaa","a",72,"a","aa","a","aaa",100000000,71967,1485.57995605469,839.789978027344,48744,2284.77304964539
27061,1,3530,4,101,11063,4,8,1,3,154,8,87138,555,"aaaaaaaaaa",5,1,2,1,1980,2,1961,4,2018,11246,5,5,3,30,260,132,307406,4783,6242,49421,1412,88,4302902,3209959,47,2,225785,19841,6,51,272,"aaaaaaaa",47,18,541,3,62430,5310006,1,3172931,687.580017089844,83,11.3500003814697,72.25,13,168263,1,3,1,3,2018,"aaaaaa","a",203,"a","aa","a","aaa",100000000,67687,804.580017089844,1142.7900390625,33392,1182.33076923077
66654,1,32400,1,101,5764,9,5,1,3,1812,9,62991,517,"a",3,1,4,2,1942,9,1967,4,2018,80738,5,4,3,58,241,29,114263,574,6924,86186,1042,337,1839958,3875011,13,1,752164,7749,7,34,8,"aaaaaaaa",37,20,578,4,60458,3604162,0,993323,1839.57995605469,16,51.3499984741211,76.25,17,94902,3,3,4,2,2018,"aaaaaa","a",756,"a","aa","a","aaa",100000000,17483,1388.57995605469,840.789978027344,56765,474.120331950207
21008,1,37119,2,101,59139,7,5,1,1,25,7,33813,253,"",5,1,2,1,1988,2,1999,4,2018,63695,3,2,4,20,90,162,285244,5428,3288,151955,3554,168,674900,177761,3,1,249540,15935,7,43,40,"aaaaaaaa",3,36,434,5,23332,6419286,1,3222173,557.580017089844,30,18.3500003814697,24.25,21,110263,3,3,4,5,2018,"aaaaaa","a",797,"a","aa","a","aaa",100000000,162473,1509.57995605469,1312.7900390625,36779,3169.37777777778
3504,1,39452,1,101,84425,4,9,1,1,407,9,11377,765,"",2,1,2,2,1947,6,1964,4,2018,59989,5,1,4,22,129,107,49281,7254,8059,86855,2760,288,3846934,2998793,44,2,185024,17150,5,46,882,"aaaaaaaa",50,58,806,8,65415,4170574,1,2562979,1075.57995605469,47,42.3499984741211,11.25,27,273444,1,3,3,5,2018,"aaaaaa","a",284,"a","aa","a","aaa",100000000,55203,1475.57995605469,22.7900009155273,28141,382.023255813953
66292,1,41408,5,101,64217,4,6,1,1,1082,3,61213,486,"",1,1,5,1,1942,7,1991,4,2018,28972,6,5,5,47,42,7,29289,8416,1996,173779,4037,358,1245350,1643049,75,1,451644,41743,6,37,77,"aaaaaaaa",29,47,955,2,17346,1456026,1,2373941,1028.57995605469,87,38.3499984741211,2.25,24,206907,1,2,3,1,2018,"aaaaaa","a",785,"a","aa","a","aaa",100000000,111256,2130.580078125,987.789978027344,48058,697.357142857143
44947,1,1439,2,101,51510,3,2,1,1,62,2,88488,512,"",4,1,3,1,1982,2,1987,4,2018,33030,3,6,5,75,264,109,224201,7322,8318,68230,2663,51,5804052,4300552,50,2,337266,9861,4,52,72,"aaaaaaaa",50,52,416,5,192471,3646139,1,1021033,1258.57995605469,17,47.3499984741211,49.25,17,286760,2,2,1,5,2018,"aaaaaa","a",336,"a","aa","a","aaa",100000000,143172,98.5800018310547,869.789978027344,47725,849.246212121212
30544,1,21275,2,101,79400,3,5,2,3,303,6,42162,467,"",4,1,4,2,1929,5,2009,4,2018,12540,6,2,4,53,172,129,311556,2422,2096,32742,1297,135,2121528,5283147,73,2,465244,48634,6,51,992,"aaaaaaaa",17,39,71,7,87445,1357707,1,4722451,1884.57995605469,97,9.35000038146973,83.25,26,236486,3,3,3,2,2018,"aaaaaa","a",751,"a","aa","a","aaa",100000000,43218,908.580017089844,1128.7900390625,39390,1811.37209302326
21514,1,21031,4,101,29676,6,9,1,1,1190,0,27455,221,"a",3,1,4,1,1982,11,1972,4,2018,15021,7,1,1,6,201,56,202508,7820,222,111203,3464,128,3329997,3747473,84,2,382270,24285,4,55,665,"aaaaaaaa",30,46,12,7,15959,2588342,0,345813,1516.57995605469,15,42.3499984741211,21.25,24,47864,3,2,2,5,2018,"aaaaaa","a",313,"a","aa","a","aaa",100000000,31229,290.579986572266,1244.7900390625,16126,1007.50248756219
49116,1,8958,4,101,57074,5,1,2,1,4269,5,36753,83,"a",3,1,2,2,1972,3,1994,4,2018,50492,8,5,2,34,6,106,356808,3429,74,97206,1905,189,1368000,692899,3,1,464257,55268,6,46,976,"aaaaaaaa",56,30,434,5,98615,152738,1,4437478,313.579986572266,99,21.3500003814697,69.25,18,25170,2,2,1,4,2018,"aaaaaa","a",317,"a","aa","a","aaa",100000000,7374,2256.580078125,1122.7900390625,50969,59468
62493,1,16739,5,101,22451,2,8,1,3,418,0,32653,125,"",2,1,1,2,1952,5,1977,4,2018,31057,3,2,1,21,312,33,165585,4787,2417,143929,2031,99,6174084,815157,46,1,702670,3874,4,50,924,"aaaaaaaa",5,28,861,1,34166,7233095,1,1382495,2099.580078125,99,40.3499984741211,31.25,40,80107,2,1,2,5,2018,"aaaaaa","a",388,"a","aa","a","aaa",100000000,108462,882.580017089844,692.789978027344,21962,530.721153846154
43192,1,36685,1,101,66232,4,9,2,1,330,7,21105,598,"aa",2,1,5,1,1932,5,1973,4,2018,55744,2,4,5,55,364,150,113108,3735,8257,40934,2433,263,2179818,4935434,53,2,883340,5244,4,53,926,"aaaaaaaa",48,33,162,7,72118,6712605,1,1415401,683.580017089844,52,13.3500003814697,81.25,15,126965,3,3,1,2,2018,"aaaaaa","a",308,"a","aa","a","aaa",100000000,10663,1728.57995605469,1261.7900390625,50720,310.736263736264
42802,1,5149,5,101,71302,5,5,2,1,1906,6,56020,794,"aa",5,1,5,2,1961,4,1987,4,2018,67408,3,4,1,48,20,88,42272,2159,855,46544,3393,314,6926279,3251384,45,2,689336,12222,6,47,1153,"aaaaaaaa",14,20,357,8,26733,5046131,0,5129783,469.579986572266,44,14.3500003814697,6.25,3,174957,2,3,3,6,2018,"aaaaaa","a",51,"a","aa","a","aaa",100000000,164179,172.580001831055,630.789978027344,13093,2113.6
