"EF1","BOGENART","FALLNR","LEISTUNGSGRUPPE","PERSONENGRUPPE","TAETIGKEITSSCHLUESSEL1","TAETIGKEITSSCHLUESSEL2","TAETIGKEITSSCHLUESSEL3","TAETIGKEITSSCHLUESSEL4","TAETIGKEITSSCHLUESSEL5","EF3U1","EF3U2","EF4","EF5","EF6","EF7","EF8","EF9","EF10","EF11","EF12U1","EF12U2","EF14U1","EF14U2","EF15","EF16U1","EF16U2","EF17","EF18","EF19","EF20","EF21","EF22","EF23","EF24","EF25","EF26","EF27","EF28","EF29","EF33","EF34","EF35","EF36","EF37","EF38","EF39","EF40","EF41","EF42","EF43","EF44","EF45","EF46","EF47","EF48","EF49","EF50","EF52","EF53","EF55","EF57","EF58","EF59U1","EF59U3","YEAR","KEYE","B21","B23","B24","B27","B28","B29","B412","B423","B43","B52","KEYL","EF21H","MONTHS_OF_SERVICE"
66915,1,40413,2,634,82253,9,9,2,2,1167,6,35400,293,"",5,1,1,2,1996,6,1971,4,2018,25468,2,2,1,47,328,81,104685,3380,6114,109009,4067,209,2309244,1182394,6,1,217569,53655,7,36,641,"aaaaaaaa",18,22,572,5,187100,1080125,1,3937168,2148.580078125,23,9.35000038146973,73.25,8,92711,3,1,2,6,2018,"aaaaaa","a",469,"a","aa","a","aaa",100000000,10621,1365.57995605469,346.790008544922,32245,319.161585365854,47
26812,1,9342,1,352,34204,7,9,2,4,3285,6,93593,155,"",3,1,2,1,1990,10,1987,4,2018,30572,6,6,1,24,305,41,61385,7787,6308,88102,1152,298,3510995,67178,66,2,832094,5949,7,50,407,"aaaaaaaa",31,16,28,4,154339,6325705,0,1780582,1568.57995605469,90,18.3500003814697,70.25,2,302637,1,2,2,3,2018,"aaaaaa","a",771,"a","aa","a","aaa",100000000,165990,697.580017089844,177.789993286133,47006,201.262295081967,31
4498,1,26801,4,207,17665,2,7,1,4,2085,5,31834,419,"",1,1,4,2,1952,10,1995,4,2018,88537,3,3,3,81,36,41,323067,3086,1470,165707,3133,196,230195,5089588,51,2,538518,10169,6,34,1074,"aaaaaaaa",24,36,213,8,112648,5521070,1,578451,765.580017089844,42,50.3499984741211,89.25,20,138082,2,1,3,1,2018,"aaaaaa","a",955,"a","aa","a","aaa",100000000,176597,1518.57995605469,1055.7900390625,44754,8974.08333333333,23
12113,1,34057,1,260,91095,6,7,2,2,1764,1,51480,147,"aaaaaaaaaa",1,1,1,2,1963,12,1991,4,2018,35255,1,4,4,62,337,62,67823,3056,3841,23809,1749,299,3511223,3034258,75,2,489439,10105,6,46,370,"aaaaaaaa",41,34,295,7,142864,823553,1,29254,90.5800018310547,6,27.3500003814697,99.25,13,328104,1,1,1,2,2018,"aaaaaa","a",649,"a","aa","a","aaa",100000000,27413,1446.57995605469,554.789978027344,27803,201.255192878338,27
61127,1,2140,5,222,94332,9,6,2,1,4194,3,39486,670,"aa",2,1,4,2,1973,9,1978,4,2018,76716,0,3,4,31,377,21,1833,615,6703,115010,169,312,5892184,5036963,50,1,815847,40729,5,26,790,"aaaaaaaa",46,71,942,8,137521,4531545,1,715283,1324.57995605469,63,17.3500003814697,11.25,33,101333,1,3,3,5,2018,"aaaaaa","a",920,"a","aa","a","aaa",100000000,179018,1257.57995605469,723.789978027344,61174,4.86206896551724,40
57368,1,4244,2,696,90343,8,8,1,1,3648,5,47672,87,"a",1,1,4,1,1949,5,2018,4,2018,14906,1,2,5,71,249,59,26265,812,2368,177122,3037,261,2200124,3215252,61,2,209112,20331,5,44,963,"aaaaaaaa",28,16,583,6,99460,5902246,1,5303652,144.580001831055,85,15.3500003814697,57.25,7,243470,1,3,2,6,2018,"aaaaaa","a",902,"a","aa","a","aaa",100000000,14318,1043.57995605469,846.789978027344,42412,105.481927710843,0
22961,1,34275,1,509,31092,5,8,2,4,3339,9,4210,14,"a",2,1,4,1,1990,7,1959,4,2018,61639,1,3,4,12,240,50,127029,5313,2999,103013,2775,305,5328928,2952228,49,2,410749,45052,5,44,76,"aaaaaaaa",58,18,886,7,27334,2509451,1,3391695,67.5800018310547,44,16.3500003814697,70.25,38,301827,1,3,4,1,2018,"aaaaaa","a",408,"a","aa","a","aaa",100000000,181168,1055.57995605469,29.7900009155273,43420,529.2875,59
23509,1,1624,3,720,37097,3,4,1,4,1037,3,93252,543,"aaa",4,1,2,2,1963,9,2012,4,2018,59694,0,4,2,9,354,155,335995,7232,2605,78506,70,77,7632881,416922,66,2,978907,4968,5,39,392,"aaaaaaaa",38,33,491,3,33092,473594,1,3732521,2222.580078125,19,24.3500003814697,10.25,25,329835,1,3,2,5,2018,"aaaaaa","a",285,"a","aa","a","aaa",100000000,144206,836.580017089844,388.790008544922,22916,949.138418079096,6
63955,1,26992,4,113,1849,4,7,1,2,1082,0,14628,289,"",5,1,2,2,1971,1,1997,4,2018,54295,7,2,1,81,22,52,138910,6688,7368,33982,3115,288,3465659,4426992,16,1,706009,30001,4,31,193,"aaaaaaaa",59,40,346,2,201325,3278729,0,288996,1408.57995605469,59,27.3500003814697,19.25,32,331212,1,2,3,3,2018,"aaaaaa","a",222,"a","aa","a","aaa",100000000,141753,2336.580078125,601.789978027344,6789,6314.09090909091,21
4931,1,36996,3,328,69976,3,8,1,4,506,7,17714,87,"aa",4,1,5,1,1971,11,2001,4,2018,9503,5,5,3,55,63,26,53820,5045,1645,34791,523,358,6527609,3951903,87,1,714711,29954,4,50,617,"aaaaaaaa",5,15,312,8,34456,1728790,0,93569,1941.57995605469,48,24.3500003814697,48.25,15,140076,1,2,3,6,2018,"aaaaaa","a",738,"a","aa","a","aaa",100000000,86146,1082.57995605469,923.789978027344,55091,854.285714285714,17
14356,1,43819,1,227,43723,2,5,1,3,3689,5,42627,39,"a",1,1,5,2,1996,8,1962,4,2018,75518,7,5,2,36,151,179,336304,6242,3521,30867,1461,174,2726655,3904877,66,1,283376,2980,7,25,1293,"aaaaaaaa",56,15,690,2,44109,5988138,1,265368,531.580017089844,21,7.34999990463257,55.25,3,102511,3,1,1,4,2018,"aaaaaa","a",424,"a","aa","a","aaa",100000000,3021,182.580001831055,367.790008544922,11579,2227.17880794702,56
13929,1,35564,1,743,75784,9,8,2,4,2415,6,71277,263,"aa",5,1,4,1,1950,8,2013,4,2018,84765,2,6,4,35,300,84,264821,911,7497,156764,999,198,4475287,2576967,18,2,47537,27599,7,26,396,"aaaaaaaa",28,67,530,8,2002,7171337,0,2736512,1735.57995605469,39,22.3500003814697,6.25,6,137291,2,1,3,4,2018,"aaaaaa","a",286,"a","aa","a","aaa",100000000,35962,835.580017089844,615.789978027344,50575,882.736666666667,5
12226,1,33569,4,286,29339,5,4,2,2,1116,0,77199,175,"aaa",2,1,4,2,1928,8,1982,4,2018,33732,1,7,5,50,85,49,23481,5640,8011,94812,1865,97,3921568,4175366,36,2,854043,59972,7,31,82,"aaaaaaaa",19,19,614,8,145298,7591832,0,3188461,489.579986572266,8,23.3500003814697,44.25,19,178588,3,3,2,4,2018,"aaaaaa","a",254,"a","aa","a","aaa",100000000,36526,2290.580078125,1349.7900390625,48458,276.247058823529,36
41577,1,28464,5,230,89714,4,1,1,3,2741,2,81667,61,"a",1,1,2,2,1946,4,1962,4,2018,82015,2,6,3,82,142,142,282829,6719,4538,60746,1585,104,7041981,1903120,53,1,323418,14075,4,29,73,"aaaaaaaa",37,59,401,7,136994,4366722,1,3571612,979.580017089844,96,47.3499984741211,94.25,25,281984,3,1,1,1,2018,"aaaaaa","a",408,"a","aa","a","aaa",100000000,176472,418.579986572266,196.789993286133,35428,1991.75352112676,56
33683,1,32482,3,281,1789,2,6,2,4,1299,1,21758,745,"",4,1,5,2,2004,2,1960,4,2018,62781,8,2,4,17,346,196,378493,7548,1988,127703,2889,339,3656231,1669143,86,2,325764,51672,4,30,383,"aaaaaaaa",54,59,911,6,178388,5030249,0,4480994,1141.57995605469,3,7.34999990463257,70.25,38,224876,2,3,2,1,2018,"aaaaaa","a",512,"a","aa","a","aaa",100000000,43783,297.579986572266,1175.7900390625,50441,1093.91040462428,58
27748,1,16692,1,341,90627,9,9,1,3,355,9,83810,69,"a",2,1,5,1,1969,7,1968,4,2018,2932,8,3,3,84,277,133,229112,3395,1741,136194,3829,192,2266382,4984338,90,1,948346,55145,5,43,670,"aaaaaaaa",49,36,737,7,137118,7314262,1,3544138,1200.57995605469,79,30.3500003814697,12.25,12,194700,2,1,3,6,2018,"aaaaaa","a",651,"a","aa","a","aaa",100000000,29239,97.5800018310547,577.789978027344,12627,827.119133574007,50
20014,1,19726,5,471,34411,9,4,1,3,3122,9,66662,392,"",1,1,3,1,1960,12,1962,4,2018,77496,6,2,2,75,118,124,374712,6389,4039,65954,1688,40,1157521,3107525,38,2,824957,55875,7,38,538,"aaaaaaaa",10,52,777,1,65409,3387380,1,638596,1825.57995605469,17,8.35000038146973,22.25,14,81808,1,2,3,2,2018,"aaaaaa","a",153,"a","aa","a","aaa",100000000,166482,1432.57995605469,37.7900009155273,69814,3175.52542372881,56
51520,1,41212,5,154,3290,3,6,2,3,2098,5,54188,359,"",5,1,5,2,1949,1,2013,4,2018,20455,7,2,1,60,77,179,150248,5999,6418,36662,823,271,4274679,1282625,52,2,100110,55304,7,37,1315,"aaaaaaaa",35,84,804,7,74748,7146960,1,1719713,367.579986572266,15,4.34999990463257,20.25,28,331985,3,3,1,4,2018,"aaaaaa","a",192,"a","aa","a","aaa",100000000,1769,2336.580078125,1334.7900390625,841,1951.27272727273,5
66757,1,21053,2,664,41464,9,3,2,4,2732,8,81043,131,"aa",3,1,3,2,1975,12,2015,4,2018,83372,0,7,2,44,124,129,312344,8048,3232,78639,185,253,3325764,2906695,97,1,144832,332,5,33,668,"aaaaaaaa",26,83,230,3,196666,2183715,1,5021700,306.579986572266,92,50.3499984741211,76.25,0,296933,1,3,3,2,2018,"aaaaaa","a",261,"a","aa","a","aaa",100000000,32410,2337.580078125,1099.7900390625,44421,2518.90322580645,3
11830,1,15184,5,677,1833,5,2,2,2,3093,6,47729,220,"",1,1,3,2,2002,6,1980,4,2018,28879,5,7,4,72,49,53,13234,1376,326,63261,1505,199,848716,930859,43,1,191259,24933,4,39,1226,"aaaaaaaa",41,55,188,2,25700,4868505,0,3614772,929.580017089844,59,33.3499984741211,22.25,31,212828,2,1,4,5,2018,"aaaaaa","a",133,"a","aa","a","aaa",100000000,83599,927.580017089844,854.789978027344,24892,270.081632653061,38
10493,1,24800,2,261,62781,6,4,2,3,1390,3,78508,8,"aa",5,1,1,1,1999,12,1982,4,2018,8449,2,5,4,42,250,109,366682,7907,3111,141354,411,302,2347398,2300782,32,1,73412,40044,7,48,660,"aaaaaaaa",14,59,79,7,182312,1898053,1,4446904,1815.57995605469,90,49.3499984741211,85.25,18,70037,3,2,1,4,2018,"aaaaaa","a",36,"a","aa","a","aaa",100000000,100567,353.579986572266,846.789978027344,18781,1466.728,36
4712,1,11925,5,347,93564,6,2,1,1,1885,6,70794,572,"aaa",4,1,1,1,1943,11,1991,4,2018,23857,3,2,2,68,374,164,24431,4846,327,111623,2918,356,2082642,4115717,76,2,246448,12106,6,46,1105,"aaaaaaaa",30,86,375,1,154652,5199115,0,5277707,1964.57995605469,78,33.3499984741211,12.25,1,215636,1,2,4,4,2018,"aaaaaa","a",224,"a","aa","a","aaa",100000000,92780,741.580017089844,674.789978027344,48099,65.3235294117647,27
44804,1,15631,3,658,55006,1,8,2,2,2066,3,21613,68,"aaa",3,1,1,2,1961,9,1964,4,2018,71284,6,4,2,60,290,48,283694,497,2879,3201,3789,275,436735,1885627,1,1,175595,26898,7,58,206,"aaaaaaaa",45,18,192,2,89543,225005,1,690978,905.580017089844,47,41.3499984741211,18.25,25,122649,2,1,3,1,2018,"aaaaaa","a",810,"a","aa","a","aaa",100000000,117967,785.580017089844,1195.7900390625,11596,978.255172413793,54
34994,1,29469,5,643,94088,9,9,1,4,1122,0,4720,688,"",2,1,3,2,1947,10,1995,4,2018,31760,1,4,3,21,373,94,126281,3631,6830,62315,2287,131,3243939,2850944,63,1,889316,8002,6,46,921,"aaaaaaaa",30,59,567,7,137432,5268080,1,713588,311.579986572266,66,32.3499984741211,39.25,26,231699,2,1,2,4,2018,"aaaaaa","a",548,"a","aa","a","aaa",100000000,11084,1857.57995605469,1233.7900390625,7611,338.554959785523,23
55227,1,43407,2,496,93638,5,5,1,3,3144,2,10736,39,"aa",1,1,2,1,1981,1,1988,4,2018,10727,3,3,4,35,273,79,179143,5646,392,108286,1789,311,1329084,2967732,19,2,689213,44386,4,35,1213,"aaaaaaaa",63,79,186,3,36766,4098782,1,4310905,2309.580078125,80,40.3499984741211,57.25,11,118020,3,1,1,2,2018,"aaaaaa","a",701,"a","aa","a","aaa",100000000,149784,1565.57995605469,1201.7900390625,46291,656.201465201465,30
60760,1,41528,4,130,34596,7,9,1,4,796,5,32637,5,"aaa",2,1,1,2,1977,10,1972,4,2018,32521,3,7,3,72,215,14,345054,7282,1633,178891,1791,113,4758196,2061103,47,1,391101,47090,5,25,1316,"aaaaaaaa",28,20,896,2,31554,627650,1,1267348,1665.57995605469,97,20.3500003814697,31.25,9,38462,2,3,1,6,2018,"aaaaaa","a",686,"a","aa","a","aaa",100000000,172557,118.580001831055,1013.78997802734,63001,1604.9023255814,46
26875,1,29736,4,536,73842,4,2,2,1,445,0,78028,840,"",3,1,4,2,1951,3,2018,4,2018,37509,5,3,3,71,118,47,265558,4583,5422,46239,1811,205,5007122,4279392,93,2,649726,50608,7,55,698,"aaaaaaaa",36,29,132,2,120759,7392783,0,3376373,508.579986572266,61,15.3500003814697,88.25,3,52529,2,2,1,3,2018,"aaaaaa","a",246,"a","aa","a","aaa",100000000,68064,2060.580078125,870.789978027344,56676,2250.49152542373,0
12603,1,17966,2,387,47921,2,6,2,1,605,6,54875,411,"a",2,1,1,1,1981,8,1964,4,2018,61031,3,5,5,21,5,54,250589,7482,651,106743,2765,148,1703,4741371,16,2,799527,40490,7,34,70,"aaaaaaaa",55,89,655,7,74141,1454566,1,5152579,1149.57995605469,41,12.3500003814697,55.25,7,57997,1,2,1,5,2018,"aaaaaa","a",42,"a","aa","a","aaa",100000000,16569,1004.58001708984,834.789978027344,15333,50117.8,54
52606,1,4056,1,121,27630,6,8,1,1,2397,6,33849,866,"aa",5,1,1,2,1983,6,1995,4,2018,25294,1,5,1,53,20,7,69155,546,7829,73299,2421,73,4338608,4954008,35,2,701861,3104,4,39,779,"aaaaaaaa",28,45,778,1,209620,1494290,0,5106075,2302.580078125,99,33.3499984741211,67.25,13,166040,2,1,4,2,2018,"aaaaaa","a",313,"a","aa","a","aaa",100000000,32867,1068.57995605469,670.789978027344,52548,3457.75,23
40137,1,40802,4,215,14620,9,6,1,3,2928,1,69605,41,"aaa",3,1,4,1,1975,8,1965,4,2018,48596,3,6,1,61,129,95,144134,4611,1635,164497,768,214,6244864,3753532,73,2,496993,29184,6,49,1341,"aaaaaaaa",32,40,850,3,120043,1198121,1,129116,515.580017089844,75,35.3499984741211,15.25,3,250027,1,1,2,4,2018,"aaaaaa","a",636,"a","aa","a","aaa",100000000,40471,2262.580078125,75.7900009155273,6750,1117.31782945736,53
14855,1,42652,5,676,84743,9,2,2,2,3272,6,26821,311,"",5,1,5,2,1949,8,1970,4,2018,84167,5,1,1,13,193,110,87403,4290,3349,128656,3919,340,755420,4220936,68,1,610095,48128,6,43,96,"aaaaaaaa",14,77,519,8,24703,2809789,0,1260705,776.580017089844,58,24.3500003814697,84.25,20,101068,3,1,2,2,2018,"aaaaaa","a",314,"a","aa","a","aaa",100000000,179030,1061.57995605469,485.790008544922,61243,452.865284974093,48
4799,1,28063,3,365,67230,1,3,1,3,2883,6,36635,218,"",4,1,3,2,1990,3,1997,4,2018,26626,3,4,5,60,324,3,182056,2531,4999,55,2757,336,7588123,289056,63,1,168094,27775,4,44,778,"aaaaaaaa",55,18,37,6,13068,864910,0,3754506,158.580001831055,18,30.3500003814697,74.25,18,241965,3,3,1,2,2018,"aaaaaa","a",958,"a","aa","a","aaa",100000000,25914,281.579986572266,7.78999996185303,18776,561.901234567901,21
39440,1,16399,5,336,23069,1,7,2,2,3768,5,36398,203,"aa",1,1,1,2,1974,12,1956,4,2018,39034,0,7,2,45,194,45,292837,3269,659,96076,3986,205,4413249,1420314,8,2,439910,3589,5,29,1261,"aaaaaaaa",51,22,900,1,148709,1295462,0,1490976,908.580017089844,41,15.3500003814697,70.25,6,328832,2,3,2,2,2018,"aaaaaa","a",721,"a","aa","a","aaa",100000000,39656,885.580017089844,1130.7900390625,23554,1509.46907216495,62
66936,1,39901,4,655,93235,1,4,2,2,2376,8,45372,696,"aaa",1,1,3,2,1997,2,2006,4,2018,47065,7,6,3,49,60,29,118997,653,48,28906,1342,312,2359104,3337867,51,1,116045,5880,6,44,677,"aaaaaaaa",0,50,113,4,104964,7542618,0,3524322,1581.57995605469,95,50.3499984741211,30.25,17,234100,3,1,4,5,2018,"aaaaaa","a",707,"a","aa","a","aaa",100000000,2885,569.580017089844,378.790008544922,66949,1983.28333333333,12
36130,1,17468,4,627,49491,2,8,1,3,505,8,10910,241,"aa",3,1,1,1,1952,3,1970,4,2018,82419,5,3,5,62,137,40,179693,883,7031,119028,397,323,7025427,69330,88,2,532104,50533,7,55,266,"aaaaaaaa",5,24,330,4,119571,4381012,1,2191836,156.580001831055,31,13.3500003814697,73.25,29,231283,3,3,2,4,2018,"aaaaaa","a",277,"a","aa","a","aaa",100000000,148140,1245.57995605469,721.789978027344,8199,1311.62773722628,48
66850,1,36360,1,716,31071,7,2,2,1,2649,7,13883,137,"",1,1,2,2,1973,9,1988,4,2018,72222,5,7,5,25,99,182,227466,6507,7347,19319,196,286,3275847,228334,21,2,890667,51897,5,28,983,"aaaaaaaa",0,16,513,5,14876,4167228,0,3016175,1059.57995605469,47,10.3500003814697,38.25,25,186384,1,3,2,2,2018,"aaaaaa","a",73,"a","aa","a","aaa",100000000,71006,2324.580078125,894.789978027344,2186,2297.63636363636,30
13347,1,30227,1,183,2909,4,2,1,2,1031,7,40383,727,"",5,1,5,2,1940,10,2017,4,2018,51716,4,2,4,14,330,4,65434,8264,5467,2561,3563,147,1073479,123260,66,1,289654,38486,4,43,621,"aaaaaaaa",54,62,920,8,7927,3455007,1,5092654,275.579986572266,30,49.3499984741211,54.25,9,286444,3,1,1,5,2018,"aaaaaa","a",642,"a","aa","a","aaa",100000000,155669,1851.57995605469,645.789978027344,32863,198.284848484848,1
32904,1,38076,4,293,37099,4,1,1,4,223,7,77847,696,"aaa",1,1,5,2,1976,11,2015,4,2018,93615,4,3,4,75,389,118,57812,3665,7558,126405,1041,128,1030012,3050708,71,2,926253,31063,5,35,850,"aaaaaaaa",34,49,564,1,162349,4706515,0,2074410,1917.57995605469,35,23.3500003814697,61.25,35,243023,2,3,1,5,2018,"aaaaaa","a",209,"a","aa","a","aaa",100000000,122599,1977.57995605469,779.789978027344,70585,148.616966580977,3
174,1,17246,3,182,60775,5,8,2,2,652,5,23663,157,"",4,1,3,2,1934,2,1996,4,2018,16932,4,6,5,32,65,68,189542,3765,4892,138814,1999,70,396622,1414786,68,1,466393,36832,7,52,754,"aaaaaaaa",63,14,165,4,151419,841584,0,4727359,419.579986572266,62,8.35000038146973,23.25,28,38536,1,1,3,1,2018,"aaaaaa","a",754,"a","aa","a","aaa",100000000,173836,782.580017089844,1107.7900390625,3452,2916.03076923077,22
42387,1,36157,1,153,9171,8,5,1,1,671,8,46100,536,"a",3,1,3,1,1988,5,1973,4,2018,65392,5,4,4,24,279,8,62445,2270,4848,99524,65,329,132665,4888160,75,1,336754,22619,4,56,1120,"aaaaaaaa",43,87,87,8,42257,4962386,1,3895493,140.580001831055,71,37.3499984741211,48.25,18,143869,1,2,1,3,2018,"aaaaaa","a",847,"a","aa","a","aaa",100000000,166337,381.579986572266,719.789978027344,673,223.817204301075,45
31525,1,4015,3,322,66498,2,4,2,1,3875,0,25781,60,"",5,1,2,1,1955,5,2014,4,2018,68605,2,1,4,76,66,114,292155,2845,4758,166591,1379,342,4748565,4340176,71,2,12113,1775,5,28,95,"aaaaaaaa",28,57,670,2,188025,5947399,0,4134390,1046.57995605469,94,22.3500003814697,84.25,10,312655,1,2,4,1,2018,"aaaaaa","a",113,"a","aa","a","aaa",100000000,29281,349.579986572266,1026.7900390625,21507,4426.59090909091,4
27537,1,38579,2,259,6835,7,6,1,1,2702,0,12649,66,"aa",3,1,4,1,1941,5,1992,4,2018,57287,5,2,1,35,261,71,374560,3591,6110,49883,734,53,1250229,1529922,34,1,342883,36789,4,27,614,"aaaaaaaa",48,72,37,4,163792,1086663,1,2432791,2094.580078125,12,35.3499984741211,50.25,28,92339,1,3,4,6,2018,"aaaaaa","a",190,"a","aa","a","aaa",100000000,167930,2158.580078125,290.790008544922,60773,1435.09578544061,26
26786,1,17483,3,546,33885,1,7,1,1,456,9,93899,477,"",4,1,3,2,1995,5,1988,4,2018,73893,6,5,3,83,344,48,18214,8199,557,78530,4082,240,3441996,1160312,22,1,81362,7759,5,36,1307,"aaaaaaaa",9,30,325,2,189253,6766879,1,292897,323.579986572266,15,40.3499984741211,25.25,22,152669,2,1,2,4,2018,"aaaaaa","a",547,"a","aa","a","aaa",100000000,177189,264.579986572266,713.789978027344,19801,52.9476744186046,30
46970,1,1526,2,425,63888,6,2,2,3,1796,1,40614,625,"",4,1,1,2,1945,9,1978,4,2018,30631,2,2,2,2,110,0,140617,6745,6495,28384,1604,312,3550261,2098705,97,1,700812,5649,7,40,195,"aaaaaaaa",19,84,776,6,75781,393870,1,3112699,1211.57995605469,93,24.3500003814697,85.25,30,235702,3,3,2,5,2018,"aaaaaa","a",652,"a","aa","a","aaa",100000000,146577,748.580017089844,811.789978027344,46225,1278.33636363636,40
